阿坝蒿,a'ba'hao
海南柃,hai'nan'ling
海南陵齿蕨,hai'nan'ling'chi'jue
海南留萼木,hai'nan'liu'e'mu
海南柳叶箬,hai'nan'liu'ye'ruo
海南瘤足蕨,hai'nan'liu'zu'jue
海南龙船花,hai'nan'long'chuan'hua
海南龙血树,hai'nan'long'xue'shu
海南楼梯草,hai'nan'lou'ti'cao
海南鹿角藤,hai'nan'lu'jiao'teng
海南蕗蕨,hai'nan'lu'jue
海南萝芙木,hai'nan'luo'fu'mu
海南罗汉松,hai'nan'luo'han'song
海南罗伞树,hai'nan'luo'san'shu
海南螺序草,hai'nan'luo'xu'cao
海南马兜铃,hai'nan'ma'dou'ling
海南马唐,hai'nan'ma'tang
海南买麻藤,hai'nan'mai'ma'teng
海南毛蕨,hai'nan'mao'jue
海南美登木,hai'nan'mei'deng'mu
海南美丁花,hai'nan'mei'ding'hua
海南玫瑰木,hai'nan'mei'gui'mu
海南牡蒿,hai'nan'mu'hao
海南木姜子,hai'nan'mu'jiang'zi
海南木茎香草,hai'nan'mu'jing'xiang'cao
海南木蓝,hai'nan'mu'lan
海南木莲,hai'nan'mu'lian
海南木犀榄,hai'nan'mu'xi'lan
海南牛奶菜,hai'nan'niu'nai'cai
海南牛奶菜原变种,hai'nan'niu'nai'cai'yuan'bian'zhong
海南盆距兰,hai'nan'pen'ju'lan
海南飘拂草,hai'nan'piao'fu'cao
海南瓶蕨,hai'nan'ping'jue
海南苹婆,hai'nan'ping'po
海南破布叶,hai'nan'po'bu'ye
海南蒲儿根,hai'nan'pu'er'gen
海南蒲桃,hai'nan'pu'tao
海南槭,hai'nan'qi
海南千斤拔,hai'nan'qian'jin'ba
海南千年健,hai'nan'qian'nian'jian
海南茄,hai'nan'qie
海南青牛胆,hai'nan'qing'niu'dan
海南琼楠,hai'nan'qiong'nan
海南秋海棠,hai'nan'qiu'hai'tang
海南球兰,hai'nan'qiu'lan
海南秋英爵床,hai'nan'qiu'ying'jue'chuang
海南雀舌木,hai'nan'que'she'mu
海南染木树,hai'nan'ran'mu'shu
海南荛花,hai'nan'rao'hua
海南忍冬,hai'nan'ren'dong
海南蕊木,hai'nan'rui'mu
海南赛爵床,hai'nan'sai'jue'chuang
海南三角瓣花,hai'nan'san'jiao'ban'hua
海南三七,hai'nan'san'qi
海南桑叶草,hai'nan'sang'ye'cao
海南砂仁,hai'nan'sha'ren
海南山矾,hai'nan'shan'fan
海南山胡椒,hai'nan'shan'hu'jiao
海南山姜,hai'nan'shan'jiang
海南山蓝,hai'nan'shan'lan
海南山龙眼,hai'nan'shan'long'yan
海南山麻秆,hai'nan'shan'ma'gan
海南山牵牛,hai'nan'shan'qian'niu
海南山小橘,hai'nan'shan'xiao'ju
海南山猪菜,hai'nan'shan'zhu'cai
海南韶子,hai'nan'shao'zi
海南蛇根草,hai'nan'she'gen'cao
海南蛇菰,hai'nan'she'gu
海南柿,hai'nan'shi
海南石豆兰,hai'nan'shi'dou'lan
海南石斛,hai'nan'shi'hu
海南薯,hai'nan'shu
海南树参,hai'nan'shu'can
海南书带蕨,hai'nan'shu'dai'jue
海南鼠李,hai'nan'shu'li
海南双盖蕨,hai'nan'shuang'gai'jue
海南水锦树,hai'nan'shui'jin'shu
海南水锦树原变种,hai'nan'shui'jin'shu'yuan'bian'zhong
海南苏铁,hai'nan'su'tie
海南素馨,hai'nan'su'xin
海南藤春,hai'nan'teng'chun
海南藤芋,hai'nan'teng'yu
海南蹄盖蕨,hai'nan'ti'gai'jue
海南铁角蕨,hai'nan'tie'jiao'jue
海南铁苋菜,hai'nan'tie'xian'cai
海南同心结,hai'nan'tong'xin'jie
海南团扇蕨,hai'nan'tuan'shan'jue
海南挖耳草,hai'nan'wa'er'cao
海南娃儿藤,hai'nan'wa'er'teng
海南瓦韦,hai'nan'wa'wei
海南网蕨,hai'nan'wang'jue
海南卫矛,hai'nan'wei'mao
海南五层龙,hai'nan'wu'ceng'long
海南乌口树,hai'nan'wu'kou'shu
海南乌口树原变型,hai'nan'wu'kou'shu'yuan'bian'xing
海南梧桐,hai'nan'wu'tong
海南五月茶,hai'nan'wu'yue'cha
海南五针松,hai'nan'wu'zhen'song
海南腺萼木,hai'nan'xian'e'mu
海南线果兜铃,hai'nan'xian'guo'dou'ling
海南香花藤,hai'nan'xiang'hua'teng
海南香花藤原变种,hai'nan'xiang'hua'teng'yuan'bian'zhong
海南新木姜子,hai'nan'xin'mu'jiang'zi
海南新樟,hai'nan'xin'zhang
海南雪花,hai'nan'xue'hua
海南蕈树,hai'nan'xun'shu
海南崖豆藤,hai'nan'ya'dou'teng
海南崖爬藤,hai'nan'ya'pa'teng
海南烟斗柯,hai'nan'yan'dou'ke
海南羊蹄甲,hai'nan'yang'ti'jia
海南杨桐,hai'nan'yang'tong
海南野木瓜,hai'nan'ye'mu'gua
海南野扇花,hai'nan'ye'shan'hua
海南野桐,hai'nan'ye'tong
海南叶下珠,hai'nan'ye'xia'zhu
海南翼核果,hai'nan'yi'he'guo
海南油杉,hai'nan'you'shan
海南鱼藤,hai'nan'yu'teng
海南玉叶金花,hai'nan'yu'ye'jin'hua
海南远志,hai'nan'yuan'zhi
海南远志原变种,hai'nan'yuan'zhi'yuan'bian'zhong
海南越桔,hai'nan'yue'ju
海南沼兰,hai'nan'zhao'lan
海南蜘蛛抱蛋,hai'nan'zhi'zhu'bao'dan
海南栀子,hai'nan'zhi'zi
海南柊叶,hai'nan'zhong'ye
海南轴脉蕨,hai'nan'zhou'mai'jue
海南蛛毛苣苔,hai'nan'zhu'mao'ju'tai
海南猪屎豆,hai'nan'zhu'shi'dou
海南锥,hai'nan'zhui
海南锥花,hai'nan'zhui'hua
海南紫荆木,hai'nan'zi'jing'mu
海南紫麻,hai'nan'zi'ma
海南钻喙兰,hai'nan'zuan'hui'lan
海南醉魂藤,hai'nan'zui'hun'teng
海漆,hai'qi
海漆属,hai'qi'shu
海茜树,hai'qian'shu
海茜树属,hai'qian'shu'shu
海雀稗,hai'que'bai
海人树,hai'ren'shu
海人树科,hai'ren'shu'ke
海人树属,hai'ren'shu'shu
海乳草,hai'ru'cao
海乳草属,hai'ru'cao'shu
海三棱藨草,hai'san'leng'biao'cao
海桑,hai'sang
海桑科,hai'sang'ke
海桑属,hai'sang'shu
海神球,hai'shen'qiu
海石榴,hai'shi'liu
海石竹蝇子草,hai'shi'zhu'ying'zi'cao
海台白点兰,hai'tai'bai'dian'lan
海檀木,hai'tan'mu
海檀木属,hai'tan'mu'shu
海棠花,hai'tang'hua
海棠花原变种,hai'tang'hua'yuan'bian'zhong
海棠猕猴桃,hai'tang'mi'hou'tao
海棠猕猴桃原变型,hai'tang'mi'hou'tao'yuan'bian'xing
海棠猕猴桃原变种,hai'tang'mi'hou'tao'yuan'bian'zhong
海棠叶报春,hai'tang'ye'bao'chun
海棠叶蜂斗草,hai'tang'ye'feng'dou'cao
海棠叶梾木,hai'tang'ye'lai'mu
海棠越桔,hai'tang'yue'ju
海通,hai'tong
海桐,hai'tong
海桐花科,hai'tong'hua'ke
海桐花属,hai'tong'hua'shu
海桐山矾,hai'tong'shan'fan
海桐叶白英,hai'tong'ye'bai'ying
海桐叶白英原变种,hai'tong'ye'bai'ying'yuan'bian'zhong
海桐叶柃,hai'tong'ye'ling
海桐叶木姜子,hai'tong'ye'mu'jiang'zi
海桐状香草,hai'tong'zhuang'xiang'cao
还瞳子,hai'tong'zi
海王锦,hai'wang'jin
海王球,hai'wang'qiu
海仙花,hai'xian'hua
海罂粟,hai'ying'su
海罂粟属,hai'ying'su'shu
海芋,hai'yu
海芋属,hai'yu'shu
海枣,hai'zao
海州常山,hai'zhou'chang'shan
海州蒿,hai'zhou'hao
海州香薷,hai'zhou'xiang'ru
海竹,hai'zhu
海竹原变型,hai'zhu'yuan'bian'xing
海子山老牛筋,hai'zi'shan'lao'niu'jin
旱稗,han'bai
汉白杨,han'bai'yang
含苞草,han'bao'cao
含苞草属,han'bao'cao'shu
蔊菜,han'cai
寒菜,han'cai
蔊菜属,han'cai'shu
蔊菜叶马先蒿,han'cai'ye'ma'xian'hao
寒草,han'cao
汉城细辛,han'cheng'xi'xin
汉城蝇子草,han'cheng'ying'zi'cao
汉城蝇子草原变种,han'cheng'ying'zi'cao'yuan'bian'zhong
旱垂柳,han'chui'liu
寒地报春,han'di'bao'chun
寒地景天,han'di'jing'tian
旱地莲,han'di'lian
旱地木槿,han'di'mu'jin
旱地木槿原变种,han'di'mu'jin'yuan'bian'zhong
旱杜根藤,han'du'gen'teng
旱荷,han'he
旱禾,han'he
旱禾属,han'he'shu
汉荭鱼腥草,han'hong'yu'xing'cao
旱金莲,han'jin'lian
旱金莲科,han'jin'lian'ke
旱金莲属,han'jin'lian'shu
旱蕨,han'jue
旱蕨属,han'jue'shu
蚶壳草,han'ke'cao
寒兰,han'lan
旱莲子,han'lian'zi
旱柳,han'liu
旱柳原变型,han'liu'yuan'bian'xing
旱柳原变种,han'liu'yuan'bian'zhong
旱麦草,han'mai'cao
旱麦草属,han'mai'cao'shu
旱茅,han'mao
旱茅属,han'mao'shu
寒莓,han'mei
汉密悬钩子,han'mi'xuan'gou'zi
汉姆氏马先蒿,han'mu'shi'ma'xian'hao
寒蓬属,han'peng'shu
旱芹,han'qin
旱雀豆属,han'que'dou'shu
旱雀麦,han'que'mai
旱生丛菔,han'sheng'cong'fu
旱生点地梅,han'sheng'dian'di'mei
寒生耳蕨,han'sheng'er'jue
旱生红腺蕨,han'sheng'hong'xian'jue
旱生韭,han'sheng'jiu
旱生卷柏,han'sheng'juan'bai
旱生南星,han'sheng'nan'xing
寒生蒲公英,han'sheng'pu'gong'ying
旱生溲疏,han'sheng'sou'shu
旱生无心菜,han'sheng'wu'xin'cai
旱生无心菜原变种,han'sheng'wu'xin'cai'yuan'bian'zhong
旱生香茶菜,han'sheng'xiang'cha'cai
寒生羊茅,han'sheng'yang'mao
旱黍草,han'shu'cao
旱水仙,han'shui'xian
含桃,han'tao
旱田草,han'tian'cao
含笑花,han'xiao'hua
含笑属,han'xiao'shu
韩信草,han'xin'cao
韩信草多枝变型,han'xin'cao'duo'zhi'bian'xing
韩信草缩茎变种,han'xin'cao'suo'jing'bian'zhong
韩信草小叶变种,han'xin'cao'xiao'ye'bian'zhong
韩信草原变型,han'xin'cao'yuan'bian'xing
韩信草原变种,han'xin'cao'yuan'bian'zhong
韩信草长毛变种,han'xin'cao'zhang'mao'bian'zhong
含羞草,han'xiu'cao
含羞草决明,han'xiu'cao'jue'ming
含羞草科,han'xiu'cao'ke
含羞草属,han'xiu'cao'shu
含羞云实,han'xiu'yun'shi
旱莠竹属,han'you'zhu'shu
旱榆,han'yu
旱榆原变种,han'yu'yuan'bian'zhong
寒原荠,han'yuan'ji
寒原荠属,han'yuan'ji'shu
汉源小檗,han'yuan'xiao'bo
汉源小檗原变种,han'yuan'xiao'bo'yuan'bian'zhong
寒竹,han'zhu
寒竹属,han'zhu'shu
杭爱龙蒿,hang'ai'long'hao
杭白芷,hang'bai'zhi
杭蓟,hang'ji
杭州苦竹,hang'zhou'ku'zhu
杭州鳞毛蕨,hang'zhou'lin'mao'jue
杭州石荠苎,hang'zhou'shi'ji'zhu
杭州石荠苎原变种,hang'zhou'shi'ji'zhu'yuan'bian'zhong
杭州榆,hang'zhou'yu
杭州榆原变种,hang'zhou'yu'yuan'bian'zhong
杭子梢,hang'zi'shao
杭子梢属,hang'zi'shao'shu
杭子梢原变型,hang'zi'shao'yuan'bian'xing
杭子梢原变种,hang'zi'shao'yuan'bian'zhong
浩罕彩花,hao'han'cai'hua
号角藤,hao'jiao'teng
号角藤属,hao'jiao'teng'shu
蒿蕨,hao'jue
蒿蕨属,hao'jue'shu
蒿柳,hao'liu
蒿柳原变种,hao'liu'yuan'bian'zhong
蒿坪四蕊槭,hao'ping'si'rui'qi
蒿坪蹄盖蕨,hao'ping'ti'gai'jue
豪氏沙布疣球,hao'shi'sha'bu'you'qiu
蒿属,hao'shu
好望角郁金香,hao'wang'jiao'yu'jin'xiang
蒿叶马先蒿,hao'ye'ma'xian'hao
蒿叶马先蒿蒿叶变种,hao'ye'ma'xian'hao'hao'ye'bian'zhong
蒿叶猪毛菜,hao'ye'zhu'mao'cai
豪猪刺,hao'zhu'ci
蒿状大戟,hao'zhuang'da'ji
蒿子杆,hao'zi'gan
河岸鼠刺,he'an'shu'ci
河岸岩荠,he'an'yan'ji
河坝吊灯花,he'ba'diao'deng'hua
河八王,he'ba'wang
河八王属,he'ba'wang'shu
河白草,he'bai'cao
合瓣莲科,he'ban'lian'ke
合瓣莲属,he'ban'lian'shu
合瓣鹿药,he'ban'lu'yao
褐斑苜蓿,he'ban'mu'xu
褐斑南星,he'ban'nan'xing
褐斑南星原变种,he'ban'nan'xing'yuan'bian'zhong
合苞唇柱苣苔,he'bao'chun'zhu'ju'tai
荷包地不容,he'bao'di'bu'rong
荷包豆,he'bao'dou
褐苞蒿,he'bao'hao
荷包花,he'bao'hua
荷包蕨属,he'bao'jue'shu
荷包牡丹,he'bao'mu'dan
荷包牡丹属,he'bao'mu'dan'shu
褐苞三肋果,he'bao'san'lei'guo
荷包山桂花,he'bao'shan'gui'hua
荷包山桂花原变种,he'bao'shan'gui'hua'yuan'bian'zhong
褐苞蓍,he'bao'shi
褐苞薯蓣,he'bao'shu'yu
荷包藤,he'bao'teng
荷包藤属,he'bao'teng'shu
合苞铁线莲,he'bao'tie'xian'lian
合苞橐吾,he'bao'tuo'wu
荷包猪笼,he'bao'zhu'long
河北白喉乌头,he'bei'bai'hou'wu'tou
河北蛾眉蕨,he'bei'e'mei'jue
河北蛾眉蕨原变种,he'bei'e'mei'jue'yuan'bian'zhong
河北葛缕子,he'bei'ge'lv'zi
河北红门兰,he'bei'hong'men'lan
河北假报春,he'bei'jia'bao'chun
河北堇菜,he'bei'jin'cai
合被韭,he'bei'jiu
合被藜,he'bei'li
河北栎,he'bei'li
河北梨,he'bei'li
褐背柳,he'bei'liu
河北柳,he'bei'liu
河北木蓝,he'bei'mu'lan
河北婆婆纳,he'bei'po'po'na
褐背蒲桃,he'bei'pu'tao
河北山梅花,he'bei'shan'mei'hua
河北石头花,he'bei'shi'tou'hua
河北薹草,he'bei'tai'cao
河北铁角蕨,he'bei'tie'jiao'jue
河北橐吾,he'bei'tuo'wu
河北杨,he'bei'yang
禾本科,he'ben'ke
河边杜鹃,he'bian'du'juan
河边龙胆,he'bian'long'dan
河边毛蕨,he'bian'mao'jue
河边千斤拔,he'bian'qian'jin'ba
褐柄短肠蕨,he'bing'duan'chang'jue
褐柄合耳菊,he'bing'he'er'ju
褐柄剑蕨,he'bing'jian'jue
合柄铁线莲,he'bing'tie'xian'lian
鹤草,he'cao
河池胡椒,he'chi'hu'jiao
河池毛蕨,he'chi'mao'jue
褐翅猪毛菜,he'chi'zhu'mao'cai
禾串树,he'chuan'shu
褐唇贝母兰,he'chun'bei'mu'lan
褐唇贝母兰原变种,he'chun'bei'mu'lan'yuan'bian'zhong
褐刺龙舌兰,he'ci'long'she'lan
褐点金腰,he'dian'jin'yao
鹤顶兰,he'ding'lan
鹤顶兰属,he'ding'lan'shu
合萼半蒴苣苔,he'e'ban'shuo'ju'tai
合萼吊石苣苔,he'e'diao'shi'ju'tai
合萼兰,he'e'lan
合萼兰属,he'e'lan'shu
合萼肋柱花,he'e'lei'zhu'hua
合耳菊,he'er'ju
合耳菊属,he'er'ju'shu
合肥植物园,he'fei'zhi'wu'yuan
鹤峰唇柱苣苔,he'feng'chun'zhu'ju'tai
鹤甫碱茅,he'fu'jian'mao
禾秆旱蕨,he'gan'han'jue
禾秆旱蕨原变种,he'gan'han'jue'yuan'bian'zhong
禾秆假毛蕨,he'gan'jia'mao'jue
禾秆金星蕨,he'gan'jin'xing'jue
禾秆亮毛蕨,he'gan'liang'mao'jue
禾秆薹草,he'gan'tai'cao
禾秆蹄盖蕨,he'gan'ti'gai'jue
禾秆紫柄蕨,he'gan'zi'bing'jue
河谷地不容,he'gu'di'bu'rong
河谷风毛菊,he'gu'feng'mao'ju
河谷南星,he'gu'nan'xing
褐冠小苦荬,he'guan'xiao'ku'mai
核果茶属,he'guo'cha'shu
合果含笑属,he'guo'han'xiao'shu
合果景天,he'guo'jing'tian
合果木,he'guo'mu
核果木,he'guo'mu
核果木属,he'guo'mu'shu
核果茄科,he'guo'qie'ke
褐果薹草,he'guo'tai'cao
鹤果薹草,he'guo'tai'cao
盒果藤,he'guo'teng
盒果藤属,he'guo'teng'shu
合果芋,he'guo'yu
合果芋属,he'guo'yu'shu
褐果枣,he'guo'zao
合核冬青,he'he'dong'qing
褐红脉薹草,he'hong'mai'tai'cao
荷花,he'hua
褐花杓兰,he'hua'biao'lan
褐花灯心草,he'hua'deng'xin'cao
荷花柳,he'hua'liu
褐花雪莲,he'hua'xue'lian
荷花玉兰,he'hua'yu'lan
合欢,he'huan
合欢草,he'huan'cao
合欢草属,he'huan'cao'shu
合欢花,he'huan'hua
合欢柳叶菜,he'huan'liu'ye'cai
合欢盆距兰,he'huan'pen'ju'lan
合欢山蹄盖蕨,he'huan'shan'ti'gai'jue
合欢属,he'huan'shu
合欢树,he'huan'shu
褐黄鳞薹草,he'huang'lin'tai'cao
褐黄色风毛菊,he'huang'se'feng'mao'ju
褐黄玉凤花,he'huang'yu'feng'hua
合江杜鹃,he'jiang'du'juan
合江方竹,he'jiang'fang'zhu
合江银叶杜鹃,he'jiang'yin'ye'du'juan
和胶毒草,he'jiao'du'cao
鹤蕉花,he'jiao'hua
合金草,he'jin'cao
合景天,he'jing'tian
合景天属,he'jing'tian'shu
河口叉蕨,he'kou'cha'jue
河口超长柄茶,he'kou'chao'chang'bing'cha
河口复叶耳蕨,he'kou'fu'ye'er'jue
河口观音座莲,he'kou'guan'yin'zuo'lian
河口红豆,he'kou'hong'dou
河口楼梯草,he'kou'lou'ti'cao
河口螺序草,he'kou'luo'xu'cao
河口毛蕨,he'kou'mao'jue
河口苹婆,he'kou'ping'po
河口葡萄,he'kou'pu'tao
河口槭,he'kou'qi
河口秋海棠,he'kou'qiu'hai'tang
河口实蕨,he'kou'shi'jue
河口水东哥,he'kou'shui'dong'ge
河口五层龙,he'kou'wu'ceng'long
河口新月蕨,he'kou'xin'yue'jue
河口悬钩子,he'kou'xuan'gou'zi
河口银莲花,he'kou'yin'lian'hua
河口油丹,he'kou'you'dan
河口原始观音座莲,he'kou'yuan'shi'guan'yin'zuo'lian
河口轴脉蕨,he'kou'zhou'mai'jue
荷兰百合,he'lan'bai'he
贺兰翠雀花,he'lan'cui'que'hua
贺兰韭,he'lan'jiu
荷兰菊,he'lan'ju
贺兰山繁缕,he'lan'shan'fan'lv
贺兰山棘豆,he'lan'shan'ji'dou
贺兰山南芥,he'lan'shan'nan'jie
贺兰山女蒿,he'lan'shan'nv'hao
贺兰山嵩草,he'lan'shan'song'cao
贺兰山延胡索,he'lan'shan'yan'hu'suo
贺兰山岩黄耆,he'lan'shan'yan'huang'qi
贺兰山蝇子草,he'lan'shan'ying'zi'cao
贺兰玄参,he'lan'xuan'shen
褐梨,he'li
荷莲豆草,he'lian'dou'cao
荷莲豆草属,he'lian'dou'cao'shu
褐鳞鳞毛蕨,he'lin'lin'mao'jue
褐鳞木,he'lin'mu
褐鳞木属,he'lin'mu'shu
褐鳞飘拂草,he'lin'piao'fu'cao
褐鳞省藤,he'lin'sheng'teng
合鳞薹草,he'lin'tai'cao
褐脉黄毛槭,he'mai'huang'mao'qi
褐脉楼梯草,he'mai'lou'ti'cao
褐毛稠李,he'mao'chou'li
褐毛垂头菊,he'mao'chui'tou'ju
褐毛杜鹃,he'mao'du'juan
褐毛杜鹃原变种,he'mao'du'juan'yuan'bian'zhong
褐毛杜英,he'mao'du'ying
褐毛狗尾草,he'mao'gou'wei'cao
褐毛海桐,he'mao'hai'tong
褐毛花楸,he'mao'hua'qiu
褐毛蓟,he'mao'ji
褐毛蓝刺头,he'mao'lan'ci'tou
褐毛鳞盖蕨,he'mao'lin'gai'jue
褐毛柳,he'mao'liu
褐毛石楠,he'mao'shi'nan
褐毛石楠原变种,he'mao'shi'nan'yuan'bian'zhong
褐毛四照花,he'mao'si'zhao'hua
褐毛四照花原变种,he'mao'si'zhao'hua'yuan'bian'zhong
褐毛溲疏,he'mao'sou'shu
褐毛溲疏原变种,he'mao'sou'shu'yuan'bian'zhong
褐毛铁线莲,he'mao'tie'xian'lian
褐毛橐吾,he'mao'tuo'wu
褐毛秀柱花,he'mao'xiu'zhu'hua
褐毛羊蹄甲,he'mao'yang'ti'jia
褐毛野桐,he'mao'ye'tong
褐毛野豌豆,he'mao'ye'wan'dou
褐毛猪屎豆,he'mao'zhu'shi'dou
褐毛紫菀,he'mao'zi'wan
褐毛紫菀原变种,he'mao'zi'wan'yuan'bian'zhong
合萌,he'meng
合萌属,he'meng'shu
河南杈叶槭,he'nan'cha'ye'qi
河南翠雀花,he'nan'cui'que'hua
河南杜鹃,he'nan'du'juan
河南杜鹃原亚种,he'nan'du'juan'yuan'ya'zhong
河南海棠,he'nan'hai'tang
河南黄芩,he'nan'huang'qin
河南卷瓣兰,he'nan'juan'ban'lan
河南蓼,he'nan'liao
河南马先蒿,he'nan'ma'xian'hao
河南鼠尾草,he'nan'shu'wei'cao
河南唐松草,he'nan'tang'song'cao
河南瓦韦,he'nan'wa'wei
河南小檗,he'nan'xiao'bo
合囊蕨,he'nang'jue
合囊蕨科,he'nang'jue'ke
合囊蕨属,he'nang'jue'shu
河内坡垒,he'nei'po'lei
河畔狗肝菜,he'pan'gou'gan'cai
河畔狗肝菜原变种,he'pan'gou'gan'cai'yuan'bian'zhong
褐皮韭,he'pi'jiu
和平菱果薹草,he'ping'ling'guo'tai'cao
褐鞘蓼,he'qiao'liao
褐鞘毛茛,he'qiao'mao'gen
褐鞘沿阶草,he'qiao'yan'jie'cao
褐鞘紫堇,he'qiao'zi'jin
鹤庆矮泽芹,he'qing'ai'ze'qin
鹤庆独活,he'qing'du'huo
鹤庆风毛菊,he'qing'feng'mao'ju
荷青花,he'qing'hua
荷青花属,he'qing'hua'shu
荷青花原变种,he'qing'hua'yuan'bian'zhong
鹤庆十大功劳,he'qing'shi'da'gong'lao
鹤庆唐松草,he'qing'tang'song'cao
鹤庆铁线蕨,he'qing'tie'xian'jue
鹤庆微孔草,he'qing'wei'kong'cao
鹤庆五味子,he'qing'wu'wei'zi
鹤庆猪屎豆,he'qing'zhu'shi'dou
荷秋藤,he'qiu'teng
荷秋藤原变型,he'qiu'teng'yuan'bian'xing
禾雀花,he'que'hua
合蕊菝葜,he'rui'ba'qia
合蕊林仙属,he'rui'lin'xian'shu
合蕊五味子,he'rui'wu'wei'zi
合蕊五味子原变种,he'rui'wu'wei'zi'yuan'bian'zhong
褐色短肠蕨,he'se'duan'chang'jue
褐色谷精草,he'se'gu'jing'cao
褐色观音座莲,he'se'guan'yin'zuo'lian
褐色沙拐枣,he'se'sha'guai'zao
和尚菜,he'shang'cai
和尚菜属,he'shang'cai'shu
和社叉柱兰,he'she'cha'zhu'lan
合生黔蕨,he'sheng'qian'jue
合生铁角蕨,he'sheng'tie'jiao'jue
鹤虱,he'shi
何氏盆距兰,he'shi'pen'ju'lan
鹤虱属,he'shi'shu
鹤首马先蒿,he'shou'ma'xian'hao
鹤首马先蒿多毛亚种,he'shou'ma'xian'hao'duo'mao'ya'zhong
鹤首马先蒿多叶亚种,he'shou'ma'xian'hao'duo'ye'ya'zhong
鹤首马先蒿鹤首亚种,he'shou'ma'xian'hao'he'shou'ya'zhong
何首乌,he'shou'wu
何首乌属,he'shou'wu'shu
何首乌原变种,he'shou'wu'yuan'bian'zhong
和硕棘豆,he'shuo'ji'dou
河朔荛花,he'shuo'rao'hua
和硕薹草,he'shuo'tai'cao
合丝莓属,he'si'mei'shu
合丝肖菝葜,he'si'xiao'ba'qia
褐穗莎草,he'sui'suo'cao
褐穗莎草原变型,he'sui'suo'cao'yuan'bian'xing
河滩冬青,he'tan'dong'qing
河滩冬青原变种,he'tan'dong'qing'yuan'bian'zhong
河滩岩黄耆变种,he'tan'yan'huang'qi'bian'zhong
河套大黄,he'tao'da'huang
合田草,he'tian'cao
和田黄耆,he'tian'huang'qi
和田毛茛,he'tian'mao'gen
和田蒲公英,he'tian'pu'gong'ying
合头草,he'tou'cao
合头草属,he'tou'cao'shu
褐头蒿,he'tou'hao
合头菊,he'tou'ju
合头菊属,he'tou'ju'shu
合头女蒿,he'tou'nv'hao
河头山五月茶,he'tou'shan'wu'yue'cha
河豚果,he'tun'guo
鹤望兰,he'wang'lan
鹤望兰科,he'wang'lan'ke
鹤望兰属,he'wang'lan'shu
河西阿魏,he'xi'a'wei
河西菊,he'xi'ju
河西菊属,he'xi'ju'shu
禾叶报春,he'ye'bao'chun
禾叶贝母兰,he'ye'bei'mu'lan
褐叶柄果木,he'ye'bing'guo'mu
合页草,he'ye'cao
合叶草,he'ye'cao
合页草属,he'ye'cao'shu
禾叶点地梅,he'ye'dian'di'mei
褐叶杜鹃,he'ye'du'juan
合叶耳草,he'ye'er'cao
禾叶繁缕,he'ye'fan'lv
禾叶繁缕原变种,he'ye'fan'lv'yuan'bian'zhong
禾叶风毛菊,he'ye'feng'mao'ju
褐叶华丽杜鹃,he'ye'hua'li'du'juan
禾叶景天,he'ye'jing'tian
禾叶蕨科,he'ye'jue'ke
禾叶蕨属,he'ye'jue'shu
禾叶兰,he'ye'lan
禾叶兰属,he'ye'lan'shu
荷叶莲,he'ye'lian
禾叶毛兰,he'ye'mao'lan
褐叶青冈,he'ye'qing'gang
褐叶青冈原变种,he'ye'qing'gang'yuan'bian'zhong
褐叶榕,he'ye'rong
褐叶榕原变种,he'ye'rong'yuan'bian'zhong
禾叶山麦冬,he'ye'shan'mai'dong
禾叶丝瓣芹,he'ye'si'ban'qin
禾叶嵩草,he'ye'song'cao
荷叶铁线蕨,he'ye'tie'xian'jue
褐叶土牛膝,he'ye'tu'niu'xi
禾叶挖耳草,he'ye'wa'er'cao
褐叶线蕨,he'ye'xian'jue
禾叶眼子菜,he'ye'yan'zi'cai
禾叶蝇子草,he'ye'ying'zi'cao
合缨大丁草,he'ying'da'ding'cao
河源复叶耳蕨,he'yuan'fu'ye'er'jue
貉藻,he'zao
貉藻属,he'zao'shu
合掌消,he'zhang'xiao
合掌消原变种,he'zhang'xiao'yuan'bian'zhong
褐枝短柱茶,he'zhi'duan'zhu'cha
合轴荚蒾,he'zhou'jia'mi
河竹,he'zhu
合柱糙果茶,he'zhu'cao'guo'cha
合柱金莲木,he'zhu'jin'lian'mu
合柱金莲木属,he'zhu'jin'lian'mu'shu
合柱矩圆叶柃,he'zhu'ju'yuan'ye'ling
合柱兰,he'zhu'lan
合柱兰属,he'zhu'lan'shu
禾状扁莎,he'zhuang'bian'sha
禾状薹草,he'zhuang'tai'cao
诃子,he'zi
合子,he'zi
盒子草,he'zi'cao
盒子草属,he'zi'cao'shu
盒子草原变种,he'zi'cao'yuan'bian'zhong
褐紫鳞薹草,he'zi'lin'tai'cao
核子木,he'zi'mu
核子木属,he'zi'mu'shu
诃子属,he'zi'shu
褐紫乌头,he'zi'wu'tou
诃子原变种,he'zi'yuan'bian'zhong
黑苞风毛菊,hei'bao'feng'mao'ju
黑苞火绒草,hei'bao'huo'rong'cao
黑苞匹菊,hei'bao'pi'ju
黑苞千里光,hei'bao'qian'li'guang
黑苞乳苣,hei'bao'ru'ju
黑苞橐吾,hei'bao'tuo'wu
黑北极果,hei'bei'ji'guo
黑背鼠李,hei'bei'shu'li
黑边假龙胆,hei'bian'jia'long'dan
黑扁莎,hei'bian'sha
黑边铁角蕨,hei'bian'tie'jiao'jue
黑柄叉蕨,hei'bing'cha'jue
