安定王室,an'ding'wang'shi
向东方发展,xiang'dong'fang'fa'zhan
向后撤退,xiang'hou'che'tui
相继称霸,xiang'ji'cheng'ba
相配合,xiang'pei'he
向私有化发展,xiang'si'you'hua'fa'zhan
向田主,xiang'tian'zhu
向以人为中心的,xiang'yi'ren'wei'zhong'xin'de
小地盘,xiao'di'pan
小国被吞并,xiao'guo'bei'tun'bing
小国称伯,xiao'guo'cheng'bo
消灭了,xiao'mie'le
消灭吴国,xiao'mie'wu'guo
崤一战,xiao'yi'zhan
新兼并的地方,xin'jian'bing'de'di'fang
新兴地主阶级,xin'xing'di'zhu'jie'ji
新兴地主阶级经过,xin'xing'di'zhu'jie'ji'jing'guo
新兴势力,xin'xing'shi'li
兴兵败越,xing'bing'bai'yue
行军三十里叫做,xing'jun'san'shi'li'jiao'zuo
兴修水利,xing'xiu'shui'li
行政组织,xing'zheng'zu'zhi
雄霸东南,xiong'ba'dong'nan
修订春秋,xiu'ding'chun'qiu
修订而成,xiu'ding'er'cheng
羞愤自杀,xiu'fen'zi'sha
许多荒地,xu'duo'huang'di
许多小国,xu'duo'xiao'guo
畜牧业生产,xu'mu'ye'sheng'chan
选贤任能,xuan'xian'ren'neng
学术下移,xue'shu'xia'yi
学在官府局面,xue'zai'guan'fu'ju'mian
迅速成为,xun'su'cheng'wei
郾城东北,yan'cheng'dong'bei
鄢陵之战,yan'ling'zhi'zhan
也泛指,ye'fan'zhi
也就发生了,ye'jiu'fa'sheng'le
冶炼生铁,ye'lian'sheng'tie
也强大起来,ye'qiang'da'qi'lai
也稍迟于,ye'shao'chi'yu
冶铁,ye'tie
也引起,ye'yin'qi
一百四十多个,yi'bai'si'shi'duo'ge
一般比较缓慢,yi'ban'bi'jiao'huan'man
一般从,yi'ban'cong
一般指前,yi'ban'zhi'qian
以便选择战机,yi'bian'xuan'ze'zhan'ji
一部分工匠成为,yi'bu'fen'gong'jiang'cheng'wei
以成为霸主,yi'cheng'wei'ba'zhu
亦称相,yi'cheng'xiang
一词的来源,yi'ci'de'lai'yuan
以抵抗,yi'di'kang
一个霸主,yi'ge'ba'zhu
一戈击中阖闾,yi'ge'ji'zhong'he'lv
一个时期,yi'ge'shi'qi
一个中等诸侯国,yi'ge'zhong'deng'zhu'hou'guo
以管仲为相,yi'guan'zhong'wei'xiang
已很普遍,yi'hen'pu'bian
一箭射中了,yi'jian'she'zhong'le
已经大量,yi'jing'da'liang
已经严重下降,yi'jing'yan'zhong'xia'jiang
一匡天下,yi'kuang'tian'xia
以来的,yi'lai'de
亦落入,yi'luo'ru
义渠皆,yi'qu'jie
一舍,yi'she
一说,yi'shuo
一说是齐桓公,yi'shuo'shi'qi'huan'gong
一系列,yi'xi'lie
以西一带,yi'xi'yi'dai
以优势兵力,yi'you'shi'bing'li
意在,yi'zai
因而使周天子,yin'er'shi'zhou'tian'zi
因鲁国,yin'lu'guo
因洛邑在,yin'luo'yi'zai
引犬戎,yin'quan'rong
因伤逝世,yin'shang'shi'shi
因为内乱和,yin'wei'nei'luan'he
又便于,you'bian'yu
由卜巫的,you'bo'wu'de
有不少随从,you'bu'shao'sui'cong
由此大增,you'ci'da'zeng
由粗放转向,you'cu'fang'zhuan'xiang
有大小战事,you'da'xiao'zhan'shi
诱敌深入,you'di'shen'ru
又改善了,you'gai'shan'le
由国君,you'guo'jun
友好秦国,you'hao'qin'guo
有两种不同的说法,you'liang'zhong'bu'tong'de'shuo'fa
又率齐,you'lv'qi
由奴隶制,you'nu'li'zhi
有四十三名,you'si'shi'san'ming
有司徒,you'si'tu
又引起了人们,you'yin'qi'le'ren'men
由于边境问题,you'yu'bian'jing'wen'ti
由于齐桓公,you'yu'qi'huan'gong
由于社会,you'yu'she'hui
由于战争的需要,you'yu'zhan'zheng'de'xu'yao
寓兵于农,yu'bing'yu'nong
于春秋末年,yu'chun'qiu'mo'nian
与晋国,yu'jin'guo
与晋军大战,yu'jin'jun'da'zhan
与齐,yu'qi
与齐晋,yu'qi'jin
于是由宋发起,yu'shi'you'song'fa'qi
于是中原,yu'shi'zhong'yuan
与衰落,yu'shuai'luo
于徐,yu'xu
与郑国争执,yu'zheng'guo'zheng'zhi
与周室同宗,yu'zhou'shi'tong'zong
与诸侯会盟,yu'zhu'hou'hui'meng
元年,yuan'nian
越大夫,yue'dai'fu
越国的谷价,yue'guo'de'gu'jia
越国相继强大,yue'guo'xiang'ji'qiang'da
越青铜剑,yue'qing'tong'jian
越王,yue'wang
越王勾践,yue'wang'gou'jian
越王勾践自,yue'wang'gou'jian'zi
允许土地买卖,yun'xu'tu'di'mai'mai
在北方的晋国,zai'bei'fang'de'jin'guo
在邲,zai'bi
在城濮之战,zai'cheng'pu'zhi'zhan
在春秋,zai'chun'qiu
在春秋前期,zai'chun'qiu'qian'qi
再度爆发,zai'du'bao'fa
在各诸侯国,zai'ge'zhu'hou'guo
在公元前,zai'gong'yuan'qian
在践土,zai'jian'tu
在晋国,zai'jin'guo
在晋文公,zai'jin'wen'gong
在军事上,zai'jun'shi'shang
在历史上,zai'li'shi'shang
在齐国,zai'qi'guo
在秦穆公,zai'qin'mu'gong
在青铜冶铸方面,zai'qing'tong'ye'zhu'fang'mian
在人们心中,zai'ren'men'xin'zhong
在这,zai'zhe
在中原地区,zai'zhong'yuan'di'qu
在诸侯间,zai'zhu'hou'jian
在诸侯中,zai'zhu'hou'zhong
造型轻巧灵便,zao'xing'qing'qiao'ling'bian
则基本上,ze'ji'ben'shang
则设郡,ze'she'jun
增加财政收入,zeng'jia'cai'zheng'shou'ru
增加了,zeng'jia'le
湛阪之战,zhan'ban'zhi'zhan
战国时,zhan'guo'shi
战国时期,zhan'guo'shi'qi
战火连天,zhan'huo'lian'tian
战事持续两年,zhan'shi'chi'xu'liang'nian
战争持续不断,zhan'zheng'chi'xu'bu'duan
召陵,zhao'ling
召陵之盟,zhao'ling'zhi'meng
这部书记载了,zhe'bu'shu'ji'zai'le
这场斗争,zhe'chang'dou'zheng
这个转型期,zhe'ge'zhuan'xing'qi
这是古代,zhe'shi'gu'dai
这些变化正是,zhe'xie'bian'hua'zheng'shi
这些大国之间,zhe'xie'da'guo'zhi'jian
这些地区的,zhe'xie'di'qu'de
这些贵族,zhe'xie'gui'zu
这也反映了,zhe'ye'fan'ying'le
这一时期,zhe'yi'shi'qi
珍宝和,zhen'bao'he
争霸,zheng'ba
争霸于东南,zheng'ba'yu'dong'nan
争霸中原,zheng'ba'zhong'yuan
争得了霸权,zheng'de'le'ba'quan
整顿国政,zheng'dun'guo'zheng
争夺霸权,zheng'duo'ba'quan
整个一年,zheng'ge'yi'nian
整军经武,zheng'jun'jing'wu
争取了,zheng'qu'le
正确意见,zheng'que'yi'jian
征收田税,zheng'shou'tian'shui
征收一定的,zheng'shou'yi'ding'de
征收一定量的,zheng'shou'yi'ding'liang'de
郑庄公,zheng'zhuang'gong
之后是,zhi'hou'shi
直接任命,zhi'jie'ren'ming
智氏出兵,zhi'shi'chu'bing
之时攻击,zhi'shi'gong'ji
只是还保存着,zhi'shi'hai'bao'cun'zhe
指向中原,zhi'xiang'zhong'yuan
只有少数作为,zhi'you'shao'shu'zuo'wei
只有一小块,zhi'you'yi'xiao'kuai
只有与,zhi'you'yu
至于四周地区,zhi'yu'si'zhou'di'qu
只余下智,zhi'yu'xia'zhi
中的发展,zhong'de'fa'zhan
重耳,zhong'er
中国文化,zhong'guo'wen'hua
中国五等爵,zhong'guo'wu'deng'jue
中国之礼,zhong'guo'zhi'li
中记载的,zhong'ji'zai'de
中小国家,zhong'xiao'guo'jia
终于在,zhong'yu'zai
中原霸主,zhong'yuan'ba'zhu
中原除,zhong'yuan'chu
中原地区,zhong'yuan'di'qu
中原地区的畜牧业,zhong'yuan'di'qu'de'xu'mu'ye
中原各国,zhong'yuan'ge'guo
周朝奴隶制处于,zhou'chao'nu'li'zhi'chu'yu
周朝王室,zhou'chao'wang'shi
周定王,zhou'ding'wang
周定王十年,zhou'ding'wang'shi'nian
周桓王,zhou'huan'wang
周惠王,zhou'hui'wang
周简王,zhou'jian'wang
周敬王,zhou'jing'wang
周敬王二十四年,zhou'jing'wang'er'shi'si'nian
周敬王十四年,zhou'jing'wang'shi'si'nian
周灵王,zhou'ling'wang
周平王,zhou'ping'wang
周平王迁都,zhou'ping'wang'qian'du
周室,zhou'shi
周室衰微,zhou'shi'shuai'wei
周天子,zhou'tian'zi
周天子及其,zhou'tian'zi'ji'qi
周王,zhou'wang
周王的,zhou'wang'de
周王的肩膀,zhou'wang'de'jian'bang
周王室衰微,zhou'wang'shi'shuai'wei
周王室因而衰微,zhou'wang'shi'yin'er'shuai'wei
周威烈王,zhou'wei'lie'wang
周僖王,zhou'xi'wang
周襄王,zhou'xiang'wang
周元王,zhou'yuan'wang
诸侯奔走,zhu'hou'ben'zou
诸侯大国争霸,zhu'hou'da'guo'zheng'ba
诸侯的,zhu'hou'de
诸侯国,zhu'hou'guo
诸侯会盟,zhu'hou'hui'meng
诸侯列国,zhu'hou'lie'guo
诸侯们不得不,zhu'hou'men'bu'de'bu
诸侯手里,zhu'hou'shou'li
诸侯于,zhu'hou'yu
诸侯争霸,zhu'hou'zheng'ba
诸侯政治权威,zhu'hou'zheng'zhi'quan'wei
诸侯之长,zhu'hou'zhi'chang
煮盐,zhu'yan
主要集中,zhu'yao'ji'zhong
铸造金属货币,zhu'zao'jin'shu'huo'bi
铸造陶范,zhu'zao'tao'fan
转兵向北进击,zhuan'bing'xiang'bei'jin'ji
转而向东,zhuan'er'xiang'dong
转而向西,zhuan'er'xiang'xi
专门从事,zhuan'men'cong'shi
转弱为强,zhuan'ruo'wei'qiang
转型得以实现,zhuan'xing'de'yi'shi'xian
壮大了自己的力量,zhuang'da'le'zi'ji'de'li'liang
自天子出,zi'tian'zi'chu
资治通鉴中,zi'zhi'tong'jian'zhong
自诸侯出,zi'zhu'hou'chu
最贵时,zui'gui'shi
尊王攘夷,zun'wang'rang'yi
作战能力,zuo'zhan'neng'li
