阿克里地树虫,a'ke'li'di'shu'chong
亚龙,ya'long
亚维玛雅,ya'wei'ma'ya
亚维马雅野蛮人,ya'wei'ma'ya'ye'man'ren
亚维马雅之火,ya'wei'ma'ya'zhi'huo
炎鞭护卫,yan'bian'hu'wei
沿海盗虐,yan'hai'dao'nue
岩獾,yan'huan
焰击弹,yan'ji'dan
岩浆爆,yan'jiang'bao
炎炬护林兵,yan'ju'hu'lin'bing
严酷苦役,yan'ku'ku'yi
焰舌卡甫,yan'she'ka'fu
岩舌蜥怪,yan'she'xi'guai
阳景院,yang'jing'yuan
扬图刑樁林,yang'tu'xing'zhuang'lin
曜黑侍僧,yao'hei'shi'seng
妖精辱骂员,yao'jing'ru'ma'yuan
夜风滑翔翼,ye'feng'hua'xiang'yi
夜更妖精,ye'geng'yao'jing
夜景院,ye'jing'yuan
野寇骡,ye'kou'luo
叶绿象,ye'lv'xiang
液石督军兽,ye'shi'du'jun'shou
液石滑动,ye'shi'hua'dong
液石墙,ye'shi'qiang
液石突刺,ye'shi'tu'ci
液石振翼机,ye'shi'zhen'yi'ji
叶舞者,ye'wu'zhe
烨焰,ye'yan
夜之鸣钟,ye'zhi'ming'zhong
夷除,yi'chu
移除之缄印,yi'chu'zhi'jian'yin
夷地史尼兽,yi'di'shi'ni'shou
仪典卫兵,yi'dian'wei'bing
移花帽,yi'hua'mao
异狮,yi'shi
以太刺触,yi'tai'ci'chu
乙太障壁,yi'tai'zhang'bi
义与理之盾牌,yi'yu'li'zhi'dun'pai
银镜谷拓荒者,yin'jing'gu'tuo'huang'zhe
银镜谷元素,yin'jing'gu'yuan'su
银魔像卡恩,yin'mo'xiang'ka'en
隐匿幻影,yin'ni'huan'ying
银叶林草药师,yin'ye'lin'cao'yao'shi
映奇宝珠,ying'qi'bao'zhu
英雄重聚首,ying'xiong'chong'ju'shou
佣兵,yong'bing
佣兵检举人,yong'bing'jian'ju'ren
庸人谬想,yong'ren'miu'xiang
幼寇骡,you'kou'luo
游历的紫河马,you'li'de'zi'he'ma
幽灵悲泣,you'ling'bei'qi
幽冥岔路,you'ming'cha'lu
佑天,you'tian
尤依菈的工具箱,you'yi'la'de'gong'ju'xiang
育苗地,yu'miao'di
淤泥匐行兽,yu'ni'fu'xing'shou
原初成长,yuan'chu'cheng'zhang
远侦卡甫,yuan'zhen'ka'fu
约格莫夫,yue'ge'mo'fu
约格莫夫的谋略,yue'ge'mo'fu'de'mou'lue
跃虎,yue'hu
陨石暴,yun'shi'bao
匝南巨灵,za'nan'ju'ling
暂时性隙缝,zan'shi'xing'xi'feng
葬火灵俑,zang'huo'ling'yong
脏鼠人,zang'shu'ren
葬仪员,zang'yi'yuan
诈术法师,zha'shu'fa'shi
战退两难,zhan'tui'liang'nan
战训魔像,zhan'xun'mo'xiang
展翼暴风,zhan'yi'bao'feng
沼地潜魔,zhao'di'qian'mo
召唤失调,zhao'huan'shi'tiao
召龙拱门,zhao'long'gong'men
震地法师,zhen'di'fa'shi
侦风艇,zhen'feng'ting
真菌跛行兽,zhen'jun'bo'xing'shou
镇痛香膏,zhen'tong'xiang'gao
真伪莫辨,zhen'wei'mo'bian
震央,zhen'yang
蒸汽爪车,zheng'qi'zhao'che
整肃巨镰,zheng'su'ju'lian
织歌者,zhi'ge'zhe
致命妖瞳,zhi'ming'yao'tong
指示物,zhi'shi'wu
织天巧匠,zhi'tian'qiao'jiang
滞阻机,zhi'zu'ji
众魂行进,zhong'hun'xing'jin
重驮兽,zhong'tuo'shou
仲夏欢宴,zhong'xia'huan'yan
珠拉,zhu'la
逐天龙王德洛马,zhu'tian'long'wang'de'luo'ma
追耀逝者,zhui'yao'shi'zhe
灼砂,zhuo'sha
自然肇生,zi'ran'zhao'sheng
孳息之池,zi'xi'zhi'chi
走调挽歌,zou'diao'wan'ge
走行海绵,zou'xing'hai'mian
阻遏,zu'e
阻御网,zu'yu'wang
