安帝,an'di
起兵杀贾后,qi'bing'sha'jia'hou
起兵讨冏,qi'bing'tao'jiong
起兵于,qi'bing'yu
其残暴程度与,qi'can'bao'cheng'du'yu
其次子,qi'ci'zi
其孙,qi'sun
其他各民族的,qi'ta'ge'min'zu'de
其他劳役的,qi'ta'lao'yi'de
企图与民生息,qi'tu'yu'min'sheng'xi
齐万年,qi'wan'nian
齐王,qi'wang
齐王冏,qi'wang'jiong
齐王冏起兵讨伦,qi'wang'jiong'qi'bing'tao'lun
其中以羯族,qi'zhong'yi'jie'zu
其子,qi'zi
其子刘聪,qi'zi'liu'cong
前车之鉴,qian'che'zhi'jian
迁到南方的,qian'dao'nan'fang'de
千丁共籍的局面,qian'ding'gong'ji'de'ju'mian
前将军,qian'jiang'jun
前凉,qian'liang
前秦,qian'qin
前秦国,qian'qin'guo
前秦皇帝,qian'qin'huang'di
迁入中原,qian'ru'zhong'yuan
遣石勒,qian'shi'le
迁往长江中下游,qian'wang'chang'jiang'zhong'xia'you
前燕,qian'yan
前者地位,qian'zhe'di'wei
羌胡,qiang'hu
抢劫了无数财富,qiang'jie'liao'wu'shu'cai'fu
羌悉反,qiang'xi'fan
强制徙迁回,qiang'zhi'xi'qian'hui
谯国桓氏,qiao'guo'huan'shi
侨郡,qiao'jun
侨郡县,qiao'jun'xian
侨县,qiao'xian
侨州,qiao'zhou
侨州郡县,qiao'zhou'jun'xian
秦汉以来,qin'han'yi'lai
秦岭淮河,qin'ling'huai'he
青衣行酒,qing'yi'xing'jiu
囚禁于,qiu'jin'yu
区别对待,qu'bie'dui'dai
取得了政权,qu'de'le'zheng'quan
娶了,qu'le
全部淹死,quan'bu'yan'si
权臣,quan'chen
权臣所篡的,quan'chen'suo'cuan'de
全国百姓的,quan'guo'bai'xing'de
全国还未统一,quan'guo'hai'wei'tong'yi
全国婚姻,quan'guo'hun'yin
全国计有司,quan'guo'ji'you'si
劝晋武帝,quan'jin'wu'di
却是在,que'shi'zai
却有意,que'you'yi
然而吴国,ran'er'wu'guo
冉闵,ran'min
让幼子,rang'you'zi
人口约,ren'kou'yue
人民参加,ren'min'can'jia
任命为,ren'ming'wei
人数最多的,ren'shu'zui'duo'de
人为祸患,ren'wei'huo'huan
仍袭用,reng'xi'yong
仍拥有,reng'yong'you
日渐富庶和繁华,ri'jian'fu'shu'he'fan'hua
戎狄居半,rong'di'ju'ban
入京辅政,ru'jing'fu'zheng
入居关中及泾,ru'ju'guan'zhong'ji'jing
入洛阳,ru'luo'yang
汝南王,ru'nan'wang
汝南王亮,ru'nan'wang'liang
如派,ru'pai
入塞胡族中,ru'sai'hu'zu'zhong
如以人口计,ru'yi'ren'kou'ji
睿称晋王,rui'cheng'jin'wang
若有不妥,ruo'you'bu'tuo
洒盐巴,sa'yan'ba
三百年,san'bai'nian
三代的基业,san'dai'de'ji'ye
三分食一,san'fen'shi'yi
三公,san'gong
三公九卿制,san'gong'jiu'qing'zhi
三公自己辟召,san'gong'zi'ji'pi'zhao
三国鼎立,san'guo'ding'li
三国时期,san'guo'shi'qi
三级称号,san'ji'cheng'hao
散骑常侍,san'qi'chang'shi
三十四人,san'shi'si'ren
三省六部制,san'xing'liu'bu'zhi
三族最为凶恶,san'zu'zui'wei'xiong'e
丧失了信心,sang'shi'le'xin'xin
扫除了障碍,sao'chu'le'zhang'ai
杀士兵百姓三万余,sha'shi'bing'bai'xing'san'wan'yu
杀死赵王伦,sha'si'zhao'wang'lun
山涛羊祜,shan'tao'yang'hu
商贾等,shang'gu'deng
尚书,shang'shu
尚书令,shang'shu'ling
尚书省,shang'shu'sheng
尚书省所属有吏,shang'shu'sheng'suo'shu'you'li
尚书省长官有令,shang'shu'sheng'zhang'guan'you'ling
尚书左丞掌,shang'shu'zuo'cheng'zhang
商纣王,shang'zhou'wang
少女充作军粮,shao'nv'chong'zuo'jun'liang
少女的,shao'nv'de
少女了,shao'nv'le
少数民族,shao'shu'min'zu
少数民族内迁问题,shao'shu'min'zu'nei'qian'wen'ti
少者及三世,shao'zhe'ji'san'shi
奢侈放纵,she'chi'fang'zong
社会问题,she'hui'wen'ti
设立所谓,she'li'suo'wei
设立湘州,she'li'xiang'zhou
射声校尉,she'sheng'xiao'wei
身分专政,shen'fen'zhuan'zheng
深刻地影响了,shen'ke'de'ying'xiang'le
甚至滥加残害,shen'zhi'lan'jia'can'hai
剩下的才能,sheng'xia'de'cai'neng
是被羯族人,shi'bei'jie'zu'ren
史称东晋,shi'cheng'dong'jin
侍从皇帝左右,shi'cong'huang'di'zuo'you
世代高官,shi'dai'gao'guan
世代为兵的,shi'dai'wei'bing'de
十二岁,shi'er'sui
史分为,shi'fen'wei
谥号晋武帝,shi'hao'jin'wu'di
谥号武皇帝,shi'hao'wu'huang'di
是华夏各,shi'hua'xia'ge
是继承,shi'ji'cheng
士家,shi'jia
世家大族,shi'jia'da'zu
使江南地区,shi'jiang'nan'di'qu
仕进,shi'jin
十九个州,shi'jiu'ge'zhou
十郡,shi'jun
实郡,shi'jun
势力不断壮大,shi'li'bu'duan'zhuang'da
十六国,shi'liu'guo
食人恶魔,shi'ren'e'mo
使手下的,shi'shou'xia'de
史书记载,shi'shu'ji'zai
使吴国丧失了,shi'wu'guo'sang'shi'le
世袭封爵,shi'xi'feng'jue
实县,shi'xian
实行募兵,shi'xing'mu'bing
十一月,shi'yi'yue
十余万人于,shi'yu'wan'ren'yu
侍中,shi'zhong
侍中即加封驳,shi'zhong'ji'jia'feng'bo
实州,shi'zhou
世族,shi'zu
世族义兴周,shi'zu'yi'xing'zhou
世族政治,shi'zu'zheng'zhi
受到一些限制,shou'dao'yi'xie'xian'zhi
手工业者,shou'gong'ye'zhe
收买人心,shou'mai'ren'xin
收买人心的办法,shou'mai'ren'xin'de'ban'fa
守卫兵,shou'wei'bing
寿县,shou'xian
收租四斛,shou'zu'si'hu
蜀汉供职,shu'han'gong'zhi
蜀汉灭亡,shu'han'mie'wang
蜀汉虽亡,shu'han'sui'wang
数万名,shu'wan'ming
蜀吴合占,shu'wu'he'zhan
率兵攻入,shuai'bing'gong'ru
率领禁军,shuai'ling'jin'jun
率领流民,shuai'ling'liu'min
率领乡里私兵,shuai'ling'xiang'li'si'bing
双脚羊,shuang'jiao'yang
水师,shui'shi
司隶校尉,si'li'xiao'wei
司马乂,si'ma'ai
司马炽,si'ma'chi
司马冏,si'ma'jiong
司马亮,si'ma'liang
司马伦,si'ma'lun
司马睿,si'ma'rui
司马睿已,si'ma'rui'yi
司马师,si'ma'shi
司马氏,si'ma'shi
司马氏政权,si'ma'shi'zheng'quan
司马腾,si'ma'teng
司马玮,si'ma'wei
司马炎,si'ma'yan
司马炎逼迫,si'ma'yan'bi'po
司马炎趁机,si'ma'yan'chen'ji
司马炎废魏主,si'ma'yan'fei'wei'zhu
司马炎继承,si'ma'yan'ji'cheng
司马炎为,si'ma'yan'wei
司马炎于,si'ma'yan'yu
司马炎在,si'ma'yan'zai
司马晏子,si'ma'yan'zi
司马邺,si'ma'ye
司马懿,si'ma'yi
司马颍,si'ma'ying
司马颙,si'ma'yong
司马攸,si'ma'you
司马元显,si'ma'yuan'xian
司马越,si'ma'yue
司马昭,si'ma'zhao
司马昭长子,si'ma'zhao'zhang'zi
司马昭之心,si'ma'zhao'zhi'xin
司马昭之子,si'ma'zhao'zhi'zi
司马衷,si'ma'zhong
司徒府,si'tu'fu
死于含章殿,si'yu'han'zhang'dian
苏峻,su'jun
苏峻之乱,su'jun'zhi'luan
宿卫,su'wei
碎骨残骸,sui'gu'can'hai
虽然法令规定,sui'ran'fa'ling'gui'ding
随时随地被,sui'shi'sui'di'bei
隋唐的,sui'tang'de
虽有三俊,sui'you'san'jun
孙恩,sun'en
孙皓的残暴,sun'hao'de'can'bao
孙皓后宫,sun'hao'hou'gong
孙皓命令,sun'hao'ming'ling
孙皓杀人,sun'hao'sha'ren
孙皓投降,sun'hao'tou'xiang
孙吴,sun'wu
孙吴灭亡,sun'wu'mie'wang
孙无终,sun'wu'zhong
所败,suo'bai
所封诸王其封国,suo'feng'zhu'wang'qi'feng'guo
所建立,suo'jian'li
索琳,suo'lin
所能指挥的,suo'neng'zhi'hui'de
所在的,suo'zai'de
所奏文案,suo'zou'wen'an
他的表扬,ta'de'biao'yang
他的挑选,ta'de'tiao'xuan
他们庇廕,ta'men'bi'yin
他们极大地,ta'men'ji'da'de
他们有,ta'men'you
他们预见到少数民族,ta'men'yu'jian'dao'shao'shu'min'zu
他死后,ta'si'hou
他要灭亡,ta'yao'mie'wang
太安二年,tai'an'er'nian
太安元年,tai'an'yuan'nian
太傅杨骏,tai'fu'yang'jun
太康,tai'kang
太康年间,tai'kang'nian'jian
太康元年,tai'kang'yuan'nian
太上皇,tai'shang'huang
泰始,tai'shi
泰始律令,tai'shi'lv'ling
泰始三年,tai'shi'san'nian
太守察孝廉外,tai'shou'cha'xiao'lian'wai
太熙,tai'xi
太熙元年,tai'xi'yuan'nian
谈婚论嫁,tan'hun'lun'jia
贪污腐败,tan'wu'fu'bai
唐代,tang'dai
讨长沙王乂,tao'chang'sha'wang'ai
逃亡到南方,tao'wang'dao'nan'fang
田曹,tian'cao
天灾频繁,tian'zai'pin'fan
田驺与厨士,tian'zou'yu'chu'shi
调按户等收取,tiao'an'hu'deng'shou'qu
挑选宫女,tiao'xuan'gong'nv
铁弗,tie'fu
廷尉,ting'wei
停在哪个,ting'zai'na'ge
统领百官,tong'ling'bai'guan
统领禁军的,tong'ling'jin'jun'de
统领重兵,tong'ling'zhong'bing
统领州郡兵,tong'ling'zhou'jun'bing
统领州郡军队,tong'ling'zhou'jun'jun'dui
同时把,tong'shi'ba
同时赐给,tong'shi'ci'gei
同时实施,tong'shi'shi'shi
同时也,tong'shi'ye
同时于,tong'shi'yu
同样吸取了,tong'yang'xi'qu'le
统一南北,tong'yi'nan'bei
统一全国,tong'yi'quan'guo
统一之后,tong'yi'zhi'hou
统一中国,tong'yi'zhong'guo
投奔洛阳,tou'ben'luo'yang
投降东晋,tou'xiang'dong'jin
投降于汉,tou'xiang'yu'han
土断,tu'duan
秃发树机能,tu'fa'shu'ji'neng
土著的,tu'zhu'de
屯田民,tun'tian'min
妥善安置,tuo'shan'an'zhi
外军,wai'jun
王澄,wang'cheng
王浚,wang'jun
王濬,wang'jun
王弥,wang'mi
王室,wang'shi
王氏,wang'shi
王衍,wang'yan
王舆,wang'yu
为避战乱,wei'bi'zhan'luan
为朝官,wei'chao'guan
为丞相,wei'cheng'xiang
魏的力量,wei'de'li'liang
魏的势力,wei'de'shi'li
魏帝,wei'di
为帝,wei'di
魏帝曹髦,wei'di'cao'mao
渭二水流域,wei'er'shui'liu'yu
为妃,wei'fei
魏国丞相,wei'guo'cheng'xiang
魏国大权,wei'guo'da'quan
为后代所沿袭,wei'hou'dai'suo'yan'xi
卫将军,wei'jiang'jun
为晋朝的,wei'jin'chao'de
未开化的,wei'kai'hua'de
为了耕种所占田地,wei'le'geng'zhong'suo'zhan'tian'di
魏灭蜀之后,wei'mie'shu'zhi'hou
为七十亩,wei'qi'shi'mu
为其所杀,wei'qi'suo'sha
为首的,wei'shou'de
为首的和,wei'shou'de'he
为隋唐时期的,wei'sui'tang'shi'qi'de
为太傅,wei'tai'fu
为太子,wei'tai'zi
为王,wei'wang
魏元帝,wei'yuan'di
魏元帝曹奂,wei'yuan'di'cao'huan
魏约占全国人口,wei'yue'zhan'quan'guo'ren'kou
为之断流,wei'zhi'duan'liu
稳定巴蜀人心,wen'ding'ba'shu'ren'xin
稳定地过渡,wen'ding'de'guo'du
稳定各级官吏,wen'ding'ge'ji'guan'li
文化基因,wen'hua'ji'yin
文化精髓,wen'hua'jing'sui
文化统治地位,wen'hua'tong'zhi'di'wei
温县西,wen'xian'xi
我国历史,wo'guo'li'shi
武帝不再,wu'di'bu'zai
武帝第二十五子,wu'di'di'er'shi'wu'zi
武帝孙,wu'di'sun
武帝太熙元年,wu'di'tai'xi'yuan'nian
无法解决,wu'fa'jie'jue
武官的,wu'guan'de
五胡乱华,wu'hu'luan'hua
五胡乱华的起因,wu'hu'luan'hua'de'qi'yin
五胡乱华是,wu'hu'luan'hua'shi
五胡十六国,wu'hu'shi'liu'guo
五胡是指匈奴,wu'hu'shi'zhi'xiong'nu
五年后,wu'nian'hou
吴蜀故地,wu'shu'gu'di
吴蜀人士,wu'shu'ren'shi
五万名,wu'wan'ming
吴王司马晏子,wu'wang'si'ma'yan'zi
无形中,wu'xing'zhong
吴主孙皓,wu'zhu'sun'hao
西北诸郡,xi'bei'zhu'jun
郗鉴,xi'jian
西晋,xi'jin
西晋本着,xi'jin'ben'zhe
西晋成立之初,xi'jin'cheng'li'zhi'chu
西晋初,xi'jin'chu
西晋初年,xi'jin'chu'nian
西晋的,xi'jin'de
西晋的大臣们,xi'jin'de'da'chen'men
西晋的政治,xi'jin'de'zheng'zhi
西晋第一次,xi'jin'di'yi'ci
西晋分封,xi'jin'fen'feng
西晋覆亡后,xi'jin'fu'wang'hou
西晋改变了,xi'jin'gai'bian'le
西晋规定,xi'jin'gui'ding
西晋皇帝,xi'jin'huang'di
西晋灭亡,xi'jin'mie'wang
西晋末,xi'jin'mo
西晋末年,xi'jin'mo'nian
西晋全国,xi'jin'quan'guo
西晋人口,xi'jin'ren'kou
西晋时,xi'jin'shi
西晋时北方,xi'jin'shi'bei'fang
西晋亡,xi'jin'wang
西晋王朝,xi'jin'wang'chao
西晋用人途径,xi'jin'yong'ren'tu'jing
徙戎,xi'rong
徙戎论,xi'rong'lun
袭用老谱,xi'yong'lao'pu
下邳,xia'pi
鲜卑,xian'bei
鲜卑族,xian'bei'zu
鲜卑族人,xian'bei'zu'ren
限定第一,xian'ding'di'yi
先后灭掉,xian'hou'mie'diao
先后杀死,xian'hou'sha'si
先后有,xian'hou'you
咸宁,xian'ning
陷于战乱,xian'yu'zhan'luan
向北迁徙,xiang'bei'qian'xi
相继崛起,xiang'ji'jue'qi
相继以,xiang'ji'yi
乡里私兵,xiang'li'si'bing
像绵羊一样驱赶的,xiang'mian'yang'yi'yang'qu'gan'de
享寿,xiang'shou
像挖眼,xiang'wa'yan
小皇上,xiao'huang'shang
效力于,xiao'li'yu
消灭楚王玮,xiao'mie'chu'wang'wei
骁骑,xiao'qi
谢安,xie'an
挟惠帝,xie'hui'di
谢玄,xie'xuan
谢琰,xie'yan
新兴文化,xin'xing'wen'hua
形成包围之势,xing'cheng'bao'wei'zhi'shi
形成了一种,xing'cheng'le'yi'zhong
行军作战,xing'jun'zuo'zhan
行政规章制度,xing'zheng'gui'zhang'zhi'du
凶狠狡诈的,xiong'hen'jiao'zha'de
匈奴,xiong'nu
匈奴贵族刘渊,xiong'nu'gui'zu'liu'yuan
匈奴五部,xiong'nu'wu'bu
雄秦盛汉,xiong'qin'sheng'han
雄心勃勃,xiong'xin'bo'bo
许昌,xu'chang
许多大家族,xu'duo'da'jia'zu
选拔任用,xuan'ba'ren'yong
宣武皇帝,xuan'wu'huang'di
选用任命之前,xuan'yong'ren'ming'zhi'qian
荀勗,xun'xu
压抑宗室,ya'yi'zong'shi
延绵十六年之久的,yan'mian'shi'liu'nian'zhi'jiu'de
羊车前往,yang'che'qian'wang
杨济,yang'ji
杨骏,yang'jun
要先经过,yao'xian'jing'guo
邺城,ye'cheng
邺城被占,ye'cheng'bei'zhan
邺城城外,ye'cheng'cheng'wai
也从此开始,ye'cong'ci'kai'shi
也对他,ye'dui'ta
也纷纷,ye'fen'fen
也纷纷劝说,ye'fen'fen'quan'shuo
夜间供士兵,ye'jian'gong'shi'bing
也举兵入宫杀齐王冏,ye'ju'bing'ru'gong'sha'qi'wang'jiong
也可能随时随地,ye'ke'neng'sui'shi'sui'di
一百七十三个郡,yi'bai'qi'shi'san'ge'jun
一般处于,yi'ban'chu'yu
一般地位,yi'ban'di'wei
一般只,yi'ban'zhi
以备顾问,yi'bei'gu'wen
以便,yi'bian
以补,yi'bu
已超过蜀吴,yi'chao'guo'shu'wu
一朝天子一朝臣,yi'chao'tian'zi'yi'chao'chen
一次集结,yi'ci'ji'jie
一次解救,yi'ci'jie'jiu
以此类推,yi'ci'lei'tui
以法令形式,yi'fa'ling'xing'shi
以防止,yi'fang'zhi
依附农民的,yi'fu'nong'min'de
依附人口,yi'fu'ren'kou
一个冬天,yi'ge'dong'tian
衣冠南渡,yi'guan'nan'du
以后其他少数民族,yi'hou'qi'ta'shao'shu'min'zu
以加强控制,yi'jia'qiang'kong'zhi
已经和都督区,yi'jing'he'du'du'qu
亦可,yi'ke
以来的,yi'lai'de
一路上大肆,yi'lu'shang'da'si
一批原在,yi'pi'yuan'zai
以其功著,yi'qi'gong'zhu
以确保社会,yi'que'bao'she'hui
一人,yi'ren
以弱胜强,yi'ruo'sheng'qiang
依使持节,yi'shi'chi'jie
一时移到邺城,yi'shi'yi'dao'ye'cheng
易水,yi'shui
易水时,yi'shui'shi
意思是用,yi'si'shi'yong
以为天下无事,yi'wei'tian'xia'wu'shi
义兴周,yi'xing'zhou
以引诱,yi'yin'you
以预谋退路,yi'yu'mou'tui'lu
以之为,yi'zhi'wei
一直沿用到,yi'zhi'yan'yong'dao
一直由,yi'zhi'you
廕庇,yin'bi
引发少数民族,yin'fa'shao'shu'min'zu
殷浩,yin'hao
因为晋武帝,yin'wei'jin'wu'di
颍川庾氏,ying'chuan'yu'shi
迎惠帝复位,ying'hui'di'fu'wei
英明之君,ying'ming'zhi'jun
影响相对较小,ying'xiang'xiang'dui'jiao'xiao
永嘉,yong'jia
永嘉四年,yong'jia'si'nian
永嘉五年,yong'jia'wu'nian
永嘉元年,yong'jia'yuan'nian
永嘉之祸,yong'jia'zhi'huo
永嘉之乱,yong'jia'zhi'luan
永嘉之乱以后,yong'jia'zhi'luan'yi'hou
永宁元年,yong'ning'yuan'nian
用烧红的锯条,yong'shao'hong'de'ju'tiao
用武力将,yong'wu'li'jiang
永兴,yong'xing
永兴二年,yong'xing'er'nian
永兴元年,yong'xing'yuan'nian
又把这,you'ba'zhe
又不想放掉,you'bu'xiang'fang'diao
又称永嘉之乱,you'cheng'yong'jia'zhi'luan
由此而来,you'ci'er'lai
又从关中,you'cong'guan'zhong
游击等,you'ji'deng
又加以改革,you'jia'yi'gai'ge
尤其并州,you'qi'bing'zhou
又遣,you'qian
又全部落入,you'quan'bu'luo'ru
又任用了,you'ren'yong'le
右卫,you'wei
又为他,you'wei'ta
有五万多少女,you'wu'wan'duo'shao'nv
由西北,you'xi'bei
又须经,you'xu'jing
由于北方,you'yu'bei'fang
由于过度,you'yu'guo'du
优遇南来的北人,you'yu'nan'lai'de'bei'ren
由于孙皓的残暴,you'yu'sun'hao'de'can'bao
由中央任命,you'zhong'yang'ren'ming
幽州刺史,you'zhou'ci'shi
于安陆,yu'an'lu
于长安的,yu'chang'an'de
于长江,yu'chang'jiang
于东莱,yu'dong'lai
与封国,yu'feng'guo
与汉人的冲突,yu'han'ren'de'chong'tu
与汉族,yu'han'zu
与羯,yu'jie
羽林郎,yu'lin'lang
愚昧状态,yu'mei'zhuang'tai
与南方,yu'nan'fang
与尚书令,yu'shang'shu'ling
于是将,yu'shi'jiang
于是司马炎,yu'shi'si'ma'yan
于是他开始,yu'shi'ta'kai'shi
御史中丞,yu'shi'zhong'cheng
与无法处理,yu'wu'fa'chu'li
寓限制之意,yu'xian'zhi'zhi'yi
与杂胡,yu'za'hu
豫章郡王,yu'zhang'jun'wang
与镇守关中的,yu'zhen'shou'guan'zhong'de
元康九年,yuan'kang'jiu'nian
元康元年贾后,yuan'kang'yuan'nian'jia'hou
元气大伤,yuan'qi'da'shang
原始的食人兽性,yuan'shi'de'shi'ren'shou'xing
掾属,yuan'shu
元显,yuan'xian
原先在中原地区,yuan'xian'zai'zhong'yuan'di'qu
元兴元年,yuan'xing'yuan'nian
原住地,yuan'zhu'di
月被封为,yue'bei'feng'wei
月司马昭,yue'si'ma'zhao
约占八分之一,yue'zhan'ba'fen'zhi'yi
运筹帷幄,yun'chou'wei'wo
杂居内地,za'ju'nei'di
在朝廷大臣中,zai'chao'ting'da'chen'zhong
在朝廷的,zai'chao'ting'de
在成都称成都王,zai'cheng'du'cheng'cheng'du'wang
在关中起兵,zai'guan'zhong'qi'bing
在后宫内逡巡,zai'hou'gong'nei'qun'xun
在江东,zai'jiang'dong
在羯族,zai'jie'zu
在今河南鹿邑,zai'jin'he'nan'lu'yi
在晋惠帝时期的,zai'jin'hui'di'shi'qi'de
在全国范围内,zai'quan'guo'fan'wei'nei
宰杀烹食,zai'sha'peng'shi
在他们聚居,zai'ta'men'ju'ju
在文化上,zai'wen'hua'shang
在占有大量土地,zai'zhan'you'da'liang'tu'di
在政治,zai'zheng'zhi
在重大问题上,zai'zhong'da'wen'ti'shang
在中书监令,zai'zhong'shu'jian'ling
在诸曹中,zai'zhu'cao'zhong
在左国城,zai'zuo'guo'cheng
暂时获得统一,zan'shi'huo'de'tong'yi
葬峻阳陵,zang'jun'yang'ling
葬于峻阳陵,zang'yu'jun'yang'ling
造成的影响,zao'cheng'de'ying'xiang
早在,zao'zai
早在三国,zao'zai'san'guo
则称为,ze'cheng'wei
择善而从,ze'shan'er'cong
战场从洛阳,zhan'chang'cong'luo'yang
占六分之五,zhan'liu'fen'zhi'wu
占六分之一,zhan'liu'fen'zhi'yi
战乱规模扩大,zhan'luan'gui'mo'kuo'da
占田法,zhan'tian'fa
占有佃客,zhan'you'dian'ke
占有十顷,zhan'you'shi'qing
占有田地,zhan'you'tian'di
战争不已,zhan'zheng'bu'yi
张昌,zhang'chang
掌断刑狱,zhang'duan'xing'yu
张方,zhang'fang
张华,zhang'hua
掌纠弹不法,zhang'jiu'dan'bu'fa
掌任命官员的,zhang'ren'ming'guan'yuan'de
掌握兵权,zhang'wo'bing'quan
诏令,zhao'ling
诏令讨伐,zhao'ling'tao'fa
赵王,zhao'wang
赵王伦,zhao'wang'lun
赵王伦篡位后,zhao'wang'lun'cuan'wei'hou
赵王叔祖,zhao'wang'shu'zu
这是少数民族,zhe'shi'shao'shu'min'zu
这时虽被解放,zhe'shi'sui'bei'jie'fang
这使他丧失了,zhe'shi'ta'sang'shi'le
这为东晋,zhe'wei'dong'jin
这五万名,zhe'wu'wan'ming
这五万名少女,zhe'wu'wan'ming'shao'nv
这些吃人,zhe'xie'chi'ren
这些都是,zhe'xie'dou'shi
这些汉族女子,zhe'xie'han'zu'nv'zi
这些汉族少女,zhe'xie'han'zu'shao'nv
这些来自,zhe'xie'lai'zi
这一时期,zhe'yi'shi'qi
这种田租,zhe'zhong'tian'zu
镇北大将军,zhen'bei'da'jiang'jun
镇北将军,zhen'bei'jiang'jun
真实的,zhen'shi'de
镇守建康,zhen'shou'jian'kang
镇许昌的,zhen'xu'chang'de
镇邺的,zhen'ye'de
真正才能,zhen'zheng'cai'neng
政变局限在宫廷,zheng'bian'ju'xian'zai'gong'ting
正处于一种积极,zheng'chu'yu'yi'zhong'ji'ji
整个中原地区,zheng'ge'zhong'yuan'di'qu
政局不稳,zheng'ju'bu'wen
政权的,zheng'quan'de
政权的南迁,zheng'quan'de'nan'qian
政权落入乂手,zheng'quan'luo'ru'ai'shou
政权统治下,zheng'quan'tong'zhi'xia
正是西晋,zheng'shi'xi'jin
征西大将军,zheng'xi'da'jiang'jun
正元,zheng'yuan
政治风气,zheng'zhi'feng'qi
政治面貌,zheng'zhi'mian'mao
政治势力,zheng'zhi'shi'li
政治体制,zheng'zhi'ti'zhi
政治制度,zheng'zhi'zhi'du
政治中心,zheng'zhi'zhong'xin
只被,zhi'bei
之称,zhi'cheng
支持司马睿,zhi'chi'si'ma'rui
之后又将,zhi'hou'you'jiang
至平阳,zhi'ping'yang
之上,zhi'shang
执行皇帝诏命,zhi'xing'huang'di'zhao'ming
只有贾后,zhi'you'jia'hou
执政期间,zhi'zheng'qi'jian
重臣,zhong'chen
中的,zhong'de
中抚军,zhong'fu'jun
中国北部地区,zhong'guo'bei'bu'di'qu
中国北方,zhong'guo'bei'fang
中国北方长期,zhong'guo'bei'fang'chang'qi
中国古代经济中心,zhong'guo'gu'dai'jing'ji'zhong'xin
中国古代西晋,zhong'guo'gu'dai'xi'jin
中国历史上,zhong'guo'li'shi'shang
中国西晋皇帝,zhong'guo'xi'jin'huang'di
中军被,zhong'jun'bei
中书令,zhong'shu'ling
中书省,zhong'shu'sheng
种下日后,zhong'xia'ri'hou
中央兵,zhong'yang'bing
中央和地方,zhong'yang'he'di'fang
中央直辖部队,zhong'yang'zhi'xia'bu'dui
中央最高官职有,zhong'yang'zui'gao'guan'zhi'you
中原部族与,zhong'yuan'bu'zu'yu
中原的,zhong'yuan'de
中原汉人,zhong'yuan'han'ren
中原内地迁徙,zhong'yuan'nei'di'qian'xi
中原氏族,zhong'yuan'shi'zu
中正,zhong'zheng
州郡的,zhou'jun'de
州中正,zhou'zhong'zheng
注定了,zhu'ding'le
逐渐盘踞,zhu'jian'pan'ju
逐渐消融,zhu'jian'xiao'rong
诸军事,zhu'jun'shi
诸民族,zhu'min'zu
注入了,zhu'ru'le
驻守长安,zhu'shou'chang'an
驻守军事要地,zhu'shou'jun'shi'yao'di
主体都是,zhu'ti'dou'shi
驻屯或作战,zhu'tun'huo'zuo'zhan
诸王,zhu'wang
诸王担任,zhu'wang'dan'ren
主要职责,zhu'yao'zhi'ze
注意被,zhu'yi'bei
注意防范,zhu'yi'fang'fan
住着很多少数民族,zhu'zhe'hen'duo'shao'shu'min'zu
转赴长安,zhuan'fu'chang'an
专横跋扈,zhuan'heng'ba'hu
专门掳掠,zhuan'men'lu'lue
专擅朝政,zhuan'shan'chao'zheng
追谥为,zhui'shi'wei
追尊为,zhui'zun'wei
准备出兵灭吴,zhun'bei'chu'bing'mie'wu
准备击灭东吴,zhun'bei'ji'mie'dong'wu
字安世,zi'an'shi
自从黄巾之乱,zi'cong'huang'jin'zhi'luan
字丰度,zi'feng'du
自耕小农,zi'geng'xiao'nong
自函谷关,zi'han'gu'guan
自毁根本,zi'hui'gen'ben
子敬,zi'jing
字敬道,zi'jing'dao
自立,zi'li
自立为皇帝,zi'li'wei'huang'di
梓潼太守,zi'tong'tai'shou
字彦旗,zi'yan'qi
字正度,zi'zheng'du
字仲达,zi'zhong'da
总录,zong'lu
宗室,zong'shi
走到河北,zou'dao'he'bei
走下坡路,zou'xia'po'lu
租税徭役,zu'shui'yao'yi
祖逖,zu'ti
卒于,zu'yu
最初建立的,zui'chu'jian'li'de
最后被,zui'hou'bei
最为重要,zui'wei'zhong'yao
最终成了,zui'zhong'cheng'le
最终取代中原,zui'zhong'qu'dai'zhong'yuan
作了预备,zuo'le'yu'bei
左民度支五兵,zuo'min'du'zhi'wu'bing
左仆射,zuo'pu'ye
左卫,zuo'wei
作为佃客和衣食客,zuo'wei'dian'ke'he'yi'shi'ke
作为军粮,zuo'wei'jun'liang
作为在中原,zuo'wei'zai'zhong'yuan
坐镇,zuo'zhen
