阿弥驼佛纯,a'mi'tuo'fo'chun
只是未到伤心处,zhi'shi'wei'dao'shang'xin'chu
只为你幸福,zhi'wei'ni'xing'fu
只要一念起一心,zhi'yao'yi'nian'qi'yi'xin
只因妄想故,zhi'yin'wang'xiang'gu
只因心绪起外缘,zhi'yin'xin'xu'qi'wai'yuan
钟山龙盘越天府,zhong'shan'long'pan'yue'tian'fu
竹林鸽子口衔花,zhu'lin'ge'zi'kou'xian'hua
驻马坡前忆武侯,zhu'ma'po'qian'yi'wu'hou
转眼世界大变迁,zhuan'yan'shi'jie'da'bian'qian
撞着三家村里来,zhuang'zhe'san'jia'cun'li'lai
锥刺不疼针刺疼,zhui'ci'bu'teng'zhen'ci'teng
自当勇猛精进求,zi'dang'yong'meng'jing'jin'qiu
紫兰花香开,zi'lan'hua'xiang'kai
自心本来身边事,zi'xin'ben'lai'shen'bian'shi
自信念佛能,zi'xin'nian'fo'neng
自信如树根,zi'xin'ru'shu'gen
自性弥陀身边来,zi'xing'mi'tuo'shen'bian'lai
纵然风度与翩翩,zong'ran'feng'du'yu'pian'pian
纵使太平安乐多,zong'shi'tai'ping'an'le'duo
纵使突破三大千,zong'shi'tu'po'san'da'qian
总是自在白鹤飞,zong'shi'zi'zai'bai'he'fei
总有黄土背天时,zong'you'huang'tu'bei'tian'shi
祖师在世也枉然,zu'shi'zai'shi'ye'wang'ran
最尊最上门,zui'zun'zui'shang'men
坐等弥陀下凡间,zuo'deng'mi'tuo'xia'fan'jian
