阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
复命,fu'ming
符命,fu'ming
夫名利之大者,fu'ming'li'zhi'da'zhe
父命之,fu'ming'zhi
伏魔禅寺,fu'mo'chan'si
副墨之子闻诸洛诵之孙,fu'mo'zhi'zi'wen'zhu'luo'song'zhi'sun
父母唯其疾之忧,fu'mu'wei'qi'ji'zhi'you
父母在,fu'mu'zai
富那奢,fu'na'she
富那耶奢,fu'na'ye'she
扶南国,fu'nan'guo
鵩鸟赋,fu'niao'fu
伏牛,fu'niu
傅耆,fu'qi
服气精义论,fu'qi'jing'yi'lun
复其位,fu'qi'wei
福清,fu'qing
赴请法,fu'qing'fa
负青天,fu'qing'tian
浮丘,fu'qiu
覆却万方陈乎前而不得入其舍,fu'que'wan'fang'chen'hu'qian'er'bu'de'ru'qi'she
夫然後行,fu'ran'hou'xing
伏忍,fu'ren
夫仁,fu'ren
复仁法师,fu'ren'fa'shi
夫仁者,fu'ren'zhe
夫人自称小童,fu'ren'zi'cheng'xiao'tong
芙蓉,fu'rong
芙蓉楷禅师,fu'rong'kai'chan'shi
夫如是,fu'ru'shi
弗如也,fu'ru'ye
符瑞,fu'rui
弗若多罗,fu'ruo'duo'luo
夫三皇五帝之治天下不同,fu'san'huang'wu'di'zhi'zhi'tian'xia'bu'tong
夫三旌之位,fu'san'jing'zhi'wei
扶桑禅林僧宝传,fu'sang'chan'lin'seng'bao'chuan
弗沙蜜多罗王,fu'sha'mi'duo'luo'wang
傅山,fu'shan
福善法师,fu'shan'fa'shi
浮山法远禅师,fu'shan'fa'yuan'chan'shi
浮山文集前编,fu'shan'wen'ji'qian'bian
浮山远禅师,fu'shan'yuan'chan'shi
浮山远公禅师,fu'shan'yuan'gong'chan'shi
富上,fu'shang
复社记略,fu'she'ji'lue
夫神者,fu'shen'zhe
夫圣,fu'sheng
浮生梦中,fu'sheng'meng'zhong
夫圣人,fu'sheng'ren
浮生如茶梦如花,fu'sheng'ru'cha'meng'ru'hua
浮生如茶入我杯,fu'sheng'ru'cha'ru'wo'bei
福生天,fu'sheng'tian
夫生者岂特随侯之重哉,fu'sheng'zhe'qi'te'sui'hou'zhi'zhong'zai
服食,fu'shi
伏尸百万,fu'shi'bai'wan
夫施及三王而天下大骇矣,fu'shi'ji'san'wang'er'tian'xia'da'hai'yi
夫世禄,fu'shi'lu
夫适人之适而不自适其适,fu'shi'ren'zhi'shi'er'bu'zi'shi'qi'shi
浮石寺,fu'shi'si
夫士也,fu'shi'ye
负石自投于河,fu'shi'zi'tou'yu'he
符书,fu'shu
夫滕,fu'teng
福田,fu'tian
夫天地者,fu'tian'di'zhe
夫天下莫大于秋豪之末,fu'tian'xia'mo'da'yu'qiu'hao'zhi'mo
夫天下至重也,fu'tian'xia'zhi'zhong'ye
福田衣,fu'tian'yi
浮图,fu'tu
浮陀跋摩,fu'tuo'ba'mo
伏陀密多,fu'tuo'mi'duo
夫外,fu'wai
府万物,fu'wan'wu
夫唯不争,fu'wei'bu'zheng
夫唯大,fu'wei'da
夫唯道,fu'wei'dao
夫唯弗居,fu'wei'fu'ju
夫为剑者,fu'wei'jian'zhe
夫为啬,fu'wei'se
傅伟勋,fu'wei'xun
弗为也,fu'wei'ye
服文采,fu'wen'cai
夫物,fu'wu
夫务免乎人之所不免者,fu'wu'mian'hu'ren'zhi'suo'bu'mian'zhe
夫无趾,fu'wu'zhi
伏戏,fu'xi
傅翕,fu'xi
傅翕大士,fu'xi'da'shi
傅翕居士,fu'xi'ju'shi
扶习润生,fu'xi'run'sheng
伏戏氏,fu'xi'shi
夫希世而行,fu'xi'shi'er'xing
浮现出,fu'xian'chu
福先招庆,fu'xian'zhao'qing
夫相收之与相弃亦远矣,fu'xiang'shou'zhi'yu'xiang'qi'yi'yuan'yi
父邪,fu'xie
复性,fu'xing
福行,fu'xing
复性书,fu'xing'shu
复性书院讲录,fu'xing'shu'yuan'jiang'lu
父兄也,fu'xiong'ye
浮休法师允若,fu'xiu'fa'shi'yun'ruo
夫虚静恬淡寂漠无为者,fu'xu'jing'tian'dan'ji'mo'wu'wei'zhe
夫徇耳目内通而外于心知,fu'xun'er'mu'nei'tong'er'wai'yu'xin'zhi
符验,fu'yan
福严乘禅师,fu'yan'cheng'chan'shi
福严感禅师,fu'yan'gan'chan'shi
富彦国,fu'yan'guo
福严精舍,fu'yan'jing'she
福严寺,fu'yan'si
福严演禅师,fu'yan'yan'chan'shi
阜阳汉简周易,fu'yang'han'jian'zhou'yi
富阳僧舍作别语赠妓琼芳,fu'yang'seng'she'zuo'bie'yu'zeng'ji'qiong'fang
夫尧知贤人之利天下也,fu'yao'zhi'xian'ren'zhi'li'tian'xia'ye
夫也,fu'ye
福业,fu'ye
夫以百亩之不易为己忧者,fu'yi'bai'mu'zhi'bu'yi'wei'ji'you'zhe
傅宜事,fu'yi'shi
夫夷以近,fu'yi'yi'jin
夫夷子信以为人之亲其兄之子,fu'yi'zi'xin'yi'wei'ren'zhi'qin'qi'xiong'zhi'zi
夫蚓,fu'yin
福因,fu'yin
福音,fu'yin
负阴而抱阳,fu'yin'er'bao'yang
服膺而不舍,fu'ying'er'bu'she
夫庸知其年之后生于吾乎,fu'yong'zhi'qi'nian'zhi'hou'sheng'yu'wu'hu
富有,fu'you
富有天下,fu'you'tian'xia
扶余,fu'yu
夫欲恶避就,fu'yu'e'bi'jiu
富与贵,fu'yu'gui
鲋鱼来,fu'yu'lai
福源,fu'yuan
复原报公,fu'yuan'bao'gong
复原禅师福报,fu'yuan'chan'shi'fu'bao
福元讲主,fu'yuan'jiang'zhu
福原亮严,fu'yuan'liang'yan
傅圆天,fu'yuan'tian
父在观其志,fu'zai'guan'qi'zhi
傅縡居士,fu'zai'ju'shi
夫造化者必以为不祥之人,fu'zao'hua'zhe'bi'yi'wei'bu'xiang'zhi'ren
夫造物者将以予为此拘拘也,fu'zao'wu'zhe'jiang'yi'yu'wei'ci'ju'ju'ye
夫造物者又将以予为此拘拘也,fu'zao'wu'zhe'you'jiang'yi'yu'wei'ci'ju'ju'ye
傅章,fu'zhang
腹胀品,fu'zhang'pin
富丈忠,fu'zhang'zhong
夫章子,fu'zhang'zi
夫召我者,fu'zhao'wo'zhe
富郑公,fu'zheng'gong
富郑公弼,fu'zheng'gong'bi
夫志,fu'zhi
富之,fu'zhi
福智,fu'zhi
浮沚集,fu'zhi'ji
浮沚书院,fu'zhi'shu'yuan
付之天均,fu'zhi'tian'jun
孚中禅师怀信,fu'zhong'chan'shi'huai'xin
孚中怀信禅师,fu'zhong'huai'xin'chan'shi
福州版大藏经,fu'zhou'ban'da'zang'jing
抚州曹山本寂禅师,fu'zhou'cao'shan'ben'ji'chan'shi
福州空首座,fu'zhou'kong'shou'zuo
福州玄沙备禅师,fu'zhou'xuan'sha'bei'chan'shi
福州玄沙宗一禅师,fu'zhou'xuan'sha'zong'yi'chan'shi
福州资福善禅师,fu'zhou'zi'fu'shan'chan'shi
付嘱,fu'zhu
夫颛臾,fu'zhuan'yu
傅子,fu'zi
夫子,fu'zi
拂子,fu'zi
夫子不言,fu'zi'bu'yan
夫子弗受,fu'zi'fu'shou
夫子固有惑志于公伯寮,fu'zi'gu'you'huo'zhi'yu'gong'bo'liao
夫子固有惑志於公伯寮,fu'zi'gu'you'huo'zhi'yu'gong'bo'liao
夫子何故见之变容失色,fu'zi'he'gu'jian'zhi'bian'rong'shi'se
夫子何为顷间甚不庭乎,fu'zi'he'wei'qing'jian'shen'bu'ting'hu
夫子若欲使天下无失其牧乎,fu'zi'ruo'yu'shi'tian'xia'wu'shi'qi'mu'hu
夫子圣者与何其多能也,fu'zi'sheng'zhe'yu'he'qi'duo'neng'ye
夫子时然後言,fu'zi'shi'ran'hou'yan
夫子所御杖,fu'zi'suo'yu'zhang
夫子贪生失理而为此乎,fu'zi'tan'sheng'shi'li'er'wei'ci'hu
夫子莞尔而笑,fu'zi'wan'er'er'xiao
夫子温良恭俭让以得之,fu'zi'wen'liang'gong'jian'rang'yi'de'zhi
夫子无所发予之狂言而死矣夫,fu'zi'wu'suo'fa'yu'zhi'kuang'yan'er'si'yi'fu
夫子无意于横目之民乎,fu'zi'wu'yi'yu'heng'mu'zhi'min'hu
夫子行不闲,fu'zi'xing'bu'xian
夫子休,fu'zi'xiu
父子有亲,fu'zi'you'qin
夫子欲寡其过而未能也,fu'zi'yu'gua'qi'guo'er'wei'neng'ye
夫子曰,fu'zi'yue
夫子再逐于鲁,fu'zi'zai'zhu'yu'lu
夫子之求之也,fu'zi'zhi'qiu'zhi'ye
夫子至於是邦也,fu'zi'zhi'yu'shi'bang'ye
扶宗法师崇裕,fu'zong'fa'shi'chong'yu
福足,fu'zu
嘎巴拉,ga'ba'la
噶当宝册,ga'dang'bao'ce
噶当派,ga'dang'pai
噶举派,ga'ju'pai
噶举派虹身大成就贡噶上师略传,ga'ju'pai'hong'shen'da'cheng'jiu'gong'ga'shang'shi'lue'zhuan
嘎拉巴,ga'la'ba
嘎卢腊,ga'lu'la
噶玛拔希却吉喇嘛,ga'ma'ba'xi'que'ji'la'ma
噶玛德松钦巴,ga'ma'de'song'qin'ba
噶玛德银协巴,ga'ma'de'yin'xie'ba
噶玛噶举派,ga'ma'ga'ju'pai
噶玛弥觉多杰,ga'ma'mi'jue'duo'jie
噶玛却央多杰,ga'ma'que'yang'duo'jie
噶玛让琼多杰,ga'ma'rang'qiong'duo'jie
噶玛若白多杰,ga'ma'ruo'bai'duo'jie
噶玛师利那烂陀佛学院,ga'ma'shi'li'na'lan'tuo'fo'xue'yuan
噶玛通瓦敦丹,ga'ma'tong'wa'dun'dan
嘎那巴,ga'na'ba
噶拿卡拉,ga'na'ka'la
嘎拿力巴,ga'na'li'ba
噶千仁波切,ga'qian'ren'bo'qie
噶桑嘉措,ga'sang'jia'cuo
嘎提那,ga'ti'na
噶陀传承祖师布博瓦绛秋森格,ga'tuo'chuan'cheng'zu'shi'bu'bo'wa'jiang'qiu'sen'ge
噶陀传承祖师布博瓦塘岗仲巴,ga'tuo'chuan'cheng'zu'shi'bu'bo'wa'tang'gang'zhong'ba
噶陀传承祖师贡嘎崩巴,ga'tuo'chuan'cheng'zu'shi'gong'ga'beng'ba
噶陀传承祖师将绛秋洛珠,ga'tuo'chuan'cheng'zu'shi'jiang'jiang'qiu'luo'zhu
噶陀传承祖师绛秋崩巴,ga'tuo'chuan'cheng'zu'shi'jiang'qiu'beng'ba
噶陀传承祖师绛秋坚参,ga'tuo'chuan'cheng'zu'shi'jiang'qiu'jian'can
噶陀传承祖师洛珠崩巴,ga'tuo'chuan'cheng'zu'shi'luo'zhu'beng'ba
噶陀传承祖师苏南崩巴,ga'tuo'chuan'cheng'zu'shi'su'nan'beng'ba
噶陀传承祖师苏南绒波,ga'tuo'chuan'cheng'zu'shi'su'nan'rong'bo
噶陀传承祖师旺秀贝,ga'tuo'chuan'cheng'zu'shi'wang'xiu'bei
噶陀传承祖师邬沃益希崩巴,ga'tuo'chuan'cheng'zu'shi'wu'wo'yi'xi'beng'ba
噶陀传承祖师瑜珈旺久罗竹生格,ga'tuo'chuan'cheng'zu'shi'yu'jia'wang'jiu'luo'zhu'sheng'ge
噶陀堪布阿旺华桑,ga'tuo'kan'bu'a'wang'hua'sang
噶陀寺,ga'tuo'si
噶陀寺开山祖师旦巴德协,ga'tuo'si'kai'shan'zu'shi'dan'ba'de'xie
嘎旺巴帝,ga'wang'ba'di
噶厦,ga'xia
盖缠,gai'chan
盖归,gai'gui
盖上世尝有不葬其亲者,gai'shang'shi'chang'you'bu'zang'qi'qin'zhe
盖天说,gai'tian'shuo
改邪钞,gai'xie'chao
盖有道之士也,gai'you'dao'zhi'shi'ye
盖在殷忧必竭诚以待下,gai'zai'yin'you'bi'jie'cheng'yi'dai'xia
改正朔,gai'zheng'shuo
甘巴拉,gan'ba'la
甘巴力巴,gan'ba'li'ba
甘大力,gan'da'li
甘丹赤巴,gan'dan'chi'ba
甘丹寺,gan'dan'si
甘地,gan'di
甘帝巴,gan'di'ba
干第罗洛颜格朗,gan'di'luo'luo'yan'ge'lang
干第文荼,gan'di'wen'tu
感恩,gan'en
感恩的心,gan'en'de'xin
感恩父母,gan'en'fu'mu
感恩心,gan'en'xin
干峰士昙,gan'feng'shi'tan
干凤寺,gan'feng'si
甘嘎那,gan'ga'na
干戈朕,gan'ge'zhen
感果,gan'guo
感寂漠而伤神,gan'ji'mo'er'shang'shen
甘露,gan'lu
甘露法,gan'lu'fa
甘露法雨,gan'lu'fa'yu
甘露饭王,gan'lu'fan'wang
甘露歌,gan'lu'ge
甘露界,gan'lu'jie
甘露门,gan'lu'men
甘露灭,gan'lu'mie
甘露谱,gan'lu'pu
甘露水,gan'lu'shui
甘露寺,gan'lu'si
甘露陀罗尼,gan'lu'tuo'luo'ni
甘露王,gan'lu'wang
甘露味论,gan'lu'wei'lun
甘露湛湛润炎方,gan'lu'zhan'zhan'run'yan'fang
甘露咒,gan'lu'zhou
甘马,gan'ma
甘尼沙,gan'ni'sha
甘其食,gan'qi'shi
敢请,gan'qing
甘泉集,gan'quan'ji
甘泉先生文集,gan'quan'xian'sheng'wen'ji
甘泉学派,gan'quan'xue'pai
甘始,gan'shi
甘石星经,gan'shi'xing'jing
甘塔拔,gan'ta'ba
甘塔拉,gan'ta'la
干闼婆,gan'ta'po
感通寺,gan'tong'si
干陀罗色,gan'tuo'luo'se
敢为嫦娥为情故,gan'wei'chang'e'wei'qing'gu
敢问,gan'wen
敢问崇德,gan'wen'chong'de
敢问死,gan'wen'si
感悟人生磨事多,gan'wu'ren'sheng'mo'shi'duo
干潟龙祥,gan'xi'long'xiang
感相,gan'xiang
感兴,gan'xing
甘行者,gan'xing'zhe
感应,gan'ying
感应道交,gan'ying'dao'jiao
感应录,gan'ying'lu
感应之几,gan'ying'zhi'ji
甘贽,gan'zhi
甘贽妻,gan'zhi'qi
赣州显首座,gan'zhou'xian'shou'zuo
冈波巴,gang'bo'ba
岗波巴,gang'bo'ba
刚般若波罗蜜经论,gang'bo're'bo'luo'mi'jing'lun
刚强兰花,gang'qiang'lan'hua
刚柔,gang'rou
冈野正道,gang'ye'zheng'dao
高庵,gao'an
高庵善悟,gao'an'shan'wu
高本钊,gao'ben'zhao
高伯恭,gao'bo'gong
高昌国,gao'chang'guo
高城,gao'cheng
高崇,gao'chong
高登海居士,gao'deng'hai'ju'shi
高登九品大愿方成,gao'deng'jiu'pin'da'yuan'fang'cheng
高定子,gao'ding'zi
高洞尼众禅院,gao'dong'ni'zhong'chan'yuan
羔儿皮,gao'er'pi
高峰禅师,gao'feng'chan'shi
高峰妙禅师,gao'feng'miao'chan'shi
高峰妙禅师禅师,gao'feng'miao'chan'shi'chan'shi
高峰显日,gao'feng'xian'ri
高峰原妙禅师,gao'feng'yuan'miao'chan'shi
高峰真理,gao'feng'zhen'li
高拱,gao'gong
告国民党的同志并告全国国民,gao'guo'min'dang'de'tong'zhi'bing'gao'quan'guo'guo'min
高汇旃,gao'hui'zhan
膏火,gao'huo
高获,gao'huo
高稼,gao'jia
高丽藏,gao'li'cang
高丽国,gao'li'guo
高丽普济禅师,gao'li'pu'ji'chan'shi
高棉佛教,gao'mian'fo'jiao
高明道,gao'ming'dao
高明寺,gao'ming'si
高攀龙,gao'pan'long
皋壤与,gao'rang'yu
高仁峒,gao'ren'dong
高僧,gao'seng
高僧大德,gao'seng'da'de
高僧法显传,gao'seng'fa'xian'chuan
高僧敬脱,gao'seng'jing'tuo
高僧涉,gao'seng'she
高僧涉公,gao'seng'she'gong
高僧摘要,gao'seng'zhai'yao
高僧传,gao'seng'zhuan
高沙喇,gao'sha'la
高沙弥参惟俨禅师,gao'sha'mi'can'wei'yan'chan'shi
高山慈照,gao'shan'ci'zhao
高赏比,gao'shang'bi
高深法门,gao'shen'fa'men
高识传,gao'shi'chuan
搞世间法,gao'shi'jian'fa
高世则,gao'shi'ze
高斯得,gao'si'de
高王观音经,gao'wang'guan'yin'jing
高文显居士,gao'wen'xian'ju'shi
告我,gao'wo
高雄佛教堂,gao'xiong'fo'jiao'tang
高野山,gao'ye'shan
高野山大学,gao'ye'shan'da'xue
高愈,gao'yu
告於哀公曰,gao'yu'ai'gong'yue
高与远,gao'yu'yuan
高载,gao'zai
告子,gao'zi
高子遗书,gao'zi'yi'shu
告子曰,gao'zi'yue
高祖龙树尊者,gao'zu'long'shu'zun'zhe
各抱地势,ge'bao'di'shi
革不必世,ge'bu'bi'shi
割不正不食,ge'bu'zheng'bu'shi
格敦嘉措,ge'dun'jia'cuo
格敦群佩,ge'dun'qun'pei
格敦朱巴,ge'dun'zhu'ba
割耳救雉,ge'er'jiu'zhi
各各须自悟,ge'ge'xu'zi'wu
格合外内,ge'he'wai'nei
葛洪,ge'hong
葛济妻纪氏,ge'ji'qi'ji'shi
葛鲁拉,ge'lu'la
格鲁派,ge'lu'pai
革命,ge'ming
革命军,ge'ming'jun
革命哲学,ge'ming'zhe'xue
葛谦问,ge'qian'wen
个人承担,ge'ren'cheng'dan
格萨尔王,ge'sa'er'wang
格萨尔王传,ge'sa'er'wang'chuan
割牲而盟以为信,ge'sheng'er'meng'yi'wei'xin
隔生即忘,ge'sheng'ji'wang
格式,ge'shi
格索恰,ge'suo'qia
葛郯,ge'tan
葛藤语笺,ge'teng'yu'jian
革天,ge'tian
格外可贵,ge'wai'ke'gui
格物,ge'wu
格西,ge'xi
格心,ge'xin
格心正己,ge'xin'zheng'ji
葛玄,ge'xuan
格言宝藏论,ge'yan'bao'zang'lun
割也,ge'ye
格义,ge'yi
戈以安,ge'yi'an
各以衣裓,ge'yi'yi'jie
隔阴之迷,ge'yin'zhi'mi
葛由,ge'you
各於其党,ge'yu'qi'dang
各于其国,ge'yu'qi'guo
阁皂山,ge'zao'shan
阁皂宗,ge'zao'zong
格致,ge'zhi
格致相因,ge'zhi'xiang'yin
各种贪恋,ge'zhong'tan'lian
鸽子衔枝近人家,ge'zi'xian'zhi'jin'ren'jia
给孤独园,gei'gu'du'yuan
给孤独长者,gei'gu'du'zhang'zhe
给事集,gei'shi'ji
根本定,gen'ben'ding
根本法轮,gen'ben'fa'lun
根本烦恼,gen'ben'fan'nao
根本佛教,gen'ben'fo'jiao
根本惑,gen'ben'huo
根本戒,gen'ben'jie
根本上师,gen'ben'shang'shi
根本识,gen'ben'shi
根本说一切有部毗奈耶,gen'ben'shuo'yi'qie'you'bu'pi'nai'ye
根本无明,gen'ben'wu'ming
根本印,gen'ben'yin
根本因,gen'ben'yin
根本智,gen'ben'zhi
根边蕴,gen'bian'yun
根尘,gen'chen
根基,gen'ji
根境识,gen'jing'shi
根据历代校诂学者可取的见解,gen'ju'li'dai'xiao'gu'xue'zhe'ke'qu'de'jian'jie
根来寺,gen'lai'si
根力,gen'li
根力觉道,gen'li'jue'dao
根力觉分,gen'li'jue'fen
根门,gen'men
根桑曲札,gen'sang'qu'zha
根身,gen'shen
根身器界,gen'shen'qi'jie
根识,gen'shi
根通法师,gen'tong'fa'shi
艮为山,gen'wei'shan
根性,gen'xing
根由,gen'you
根源会,gen'yuan'hui
艮斋浪语录,gen'zhai'lang'yu'lu
庚辰,geng'chen
耿定理,geng'ding'li
耿定向,geng'ding'xiang
耕而食,geng'er'shi
更法,geng'fa
耿噶罗哲坚赞,geng'ga'luo'zhe'jian'zan
耿耿与海,geng'geng'yu'hai
更化,geng'hua
耿介,geng'jie
耿橘,geng'ju
庚申,geng'shen
更生论,geng'sheng'lun
庚午,geng'wu
更行更远还生,geng'xing'geng'yuan'huan'sheng
庚戌,geng'xu
庚戌中秋后二夕带湖篆冈小酌,geng'xu'zhong'qiu'hou'er'xi'dai'hu'zhuan'gang'xiao'zhuo
更也,geng'ye
耕也,geng'ye
庚寅,geng'yin
更有香风吹左右,geng'you'xiang'feng'chui'zuo'you
更在向上尺寸间,geng'zai'xiang'shang'chi'cun'jian
耕战,geng'zhan
耕者,geng'zhe
庚子,geng'zi
公案,gong'an
贡巴瓦,gong'ba'wa
共报,gong'bao
共比量,gong'bi'liang
公伯寮愬子路於季孙,gong'bo'liao'shuo'zi'lu'yu'ji'sun
共般若,gong'bo're
共不共,gong'bu'gong
弓长岭佛教协会,gong'chang'ling'fo'jiao'xie'hui
功成事遂,gong'cheng'shi'sui
公德,gong'de
功德,gong'de
功德藏,gong'de'cang
功德池,gong'de'chi
功德法身,gong'de'fa'shen
功德坟寺,gong'de'fen'si
功德光,gong'de'guang
功德海,gong'de'hai
功德力,gong'de'li
功德品,gong'de'pin
功德使,gong'de'shi
功德水,gong'de'shui
功德田,gong'de'tian
功德香,gong'de'xiang
功德增上,gong'de'zeng'shang
功德直,gong'de'zhi
供灯,gong'deng
恭而安,gong'er'an
共法,gong'fa
公反,gong'fan
巩丰,gong'feng
供奉吴元卿,gong'feng'wu'yuan'qing
功夫成片,gong'fu'cheng'pian
工夫所至,gong'fu'suo'zhi
贡噶居士,gong'ga'ju'shi
贡高,gong'gao
贡高我慢,gong'gao'wo'man
公共聚居,gong'gong'ju'ju
功过格,gong'guo'ge
攻乎异端,gong'hu'yi'duan
公畿,gong'ji
共祭先祖,gong'ji'xian'zu
公鸡与虫儿,gong'ji'yu'chong'er
恭俭岂可以声音笑貌为哉,gong'jian'qi'ke'yi'sheng'yin'xiao'mao'wei'zai
共教,gong'jiao
恭近於礼,gong'jin'yu'li
恭敬心,gong'jing'xin
恭敬修,gong'jing'xiu
恭敬有德,gong'jing'you'de
恭敬之心,gong'jing'zhi'xin
功迥,gong'jiong
供具,gong'ju
公开地爱,gong'kai'de'ai
公开诽谤,gong'kai'fei'bang
功课,gong'ke
公例,gong'li
功利,gong'li
功利机巧必忘夫人之心,gong'li'ji'qiao'bi'wang'fu'ren'zhi'xin
供曼达,gong'man'da
公孟,gong'meng
共名与别名,gong'ming'yu'bie'ming
共命之鸟,gong'ming'zhi'niao
公乃全,gong'nai'quan
功能,gong'neng
供品,gong'pin
攻其恶,gong'qi'e
公器也,gong'qi'ye
工巧明,gong'qiao'ming
工巧学,gong'qiao'xue
功求成,gong'qiu'cheng
工人,gong'ren
巩嵘,gong'rong
公沙穆,gong'sha'mu
公事毕,gong'shi'bi
弓矢从的,gong'shi'cong'de
共十地,gong'shi'di
攻守异势与攻取异术,gong'shou'yi'shi'yu'gong'qu'yi'shu
公叔文子之臣大夫僎,gong'shu'wen'zi'zhi'chen'dai'fu'zun
公孙龙子,gong'sun'long'zi
公孙龙子刑名发微,gong'sun'long'zi'xing'ming'fa'wei
公孙卿,gong'sun'qing
公孙衍,gong'sun'yan
贡唐大师,gong'tang'da'shi
贡唐贡却丹白仲美,gong'tang'gong'que'dan'bai'zhong'mei
工为商,gong'wei'shang
供物,gong'wu
公西华侍坐,gong'xi'hua'shi'zuo
巩县石窟,gong'xian'shi'ku
共相,gong'xiang
共相惑,gong'xiang'huo
公心,gong'xin
公性,gong'xing
躬行践履,gong'xing'jian'lv
公性在独性中,gong'xing'zai'du'xing'zhong
公巖,gong'yan
公言,gong'yan
供养,gong'yang
供养处,gong'yang'chu
公羊传,gong'yang'chuan
公羊春秋,gong'yang'chun'qiu
供养法,gong'yang'fa
公羊三世说,gong'yang'san'shi'shuo
供养他方十万亿佛,gong'yang'ta'fang'shi'wan'yi'fo
共业,gong'ye
公冶长,gong'ye'chang
弓裔,gong'yi
共一毂,gong'yi'gu
公因,gong'yin
功用,gong'yong
公曰,gong'yue
功在不舍,gong'zai'bu'she
公则说,gong'ze'shuo
供斋,gong'zhai
公执席,gong'zhi'xi
龚仲淳妇祝氏,gong'zhong'chun'fu'zhu'shi
共种子,gong'zhong'zi
工珠云丹嘉措,gong'zhu'yun'dan'jia'cuo
工珠云登加措大师,gong'zhu'yun'deng'jia'cuo'da'shi
躬自厚,gong'zi'hou
龚自珍全集,gong'zi'zhen'quan'ji
公族也,gong'zu'ye
勾陈南极大帝,gou'chen'nan'ji'da'di
苟答马,gou'da'ma
狗非犬,gou'fei'quan
苟合矣,gou'he'yi
沟浍皆盈其涸也,gou'hui'jie'ying'qi'he'ye
苟简,gou'jian
垢结,gou'jie
苟可得已,gou'ke'de'yi
勾漏洞,gou'lou'dong
苟美矣,gou'mei'yi
垢染,gou'ran
垢身得此将转成,gou'shen'de'ci'jiang'zhuan'cheng
垢识,gou'shi
苟完矣,gou'wan'yi
苟有过,gou'you'guo
勾招,gou'zhao
钩召法,gou'zhao'fa
苟志於仁矣,gou'zhi'yu'ren'yi
狗子佛性,gou'zi'fo'xing
瞽庵禅师,gu'an'chan'shi
固不待师,gu'bu'dai'shi
故不敢当其赏,gu'bu'gan'dang'qi'shang
故不敢伏其诛,gu'bu'gan'fu'qi'zhu
觚不觚,gu'bu'gu
故不终其天年而中道夭,gu'bu'zhong'qi'tian'nian'er'zhong'dao'yao
姑布子卿,gu'bu'zi'qing
古刹有真如最庄严七层宝塔,gu'cha'you'zhen'ru'zui'zhuang'yan'qi'ceng'bao'ta
故长,gu'chang
故常无,gu'chang'wu
鼓槌,gu'chui
故辞,gu'ci
故辞而不受也,gu'ci'er'bu'shou'ye
故怠,gu'dai
古代佛教人物,gu'dai'fo'jiao'ren'wu
故道大,gu'dao'da
古德,gu'de
故德备,gu'de'bei
故德有所长而形有所忘,gu'de'you'suo'chang'er'xing'you'suo'wang
固柢,gu'di
孤邸,gu'di
古鼎禅师,gu'ding'chan'shi
古鼎铭禅师,gu'ding'ming'chan'shi
古鼎祖铭禅师,gu'ding'zu'ming'chan'shi
顾栋高,gu'dong'gao
故动以百姓,gu'dong'yi'bai'xing
孤独地狱,gu'du'di'yu
孤独园,gu'du'yuan
孤独斩梦醒十分,gu'du'zhan'meng'xing'shi'fen
固而近於费,gu'er'jin'yu'fei
顾法严,gu'fa'yan
故伐之,gu'fa'zhi
鼓方叔入於河,gu'fang'shu'ru'yu'he
孤峰禅师明德,gu'feng'chan'shi'ming'de
孤峰德禅师,gu'feng'de'chan'shi
故风化,gu'feng'hua
孤峰秀禅师,gu'feng'xiu'chan'shi
古佛,gu'fo
鼓腹而游,gu'fu'er'you
故服其殃,gu'fu'qi'yang
故夫三桓之子孙微矣,gu'fu'san'huan'zhi'zi'sun'wei'yi
故夫三皇五帝之礼义法度,gu'fu'san'huang'wu'di'zhi'li'yi'fa'du
古格洛桑丹增,gu'ge'luo'sang'dan'zeng
古格王朝,gu'ge'wang'chao
鼓歌以,gu'ge'yi
故割之,gu'ge'zhi
古公父,gu'gong'fu
古古力巴,gu'gu'li'ba
故观之名,gu'guan'zhi'ming
故观之名则不见,gu'guan'zhi'ming'ze'bu'jian
故国治,gu'guo'zhi
顾欢,gu'huan
故或下,gu'huo'xia
古吉巴,gu'ji'ba
故几于道,gu'ji'yu'dao
顾鉴古范,gu'jian'gu'fan
古涧寒泉,gu'jian'han'quan
顾见孔子,gu'jian'kong'zi
古教会历史,gu'jiao'hui'li'shi
骨节与人同而犯害与人异,gu'jie'yu'ren'tong'er'fan'hai'yu'ren'yi
古今禅藻集,gu'jin'chan'zao'ji
古今纪要,gu'jin'ji'yao
古今译经图纪,gu'jin'yi'jing'tu'ji
故进之,gu'jin'zhi
古镜未磨,gu'jing'wei'mo
故静也,gu'jing'ye
固扃,gu'jiong
故久而後失之也,gu'jiu'er'hou'shi'zhi'ye
故九万里则风斯在下矣,gu'jiu'wan'li'ze'feng'si'zai'xia'yi
故举天下以赏其善者不足,gu'ju'tian'xia'yi'shang'qi'shan'zhe'bu'zu
孤驹未尝有母,gu'ju'wei'chang'you'mu
故君子不得已而临莅天下,gu'jun'zi'bu'de'yi'er'lin'li'tian'xia
故君子苟能无解其五藏,gu'jun'zi'gou'neng'wu'jie'qi'wu'cang
故君子莫大乎与人为善,gu'jun'zi'mo'da'hu'yu'ren'wei'shan
古崑,gu'kun
