阿巴迪征,a'ba'di'zheng
辅肌动蛋白,fu'ji'dong'dan'bai
副交感部,fu'jiao'gan'bu
副交感中枢,fu'jiao'gan'zhong'shu
弗莱希西希表皮前固有束,fu'lai'xi'xi'xi'biao'pi'qian'gu'you'shu
弗莱希西希区,fu'lai'xi'xi'xi'qu
弗莱希西希髓鞘发生定律,fu'lai'xi'xi'xi'sui'qiao'fa'sheng'ding'lv
弗莱综合征,fu'lai'zong'he'zheng
福雷尔交叉,fu'lei'er'jiao'cha
福雷尔连合,fu'lei'er'lian'he
福雷尔区,fu'lei'er'qu
弗雷泽斯皮勒手术,fu'lei'ze'si'pi'le'shou'shu
弗里德赖希足,fu'li'de'lai'xi'zu
弗里德曼血管,fu'li'de'man'xue'guan
弗里尔氏被盖前区,fu'li'er'shi'bei'gai'qian'qu
弗伦克尔运动疗法,fu'lun'ke'er'yun'dong'liao'fa
弗罗里普神经节枕神经节,fu'luo'li'pu'shen'jing'jie'zhen'shen'jing'jie
弗罗曼线,fu'luo'man'xian
富马酸尼唑苯酮,fu'ma'suan'ni'zuo'ben'tong
辅酶,fu'mei
氟灭酸,fu'mie'suan
呋喃苯胺酸,fu'nan'ben'an'suan
呋喃旦啶,fu'nan'dan'ding
呋喃甲氢龙,fu'nan'jia'qing'long
氟哌啶醇,fu'pai'ding'chun
腹腔丛,fu'qiang'cong
氟氢可的松,fu'qing'ke'di'song
副醛,fu'quan
辐射,fu'she
辐射冠,fu'she'guan
副舌下神经麻痹综合征,fu'she'xia'shen'jing'ma'bi'zong'he'zheng
副神经,fu'shen'jing
复视,fu'shi
复式显微镜,fu'shi'xian'wei'jing
氟斯必灵,fu'si'bi'ling
腹下部反射,fu'xia'bu'fan'she
腹下丛,fu'xia'cong
氟硝安定,fu'xiao'an'ding
附着板,fu'zhuo'ban
钙化,gai'hua
改善,gai'shan
肝病性间歇热,gan'bing'xing'jian'xie're
肝豆状核,gan'dou'zhuang'he
肝豆状核变性,gan'dou'zhuang'he'bian'xing
感觉剥夺,gan'jue'bo'duo
感觉迟钝,gan'jue'chi'dun
感觉传导的,gan'jue'chuan'dao'de
感觉根,gan'jue'gen
感觉过敏,gan'jue'guo'min
感觉忽视,gan'jue'hu'shi
感觉减退,gan'jue'jian'tui
感觉麻痹性膀胱,gan'jue'ma'bi'xing'pang'guang
感觉牵联异常,gan'jue'qian'lian'yi'chang
感觉缺失,gan'jue'que'shi
感觉神经病,gan'jue'shen'jing'bing
感觉神经根性神经病,gan'jue'shen'jing'gen'xing'shen'jing'bing
感觉神经元,gan'jue'shen'jing'yuan
感觉性癫痫发作,gan'jue'xing'dian'xian'fa'zuo
感觉性神经性耳聋,gan'jue'xing'shen'jing'xing'er'long
感觉性失语,gan'jue'xing'shi'yu
感觉异常,gan'jue'yi'chang
感觉异常反射,gan'jue'yi'chang'fan'she
感觉异常性背痛,gan'jue'yi'chang'xing'bei'tong
感觉异常性股痛,gan'jue'yi'chang'xing'gu'tong
感觉障碍,gan'jue'zhang'ai
感觉中枢,gan'jue'zhong'shu
橄榄耳蜗束,gan'lan'er'wo'shu
橄榄核囊,gan'lan'he'nang
橄榄后沟,gan'lan'hou'gou
橄榄脊髓束,gan'lan'ji'sui'shu
橄榄前沟,gan'lan'qian'gou
橄榄桥脑小脑共济失调,gan'lan'qiao'nao'xiao'nao'gong'ji'shi'tiao
橄榄桥脑小脑萎缩,gan'lan'qiao'nao'xiao'nao'wei'suo
橄榄体,gan'lan'ti
橄榄小脑纤维,gan'lan'xiao'nao'xian'wei
干酪样,gan'lao'yang
甘露醇,gan'lu'chun
肝脑变性,gan'nao'bian'xing
感染性多发性神经炎综合征,gan'ran'xing'duo'fa'xing'shen'jing'yan'zong'he'zheng
干扰素,gan'rao'su
甘塞氏连合,gan'sai'shi'lian'he
感受器,gan'shou'qi
感受野,gan'shou'ye
肝素钠,gan'su'na
肝性昏迷,gan'xing'hun'mi
肝性脊髓病,gan'xing'ji'sui'bing
肝性脑病,gan'xing'nao'bing
干燥综合征,gan'zao'zong'he'zheng
杆状体肌病,gan'zhuang'ti'ji'bing
肛门反射,gang'men'fan'she
高尔基混合染色法,gao'er'ji'hun'he'ran'se'fa
高尔基体,gao'er'ji'ti
高尔基小体,gao'er'ji'xiao'ti
高尔基型神经元,gao'er'ji'xing'shen'jing'yuan
高尔斯综合征,gao'er'si'zong'he'zheng
高胱氨酸尿症,gao'guang'an'suan'niao'zheng
高钾性周期性,gao'jia'xing'zhou'qi'xing
高乐斯征,gao'le'si'zheng
高钠血症,gao'na'xue'zheng
高热,gao're
高热惊厥,gao're'jing'jue
高渗透性,gao'shen'tou'xing
高碳酸血症,gao'tan'suan'xue'zheng
睾丸素,gao'wan'su
高血压脑病,gao'xue'ya'nao'bing
高脂血症,gao'zhi'xue'zheng
戈登反射,ge'deng'fan'she
戈登试验,ge'deng'shi'yan
戈登征,ge'deng'zheng
戈尔核,ge'er'he
戈尔纤维,ge'er'xian'wei
格拉代尼果综合征,ge'la'dai'ni'guo'zong'he'zheng
格拉赫网,ge'la'he'wang
格拉斯哥昏迷计分,ge'la'si'ge'hun'mi'ji'fen
格腊希果塞尔胡佛征,ge'la'xi'guo'sai'er'hu'fo'zheng
格腊希失语,ge'la'xi'shi'yu
格腊希现象,ge'la'xi'xian'xiang
格林巴利综合征,ge'lin'ba'li'zong'he'zheng
隔区,ge'qu
跟膝反射,gen'xi'fan'she
更年期综合征,geng'nian'qi'zong'he'zheng
梗阻,geng'zu
贡博菲利普三角,gong'bo'fei'li'pu'san'jiao
共轭,gong'e
共济失调,gong'ji'shi'tiao
共济失调步态,gong'ji'shi'tiao'bu'tai
共济失调样,gong'ji'shi'tiao'yang
共同阵挛性痉挛,gong'tong'zhen'luan'xing'jing'luan
弓形体,gong'xing'ti
弓形体病,gong'xing'ti'bing
弓形足,gong'xing'zu
弓状小脑纤维,gong'zhuang'xiao'nao'xian'wei
钩回发作,gou'hui'fa'zuo
钩回疝,gou'hui'shan
佝偻颅骨,gou'lou'lu'gu
钩束,gou'shu
构音困难,gou'yin'kun'nan
古布累偏瘫,gu'bu'lei'pian'tan
古布累线,gu'bu'lei'xian
古登定律,gu'deng'ding'lv
古登氏连合,gu'deng'shi'lian'he
固定性痉挛,gu'ding'xing'jing'luan
固定癔病,gu'ding'yi'bing
骨缝,gu'feng
骨骼肌运动末梢,gu'ge'ji'yun'dong'mo'shao
谷固醇,gu'gu'chun
骨化性肌炎,gu'hua'xing'ji'yan
骨化性纤维发育不良,gu'hua'xing'xian'wei'fa'yu'bu'liang
骨瘤,gu'liu
骨盆带肌,gu'pen'dai'ji
骨肉瘤,gu'rou'liu
骨软化,gu'ruan'hua
鼓室神经痛,gu'shi'shen'jing'tong
孤束,gu'shu
孤束核脊髓束,gu'shu'he'ji'sui'shu
古斯曼综合征,gu'si'man'zong'he'zheng
骨髓瘤,gu'sui'liu
鼓索支,gu'suo'zhi
股痛,gu'tong
股外侧皮神经炎,gu'wai'ce'pi'shen'jing'yan
谷维酸,gu'wei'suan
古小脑,gu'xiao'nao
固有束,gu'you'shu
关岛震颤麻痹痴呆综合征,guan'dao'zhen'chan'ma'bi'chi'dai'zong'he'zheng
关节感受器,guan'jie'gan'shou'qi
关节固定性脊柱炎,guan'jie'gu'ding'xing'ji'zhu'yan
关节神经痛,guan'jie'shen'jing'tong
冠状的,guan'zhuang'de
光反射,guang'fan'she
光学显微镜,guang'xue'xian'wei'jing
光源性癫痫,guang'yuan'xing'dian'xian
光原性癫痫发作,guang'yuan'xing'dian'xian'fa'zuo
过度换气,guo'du'huan'qi
过度换气综合征,guo'du'huan'qi'zong'he'zheng
哈雷大病,ha'lei'da'bing
哈奇森综合征,ha'qi'sen'zong'he'zheng
海登汗综合征,hai'deng'han'zong'he'zheng
海马,hai'ma
海马沟,hai'ma'gou
海马回嗅觉小岛,hai'ma'hui'xiu'jue'xiao'dao
海马连合,hai'ma'lian'he
海马旁回,hai'ma'pang'hui
海绵窦,hai'mian'dou
海绵窦综合征,hai'mian'dou'zong'he'zheng
海绵状脑白质营养不良症,hai'mian'zhuang'nao'bai'zhi'ying'yang'bu'liang'zheng
海绵状脑病,hai'mian'zhuang'nao'bing
核磁共振,he'ci'gong'zhen
核黄疸,he'huang'dan
核间性眼肌麻痹,he'jian'xing'yan'ji'ma'bi
赫林定律,he'lin'ding'lv
赫林试验,he'lin'shi'yan
赫林学说,he'lin'xue'shuo
核仁,he'ren
核上性麻痹,he'shang'xing'ma'bi
核糖核酸,he'tang'he'suan
核糖体,he'tang'ti
核性眼肌瘫痪,he'xing'yan'ji'tan'huan
合征,he'zheng
核周体,he'zhou'ti
黑朦,hei'meng
黑朦性白痴,hei'meng'xing'bai'chi
黑蒙综合征,hei'meng'zong'he'zheng
黑内尔症状,hei'nei'er'zheng'zhuang
黑素,hei'su
黑质,hei'zhi
黑质顶盖纤维,hei'zhi'ding'gai'xian'wei
黑质丘脑纤维,hei'zhi'qiu'nao'xian'wei
黑质纹状体纤维,hei'zhi'wen'zhuang'ti'xian'wei
横窦,heng'dou
亨诺赫舞蹈病,heng'nuo'he'wu'dao'bing
亨诺赫紫癜,heng'nuo'he'zi'dian
亨特病,heng'te'bing
亨特反常现象,heng'te'fan'chang'xian'xiang
亨特肌萎缩,heng'te'ji'wei'suo
亨特纹状体综合征,heng'te'wen'zhuang'ti'zong'he'zheng
亨特综合征,heng'te'zong'he'zheng
亨廷顿舞蹈病,heng'ting'dun'wu'dao'bing
横纹肌,heng'wen'ji
横纹肌盘,heng'wen'ji'pan
横纹肌肉瘤,heng'wen'ji'rou'liu
红斑性面病,hong'ban'xing'mian'bing
红斑性肢痛病,hong'ban'xing'zhi'tong'bing
红核橄榄纤维,hong'he'gan'lan'xian'wei
红核脊髓束,hong'he'ji'sui'shu
红核前区,hong'he'qian'qu
红核延脑纤维,hong'he'yan'nao'xian'wei
虹膜,hong'mo
红细胞增多症,hong'xi'bao'zeng'duo'zheng
后穿质,hou'chuan'zhi
后电位,hou'dian'wei
后根,hou'gen
后角,hou'jiao
后颈交感神经综合征,hou'jing'jiao'gan'shen'jing'zong'he'zheng
喉痉挛,hou'jing'luan
后连合,hou'lian'he
后颅窝肿瘤,hou'lu'wo'zhong'liu
后脑,hou'nao
后旁嗅沟,hou'pang'xiu'gou
后丘脑,hou'qiu'nao
后屈束,hou'qu'shu
后髓帆,hou'sui'fan
后索,hou'suo
后天性肌强直,hou'tian'xing'ji'qiang'zhi
后退步态,hou'tui'bu'tai
后外侧沟,hou'wai'ce'gou
后外侧裂,hou'wai'ce'lie
喉危象,hou'wei'xiang
后囟,hou'xin
后仰,hou'yang
后遗症,hou'yi'zheng
后正中沟,hou'zheng'zhong'gou
后中间沟,hou'zhong'jian'gou
壶腹嵴,hu'fu'ji
呼气中枢,hu'qi'zhong'shu
呼吸过度,hu'xi'guo'du
呼吸调整中枢,hu'xi'tiao'zheng'zhong'shu
呼吸抑制,hu'xi'yi'zhi
呼吸障碍,hu'xi'zhang'ai
华法林钠,hua'fa'lin'na
滑面内质网,hua'mian'nei'zhi'wang
化脓性脑膜炎,hua'nong'xing'nao'mo'yan
化脓性中耳炎,hua'nong'xing'zhong'er'yan
华滕伯格征,hua'teng'bo'ge'zheng
化学突触,hua'xue'tu'chu
踝反射,huai'fan'she
坏疽,huai'ju
环巴比妥,huan'ba'bi'tuo
环孢菌素,huan'bao'jun'su
环扁桃酯,huan'bian'tao'zhi
环层小体,huan'ceng'xiao'ti
环池,huan'chi
缓和,huan'he
环甲,huan'jia
缓解,huan'jie
幻觉,huan'jue
幻觉性神经痛,huan'jue'xing'shen'jing'tong
环磷酰胺,huan'lin'xian'an
环染细胞,huan'ran'xi'bao
幻视,huan'shi
寰枢椎半脱位,huan'shu'zhui'ban'tuo'wei
环丝氨酸,huan'si'an'suan
幻听,huan'ting
环戊丙醇,huan'wu'bing'chun
环形步态,huan'xing'bu'tai
幻嗅,huan'xiu
幻肢痛,huan'zhi'tong
环状增强,huan'zhuang'zeng'qiang
黄斑,huang'ban
黄变症,huang'bian'zheng
恍惚,huang'hu
黄酮哌酯,huang'tong'pai'zhi
慌张步态,huang'zhang'bu'tai
灰被,hui'bei
恢复,hui'fu
灰黄霉素,hui'huang'mei'su
会聚痉挛,hui'ju'jing'luan
会聚障碍,hui'ju'zhang'ai
回苏灵,hui'su'ling
灰网状质,hui'wang'zhuang'zhi
会厌,hui'yan
回忆,hui'yi
秽语症,hui'yu'zheng
灰质,hui'zhi
灰质软化,hui'zhi'ruan'hua
混合突触,hun'he'tu'chu
昏迷,hun'mi
昏睡,hun'shui
昏睡性脑炎,hun'shui'xing'nao'yan
霍尔面容,huo'er'mian'rong
霍夫曼现象,huo'fu'man'xian'xiang
霍夫曼征,huo'fu'man'zheng
活检,huo'jian
霍门综合征,huo'men'zong'he'zheng
霍姆斯变性,huo'mu'si'bian'xing
霍纳综合征,huo'na'zong'he'zheng
霍氏瞳孔,huo'shi'tong'kong
活跃,huo'yue
基板,ji'ban
肌病面容,ji'bing'mian'rong
肌醇,ji'chun
基底部,ji'di'bu
基底池,ji'di'chi
基底窦,ji'di'dou
基底沟,ji'di'gou
肌电图,ji'dian'tu
脊顶丘脑束,ji'ding'qiu'nao'shu
肌动蛋白,ji'dong'dan'bai
肌动球蛋白,ji'dong'qiu'dan'bai
极端位注视性眼球震颤,ji'duan'wei'zhu'shi'xing'yan'qiu'zhen'chan
继发性变性,ji'fa'xing'bian'xing
继发性出血,ji'fa'xing'chu'xie
肌肥大,ji'fei'da
肌苷,ji'gan
激光显微镜,ji'guang'xian'wei'jing
肌红蛋白尿,ji'hong'dan'bai'niao
脊肌萎缩,ji'ji'wei'suo
肌腱,ji'jian
肌浆间质粒,ji'jiang'jian'zhi'li
吉罗非齐,ji'luo'fei'qi
脊膜脊神经根炎,ji'mo'ji'shen'jing'gen'yan
脊膜脊髓膨出,ji'mo'ji'sui'peng'chu
脊膜脊髓炎,ji'mo'ji'sui'yan
肌强直,ji'qiang'zhi
肌强直病,ji'qiang'zhi'bing
肌强直状态,ji'qiang'zhi'zhuang'tai
肌球蛋白尿,ji'qiu'dan'bai'niao
肌溶解,ji'rong'jie
肌肉发育不全,ji'rou'fa'yu'bu'quan
肌肉发育肥大,ji'rou'fa'yu'fei'da
肌肉痉挛,ji'rou'jing'luan
肌肉强直,ji'rou'qiang'zhi
肌肉松驰,ji'rou'song'chi
肌肉萎缩,ji'rou'wei'suo
脊神经根病,ji'shen'jing'gen'bing
脊神经根痛,ji'shen'jing'gen'tong
脊神经根炎,ji'shen'jing'gen'yan
肌束震颤,ji'shu'zhen'chan
积水性脊髓膜突出,ji'shui'xing'ji'sui'mo'tu'chu
积水性脑膜突出,ji'shui'xing'nao'mo'tu'chu
积水性脑突出,ji'shui'xing'nao'tu'chu
积水性无脑,ji'shui'xing'wu'nao
积水性小头,ji'shui'xing'xiao'tou
肌水肿,ji'shui'zhong
肌丝,ji'si
肌酸激酶,ji'suan'ji'mei
计算困难,ji'suan'kun'nan
脊髓,ji'sui
脊髓白质病,ji'sui'bai'zhi'bing
脊髓白质炎,ji'sui'bai'zhi'yan
脊髓半切综合征,ji'sui'ban'qie'zong'he'zheng
脊髓背核色素细胞,ji'sui'bei'he'se'su'xi'bao
脊髓病,ji'sui'bing
脊髓薄束,ji'sui'bo'shu
脊髓出血,ji'sui'chu'xie
脊髓挫伤,ji'sui'cuo'shang
脊髓电图,ji'sui'dian'tu
脊髓顶盖束,ji'sui'ding'gai'shu
脊髓多神经炎,ji'sui'duo'shen'jing'yan
脊髓发育不良,ji'sui'fa'yu'bu'liang
脊髓发育不全,ji'sui'fa'yu'bu'quan
脊髓反射,ji'sui'fan'she
脊髓肥大,ji'sui'fei'da
脊髓后侧索硬化,ji'sui'hou'ce'suo'ying'hua
脊髓灰质病,ji'sui'hui'zhi'bing
脊髓灰质炎,ji'sui'hui'zhi'yan
脊髓灰质炎病毒,ji'sui'hui'zhi'yan'bing'du
脊髓灰质原节,ji'sui'hui'zhi'yuan'jie
脊髓积水,ji'sui'ji'shui
脊髓肌阵挛,ji'sui'ji'zhen'luan
脊髓空洞症,ji'sui'kong'dong'zheng
脊髓痨,ji'sui'lao
脊髓痨全身麻痹症,ji'sui'lao'quan'shen'ma'bi'zheng
脊髓痨危象,ji'sui'lao'wei'xiang
脊髓痨性眼危象,ji'sui'lao'xing'yan'wei'xiang
脊髓裂,ji'sui'lie
脊髓麻醉,ji'sui'ma'zui
脊髓梅毒,ji'sui'mei'du
脊髓膜中央管突出,ji'sui'mo'zhong'yang'guan'tu'chu
脊髓膜周围炎,ji'sui'mo'zhou'wei'yan
脊髓脑桥纤维,ji'sui'nao'qiao'xian'wei
脊髓皮质束,ji'sui'pi'zhi'shu
脊髓前庭束,ji'sui'qian'ting'shu
脊髓前庭纤维,ji'sui'qian'ting'xian'wei
脊髓前正中裂,ji'sui'qian'zheng'zhong'lie
脊髓切开术,ji'sui'qie'kai'shu
脊髓丘脑束,ji'sui'qiu'nao'shu
脊髓丘系,ji'sui'qiu'xi
脊髓软化,ji'sui'ruan'hua
脊髓神经根炎,ji'sui'shen'jing'gen'yan
脊髓视神经病,ji'sui'shi'shen'jing'bing
脊髓受压,ji'sui'shou'ya
脊髓束,ji'sui'shu
脊髓痛,ji'sui'tong
脊髓网状束,ji'sui'wang'zhuang'shu
脊髓萎缩,ji'sui'wei'suo
脊髓小脑变性,ji'sui'xiao'nao'bian'xing
脊髓小脑后束,ji'sui'xiao'nao'hou'shu
脊髓小脑前束,ji'sui'xiao'nao'qian'shu
脊髓小脑吻侧束,ji'sui'xiao'nao'wen'ce'shu
脊髓小脑性共济失调,ji'sui'xiao'nao'xing'gong'ji'shi'tiao
脊髓楔束,ji'sui'xie'shu
脊髓性神经衰弱,ji'sui'xing'shen'jing'shuai'ruo
脊髓休克,ji'sui'xiu'ke
脊髓血管畸形自发栓塞症,ji'sui'xue'guan'ji'xing'zi'fa'shuan'se'zheng
脊髓血管瘤,ji'sui'xue'guan'liu
脊髓炎,ji'sui'yan
脊髓硬化,ji'sui'ying'hua
脊髓圆锥,ji'sui'yuan'zhui
脊髓造影术,ji'sui'zao'ying'shu
脊髓造影图,ji'sui'zao'ying'tu
脊髓震荡,ji'sui'zhen'dang
脊髓中央管,ji'sui'zhong'yang'guan
脊髓中央管扩张,ji'sui'zhong'yang'guan'kuo'zhang
脊髓中央管突出,ji'sui'zhong'yang'guan'tu'chu
脊髓中央灰质,ji'sui'zhong'yang'hui'zhi
脊髓中央综合征,ji'sui'zhong'yang'zong'he'zheng
脊髓蛛网膜下腔梗阻,ji'sui'zhu'wang'mo'xia'qiang'geng'zu
脊髓蛛网膜炎,ji'sui'zhu'wang'mo'yan
脊髓综合征,ji'sui'zong'he'zheng
脊髓纵裂,ji'sui'zong'lie
脊索瘤,ji'suo'liu
脊索旁的,ji'suo'pang'de
肌梭运动,ji'suo'yun'dong
畸胎瘤,ji'tai'liu
肌痛,ji'tong
肌痛性衰弱,ji'tong'xing'shuai'ruo
肌萎缩,ji'wei'suo
肌萎缩性侧束硬化症,ji'wei'suo'xing'ce'shu'ying'hua'zheng
肌萎缩性侧索硬化,ji'wei'suo'xing'ce'suo'ying'hua
肌无力,ji'wu'li
肌无力面容,ji'wu'li'mian'rong
肌无力危象,ji'wu'li'wei'xiang
肌纤维颤搐,ji'xian'wei'chan'chu
肌纤维发育不良,ji'xian'wei'fa'yu'bu'liang
肌小管性肌病,ji'xiao'guan'xing'ji'bing
肌协同失调,ji'xie'tong'shi'tiao
畸形,ji'xing
极性成胶质细胞瘤,ji'xing'cheng'jiao'zhi'xi'bao'liu
急性出血性脑灰质炎,ji'xing'chu'xue'xing'nao'hui'zhi'yan
急性非特异脊髓炎,ji'xing'fei'te'yi'ji'sui'yan
急性化脓性脊髓炎,ji'xing'hua'nong'xing'ji'sui'yan
急性脊髓前角灰质炎,ji'xing'ji'sui'qian'jiao'hui'zhi'yan
急性酒精中毒,ji'xing'jiu'jing'zhong'du
急性脑综合征,ji'xing'nao'zong'he'zheng
急性热病性多神经炎,ji'xing're'bing'xing'duo'shen'jing'yan
急性上行性脊髓麻痹,ji'xing'shang'xing'xing'ji'sui'ma'bi
急性谵妄,ji'xing'zhan'wang
挤压跟腱征,ji'ya'gen'jian'zheng
肌炎,ji'yan
记忆障碍,ji'yi'zhang'ai
肌营养不良,ji'ying'yang'bu'liang
肌营养不良性肌强直症,ji'ying'yang'bu'liang'xing'ji'qiang'zhi'zheng
肌营养神经病,ji'ying'yang'shen'jing'bing
肌原纤维,ji'yuan'xian'wei
肌原纤维的多边形暗区,ji'yuan'xian'wei'de'duo'bian'xing'an'qu
肌张力,ji'zhang'li
肌张力过度,ji'zhang'li'guo'du
肌张力过高,ji'zhang'li'guo'gao
肌张力减低,ji'zhang'li'jian'di
肌张力减退,ji'zhang'li'jian'tui
肌张力缺失,ji'zhang'li'que'shi
肌张力障碍,ji'zhang'li'zhang'ai
肌阵挛,ji'zhen'luan
肌阵挛发作,ji'zhen'luan'fa'zuo
肌阵挛脑病,ji'zhen'luan'nao'bing
肌阵挛性癫痫,ji'zhen'luan'xing'dian'xian
肌阵挛状态,ji'zhen'luan'zhuang'tai
脊柱侧凸,ji'zhu'ce'tu
脊柱刀,ji'zhu'dao
脊柱关节滑脱症,ji'zhu'guan'jie'hua'tuo'zheng
脊柱后侧凸,ji'zhu'hou'ce'tu
脊柱后凸,ji'zhu'hou'tu
脊柱结核病,ji'zhu'jie'he'bing
脊柱结核病脓肿,ji'zhu'jie'he'bing'nong'zhong
脊柱结核性截瘫,ji'zhu'jie'he'xing'jie'tan
脊柱裂,ji'zhu'lie
脊柱前凸,ji'zhu'qian'tu
脊柱前凸过度,ji'zhu'qian'tu'guo'du
脊柱痛,ji'zhu'tong
脊柱压缩性骨折,ji'zhu'ya'suo'xing'gu'zhe
棘状红细胞,ji'zhuang'hong'xi'bao
脊椎穿刺,ji'zhui'chuan'ci
脊椎肥大症,ji'zhui'fei'da'zheng
甲苯咪唑,jia'ben'mi'zuo
甲苄咪脂,jia'bian'mi'zhi
甲丙氨酯,jia'bing'an'zhi
假单极神经元,jia'dan'ji'shen'jing'yuan
假肥大性肌营养不良,jia'fei'da'xing'ji'ying'yang'bu'liang
甲砜达嗪,jia'feng'da'qin
甲砜霉素,jia'feng'mei'su
甲基巴比妥,jia'ji'ba'bi'tuo
甲基苯巴比妥,jia'ji'ben'ba'bi'tuo
甲基苯丙胺,jia'ji'ben'bing'an
甲基睾丸素,jia'ji'gao'wan'su
甲基麦角酰胺,jia'ji'mai'jiao'xian'an
甲基氢化泼尼松,jia'ji'qing'hua'po'ni'song
加兰他敏,jia'lan'ta'min
甲硫哒嗪,jia'liu'da'qin
假麻痹性重症肌无力,jia'ma'bi'xing'zhong'zheng'ji'wu'li
甲萘丙醇,jia'nai'bing'chun
甲哌嗪,jia'pai'qin
甲哌塞唑,jia'pai'sai'zuo
甲氰咪呱,jia'qing'mi'gua
假神经节,jia'shen'jing'jie
家庭失认,jia'ting'shi'ren
假性痴呆,jia'xing'chi'dai
假性痉挛性麻痹伴发震颤,jia'xing'jing'luan'xing'ma'bi'ban'fa'zhen'chan
假性脑脊膜突出,jia'xing'nao'ji'mo'tu'chu
假性脑积水,jia'xing'nao'ji'shui
假性脑膜炎,jia'xing'nao'mo'yan
假性球麻痹,jia'xing'qiu'ma'bi
假性延髓麻痹,jia'xing'yan'sui'ma'bi
假性硬化,jia'xing'ying'hua
加压中枢,jia'ya'zhong'shu
甲氧氯普胺,jia'yang'lv'pu'an
甲氧萘丙酸钠,jia'yang'nai'bing'suan'na
甲氧异丁卓,jia'yang'yi'ding'zhuo
甲乙基戊酰胺,jia'yi'ji'wu'xian'an
甲状腺毒症性肌病,jia'zhuang'xian'du'zheng'xing'ji'bing
甲状腺毒症性重症肌无力,jia'zhuang'xian'du'zheng'xing'zhong'zheng'ji'wu'li
甲状腺毒症性周期性麻痹,jia'zhuang'xian'du'zheng'xing'zhou'qi'xing'ma'bi
甲状腺素,jia'zhuang'xian'su
家族性共济失调步态,jia'zu'xing'gong'ji'shi'tiao'bu'tai
家族性黑蒙性白痴,jia'zu'xing'hei'meng'xing'bai'chi
家族性黑蒙性痴呆,jia'zu'xing'hei'meng'xing'chi'dai
家族性进行性脊肌萎缩,jia'zu'xing'jin'xing'xing'ji'ji'wei'suo
家族性痉挛性截瘫,jia'zu'xing'jing'luan'xing'jie'tan
家族性脑中叶硬化,jia'zu'xing'nao'zhong'ye'ying'hua
家族性震颤,jia'zu'xing'zhen'chan
家族性植物神经功能异常综合征,jia'zu'xing'zhi'wu'shen'jing'gong'neng'yi'chang'zong'he'zheng
家族性植物神经障碍,jia'zu'xing'zhi'wu'shen'jing'zhang'ai
家族性周期性瘫痪,jia'zu'xing'zhou'qi'xing'tan'huan
家族性自主神经机能异常,jia'zu'xing'zi'zhu'shen'jing'ji'neng'yi'chang
检测椎管阻滞,jian'ce'zhui'guan'zu'zhi
腱反射,jian'fan'she
肩腓骨肌营养不良,jian'fei'gu'ji'ying'yang'bu'liang
肩肱型脊髓肌萎缩,jian'gong'xing'ji'sui'ji'wei'suo
肩胛带肌,jian'jia'dai'ji
肩胛肱萎缩,jian'jia'gong'wei'suo
间接,jian'jie
间接光反射,jian'jie'guang'fan'she
睑痉挛,jian'jing'luan
间脑,jian'nao
检脑损害,jian'nao'sun'hai
检实体视觉,jian'shi'ti'shi'jue
肩手综合征,jian'shou'zong'he'zheng
尖头,jian'tou
尖头并指,jian'tou'bing'zhi
尖头畸形,jian'tou'ji'xing
睑下垂,jian'xia'chui
间歇,jian'xie
间歇性跛行,jian'xie'xing'bo'xing
间歇性呼吸暂停,jian'xie'xing'hu'xi'zan'ting
间歇性痉挛,jian'xie'xing'jing'luan
剪形步态,jian'xing'bu'tai
减压中枢,jian'ya'zhong'shu
检坐骨神经痛,jian'zuo'gu'shen'jing'tong
降胆胺,jiang'dan'an
降胆宁,jiang'dan'ning
浆液性脑膜炎,jiang'ye'xing'nao'mo'yan
降脂吡醇,jiang'zhi'bi'chun
降脂丙二醇酯,jiang'zhi'bing'er'chun'zhi
降脂萘,jiang'zhi'nai
降脂哌啶,jiang'zhi'pai'ding
降脂酰胺,jiang'zhi'xian'an
交叉,jiao'cha
交叉步态,jiao'cha'bu'tai
交叉池,jiao'cha'chi
交叉上下肢偏瘫,jiao'cha'shang'xia'zhi'pian'tan
交叉性面肌偏瘫综合征,jiao'cha'xing'mian'ji'pian'tan'zong'he'zheng
交叉性面痉挛偏瘫综合征,jiao'cha'xing'mian'jing'luan'pian'tan'zong'he'zheng
交叉性偏瘫,jiao'cha'xing'pian'tan
交叉性瘫痪,jiao'cha'xing'tan'huan
脚底,jiao'di
交感部,jiao'gan'bu
交感干,jiao'gan'gan
交感神经切除术,jiao'gan'shen'jing'qie'chu'shu
交感神经系统,jiao'gan'shen'jing'xi'tong
交感中枢,jiao'gan'zhong'shu
角弓反张,jiao'gong'fan'zhang
交互突触,jiao'hu'tu'chu
角回,jiao'hui
脚间池,jiao'jian'chi
脚间窝,jiao'jian'wo
焦虑,jiao'lv
焦虑紧张状态,jiao'lv'jin'zhang'zhuang'tai
焦虑性癔病,jiao'lv'xing'yi'bing
焦虑症,jiao'lv'zheng
角膜,jiao'mo
角膜反射,jiao'mo'fan'she
胶体金溶液,jiao'ti'jin'rong'ye
胶体金试验,jiao'ti'jin'shi'yan
交替性偏瘫,jiao'ti'xing'pian'tan
交通性脑积水,jiao'tong'xing'nao'ji'shui
胶质界膜,jiao'zhi'jie'mo
胶质瘤,jiao'zhi'liu
胶质增生,jiao'zhi'zeng'sheng
节段间反射,jie'duan'jian'fan'she
