阿贝他片苯扎贝特,a'bei'ta'pian'ben'zha'bei'te
达美康片,da'mei'kang'pian
达美康片格列奇特,da'mei'kang'pian'ge'lie'qi'te
大面疤切除并植皮术,da'mian'ba'qie'chu'bing'zhi'pi'shu
大面积头皮撕脱伤,da'mian'ji'tou'pi'si'tuo'shang
大面积头皮撕脱伤加整形,da'mian'ji'tou'pi'si'tuo'shang'jia'zheng'xing
打磨机,da'mo'ji
达那唑胶囊,da'na'zuo'jiao'nang
大脑半球胶质瘤切除术,da'nao'ban'qiu'jiao'zhi'liu'qie'chu'shu
大脑半球胶质增生切除术,da'nao'ban'qiu'jiao'zhi'zeng'sheng'qie'chu'shu
大脑半球切除术,da'nao'ban'qiu'qie'chu'shu
大脑半球凸面脑膜瘤切除术,da'nao'ban'qiu'tu'mian'nao'mo'liu'qie'chu'shu
大脑半球肿瘤切除术,da'nao'ban'qiu'zhong'liu'qie'chu'shu
大脑半球转移癌切除术,da'nao'ban'qiu'zhuan'yi'ai'qie'chu'shu
大脑变性,da'nao'bian'xing
大脑动脉闭塞,da'nao'dong'mai'bi'se
大脑动脉瘤,da'nao'dong'mai'liu
大脑恶性肿瘤,da'nao'e'xing'zhong'liu
大脑发育不全,da'nao'fa'yu'bu'quan
大脑钙化,da'nao'gai'hua
大脑后动脉出血,da'nao'hou'dong'mai'chu'xie
大脑后动脉瘤夹闭术,da'nao'hou'dong'mai'liu'jia'bi'shu
大脑脚综合征,da'nao'jiao'zong'he'zheng
大脑镰脑膜良性肿瘤,da'nao'lian'nao'mo'liang'xing'zhong'liu
大脑镰旁脑膜瘤,da'nao'lian'pang'nao'mo'liu
大脑内皮质出血,da'nao'nei'pi'zhi'chu'xie
大脑内皮质下出血,da'nao'nei'pi'zhi'xia'chu'xie
大脑颞极减压术,da'nao'nie'ji'jian'ya'shu
大脑前动脉瘤夹闭术,da'nao'qian'dong'mai'liu'jia'bi'shu
大脑去皮层状态,da'nao'qu'pi'ceng'zhuang'tai
大脑深部肿瘤胶质瘤切除术,da'nao'shen'bu'zhong'liu'jiao'zhi'liu'qie'chu'shu
大脑神经胶质瘤病,da'nao'shen'jing'jiao'zhi'liu'bing
大脑中动脉闭塞,da'nao'zhong'dong'mai'bi'se
大脑中动脉出血,da'nao'zhong'dong'mai'chu'xie
大脑中动脉瘤夹闭术,da'nao'zhong'dong'mai'liu'jia'bi'shu
达宁丙氧氨酚,da'ning'bing'yang'an'fen
大疱病,da'pao'bing
大疱抽液术,da'pao'chou'ye'shu
大疱性表皮松解坏死型药疹,da'pao'xing'biao'pi'song'jie'huai'si'xing'yao'zhen
大泡性肺气肿,da'pao'xing'fei'qi'zhong
大疱性鼓膜炎,da'pao'xing'gu'mo'yan
大泡性角膜病,da'pao'xing'jiao'mo'bing
大疱性角膜结膜炎,da'pao'xing'jiao'mo'jie'mo'yan
大泡性角膜炎,da'pao'xing'jiao'mo'yan
大疱性类天疱疮,da'pao'xing'lei'tian'pao'chuang
大疱性皮肤红斑狼疮,da'pao'xing'pi'fu'hong'ban'lang'chuang
大疱性皮肤松解症,da'pao'xing'pi'fu'song'jie'zheng
大泡性视网膜脱离,da'pao'xing'shi'wang'mo'tuo'li
大气道狭窄,da'qi'dao'xia'zhai
大前庭导水管综合征,da'qian'ting'dao'shui'guan'zong'he'zheng
大抢救,da'qiang'jiu
大清创,da'qing'chuang
大清创缝合,da'qing'chuang'feng'he
大青叶,da'qing'ye
大青叶免煎,da'qing'ye'mian'jian
打三翼钉拍片,da'san'yi'ding'pai'pian
大肾图,da'shen'tu
打石膏托,da'shi'gao'tuo
大苏打,da'su'da
大蒜素,da'suan'su
大蒜素胶囊,da'suan'su'jiao'nang
大蒜素片,da'suan'su'pian
大蒜素注射液,da'suan'su'zhu'she'ye
大蒜素注射液三硫二丙烯,da'suan'su'zhu'she'ye'san'liu'er'bing'xi
大同星火药业有限公司,da'tong'xing'huo'yao'ye'you'xian'gong'si
大腿肌松解术,da'tui'ji'song'jie'shu
大腿截肢术,da'tui'jie'zhi'shu
大腿开放性外伤,da'tui'kai'fang'xing'wai'shang
大腿开放性外伤累及肌腱,da'tui'kai'fang'xing'wai'shang'lei'ji'ji'jian
大腿离断术,da'tui'li'duan'shu
大腿脓肿,da'tui'nong'zhong
大腿皮肤扩张器植入术,da'tui'pi'fu'kuo'zhang'qi'zhi'ru'shu
大腿皮肤撕脱伤,da'tui'pi'fu'si'tuo'shang
大腿软组织损伤,da'tui'ruan'zu'zhi'sun'shang
大腿撕脱伤,da'tui'si'tuo'shang
大腿血肿,da'tui'xue'zhong
大腿游离植皮术,da'tui'you'li'zhi'pi'shu
大腿中下段肿瘤节段性截除术,da'tui'zhong'xia'duan'zhong'liu'jie'duan'xing'jie'chu'shu
大网膜继发恶性肿瘤,da'wang'mo'ji'fa'e'xing'zhong'liu
大网膜颅内移植术,da'wang'mo'lu'nei'yi'zhi'shu
大网膜切除术,da'wang'mo'qie'chu'shu
大网膜移植术,da'wang'mo'yi'zhi'shu
大网膜游离移植术,da'wang'mo'you'li'yi'zhi'shu
大网膜游离植皮术,da'wang'mo'you'li'zhi'pi'shu
大网膜粘连,da'wang'mo'zhan'lian
达维邦软膏,da'wei'bang'ruan'gao
大细胞癌,da'xi'bao'ai
大细胞鳞状细胞癌,da'xi'bao'lin'zhuang'xi'bao'ai
大细胞型鳞状细胞癌,da'xi'bao'xing'lin'zhuang'xi'bao'ai
大细胞性贫血,da'xi'bao'xing'pin'xue
达喜片铝碳酸镁,da'xi'pian'lv'tan'suan'mei
达先片,da'xian'pian
大小便临床检验登记本,da'xiao'bian'lin'chuang'jian'yan'deng'ji'ben
大型血小板比率,da'xing'xue'xiao'ban'bi'lv
大型远红外线治疗机治疗烧伤,da'xing'yuan'hong'wai'xian'zhi'liao'ji'zhi'liao'shao'shang
大修施工办,da'xiu'shi'gong'ban
大血管球囊扩张支架植入,da'xue'guan'qiu'nang'kuo'zhang'zhi'jia'zhi'ru
大学生体检,da'xue'sheng'ti'jian
大血藤,da'xue'teng
打样膏,da'yang'gao
大药厂,da'yao'chang
大叶性肺炎,da'ye'xing'fei'yan
大阴唇病害切除术,da'yin'chun'bing'hai'qie'chu'shu
大阴唇恶性肿瘤,da'yin'chun'e'xing'zhong'liu
大阴唇脂肪瘤,da'yin'chun'zhi'fang'liu
大隐静脉闭和术,da'yin'jing'mai'bi'he'shu
大隐静脉耻骨上转流术,da'yin'jing'mai'chi'gu'shang'zhuan'liu'shu
大隐静脉腹膜吻合术,da'yin'jing'mai'fu'mo'wen'he'shu
大隐静脉高位结扎剥脱术,da'yin'jing'mai'gao'wei'jie'za'bo'tuo'shu
大隐静脉高位结扎术,da'yin'jing'mai'gao'wei'jie'za'shu
大隐静脉冠状动脉主动脉搭桥术,da'yin'jing'mai'guan'zhuang'dong'mai'zhu'dong'mai'da'qiao'shu
大隐静脉交通支结扎术,da'yin'jing'mai'jiao'tong'zhi'jie'za'shu
大隐静脉结扎剥脱交通支结扎术,da'yin'jing'mai'jie'za'bo'tuo'jiao'tong'zhi'jie'za'shu
大隐静脉结扎剥脱术,da'yin'jing'mai'jie'za'bo'tuo'shu
大隐静脉结扎剥脱术单侧,da'yin'jing'mai'jie'za'bo'tuo'shu'dan'ce
大隐静脉颈动脉搭桥术,da'yin'jing'mai'jing'dong'mai'da'qiao'shu
大隐静脉静脉动脉化,da'yin'jing'mai'jing'mai'dong'mai'hua
大隐静脉淋巴吻合术,da'yin'jing'mai'lin'ba'wen'he'shu
大隐静脉皮下连续环缝术,da'yin'jing'mai'pi'xia'lian'xu'huan'feng'shu
大隐静脉切除术,da'yin'jing'mai'qie'chu'shu
大隐静脉曲张,da'yin'jing'mai'qu'zhang
大隐静脉曲张伴溃疡,da'yin'jing'mai'qu'zhang'ban'kui'yang
大隐静脉曲张高位结扎剥脱术单,da'yin'jing'mai'qu'zhang'gao'wei'jie'za'bo'tuo'shu'dan
大隐静脉曲张高位结扎剥脱术双,da'yin'jing'mai'qu'zhang'gao'wei'jie'za'bo'tuo'shu'shuang
大隐静脉纤维化,da'yin'jing'mai'xian'wei'hua
大隐静脉原位转流术,da'yin'jing'mai'yuan'wei'zhuan'liu'shu
达因片,da'yin'pian
打印纸,da'yin'zhi
达英,da'ying
大于胎龄儿,da'yu'tai'ling'er
大云,da'yun
大云免煎,da'yun'mian'jian
大直肠继发性肿瘤,da'zhi'chang'ji'fa'xing'zhong'liu
大字架烫伤用,da'zi'jia'tang'shang'yong
打字室,da'zi'shi
代安神,dai'an'shen
带瓣全程主动脉人工血管置换术,dai'ban'quan'cheng'zhu'dong'mai'ren'gong'xue'guan'zhi'huan'shu
待产记录,dai'chan'ji'lu
待产特护,dai'chan'te'hu
代偿头位测定,dai'chang'tou'wei'ce'ding
代偿性肺气肿,dai'chang'xing'fei'qi'zhong
带蒂复合组织瓣成形术,dai'di'fu'he'zu'zhi'ban'cheng'xing'shu
带蒂肌瓣切取移植术,dai'di'ji'ban'qie'qu'yi'zhi'shu
带蒂肌皮瓣切取移植术,dai'di'ji'pi'ban'qie'qu'yi'zhi'shu
带蒂筋膜瓣切取移植术,dai'di'jin'mo'ban'qie'qu'yi'zhi'shu
带蒂空肠移植代食管术,dai'di'kong'chang'yi'zhi'dai'shi'guan'shu
带蒂皮瓣断蒂,dai'di'pi'ban'duan'di
带蒂皮瓣二期断蒂术,dai'di'pi'ban'er'qi'duan'di'shu
带蒂皮瓣移植物附着于手,dai'di'pi'ban'yi'zhi'wu'fu'zhuo'yu'shou
代蒂神经移位术,dai'di'shen'jing'yi'wei'shu
带蒂轴型皮瓣切取移植术,dai'di'zhou'xing'pi'ban'qie'qu'yi'zhi'shu
代丁阿德福韦酯,dai'ding'a'de'fu'wei'zhi
代钉充填备牙,dai'ding'chong'tian'bei'ya
戴芬胶囊,dai'fen'jiao'nang
戴桂龙,dai'gui'long
带环合,dai'huan'he
带环挺,dai'huan'ting
带环制备,dai'huan'zhi'bei
黛力新片氟哌噻吨美利曲辛,dai'li'xin'pian'fu'pai'sai'dun'mei'li'qu'xin
带毛囊皮瓣移植术,dai'mao'nang'pi'ban'yi'zhi'shu
带毛囊游离皮肤移植术,dai'mao'nang'you'li'pi'fu'yi'zhi'shu
带锁髓内针取出术,dai'suo'sui'nei'zhen'qu'chu'shu
代文胶囊,dai'wen'jiao'nang
代温灸膏,dai'wen'jiu'gao
代文缬沙坦,dai'wen'xie'sha'tan
呆小病,dai'xiao'bing
呆小病克汀病,dai'xiao'bing'ke'ting'bing
戴晓兰,dai'xiao'lan
代谢性白内障,dai'xie'xing'bai'nei'zhang
代谢性骨病,dai'xie'xing'gu'bing
代谢性脊髓病,dai'xie'xing'ji'sui'bing
代谢性碱中毒,dai'xie'xing'jian'zhong'du
代谢性脑病,dai'xie'xing'nao'bing
代谢性酸中毒,dai'xie'xing'suan'zhong'du
代谢性心肌病,dai'xie'xing'xin'ji'bing
戴杏春,dai'xing'chun
带血蒂伸趾短肌移位术,dai'xue'di'shen'zhi'duan'ji'yi'wei'shu
带血蒂足背皮瓣移位术,dai'xue'di'zu'bei'pi'ban'yi'wei'shu
带血管蒂腓骨移植术,dai'xue'guan'di'fei'gu'yi'zhi'shu
带血管蒂肌蒂骨骺移植术,dai'xue'guan'di'ji'di'gu'hou'yi'zhi'shu
带血管蒂皮瓣移位术,dai'xue'guan'di'pi'ban'yi'wei'shu
带血管蒂皮瓣移植术,dai'xue'guan'di'pi'ban'yi'zhi'shu
带血管蒂髂骨移植术,dai'xue'guan'di'qia'gu'yi'zhi'shu
带血管蒂游离皮瓣颊部移植术,dai'xue'guan'di'you'li'pi'ban'jia'bu'yi'zhi'shu
带血管蒂游离神经移植术,dai'xue'guan'di'you'li'shen'jing'yi'zhi'shu
带血管游离骨移植颌骨重建术,dai'xue'guan'you'li'gu'yi'zhi'he'gu'chong'jian'shu
代血管游离肌腱移植术,dai'xue'guan'you'li'ji'jian'yi'zhi'shu
带血管游离趾甲移植术,dai'xue'guan'you'li'zhi'jia'yi'zhi'shu
代血浆,dai'xue'jiang
代血浆反应,dai'xue'jiang'fan'ying
带血运骨皮瓣切取移植术,dai'xue'yun'gu'pi'ban'qie'qu'yi'zhi'shu
带牙护板,dai'ya'hu'ban
戴燕,dai'yan
代赭石,dai'zhe'shi
代赭石免煎,dai'zhe'shi'mian'jian
带真皮血管网游离皮片切取术,dai'zhen'pi'xue'guan'wang'you'li'pi'pian'qie'qu'shu
带状疮疹后坐骨神经痛,dai'zhuang'chuang'zhen'hou'zuo'gu'shen'jing'tong
带状疱疹,dai'zhuang'pao'zhen
带状疱疹伴眼部并发症,dai'zhuang'pao'zhen'ban'yan'bu'bing'fa'zheng
带状疱疹侵犯三叉神经,dai'zhuang'pao'zhen'qin'fan'san'cha'shen'jing
带状疱疹性多颅神经麻痹,dai'zhuang'pao'zhen'xing'duo'lu'shen'jing'ma'bi
带状疱疹性脑膜炎,dai'zhuang'pao'zhen'xing'nao'mo'yan
带状疱疹性神经病,dai'zhuang'pao'zhen'xing'shen'jing'bing
带状疱疹性神经根脊髓炎,dai'zhuang'pao'zhen'xing'shen'jing'gen'ji'sui'yan
带状疱疹性神经根炎,dai'zhuang'pao'zhen'xing'shen'jing'gen'yan
带状疱疹性眼炎,dai'zhuang'pao'zhen'xing'yan'yan
傣族,dai'zu
旦氨酸,dan'an'suan
旦氨酸片,dan'an'suan'pian
单氨氧化酶,dan'an'yang'hua'mei
丹奥,dan'ao
蛋白电泳,dan'bai'dian'yong
蛋白电泳血清或尿,dan'bai'dian'yong'xue'qing'huo'niao
蛋白定性,dan'bai'ding'xing
蛋白冻胰,dan'bai'dong'yi
蛋白琥珀酸铁,dan'bai'hu'po'suan'tie
蛋白尿,dan'bai'niao
蛋白缺乏,dan'bai'que'fa
蛋白缺乏致贫血,dan'bai'que'fa'zhi'pin'xue
蛋白性营养不良,dan'bai'xing'ying'yang'bu'liang
蛋白质总量,dan'bai'zhi'zong'liang
单瓣二瓣后退腭裂修复术,dan'ban'er'ban'hou'tui'e'lie'xiu'fu'shu
单采白细胞单位,dan'cai'bai'xi'bao'dan'wei
单采血小板单位,dan'cai'xue'xiao'ban'dan'wei
单侧不完全唇裂修复术,dan'ce'bu'wan'quan'chun'lie'xiu'fu'shu
单侧创伤性小腿截断,dan'ce'chuang'shang'xing'xiao'tui'jie'duan
单侧睾丸切除术,dan'ce'gao'wan'qie'chu'shu
单侧根治性颈部淋巴结清扫术,dan'ce'gen'zhi'xing'jing'bu'lin'ba'jie'qing'sao'shu
单侧骨隆突切除,dan'ce'gu'long'tu'qie'chu
单侧帼动脉切开取栓术,dan'ce'guo'dong'mai'qie'kai'qu'shuan'shu
单侧甲状腺叶切除术,dan'ce'jia'zhuang'xian'ye'qie'chu'shu
单侧髁状突肥大,dan'ce'ke'zhuang'tu'fei'da
单侧卵巢切除术,dan'ce'luan'chao'qie'chu'shu
单侧前臂断离,dan'ce'qian'bi'duan'li
单侧乳内动脉冠状动脉搭桥术,dan'ce'ru'nei'dong'mai'guan'zhuang'dong'mai'da'qiao'shu
单侧上臂截断,dan'ce'shang'bi'jie'duan
单侧上颌结节整形术,dan'ce'shang'he'jie'jie'zheng'xing'shu
单侧上肢多发性骨折,dan'ce'shang'zhi'duo'fa'xing'gu'zhe
单侧上肢下肢肋骨骨折,dan'ce'shang'zhi'xia'zhi'lei'gu'gu'zhe
单侧肾上腺切除术,dan'ce'shen'shang'xian'qie'chu'shu
单侧手创伤性截断,dan'ce'shou'chuang'shang'xing'jie'duan
单侧手掌截断,dan'ce'shou'zhang'jie'duan
单侧输卵管结扎术,dan'ce'shu'luan'guan'jie'za'shu
单侧输卵管卵巢切除术,dan'ce'shu'luan'guan'luan'chao'qie'chu'shu
单侧输卵管全切除术,dan'ce'shu'luan'guan'quan'qie'chu'shu
单侧输尿管皮肤造口术,dan'ce'shu'niao'guan'pi'fu'zao'kou'shu
单侧腿创伤性截断,dan'ce'tui'chuang'shang'xing'jie'duan
单侧外阴切除术,dan'ce'wai'yin'qie'chu'shu
单侧腕部截断,dan'ce'wan'bu'jie'duan
单侧完全唇裂修复术,dan'ce'wan'quan'chun'lie'xiu'fu'shu
单侧下肢多发性开放性骨折,dan'ce'xia'zhi'duo'fa'xing'kai'fang'xing'gu'zhe
单侧旋轴颌外弓,dan'ce'xuan'zhou'he'wai'gong
单侧肢体肌萎缩,dan'ce'zhi'ti'ji'wei'suo
单侧肘以上截断并感染,dan'ce'zhou'yi'shang'jie'duan'bing'gan'ran
单侧足创伤性截断,dan'ce'zu'chuang'shang'xing'jie'duan
单侧足创伤性截断伴坏死,dan'ce'zu'chuang'shang'xing'jie'duan'ban'huai'si
单茶硷,dan'cha'jian
单纯胆囊切除术,dan'chun'dan'nang'qie'chu'shu
单纯腹壁窦道切除术,dan'chun'fu'bi'dou'dao'qie'chu'shu
单纯红细胞再生障碍性贫血,dan'chun'hong'xi'bao'zai'sheng'zhang'ai'xing'pin'xue
单纯甲状腺次全切除术单侧,dan'chun'jia'zhuang'xian'ci'quan'qie'chu'shu'dan'ce
单纯角膜肿物切除,dan'chun'jiao'mo'zhong'wu'qie'chu
单纯糠疹,dan'chun'kang'zhen
单纯疱疹,dan'chun'pao'zhen
单纯疱疹病毒抗体测定,dan'chun'pao'zhen'bing'du'kang'ti'ce'ding
单纯切口疝修补术,dan'chun'qie'kou'shan'xiu'bu'shu
单纯乳房切除术,dan'chun'ru'fang'qie'chu'shu
单纯乳头凿开术,dan'chun'ru'tou'zao'kai'shu
单纯乳突根治术,dan'chun'ru'tu'gen'zhi'shu
单纯乳突凿开术,dan'chun'ru'tu'zao'kai'shu
单纯乳腺切除术,dan'chun'ru'xian'qie'chu'shu
单纯肾盂尿管成形,dan'chun'shen'yu'niao'guan'cheng'xing
单纯外耳道成形术,dan'chun'wai'er'dao'cheng'xing'shu
单纯胃大部切除术,dan'chun'wei'da'bu'qie'chu'shu
单纯性癌,dan'chun'xing'ai
单纯性肥胖,dan'chun'xing'fei'pang
单纯性红细胞再生障碍性贫血,dan'chun'xing'hong'xi'bao'zai'sheng'zhang'ai'xing'pin'xue
单纯性甲状腺全切除术单侧,dan'chun'xing'jia'zhuang'xian'quan'qie'chu'shu'dan'ce
单纯性甲状腺肿,dan'chun'xing'jia'zhuang'xian'zhong
单纯型精神分裂症,dan'chun'xing'jing'shen'fen'lie'zheng
单纯性阑尾切除术,dan'chun'xing'lan'wei'qie'chu'shu
单纯性疱疹伴眼部并发症,dan'chun'xing'pao'zhen'ban'yan'bu'bing'fa'zheng
单纯性疱疹伴有眼部并发症,dan'chun'xing'pao'zhen'ban'you'yan'bu'bing'fa'zheng
单纯性疱疹性角膜炎,dan'chun'xing'pao'zhen'xing'jiao'mo'yan
单纯性青光眼,dan'chun'xing'qing'guang'yan
单纯性苔癣,dan'chun'xing'tai'xuan
单纯性外阴切除术,dan'chun'xing'wai'yin'qie'chu'shu
单纯性紫癜,dan'chun'xing'zi'dian
单纯翼状胬肉切除术,dan'chun'yi'zhuang'nu'rou'qie'chu'shu
单纯硬膜外血肿清除术,dan'chun'ying'mo'wai'xue'zhong'qing'chu'shu
胆道出血,dan'dao'chu'xie
胆道恶性肿瘤,dan'dao'e'xing'zhong'liu
胆道感染,dan'dao'gan'ran
胆道感染所致的精神障碍,dan'dao'gan'ran'suo'zhi'de'jing'shen'zhang'ai
胆道蛔虫病,dan'dao'hui'chong'bing
胆道记忆合金支架植入术,dan'dao'ji'yi'he'jin'zhi'jia'zhi'ru'shu
胆道假体置换术,dan'dao'jia'ti'zhi'huan'shu
胆道镜加收,dan'dao'jing'jia'shou
胆道镜检查,dan'dao'jing'jian'cha
胆道镜检查术,dan'dao'jing'jian'cha'shu
胆道镜下经皮胆总管取石术,dan'dao'jing'xia'jing'pi'dan'zong'guan'qu'shi'shu
胆道球囊扩张术,dan'dao'qiu'nang'kuo'zhang'shu
胆道术后拔引流管,dan'dao'shu'hou'ba'yin'liu'guan
胆道术后残留结石,dan'dao'shu'hou'can'liu'jie'shi
胆道术后精神障碍,dan'dao'shu'hou'jing'shen'zhang'ai
胆道探查术,dan'dao'tan'cha'shu
胆道吻合后修正术,dan'dao'wen'he'hou'xiu'zheng'shu
胆道吸虫病,dan'dao'xi'chong'bing
胆道引流,dan'dao'yin'liu
胆道引流术后,dan'dao'yin'liu'shu'hou
胆道造影静脉法,dan'dao'zao'ying'jing'mai'fa
胆道支架置入术,dan'dao'zhi'jia'zhi'ru'shu
丹东制药厂,dan'dong'zhi'yao'chang
淡豆豉,dan'dou'chi
淡豆豉免煎,dan'dou'chi'mian'jian
丹毒,dan'du
单独开机加收,dan'du'kai'ji'jia'shou
单发颅内血肿清除术,dan'fa'lu'nei'xue'zhong'qing'chu'shu
单峰普通胰岛素注射液,dan'feng'pu'tong'yi'dao'su'zhu'she'ye
单个冠状动脉气囊扩张术,dan'ge'guan'zhuang'dong'mai'qi'nang'kuo'zhang'shu
单个冠状动脉支架植入术,dan'ge'guan'zhuang'dong'mai'zhi'jia'zhi'ru'shu
单个凝血因子活性定量,dan'ge'ning'xue'yin'zi'huo'xing'ding'liang
单个凝血因子活性定性,dan'ge'ning'xue'yin'zi'huo'xing'ding'xing
胆固醇,dan'gu'chun
胆固醇肺炎,dan'gu'chun'fei'yan
胆固醇性胆囊炎,dan'gu'chun'xing'dan'nang'yan
胆固醇性肺炎,dan'gu'chun'xing'fei'yan
胆固醇酯,dan'gu'chun'zhi
胆管癌,dan'guan'ai
胆管癌根治术,dan'guan'ai'gen'zhi'shu
胆管癌切除术,dan'guan'ai'qie'chu'shu
胆管癌术后,dan'guan'ai'shu'hou
胆管癌术后化疗,dan'guan'ai'shu'hou'hua'liao
胆管部分切除术,dan'guan'bu'fen'qie'chu'shu
胆管肠吻合术,dan'guan'chang'wen'he'shu
胆管出血,dan'guan'chu'xie
胆管穿孔,dan'guan'chuan'kong
胆管恶性肿瘤,dan'guan'e'xing'zhong'liu
胆管继发性恶性肿瘤,dan'guan'ji'fa'xing'e'xing'zhong'liu
胆管结石,dan'guan'jie'shi
胆管结石伴胆囊炎,dan'guan'jie'shi'ban'dan'nang'yan
胆管结石伴急性胆囊炎,dan'guan'jie'shi'ban'ji'xing'dan'nang'yan
胆管结石伴慢性胆囊炎,dan'guan'jie'shi'ban'man'xing'dan'nang'yan
胆管空肠吻合口瘘,dan'guan'kong'chang'wen'he'kou'lou
胆管空肠吻合口狭窄,dan'guan'kong'chang'wen'he'kou'xia'zhai
胆管空肠吻合术,dan'guan'kong'chang'wen'he'shu
胆管溃疡,dan'guan'kui'yang
胆管扩张,dan'guan'kuo'zhang
胆管良性肿瘤,dan'guan'liang'xing'zhong'liu
胆管瘘,dan'guan'lou
胆管囊肿,dan'guan'nang'zhong
胆管切开活检术,dan'guan'qie'kai'huo'jian'shu
胆管人工开口闭合术,dan'guan'ren'gong'kai'kou'bi'he'shu
胆管十二指肠吻合口狭窄,dan'guan'shi'er'zhi'chang'wen'he'kou'xia'zhai
胆管栓子取出术,dan'guan'shuan'zi'qu'chu'shu
胆管狭窄,dan'guan'xia'zhai
胆管腺瘤,dan'guan'xian'liu
胆管修补成形术,dan'guan'xiu'bu'cheng'xing'shu
胆管修补术,dan'guan'xiu'bu'shu
胆管炎,dan'guan'yan
胆管移植术,dan'guan'yi'zhi'shu
胆管周围炎,dan'guan'zhou'wei'yan
胆管阻塞,dan'guan'zu'se
丹桂香颗粒,dan'gui'xiang'ke'li
单核细胞干扰素测定,dan'he'xi'bao'gan'rao'su'ce'ding
单核细胞增多症,dan'he'xi'bao'zeng'duo'zheng
单核细胞直接计数,dan'he'xi'bao'zhi'jie'ji'shu
单颌牙弓夹板拆除术,dan'he'ya'gong'jia'ban'chai'chu'shu
单颌总义齿,dan'he'zong'yi'chi
胆红素测定,dan'hong'su'ce'ding
丹红注射液,dan'hong'zhu'she'ye
单踝关节炎,dan'huai'guan'jie'yan
单活产,dan'huo'chan
单极电凝使用费,dan'ji'dian'ning'shi'yong'fei
单极股骨头柄珍珠面,dan'ji'gu'gu'tou'bing'zhen'zhu'mian
单极全髋柄珍珠面,dan'ji'quan'kuan'bing'zhen'zhu'mian
担架,dan'jia
担架车,dan'jia'che
担架费,dan'jia'fei
胆硷能性荨麻疹,dan'jian'neng'xing'xun'ma'zhen
胆碱脂酶,dan'jian'zhi'mei
胆碱脂酶试纸,dan'jian'zhi'mei'shi'zhi
胆绞痛,dan'jiao'tong
单角子宫,dan'jiao'zi'gong
氮芥注射液,dan'jie'zhu'she'ye
单克隆丙种球蛋白病,dan'ke'long'bing'zhong'qiu'dan'bai'bing
单孔冷光源无影灯,dan'kong'leng'guang'yuan'wu'ying'deng
单髋关节炎,dan'kuan'guan'jie'yan
淡泪净眼液,dan'lei'jing'yan'ye
胆瘘切除术,dan'lou'qie'chu'shu
单卵双胎活婴,dan'luan'shuang'tai'huo'ying
氮麻醉,dan'ma'zui
丹麦,dan'mai
丹麦灵北制药公司,dan'mai'ling'bei'zhi'yao'gong'si
丹麦诺和诺德公司,dan'mai'nuo'he'nuo'de'gong'si
丹那唑胶囊,dan'na'zuo'jiao'nang
胆南星,dan'nan'xing
胆囊癌并肝转移,dan'nang'ai'bing'gan'zhuan'yi
胆囊癌根治术,dan'nang'ai'gen'zhi'shu
胆囊病变,dan'nang'bing'bian
胆囊部分切除术,dan'nang'bu'fen'qie'chu'shu
胆囊肠瘘,dan'nang'chang'lou
胆囊肠吻合术,dan'nang'chang'wen'he'shu
胆囊沉积物,dan'nang'chen'ji'wu
胆囊穿孔,dan'nang'chuan'kong
胆囊胆固醇沉着症,dan'nang'dan'gu'chun'chen'zhuo'zheng
胆囊胆管吻合术,dan'nang'dan'guan'wen'he'shu
胆囊多发性结石,dan'nang'duo'fa'xing'jie'shi
胆囊多发性息肉,dan'nang'duo'fa'xing'xi'rou
胆囊恶性肿瘤,dan'nang'e'xing'zhong'liu
胆囊肥大,dan'nang'fei'da
胆囊钙化,dan'nang'gai'hua
胆囊肝管吻合术,dan'nang'gan'guan'wen'he'shu
胆囊管残端切除术,dan'nang'guan'can'duan'qie'chu'shu
胆囊管恶性肿瘤,dan'nang'guan'e'xing'zhong'liu
胆囊管梗阻,dan'nang'guan'geng'zu
胆囊管结石,dan'nang'guan'jie'shi
胆囊和胆道收缩功能检查,dan'nang'he'dan'dao'shou'suo'gong'neng'jian'cha
胆囊坏疽,dan'nang'huai'ju
胆囊继发恶性肿瘤,dan'nang'ji'fa'e'xing'zhong'liu
胆囊继发性恶性肿瘤,dan'nang'ji'fa'xing'e'xing'zhong'liu
胆囊积脓,dan'nang'ji'nong
胆囊肌腺症,dan'nang'ji'xian'zheng
胆囊积液,dan'nang'ji'ye
胆囊交界恶性肿瘤,dan'nang'jiao'jie'e'xing'zhong'liu
胆囊绞痛复发性,dan'nang'jiao'tong'fu'fa'xing
胆囊结肠瘘,dan'nang'jie'chang'lou
胆囊结核,dan'nang'jie'he
胆囊结石,dan'nang'jie'shi
胆囊结石伴胆囊炎,dan'nang'jie'shi'ban'dan'nang'yan
胆囊结石伴坏疽性胆囊炎,dan'nang'jie'shi'ban'huai'ju'xing'dan'nang'yan
胆囊结石伴急性胆囊炎,dan'nang'jie'shi'ban'ji'xing'dan'nang'yan
胆囊结石伴慢性胆囊炎,dan'nang'jie'shi'ban'man'xing'dan'nang'yan
胆囊结石嵌顿,dan'nang'jie'shi'qian'dun
胆囊经皮活检术,dan'nang'jing'pi'huo'jian'shu
胆囊空肠吻合口狭窄,dan'nang'kong'chang'wen'he'kou'xia'zhai
胆囊空肠吻合术,dan'nang'kong'chang'wen'he'shu
胆囊良性肿瘤,dan'nang'liang'xing'zhong'liu
胆囊裂伤修补术,dan'nang'lie'shang'xiu'bu'shu
