阿米果,a'mi'guo
你上俺家,ni'shang'an'jia
你上班的嘛,ni'shang'ban'de'ma
你上课的,ni'shang'ke'de
你是本人吧,ni'shi'ben'ren'ba
你是临沂,ni'shi'lin'yi
你是临沂的,ni'shi'lin'yi'de
你事事,ni'shi'shi
你是谁来,ni'shi'shui'lai
你谁来,ni'shui'lai
你说嫩,ni'shuo'nen
你说谁的,ni'shuo'shui'de
你说说来,ni'shuo'shuo'lai
你说行吧,ni'shuo'xing'ba
你说准,ni'shuo'zhun
你玩什么的,ni'wan'shen'me'de
你望望,ni'wang'wang
你洗刷,ni'xi'shua
你瞎眼,ni'xia'yan
你现在干嘛的,ni'xian'zai'gan'ma'de
你现在干什么的,ni'xian'zai'gan'shen'me'de
你现在在哪的,ni'xian'zai'zai'na'de
你想什么的,ni'xiang'shen'me'de
你想我吧,ni'xiang'wo'ba
你信吧,ni'xin'ba
你行吧,ni'xing'ba
你要干嘛的,ni'yao'gan'ma'de
你以为来,ni'yi'wei'lai
你隐身的,ni'yin'shen'de
你愿意吧,ni'yuan'yi'ba
你在干嘛的,ni'zai'gan'ma'de
你在干什么的,ni'zai'gan'shen'me'de
你在河东,ni'zai'he'dong
你在家的,ni'zai'jia'de
你在家干嘛的,ni'zai'jia'gan'ma'de
你在临沂,ni'zai'lin'yi
你在哪的,ni'zai'na'de
你在哪的啊,ni'zai'na'de'a
你在哪里的,ni'zai'na'li'de
你在哪上班的,ni'zai'na'shang'ban'de
你在沂水,ni'zai'yi'shui
你早睡觉,ni'zao'shui'jiao
你怎的,ni'zen'de
你怎还,ni'zen'hai
你怎事,ni'zen'shi
你怎知道的,ni'zen'zhi'dao'de
你真管,ni'zhen'guan
你真喜人,ni'zhen'xi'ren
你庄,ni'zhuang
你揍么,ni'zou'me
你揍么的,ni'zou'me'de
你揍么来,ni'zou'me'lai
你揍什么,ni'zou'shen'me
你揍什么的,ni'zou'shen'me'de
娘了个逼,niang'le'ge'bi
弄不巧,nong'bu'qiao
弄样,nong'yang
弄准,nong'zhun
哦日,o'ri
哦是,o'shi
欧日,ou'ri
爬蒙山,pa'meng'shan
配房,pei'fang
配套练习册,pei'tao'lian'xi'ce
彭于埠,peng'yu'bu
屁数,pi'shu
皮疼,pi'teng
骗人小狗,pian'ren'xiao'gou
偏样,pian'yang
平安苑,ping'an'yuan
坪上,ping'shang
坪上镇,ping'shang'zhen
平邑,ping'yi
平邑吧,ping'yi'ba
平邑的,ping'yi'de
平邑了,ping'yi'le
平邑县,ping'yi'xian
平邑信息港,ping'yi'xin'xi'gang
平邑一中,ping'yi'yi'zhong
平邑镇,ping'yi'zhen
蒲汪镇,pu'wang'zhen
朴园,pu'yuan
七里沟,qi'li'gou
七路,qi'lu
齐鲁大厦,qi'lu'da'sha
齐鲁台,qi'lu'tai
齐鲁园,qi'lu'yuan
奇石城,qi'shi'cheng
奇石园,qi'shi'yuan
启阳路,qi'yang'lu
启阳美食街,qi'yang'mei'shi'jie
七叶子,qi'ye'zi
前大街,qian'da'jie
浅深,qian'shen
前十街,qian'shi'jie
前园,qian'yuan
亲亲来,qin'qin'lai
青岛理工,qing'dao'li'gong
青岛理工大学,qing'dao'li'gong'da'xue
请确认,qing'que'ren
青援,qing'yuan
青云镇,qing'yun'zhen
求求号,qiu'qiu'hao
去逼得,qu'bi'de
去苍山,qu'cang'shan
去蛋的,qu'dan'de
去掉的,qu'diao'de
去费县,qu'fei'xian
去河东,qu'he'dong
区黑,qu'hei
去莒南,qu'ju'nan
去临沭,qu'lin'shu
去临沂,qu'lin'yi
去临沂了,qu'lin'yi'le
去罗庄,qu'luo'zhuang
去门头,qu'men'tou
去蒙山,qu'meng'shan
去蒙阴,qu'meng'yin
去平邑,qu'ping'yi
去日照,qu'ri'zhao
曲师,qu'shi
去是的,qu'shi'de
去郯城,qu'tan'cheng
取消上门,qu'xiao'shang'men
去沂南,qu'yi'nan
去沂水,qu'yi'shui
去枣庄,qu'zao'zhuang
全窗,quan'chuang
全副元,quan'fu'yuan
泉源,quan'yuan
泉庄,quan'zhuang
缺死了,que'si'le
让盗了,rang'dao'le
让你愁死了,rang'ni'chou'si'le
热憨了,re'han'le
人怪多,ren'guai'duo
仁和堂,ren'he'tang
人玩意,ren'wan'yi
日吊,ri'diao
日均销量,ri'jun'xiao'liang
日你娘,ri'ni'niang
日你眼,ri'ni'yan
日要,ri'yao
日照吧,ri'zhao'ba
日照的,ri'zhao'de
日照了,ri'zhao'le
日职,ri'zhi
荣华园,rong'hua'yuan
撒木,sa'mu
三德,san'de
三岗,san'gang
三官庙,san'guan'miao
三合里,san'he'li
三合园,san'he'yuan
三里庄,san'li'zhuang
三区九县,san'qu'jiu'xian
三婶子,san'shen'zi
三十里,san'shi'li
散完,san'wan
丧良心,sang'liang'xin
骚呱,sao'gua
骚事,sao'shi
色孩子,se'hai'zi
沙墩,sha'dun
沙沟,sha'gou
傻圈,sha'quan
晒糊了,shai'hu'le
山东高考,shan'dong'gao'kao
山东临工,shan'dong'lin'gong
山东临沂,shan'dong'lin'yi
山东临沂的,shan'dong'lin'yi'de
山东农业,shan'dong'nong'ye
山东苹果,shan'dong'ping'guo
山东省莒南县,shan'dong'sheng'ju'nan'xian
山东省临沂市,shan'dong'sheng'lin'yi'shi
山东省沂南县,shan'dong'sheng'yi'nan'xian
山东一区,shan'dong'yi'qu
山二,shan'er
扇欢,shan'huan
山牛逼,shan'niu'bi
山农,shan'nong
山威,shan'wei
山一,shan'yi
上俺,shang'an
上俺家,shang'an'jia
上班的吗,shang'ban'de'ma
上班的么,shang'ban'de'me
上班来嘛,shang'ban'lai'ma
上窗,shang'chuang
上辅导班,shang'fu'dao'ban
上海街,shang'hai'jie
上济南,shang'ji'nan
上了哪,shang'le'na
上临沂,shang'lin'yi
上罗庄,shang'luo'zhuang
上门口,shang'men'kou
上门头,shang'men'tou
上哪的,shang'na'de
上哪玩的,shang'na'wan'de
上平邑,shang'ping'yi
上求求,shang'qiu'qiu
上日照,shang'ri'zhao
伤死了,shang'si'le
伤天理,shang'tian'li
上冶,shang'ye
上冶镇,shang'ye'zhen
上着的,shang'zhe'de
少肺,shao'fei
邵建华,shao'jian'hua
芍药山,shao'yao'shan
蛇胆疮,she'dan'chuang
什么吊事,shen'me'diao'shi
什么幌子,shen'me'huang'zi
什么学院,shen'me'xue'yuan
沈泉庄,shen'quan'zhuang
神山,shen'shan
神思,shen'si
渗死了,shen'si'le
盛能,sheng'neng
盛世豪庭,sheng'shi'hao'ting
生态木,sheng'tai'mu
圣瓦伦丁,sheng'wa'lun'ding
盛庄,sheng'zhuang
士博,shi'bo
是不差,shi'bu'cha
是不假,shi'bu'jia
事不少,shi'bu'shao
试不着,shi'bu'zhao
是得不,shi'de'bu
是的们,shi'de'men
是的嫩,shi'de'nen
是滴嫩,shi'di'nen
是多少来,shi'duo'shao'lai
十好几,shi'hao'ji
世界大学城,shi'jie'da'xue'cheng
施可丰,shi'ke'feng
十里坊,shi'li'fang
石莲子,shi'lian'zi
石良,shi'liang
是临沂,shi'lin'yi
十路,shi'lu
实落,shi'luo
石门镇,shi'men'zhen
十三路,shi'san'lu
时尚花街,shi'shang'hua'jie
是什么来,shi'shen'me'lai
使死了,shi'si'le
十一路,shi'yi'lu
识字班,shi'zi'ban
十字路,shi'zi'lu
十字路镇,shi'zi'lu'zhen
收管件费,shou'guan'jian'fei
手机充电的,shou'ji'chong'dian'de
手机联系,shou'ji'lian'xi
手机联系男主人,shou'ji'lian'xi'nan'zhu'ren
手机联系女主人,shou'ji'lian'xi'nv'zhu'ren
受靠,shou'kao
书法广场,shu'fa'guang'chang
沭河,shu'he
舒坦的,shu'tan'de
甩子,shuai'zi
双堠,shuang'hou
双岭,shuang'ling
双岭路,shuang'ling'lu
双月湖,shuang'yue'hu
双月园,shuang'yue'yuan
水岸华庭,shui'an'hua'ting
水安路,shui'an'lu
谁不说来,shui'bu'shuo'lai
水田路,shui'tian'lu
水田桥,shui'tian'qiao
谁在家的,shui'zai'jia'de
谁知道来,shui'zhi'dao'lai
顺安达,shun'an'da
说话哈,shuo'hua'ha
说嫩,shuo'nen
说谁的,shuo'shei'de
说是的,shuo'shi'de
说说来,shuo'shuo'lai
说玩的,shuo'wan'de
死边子去,si'bian'zi'qu
四季春天,si'ji'chun'tian
四十里,si'shi'li
四五岁了,si'wu'sui'le
四职中,si'zhi'zhong
宋王庄,song'wang'zhuang
苏村,su'cun
涑河,su'he
苏君,su'jun
算完,suan'wan
算玩吧,suan'wan'ba
他在临沂,ta'zai'lin'yi
太费事了,tai'fei'shi'le
太管了,tai'guan'le
泰和花园,tai'he'hua'yuan
太孬,tai'nao
泰山学院,tai'shan'xue'yuan
泰山医学院,tai'shan'yi'xue'yuan
台湾城,tai'wan'cheng
泰医,tai'yi
泰院,tai'yuan
泰职,tai'zhi
太子湖,tai'zi'hu
坦埠,tan'bu
郯城,tan'cheng
郯城的,tan'cheng'de
郯城了,tan'cheng'le
郯城人,tan'cheng'ren
郯城县,tan'cheng'xian
檀都,tan'dou
摊煎饼,tan'jian'bing
探沂,tan'yi
探沂镇,tan'yi'zhen
谈着的,tan'zhe'de
郯子,tan'zi
郯子湖,tan'zi'hu
躺床上的,tang'chuang'shang'de
淌汗,tang'han
汤河镇,tang'he'zhen
汤头,tang'tou
汤庄,tang'zhuang
桃花会,tao'hua'hui
陶然路,tao'ran'lu
桃园科技,tao'yuan'ke'ji
桃源科技广场,tao'yuan'ke'ji'guang'chang
藤井家,teng'jing'jia
天马岛,tian'ma'dao
天上王城,tian'shang'wang'cheng
天天过年,tian'tian'guo'nian
挺湿,ting'shi
汀水,ting'shui
听着了吗,ting'zhe'le'ma
听着了么,ting'zhe'le'me
通达路,tong'da'lu
通检正常,tong'jian'zheng'chang
铜井,tong'jing
铜石,tong'shi
透滋,tou'zi
兔子头,tu'zi'tou
万博红,wan'bo'hong
晚不了,wan'bu'liao
万平口,wan'ping'kou
玩啥的,wan'sha'de
晚上着,wan'shang'zhe
玩什么的,wan'shen'me'de
玩是的,wan'shi'de
万兴都,wan'xing'dou
万阅城,wan'yue'cheng
汪沟镇,wang'gou'zhen
往回走的,wang'hui'zou'de
王家沟,wang'jia'gou
旺客,wang'ke
王廷江,wang'ting'jiang
潍坊科技,wei'fang'ke'ji
潍坊科技学院,wei'fang'ke'ji'xue'yuan
潍坊医学院,wei'fang'yi'xue'yuan
潍科,wei'ke
潍医,wei'yi
威职,wei'zhi
温车,wen'che
文峰山,wen'feng'shan
温锅,wen'guo
汶河,wen'he
文疃,wen'tuan
我不撑,wo'bu'cheng
我不赖,wo'bu'lai
我才不去来,wo'cai'bu'qu'lai
我才不信来,wo'cai'bu'xin'lai
我吃饭的,wo'chi'fan'de
我打牌的,wo'da'pai'de
卧佛寺,wo'fo'si
我干活的,wo'gan'huo'de
我给你说哈,wo'gei'ni'shuo'ha
我给弄,wo'gei'nong
我给说,wo'gei'shuo
我给说了,wo'gei'shuo'le
我给问,wo'gei'wen
我给问了,wo'gei'wen'le
我给问问,wo'gei'wen'wen
我给洗,wo'gei'xi
我给找,wo'gei'zhao
我怪忙,wo'guai'mang
我还不知道来,wo'hai'bu'zhi'dao'lai
我河东,wo'he'dong
我回家了哈,wo'hui'jia'le'ha
我开车的,wo'kai'che'de
我开会的,wo'kai'hui'de
我看电视的,wo'kan'dian'shi'de
我看电影的,wo'kan'dian'ying'de
我看看来,wo'kan'kan'lai
我看看你来,wo'kan'kan'ni'lai
我看看这,wo'kan'kan'zhe
我兰山,wo'lan'shan
我临沂,wo'lin'yi
我临沂的,wo'lin'yi'de
我们临沂,wo'men'lin'yi
我们山东,wo'men'shan'dong
我平邑,wo'ping'yi
我去带你,wo'qu'dai'ni
我去临沂,wo'qu'lin'yi
我认识吧,wo'ren'shi'ba
我日你眼,wo'ri'ni'yan
我日哟,wo'ri'yo
我上哪知道,wo'shang'na'zhi'dao
我深思,wo'shen'si
我是临沂,wo'shi'lin'yi
我是临沂的,wo'shi'lin'yi'de
我说玩的,wo'shuo'wan'de
我玩游戏的,wo'wan'you'xi'de
我洗刷,wo'xi'shua
我洗刷去,wo'xi'shua'qu
我洗衣服的,wo'xi'yi'fu'de
我洗澡来,wo'xi'zao'lai
我行吧,wo'xing'ba
我在费县,wo'zai'fei'xian
我在河东,wo'zai'he'dong
我在家的,wo'zai'jia'de
我在家里的,wo'zai'jia'li'de
我在临沭,wo'zai'lin'shu
我在临沂,wo'zai'lin'yi
我在临沂的,wo'zai'lin'yi'de
我在临沂呢,wo'zai'lin'yi'ne
我在罗庄,wo'zai'luo'zhuang
我在平邑,wo'zai'ping'yi
我在日照,wo'zai'ri'zhao
我在泰安,wo'zai'tai'an
我在沂水,wo'zai'yi'shui
我怎的,wo'zen'de
我这就到了,wo'zhe'jiu'dao'le
我这就下,wo'zhe'jiu'xia
我值班的,wo'zhi'ban'de
我揍死你,wo'zou'si'ni
吴白庄,wu'bai'zhuang
五岔路口,wu'cha'lu'kou
武家洼,wu'jia'wa
五金市场,wu'jin'shi'chang
五里堡,wu'li'bao
物流电话,wu'liu'dian'hua
五龙湖,wu'long'hu
五路,wu'lu
吴美华,wu'mei'hua
武台,wu'tai
武台镇,wu'tai'zhen
西城新贵,xi'cheng'xin'gui
西高都,xi'gao'du
西联中,xi'lian'zhong
喜人,xi'ren
喜人了,xi'ren'le
喜什么,xi'shen'me
洗刷吧,xi'shua'ba
洗刷的,xi'shua'de
洗刷间,xi'shua'jian
洗刷来,xi'shua'lai
洗刷了,xi'shua'le
洗刷了吗,xi'shua'le'ma
洗刷去,xi'shua'qu
洗刷完,xi'shua'wan
洗刷完了,xi'shua'wan'le
洗刷完了吗,xi'shua'wan'le'ma
洗刷要,xi'shua'yao
喜死,xi'si
喜死了,xi'si'le
喜死我了,xi'si'wo'le
喜她,xi'ta
洗头来,xi'tou'lai
喜我,xi'wo
羲之,xi'zhi
媳子,xi'zi
下窗,xia'chuang
吓得慌,xia'de'huang
下湖,xia'hu
瞎货,xia'huo
下基地,xia'ji'di
瞎人,xia'ren
夏蔚,xia'wei
下午着,xia'wu'zhe
县府,xian'fu
嫌乎,xian'hu
闲贱,xian'jian
现看,xian'kan
现看吧,xian'kan'ba
闲没事,xian'mei'shi
仙妮特,xian'ni'te
现在干嘛的,xian'zai'gan'ma'de
现在干什么的,xian'zai'gan'shen'me'de
现在在哪的,xian'zai'zai'na'de
想不着,xiang'bu'zhao
向城,xiang'cheng
向城镇,xiang'cheng'zhen
相邸,xiang'di
相公镇,xiang'gong'zhen
相沟,xiang'gou
想好事,xiang'hao'shi
橡胶坝,xiang'jiao'ba
想你老婆,xiang'ni'lao'po
相亲来,xiang'qin'lai
香舍里,xiang'she'li
想什么的,xiang'shen'me'de
想谁的,xiang'shui'de
想我来嘛,xiang'wo'lai'ma
巷子深,xiang'zi'shen
小埠东,xiao'bu'dong
小吊孩,xiao'diao'hai
小门头,xiao'men'tou
笑什么的,xiao'shen'me'de
小死样,xiao'si'yang
斜对过,xie'dui'guo
邪子,xie'zi
新大洋,xin'da'yang
新华二路,xin'hua'er'lu
新华一路,xin'hua'yi'lu
辛集镇,xin'ji'zhen
新闻大厦,xin'wen'da'sha
新学案,xin'xue'an
新沂蒙,xin'yi'meng
兴大,xing'da
幸福花城,xing'fu'hua'cheng
幸福时光,xing'fu'shi'guang
行了哈,xing'le'ha
休班的,xiu'ban'de
许家湖,xu'jia'hu
许家崖,xu'jia'ya
血命,xue'ming
学事,xue'shi
薛为军,xue'wei'jun
学屋,xue'wu
薛庄,xue'zhuang
牙不小,ya'bu'xiao
筵宾,yan'bin
砚池街,yan'chi'jie
沿街楼,yan'jie'lou
眼眶子,yan'kuang'zi
盐粒子,yan'li'zi
阳光居,yang'guang'ju
阳光沙滩,yang'guang'sha'tan
杨集,yang'ji
杨文文,yang'wen'wen
杨庄,yang'zhuang
杨庄镇,yang'zhuang'zhen
姚店子,yao'dian'zi
吆呼,yao'hu
要毁,yao'hui
姚计莲,yao'ji'lian
要睡觉的,yao'shui'jiao'de
要死吗,yao'si'ma
药校,yao'xiao
要血命,yao'xue'ming
瑶浴,yao'yu
也不孬,ye'bu'nao
也怪好,ye'guai'hao
夜沙龙,ye'sha'long
一包劲,yi'bao'jin
沂城,yi'cheng
一等哈,yi'deng'ha
颐高上海街,yi'gao'shang'hai'jie
一个煎饼,yi'ge'jian'bing
沂河,yi'he
沂河边,yi'he'bian
沂河花园,yi'he'hua'yuan
沂河路,yi'he'lu
沂河明珠,yi'he'ming'zhu
一会着,yi'hui'zhe
一家福,yi'jia'fu
宜家佳,yi'jia'jia
沂景,yi'jing
怡景丽家,yi'jing'li'jia
一块玩的,yi'kuai'wan'de
意林小镇,yi'lin'xiao'zhen
颐龙恒泰,yi'long'heng'tai
沂龙湾,yi'long'wan
沂蒙,yi'meng
沂蒙大楼,yi'meng'da'lou
沂蒙路,yi'meng'lu
沂蒙山,yi'meng'shan
沂蒙山区,yi'meng'shan'qu
沂蒙晚报,yi'meng'wan'bao
沂南,yi'nan
沂南的,yi'nan'de
沂南了,yi'nan'le
沂南论坛,yi'nan'lun'tan
沂南县,yi'nan'xian
沂山,yi'shan
沂水,yi'shui
沂水吧,yi'shui'ba
沂水的,yi'shui'de
沂水了,yi'shui'le
沂水人,yi'shui'ren
沂水县,yi'shui'xian
沂水一中,yi'shui'yi'zhong
沂水在线,yi'shui'zai'xian
沂水镇,yi'shui'zhen
义堂,yi'tang
义堂安踏,yi'tang'an'ta
义堂镇,yi'tang'zhen
颐正园,yi'zheng'yuan
沂州府,yi'zhou'fu
沂州花园,yi'zhou'hua'yuan
沂州路,yi'zhou'lu
银凤,yin'feng
银河湾,yin'he'wan
银雀,yin'que
银雀山,yin'que'shan
银雀山办事处,yin'que'shan'ban'shi'chu
银雀山路,yin'que'shan'lu
银杏林,yin'xing'lin
银座健身,yin'zuo'jian'shen
迎查,ying'cha
影社,ying'she
樱珠,ying'zhu
用着的,yong'zhe'de
又吃饭的,you'chi'fan'de
有空着,you'kong'zhe
有临沂,you'lin'yi
有数吧,you'shu'ba
游戏蝙蝠侠,you'xi'bian'fu'xia
有休班,you'xiu'ban
又怎的,you'zen'de
又怎事,you'zen'shi
于卜,yu'bu
于埠,yu'bu
育才路,yu'cai'lu
宇大,yu'da
于沟,yu'gou
玉华亭,yu'hua'ting
玉皇顶,yu'huang'ding
远程研修,yuan'cheng'yan'xiu
院东头,yuan'dong'tou
远通,yuan'tong
元智,yuan'zhi
元智捷诚,yuan'zhi'jie'cheng
约场,yue'chang
约会来,yue'hui'lai
月亮城,yue'liang'cheng
晕乎的,yun'hu'de
云空间,yun'kong'jian
云瀑洞天,yun'pu'dong'tian
咋办来,za'ban'lai
在吧,zai'ba
在八路,zai'ba'lu
在吧在吧,zai'ba'zai'ba
在半程,zai'ban'cheng
在苍山,zai'cang'shan
栽稻,zai'dao
在店里的,zai'dian'li'de
在费县,zai'fei'xian
在干嘛的,zai'gan'ma'de
在干什么的,zai'gan'shen'me'de
在河东,zai'he'dong
在和谐,zai'he'xie
在几路,zai'ji'lu
在家的,zai'jia'de
在家的啊,zai'jia'de'a
在家的嘛,zai'jia'de'ma
在家干嘛的,zai'jia'gan'ma'de
在家看门,zai'jia'kan'men
在家里的,zai'jia'li'de
在家玩的,zai'jia'wan'de
在界湖,zai'jie'hu
在九州,zai'jiu'zhou
在莒南,zai'ju'nan
在兰山,zai'lan'shan
在老家的,zai'lao'jia'de
在临沭,zai'lin'shu
在临沂,zai'lin'yi
在临沂的,zai'lin'yi'de
在临沂吗,zai'lin'yi'ma
在临沂呢,zai'lin'yi'ne
在路上的,zai'lu'shang'de
在罗庄,zai'luo'zhuang
在吗的,zai'ma'de
在吗玩的,zai'ma'wan'de
在忙啥的,zai'mang'sha'de
在忙什么的,zai'mang'shen'me'de
在门头,zai'men'tou
在蒙阴,zai'meng'yin
在哪的,zai'na'de
在哪干的,zai'na'gan'de
在哪里的,zai'na'li'de
在哪里上的,zai'na'li'shang'de
在哪里玩的,zai'na'li'wan'de
在哪上班的,zai'na'shang'ban'de
在哪玩的,zai'na'wan'de
在南坊,zai'nan'fang
在平邑,zai'ping'yi
在日照,zai'ri'zhao
在宿舍的,zai'su'she'de
在郯城,zai'tan'cheng
在外边的,zai'wai'bian'de
在外面玩的,zai'wai'mian'wan'de
在沂南,zai'yi'nan
在沂水,zai'yi'shui
在义堂,zai'yi'tang
咱班主任,zan'ban'zhu'ren
咱临沂,zan'lin'yi
咱妹妹,zan'mei'mei
咱一块吧,zan'yi'kuai'ba
咱庄,zan'zhuang
枣沟头,zao'gou'tou
责怪好,ze'guai'hao
怎办来,zen'ban'lai
怎不说话的,zen'bu'shuo'hua'de
怎长时间,zen'chang'shi'jian
怎好的,zen'hao'de
怎回事,zen'hui'shi
怎忙,zen'mang
怎么办来,zen'me'ban'lai
怎么不好的,zen'me'bu'hao'de
怎么不说话的,zen'me'bu'shuo'hua'de
怎能的,zen'neng'de
怎弄,zen'nong
怎弄得,zen'nong'de
怎去,zen'qu
怎事,zen'shi
怎时候,zen'shi'hou
怎说的,zen'shuo'de
怎想的,zen'xiang'de
怎些,zen'xie
增么,zeng'me
炸煎饼,zha'jian'bing
张宝永,zhang'bao'yong
张少军,zhang'shao'jun
张艳梅,zhang'yan'mei
张庄,zhang'zhuang
找不清,zhao'bu'qing
找对象了吗,zhao'dui'xiang'le'ma
这才回,zhe'cai'hui
这就快,zhe'jiu'kuai
这么费事,zhe'me'fei'shi
这小天,zhe'xiao'tian
这样天,zhe'yang'tian
真憋人,zhen'bie'ren
真馋人,zhen'chan'ren
真费事,zhen'fei'shi
真搞喜,zhen'gao'xi
真管,zhen'guan
真好来,zhen'hao'lai
真假啊,zhen'jia'a
真喜人,zhen'xi'ren
郑城,zheng'cheng
郑山,zheng'shan
郑山镇,zheng'shan'zhen
政史地生,zheng'shi'di'sheng
郑旺,zheng'wang
郑旺镇,zheng'wang'zhen
政务大厅,zheng'wu'da'ting
政务通,zheng'wu'tong
正直驾校,zheng'zhi'jia'xiao
指动石,zhi'dong'shi
芝麻墩,zhi'ma'dun
智圣,zhi'sheng
智圣汤泉,zhi'sheng'tang'quan
治死你,zhi'si'ni
止疼膏,zhi'teng'gao
吱歪,zhi'wai
仲村,zhong'cun
仲村镇,zhong'cun'zhen
种地的的吧,zhong'di'de'de'ba
重坊,zhong'fang
重沟,zhong'gou
种花生,zhong'hua'sheng
中慧,zhong'hui
中联建材,zhong'lian'jian'cai
钟罗山,zhong'luo'shan
中丘路,zhong'qiu'lu
中心接,zhong'xin'jie
中心院,zhong'xin'yuan
朱保,zhu'bao
洙边,zhu'bian
洙边镇,zhu'bian'zhen
朱仓,zhu'cang
朱陈,zhu'chen
猪肥,zhu'fei
朱老大,zhu'lao'da
猪料增,zhu'liao'zeng
竹林桥,zhu'lin'qiao
朱芦,zhu'lu
竹泉,zhu'quan
竹泉村,zhu'quan'cun
朱张桥,zhu'zhang'qiao
抓紧说,zhua'jin'shuo
砖埠,zhuan'bu
赚便宜,zhuan'pian'yi
壮岗,zhuang'gang
壮岗镇,zhuang'gang'zhen
庄红,zhuang'hong
装货的,zhuang'huo'de
庄坞,zhuang'wu
自购产品,zi'gou'chan'pin
自己在家的,zi'ji'zai'jia'de
姊们,zi'men
棕南海,zong'nan'hai
走兵,zou'bing
揍么,zou'me
揍么的,zou'me'de
揍么来,zou'me'lai
走娘家,zou'niang'jia
揍什么,zou'shen'me
揍什么的,zou'shen'me'de
走着的,zou'zhe'de
钻石钱柜,zuan'shi'qian'gui
最近忙什么的,zui'jin'mang'shen'me'de
做水果生意,zuo'shui'guo'sheng'yi
