阿泊加,a'bo'jia
七日死亡,qi'ri'si'wang
起始发票,qi'shi'fa'piao
起始号码,qi'shi'hao'ma
起始时间,qi'shi'shi'jian
起始收据,qi'shi'shou'ju
其它,qi'ta
其他比例,qi'ta'bi'li
其他编码,qi'ta'bian'ma
其他并发,qi'ta'bing'fa
其他出院,qi'ta'chu'yuan
其他代码,qi'ta'dai'ma
其它方式,qi'ta'fang'shi
其他费,qi'ta'fei
其它过敏,qi'ta'guo'min
其它号码,qi'ta'hao'ma
其他结果,qi'ta'jie'guo
其他金额,qi'ta'jin'e
其它金额,qi'ta'jin'e
其它票据张数,qi'ta'piao'ju'zhang'shu
其它嗜好,qi'ta'shi'hao
其他小计,qi'ta'xiao'ji
其他应收,qi'ta'ying'shou
其它症状,qi'ta'zheng'zhuang
启用标志,qi'yong'biao'zhi
起止票据,qi'zhi'piao'ju
前百疾病,qian'bai'ji'bing
前后不符,qian'hou'bu'fu
前后符合,qian'hou'fu'he
前后疑诊,qian'hou'yi'zhen
签名,qian'ming
前十死亡,qian'shi'si'wang
抢救次数,qiang'jiu'ci'shu
抢救方法,qiang'jiu'fang'fa
切口等级,qie'kou'deng'ji
切口类型,qie'kou'lei'xing
青霉素过敏,qing'mei'su'guo'min
情绪表现,qing'xu'biao'xian
去何地参观,qu'he'di'can'guan
全血,quan'xue
全院各科室护理评比,quan'yuan'ge'ke'shi'hu'li'ping'bi
确认工号,que'ren'gong'hao
缺席人员,que'xi'ren'yuan
确诊日期,que'zhen'ri'qi
确诊天数,que'zhen'tian'shu
人均金额,ren'jun'jin'e
人数合计,ren'shu'he'ji
日报付款明细表,ri'bao'fu'kuan'ming'xi'biao
日报性质明细,ri'bao'xing'zhi'ming'xi
日期,ri'qi
入出不符,ru'chu'bu'fu
入出符合,ru'chu'fu'he
入出疑诊,ru'chu'yi'zhen
入院病区,ru'yuan'bing'qu
入院床号,ru'yuan'chuang'hao
入院次数,ru'yuan'ci'shu
入院科室,ru'yuan'ke'shi
入院判别,ru'yuan'pan'bie
入院评估,ru'yuan'ping'gu
入院情况,ru'yuan'qing'kuang
入院日期,ru'yuan'ri'qi
入院途径,ru'yuan'tu'jing
入院诊断,ru'yuan'zhen'duan
三日确诊,san'ri'que'zhen
上报人员,shang'bao'ren'yuan
上报日期,shang'bao'ri'qi
上级编号,shang'ji'bian'hao
上级标志,shang'ji'biao'zhi
上级科室,shang'ji'ke'shi
上级说明代码,shang'ji'shuo'ming'dai'ma
上级说明名称,shang'ji'shuo'ming'ming'cheng
上级序号,shang'ji'xu'hao
上限值,shang'xian'zhi
社保号码,she'bao'hao'ma
设计方案关联,she'ji'fang'an'guan'lian
舍入金额,she'ru'jin'e
申报人代码,shen'bao'ren'dai'ma
身份证号,shen'fen'zheng'hao
申请单名称,shen'qing'dan'ming'cheng
申请科室,shen'qing'ke'shi
申请时间,shen'qing'shi'jian
申请文号,shen'qing'wen'hao
申请医生,shen'qing'yi'sheng
生成时间,sheng'cheng'shi'jian
省份代码,sheng'fen'dai'ma
失败次数,shi'bai'ci'shu
失败原因,shi'bai'yuan'yin
势必丙,shi'bi'bing
势必甲,shi'bi'jia
势必乙,shi'bi'yi
识别号,shi'bie'hao
识别序号,shi'bie'xu'hao
是否折叠,shi'fou'zhe'die
事故差错,shi'gu'cha'cuo
事故处理,shi'gu'chu'li
事故等级,shi'gu'deng'ji
事故发生时间,shi'gu'fa'sheng'shi'jian
事故摘要,shi'gu'zhai'yao
嗜好酒类,shi'hao'jiu'lei
嗜好烟类,shi'hao'yan'lei
实际代码,shi'ji'dai'ma
市级代码,shi'ji'dai'ma
实际发票,shi'ji'fa'piao
实际金额,shi'ji'jin'e
实际起始时间,shi'ji'qi'shi'shi'jian
实际时间,shi'ji'shi'jian
实际用量,shi'ji'yong'liang
实际终止时间,shi'ji'zhong'zhi'shi'jian
时间,shi'jian
事件编号,shi'jian'bian'hao
尸检不符,shi'jian'bu'fu
尸检符合,shi'jian'fu'he
尸检情况,shi'jian'qing'kuang
尸检疑诊,shi'jian'yi'zhen
尸检主要诊断,shi'jian'zhu'yao'zhen'duan
示教病案,shi'jiao'bing'an
十日死亡,shi'ri'si'wang
实施单号,shi'shi'dan'hao
尸体解剖号,shi'ti'jie'pou'hao
实习医生,shi'xi'yi'sheng
使用标志,shi'yong'biao'zhi
使用号码,shi'yong'hao'ma
使用科室,shi'yong'ke'shi
使用判别,shi'yong'pan'bie
使用频次,shi'yong'pin'ci
使用时间,shi'yong'shi'jian
失约次数,shi'yue'ci'shu
失约总数,shi'yue'zong'shu
收费方式,shou'fei'fang'shi
收费金额,shou'fei'jin'e
收费明细表,shou'fei'ming'xi'biao
收费明细历史,shou'fei'ming'xi'li'shi
收费日报明细,shou'fei'ri'bao'ming'xi
收费日期,shou'fei'ri'qi
收费项目,shou'fei'xiang'mu
首剂效应,shou'ji'xiao'ying
收据号码,shou'ju'hao'ma
收据张数,shou'ju'zhang'shu
收入比例,shou'ru'bi'li
收入合计,shou'ru'he'ji
手术编号,shou'shu'bian'hao
手术编码,shou'shu'bian'ma
手术并发,shou'shu'bing'fa
手术代码,shou'shu'dai'ma
手术费,shou'shu'fei
手术例次,shou'shu'li'ci
手术名称,shou'shu'ming'cheng
手术判别,shou'shu'pan'bie
手术人次,shou'shu'ren'ci
手术日期,shou'shu'ri'qi
手术时间,shou'shu'shi'jian
手术序号,shou'shu'xu'hao
手术医生,shou'shu'yi'sheng
手术医师,shou'shu'yi'shi
手术治疗检查诊断为本院第一例,shou'shu'zhi'liao'jian'cha'zhen'duan'wei'ben'yuan'di'yi'li
收缩压,shou'suo'ya
收支类别,shou'zhi'lei'bie
收支判别,shou'zhi'pan'bie
收治医生,shou'zhi'yi'sheng
输红细胞数,shu'hong'xi'bao'shu
术后诊断,shu'hou'zhen'duan
数据采集日志表,shu'ju'cai'ji'ri'zhi'biao
数据来源,shu'ju'lai'yuan
数据说明,shu'ju'shuo'ming
术前天数,shu'qian'tian'shu
术前诊断,shu'qian'zhen'duan
输入代码,shu'ru'dai'ma
输入工号,shu'ru'gong'hao
输血次数,shu'xue'ci'shu
输血反应,shu'xue'fan'ying
输血费,shu'xue'fei
输血浆数,shu'xue'jiang'shu
输血情况,shu'xue'qing'kuang
输血小板数,shu'xue'xiao'ban'shu
输氧费,shu'yang'fei
输液标志,shu'ye'biao'zhi
输液次数,shu'ye'ci'shu
输液反应,shu'ye'fan'ying
输液情况,shu'ye'qing'kuang
舒张压,shu'zhang'ya
数值,shu'zhi
睡眠状况,shui'mian'zhuang'kuang
四八小时,si'ba'xiao'shi
死亡,si'wang
死亡编号,si'wang'bian'hao
死亡出院,si'wang'chu'yuan
死亡分类,si'wang'fen'lei
死亡日期,si'wang'ri'qi
死亡原因,si'wang'yuan'yin
死亡原因编码,si'wang'yuan'yin'bian'ma
死亡诊断,si'wang'zhen'duan
随诊期限,sui'zhen'qi'xian
随诊期限类型,sui'zhen'qi'xian'lei'xing
随诊情况,sui'zhen'qing'kuang
损伤编码,sun'shang'bian'ma
损伤中毒,sun'shang'zhong'du
损伤中毒编码,sun'shang'zhong'du'bian'ma
所属代码,suo'shu'dai'ma
所属类别,suo'shu'lei'bie
所属维度,suo'shu'wei'du
胎别顺序,tai'bie'shun'xu
讨论编号,tao'lun'bian'hao
讨论结果,tao'lun'jie'guo
讨论日期,tao'lun'ri'qi
讨论时间,tao'lun'shi'jian
特检号码,te'jian'hao'ma
特殊处方,te'shu'chu'fang
特殊类型,te'shu'lei'xing
提成比例,ti'cheng'bi'li
提成金额,ti'cheng'jin'e
体检判别,ti'jian'pan'bie
体检情况,ti'jian'qing'kuang
提交人,ti'jiao'ren
提交时间,ti'jiao'shi'jian
体温,ti'wen
体系类型,ti'xi'lei'xing
体系名称,ti'xi'ming'cheng
体系说明,ti'xi'shuo'ming
体系序号,ti'xi'xu'hao
体系总分值,ti'xi'zong'fen'zhi
体验费,ti'yan'fei
填写人,tian'xie'ren
填写人员,tian'xie'ren'yuan
填写日期,tian'xie'ri'qi
调后科室,tiao'hou'ke'shi
条件代码,tiao'jian'dai'ma
条件序号,tiao'jian'xu'hao
调前科室,tiao'qian'ke'shi
停挂标志,ting'gua'biao'zhi
停挂记录,ting'gua'ji'lu
停挂时间,ting'gua'shi'jian
停挂原因,ting'gua'yuan'yin
停用人,ting'yong'ren
停用日期,ting'yong'ri'qi
统计编码,tong'ji'bian'ma
统计代码,tong'ji'dai'ma
统计方式,tong'ji'fang'shi
统计列,tong'ji'lie
统计时间,tong'ji'shi'jian
统计说明,tong'ji'shuo'ming
统计行,tong'ji'xing
统计月份,tong'ji'yue'fen
图标名称,tu'biao'ming'cheng
图片路径,tu'pian'lu'jing
退废发票,tui'fei'fa'piao
退废金额,tui'fei'jin'e
退号标志,tui'hao'biao'zhi
退号发票,tui'hao'fa'piao
退号明细,tui'hao'ming'xi
退号判别,tui'hao'pan'bie
退号日期,tui'hao'ri'qi
退号数量,tui'hao'shu'liang
退票号码,tui'piao'hao'ma
退票金额,tui'piao'jin'e
退药标志,tui'yao'biao'zhi
退药识别序号,tui'yao'shi'bie'xu'hao
退预交金,tui'yu'jiao'jin
退预缴款张数,tui'yu'jiao'kuan'zhang'shu
外出参观记录,wai'chu'can'guan'ji'lu
外出参观序号,wai'chu'can'guan'xu'hao
外院诊治,wai'yuan'zhen'zhi
完成标志,wan'cheng'biao'zhi
网页路径,wang'ye'lu'jing
网页显示,wang'ye'xian'shi
维度代码,wei'du'dai'ma
维度名称,wei'du'ming'cheng
卫气小计,wei'qi'xiao'ji
未愈出院,wei'yu'chu'yuan
文件,wen'jian
文件等级,wen'jian'deng'ji
文件管理,wen'jian'guan'li
文件号,wen'jian'hao
文件来源,wen'jian'lai'yuan
文件类型,wen'jian'lei'xing
文件内容,wen'jian'nei'rong
文件主题,wen'jian'zhu'ti
问题明细,wen'ti'ming'xi
问题咨询,wen'ti'zi'xun
五笔代码,wu'bi'dai'ma
无菌丙,wu'jun'bing
无菌甲,wu'jun'jia
无菌乙,wu'jun'yi
五日确诊,wu'ri'que'zhen
系数合计,xi'shu'he'ji
洗漱障碍,xi'shu'zhang'ai
西药方,xi'yao'fang
西药费,xi'yao'fei
西医治疗,xi'yi'zhi'liao
下限值,xia'xian'zhi
下一关系,xia'yi'guan'xi
线号,xian'hao
县级代码,xian'ji'dai'ma
现金金额,xian'jin'jin'e
显示科室,xian'shi'ke'shi
显示人员,xian'shi'ren'yuan
显示时间,xian'shi'shi'jian
显示数量,xian'shi'shu'liang
显示信息,xian'shi'xin'xi
限用剂量,xian'yong'ji'liang
限用天数,xian'yong'tian'shu
向导编号,xiang'dao'bian'hao
向导类别,xiang'dao'lei'bie
向导名称,xiang'dao'ming'cheng
相关因素,xiang'guan'yin'su
项目,xiang'mu
项目比例,xiang'mu'bi'li
项目编号,xiang'mu'bian'hao
项目编码,xiang'mu'bian'ma
项目代码,xiang'mu'dai'ma
项目单位,xiang'mu'dan'wei
项目归并,xiang'mu'gui'bing
项目类别,xiang'mu'lei'bie
项目类型,xiang'mu'lei'xing
项目名称,xiang'mu'ming'cheng
项目内容,xiang'mu'nei'rong
项目使用,xiang'mu'shi'yong
项目数量,xiang'mu'shu'liang
项目说明,xiang'mu'shuo'ming
项目体系,xiang'mu'ti'xi
项目序号,xiang'mu'xu'hao
项目选取,xiang'mu'xuan'qu
项目值,xiang'mu'zhi
小便次数,xiao'bian'ci'shu
小结编号,xiao'jie'bian'hao
新生儿数,xin'sheng'er'shu
新生死亡,xin'sheng'si'wang
心跳次数,xin'tiao'ci'shu
信仰情况,xin'yang'qing'kuang
行标题,xing'biao'ti
行层次,xing'ceng'ci
姓名,xing'ming
行体系,xing'ti'xi
行约束,xing'yue'shu
行政查房,xing'zheng'cha'fang
修改判别,xiu'gai'pan'bie
选项名称,xuan'xiang'ming'cheng
选项序号,xuan'xiang'xu'hao
学术组号,xue'shu'zu'hao
学术组名,xue'shu'zu'ming
学术组员,xue'shu'zu'yuan
血型代码,xue'xing'dai'ma
血压,xue'ya
研究生实习医师,yan'jiu'sheng'shi'xi'yi'shi
药房包装,yao'fang'bao'zhuang
药房单位,yao'fang'dan'wei
药房规格,yao'fang'gui'ge
药房识别,yao'fang'shi'bie
药品备信,yao'pin'bei'xin
药品编号,yao'pin'bian'hao
药品产地,yao'pin'chan'di
药品单价,yao'pin'dan'jia
药品类型,yao'pin'lei'xing
药品数量,yao'pin'shu'liang
药品序号,yao'pin'xu'hao
药品用法,yao'pin'yong'fa
药品组号,yao'pin'zu'hao
药品组数,yao'pin'zu'shu
要求编号,yao'qiu'bian'hao
要求内容,yao'qiu'nei'rong
夜查记录,ye'cha'ji'lu
业务查房,ye'wu'cha'fang
一般分值,yi'ban'fen'zhi
医保卡号,yi'bao'ka'hao
医保药品对照表,yi'bao'yao'pin'dui'zhao'biao
异常分娩,yi'chang'fen'mian
一次剂量,yi'ci'ji'liang
一次数量,yi'ci'shu'liang
一次用量,yi'ci'yong'liang
已挂人数,yi'gua'ren'shu
乙级病案,yi'ji'bing'an
医技关联,yi'ji'guan'lian
医技科室核算汇总表,yi'ji'ke'shi'he'suan'hui'zong'biao
医技科室核算明细表,yi'ji'ke'shi'he'suan'ming'xi'biao
医技明细,yi'ji'ming'xi
医技片号,yi'ji'pian'hao
医技序号,yi'ji'xu'hao
医技主项,yi'ji'zhu'xiang
意见单号,yi'jian'dan'hao
意见内容,yi'jian'nei'rong
意见性质,yi'jian'xing'zhi
医疗单价,yi'liao'dan'jia
医疗数量,yi'liao'shu'liang
医疗序号,yi'liao'xu'hao
医疗证号,yi'liao'zheng'hao
医生代码,yi'sheng'dai'ma
医生工号,yi'sheng'gong'hao
医生科室,yi'sheng'ke'shi
医生口嘱,yi'sheng'kou'zhu
医生判别,yi'sheng'pan'bie
医生签名,yi'sheng'qian'ming
医生信息,yi'sheng'xin'xi
意识形态,yi'shi'xing'tai
乙型肝炎表面抗体,yi'xing'gan'yan'biao'mian'kang'ti
疑诊,yi'zhen
医嘱序号,yi'zhu'xu'hao
银行编号,yin'hang'bian'hao
银行帐号,yin'hang'zhang'hao
饮食代码,yin'shi'dai'ma
饮食情况,yin'shi'qing'kuang
阴阳小计,yin'yang'xiao'ji
婴儿费归并项,ying'er'fei'gui'bing'xiang
婴儿判别,ying'er'pan'bie
婴儿身长,ying'er'shen'chang
婴儿胎别,ying'er'tai'bie
婴儿胎次,ying'er'tai'ci
婴儿体重,ying'er'ti'zhong
婴儿性别,ying'er'xing'bie
婴儿序号,ying'er'xu'hao
应收金额,ying'shou'jin'e
应收其它,ying'shou'qi'ta
应收现金,ying'shou'xian'jin
应收支票,ying'shou'zhi'piao
用户代码,yong'hu'dai'ma
用户权限,yong'hu'quan'xian
用药天数,yong'yao'tian'shu
优先处方,you'xian'chu'fang
优秀分值,you'xiu'fen'zhi
愈合级别,yu'he'ji'bie
愈合类别,yu'he'lei'bie
与会人员,yu'hui'ren'yuan
预缴金额,yu'jiao'jin'e
预缴其它,yu'jiao'qi'ta
预缴现金,yu'jiao'xian'jin
预缴支票,yu'jiao'zhi'piao
预期目标,yu'qi'mu'biao
预约标志,yu'yue'biao'zhi
预约病人,yu'yue'bing'ren
预约挂号,yu'yue'gua'hao
预约类别,yu'yue'lei'bie
预约密码,yu'yue'mi'ma
预约人数,yu'yue'ren'shu
预约日期,yu'yue'ri'qi
预约限额,yu'yue'xian'e
预约序号,yu'yue'xu'hao
预约总数,yu'yue'zong'shu
员工代码,yuan'gong'dai'ma
员工判别,yuan'gong'pan'bie
员工票据,yuan'gong'piao'ju
院内感染,yuan'nei'gan'ran
院评比单号,yuan'ping'bi'dan'hao
原始金额,yuan'shi'jin'e
原始位置,yuan'shi'wei'zhi
原子判别,yuan'zi'pan'bie
月结日期,yue'jie'ri'qi
约束名称,yue'shu'ming'cheng
约束时间,yue'shu'shi'jian
运算符号,yun'suan'fu'hao
在职退休,zai'zhi'tui'xiu
再转科室,zai'zhuan'ke'shi
脏腑小计,zang'fu'xiao'ji
早产分娩,zao'chan'fen'mian
责任人,ze'ren'ren
责任人代码,ze'ren'ren'dai'ma
责任人员,ze'ren'ren'yuan
摘要,zhai'yao
帐户金额,zhang'hu'jin'e
帐户类别,zhang'hu'lei'bie
帐户密码,zhang'hu'mi'ma
帐户名称,zhang'hu'ming'cheng
帐户收支明细,zhang'hu'shou'zhi'ming'xi
帐户序号,zhang'hu'xu'hao
帐户余额,zhang'hu'yu'e
帐户支付,zhang'hu'zhi'fu
照片路径,zhao'pian'lu'jing
折叠次数,zhe'die'ci'shu
折算百分比,zhe'suan'bai'fen'bi
诊察费,zhen'cha'fei
诊断编码,zhen'duan'bian'ma
诊断措施,zhen'duan'cuo'shi
诊断代码,zhen'duan'dai'ma
诊断单号,zhen'duan'dan'hao
诊断结果,zhen'duan'jie'guo
诊断类别,zhen'duan'lei'bie
诊断名称,zhen'duan'ming'cheng
诊断判别,zhen'duan'pan'bie
诊断人,zhen'duan'ren
诊断时间,zhen'duan'shi'jian
诊断项目,zhen'duan'xiang'mu
诊断序号,zhen'duan'xu'hao
诊疗费,zhen'liao'fei
诊疗金额,zhen'liao'jin'e
诊疗小组,zhen'liao'xiao'zu
正常分娩,zheng'chang'fen'mian
整改措施,zheng'gai'cuo'shi
征候编码,zheng'hou'bian'ma
征候个数,zheng'hou'ge'shu
征求病人,zheng'qiu'bing'ren
征求时间,zheng'qiu'shi'jian
值班护士,zhi'ban'hu'shi
值班类别,zhi'ban'lei'bie
指标基础表,zhi'biao'ji'chu'biao
指标性质,zhi'biao'xing'zhi
支出合计,zhi'chu'he'ji
制定单位,zhi'ding'dan'wei
指定科目,zhi'ding'ke'mu
制定人,zhi'ding'ren
制定人代码,zhi'ding'ren'dai'ma
制定时间,zhi'ding'shi'jian
制度编号,zhi'du'bian'hao
制度标准,zhi'du'biao'zhun
制度类型,zhi'du'lei'xing
制度名称,zhi'du'ming'cheng
制度内容,zhi'du'nei'rong
质控护士,zhi'kong'hu'shi
质控医师,zhi'kong'yi'shi
质量标准,zhi'liang'biao'zhun
治疗费,zhi'liao'fei
治疗类别,zhi'liao'lei'bie
支票号码,zhi'piao'hao'ma
支票金额,zhi'piao'jin'e
支票张数,zhi'piao'zhang'shu
执行对象,zhi'xing'dui'xiang
执行科室,zhi'xing'ke'shi
执行判别,zhi'xing'pan'bie
执行人员,zhi'xing'ren'yuan
执行日期,zhi'xing'ri'qi
执行时间,zhi'xing'shi'jian
执行医生,zhi'xing'yi'sheng
执行员工,zhi'xing'yuan'gong
职业代码,zhi'ye'dai'ma
治愈出院,zhi'yu'chu'yuan
重点评价,zhong'dian'ping'jia
肿瘤编码,zhong'liu'bian'ma
中西对照,zhong'xi'dui'zhao
中西治疗,zhong'xi'zhi'liao
中药方,zhong'yao'fang
中药费,zhong'yao'fei
中医编码,zhong'yi'bian'ma
中医辩证,zhong'yi'bian'zheng
中医病证分类,zhong'yi'bing'zheng'fen'lei
中医方药,zhong'yi'fang'yao
中医门出,zhong'yi'men'chu
中医门诊,zhong'yi'men'zhen
中医入出,zhong'yi'ru'chu
中医入院,zhong'yi'ru'yuan
中医诊断编码,zhong'yi'zhen'duan'bian'ma
中医诊断分类,zhong'yi'zhen'duan'fen'lei
中医治法,zhong'yi'zhi'fa
中医治疗,zhong'yi'zhi'liao
中医主病,zhong'yi'zhu'bing
中医主证,zhong'yi'zhu'zheng
终止发票,zhong'zhi'fa'piao
终止号码,zhong'zhi'hao'ma
终止日期,zhong'zhi'ri'qi
终止时间,zhong'zhi'shi'jian
终止收据,zhong'zhi'shou'ju
主病编码,zhu'bing'bian'ma
主病转归,zhu'bing'zhuan'gui
注册日期,zhu'ce'ri'qi
助产情况,zhu'chan'qing'kuang
主持人,zhu'chi'ren
助记妈,zhu'ji'ma
主任医生,zhu'ren'yi'sheng
主任医师,zhu'ren'yi'shi
助手,zhu'shou
主题,zhu'ti
主题简介,zhu'ti'jian'jie
主要诊断,zhu'yao'zhen'duan
注意事项,zhu'yi'shi'xiang
住院费,zhu'yuan'fei
住院费用,zhu'yuan'fei'yong
住院号,zhu'yuan'hao
住院号码,zhu'yuan'hao'ma
住院天数,zhu'yuan'tian'shu
住院医生,zhu'yuan'yi'sheng
住院医师,zhu'yuan'yi'shi
主证编码,zhu'zheng'bian'ma
主证转归,zhu'zheng'zhuan'gui
主治医生,zhu'zhi'yi'sheng
主治医师,zhu'zhi'yi'shi
转归情况,zhuan'gui'qing'kuang
转后科室,zhuan'hou'ke'shi
转后医生,zhuan'hou'yi'sheng
专家费用,zhuan'jia'fei'yong
专家金额,zhuan'jia'jin'e
专家门诊,zhuan'jia'men'zhen
转科病区,zhuan'ke'bing'qu
转科床号,zhuan'ke'chuang'hao
转科记录,zhuan'ke'ji'lu
转科科室,zhuan'ke'ke'shi
转科情况,zhuan'ke'qing'kuang
转科日期,zhuan'ke'ri'qi
转科时间,zhuan'ke'shi'jian
转科原因,zhuan'ke'yuan'yin
转前科室,zhuan'qian'ke'shi
转前医生,zhuan'qian'yi'sheng
状态,zhuang'tai
字段描述,zi'duan'miao'shu
自负比例,zi'fu'bi'li
自负点金额,zi'fu'dian'jin'e
自负合计,zi'fu'he'ji
自负金额,zi'fu'jin'e
自理金额,zi'li'jin'e
自制中药,zi'zhi'zhong'yao
总费用,zong'fei'yong
总计金额,zong'ji'jin'e
纵向坐标,zong'xiang'zuo'biao
组套编号,zu'tao'bian'hao
组套类别,zu'tao'lei'bie
组套名称,zu'tao'ming'cheng
最低标准,zui'di'biao'zhun
最高标准,zui'gao'biao'zhun
最后刷新时间,zui'hou'shua'xin'shi'jian
作废标志,zuo'fei'biao'zhi
作废发票,zuo'fei'fa'piao
作废工号,zuo'fei'gong'hao
作废金额,zuo'fei'jin'e
作废判别,zuo'fei'pan'bie
作废日期,zuo'fei'ri'qi
作废时间,zuo'fei'shi'jian
