阿迪热村,a'di're'cun
古勒买里村,gu'le'mai'li'cun
古勒买里社区,gu'le'mai'li'she'qu
古勒其村,gu'le'qi'cun
古里巴什村,gu'li'ba'shi'cun
古麻托卡依村,gu'ma'tuo'ka'yi'cun
固玛镇,gu'ma'zhen
古再村,gu'zai'cun
古宰尔路社区,gu'zai'er'lu'she'qu
古再尔社区,gu'zai'er'she'qu
古再勒社区,gu'zai'le'she'qu
古则社区,gu'ze'she'qu
古扎木村,gu'zha'mu'cun
果里买里村,guo'li'mai'li'cun
果萨斯村,guo'sa'si'cun
哈拉斯坦村,ha'la'si'tan'cun
哈鲁村,ha'lu'cun
哈曼艾日克村,ha'man'ai'ri'ke'cun
哈曼阔依地村,ha'man'kuo'yi'di'cun
哈尼喀村,ha'ni'ka'cun
哈塔村,ha'ta'cun
哈特布隆村,ha'te'bu'long'cun
海尔派萨依巴格村,hai'er'pai'sa'yi'ba'ge'cun
海勒其村,hai'le'qi'cun
海提其村,hai'ti'qi'cun
罕艾日克村,han'ai'ri'ke'cun
罕艾日克镇,han'ai'ri'ke'zhen
罕科瑞克村,han'ke'rui'ke'cun
罕库勒村,han'ku'le'cun
罕勒克艾日克村,han'le'ke'ai'ri'ke'cun
汗勒克瓦合拍村,han'le'ke'wa'he'pai'cun
罕纳麻孜村,han'na'ma'zi'cun
汉吐格村,han'tu'ge'cun
汉族队村,han'zu'dui'cun
浩罕村,hao'han'cun
合尼村,he'ni'cun
和田地区,he'tian'di'qu
和田买里村,he'tian'mai'li'cun
和田市,he'tian'shi
和田县,he'tian'xian
和夏阿瓦提乡,he'xia'a'wa'ti'xiang
和谐社区,he'xie'she'qu
和谐新村,he'xie'xin'cun
黑尼村,hei'ni'cun
黑尼恰喀村,hei'ni'qia'ka'cun
红光村,hong'guang'cun
虹桥社区,hong'qiao'she'qu
胡木旦贝希村,hu'mu'dan'bei'xi'cun
胡木旦贝希社区,hu'mu'dan'bei'xi'she'qu
胡木丹村,hu'mu'dan'cun
胡木旦村,hu'mu'dan'cun
胡木丹买里村,hu'mu'dan'mai'li'cun
胡西那瓦村,hu'xi'na'wa'cun
花园路社区,hua'yuan'lu'she'qu
荒地村,huang'di'cun
回族队村,hui'zu'dui'cun
火车站社区,huo'che'zhan'she'qu
霍加阿瓦提村,huo'jia'a'wa'ti'cun
霍加艾日克村,huo'jia'ai'ri'ke'cun
霍加木托格拉克村,huo'jia'mu'tuo'ge'la'ke'cun
霍什阿瓦提村,huo'shen'a'wa'ti'cun
霍伊拉坎特村,huo'yi'la'kan'te'cun
吉盖村,ji'gai'cun
吉格代艾日克村,ji'ge'dai'ai'ri'ke'cun
吉格代库都克村,ji'ge'dai'ku'dou'ke'cun
吉格代库勒村,ji'ge'dai'ku'le'cun
吉格代力克巴格村,ji'ge'dai'li'ke'ba'ge'cun
吉勒尕艾日克村,ji'le'ga'ai'ri'ke'cun
吉勒给提村,ji'le'gei'ti'cun
吉亚乡,ji'ya'xiang
加格达村,jia'ge'da'cun
加格勒格村,jia'ge'le'ge'cun
加汗巴格村,jia'han'ba'ge'cun
加汗巴格乡,jia'han'ba'ge'xiang
加拉墩村,jia'la'dun'cun
加拉勒巴格村,jia'la'le'ba'ge'cun
加木达村,jia'mu'da'cun
加纳尼村,jia'na'ni'cun
伽师县,jia'shi'xian
加依艾日克村,jia'yi'ai'ri'ke'cun
加依村,jia'yi'cun
加依纳古特村,jia'yi'na'gu'te'cun
加依提勒克乡,jia'yi'ti'le'ke'xiang
加依铁热克村,jia'yi'tie're'ke'cun
加依托格拉克村,jia'yi'tuo'ge'la'ke'cun
柬萨库勒村,jian'sa'ku'le'cun
建设路社区,jian'she'lu'she'qu
江巴格村,jiang'ba'ge'cun
江巴孜乡,jiang'ba'zi'xiang
江尕勒霍依拉村,jiang'ga'le'huo'yi'la'cun
江尕勒吐格曼村,jiang'ga'le'tu'ge'man'cun
江格勒斯乡,jiang'ge'le'si'xiang
交通村,jiao'tong'cun
解放北路社区,jie'fang'bei'lu'she'qu
介木居木村,jie'mu'ju'mu'cun
结然墩村,jie'ran'dun'cun
结然帕塔村,jie'ran'pa'ta'cun
结然塔拉村,jie'ran'ta'la'cun
金果社区,jin'guo'she'qu
敬老路社区,jing'lao'lu'she'qu
久维其村,jiu'wei'qi'cun
居玛巴扎村,ju'ma'ba'zha'cun
居买巴扎村,ju'mai'ba'zha'cun
卡藏塔甫提村,ka'cang'ta'fu'ti'cun
喀村,ka'cun
卡尔墩村,ka'er'dun'cun
喀尔墩村,ka'er'dun'cun
喀尔赛镇,ka'er'sai'zhen
喀尕贝格村,ka'ga'bei'ge'cun
喀尕村,ka'ga'cun
喀尕买里斯村,ka'ga'mai'li'si'cun
喀尕萨奇提村,ka'ga'sa'qi'ti'cun
卡尕吐孜村,ka'ga'tu'zi'cun
喀格勒克镇,ka'ge'le'ke'zhen
喀合夏勒村,ka'he'xia'le'cun
喀克勒克村,ka'ke'le'ke'cun
喀克夏勒村,ka'ke'xia'le'cun
喀拉艾肯博依村,ka'la'ai'ken'bo'yi'cun
喀拉艾肯村,ka'la'ai'ken'cun
喀拉巴格村,ka'la'ba'ge'cun
喀拉墩村,ka'la'dun'cun
喀拉喀什镇,ka'la'ka'shi'zhen
喀拉库勒诺村,ka'la'ku'le'nuo'cun
喀拉库其喀其拉村,ka'la'ku'qi'ka'qi'la'cun
喀拉坡塔村,ka'la'po'ta'cun
喀拉苏乡,ka'la'su'xiang
喀拉塔木村,ka'la'ta'mu'cun
喀拉塔什村,ka'la'ta'shen'cun
喀拉托格拉克村,ka'la'tuo'ge'la'ke'cun
喀拉乌依村,ka'la'wu'yi'cun
喀拉硝尔村,ka'la'xiao'er'cun
喀拉亚尕其村,ka'la'ya'ga'qi'cun
喀拉央塔克村,ka'la'yang'ta'ke'cun
喀拉尤勒滚村,ka'la'you'le'gun'cun
喀拉玉吉买村,ka'la'yu'ji'mai'cun
喀拉玉吉买路社区,ka'la'yu'ji'mai'lu'she'qu
喀勒帕克墩村,ka'le'pa'ke'dun'cun
喀勒塔村,ka'le'ta'cun
喀勒塔恰斯木克村,ka'le'ta'qia'si'mu'ke'cun
喀勒塔吐格曼村,ka'le'ta'tu'ge'man'cun
喀勒塔亚依拉克村,ka'le'ta'ya'yi'la'ke'cun
卡勒维村,ka'le'wei'cun
喀力尕其村,ka'li'ga'qi'cun
喀力玛村,ka'li'ma'cun
喀龙社区,ka'long'she'qu
喀玛库勒村,ka'ma'ku'le'cun
喀马勒克村,ka'ma'le'ke'cun
喀玛如孜村,ka'ma'ru'zi'cun
喀玛铁热克村,ka'ma'tie're'ke'cun
喀帕村,ka'pa'cun
喀帕克拉村,ka'pa'ke'la'cun
喀秋尕喀什村,ka'qiu'ga'ka'shi'cun
喀让古鲁克村,ka'rang'gu'lu'ke'cun
喀让古塔格村,ka'rang'gu'ta'ge'cun
喀让古托格拉克村,ka'rang'gu'tuo'ge'la'ke'cun
喀热巴格村,ka're'ba'ge'cun
卡热杜瓦村,ka're'du'wa'cun
喀热墩村,ka're'dun'cun
喀热墩维村,ka're'dun'wei'cun
喀热古鲁克村,ka're'gu'lu'ke'cun
喀热喀什村,ka're'ka'shi'cun
喀热克村,ka're'ke'cun
喀热库祖克村,ka're'ku'zu'ke'cun
喀热拉村,ka're'la'cun
喀热勒克村,ka're'le'ke'cun
喀热买提村,ka're'mai'ti'cun
喀热满村,ka're'man'cun
喀热萨村,ka're'sa'cun
喀热尤勒滚村,ka're'you'le'gun'cun
喀日克萨依巴格村,ka'ri'ke'sa'yi'ba'ge'cun
喀日木库木村,ka'ri'mu'ku'mu'cun
喀萨普艾日克村,ka'sa'pu'ai'ri'ke'cun
喀萨普买里村,ka'sa'pu'mai'li'cun
喀萨夏合勒克村,ka'sa'xia'he'le'ke'cun
喀什博依村,ka'shi'bo'yi'cun
喀什村,ka'shi'cun
喀什噶尔买里斯村,ka'shi'ga'er'mai'li'si'cun
喀什尕勒社区,ka'shi'ga'le'she'qu
喀什塔什乡,ka'shi'ta'shen'xiang
喀什吐维村,ka'shi'tu'wei'cun
卡斯克艾热克社区,ka'si'ke'ai're'ke'she'qu
喀斯克艾日克村,ka'si'ke'ai'ri'ke'cun
喀斯克吐格村,ka'si'ke'tu'ge'cun
喀斯皮村,ka'si'pi'cun
喀塔尔墩村,ka'ta'er'dun'cun
喀塔库勒村,ka'ta'ku'le'cun
喀堂村,ka'tang'cun
喀提其村,ka'ti'qi'cun
喀瓦克村,ka'wa'ke'cun
喀瓦克乡,ka'wa'ke'xiang
喀吾勒村,ka'wu'le'cun
喀亚什村,ka'ya'shen'cun
喀依古勒村,ka'yi'gu'le'cun
卡依玛克巴扎社区,ka'yi'ma'ke'ba'zha'she'qu
喀依那尔村,ka'yi'na'er'cun
喀赞村,ka'zan'cun
喀赞库勒村,ka'zan'ku'le'cun
喀赞其村,ka'zan'qi'cun
喀孜艾日克村,ka'zi'ai'ri'ke'cun
开代木加依村,kai'dai'mu'jia'yi'cun
开发区社区,kai'fa'qu'she'qu
开来依马克村,kai'lai'yi'ma'ke'cun
开勒坪博孜村,kai'le'ping'bo'zi'cun
开蒙村,kai'meng'cun
开普台尔巴格村,kai'pu'tai'er'ba'ge'cun
开外孜力克村,kai'wai'zi'li'ke'cun
坎迪尔勒克村,kan'di'er'le'ke'cun
坎迪尔力克村,kan'di'er'li'ke'cun
坎尔洋村,kan'er'yang'cun
坎麦盖提村,kan'mai'gai'ti'cun
坎特艾日克村,kan'te'ai'ri'ke'cun
坎特伊其村,kan'te'yi'qi'cun
康开其克村,kang'kai'qi'ke'cun
康帕村,kang'pa'cun
康萨罕村,kang'sa'han'cun
克尔克尧勒库木村,ke'er'ke'yao'le'ku'mu'cun
柯尔克孜吐格村,ke'er'ke'zi'tu'ge'cun
克尔帕买里村,ke'er'pa'mai'li'cun
克格孜艾日克村,ke'ge'zi'ai'ri'ke'cun
科克喀依拉村,ke'ke'ka'yi'la'cun
科克库木村,ke'ke'ku'mu'cun
科克力土塔勒村,ke'ke'li'tu'ta'le'cun
科克却勒博依村,ke'ke'que'le'bo'yi'cun
科克塔力社区,ke'ke'ta'li'she'qu
科克提坎村,ke'ke'ti'kan'cun
科克通鲁克村,ke'ke'tong'lu'ke'cun
柯克亚村,ke'ke'ya'cun
科克亚尔村,ke'ke'ya'er'cun
科克亚尔柯尔克孜族乡,ke'ke'ya'er'ke'er'ke'zi'zu'xiang
柯克亚乡,ke'ke'ya'xiang
克买村,ke'mai'cun
克其克阿克艾日克村,ke'qi'ke'a'ke'ai'ri'ke'cun
克其克布胡鲁其村,ke'qi'ke'bu'hu'lu'qi'cun
克其克江巴孜村,ke'qi'ke'jiang'ba'zi'cun
克其克托帕村,ke'qi'ke'tuo'pa'cun
克其克依盖尔其村,ke'qi'ke'yi'gai'er'qi'cun
克其勒克村,ke'qi'le'ke'cun
克热格艾日克村,ke're'ge'ai'ri'ke'cun
克日克塔木村,ke'ri'ke'ta'mu'cun
克日米其村,ke'ri'mi'qi'cun
科瑞克贝希社区,ke'rui'ke'bei'xi'she'qu
克什拉克阿勒迪村,ke'shi'la'ke'a'le'di'cun
克什拉克村,ke'shi'la'ke'cun
科台克力克村,ke'tai'ke'li'ke'cun
克提克拉村,ke'ti'ke'la'cun
克西拉克村,ke'xi'la'ke'cun
克亚克勒克村,ke'ya'ke'le'ke'cun
克亚克勒克乌依村,ke'ya'ke'le'ke'wu'yi'cun
克依墩村,ke'yi'dun'cun
克依克其村,ke'yi'ke'qi'cun
克孜克代尔瓦扎村,ke'zi'ke'dai'er'wa'zha'cun
克孜勒阿瓦提村,ke'zi'le'a'wa'ti'cun
克孜勒阿瓦提乡,ke'zi'le'a'wa'ti'xiang
克孜勒艾日克村,ke'zi'le'ai'ri'ke'cun
克孜勒博依乡,ke'zi'le'bo'yi'xiang
克孜勒吉村,ke'zi'le'ji'cun
克孜勒吉依木村,ke'zi'le'ji'yi'mu'cun
克孜勒坎特村,ke'zi'le'kan'te'cun
克孜勒克尔村,ke'zi'le'ke'er'cun
克孜勒库木村,ke'zi'le'ku'mu'cun
克孜勒苏乡,ke'zi'le'su'xiang
克孜勒也尔村,ke'zi'le'ye'er'cun
库墩村,ku'dun'cun
库尔班库勒村,ku'er'ban'ku'le'cun
库尔尕克村,ku'er'ga'ke'cun
库尔桂村,ku'er'gui'cun
库尔玛村,ku'er'ma'cun
库尔玛乡,ku'er'ma'xiang
库尕丹村,ku'ga'dan'cun
库格达依村,ku'ge'da'yi'cun
库客村,ku'ke'cun
库克塔里村,ku'ke'ta'li'cun
库科西鲁格乡,ku'ke'xi'lu'ge'xiang
库来克村,ku'lai'ke'cun
库兰阿古村,ku'lan'a'gu'cun
库兰其艾日克村,ku'lan'qi'ai'ri'ke'cun
库勒阿格孜村,ku'le'a'ge'zi'cun
库勒艾日克村,ku'le'ai'ri'ke'cun
库勒贝希社区,ku'le'bei'xi'she'qu
库勒博依村,ku'le'bo'yi'cun
库勒都尔买里斯村,ku'le'dou'er'mai'li'si'cun
库勒来克村,ku'le'lai'ke'cun
库玛村,ku'ma'cun
库玛提村,ku'ma'ti'cun
库木艾肯村,ku'mu'ai'ken'cun
库木艾日克村,ku'mu'ai'ri'ke'cun
库木巴博依村,ku'mu'ba'bo'yi'cun
库木巴村,ku'mu'ba'cun
库木巴格村,ku'mu'ba'ge'cun
库木博古孜村,ku'mu'bo'gu'zi'cun
库木博勒买村,ku'mu'bo'le'mai'cun
库木博依村,ku'mu'bo'yi'cun
库木村,ku'mu'cun
库木墩村,ku'mu'dun'cun
库木格勒村,ku'mu'ge'le'cun
库木加依村,ku'mu'jia'yi'cun
库木喀依干村,ku'mu'ka'yi'gan'cun
库木库都克村,ku'mu'ku'dou'ke'cun
库木库都克麻扎村,ku'mu'ku'dou'ke'ma'zha'cun
库木库勒村,ku'mu'ku'le'cun
库木库萨尔村,ku'mu'ku'sa'er'cun
库木库萨尔乡,ku'mu'ku'sa'er'xiang
库木库坦村,ku'mu'ku'tan'cun
库木阔勒村,ku'mu'kuo'le'cun
库木勒克村,ku'mu'le'ke'cun
库木鲁克社区,ku'mu'lu'ke'she'qu
库木买里村,ku'mu'mai'li'cun
库木奇库勒村,ku'mu'qi'ku'le'cun
库木恰喀村,ku'mu'qia'ka'cun
库木且克勒村,ku'mu'qie'ke'le'cun
库木萨热依村,ku'mu'sa're'yi'cun
库木萨热依路社区,ku'mu'sa're'yi'lu'she'qu
库木什艾日克村,ku'mu'shen'ai'ri'ke'cun
库木什墩村,ku'mu'shen'dun'cun
库木什库勒村,ku'mu'shen'ku'le'cun
库木希买里村,ku'mu'xi'mai'li'cun
库木亚依拉克村,ku'mu'ya'yi'la'ke'cun
库普其村,ku'pu'qi'cun
库其木拜什村,ku'qi'mu'bai'shen'cun
库热村,ku're'cun
库热格村,ku're'ge'cun
库热木托格拉克村,ku're'mu'tuo'ge'la'ke'cun
库如克兰干村,ku'ru'ke'lan'gan'cun
库如克鲁克村,ku'ru'ke'lu'ke'cun
库如克铁热克村,ku'ru'ke'tie're'ke'cun
库如勒克村,ku'ru'le'ke'cun
库萨村,ku'sa'cun
库遂村,ku'sui'cun
库台克艾日克村,ku'tai'ke'ai'ri'ke'cun
库台克勒克村,ku'tai'ke'le'ke'cun
库台克力克村,ku'tai'ke'li'ke'cun
库台买村,ku'tai'mai'cun
库特来木村,ku'te'lai'mu'cun
库提其村,ku'ti'qi'cun
库提热木村,ku'ti're'mu'cun
库匀墩村,ku'yun'dun'cun
库孜滚村,ku'zi'gun'cun
库孜吕克村,ku'zi'lv'ke'cun
奎牙村,kui'ya'cun
奎牙镇,kui'ya'zhen
坤都孜村,kun'dou'zi'cun
昆仑湖社区,kun'lun'hu'she'qu
昆其布隆村,kun'qi'bu'long'cun
昆其村,kun'qi'cun
昆其买里村,kun'qi'mai'li'cun
昆于孜村,kun'yu'zi'cun
阔尕其巴什村,kuo'ga'qi'ba'shi'cun
阔滚鲁克阿日希村,kuo'gun'lu'ke'a'ri'xi'cun
阔滚其艾日克村,kuo'gun'qi'ai'ri'ke'cun
阔坎村,kuo'kan'cun
阔克拱拜孜村,kuo'ke'gong'bai'zi'cun
阔克提热克村,kuo'ke'ti're'ke'cun
阔纳阿拉买提村,kuo'na'a'la'mai'ti'cun
阔纳艾日克村,kuo'na'ai'ri'ke'cun
阔纳巴扎村,kuo'na'ba'zha'cun
阔纳买里村,kuo'na'mai'li'cun
阔纳琼库尔恰克村,kuo'na'qiong'ku'er'qia'ke'cun
阔纳萨依巴格村,kuo'na'sa'yi'ba'ge'cun
阔纳色力布亚村,kuo'na'se'li'bu'ya'cun
阔那吐格曼村,kuo'na'tu'ge'man'cun
阔纳托喀依艾格勒村,kuo'na'tuo'ka'yi'yi'ge'le'cun
阔纳吾斯塘村,kuo'na'wu'si'tang'cun
阔纳乌堂村,kuo'na'wu'tang'cun
阔纳协海尔村,kuo'na'xie'hai'er'cun
阔纳协海尔社区,kuo'na'xie'hai'er'she'qu
阔其喀尔买里村,kuo'qi'ka'er'mai'li'cun
阔恰村,kuo'qia'cun
阔恰尤勒滚村,kuo'qia'you'le'gun'cun
阔曲尔马贝希村,kuo'qu'er'ma'bei'xi'cun
阔曲买贝希村,kuo'qu'mai'bei'xi'cun
阔若克村,kuo'ruo'ke'cun
阔什阿瓦提村,kuo'shen'a'wa'ti'cun
阔什艾肯村,kuo'shen'ai'ken'cun
阔什艾日克村,kuo'shen'ai'ri'ke'cun
阔什艾日克乡,kuo'shen'ai'ri'ke'xiang
阔什巴什村,kuo'shen'ba'shi'cun
阔什科瑞克村,kuo'shen'ke'rui'ke'cun
阔什库勒村,kuo'shen'ku'le'cun
阔什阔尕其村,kuo'shen'kuo'ga'qi'cun
阔什鲁克村,kuo'shen'lu'ke'cun
阔什马克铁热克村,kuo'shen'ma'ke'tie're'ke'cun
阔什诺尔村,kuo'shen'nuo'er'cun
阔什塔格村,kuo'shen'ta'ge'cun
阔什塔格乡,kuo'shen'ta'ge'xiang
阔什铁热克村,kuo'shen'tie're'ke'cun
阔什托格拉克村,kuo'shen'tuo'ge'la'ke'cun
阔什托玛村,kuo'shen'tuo'ma'cun
阔什吾斯塘村,kuo'shen'wu'si'tang'cun
阔塔克社区,kuo'ta'ke'she'qu
阔塔孜买里村,kuo'ta'zi'mai'li'cun
阔塔孜萨依巴格村,kuo'ta'zi'sa'yi'ba'ge'cun
阔太格勒克村,kuo'tai'ge'le'ke'cun
阔希玛克村,kuo'xi'ma'ke'cun
阔依克艾格勒村,kuo'yi'ke'yi'ge'le'cun
阔依其村,kuo'yi'qi'cun
阔依其乡,kuo'yi'qi'xiang
拉木斯村,la'mu'si'cun
拉斯奎镇,la'si'kui'zhen
拉依巴格村,la'yi'ba'ge'cun
拉依旦村,la'yi'dan'cun
拉依当村,la'yi'dang'cun
拉依喀村,la'yi'ka'cun
拉依喀乡,la'yi'ka'xiang
拉依勒克帕合特勒克村,la'yi'le'ke'pa'he'te'le'ke'cun
兰干巴格村,lan'gan'ba'ge'cun
兰干村,lan'gan'cun
兰杆村,lan'gan'cun
兰干买里斯村,lan'gan'mai'li'si'cun
栏杆社区,lan'gan'she'qu
兰帕村,lan'pa'cun
兰帕墩村,lan'pa'dun'cun
篮桥社区,lan'qiao'she'qu
蓝桥社区,lan'qiao'she'qu
朗喀巴格村,lang'ka'ba'ge'cun
郎喀勒克村,lang'ka'le'ke'cun
朗如村,lang'ru'cun
朗如乡,lang'ru'xiang
老汉村,lao'han'cun
勒格勒德玛村,le'ge'le'de'ma'cun
勒格里地玛央艾日克村,le'ge'li'di'ma'yang'ai'ri'ke'cun
里青塔木社区,li'qing'ta'mu'she'qu
沥青托尕依村,li'qing'tuo'ga'yi'cun
里青托尕依村,li'qing'tuo'ga'yi'cun
良种场村,liang'zhong'chang'cun
零公里社区,ling'gong'li'she'qu
龙尕村,long'ga'cun
龙口村,long'kou'cun
洛克村,luo'ke'cun
洛克乡,luo'ke'xiang
马尔洋乡,ma'er'yang'xiang
玛加村,ma'jia'cun
玛江库木村,ma'jiang'ku'mu'cun
玛什英恩孜村,ma'shen'ying'en'zi'cun
玛亚克墩村,ma'ya'ke'dun'cun
玛依仓村,ma'yi'cang'cun
麻扎阿勒迪村,ma'zha'a'le'di'cun
麻扎阿依拉村,ma'zha'a'yi'la'cun
麻扎艾日克村,ma'zha'ai'ri'ke'cun
麻扎贝希村,ma'zha'bei'xi'cun
麻扎村,ma'zha'cun
麻扎库木村,ma'zha'ku'mu'cun
买德日斯村,mai'de'ri'si'cun
麦迪尼帕合特勒克村,mai'di'ni'pa'he'te'le'ke'cun
麦盖提帕合特勒克村,mai'gai'ti'pa'he'te'le'ke'cun
麦盖提县,mai'gai'ti'xian
麦盖提镇,mai'gai'ti'zhen
芒来乡,mang'lai'xiang
美其特克热木村,mei'qi'te'ke're'mu'cun
门加克勒克村,men'jia'ke'le'ke'cun
蒙其库卡社区,meng'qi'ku'ka'she'qu
米来提艾日克村,mi'lai'ti'ai'ri'ke'cun
米力克阿瓦提村,mi'li'ke'a'wa'ti'cun
米里克村,mi'li'ke'cun
米斯开尔阔恰社区,mi'si'kai'er'kuo'qia'she'qu
米提孜村,mi'ti'zi'cun
米夏村,mi'xia'cun
米夏乡,mi'xia'xiang
米央胡加村,mi'yang'hu'jia'cun
敏乃克村,min'nai'ke'cun
民俗风情街社区,min'su'feng'qing'jie'she'qu
明哈达村,ming'ha'da'cun
明克什拉克村,ming'ke'shi'la'ke'cun
明木村,ming'mu'cun
莫尕勒艾日克村,mo'ga'le'ai'ri'ke'cun
莫尕勒村,mo'ga'le'cun
莫玛墩村,mo'ma'dun'cun
莫木克村,mo'mu'ke'cun
墨玉县,mo'yu'xian
木甫提霍加社区,mu'fu'ti'huo'jia'she'qu
木尕拉村,mu'ga'la'cun
木尕买里社区,mu'ga'mai'li'she'qu
木吉村,mu'ji'cun
木吉镇,mu'ji'zhen
木尼伯提村,mu'ni'bo'ti'cun
木努尔村,mu'nu'er'cun
纳尔巴格街道,na'er'ba'ge'jie'dao
纳尔巴格社区,na'er'ba'ge'she'qu
纳格拉村,na'ge'la'cun
纳格热其村,na'ge're'qi'cun
纳格热恰勒迪村,na'ge're'qia'le'di'cun
纳瓦克村,na'wa'ke'cun
纳瓦克社区,na'wa'ke'she'qu
乃再尔巴格村,nai'zai'er'ba'ge'cun
乃则尔巴格村,nai'ze'er'ba'ge'cun
乃扎尔巴格村,nai'zha'er'ba'ge'cun
南网社区,nan'wang'she'qu
瑙阿巴提村,nao'a'ba'ti'cun
尼皮其村,ni'pi'qi'cun
尼萨村,ni'sa'cun
尼向达村,ni'xiang'da'cun
尼响达村,ni'xiang'da'cun
努尔巴格村,nu'er'ba'ge'cun
奴尔巴格街道,nu'er'ba'ge'jie'dao
努开勒村,nu'kai'le'cun
努什墩村,nu'shen'dun'cun
奴遂村,nu'sui'cun
诺代村,nuo'dai'cun
诺尔贝希村,nuo'er'bei'xi'cun
欧尔达库勒贝希村,ou'er'da'ku'le'bei'xi'cun
欧尔那村,ou'er'na'cun
欧尔奴什村,ou'er'nu'shen'cun
欧格拉克其村,ou'ge'la'ke'qi'cun
欧克阿哈德艾日克村,ou'ke'a'ha'de'ai'ri'ke'cun
欧壤村,ou'rang'cun
欧塔克其村,ou'ta'ke'qi'cun
欧吐拉阿帕克霍加村,ou'tu'la'a'pa'ke'huo'jia'cun
欧吐拉阿其玛村,ou'tu'la'a'qi'ma'cun
欧吐拉艾日克村,ou'tu'la'ai'ri'ke'cun
欧吐拉奥依库勒村,ou'tu'la'ao'yi'ku'le'cun
欧吐拉拜什塔木村,ou'tu'la'bai'shen'ta'mu'cun
欧土拉古勒鲁克村,ou'tu'la'gu'le'lu'ke'cun
欧吐拉喀其村,ou'tu'la'ka'qi'cun
欧吐拉喀什村,ou'tu'la'ka'shi'cun
欧吐拉喀依鲁克村,ou'tu'la'ka'yi'lu'ke'cun
欧吐拉库木巴村,ou'tu'la'ku'mu'ba'cun
欧吐拉帕万村,ou'tu'la'pa'wan'cun
欧吐拉普恰克其村,ou'tu'la'pu'qia'ke'qi'cun
欧吐拉苏盖特艾日克村,ou'tu'la'su'gai'te'ai'ri'ke'cun
欧吐拉提埂村,ou'tu'la'ti'geng'cun
欧吐拉吾斯塘村,ou'tu'la'wu'si'tang'cun
欧吐拉硝尔艾日克村,ou'tu'la'xiao'er'ai'ri'ke'cun
欧吐拉亚巴格村,ou'tu'la'ya'ba'ge'cun
欧吐拉亚尕其村,ou'tu'la'ya'ga'qi'cun
欧吐拉依提木玉瑞克村,ou'tu'la'yi'ti'mu'yu'rui'ke'cun
欧吐拉英买里村,ou'tu'la'ying'mai'li'cun
欧吐热巴格恰村,ou'tu're'ba'ge'qia'cun
欧吞村,ou'tun'cun
欧吞其尧勒村,ou'tun'qi'yao'le'cun
欧吞苏村,ou'tun'su'cun
欧亚勒艾日克村,ou'ya'le'ai'ri'ke'cun
欧依艾日克村,ou'yi'ai'ri'ke'cun
欧依许玛村,ou'yi'xu'ma'cun
帕尔其村,pa'er'qi'cun
帕尔其托格勒克村,pa'er'qi'tuo'ge'le'ke'cun
帕合甫村,pa'he'fu'cun
帕合米勒克村,pa'he'mi'le'ke'cun
帕合塔巴扎社区,pa'he'ta'ba'zha'she'qu
帕合塔买里斯村,pa'he'ta'mai'li'si'cun
帕合太克村,pa'he'tai'ke'cun
帕恰克村,pa'qia'ke'cun
帕塔艾格勒村,pa'ta'yi'ge'le'cun
帕太克拉村,pa'tai'ke'la'cun
帕万村,pa'wan'cun
牌坊村,pai'fang'cun
派海孜墩村,pai'hai'zi'dun'cun
拍斯吾斯塘村,pai'si'wu'si'tang'cun
拍西塔克村,pai'xi'ta'ke'cun
排孜瓦提艾日克村,pai'zi'wa'ti'ai'ri'ke'cun
排孜瓦提村,pai'zi'wa'ti'cun
炮江村,pao'jiang'cun
炮台村,pao'tai'cun
皮勒村,pi'le'cun
皮力特库木希勒克村,pi'li'te'ku'mu'xi'le'ke'cun
皮山县,pi'shan'xian
皮依孜勒墩村,pi'yi'zi'le'dun'cun
平安路社区,ping'an'lu'she'qu
迫普那村,po'pu'na'cun
迫也那普村,po'ye'na'pu'cun
普吉村,pu'ji'cun
普喀村,pu'ka'cun
普恰克其乡,pu'qia'ke'qi'xiang
普萨村,pu'sa'cun
普提拉什村,pu'ti'la'shen'cun
普夏村,pu'xia'cun
其迪尔村,qi'di'er'cun
其迪尔托格拉克村,qi'di'er'tuo'ge'la'ke'cun
其甫坎村,qi'fu'kan'cun
其盖布隆村,qi'gai'bu'long'cun
其盖库都克村,qi'gai'ku'dou'ke'cun
其盖勒克村,qi'gai'le'ke'cun
其盖里克村,qi'gai'li'ke'cun
其干布拉克村,qi'gan'bu'la'ke'cun
其干力克村,qi'gan'li'ke'cun
其格勒克村,qi'ge'le'ke'cun
其格勒克阔坦村,qi'ge'le'ke'kuo'tan'cun
其格力克村,qi'ge'li'ke'cun
其格里克村,qi'ge'li'ke'cun
其汗宰村,qi'han'zai'cun
其拉克村,qi'la'ke'cun
其拉力克村,qi'la'li'ke'cun
其来克村,qi'lai'ke'cun
其来克亚村,qi'lai'ke'ya'cun
其兰勒克村,qi'lan'le'ke'cun
其郎村,qi'lang'cun
其浪里克社区,qi'lang'li'ke'she'qu
其勒克村,qi'le'ke'cun
其曼巴格村,qi'man'ba'ge'cun
其木盖尔里克村,qi'mu'gai'er'li'ke'cun
其纳艾日克村,qi'na'ai'ri'ke'cun
其纳尔巴格村,qi'na'er'ba'ge'cun
其纳尔村,qi'na'er'cun
其乃巴格村,qi'nai'ba'ge'cun
其乃村,qi'nai'cun
其乃库勒村,qi'nai'ku'le'cun
其尼巴格社区,qi'ni'ba'ge'she'qu
