岸舰导弹,an'jian'dao'dan
转运场地,zhuan'yun'chang'di
装定射程,zhuang'ding'she'cheng
自持进行,zi'chi'jin'xing
子弹头,zi'dan'tou
自动激活电池,zi'dong'ji'huo'dian'chi
自动控制,zi'dong'kong'zhi
自力发射,zi'li'fa'she
姿态控制,zi'tai'kong'zhi
姿态控制系统,zi'tai'kong'zhi'xi'tong
姿态控制装置,zi'tai'kong'zhi'zhuang'zhi
姿态稳定系统,zi'tai'wen'ding'xi'tong
自相摧毁,zi'xiang'cui'hui
自相摧毁效应,zi'xiang'cui'hui'xiao'ying
自行炸毁,zi'xing'zha'hui
自主制导,zi'zhu'zhi'dao
综合测量,zong'he'ce'liang
纵向偏差,zong'xiang'pian'cha
组合成,zu'he'cheng
最小初始速度,zui'xiao'chu'shi'su'du
最终轨道,zui'zhong'gui'dao
作战半径,zuo'zhan'ban'jing
作战空域,zuo'zhan'kong'yu
作战文书,zuo'zhan'wen'shu
作战准备时间,zuo'zhan'zhun'bei'shi'jian
