爱是万缘之根,ai'shi'wan'yuan'zhi'gen
方可读书学古,fang'ke'du'shu'xue'gu
方可挑圣贤之担,fang'ke'tiao'sheng'xian'zhi'dan
方可言了心,fang'ke'yan'le'xin
方能出世间于世间,fang'neng'chu'shi'jian'yu'shi'jian
方能以万物付万物,fang'neng'yi'wan'wu'fu'wan'wu
防人之心不可无,fang'ren'zhi'xin'bu'ke'wu
方是宇宙内的真人品,fang'shi'yu'zhou'nei'de'zhen'ren'pin
方为切实工夫,fang'wei'qie'shi'gong'fu
方为心地上工夫,fang'wei'xin'di'shang'gong'fu
方信闲人是福人,fang'xin'xian'ren'shi'fu'ren
芳馨则蜂蝶交侵,fang'xin'ze'feng'die'jiao'qin
方知淡泊之为真,fang'zhi'dan'bo'zhi'wei'zhen
防之当如渡海浮囊,fang'zhi'dang'ru'du'hai'fu'nang
方知鹤梦之悠闲,fang'zhi'he'meng'zhi'you'xian
放箸处齿颊犹香,fang'zhu'chu'chi'jia'you'xiang
放箸时与盐无异,fang'zhu'shi'yu'yan'wu'yi
非福,fei'fu
费千金而结纳贤豪,fei'qian'jin'er'jie'na'xian'hao
非丝非竹而自恬愉,fei'si'fei'zhu'er'zi'tian'yu
非心,fei'xin
粪虫至秽变为蝉,fen'chong'zhi'hui'bian'wei'chan
纷纷各异,fen'fen'ge'yi
分个彼我,fen'ge'bi'wo
纷扰固溺志之场,fen'rao'gu'ni'zhi'zhi'chang
偾事失机者,fen'shi'shi'ji'zhe
分些与人,fen'xie'yu'ren
奋迅以为速者,fen'xun'yi'wei'su'zhe
丰标自在,feng'biao'zi'zai
封公怨不授侯,feng'gong'yuan'bu'shou'hou
风过而竹不留声,feng'guo'er'zhu'bu'liu'sheng
风狂雨骤处,feng'kuang'yu'zhou'chu
风来疏竹,feng'lai'shu'zhu
风息时,feng'xi'shi
风中之柳态,feng'zhong'zhi'liu'tai
否则无以持空寂之后苦趣,fou'ze'wu'yi'chi'kong'ji'zhi'hou'ku'qu
否则无以脱垢浊之尘缘,fou'ze'wu'yi'tuo'gou'zhuo'zhi'chen'yuan
福不可邀,fu'bu'ke'yao
腐草无光化为荧,fu'cao'wu'guang'hua'wei'ying
父慈子孝兄友弟恭,fu'ci'zi'xiao'xiong'you'di'gong
富贵得一世宠荣,fu'gui'de'yi'shi'chong'rong
富贵更甚于贫贱,fu'gui'geng'shen'yu'pin'jian
富贵家宜宽厚而反忌克寸,fu'gui'jia'yi'kuan'hou'er'fan'ji'ke'cun
富贵名誉自道德来者,fu'gui'ming'yu'zi'dao'de'lai'zhe
富贵是无情之物,fu'gui'shi'wu'qing'zhi'wu
富贵所难,fu'gui'suo'nan
福莫福于少事,fu'mo'fu'yu'shao'shi
福善不在杳冥,fu'shan'bu'zai'yao'ming
附势者如寄生依木,fu'shi'zhe'ru'ji'sheng'yi'mu
拂意事休对人言,fu'yi'shi'xiu'dui'ren'yan
复遇温饱,fu'yu'wen'bao
盖愧悔二字,gai'kui'hui'er'zi
盖世的功劳,gai'shi'de'gong'lao
盖识是一,gai'shi'shi'yi
盖伺察乃懵懂之根,gai'si'cha'nai'meng'dong'zhi'gen
盖心无染著,gai'xin'wu'ran'zhu
盖志以淡泊明,gai'zhi'yi'dan'bo'ming
盖众人忧乐以情,gai'zhong'ren'you'le'yi'qing
甘婢膝奴颜,gan'bi'xi'nu'yan
肝肠煦若春风,gan'chang'xu'ruo'chun'feng
肝胆与天下相照,gan'dan'yu'tian'xia'xiang'zhao
肝受病则目不能视,gan'shou'bing'ze'mu'bu'neng'shi
甘余便生苦趣,gan'yu'bian'sheng'ku'qu
感与应俱适,gan'yu'ying'ju'shi
刚强终不胜柔弱,gang'qiang'zhong'bu'sheng'rou'ruo
高步疾颠,gao'bu'ji'dian
高车嫌地僻,gao'che'xian'di'pi
高人以之助,gao'ren'yi'zhi'zhu
高则高矣,gao'ze'gao'yi
鸽恶铃而高飞,ge'e'ling'er'gao'fei
功必求盈者,gong'bi'qiu'ying'zhe
功成行满之士,gong'cheng'xing'man'zhi'shi
功过不宜少混,gong'guo'bu'yi'shao'hun
功名富贵,gong'ming'fu'gui
功名富贵逐世转移,gong'ming'fu'gui'zhu'shi'zhuan'yi
公平正论不可犯手,gong'ping'zheng'lun'bu'ke'fan'shou
攻人之恶毋太严,gong'ren'zhi'e'wu'tai'yan
构千楹而招来宾客,gou'qian'ying'er'zhao'lai'bin'ke
固不喜失亦不忧,gu'bu'xi'shi'yi'bu'you
故持盈履满,gu'chi'ying'lv'man
故当抑其躁心,gu'dang'yi'qi'zao'xin
故当振其惰气,gu'dang'zhen'qi'duo'qi
故读书穷理,gu'du'shu'qiong'li
故多种种嗜好种种烦恼,gu'duo'zhong'zhong'shi'hao'zhong'zhong'fan'nao
故恶之显者祸浅,gu'e'zhi'xian'zhe'huo'qian
故拂心处切莫放手,gu'fu'xin'chu'qie'mo'fang'shou
故古人以不贪为宝,gu'gu'ren'yi'bu'tan'wei'bao
故机闲者一日遥于千古,gu'ji'xian'zhe'yi'ri'yao'yu'qian'gu
古今,gu'jin
故爵禄可饵荣进之辈,gu'jue'lu'ke'er'rong'jin'zhi'bei
故君子不能灭情,gu'jun'zi'bu'neng'mie'qing
故君子不作垢业,gu'jun'zi'bu'zuo'gou'ye
故君子当存含垢纳污之量,gu'jun'zi'dang'cun'han'gou'na'wu'zhi'liang
故君子居常嗜好,gu'jun'zi'ju'chang'shi'hao
故君子事来而心,gu'jun'zi'shi'lai'er'xin
故君子虽重廉介,gu'jun'zi'sui'zhong'lian'jie
故君子以恬养智,gu'jun'zi'yi'tian'yang'zhi
故君子以重持轻,gu'jun'zi'yi'zhong'chi'qing
故君子欲无得罪于昭昭,gu'jun'zi'yu'wu'de'zui'yu'zhao'zhao
故君子于一虫一蚁不忍伤残,gu'jun'zi'yu'yi'chong'yi'yi'bu'ren'shang'can
故快意时须早回头,gu'kuai'yi'shi'xu'zao'hui'tou
故人常忧死虑病,gu'ren'chang'you'si'lv'bing
古人此点念头,gu'ren'ci'dian'nian'tou
故人当以事后,gu'ren'dang'yi'shi'hou
故人而皆好名,gu'ren'er'jie'hao'ming
古人实受处,gu'ren'shi'shou'chu
古人闲适处,gu'ren'xian'shi'chu
骨肉尤狠于外人,gu'rou'you'hen'yu'wai'ren
故芟之,gu'shan'zhi
固生憎顺,gu'sheng'zeng'shun
故释氏云,gu'shi'shi'yun
故贪商於而恋金谷者,gu'tan'shang'yu'er'lian'jin'gu'zhe
故性气清冷者,gu'xing'qi'qing'leng'zhe
故学者不患垢病,gu'xue'zhe'bu'huan'gou'bing
故学者当栖心元默,gu'xue'zhe'dang'qi'xin'yuan'mo
故愚夫徒疾走高飞,gu'yu'fu'tu'ji'zou'gao'fei
故语云,gu'yu'yun
孤云出岫,gu'yun'chu'xiu
故哲士多匿采以韬光,gu'zhe'shi'duo'ni'cai'yi'tao'guang
故知富不如贫之无虑,gu'zhi'fu'bu'ru'pin'zhi'wu'lv
故知贵不如贱之常安,gu'zhi'gui'bu'ru'jian'zhi'chang'an
故知洁,gu'zhi'jie
瓜熟蒂落,gua'shu'di'luo
观澄潭之月影,guan'cheng'tan'zhi'yue'ying
光风之内,guang'feng'zhi'nei
光景,guang'jing
瑰节奇行,gui'jie'qi'xing
圭角不露,gui'jue'bu'lu
鬼神不能损我,gui'shen'bu'neng'sun'wo
鬼神也不能役使我,gui'shen'ye'bu'neng'yi'shi'wo
衮衣玉食者,gun'yi'yu'shi'zhe
过激而犯蜂虿之毒,guo'ji'er'fan'feng'chai'zhi'du
过举自稀,guo'ju'zi'xi
过则为悭吝为鄙啬,guo'ze'wei'qian'lin'wei'bi'se
过则为足恭,guo'ze'wei'zu'gong
果种花,guo'zhong'hua
还怜茕独,hai'lian'qiong'du
害人之心不可有,hai'ren'zhi'xin'bu'ke'you
还如筑个祸基,hai'ru'zhu'ge'huo'ji
还是锻炼未熟,hai'shi'duan'lian'wei'shu
还天下于天下者,hai'tian'xia'yu'tian'xia'zhe
还向纷纭境上勘过,hai'xiang'fen'yun'jing'shang'kan'guo
害也,hai'ye
还有几分侠气,hai'you'ji'fen'xia'qi
寒则杀,han'ze'sha
航登彼岸,hang'deng'bi'an
好察非明,hao'cha'fei'ming
好丑心太明,hao'chou'xin'tai'ming
何必浪生悲喜,he'bi'lang'sheng'bei'xi
何处讨些生理,he'chu'tao'xie'sheng'li
何患横流污,he'huan'heng'liu'wu
何患顽金钝铁之不可陶熔,he'huan'wan'jin'dun'tie'zhi'bu'ke'tao'rong
何患心思不活泼,he'huan'xin'si'bu'huo'po
鹤立鸡群,he'li'ji'qun
鹤唳雪月霜天想见屈大夫醒时之激烈,he'li'xue'yue'shuang'tian'xiang'jian'qu'dai'fu'xing'shi'zhi'ji'lie
何如骨肉之孚心,he'ru'gu'rou'zhi'fu'xin
何如俭者贫而有余,he'ru'jian'zhe'pin'er'you'yu
何如拙者逸而全真,he'ru'zhuo'zhe'yi'er'quan'zhen
何事处修边幅,he'shi'chu'xiu'bian'fu
何事偏贪钩下饵,he'shi'pian'tan'gou'xia'er
何似养志于清修而炎,he'si'yang'zhi'yu'qing'xiu'er'yan
何损清修,he'sun'qing'xiu
何天不可翱翔,he'tian'bu'ke'ao'xiang
何畏乎仕宦之危机,he'wei'hu'shi'huan'zhi'wei'ji
何物不可饮啄,he'wu'bu'ke'yin'zhuo
何须百般计较,he'xu'bai'ban'ji'jiao
何须分别,he'xu'fen'bie
何须戚戚,he'xu'qi'qi
何须取舍,he'xu'qu'she
何须琐琐,he'xu'suo'suo
何也,he'ye
何以成旋乾转坤之经纶,he'yi'cheng'xuan'qian'zhuan'kun'zhi'jing'lun
何以发育万物,he'yi'fa'yu'wan'wu
何以脱缰锁之身,he'yi'tuo'jiang'suo'zhi'shen
何以振云霄之翮,he'yi'zhen'yun'xiao'zhi'he
何以植顶天立地之砥柱应用要有圆机,he'yi'zhi'ding'tian'li'di'zhi'di'zhu'ying'yong'yao'you'yuan'ji
何忧乎利禄之香饵,he'you'hu'li'lu'zhi'xiang'er
何足恃哉,he'zu'shi'zai
狠狠争来,hen'hen'zheng'lai
横逆困穷,heng'ni'kun'qiong
红蕖媚秋水,hong'qu'mei'qiu'shui
洪涛倒海而坻柱屹然,hong'tao'dao'hai'er'di'zhu'yi'ran
鸿未至先援弓,hong'wei'zhi'xian'yuan'gong
红颜失志,hong'yan'shi'zhi
鸿则罹其中,hong'ze'li'qi'zhong
红烛烧残,hong'zhu'shao'can
忽睹天际彩云,hu'du'tian'ji'cai'yun
虎可搏非真虎,hu'ke'bo'fei'zhen'hu
狐眠败砌,hu'mian'bai'qi
胡为妄别媸妍,hu'wei'wang'bie'chi'yan
户朽未闻枢蠹,hu'xiu'wei'wen'shu'du
乎哉,hu'zai
花便有迁徙废兴,hua'bian'you'qian'xi'fei'xing
花逞春光,hua'cheng'chun'guang
花结果,hua'jie'guo
花开花谢春不管,hua'kai'hua'xie'chun'bu'guan
花容,hua'rong
花尚铺一段好色,hua'shang'pu'yi'duan'hao'se
化为家人矣,hua'wei'jia'ren'yi
花英草色,hua'ying'cao'se
怀此热肝肠,huai'ci're'gan'chang
坏了一生人品,huai'le'yi'sheng'ren'pin
唤醒梦中之梦,huan'xing'meng'zhong'zhi'meng
黄梁梦破,huang'liang'meng'po
黄鸟情多,huang'niao'qing'duo
悔既往之失,hui'ji'wang'zhi'shi
毁人者不美,hui'ren'zhe'bu'mei
会心不在远,hui'xin'bu'zai'yuan
会心处还期独赏,hui'xin'chu'hai'qi'du'shang
会知陶处,hui'zhi'tao'chu
昏明顿异也,hun'ming'dun'yi'ye
混俗之中能脱俗,hun'su'zhi'zhong'neng'tuo'su
混则人怀惰隳之心,hun'ze'ren'huai'duo'hui'zhi'xin
祸不可避,huo'bu'ke'bi
或处淡泊而厌,huo'chu'dan'bo'er'yan
霍光败于权势逼君,huo'guang'bai'yu'quan'shi'bi'jun
或见纷华而喜,huo'jian'fen'hua'er'xi
火焦蛾,huo'jiao'e
祸莫祸于多心,huo'mo'huo'yu'duo'xin
活水观鱼戏,huo'shui'guan'yu'xi
祸淫不在幽渺,huo'yin'bu'zai'you'miao
几朝霜几朝雪,ji'chao'shuang'ji'chao'xue
疾风怒雨,ji'feng'nu'yu
几何不魍魉猖狂,ji'he'bu'wang'liang'chang'kuang
几何不坠入榛莽坑堑哉,ji'he'bu'zhui'ru'zhen'mang'keng'qian'zai
几何光阴,ji'he'guang'yin
几何人哉,ji'he'ren'zai
即饥餐渴饮,ji'ji'can'ke'yin
急就者非邃养施为宜,ji'jiu'zhe'fei'sui'yang'shi'wei'yi
既觉真现而妄,ji'jue'zhen'xian'er'wang
机里藏机变外生变,ji'li'cang'ji'bian'wai'sheng'bian
寂寞衡茅观燕寝,ji'mo'heng'mao'guan'yan'qin
寂寞一时,ji'mo'yi'shi
霁日青天,ji'ri'qing'tian
即是导利之机,ji'shi'dao'li'zhi'ji
即是火坑,ji'shi'huo'keng
济世经邦,ji'shi'jing'bang
即万,ji'wan
即无寸功,ji'wu'cun'gong
机息坐忘盘石上,ji'xi'zuo'wang'pan'shi'shang
亟携归,ji'xie'gui
即伊吕之勋庸夷齐之节义,ji'yi'lv'zhi'xun'yong'yi'qi'zhi'jie'yi
霁月光风,ji'yue'guang'feng
即在动静语默间夺,ji'zai'dong'jing'yu'mo'jian'duo
即在涉世中,ji'zai'she'shi'zhong
即在食息起居处牖其衷,ji'zai'shi'xi'qi'ju'chu'you'qi'zhong
即造物不得与之论劳逸较亏,ji'zao'wu'bu'de'yu'zhi'lun'lao'yi'jiao'kui
己之困辱宜忍,ji'zhi'kun'ru'yi'ren
己之情欲不可纵,ji'zhi'qing'yu'bu'ke'zong
即肢体亦属委,ji'zhi'ti'yi'shu'wei
家人有过不宜暴扬,jia'ren'you'guo'bu'yi'bao'yang
家庭有个真佛,jia'ting'you'ge'zhen'fo
假以覆短,jia'yi'fu'duan
检饬之人,jian'chi'zhi'ren
减除得,jian'chu'de
间都来眼前事,jian'dou'lai'yan'qian'shi
建功立业者,jian'gong'li'ye'zhe
见弓影而惊杯中之蛇,jian'gong'ying'er'jing'bei'zhong'zhi'she
俭美德也,jian'mei'de'ye
见奇,jian'qi
见悻悻自好之人,jian'xing'xing'zi'hao'zhi'ren
间一妙境也,jian'yi'miao'jing'ye
见一善行,jian'yi'shan'xing
俭者淡于货利,jian'zhe'dan'yu'huo'li
讲道修德,jiang'dao'xiu'de
降魔者先降其心,jiang'mo'zhe'xian'jiang'qi'xin
姜女不尚铅华,jiang'nv'bu'shang'qian'hua
讲学不尚躬行,jiang'xue'bu'shang'gong'xing
较雌论雄,jiao'ci'lun'xiong
较雌雄于着手,jiao'ci'xiong'yu'zhuo'shou
矫情不若,jiao'qing'bu'ruo
教人以善毋过高,jiao'ren'yi'shan'wu'guo'gao
交友不宜滥,jiao'you'bu'yi'lan
皆薄,jie'bao
解斗者助之以威,jie'dou'zhe'zhu'zhi'yi'wei
皆烂肠腐骨之药,jie'lan'chang'fu'gu'zhi'yao
结纳山翁,jie'na'shan'weng
皆念想造成,jie'nian'xiang'zao'cheng
皆是播弄英雄颠倒豪杰处,jie'shi'bo'nong'ying'xiong'dian'dao'hao'jie'chu
皆是靠外物做人,jie'shi'kao'wai'wu'zuo'ren
借他事而隐讽之,jie'ta'shi'er'yin'feng'zhi
阶下几点飞翠落红,jie'xia'ji'dian'fei'cui'luo'hong
结新知不如敦旧好,jie'xin'zhi'bu'ru'dun'jiu'hao
节义傲青云,jie'yi'ao'qing'yun
皆以十分取败者也,jie'yi'shi'fen'qu'bai'zhe'ye
捷则捷矣,jie'ze'jie'yi
节纵孤高,jie'zong'gu'gao
进步处便思退步,jin'bu'chu'bian'si'tui'bu
尽得世间之常道,jin'de'shi'jian'zhi'chang'dao
进德修行,jin'de'xiu'xing
谨德须谨于至微之事,jin'de'xu'jin'yu'zhi'wei'zhi'shi
矜高倨傲,jin'gao'ju'ao
谨交游,jin'jiao'you
金夸过斗,jin'kua'guo'dou
矜名不如逃名趣,jin'ming'bu'ru'tao'ming'qu
锦绮岂因牺贵,jin'qi'qi'yin'xi'gui
今人皆恕以适己而忍以制人,jin'ren'jie'shu'yi'shi'ji'er'ren'yi'zhi'ren
今人却忙过了一生,jin'ren'que'mang'guo'le'yi'sheng
今人又虚度了一世,jin'ren'you'xu'du'le'yi'shi
今日不悟俟,jin'ri'bu'wu'si
今日之是不可执,jin'ri'zhi'shi'bu'ke'zhi
尽是当年歌舞之地,jin'shi'dang'nian'ge'wu'zhi'di
尽属蜉蝣,jin'shu'fu'you
尽属妄心消杀得,jin'shu'wang'xin'xiao'sha'de
金屋茅檐非两地也,jin'wu'mao'yan'fei'liang'di'ye
今朝却是伊,jin'zhao'que'shi'yi
竟被一时之显戮,jing'bei'yi'shi'zhi'xian'lu
静觇竞巢鹊,jing'chan'jing'chao'que
竟成有爵的乞人,jing'cheng'you'jue'de'qi'ren
静处观人事,jing'chu'guan'ren'shi
净的种子,jing'de'zhong'zi
兢后,jing'hou
境界顿殊,jing'jie'dun'shu
精明浑厚矣,jing'ming'hun'hou'yi
精魄,jing'po
惊奇喜异者,jing'qi'xi'yi'zhe
景色虽不艳丽,jing'se'sui'bu'yan'li
境在清宁,jing'zai'qing'ning
静躁两不相干,jing'zao'liang'bu'xiang'gan
静中不落空,jing'zhong'bu'luo'kong
兢逐听人而不嫌尽醉,jing'zhu'ting'ren'er'bu'xian'jin'zui
究不知,jiu'bu'zhi
救既败之事者,jiu'ji'bai'zhi'shi'zhe
就一身了一身者,jiu'yi'shen'le'yi'shen'zhe
旧有序,jiu'you'xu
就有一不好的相乘除,jiu'you'yi'bu'hao'de'xiang'cheng'chu
就有一不乐的相对待,jiu'you'yi'bu'le'de'xiang'dui'dai
居高者形逸而神劳,ju'gao'zhe'xing'yi'er'shen'lao
居官不爱子民,ju'guan'bu'ai'zi'min
居官有二语曰,ju'guan'you'er'yu'yue
居家有二语曰,ju'jia'you'er'yu'yue
咀蜡,ju'la
俱民必争之器,ju'min'bi'zheng'zhi'qi
居逆境中,ju'ni'jing'zhong
居其名则,ju'qi'ming'ze
居身宜居于独后之地,ju'shen'yi'ju'yu'du'hou'zhi'di
俱是合当如是,ju'shi'he'dang'ru'shi
俱是荆棘泥涂,ju'shi'jing'ji'ni'tu
俱是涉世的祸胎,ju'shi'she'shi'de'huo'tai
居轩冕之中,ju'xuan'mian'zhi'zhong
局中之危,ju'zhong'zhi'wei
卷舒自由,juan'shu'zi'you
绝俗亦是苦,jue'su'yi'shi'ku
君子,jun'zi
君子持身之符,jun'zi'chi'shen'zhi'fu
君子处此固不可,jun'zi'chu'ci'gu'bu'ke
君子而改节,jun'zi'er'gai'jie
君子而诈善,jun'zi'er'zha'shan
君子故不为君相所牢笼,jun'zi'gu'bu'wei'jun'xiang'suo'lao'long
君子好名,jun'zi'hao'ming
君子所以宁默毋躁宁拙毋巧,jun'zi'suo'yi'ning'mo'wu'zao'ning'zhuo'wu'qiao
君子严如介石而畏其难亲,jun'zi'yan'ru'jie'shi'er'wei'qi'nan'qin
君子尤兢兢焉,jun'zi'you'jing'jing'yan
君子原无私惠,jun'zi'yuan'wu'si'hui
君子之才华,jun'zi'zhi'cai'hua
君子只是逆,jun'zi'zhi'shi'ni
君子只是一个念,jun'zi'zhi'shi'yi'ge'nian
君子之心事,jun'zi'zhi'xin'shi
开万善之门,kai'wan'shan'zhi'men
看得他重,kan'de'ta'zhong
看个色身不破,kan'ge'se'shen'bu'po
看花慎勿至离披,kan'hua'shen'wu'zhi'li'pi
勘极而成知者,kan'ji'er'cheng'zhi'zhe
看破有尽身躯,kan'po'you'jin'shen'qu
看人只看后半截,kan'ren'zhi'kan'hou'ban'jie
堪笑猩猩之嗜酒,kan'xiao'xing'xing'zhi'shi'jiu
看一片云光舒卷,kan'yi'pian'yun'guang'shu'juan
刊欲炽然,kan'yu'chi'ran
康节云,kang'jie'yun
可不慎哉绳锯材断,ke'bu'shen'zai'sheng'ju'cai'duan
可乎,ke'hu
可见静躁稍分,ke'jian'jing'zao'shao'fen
可见苦乐无,ke'jian'ku'le'wu
可见名为招祸之本,ke'jian'ming'wei'zhao'huo'zhi'ben
可见人之精爽常通于天,ke'jian'ren'zhi'jing'shuang'chang'tong'yu'tian
可见事物无定品,ke'jian'shi'wu'wu'ding'pin
可见天地不可一日无和气,ke'jian'tian'di'bu'ke'yi'ri'wu'he'qi
可见天之机权最神,ke'jian'tian'zhi'ji'quan'zui'shen
可见喜事不,ke'jian'xi'shi'bu
可怜燕燕之偷安,ke'lian'yan'yan'zhi'tou'an
客气下而后正气伸,ke'qi'xia'er'hou'zheng'qi'shen
可释回而增美,ke'shi'hui'er'zeng'mei
可谓超然无侣矣,ke'wei'chao'ran'wu'lv'yi
可以韬光养德,ke'yi'tao'guang'yang'de
可以完天地浑噩之真,ke'yi'wan'tian'di'hun'e'zhi'zhen
可以远害全身,ke'yi'yuan'hai'quan'shen
可以酝酿两间和气,ke'yi'yun'niang'liang'jian'he'qi
可以昭垂百代清芬,ke'yi'zhao'chui'bai'dai'qing'fen
可以转祸而为福,ke'yi'zhuan'huo'er'wei'fu
刻则思效者去,ke'ze'si'xiao'zhe'qu
颗照魔的明珠,ke'zhao'mo'de'ming'zhu
坷之世道,ke'zhi'shi'dao
肯同鸡鹜之营营而竞食,ken'tong'ji'wu'zhi'ying'ying'er'jing'shi
恐来谗谮之奸,kong'lai'chan'zen'zhi'jian
恐石去而草复生矣,kong'shi'qu'er'cao'fu'sheng'yi
空手,kong'shou
空贻皓首之悲伤,kong'yi'hao'shou'zhi'bei'shang
恐一临机登坛,kong'yi'lin'ji'deng'tan
恐招,kong'zhao
空逐妄,kong'zhu'wang
苦节独行者,ku'jie'du'xing'zhe
酷烈之祸,ku'lie'zhi'huo
苦时之坎易逃,ku'shi'zhi'kan'yi'tao
苦心中常得悦心之趣,ku'xin'zhong'chang'de'yue'xin'zhi'qu
夸逞功业炫耀文章,kua'cheng'gong'ye'xuan'yao'wen'zhang
快心之事,kuai'xin'zhi'shi
宽窄系之寸心,kuan'zhai'xi'zhi'cun'xin
宽之或自明,kuan'zhi'huo'zi'ming
况区区人世能事事园满而时时暇逸乎,kuang'qu'qu'ren'shi'neng'shi'shi'yuan'man'er'shi'shi'xia'yi'hu
况一切区区事物乎,kuang'yi'qie'qu'qu'shi'wu'hu
窥见身外之身,kui'jian'shen'wai'zhi'shen
困穷背后福跟随,kun'qiong'bei'hou'fu'gen'sui
来日正警之,lai'ri'zheng'jing'zhi
来顺受居安思危,lai'shun'shou'ju'an'si'wei
滥则贡谀者来,lan'ze'gong'yu'zhe'lai
朗镜悬空,lang'jing'xuan'kong
琅王干,lang'wang'gan
老成的人,lao'cheng'de'ren
老来疾病都是壮时招得,lao'lai'ji'bing'dou'shi'zhuang'shi'zhao'de
老树新花同含生意,lao'shu'xin'hua'tong'han'sheng'yi
乐箪瓢而甘敝温纟旁者,le'dan'piao'er'gan'bi'wen'jiao'pang'zhe
了心之功即在尽心内,le'xin'zhi'gong'ji'zai'jin'xin'nei
了心自了事,le'xin'zi'liao'shi
乐意相关禽对语,le'yi'xiang'guan'qin'dui'yu
冷觑来令人猛气全消,leng'qu'lai'ling'ren'meng'qi'quan'xiao
立百福之基,li'bai'fu'zhi'ji
利刀割水,li'dao'ge'shui
藜口苋肠者,li'kou'xian'chang'zhe
理路上荆棘,li'lu'shang'jing'ji
理路上事,li'lu'shang'shi
立名者正所以为贪,li'ming'zhe'zheng'suo'yi'wei'tan
利人实利己的根基,li'ren'shi'li'ji'de'gen'ji
立荣名不如种阴得,li'rong'ming'bu'ru'zhong'yin'de
立身不高一步立,li'shen'bu'gao'yi'bu'li
力是一把斩魔的慧剑,li'shi'yi'ba'zhan'mo'de'hui'jian
立业不思种德,li'ye'bu'si'zhong'de
立业建功,li'ye'jian'gong
怜蛾不点灯,lian'e'bu'dian'deng
廉官多无后,lian'guan'duo'wu'hou
练极而成福者,lian'ji'er'cheng'fu'zhe
练事何如省事闲,lian'shi'he'ru'sheng'shi'xian
练世味,lian'shi'wei
廉所以戒贪,lian'suo'yi'jie'tan
炼者,lian'zhe
恋字,lian'zi
两不可少也,liang'bu'ke'shao'ye
凉不涉,liang'bu'she
两个空拳握古今,liang'ge'kong'quan'wo'gu'jin
良足慨哉,liang'zu'kai'zai
料事烛理,liao'shi'zhu'li
鹩占一枝,liao'zhan'yi'zhi
列此即,lie'ci'ji
烈士让千乘,lie'shi'rang'qian'sheng
烈焰成池,lie'yan'cheng'chi
临行时还是,lin'xing'shi'hai'shi
留些正气还天地,liu'xie'zheng'qi'hai'tian'di
留之则根烬复萌,liu'zhi'ze'gen'jin'fu'meng
龙可豢非真龙,long'ke'huan'fei'zhen'long
芦花被下卧雪眠云,lu'hua'bei'xia'wo'xue'mian'yun
陆机,lu'ji
路径窄处留一步,lu'jing'zhai'chu'liu'yi'bu
露冷黄花,lu'leng'huang'hua
炉内识阴阳之理,lu'nei'shi'yin'yang'zhi'li
炉烹白雪清冰,lu'peng'bai'xue'qing'bing
鹿豕同眠,lu'shi'tong'mian
落落者,luo'luo'zhe
萝茑依松,luo'niao'yi'song
履过,lv'guo
虑忘形,lv'wang'xing
马骋先鞭,ma'cheng'xian'bian
麦饭豆羹淡滋味,mai'fan'dou'geng'dan'zi'wei
漫履楸枰观局戏,man'lv'qiu'ping'guan'ju'xi
满前尽,man'qian'jin
满室清风满几月,man'shi'qing'feng'man'ji'yue
漫随天外支卷云舒,man'sui'tian'wai'zhi'juan'yun'shu
忙处事为,mang'chu'shi'wei
忙忙过了,mang'mang'guo'le
忙中有受用,mang'zhong'you'shou'yong
昴藏老鹤虽饥,mao'cang'lao'he'sui'ji
貌偕松共瘦,mao'xie'song'gong'shou
眉目才无可憎,mei'mu'cai'wu'ke'zeng
媒孽之祸,mei'nie'zhi'huo
每于此中得大机趣,mei'yu'ci'zhong'dei'da'ji'qu
媚悦取容,mei'yue'qu'rong
梦里悬金佩玉,meng'li'xuan'jin'pei'yu
猛兽易伏,meng'shou'yi'fu
觅得一些消息,mi'de'yi'xie'xiao'xi
麋鹿性逸,mi'lu'xing'yi
弥天的罪过,mi'tian'de'zui'guo
迷悟非两心,mi'wu'fei'liang'xin
密则神气拘逼,mi'ze'shen'qi'ju'bi
迷则乐境成苦海,mi'ze'yue'jing'cheng'ku'hai
面前的田地要放得宽,mian'qian'de'tian'di'yao'fang'de'kuan
面前恐有照胆之镜,mian'qian'kong'you'zhao'dan'zhi'jing
面上扫开十层甲,mian'shang'sao'kai'shi'ceng'jia
庙堂之士,miao'tang'zhi'shi
灭却欣厌之情,mie'que'xin'yan'zhi'qing
明不伤察,ming'bu'shang'cha
明洪应明,ming'hong'ying'ming
名利饴甘,ming'li'yi'gan
明每从暗生也,ming'mei'cong'an'sheng'ye
明明知得,ming'ming'zhi'de
名位之念重,ming'wei'zhi'nian'zhong
明则人起携贰之志,ming'ze'ren'qi'xie'er'zhi'zhi
明中有,ming'zhong'you
莫从世路暗投珠,mo'cong'shi'lu'an'tou'zhu
末路不怠荒,mo'lu'bu'dai'huang
莫少停一棹,mo'shao'ting'yi'zhao
磨石厉当如百炼之金,mo'shi'li'dang'ru'bai'lian'zhi'jin
莫谓祸生无本,mo'wei'huo'sheng'wu'ben
魔障终在,mo'zhang'zhong'zai
木床石枕冷家风,mu'chuang'shi'zhen'leng'jia'feng
木伐而寄生亦枯,mu'fa'er'ji'sheng'yi'ku
奈何辄自废弛哉,nai'he'zhe'zi'fei'chi'zai
乃是造花之幻境,nai'shi'zao'hua'zhi'huan'jing
乃吾人去恶迁善,nai'wu'ren'qu'e'qian'shan
