阿弗它性口炎,a'fu'ta'xing'kou'yan
萌出性龈炎,meng'chu'xing'yin'yan
面部肿胀,mian'bu'zhong'zhang
面部肿张不见好转,mian'bu'zhong'zhang'bu'jian'hao'zhuan
面部肿张好转,mian'bu'zhong'zhang'hao'zhuan
面部肿胀加剧,mian'bu'zhong'zhang'jia'ju
面部肿胀减轻,mian'bu'zhong'zhang'jian'qing
面部肿胀消退,mian'bu'zhong'zhang'xiao'tui
面部肿胀消退中,mian'bu'zhong'zhang'xiao'tui'zhong
面肌抽搐,mian'ji'chou'chu
棉捻,mian'nian
棉捻恶臭,mian'nian'e'chou
棉捻干燥,mian'nian'gan'zao
棉捻湿,mian'nian'shi
棉捻药味重,mian'nian'yao'wei'zhong
灭菌袋封口机,mie'jun'dai'feng'kou'ji
明胶海绵,ming'jiao'hai'mian
磨损,mo'sun
木馏油,mu'liu'you
纳米陶瓷修复材料,na'mi'tao'ci'xiu'fu'cai'liao
内窥镜,nei'kui'jing
内源性色素沉着,nei'yuan'xing'se'su'chen'zhuo
尼龙丝结扎术,ni'long'si'jie'za'shu
逆行性根尖周炎,ni'xing'xing'gen'jian'zhou'yan
逆行性牙髓炎,ni'xing'xing'ya'sui'yan
粘结桥,nian'jie'qiao
粘膜薄,nian'mo'bao
粘膜红肿,nian'mo'hong'zhong
粘膜厚,nian'mo'hou
粘膜溃烂,nian'mo'kui'lan
粘膜溃疡,nian'mo'kui'yang
粘膜破溃,nian'mo'po'kui
粘膜情况良好,nian'mo'qing'kuang'liang'hao
粘膜下层,nian'mo'xia'ceng
年轻恒牙,nian'qing'heng'ya
粘液表皮样癌,nian'ye'biao'pi'yang'ai
粘液囊肿,nian'ye'nang'zhong
颞颌关节成形术,nie'he'guan'jie'cheng'xing'shu
颞颌关节内强直,nie'he'guan'jie'nei'qiang'zhi
颞颌关节片,nie'he'guan'jie'pian
颞颌关节前脱位,nie'he'guan'jie'qian'tuo'wei
颞颌关节紊乱病,nie'he'guan'jie'wen'luan'bing
镍钛根扩,nie'tai'gen'kuo
镍钛合金,nie'tai'he'jin
镍钛扩大锉,nie'tai'kuo'da'cuo
镍钛扩大针,nie'tai'kuo'da'zhen
颞下颌关节,nie'xia'he'guan'jie
颞下颌关节疾病,nie'xia'he'guan'jie'ji'bing
牛骨锤,niu'gu'chui
扭转,niu'zhuan
扭转牙,niu'zhuan'ya
排列不齐,pai'lie'bu'qi
排龈线,pai'yin'xian
盘状红斑狼疮,pan'zhuang'hong'ban'lang'chuang
抛光杯,pao'guang'bei
抛光膏,pao'guang'gao
抛光刷,pao'guang'shua
喷砂粉,pen'sha'fen
喷砂机,pen'sha'ji
喷砂洁牙机,pen'sha'jie'ya'ji
喷砂枪真空成形机,pen'sha'qiang'zhen'kong'cheng'xing'ji
破冠车针,po'guan'che'zhen
破冠高速车针,po'guan'gao'su'che'zhen
浅龋,qian'qu
嵌体,qian'ti
嵌体蜡,qian'ti'la
前庭沟加深术,qian'ting'gou'jia'shen'shu
前牙重新排列,qian'ya'chong'xin'pai'lie
前牙覆盖大,qian'ya'fu'gai'da
前牙根管桩,qian'ya'gen'guan'zhuang
前牙稀疏,qian'ya'xi'shu
前牙形态不满意,qian'ya'xing'tai'bu'man'yi
铅中毒,qian'zhong'du
枪状镊,qiang'zhuang'nie
桥制备,qiao'zhi'bei
切开排脓,qie'kai'pai'nong
切髓术,qie'sui'shu
切牙冠,qie'ya'guan
且溢脓,qie'yi'nong
切缘,qie'yuan
锲状缺损,qie'zhuang'que'sun
轻便牙科椅,qing'bian'ya'ke'yi
青春发育期龈炎,qing'chun'fa'yu'qi'yin'yan
情况好转,qing'kuang'hao'zhuan
青少年牙周炎,qing'shao'nian'ya'zhou'yan
轻微酸痛,qing'wei'suan'tong
轻微疼痛,qing'wei'teng'tong
倾斜牙调整,qing'xie'ya'tiao'zheng
氢氧化钙加碘仿根充,qing'yang'hua'gai'jia'dian'fang'gen'chong
氢氧氧化钙水糊剂,qing'yang'yang'hua'gai'shui'hu'ji
氢氧氧化钙水糊剂涂布,qing'yang'yang'hua'gai'shui'hu'ji'tu'bu
琼脂输送器,qiong'zhi'shu'song'qi
琼脂印模材,qiong'zhi'yin'mo'cai
球菌性口角炎,qiu'jun'xing'kou'jiao'yan
球菌性口炎,qiu'jun'xing'kou'yan
球状上颌囊肿,qiu'zhuang'shang'he'nang'zhong
龋病,qu'bing
去除棉捻,qu'chu'mian'nian
去除引流条,qu'chu'yin'liu'tiao
去封,qu'feng
去封物,qu'feng'wu
去根髓,qu'gen'sui
去冠器,qu'guan'qi
去冠髓,qu'guan'sui
曲面断层,qu'mian'duan'ceng
取模重做,qu'mo'chong'zuo
取模送修补,qu'mo'song'xiu'bu
去龋,qu'qu
去龋净,qu'qu'jing
去龋未净,qu'qu'wei'jing
去砷,qu'shen
去髓,qu'sui
去髓术,qu'sui'shu
全瓷牙,quan'ci'ya
全瓷牙制备,quan'ci'ya'zhi'bei
颧骨颧弓骨折,quan'gu'quan'gong'gu'zhe
全景片,quan'jing'pian
全口二次取模法,quan'kou'er'ci'qu'mo'fa
全口合成树脂牙,quan'kou'he'cheng'shu'zhi'ya
全口加衬,quan'kou'jia'chen
全口缺失,quan'kou'que'shi
全口牙缺失要求镶牙,quan'kou'ya'que'shi'yao'qiu'xiang'ya
全口咬合器,quan'kou'yao'he'qi
全口义齿修复,quan'kou'yi'chi'xiu'fu
全口龈上洁治术,quan'kou'yin'shang'jie'zhi'shu
全口龈下刮治术,quan'kou'yin'xia'gua'zhi'shu
全身并发症,quan'shen'bing'fa'zheng
全自动根管长度测量仪,quan'zi'dong'gen'guan'chang'du'ce'liang'yi
缺失,que'shi
缺损,que'sun
热凝牙托粉,re'ning'ya'tuo'fen
热凝牙托水,re'ning'ya'tuo'shui
热气冲头,re'qi'chong'tou
热诊酸痛,re'zhen'suan'tong
妊辰期龈炎,ren'chen'qi'yin'yan
人工牙,ren'gong'ya
人工牙的排列,ren'gong'ya'de'pai'lie
人造冠的设计,ren'zao'guan'de'she'ji
人造冠修复,ren'zao'guan'xiu'fu
仍又少量出血,reng'you'shao'liang'chu'xie
日本烧瓷牙制备,ri'ben'shao'ci'ya'zhi'bei
日月钳,ri'yue'qian
熔锡锅,rong'xi'guo
容易掉,rong'yi'diao
肉瘤,rou'liu
乳头状瘤,ru'tou'zhuang'liu
乳牙,ru'ya
乳牙生理性牙根吸收,ru'ya'sheng'li'xing'ya'gen'xi'shou
软铅,ruan'qian
软组织伤清创术,ruan'zu'zhi'shang'qing'chuang'shu
腮腺,sai'xian
三德钳,san'de'qian
三类洞制备,san'lei'dong'zhi'bei
三用枪,san'yong'qiang
上半口缺失,shang'ban'kou'que'shi
上半口缺失要求镶牙,shang'ban'kou'que'shi'yao'qiu'xiang'ya
上半口牙列缺损,shang'ban'kou'ya'lie'que'sun
上唇系带区,shang'chun'ji'dai'qu
上碘酚,shang'dian'fen
上碘甘油,shang'dian'gan'you
上颌骨骨折,shang'he'gu'gu'zhe
上颌后缘区,shang'he'hou'yuan'qu
上颌隆突区,shang'he'long'tu'qu
伤口愈合良好,shang'kou'yu'he'liang'hao
上前牙唇沟区,shang'qian'ya'chun'gou'qu
上前牙区前庭沟,shang'qian'ya'qu'qian'ting'gou
上前牙区牙槽嵴,shang'qian'ya'qu'ya'cao'ji
上前牙太突,shang'qian'ya'tai'tu
上前牙牙槽嵴区,shang'qian'ya'ya'cao'ji'qu
上下前牙内倾,shang'xia'qian'ya'nei'qing
上下前牙前突,shang'xia'qian'ya'qian'tu
上下前牙太突,shang'xia'qian'ya'tai'tu
上下牙排列不齐,shang'xia'ya'pai'lie'bu'qi
上下牙前凸,shang'xia'ya'qian'tu
上牙槽前突,shang'ya'cao'qian'tu
烧杯状,shao'bei'zhuang
烧瓷套修复法,shao'ci'tao'xiu'fu'fa
烧瓷牙崩瓷,shao'ci'ya'beng'ci
烧瓷牙松脱,shao'ci'ya'song'tuo
少嚼硬物,shao'jiao'ying'wu
舌癌,she'ai
舌侧沟,she'ce'gou
舌侧扣,she'ce'kou
舌侧龋,she'ce'qu
舌侧深龋,she'ce'shen'qu
舌侧托槽,she'ce'tuo'cao
舌侧窝,she'ce'wo
舌疾病,she'ji'bing
设计不合理,she'ji'bu'he'li
舌面龋,she'mian'qu
舌面深龋,she'mian'shen'qu
舌乳头炎,she'ru'tou'yan
舌痛症,she'tong'zheng
舌下腺,she'xia'xian
舌下腺囊肿,she'xia'xian'nang'zhong
舌咽神经痛,she'yan'shen'jing'tong
伸长感,shen'chang'gan
深覆盖,shen'fu'gai
深覆颌,shen'fu'he
神经针,shen'jing'zhen
深龋,shen'qu
深龋再矿化治疗,shen'qu'zai'kuang'hua'zhi'liao
生嚼茶叶,sheng'jiao'cha'ye
生嚼大蒜,sheng'jiao'da'suan
生嚼核桃,sheng'jiao'he'tao
生理盐水冲洗,sheng'li'yan'shui'chong'xi
圣玛特,sheng'ma'te
生物材料学,sheng'wu'cai'liao'xue
生物力学等,sheng'wu'li'xue'deng
生物力学分析,sheng'wu'li'xue'fen'xi
试钢托,shi'gang'tuo
石膏打磨机,shi'gao'da'mo'ji
石膏剪,shi'gao'jian
石膏锯石膏切刀,shi'gao'ju'shi'gao'qie'dao
石膏调刀,shi'gao'tiao'dao
石膏震荡机,shi'gao'zhen'dang'ji
失活剂,shi'huo'ji
食物嵌塞,shi'wu'qian'se
试牙,shi'ya
适应症,shi'ying'zheng
手机夹头,shou'ji'jia'tou
手机清洗机,shou'ji'qing'xi'ji
手机清洗注油机,shou'ji'qing'xi'zhu'you'ji
手机养护机,shou'ji'yang'hu'ji
手术同意书上签字,shou'shu'tong'yi'shu'shang'qian'zi
手足口病,shou'zu'kou'bing
术前准备,shu'qian'zhun'bei
树脂充填针,shu'zhi'chong'tian'zhen
树脂光固化覆盖法,shu'zhi'guang'gu'hua'fu'gai'fa
树脂枪,shu'zhi'qiang
树脂修正器,shu'zhi'xiu'zheng'qi
刷牙出血,shua'ya'chu'xie
刷牙遇冷水酸痛,shua'ya'yu'leng'shui'suan'tong
双层基,shuang'ceng'ji
双头汞合金充填器,shuang'tou'gong'he'jin'chong'tian'qi
双头刻度探针,shuang'tou'ke'du'tan'zhen
双头锐匙,shuang'tou'rui'shi
双头探针,shuang'tou'tan'zhen
双头剔挖器,shuang'tou'ti'wa'qi
双氧水加生理盐水交替冲洗,shuang'yang'shui'jia'sheng'li'yan'shui'jiao'ti'chong'xi
水冲头,shui'chong'tou
水晶瓷牙戴钢底制备,shui'jing'ci'ya'dai'gang'di'zhi'bei
水晶瓷牙制备,shui'jing'ci'ya'zhi'bei
水平阻生,shui'ping'zu'sheng
水银壶,shui'yin'hu
水肿,shui'zhong
顺利,shun'li
四环素变色牙,si'huan'su'bian'se'ya
四环素牙,si'huan'su'ya
四类洞制备,si'lei'dong'zhi'bei
撕裂痛,si'lie'tong
死髓牙漂白术,si'sui'ya'piao'bai'zhu
松动,song'dong
松动度,song'dong'du
松动极度,song'dong'ji'du
送工厂加瓷修理,song'gong'chang'jia'ci'xiu'li
松脱,song'tuo
塑钢牙,su'gang'ya
塑化剂,su'hua'ji
塑化液,su'hua'ye
塑料车针消毒盒,su'liao'che'zhen'xiao'du'he
塑料调刀,su'liao'tiao'dao
塑料牙,su'liao'ya
塑料牙固定桥制备,su'liao'ya'gu'ding'qiao'zhi'bei
塑料牙制备,su'liao'ya'zhi'bei
酸蚀剂,suan'shi'ji
随意皮瓣,sui'yi'pi'ban
羧酸锌基,suo'suan'xin'ji
羧酸锌粘固,suo'suan'xin'zhan'gu
钛板,tai'ban
钛板螺钉,tai'ban'luo'ding
钛瓷牙固定桥制备,tai'ci'ya'gu'ding'qiao'zhi'bei
钛瓷牙制备,tai'ci'ya'zhi'bei
钛合金根管桩,tai'he'jin'gen'guan'zhuang
钛金属接骨,tai'jin'shu'jie'gu
钛金属接骨板,tai'jin'shu'jie'gu'ban
钛金属接骨螺钉,tai'jin'shu'jie'gu'luo'ding
太内倾,tai'nei'qing
台式牙钻机,tai'shi'ya'zuan'ji
太松,tai'song
太凸,tai'tu
太突,tai'tu
太突出,tai'tu'chu
钛托修,tai'tuo'xiu
钛托修复,tai'tuo'xiu'fu
太拥挤,tai'yong'ji
探酸,tan'suan
探痛,tan'tong
弹性打样粉,tan'xing'da'yang'fen
弹性打样膏,tan'xing'da'yang'gao
弹性义齿修复,tan'xing'yi'chi'xiu'fu
弹性义齿修复取模,tan'xing'yi'chi'xiu'fu'qu'mo
探诊,tan'zhen
探诊酸痛,tan'zhen'suan'tong
陶瓷直丝弓技术,tao'ci'zhi'si'gong'ji'shu
特异性颌骨感染,te'yi'xing'he'gu'gan'ran
疼痛,teng'tong
疼痛加剧,teng'tong'jia'ju
疼痛减轻,teng'tong'jian'qing
疼痛难忍,teng'tong'nan'ren
疼痛消失,teng'tong'xiao'shi
调颌,tiao'he
跳痛,tiao'tong
调整咬颌,tiao'zheng'yao'he
贴面修复技术,tie'mian'xiu'fu'ji'shu
贴面牙片,tie'mian'ya'pian
挺出感,ting'chu'gan
痛点修改,tong'dian'xiu'gai
通用包埋料,tong'yong'bao'mai'liao
头颅侧位定位片,tou'lu'ce'wei'ding'wei'pian
脱敏法,tuo'min'fa
脱敏凝胶,tuo'min'ning'jiao
脱敏漱口水,tuo'min'shu'kou'shui
脱敏漱口水漱口,tuo'min'shu'kou'shui'shu'kou
脱敏牙膏,tuo'min'ya'gao
脱敏牙膏刷牙,tuo'min'ya'gao'shua'ya
外源性色素沉着,wai'yuan'xing'se'su'chen'zhuo
弯机,wan'ji
网状局部牙托,wang'zhuang'ju'bu'ya'tuo
网状蜡,wang'zhuang'la
网状牙托,wang'zhuang'ya'tuo
萎缩性舌炎,wei'suo'xing'she'yan
微型钛接骨板,wei'xing'tai'jie'gu'ban
微型钛接骨螺钉,wei'xing'tai'jie'gu'luo'ding
未愈,wei'yu
卧床休息,wo'chuang'xiu'xi
窝洞,wo'dong
窝洞处理剂,wo'dong'chu'li'ji
窝沟封闭剂,wo'gou'feng'bi'ji
窝状,wo'zhuang
无不适,wu'bu'shi
无出血,wu'chu'xie
无缝冠,wu'feng'guan
钨钢车针,wu'gang'che'zhen
钨钢低速车针,wu'gang'di'su'che'zhen
无菌操作技术,wu'jun'cao'zuo'ji'shu
无孔牙托,wu'kong'ya'tuo
五类洞制备,wu'lei'dong'zhi'bei
无疼痛,wu'teng'tong
无痛,wu'tong
无牙颌的解剖标志,wu'ya'he'de'jie'pou'biao'zhi
无牙颌的解剖生理特点,wu'ya'he'de'jie'pou'sheng'li'te'dian
无油空气压缩机,wu'you'kong'qi'ya'suo'ji
无自觉症状,wu'zi'jue'zheng'zhuang
西德加瓷边烧瓷牙制备,xi'de'jia'ci'bian'shao'ci'ya'zhi'bei
西德烧瓷牙制备,xi'de'shao'ci'ya'zhi'bei
吸力强,xi'li'qiang
吸力弱,xi'li'ruo
矽离子,xi'li'zi
息肉,xi'rou
洗髓针,xi'sui'zhen
系统疾病的口腔表现,xi'tong'ji'bing'de'kou'qiang'biao'xian
吸唾管,xi'tuo'guan
下半口缺失,xia'ban'kou'que'shi
下半口缺失要求镶牙,xia'ban'kou'que'shi'yao'qiu'xiang'ya
下半口牙列缺损,xia'ban'kou'ya'lie'que'sun
下唇系带区,xia'chun'ji'dai'qu
下颌骨骨折,xia'he'gu'gu'zhe
下颌隆突区,xia'he'long'tu'qu
下颌磨牙后垫区,xia'he'mo'ya'hou'dian'qu
下颌下,xia'he'xia
下前牙唇沟区,xia'qian'ya'chun'gou'qu
下前牙牙槽嵴区,xia'qian'ya'ya'cao'ji'qu
下牙槽前突,xia'ya'cao'qian'tu
先锋钻,xian'feng'zuan
腺淋巴瘤,xian'lin'ba'liu
涎石病,xian'shi'bing
先天性单侧裂修补术,xian'tian'xing'dan'ce'lie'xiu'bu'shu
先天性缺牙,xian'tian'xing'que'ya
涎腺,xian'xian
涎腺多形性腺瘤,xian'xian'duo'xing'xing'xian'liu
腺样囊性癌,xian'yang'nang'xing'ai
橡皮圈性急性牙周炎,xiang'pi'quan'xing'ji'xing'ya'zhou'yan
橡皮条,xiang'pi'tiao
镶牙中,xiang'ya'zhong
相应面部肿胀,xiang'ying'mian'bu'zhong'zhang
小凹陷,xiao'ao'xian
消毒盒,xiao'du'he
小时后用对侧咀嚼,xiao'shi'hou'yong'dui'ce'ju'jue
小时后用双测咀嚼,xiao'shi'hou'yong'shuang'ce'ju'jue
斜位阻生,xie'wei'zu'sheng
修复前的基本准备,xiu'fu'qian'de'ji'ben'zhun'bei
修复体边缘过长,xiu'fu'ti'bian'yuan'guo'chang
修复体边缘伸长,xiu'fu'ti'bian'yuan'shen'chang
修复体需要,xiu'fu'ti'xu'yao
修复体压力太大,xiu'fu'ti'ya'li'tai'da
修改,xiu'gai
修整器,xiu'zheng'qi
血管瘤,xue'guan'liu
血管神经水肿,xue'guan'shen'jing'shui'zhong
牙本质龋,ya'ben'zhi'qu
牙槽骨,ya'cao'gu
牙槽骨呈水平向吸收,ya'cao'gu'cheng'shui'ping'xiang'xi'shou
牙槽骨呈纵向吸收,ya'cao'gu'cheng'zong'xiang'xi'shou
牙槽骨低平,ya'cao'gu'di'ping
牙槽骨丰满,ya'cao'gu'feng'man
牙槽骨修整术,ya'cao'gu'xiu'zheng'shu
牙槽嵴,ya'cao'ji
牙槽嵴增高术,ya'cao'ji'zeng'gao'shu
牙槽脓肿,ya'cao'nong'zhong
牙齿变色,ya'chi'bian'se
牙齿的发育,ya'chi'de'fa'yu
牙齿感觉过敏症,ya'chi'gan'jue'guo'min'zheng
牙齿松动,ya'chi'song'dong
牙齿松动度,ya'chi'song'dong'du
牙齿脱位,ya'chi'tuo'wei
牙齿折断,ya'chi'zhe'duan
牙齿撞伤,ya'chi'zhuang'shang
牙锉唇形钳,ya'cuo'chun'xing'qian
牙锉支架,ya'cuo'zhi'jia
牙覆盖深,ya'fu'gai'shen
牙根尖挺,ya'gen'jian'ting
牙根裂,ya'gen'lie
牙弓夹板,ya'gong'jia'ban
牙骨锤,ya'gu'chui
牙骨锉,ya'gu'cuo
牙骨膜分离器,ya'gu'mo'fen'li'qi
牙骨凿,ya'gu'zao
牙骨质龋,ya'gu'zhi'qu
牙刮匙,ya'gua'chi
牙颌面畸形,ya'he'mian'ji'xing
牙及牙槽骨损伤,ya'ji'ya'cao'gu'sun'shang
牙及牙槽外科,ya'ji'ya'cao'wai'ke
牙胶棒,ya'jiao'bang
牙胶尖测量器,ya'jiao'jian'ce'liang'qi
牙胶尖充填器,ya'jiao'jian'chong'tian'qi
牙胶尖充填针,ya'jiao'jian'chong'tian'zhen
牙胶尖盒,ya'jiao'jian'he
牙胶条封,ya'jiao'tiao'feng
牙胶条封口,ya'jiao'tiao'feng'kou
牙结石,ya'jie'shi
牙结石二度,ya'jie'shi'er'du
牙结石三度,ya'jie'shi'san'du
牙结石一度,ya'jie'shi'yi'du
牙科镊,ya'ke'nie
牙科治疗机,ya'ke'zhi'liao'ji
牙科综合治疗机,ya'ke'zong'he'zhi'liao'ji
牙列拥挤性龈炎,ya'lie'yong'ji'xing'yin'yan
牙内吸收,ya'nei'xi'shou
牙胚,ya'pei
牙片,ya'pian
牙伸长感,ya'shen'chang'gan
牙髓变性,ya'sui'bian'xing
牙髓病,ya'sui'bing
牙髓充血,ya'sui'chong'xue
牙髓坏死,ya'sui'huai'si
牙髓牙周联合病变,ya'sui'ya'zhou'lian'he'bing'bian
牙髓炎,ya'sui'yan
牙体,ya'ti
牙体大面积缺损,ya'ti'da'mian'ji'que'sun
牙体裂开,ya'ti'lie'kai
牙体缺损病因,ya'ti'que'sun'bing'yin
牙体缺损的修复,ya'ti'que'sun'de'xiu'fu
牙体牙周支持组织的应力分析,ya'ti'ya'zhou'zhi'chi'zu'zhi'de'ying'li'fen'xi
牙体预备车针,ya'ti'yu'bei'che'zhen
牙挺,ya'ting
牙梃出感,ya'ting'chu'gan
压痛点红肿,ya'tong'dian'hong'zhong
压痛点糜烂,ya'tong'dian'mi'lan
压痛点修改,ya'tong'dian'xiu'gai
牙托保持器盒,ya'tuo'bao'chi'qi'he
牙托粉,ya'tuo'fen
牙托梗,ya'tuo'geng
牙托梗钳,ya'tuo'geng'qian
牙托水,ya'tuo'shui
牙外伤,ya'wai'shang
牙椅,ya'yi
牙椅附加台,ya'yi'fu'jia'tai
牙龈,ya'yin
牙龈病,ya'yin'bing
牙龈充血,ya'yin'chong'xue
牙龈刀,ya'yin'dao
牙龈分离膏,ya'yin'fen'li'gao
牙龈分离器,ya'yin'fen'li'qi
牙龈剪,ya'yin'jian
牙龈瘤,ya'yin'liu
牙龈情况,ya'yin'qing'kuang
牙龈仍有肿痛,ya'yin'reng'you'zhong'tong
压龈线,ya'yin'xian
牙龈线器,ya'yin'xian'qi
牙龈肿大,ya'yin'zhong'da
牙龈肿痛,ya'yin'zhong'tong
牙釉凿,ya'you'zao
牙源性囊肿,ya'yuan'xing'nang'zhong
牙源性腺样瘤,ya'yuan'xing'xian'yang'liu
压榨器,ya'zha'qi
牙折,ya'zhe
牙周变性,ya'zhou'bian'xing
牙周创伤,ya'zhou'chuang'shang
牙周锉,ya'zhou'cuo
牙周袋,ya'zhou'dai
牙周袋探针,ya'zhou'dai'tan'zhen
牙周夹板固定,ya'zhou'jia'ban'gu'ding
牙周膜,ya'zhou'mo
牙周情况良好,ya'zhou'qing'kuang'liang'hao
牙周情况欠佳,ya'zhou'qing'kuang'qian'jia
牙周塞治剂,ya'zhou'sai'zhi'ji
牙周萎缩,ya'zhou'wei'suo
牙周炎,ya'zhou'yan
牙周炎晚期,ya'zhou'yan'wan'qi
牙周组织病,ya'zhou'zu'zhi'bing
颜部疖痈的临床特点及治疗原则,yan'bu'jie'yong'de'lin'chuang'te'dian'ji'zhi'liao'yuan'ze
严格树立无菌观念,yan'ge'shu'li'wu'jun'guan'nian
研光器,yan'guang'qi
颜面疼痛,yan'mian'teng'tong
研磨器,yan'mo'qi
颜色黑,yan'se'hei
氧化锌封,yang'hua'xin'feng
氧化锌试补,yang'hua'xin'shi'bu
氧化锌粘,yang'hua'xin'zhan
氧化锌粘固,yang'hua'xin'zhan'gu
氧化性封口,yang'hua'xing'feng'kou
咬骨钳,yao'gu'qian
咬颌不平衡,yao'he'bu'ping'heng
咬颌垫半小时吐掉,yao'he'dian'ban'xiao'shi'tu'diao
咬颌高,yao'he'gao
咬合关系,yao'he'guan'xi
咬颌空,yao'he'kong
咬颌片,yao'he'pian
咬颌平衡,yao'he'ping'heng
咬合器,yao'he'qi
咬颌调整,yao'he'tiao'zheng
咬颌痛,yao'he'tong
咬肌间隙感染,yao'ji'jian'xi'gan'ran
要求拔除,yao'qiu'ba'chu
要求拔牙,yao'qiu'ba'ya
要求美容牙齿,yao'qiu'mei'rong'ya'chi
药味重,yao'wei'zhong
药物过敏性口炎,yao'wu'guo'min'xing'kou'yan
药物性牙龈增生,yao'wu'xing'ya'yin'zeng'sheng
夜间痛,ye'jian'tong
一般,yi'ban
义齿支架的弯制技术,yi'chi'zhi'jia'de'wan'zhi'ji'shu
遗传性乳光牙,yi'chuan'xing'ru'guang'ya
遗传性牙龈纤维瘤,yi'chuan'xing'ya'yin'xian'wei'liu
一次性方盘,yi'ci'xing'fang'pan
一次性干尸,yi'ci'xing'gan'shi
一次性根充,yi'ci'xing'gen'chong
一次性口镜,yi'ci'xing'kou'jing
一次性口腔检查盘,yi'ci'xing'kou'qiang'jian'cha'pan
一次性物品,yi'ci'xing'wu'pin
易混合型玻璃离子粘固剂,yi'hun'he'xing'bo'li'li'zi'zhan'gu'ji
一类洞制备,yi'lei'dong'zhi'bei
溢脓,yi'nong
异位牙,yi'wei'ya
溢血,yi'xue
一周复诊,yi'zhou'fu'zhen
龈成形术,yin'cheng'xing'shu
银粉玻璃离子,yin'fen'bo'li'li'zi
银汞充填,yin'gong'chong'tian
银汞雕刻刀,yin'gong'diao'ke'dao
银汞胶囊,yin'gong'jiao'nang
银汞调缸,yin'gong'tiao'gang
银汞调和器,yin'gong'tiao'he'qi
银合金焊,yin'he'jin'han
隐裂,yin'lie
引流,yin'liu
引流仍有脓液,yin'liu'reng'you'nong'ye
印模材,yin'mo'cai
龈切术,yin'qie'shu
隐形义齿机,yin'xing'yi'chi'ji
隐形义齿取模,yin'xing'yi'chi'qu'mo
隐形义齿型盒,yin'xing'yi'chi'xing'he
隐隐痛,yin'yin'tong
阴影,yin'ying
硬铅,ying'qian
硬石膏,ying'shi'gao
营养不良性口角炎,ying'yang'bu'liang'xing'kou'jiao'yan
婴幼儿创伤性溃疡,ying'you'er'chuang'shang'xing'kui'yang
婴幼儿颌骨骨髓炎,ying'you'er'he'gu'gu'sui'yan
硬质树脂牙,ying'zhi'shu'zhi'ya
有臭味,you'chou'wei
有创伤史,you'chuang'shang'shi
有服四环素史,you'fu'si'huan'su'shi
有高氟地区生活史,you'gao'fu'di'qu'sheng'huo'shi
有骨刺,you'gu'ci
有黑点,you'hei'dian
有横向刷牙史,you'heng'xiang'shua'ya'shi
有孔牙托,you'kong'ya'tuo
游离皮片,you'li'pi'pian
由软到硬渐渐咀嚼,you'ruan'dao'ying'jian'jian'ju'jue
右上颌颊沟区,you'shang'he'jia'gou'qu
右上颌结节区,you'shang'he'jie'jie'qu
右上后牙区牙槽嵴,you'shang'hou'ya'qu'ya'cao'ji
右上颊系带区,you'shang'jia'xi'dai'qu
右上前牙区牙槽嵴,you'shang'qian'ya'qu'ya'cao'ji
有食物嵌塞,you'shi'wu'qian'se
有疼痛,you'teng'tong
有外伤史,you'wai'shang'shi
右下颌磨牙后垫区,you'xia'he'mo'ya'hou'dian'qu
右下颌牙槽嵴区,you'xia'he'ya'cao'ji'qu
右下颊沟区,you'xia'jia'gou'qu
右下颊系带区,you'xia'jia'xi'dai'qu
右下口底区,you'xia'kou'di'qu
右下前牙区牙槽嵴,you'xia'qian'ya'qu'ya'cao'ji
有牙疮反复溢脓,you'ya'chuang'fan'fu'yi'nong
有牙疮溢脓,you'ya'chuang'yi'nong
有研亿金,you'yan'yi'jin
釉质表面,you'zhi'biao'mian
釉质发育不全,you'zhi'fa'yu'bu'quan
釉质龋,you'zhi'qu
有中央尖,you'zhong'yang'jian
愈合螺丝,yu'he'luo'si
遇冷热刺激痛,yu'leng're'ci'ji'tong
遇冷热酸,yu'leng're'suan
遇冷痛缓解,yu'leng'tong'huan'jie
遇热痛加剧,yu're'tong'jia'ju
遇热痛遇冷痛,yu're'tong'yu'leng'tong
遇酸甜食酸痛,yu'suan'tian'shi'suan'tong
余牙无不适,yu'ya'wu'bu'shi
余牙有倾斜,yu'ya'you'qing'xie
余牙有松动,yu'ya'you'song'dong
原发性三叉神经痛,yuan'fa'xing'san'cha'shen'jing'tong
远颌面龋,yuan'he'mian'qu
远颌面深龋,yuan'he'mian'shen'qu
远切角深龋,yuan'qie'jiao'shen'qu
原位癌,yuan'wei'ai
远中邻颌面深龋,yuan'zhong'lin'he'mian'shen'qu
远中邻面龋,yuan'zhong'lin'mian'qu
远中邻面深龋,yuan'zhong'lin'mian'shen'qu
月后待镶牙,yue'hou'dai'xiang'ya
月后镶牙,yue'hou'xiang'ya
云雾状,yun'wu'zhuang
暂封补牙条,zan'feng'bu'ya'tiao
暂时冠,zan'shi'guan
早萌,zao'meng
藻酸盐搅拌机,zao'suan'yan'jiao'ban'ji
藻酸盐印模材,zao'suan'yan'yin'mo'cai
造釉细胞瘤,zao'you'xi'bao'liu
粘固粉玻璃调板,zhan'gu'fen'bo'li'tiao'ban
粘固粉充填器,zhan'gu'fen'chong'tian'qi
粘固粉调刀,zhan'gu'fen'tiao'dao
