阿玛尼,a'ma'ni
嘿魂,hei'hun
黑妈妈,hei'ma'ma
黑哦,hei'o
黑纹,hei'wen
黑文湿,hei'wen'shi
黑喔,hei'wo
黑野,hei'ye
嘿哟,hei'yo
黑远,hei'yuan
很颠,hen'dian
很好讲,hen'hao'jiang
很好说,hen'hao'shuo
很要紧,hen'yao'jin
恒创,heng'chuang
恒大新城,heng'da'xin'cheng
横县,heng'xian
衡阳路,heng'yang'lu
衡阳西路,heng'yang'xi'lu
横州街,heng'zhou'jie
横州镇,heng'zhou'zhen
红车站,hong'che'zhan
弘德,hong'de
红豆网,hong'dou'wang
弘帆,hong'fan
宏桂,hong'gui
弘捷,hong'jie
宏牛,hong'niu
红啤,hong'pi
鸿泉,hong'quan
红薯窑,hong'shu'yao
红薯叶,hong'shu'ye
红水河,hong'shui'he
侯住,hou'zhu
蝴蝶岛,hu'die'dao
葫芦鼎,hu'lu'ding
华东路,hua'dong'lu
花花大世界,hua'hua'da'shi'jie
花甲螺,hua'jia'luo
华南城,hua'nan'cheng
花鸟市场,hua'niao'shi'chang
华强路,hua'qiang'lu
华侨学校,hua'qiao'xue'xiao
花市场,hua'shi'chang
华西路,hua'xi'lu
华星城,hua'xing'cheng
环江,huan'jiang
换签,huan'qian
环球时代,huan'qiu'shi'dai
环卫站,huan'wei'zhan
黄冰,huang'bing
晃场,huang'chang
黄蜂鱼,huang'feng'yu
黄副,huang'fu
黄记,huang'ji
黄嘉,huang'jia
黄坚,huang'jian
黄婧,huang'jing
黄丽婷,huang'li'ting
黄露,huang'lu
黄皮果,huang'pi'guo
黄皮酱,huang'pi'jiang
皇氏乳业,huang'shi'ru'ye
黄屋坡,huang'wu'po
黄屋屯,huang'wu'tun
黄小玲,huang'xiao'ling
黄姚,huang'yao
黄姚古镇,huang'yao'gu'zhen
会挨,hui'ai
回百色,hui'bai'se
回北海,hui'bei'hai
回宾阳,hui'bin'yang
回不得,hui'bu'de
汇春,hui'chun
汇春路,hui'chun'lu
回大新,hui'da'xin
回到咯,hui'dao'ge
回到家没有,hui'dao'jia'mei'you
回到没有,hui'dao'mei'you
回到南宁,hui'dao'nan'ning
汇东,hui'dong
汇东国际,hui'dong'guo'ji
汇东郦城,hui'dong'li'cheng
汇东星城,hui'dong'xing'cheng
回广西,hui'guang'xi
回贵港,hui'gui'gang
回桂林,hui'gui'lin
回家先,hui'jia'xian
回家小,hui'jia'xiao
汇康源,hui'kang'yuan
回来宾,hui'lai'bin
回来到,hui'lai'dao
回来到了,hui'lai'dao'le
回来咩,hui'lai'mie
回来南宁,hui'lai'nan'ning
回来为,hui'lai'wei
回来先,hui'lai'xian
回柳州,hui'liu'zhou
会没会,hui'mei'hui
回南宁,hui'nan'ning
回南宁了,hui'nan'ning'le
回南天,hui'nan'tian
回钦州,hui'qin'zhou
回去到,hui'qu'dao
回去到了,hui'qu'dao'le
回去那么快,hui'qu'na'me'kuai
回去先,hui'qu'xian
回去小,hui'qu'xiao
回外婆家,hui'wai'po'jia
回武鸣,hui'wu'ming
回梧州,hui'wu'zhou
回玉林,hui'yu'lin
惠之林,hui'zhi'lin
回住,hui'zhu
活检,huo'jian
火炬大厦,huo'ju'da'sha
火炬路,huo'ju'lu
鸡蛋粥,ji'dan'zhou
几多点,ji'duo'dian
几多了,ji'duo'le
几多闷,ji'duo'men
几多天,ji'duo'tian
几房几厅,ji'fang'ji'ting
挤公车,ji'gong'che
几久,ji'jiu
鸡肉粉,ji'rou'fen
几天先,ji'tian'xian
几条友,ji'tiao'you
绩效办,ji'xiao'ban
集资房,ji'zi'fang
佳百旺,jia'bai'wang
嘉宾路,jia'bin'lu
加不得,jia'bu'de
加得,jia'de
加方,jia'fang
家公,jia'gong
家公家婆,jia'gong'jia'po
嘉和城,jia'he'cheng
加回,jia'hui
嘉汇馨源,jia'hui'xin'yuan
家嘉,jia'jia
加流量,jia'liu'liang
嘉路,jia'lu
加州八珍,jia'zhou'ba'zhen
夹壮,jia'zhuang
捡得,jian'de
贱黑,jian'hei
见没有,jian'mei'you
见你说,jian'ni'shuo
剑桥郡,jian'qiao'jun
建院,jian'yuan
建政,jian'zheng
建政路,jian'zheng'lu
兼职地带,jian'zhi'di'dai
江北大道,jiang'bei'da'dao
江滨医院,jiang'bin'yi'yuan
江南店,jiang'nan'dian
江南客运站,jiang'nan'ke'yun'zhan
江南区,jiang'nan'qu
江南站,jiang'nan'zhan
江平,jiang'ping
讲喂,jiang'wei
江西镇,jiang'xi'zhen
酱油鸡,jiang'you'ji
讲这种,jiang'zhe'zhong
江州区,jiang'zhou'qu
脚断,jiao'duan
交易场,jiao'yi'chang
交易市场,jiao'yi'shi'chang
教育路,jiao'yu'lu
叫喳喳,jiao'zha'zha
接不得,jie'bu'de
借得,jie'de
捷佳,jie'jia
捷佳咖啡,jie'jia'ka'fei
姐妹团,jie'mei'tuan
进不得,jin'bu'de
金茶花,jin'cha'hua
金城江,jin'cheng'jiang
锦春路,jin'chun'lu
金大陆,jin'da'lu
进得,jin'de
金禾湾,jin'he'wan
金湖,jin'hu
金湖帝景,jin'hu'di'jing
金湖店,jin'hu'dian
金湖广场,jin'hu'guang'chang
金湖路,jin'hu'lu
金花茶,jin'hua'cha
近家,jin'jia
进结,jin'jie
金凯路,jin'kai'lu
金康苑,jin'kang'yuan
金陵镇,jin'ling'zhen
金龙寨,jin'long'zhai
金牛桥,jin'niu'qiao
金浦路,jin'pu'lu
金桥站,jin'qiao'zhan
金融大厦,jin'rong'da'sha
金沙湖,jin'sha'hu
金滩,jin'tan
津头,jin'tou
今晚不得,jin'wan'bu'de
金湾花城,jin'wan'hua'cheng
今晚你去,jin'wan'ni'qu
今晚去哪里,jin'wan'qu'na'li
今晚先,jin'wan'xian
今晚夜,jin'wan'ye
今晚有什么,jin'wan'you'shen'me
今晚再聊,jin'wan'zai'liao
今晚再说,jin'wan'zai'shuo
金旺角,jin'wang'jiao
进新房,jin'xin'fang
锦绣江南,jin'xiu'jiang'nan
锦绣楼,jin'xiu'lou
金源城,jin'yuan'cheng
金之岛,jin'zhi'dao
金至尊,jin'zhi'zun
金州路,jin'zhou'lu
经干院,jing'gan'yuan
警务站,jing'wu'zhan
靖西,jing'xi
靖西县,jing'xi'xian
警专,jing'zhuan
就挨,jiu'ai
九八佬,jiu'ba'lao
久不,jiu'bu
就不懂了,jiu'bu'dong'le
酒不够,jiu'bu'gou
久不见,jiu'bu'jian
久不久,jiu'bu'jiu
旧菜,jiu'cai
就得了,jiu'de'le
就得了嘛,jiu'de'le'ma
就得了吗,jiu'de'liao'ma
就得咯,jiu'dei'ge
就懂,jiu'dong
就懂啦,jiu'dong'la
九度缘,jiu'du'yuan
久多,jiu'duo
久咯,jiu'ge
就更子,jiu'geng'zi
旧脚,jiu'jiao
旧街,jiu'jie
纠结住,jiu'jie'zhu
久久的,jiu'jiu'de
九曲湾,jiu'qu'wan
就是不得,jiu'shi'bu'de
就是哦,jiu'shi'o
九项,jiu'xiang
旧院,jiu'yuan
就在南宁,jiu'zai'nan'ning
久着呢,jiu'zhe'ne
就知道错,jiu'zhi'dao'cuo
聚宝苑,ju'bao'yuan
聚福隆,ju'fu'long
巨幕,ju'mu
居周刊,ju'zhou'kan
橘子郡,ju'zi'jun
卷粉,juan'fen
卷筒粉,juan'tong'fen
卷筒纸,juan'tong'zhi
绝毛,jue'mao
君武楼,jun'wu'lou
卡佛连,ka'fo'lian
开车先,kai'che'xian
开电车,kai'dian'che
开电单车,kai'dian'dan'che
开房住,kai'fang'zhu
开会先,kai'hui'xian
开泰路,kai'tai'lu
开摊,kai'tan
开玩乐,kai'wan'le
开喂,kai'wei
开心得,kai'xin'de
开心咩,kai'xin'mie
凯逸轩,kai'yi'xuan
开榨,kai'zha
开住,kai'zhu
开住车,kai'zhu'che
看不下书,kan'bu'xia'shu
看的下,kan'de'xia
砍甘蔗,kan'gan'zhe
看过先,kan'guo'xian
看看为,kan'kan'wei
看看先,kan'kan'xian
看看先把,kan'kan'xian'ba
看没出,kan'mei'chu
看没懂,kan'mei'dong
看没见,kan'mei'jian
看人来,kan'ren'lai
看书先,kan'shu'xian
看为,kan'wei
看先把,kan'xian'ba
看住办,kan'zhu'ban
扛东西,kang'dong'xi
康全,kang'quan
康群,kang'qun
扛水,kang'shui
考不得,kao'bu'de
可爱得,ke'ai'de
可爱咩,ke'ai'mie
科德,ke'de
科德路,ke'de'lu
可怜得,ke'lian'de
可怜多,ke'lian'duo
可能不得,ke'neng'bu'de
可以啵,ke'yi'bo
可以喔,ke'yi'wo
科园,ke'yuan
科园大道,ke'yuan'da'dao
科园路,ke'yuan'lu
肯麦基,ken'mai'ji
恐怖哦,kong'bu'o
空谷,kong'gu
口水流,kou'shui'liu
跨世纪,kua'shi'ji
快巴,kuai'ba
快班,kuai'ban
快餐面,kuai'can'mian
快点为,kuai'dian'wei
快而美,kuai'er'mei
快高快大,kuai'gao'kuai'da
快坏,kuai'huai
快环,kuai'huan
快长快大,kuai'zhang'kuai'da
困困的,kun'kun'de
昆仑大道,kun'lun'da'dao
昆仑关,kun'lun'guan
困没有,kun'mei'you
困哦,kun'o
辣椒日,la'jiao'ri
来百色,lai'bai'se
来北海,lai'bei'hai
来宾,lai'bin
来宾的,lai'bin'de
来宾了,lai'bin'le
来宾市,lai'bin'shi
来到的,lai'dao'de
来广西,lai'guang'xi
来桂林,lai'gui'lin
来柳州,lai'liu'zhou
来某,lai'mou
来南宁,lai'nan'ning
来南宁了,lai'nan'ning'le
来喂,lai'wei
来喂来喂,lai'wei'lai'wei
来武鸣,lai'wu'ming
来西大,lai'xi'da
来野,lai'ye
莱茵湖畔,lai'yin'hu'pan
来玉林,lai'yu'lin
烂公,lan'gong
烂喝,lan'he
烂黑,lan'hei
蓝岚,lan'lan
懒理你,lan'li'ni
蓝山上城,lan'shan'shang'cheng
琅东,lang'dong
琅东车站,lang'dong'che'zhan
琅东客运站,lang'dong'ke'yun'zhan
琅东了,lang'dong'le
琅东站,lang'dong'zhan
琅西,lang'xi
老闭,lao'bi
老成都,lao'cheng'dou
老戳,lao'chuo
捞得,lao'de
劳动课,lao'dong'ke
老嘿,lao'hei
老口,lao'kou
老屁股,lao'pi'gu
老鼠街,lao'shu'jie
老台门,lao'tai'men
老韦,lao'wei
老梧州,lao'wu'zhou
老西安,lao'xi'an
老野,lao'ye
老友粉,lao'you'fen
老友面,lao'you'mian
了北,le'bei
了啵,le'bo
乐巢,le'chao
乐多多,le'duo'duo
乐满地,le'man'di
乐思购,le'si'gou
了喂,le'wei
乐业,le'ye
乐业县,le'ye'xian
乐意客,le'yi'ke
累多,lei'duo
雷公根,lei'gong'gen
累累的,lei'lei'de
雷平,lei'ping
冷多,leng'duo
里当,li'dang
李副,li'fu
李果,li'guo
厉害多,li'hai'duo
理黑,li'hei
里建,li'jian
漓江,li'jiang
漓江人,li'jiang'ren
漓江学院,li'jiang'xue'yuan
离开南宁,li'kai'nan'ning
利客隆,li'ke'long
栗木,li'mu
离南宁,li'nan'ning
李宁体育园,li'ning'ti'yu'yuan
荔浦,li'pu
荔浦县,li'pu'xian
漓泉,li'quan
黎塘,li'tang
黎塘镇,li'tang'zhen
鲤湾路,li'wan'lu
漓院,li'yuan
荔园山庄,li'yuan'shan'zhuang
栗子蛋糕,li'zi'dan'gao
连不得,lian'bu'de
联盟新城,lian'meng'xin'cheng
莲泉,lian'quan
凉拌粉,liang'ban'fen
凉茶店,liang'cha'dian
良凤江,liang'feng'jiang
两会,liang'hui
两会一节,liang'hui'yi'jie
两江四湖,liang'jiang'si'hu
梁老板,liang'lao'ban
良庆区,liang'qing'qu
良庆镇,liang'qing'zhen
亮骚,liang'sao
撩到,liao'dao
聊拐,liao'guai
廖平,liao'ping
聊住,liao'zhu
临桂,lin'gui
临桂县,lin'gui'xian
林科院,lin'ke'yuan
灵城,ling'cheng
灵川,ling'chuan
领到手,ling'dao'shou
领得,ling'de
领饭,ling'fan
岭脚,ling'jiao
领钱,ling'qian
灵山,ling'shan
灵山县,ling'shan'xian
灵水,ling'shui
另外说,ling'wai'shuo
凌云县,ling'yun'xian
六堡茶,liu'bao'cha
柳城,liu'cheng
柳城县,liu'cheng'xian
柳钢,liu'gang
柳高,liu'gao
柳江,liu'jiang
柳江河,liu'jiang'he
榴莲一品,liu'lian'yi'pin
柳螺香,liu'luo'xiang
柳明路,liu'ming'lu
柳南区,liu'nan'qu
柳沙,liu'sha
柳沙半岛,liu'sha'ban'dao
流沙包,liu'sha'bao
柳沙路,liu'sha'lu
柳盛,liu'sheng
柳石路,liu'shi'lu
柳微,liu'wei
六肖,liu'xiao
六医院,liu'yi'yuan
六职,liu'zhi
六职高,liu'zhi'gao
六职校,liu'zhi'xiao
柳州,liu'zhou
柳州啊,liu'zhou'a
柳州的,liu'zhou'de
柳州话,liu'zhou'hua
柳州啦,liu'zhou'la
柳州了,liu'zhou'le
柳州妹,liu'zhou'mei
柳州人,liu'zhou'ren
柳州市,liu'zhou'shi
柳州银行,liu'zhou'yin'hang
柳州仔,liu'zhou'zai
隆安,long'an
隆安县,long'an'xian
龙茶,long'cha
龙高,long'gao
龙光,long'guang
龙虎山,long'hu'shan
龙会,long'hui
隆林,long'lin
隆林县,long'lin'xian
龙胜,long'sheng
龙滩,long'tan
龙腾路,long'teng'lu
龙岩山,long'yan'shan
龙胤,long'yin
隆源,long'yuan
龙州,long'zhou
龙州县,long'zhou'xian
漏车,lou'che
漏野,lou'ye
漏野货,lou'ye'huo
鲁班,lu'ban
鲁班路,lu'ban'lu
鲁班路口,lu'ban'lu'kou
陆冰,lu'bing
卤菜粉,lu'cai'fen
陆川,lu'chuan
陆川县,lu'chuan'xian
芦笛岩,lu'di'yan
路都不见,lu'dou'bu'jian
陆海,lu'hai
陆老板,lu'lao'ban
陆露,lu'lu
陆宁,lu'ning
鹿山,lu'shan
路尾,lu'wei
陆斡,lu'wo
陆屋,lu'wu
芦圩,lu'xu
路易十三,lu'yi'shi'san
陆莹,lu'ying
鹿寨,lu'zhai
路中,lu'zhong
卵包,luan'bao
峦城,luan'cheng
乱戳来,luan'chuo'lai
卵叼,luan'diao
卵跌,luan'die
卵都跌,luan'dou'die
乱黑,luan'hei
乱黑来,luan'hei'lai
卵毛,luan'mao
乱完了,luan'wan'le
罗白,luo'bai
罗波,luo'bo
萝卜酸,luo'bo'suan
罗城,luo'cheng
罗非,luo'fei
罗非鱼,luo'fei'yu
罗高,luo'gao
螺狮粉,luo'shi'fen
螺蛳粉,luo'si'fen
啰嗦多,luo'suo'duo
绿岛阳光,lv'dao'yang'guang
绿豆海带,lv'dou'hai'dai
滤粉,lv'fen
旅专,lv'zhuan
妈拜,ma'bai
马飚,ma'biao
麻村,ma'cun
马叼,ma'diao
麻烦多,ma'fan'duo
麻疯,ma'feng
嘛咯,ma'ge
蚂拐,ma'guai
妈黑,ma'hei
妈黑的,ma'hei'de
吗喽,ma'lou
马山,ma'shan
马山县,ma'shan'xian
马使,ma'shi
马知,ma'zhi
买不得,mai'bu'de
买得,mai'de
买得了,mai'de'le
买电车,mai'dian'che
买粉,mai'fen
买果,mai'guo
麦劲堡,mai'jin'bao
卖面包,mai'mian'bao
买喂,mai'wei
蛮可以,man'ke'yi
忙多,mang'duo
芒果节,mang'guo'jie
芒街,mang'jie
忙先,mang'xian
忙先了,mang'xian'le
忙住,mang'zhu
猫儿山,mao'er'shan
冇会,mao'hui
茅岭,mao'ling
猫咪里,mao'mi'li
毛票,mao'piao
茅桥,mao'qiao
冇系,mao'xi
冇要,mao'yao
么懂,me'dong
么讲,me'jiang
么捏,me'nie
么色,me'se
么识,me'shi
么系,me'xi
没挨,mei'ai
没得空,mei'de'kong
没得力,mei'de'li
没颠,mei'dian
没懂得,mei'dong'de
没方便,mei'fang'bian
没公车,mei'gong'che
没会,mei'hui
没会吧,mei'hui'ba
没回到,mei'hui'dao
没回到家,mei'hui'dao'jia
没会的,mei'hui'de
没记得了,mei'ji'de'le
美加美,mei'jia'mei
没见回,mei'jian'hui
没见说,mei'jian'shuo
没见有,mei'jian'you
没讲了,mei'jiang'le
没久,mei'jiu
没克,mei'ke
没可以,mei'ke'yi
美丽办,mei'li'ban
美丽广西,mei'li'guang'xi
美丽南宁,mei'li'nan'ning
美林街,mei'lin'jie
美美衣,mei'mei'yi
美美照,mei'mei'zhao
没嫩子,mei'nen'zi
没捏,mei'nie
美泉,mei'quan
没认得,mei'ren'de
没是,mei'shi
没是吧,mei'shi'ba
美味基,mei'wei'ji
没箱,mei'xiang
没要紧,mei'yao'jin
没有得,mei'you'dei
没有咩,mei'you'mie
没有捏,mei'you'nie
没有先,mei'you'xian
没愿,mei'yuan
美之浪,mei'zhi'lang
门得,men'de
闷多,men'duo
蒙村,meng'cun
蒙江,meng'jiang
锰矿,meng'kuang
蒙老师,meng'lao'shi
蒙山县,meng'shan'xian
梦泽园,meng'ze'yuan
梦之岛,meng'zhi'dao
米场,mi'chang
密低,mi'di
米马河,mi'ma'he
咪咪摸摸,mi'mi'mo'mo
喵园,miao'yuan
咩戳,mie'chuo
咩得,mie'de
咩咯,mie'ge
咩黑,mie'hei
民大,min'da
民高,min'gao
民歌节,min'ge'jie
民生广场,min'sheng'guang'chang
民师院,min'shi'yuan
民乐路,min'yue'lu
民主路,min'zhu'lu
民族大道,min'zu'da'dao
民族大学,min'zu'da'xue
民族发到,min'zu'fa'dao
民族宫,min'zu'gong
民族广场,min'zu'guang'chang
民族商场,min'zu'shang'chang
民族医院,min'zu'yi'yuan
民族中学,min'zu'zhong'xue
茗城,ming'cheng
名角,ming'jue
明仕田园,ming'shi'tian'yuan
命衰,ming'shuai
明天先,ming'tian'xian
明天小,ming'tian'xiao
明星城,ming'xing'cheng
明秀,ming'xiu
明秀东路,ming'xiu'dong'lu
明秀路,ming'xiu'lu
明秀西路,ming'xiu'xi'lu
明秀小区,ming'xiu'xiao'qu
明秀园,ming'xiu'yuan
明夜,ming'ye
明园,ming'yuan
明园新都,ming'yuan'xin'du
莫斌,mo'bin
莫村,mo'cun
莫丹,mo'dan
莫迪,mo'di
莫工,mo'gong
莫讲,mo'jiang
莫姐,mo'jie
莫静,mo'jing
摩客,mo'ke
莫老板,mo'lao'ban
莫老师,mo'lao'shi
莫老爷,mo'lao'ye
莫丽,mo'li
莫屋坡,mo'wu'po
莫主任,mo'zhu'ren
莫总,mo'zong
某办法,mou'ban'fa
某比,mou'bi
某出,mou'chu
某出去,mou'chu'qu
某戳,mou'chuo
某错,mou'cuo
某打,mou'da
某到,mou'dao
某得闲,mou'de'xian
某多,mou'duo
某敢,mou'gan
某咯,mou'ge
某够,mou'gou
某过,mou'guo
某好,mou'hao
某好意思,mou'hao'yi'si
某会,mou'hui
某记得,mou'ji'de
某见,mou'jian
某讲,mou'jiang
某叫,mou'jiao
某接,mou'jie
某可能,mou'ke'neng
某可以,mou'ke'yi
某来,mou'lai
某理,mou'li
某理我,mou'li'wo
某落,mou'luo
某咩,mou'mie
某怕,mou'pa
某去,mou'qu
某色,mou'se
某是,mou'shi
某舒服,mou'shu'fu
某算,mou'suan
某同,mou'tong
某系,mou'xi
某想,mou'xiang
某信,mou'xin
某要,mou'yao
某要紧,mou'yao'jin
某有,mou'you
某有钱,mou'you'qian
某着,mou'zhe
某知,mou'zhi
某知道,mou'zhi'dao
某准,mou'zhun
某做,mou'zuo
木菠萝,mu'bo'luo
母得,mu'de
木懂,mu'dong
木格,mu'ge
木瓜丁,mu'gua'ding
木好意思,mu'hao'yi'si
仫佬族,mu'lao'zu
木乐,mu'le
木捏,mu'nie
母去,mu'qu
木山,mu'shan
母是,mu'shi
木薯,mu'shu
母有,mu'you
那不懂,na'bu'dong
那不懂了,na'bu'dong'le
那不好啊,na'bu'hao'a
那不就的咯,na'bu'jiu'de'ge
那不理,na'bu'li
那部片,na'bu'pian
那不是啊,na'bu'shi'a
那不是咯,na'bu'shi'lo
那不是吗,na'bu'shi'ma
那不是么,na'bu'shi'me
那不是那,na'bu'shi'na
那不是哦,na'bu'shi'o
那不是呀,na'bu'shi'ya
那陈,na'chen
哪懂,na'dong
哪懂你,na'dong'ni
那粉,na'fen
哪个懂,na'ge'dong
哪个讲,na'ge'jiang
拿果,na'guo
那好为,na'hao'wei
那黑,na'hei
那洪,na'hong
那就不懂,na'jiu'bu'dong
那就的啦,na'jiu'de'la
那就得了,na'jiu'de'le
那凯,na'kai
那堪,na'kan
那靠,na'kao
拿克,na'ke
拿来为,na'lai'wei
哪里得,na'li'de
那隆,na'long
那楼,na'lou
那马,na'ma
那么戳,na'me'chuo
那么得空,na'me'de'kong
那么多去,na'me'duo'qu
那么鬼,na'me'gui
那么黑多,na'me'hei'duo
那么久才,na'me'jiu'cai
那么靓,na'me'liang
那么啰嗦,na'me'luo'suo
那么凄凉,na'me'qi'liang
那么要紧,na'me'yao'jin
那没是,na'mei'shi
那莫名,na'mo'ming
那你不懂,na'ni'bu'dong
那你几时,na'ni'ji'shi
那你捏,na'ni'nie
那你又说,na'ni'you'shuo
那宁,na'ning
那坡县,na'po'xian
哪时,na'shi
那条友,na'tiao'you
那桐,na'tong
那桐镇,na'tong'zhen
那我不懂,na'wo'bu'dong
那我不懂了,na'wo'bu'dong'le
那我都说,na'wo'dou'shuo
那我就不懂,na'wo'jiu'bu'dong
那我捏,na'wo'nie
那我也不懂,na'wo'ye'bu'dong
那也不得,na'ye'bu'de
那野仔,na'ye'zai
那意思说,na'yi'si'shuo
那又说,na'you'shuo
那元,na'yuan
奶茶街,nai'cha'jie
奶场,nai'chang
奶街,nai'jie
南吧,nan'ba
南百,nan'bai
南城百货,nan'cheng'bai'huo
南丹,nan'dan
南丹县,nan'dan'xian
南地,nan'di
南分,nan'fen
南风天,nan'feng'tian
难搞了,nan'gao'le
难咯,nan'ge
南供,nan'gong
南国花园,nan'guo'hua'yuan
南国街,nan'guo'jie
南国早报,nan'guo'zao'bao
南湖,nan'hu
南湖边,nan'hu'bian
南湖公园,nan'hu'gong'yuan
南湖广场,nan'hu'guang'chang
南湖桥,nan'hu'qiao
南建,nan'jian
南建路,nan'jian'lu
难教,nan'jiao
难看多,nan'kan'duo
南流江,nan'liu'jiang
南南铝,nan'nan'lv
男你好,nan'ni'hao
男您老,nan'nin'lao
南宁,nan'ning
南宁啊,nan'ning'a
南宁吧,nan'ning'ba
南宁百货,nan'ning'bai'huo
南宁办,nan'ning'ban
南宁不,nan'ning'bu
南宁大桥,nan'ning'da'qiao
南宁到,nan'ning'dao
南宁的,nan'ning'de
南宁地图,nan'ning'di'tu
南宁店,nan'ning'dian
南宁电视台,nan'ning'dian'shi'tai
南宁二中,nan'ning'er'zhong
南宁饭店,nan'ning'fan'dian
南宁分公司,nan'ning'fen'gong'si
南宁分行,nan'ning'fen'hang
南宁咯,nan'ning'ge
南宁还是,nan'ning'hai'shi
南宁号,nan'ning'hao
南宁话,nan'ning'hua
南宁火车站,nan'ning'huo'che'zhan
南宁机场,nan'ning'ji'chang
南宁卡,nan'ning'ka
南宁啦,nan'ning'la
南宁来,nan'ning'lai
南宁了,nan'ning'le
南宁了吗,nan'ning'le'ma
南宁吗,nan'ning'ma
南宁么,nan'ning'me
南宁没,nan'ning'mei
南宁没有,nan'ning'mei'you
南宁那,nan'ning'na
南宁哪里,nan'ning'na'li
南宁呢,nan'ning'ne
南宁你,nan'ning'ni
南宁宁,nan'ning'ning
南宁哦,nan'ning'o
南宁去,nan'ning'qu
南宁人,nan'ning'ren
南宁三中,nan'ning'san'zhong
南宁市,nan'ning'shi
南宁市区,nan'ning'shi'qu
南宁天气,nan'ning'tian'qi
南宁玩,nan'ning'wan
南宁晚报,nan'ning'wan'bao
南宁万达,nan'ning'wan'da
南宁下雨,nan'ning'xia'yu
南宁学院,nan'ning'xue'yuan
南宁呀,nan'ning'ya
南宁也,nan'ning'ye
南宁也是,nan'ning'ye'shi
南宁有,nan'ning'you
南宁仔,nan'ning'zai
南宁站,nan'ning'zhan
南宁这边,nan'ning'zhe'bian
南宁职业,nan'ning'zhi'ye
难哦,nan'o
难受多,nan'shou'duo
难说哦,nan'shuo'o
南铁,nan'tie
南梧路,nan'wu'lu
南溪山,nan'xi'shan
南一里,nan'yi'li
南鹰,nan'ying
南站大道,nan'zhan'da'dao
南职,nan'zhi
南职院,nan'zhi'yuan
嫩霸,nen'ba
嫩办,nen'ban
嫩黑,nen'hei
恁人,nen'ren
嫩一,nen'yi
恁子,nen'zi
嫩子办,nen'zi'ban
嫩子讲,nen'zi'jiang
嫩子了,nen'zi'le
嫩子样,nen'zi'yang
能帮就帮,neng'bang'jiu'bang
你挨,ni'ai
你把跟你,ni'ba'gen'ni
你不见,ni'bu'jian
你不去玩,ni'bu'qu'wan
你不在南宁,ni'bu'zai'nan'ning
你才得,ni'cai'de
你才懂,ni'cai'dong
你吃得,ni'chi'de
你吃东西没有,ni'chi'dong'xi'mei'you
你吃粉,ni'chi'fen
你搭我,ni'da'wo
你到南宁,ni'dao'nan'ning
你得空,ni'de'kong
你等住,ni'deng'zhu
你颠,ni'dian
你电车,ni'dian'che
你懂咩,ni'dong'mie
你都不懂,ni'dou'bu'dong
你队,ni'dui
你多少点,ni'duo'shao'dian
你发颠,ni'fa'dian
你刚懂,ni'gang'dong
你更子,ni'geng'zi
你拐,ni'guai
你还读书,ni'hai'du'shu
你还没得,ni'hai'mei'de
你还在南宁,ni'hai'zai'nan'ning
你回南宁,ni'hui'nan'ning
你家公,ni'jia'gong
你家婆,ni'jia'po
你讲咧,ni'jiang'lie
你就懂,ni'jiu'dong
你就知道错,ni'jiu'zhi'dao'cuo
你看为,ni'kan'wei
你来咩,ni'lai'mie
你来南宁,ni'lai'nan'ning
你来为,ni'lai'wei
你乱来,ni'luan'lai
你妈黑,ni'ma'hei
你没会,ni'mei'hui
你没克,ni'mei'ke
你没是,ni'mei'shi
你某系,ni'mou'xi
你那么有空,ni'na'me'you'kong
你哪时,ni'na'shi
你南宁,ni'nan'ning
你嫩子,ni'nen'zi
你去咩,ni'qu'mie
你去南宁,ni'qu'nan'ning
你上南宁,ni'shang'nan'ning
你是南宁,ni'shi'nan'ning
你说为,ni'shuo'wei
泥头车,ni'tou'che
你问看,ni'wen'kan
你问来干嘛,ni'wen'lai'gan'ma
你也懂,ni'ye'dong
你野仔,ni'ye'zai
你又不得,ni'you'bu'de
你又不是不懂,ni'you'bu'shi'bu'dong
你又懂,ni'you'dong
你友女,ni'you'nv
你友仔,ni'you'zai
你咋懂,ni'za'dong
你在北海,ni'zai'bei'hai
你在桂林,ni'zai'gui'lin
你在柳州,ni'zai'liu'zhou
你在乃,ni'zai'nai
你在南宁,ni'zai'nan'ning
你在玉林,ni'zai'yu'lin
你怎么懂,ni'zen'me'dong
你怎么懂得,ni'zen'me'dong'de
你煮菜,ni'zhu'cai
你自己懂,ni'zi'ji'dong
年经,nian'jing
年年丰,nian'nian'feng
年轻仔,nian'qing'zai
捏捏捏,nie'nie'nie
柠檬宿,ning'meng'su
柠檬鸭,ning'meng'ya
宁明,ning'ming
宁明县,ning'ming'xian
牛巴,niu'ba
牛巴粉,niu'ba'fen
牛肠酸,niu'chang'suan
牛叼,niu'diao
牛鬼,niu'gui
牛嗨,niu'hai
牛嘿,niu'hei
牛排大亨,niu'pai'da'heng
牛杂粉,niu'za'fen
农伯,nong'bo
弄不得,nong'bu'de
农非,nong'fei
农哥,nong'ge
弄怀,nong'huai
农姐,nong'jie
农老师,nong'lao'shi
农丽,nong'li
农院,nong'yuan
农院路,nong'yuan'lu
农职,nong'zhi
农职院,nong'zhi'yuan
弄住,nong'zhu
农总,nong'zong
诺懂,nuo'dong
诺讲,nuo'jiang
糯米饭,nuo'mi'fan
诺瑞,nuo'rui
糯玉米,nuo'yu'mi
