阿特斯,a'te'si
洛阳大酒店,luo'yang'da'jiu'dian
洛阳到,luo'yang'dao
洛阳的,luo'yang'de
洛阳地区,luo'yang'di'qu
洛阳地图,luo'yang'di'tu
洛阳地邪,luo'yang'di'xie
洛阳店,luo'yang'dian
洛阳电视台,luo'yang'dian'shi'tai
洛阳东,luo'yang'dong
洛阳分公司,luo'yang'fen'gong'si
洛阳分行,luo'yang'fen'hang
洛阳宫,luo'yang'gong
洛阳公交,luo'yang'gong'jiao
洛阳公司,luo'yang'gong'si
洛阳号,luo'yang'hao
洛阳话,luo'yang'hua
洛阳火车站,luo'yang'huo'che'zhan
洛阳啦,luo'yang'la
洛阳来,luo'yang'lai
洛阳了,luo'yang'le
洛阳累,luo'yang'lei
洛阳理工,luo'yang'li'gong
洛阳理工学院,luo'yang'li'gong'xue'yuan
洛阳龙门,luo'yang'long'men
洛阳吗,luo'yang'ma
洛阳么,luo'yang'me
洛阳没,luo'yang'mei
洛阳没有,luo'yang'mei'you
洛阳牡丹,luo'yang'mu'dan
洛阳那,luo'yang'na
洛阳哪的,luo'yang'na'de
洛阳哪里,luo'yang'na'li
洛阳哪里的,luo'yang'na'li'de
洛阳呢,luo'yang'ne
洛阳桥,luo'yang'qiao
洛阳人,luo'yang'ren
洛阳人才,luo'yang'ren'cai
洛阳人才网,luo'yang'ren'cai'wang
洛阳人民,luo'yang'ren'min
洛阳日报,luo'yang'ri'bao
洛阳上班,luo'yang'shang'ban
洛阳市,luo'yang'shi
洛阳师范,luo'yang'shi'fan
洛阳师范学院,luo'yang'shi'fan'xue'yuan
洛阳石化,luo'yang'shi'hua
洛阳市涧西区,luo'yang'shi'jian'xi'qu
洛阳市区,luo'yang'shi'qu
洛阳市西工区,luo'yang'shi'xi'gong'qu
洛阳师院,luo'yang'shi'yuan
洛阳水席,luo'yang'shui'xi
洛阳天气,luo'yang'tian'qi
洛阳天气预报,luo'yang'tian'qi'yu'bao
洛阳玩,luo'yang'wan
洛阳晚报,luo'yang'wan'bao
洛阳万达,luo'yang'wan'da
洛阳网,luo'yang'wang
洛阳新区,luo'yang'xin'qu
洛阳信息港,luo'yang'xin'xi'gang
洛阳呀,luo'yang'ya
洛阳一高,luo'yang'yi'gao
洛阳银行,luo'yang'yin'hang
洛阳有,luo'yang'you
洛阳站,luo'yang'zhan
洛阳这,luo'yang'zhe
洛阳这边,luo'yang'zhe'bian
洛一高,luo'yi'gao
洛宜路,luo'yi'lu
驴求,lv'qiu
驴肉汤,lv'rou'tang
旅游年票,lv'you'nian'piao
麻缠,ma'chan
马沟,ma'gou
马圈,ma'juan
马拉湾,ma'la'wan
马那笔,ma'na'bi
麻屯镇,ma'tun'zhen
买不住,mai'bu'zhu
买了了,mai'le'le
买住,mai'zhu
忙啥累,mang'sha'lei
邙山,mang'shan
邙山驾校,mang'shan'jia'xiao
邙山镇,mang'shan'zhen
毛大夫,mao'dai'fu
毛到,mao'dao
毛到毛到,mao'dao'mao'dao
毛到你,mao'dao'ni
毛到我,mao'dao'wo
毛豆我,mao'dou'wo
冒肚,mao'du
毛沟,mao'gou
毛万春,mao'wan'chun
么那,me'na
美辐射,mei'fu'she
没喝晕,mei'he'yun
煤火,mei'huo
没嫩,mei'nen
美屁,mei'pi
没去学,mei'qu'xue
没人耍,mei'ren'shua
没啥吃,mei'sha'chi
没啥干,mei'sha'gan
没啥看,mei'sha'kan
没啥弄,mei'sha'nong
没啥耍,mei'sha'shua
没啥说,mei'sha'shuo
没啥说了,mei'sha'shuo'le
没啥玩,mei'sha'wan
没事乖,mei'shi'guai
没说住,mei'shuo'zhu
没一点事,mei'yi'dian'shi
没在洛阳,mei'zai'luo'yang
门街,men'jie
门开开,men'kai'kai
孟高,meng'gao
孟津,meng'jin
孟津的,meng'jin'de
孟津县,meng'jin'xian
孟津一高,meng'jin'yi'gao
梦桃源,meng'tao'yuan
孟庄,meng'zhuang
迷蛋,mi'dan
迷过来,mi'guo'lai
米皮,mi'pi
渑池,mian'chi
渑池县,mian'chi'xian
面叶,mian'ye
秒钱,miao'qian
秒去,miao'qu
秒啥,miao'sha
秒说,miao'shuo
庙头,miao'tou
秒呀,miao'ya
秒意思,miao'yi'si
民航大厦,min'hang'da'sha
民主街,min'zhu'jie
名车苑,ming'che'yuan
鸣皋,ming'gao
鸣皋镇,ming'gao'zhen
明天去洛阳,ming'tian'qu'luo'yang
明天去学,ming'tian'qu'xue
铭源,ming'yuan
缪钱,miu'qian
缪去,miu'qu
缪啥,miu'sha
馍菜汤,mo'cai'tang
墨迹蛋,mo'ji'dan
磨滩,mo'tan
摸住,mo'zhu
木车,mu'che
木出息,mu'chu'xi
牡丹饼,mu'dan'bing
牡丹城,mu'dan'cheng
牡丹瓷,mu'dan'ci
牡丹大道,mu'dan'da'dao
牡丹宫,mu'dan'gong
牡丹公园,mu'dan'gong'yuan
牡丹广场,mu'dan'guang'chang
牡丹花,mu'dan'hua
牡丹花会,mu'dan'hua'hui
牡丹节,mu'dan'jie
牡丹路,mu'dan'lu
牡丹桥,mu'dan'qiao
牡丹新村,mu'dan'xin'cun
牡丹之歌,mu'dan'zhi'ge
木地方,mu'di'fang
钼都,mu'dou
钼都利豪,mu'dou'li'hao
木法说,mu'fa'shuo
木喝,mu'he
木活,mu'huo
木见,mu'jian
木见你,mu'jian'ni
木强,mu'jiang
木脸,mu'lian
木那,mu'na
木那你看,mu'na'ni'kan
木你,mu'ni
木你是,mu'ni'shi
木妞,mu'niu
木求,mu'qiu
木人接,mu'ren'jie
木啥,mu'sha
木啥事,mu'sha'shi
木啥说,mu'sha'shuo
木啥意思,mu'sha'yi'si
木是,mu'shi
钼业,mu'ye
木一点,mu'yi'dian
木意思,mu'yi'si
木扎岭,mu'zha'ling
木植街,mu'zhi'jie
那不美,na'bu'mei
那不中,na'bu'zhong
那蛋,na'dan
那都算了,na'dou'suan'le
那都这,na'dou'zhe
那都中,na'dou'zhong
那多不美,na'duo'bu'mei
那多美,na'duo'mei
那怪美,na'guai'mei
那闺女,na'gui'nv
那会敢,na'hui'gan
那会能,na'hui'neng
那会行,na'hui'xing
那会中,na'hui'zhong
那就这,na'jiu'zhe
那就这吧,na'jiu'zhe'ba
那老美,na'lao'mei
那明个,na'ming'ge
那木事,na'mu'shi
那你都不会,na'ni'dou'bu'hui
那你来俺家,na'ni'lai'an'jia
那你耍吧,na'ni'shua'ba
那你咋吃饭,na'ni'za'chi'fan
那你咋弄,na'ni'za'nong
那去求,na'qu'qiu
那是满,na'shi'man
那是们,na'shi'men
那谁了,na'shui'le
那说不来,na'shuo'bu'lai
那挺美,na'ting'mei
那娃子,na'wa'zi
那晚会,na'wan'hui
那我咋弄,na'wo'za'nong
那也中,na'ye'zhong
那怨谁,na'yuan'shui
那咋弄,na'za'nong
那咋着,na'za'zhe
那咋住,na'za'zhu
耐火厂,nai'huo'chang
南昌路,nan'chang'lu
南陈,nan'chen
南沟,nan'gou
南花坛,nan'hua'tan
男伙计,nan'huo'ji
南麻屯,nan'ma'tun
难受人,nan'shou'ren
南苑小区,nan'yuan'xiao'qu
南寨,nan'zhai
孬蛋,nao'dan
孬哥,nao'ge
脑子小,nao'zi'xiao
内埠,nei'bu
嫩笨,nen'ben
嫩长,nen'chang
嫩长时间,nen'chang'shi'jian
嫩村,nen'cun
嫩大,nen'da
嫩店,nen'dian
嫩多,nen'duo
嫩多了,nen'duo'le
嫩多钱,nen'duo'qian
嫩多人,nen'duo'ren
嫩多事,nen'duo'shi
嫩高,nen'gao
嫩贵,nen'gui
嫩好看,nen'hao'kan
嫩伙计,nen'huo'ji
嫩贱,nen'jian
嫩近,nen'jin
嫩忙,nen'mang
恁们,nen'men
恁晚,nen'wan
嫩小,nen'xiao
嫩学,nen'xue
嫩远,nen'yuan
能出来不能,neng'chu'lai'bu'neng
能去不能,neng'qu'bu'neng
能去成,neng'qu'cheng
你伯,ni'bo
你不吭声,ni'bu'keng'sheng
你不去学,ni'bu'qu'xue
你成天,ni'cheng'tian
你吃饭秒,ni'chi'fan'miao
你吃秒,ni'chi'miao
你出来不出来,ni'chu'lai'bu'chu'lai
你到洛阳,ni'dao'luo'yang
你电话多,ni'dian'hua'duo
你都不会说,ni'dou'bu'hui'shuo
你发那,ni'fa'na
你该家,ni'gai'jia
你该那,ni'gai'na
你该哪类,ni'gai'na'lei
你该呢,ni'gai'ne
你该死了,ni'gai'si'le
你个那,ni'ge'na
你个拿来,ni'ge'na'lai
你给那,ni'gei'na
你给哪儿,ni'gei'na'er
你给那类,ni'gei'na'lei
你给哪里,ni'gei'na'li
你给他说说,ni'gei'ta'shuo'shuo
你古我,ni'gu'wo
你管来,ni'guan'lai
你管类,ni'guan'lei
你还那,ni'hai'na
你憨了,ni'han'le
你喝晕,ni'he'yun
你喝晕了,ni'he'yun'le
你回来不回来,ni'hui'lai'bu'hui'lai
你记不记,ni'ji'bu'ji
你几点去学,ni'ji'dian'qu'xue
你见没,ni'jian'mei
你叫我看看,ni'jiao'wo'kan'kan
你接住,ni'jie'zhu
你可不敢,ni'ke'bu'gan
你可美,ni'ke'mei
你来俺家,ni'lai'an'jia
你来洛阳,ni'lai'luo'yang
你来洛阳了,ni'lai'luo'yang'le
你老笨,ni'lao'ben
你老好,ni'lao'hao
你老会,ni'lao'hui
你老忙,ni'lao'mang
你老美,ni'lao'mei
你老能,ni'lao'neng
你洛阳,ni'luo'yang
你洛阳哪的,ni'luo'yang'na'de
你洛阳哪里的,ni'luo'yang'na'li'de
你没去学,ni'mei'qu'xue
你木事,ni'mu'shi
你那脸,ni'na'lian
你跑哪了,ni'pao'na'le
你婆子,ni'po'zi
你去洛阳,ni'qu'luo'yang
你去哪累,ni'qu'na'lei
你去求,ni'qu'qiu
你去求吧,ni'qu'qiu'ba
你去学,ni'qu'xue
你去学了,ni'qu'xue'le
你去郑州,ni'qu'zheng'zhou
你啥手机,ni'sha'shou'ji
你上着班,ni'shang'zhe'ban
你什么职业,ni'shen'me'zhi'ye
你是洛阳,ni'shi'luo'yang
你是洛阳的,ni'shi'luo'yang'de
你耍吧,ni'shua'ba
你谁了,ni'shui'le
你说点别的吧,ni'shuo'dian'bie'de'ba
你想弄啥,ni'xiang'nong'sha
你想我不想,ni'xiang'wo'bu'xiang
你想抓,ni'xiang'zhua
你信求,ni'xin'qiu
你偃师,ni'yan'shi
你也不瞌睡,ni'ye'bu'ke'shui
你咋吃,ni'za'chi
你咋吃饭,ni'za'chi'fan
你咋说了,ni'za'shuo'le
你咋真,ni'za'zhen
你咋知道累,ni'za'zhi'dao'lei
你在干嘛累,ni'zai'gan'ma'lei
你在干啥来,ni'zai'gan'sha'lai
你在干啥类,ni'zai'gan'sha'lei
你在关林,ni'zai'guan'lin
你在家干啥,ni'zai'jia'gan'sha
你在洛阳,ni'zai'luo'yang
你在哪干啥,ni'zai'na'gan'sha
你在哪类,ni'zai'na'lei
你在弄啥,ni'zai'nong'sha
你在县城,ni'zai'xian'cheng
你在新区,ni'zai'xin'qu
你在偃师,ni'zai'yan'shi
你这闺女,ni'zhe'gui'nv
你这一段,ni'zhe'yi'duan
你真人才,ni'zhen'ren'cai
你真中,ni'zhen'zhong
你抓来,ni'zhua'lai
你抓累,ni'zhua'lei
你最有才,ni'zui'you'cai
年村,nian'cun
年家,nian'jia
年家人,nian'jia'ren
年老头,nian'lao'tou
年票,nian'piao
年媳妇,nian'xi'fu
年学,nian'xue
尿一泡,niao'yi'pao
捏呀,nie'ya
牛肚王,niu'du'wang
牛肉汤,niu'rou'tang
扭住,niu'zhu
弄点啥,nong'dian'sha
弄个这,nong'ge'zhe
弄哪了,nong'na'le
弄啥,nong'sha
弄啥来,nong'sha'lai
弄啥累,nong'sha'lei
弄啥里,nong'sha'li
弄事,nong'shi
女伙计,nv'huo'ji
女来,nv'lai
哦你傻,o'ni'sha
欧亚达,ou'ya'da
偶遇来,ou'yu'lai
拍会,pai'hui
潘村,pan'cun
庞村,pang'cun
胖蛋,pang'dan
跑弟,pao'di
跑洛阳,pao'luo'yang
跑哪了,pao'na'le
跑哪里了,pao'na'li'le
跑嫩远,pao'nen'yuan
跑郑州,pao'zheng'zhou
裴村,pei'cun
喷吧,pen'ba
喷会,pen'hui
喷喷,pen'pen
喷啥,pen'sha
喷一会,pen'yi'hui
彭婆镇,peng'po'zhen
碰住,peng'zhu
碰住了,peng'zhu'le
批墙,pi'qiang
偏头,pian'tou
票车,piao'che
平乐镇,ping'le'zhen
坡底,po'di
坡头,po'tou
婆子家,po'zi'jia
淇滨,qi'bin
起来秒,qi'lai'miao
七里河,qi'li'he
七里坪,qi'li'ping
启明路,qi'ming'lu
启明南路,qi'ming'nan'lu
起嫩早,qi'nen'zao
七一路,qi'yi'lu
起源小厨,qi'yuan'xiao'chu
气住,qi'zhu
欠挨,qian'ai
黔川路,qian'chuan'lu
浅井头,qian'jing'tou
茄汁面,qie'zhi'mian
寝管,qin'guan
勤政苑,qin'zheng'yuan
青岛路,qing'dao'lu
青岛日照,qing'dao'ri'zhao
青年宫,qing'nian'gong
青年红,qing'nian'hong
情人岛,qing'ren'dao
青要山,qing'yao'shan
秋扒,qiu'ba
求捎带,qiu'shao'dai
去俺家,qu'an'jia
去吧乖,qu'ba'guai
去白马寺,qu'bai'ma'si
去城,qu'cheng
去大张,qu'da'zhang
去蛋,qu'dan
去丹尼斯,qu'dan'ni'si
去地,qu'di
去地了,qu'di'le
去辅导班,qu'fu'dao'ban
去关林,qu'guan'lin
去喝汤,qu'he'tang
去济源,qu'ji'yuan
曲剧,qu'ju
去砍,qu'kan
去拉到,qu'la'dao
去老城,qu'lao'cheng
去龙门,qu'long'men
去龙潭峡,qu'long'tan'xia
去栾川,qu'luan'chuan
去洛阳,qu'luo'yang
去洛阳了,qu'luo'yang'le
去满,qu'man
去门,qu'men
去梦,qu'meng
去孟津,qu'meng'jin
去哪干啥,qu'na'gan'sha
去哪累,qu'na'lei
去哪转,qu'na'zhuan
去呢了,qu'ne'le
去嫩家,qu'nen'jia
去嫩早,qu'nen'zao
去年家,qu'nian'jia
去弄啥,qu'nong'sha
去求,qu'qiu
去求吧,qu'qiu'ba
去求啦,qu'qiu'la
去求了,qu'qiu'le
去三门峡,qu'san'men'xia
去上海市场,qu'shang'hai'shi'chang
去上上,qu'shang'shang
去输了,qu'shu'le
去耍啊,qu'shua'a
去耍吧,qu'shua'ba
去县,qu'xian
去县城,qu'xian'cheng
去小商品,qu'xiao'shang'pin
去新都会,qu'xin'du'hui
去学,qu'xue
去学啊,qu'xue'a
去学不,qu'xue'bu
去学不去,qu'xue'bu'qu
去学啦,qu'xue'la
去学了,qu'xue'le
去学没,qu'xue'mei
去学呢,qu'xue'ne
去学再说,qu'xue'zai'shuo
去偃师,qu'yan'shi
去伊川,qu'yi'chuan
去宜阳,qu'yi'yang
去郑州,qu'zheng'zhou
去郑州了,qu'zheng'zhou'le
全洛阳,quan'luo'yang
泉舜,quan'shun
确定住,que'ding'zhu
让我用用,rang'wo'yong'yong
热被窝,re'bei'wo
惹住,re'zhu
人可多,ren'ke'duo
人可好,ren'ke'hao
人可少,ren'ke'shao
人老多,ren'lao'duo
人了多,ren'le'duo
人人家,ren'ren'jia
日挂,ri'gua
日光阁,ri'guang'ge
荣康,rong'kang
肉合,rou'he
汝阳,ru'yang
汝阳的,ru'yang'de
汝阳县,ru'yang'xian
如一坊,ru'yi'fang
三门峡,san'men'xia
三门峡的,san'men'xia'de
三门峡了,san'men'xia'le
三皮一线,san'pi'yi'xian
三装,san'zhuang
扫口,sao'kou
森地,sen'di
森林半岛,sen'lin'ban'dao
纱厂,sha'chang
纱厂北路,sha'chang'bei'lu
纱厂路,sha'chang'lu
纱厂南路,sha'chang'nan'lu
纱厂西路,sha'chang'xi'lu
啥都中,sha'dou'zhong
沙沟,sha'gou
啥累,sha'lei
傻旁,sha'pang
啥人吧,sha'ren'ba
啥时候回来了,sha'shi'hou'hui'lai'le
啥时候去了,sha'shi'hou'qu'le
啥时候去学,sha'shi'hou'qu'xue
啥他妈,sha'ta'ma
纱西,sha'xi
啥学,sha'xue
山化,shan'hua
山水富地,shan'shui'fu'di
山张,shan'zhang
闪住,shan'zhu
上班不上,shang'ban'bu'shang
上班秒,shang'ban'miao
上不成网,shang'bu'cheng'wang
上帝美食城,shang'di'mei'shi'cheng
上店,shang'dian
上戈,shang'ge
上海是啊,shang'hai'shi'a
上海市场,shang'hai'shi'chang
上清宫,shang'qing'gong
上网走,shang'wang'zou
上阳花园,shang'yang'hua'yuan
上阳路,shang'yang'lu
上这类,shang'zhe'lei
伤住,shang'zhu
稍点,shao'dian
烧沟,shao'gou
烧住,shao'zhu
神经蛋,shen'jing'dan
神经到,shen'jing'dao
神灵寨,shen'ling'zhai
什么人吧,shen'me'ren'ba
神农山,shen'nong'shan
申泰,shen'tai
盛德美,sheng'de'mei
省类,sheng'lei
升龙城,sheng'long'cheng
升龙广场,sheng'long'guang'chang
盛唐至尊,sheng'tang'zhi'zun
圣雪昂,sheng'xue'ang
石罢,shi'ba
十八盘,shi'ba'pan
石村,shi'cun
世府名邸,shi'fu'ming'di
世纪电脑城,shi'ji'dian'nao'cheng
世纪华阳,shi'ji'hua'yang
世纪英豪,shi'ji'ying'hao
史家屯,shi'jia'tun
史家湾,shi'jia'wan
事可多,shi'ke'duo
石窟,shi'ku
是洛阳,shi'luo'yang
是洛阳的,shi'luo'yang'de
石庙,shi'miao
十渠,shi'qu
石人山,shi'ren'shan
十三朝,shi'san'chao
石寺,shi'si
石寺镇,shi'si'zhen
十五局,shi'wu'ju
柿园,shi'yuan
狮子庙,shi'zi'miao
售房部,shou'fang'bu
首阳山,shou'yang'shan
受症,shou'zheng
收住没,shou'zhu'mei
蜀江烤鱼,shu'jiang'kao'yu
数码大厦,shu'ma'da'sha
书香苑,shu'xiang'yuan
耍吧,shua'ba
耍来,shua'lai
耍类,shua'lei
耍美,shua'mei
耍着,shua'zhe
耍住,shua'zhu
帅兵,shuai'bing
帅飞,shuai'fei
帅峰,shuai'feng
帅辉,shuai'hui
帅龙,shuai'long
帅鹏,shuai'peng
帅奇,shuai'qi
帅强,shuai'qiang
摔住,shuai'zhu
摔住了,shuai'zhu'le
涮牛肚,shuan'niu'du
双龙湾,shuang'long'wan
爽明街,shuang'ming'jie
双瑞,shuang'rui
睡吧乖,shui'ba'guai
睡被窝,shui'bei'wo
睡类,shui'lei
睡秒,shui'miao
睡嫩早,shui'nen'zao
谁说类,shui'shuo'lei
水席,shui'xi
水源街,shui'yuan'jie
水在,shui'zai
水寨,shui'zhai
睡真早,shui'zhen'zao
顺驰,shun'chi
顺驰城,shun'chi'cheng
舜通,shun'tong
说不成话,shuo'bu'cheng'hua
说点别的吧,shuo'dian'bie'de'ba
说点这,shuo'dian'zhe
说话慢,shuo'hua'man
说话们,shuo'hua'men
说来啥,shuo'lai'sha
说了可多,shuo'le'ke'duo
说了了,shuo'le'le
说累啥,shuo'lei'sha
说满,shuo'man
说们,shuo'men
说秒,shuo'miao
说嫩多,shuo'nen'duo
说是啥,shuo'shi'sha
说说满,shuo'shuo'man
说说们,shuo'shuo'men
说着耍,shuo'zhe'shua
说住,shuo'zhu
说住了,shuo'zhu'le
四高,si'gao
四根,si'gen
死跟上,si'gen'shang
死跟着,si'gen'zhe
寺沟,si'gou
死鬼货,si'gui'huo
死闺女,si'gui'nv
死鬼气,si'gui'qi
死鬼样,si'gui'yang
死鬼样子,si'gui'yang'zi
四季沐歌,si'ji'mu'ge
死喽吧,si'lou'ba
死你大爷,si'ni'da'ye
四条巷,si'tiao'xiang
嵩山路,song'shan'lu
嵩县,song'xian
嵩县吧,song'xian'ba
嵩县的,song'xian'de
嵩县了,song'xian'le
送学,song'xue
送庄,song'zhuang
搜住,sou'zhu
速度度,su'du'du
苏州乐梅兰,su'zhou'le'mei'lan
算安,suan'an
算蛋,suan'dan
蒜面条,suan'mian'tiao
隧道局,sui'dao'ju
隋唐城,sui'tang'cheng
隋唐遗址,sui'tang'yi'zhi
隋唐植物园,sui'tang'zhi'wu'yuan
孙旗屯,sun'qi'tun
孙善武,sun'shan'wu
他成天,ta'cheng'tian
他来个,ta'lai'ge
他老头,ta'lao'tou
他谁了,ta'shui'le
他咋说了,ta'za'shuo'le
他在洛阳,ta'zai'luo'yang
塔庄,ta'zhuang
太康路,tai'kang'lu
太性了,tai'xing'le
台一线,tai'yi'xian
太原路,tai'yuan'lu
太造了,tai'zao'le
潭头,tan'tou
唐城御府,tang'cheng'yu'fu
唐村,tang'cun
唐宫路,tang'gong'lu
唐宫西路,tang'gong'xi'lu
烫面角,tang'mian'jiao
汤面条,tang'mian'tiao
唐寺门,tang'si'men
烫住,tang'zhu
桃花庄园,tao'hua'zhuang'yuan
陶营,tao'ying
天不赖,tian'bu'lai
天城一品,tian'cheng'yi'pin
天池山,tian'chi'shan
田湖,tian'hu
天津路,tian'jin'lu
天津路口,tian'jin'lu'kou
天可热,tian'ke're
天老热,tian'lao're
天邻居,tian'lin'ju
甜面片,tian'mian'pian
天明城,tian'ming'cheng
天子驾六,tian'zi'jia'liu
铁路分局,tie'lu'fen'ju
铁门镇,tie'men'zhen
贴屏保,tie'ping'bao
铁箱厂,tie'xiang'chang
铁谢,tie'xie
听见秒,ting'jian'miao
同多,tong'duo
通济街,tong'ji'jie
铜加工厂,tong'jia'gong'chang
同乐寨,tong'le'zhai
同美,tong'mei
头可疼,tou'ke'teng
头可晕,tou'ke'yun
透美,tou'mei
头疼粉,tou'teng'fen
投资担保,tou'zi'dan'bao
拖厂,tuo'chang
拖二中,tuo'er'zhong
拖一,tuo'yi
拖一高,tuo'yi'gao
瓦库,wa'ku
蛙香馆,wa'xiang'guan
娃子们,wa'zi'men
外靠,wai'kao
外面可冷,wai'mian'ke'leng
外面可热,wai'mian'ke're
外日,wai'ri
崴住,wai'zhu
晚安乖,wan'an'guai
万安山,wan'an'shan
玩板,wan'ban
万福园,wan'fu'yuan
万国银座,wan'guo'yin'zuo
晚会回去,wan'hui'hui'qu
晚会说,wan'hui'shuo
万基,wan'ji
玩美了吧,wan'mei'le'ba
王城大道,wang'cheng'da'dao
王城大桥,wang'cheng'da'qiao
王城公园,wang'cheng'gong'yuan
王城广场,wang'cheng'guang'chang
王城路,wang'cheng'lu
王城桥,wang'cheng'qiao
王府御花园,wang'fu'yu'hua'yuan
王妞,wang'niu
王屋山,wang'wu'shan
王协,wang'xie
网咋,wang'za
问你累,wen'ni'lei
文兴现代城,wen'xing'xian'dai'cheng
我伯,wo'bo
我不是想着,wo'bu'shi'xiang'zhe
我不着,wo'bu'zhao
我不这,wo'bu'zhe
我成天,wo'cheng'tian
我吃了了,wo'chi'le'le
我到洛阳,wo'dao'luo'yang
我到洛阳了,wo'dao'luo'yang'le
我都可,wo'dou'ke
我都可无语,wo'dou'ke'wu'yu
我都可想,wo'dou'ke'xiang
我该家,wo'gai'jia
我该那,wo'gai'na
我该这,wo'gai'zhe
我古,wo'gu
我古你,wo'gu'ni
我还在洛阳,wo'hai'zai'luo'yang
我喝晕,wo'he'yun
我喝晕了,wo'he'yun'le
我会敢,wo'hui'gan
我会能,wo'hui'neng
我会知道,wo'hui'zhi'dao
我伙计,wo'huo'ji
我开始去,wo'kai'shi'qu
我看了了,wo'kan'le'le
我靠啊,wo'kao'a
我靠呀,wo'kao'ya
我可笨,wo'ke'ben
我可丑,wo'ke'chou
我可多,wo'ke'duo
我可饿,wo'ke'e
我可烦,wo'ke'fan
我可好奇,wo'ke'hao'qi
我可纠结,wo'ke'jiu'jie
我可瞌睡,wo'ke'ke'shui
我可快,wo'ke'kuai
我可困,wo'ke'kun
我可懒,wo'ke'lan
我可累,wo'ke'lei
我可冷,wo'ke'leng
我可忙,wo'ke'mang
我可没意思,wo'ke'mei'yi'si
我可难过,wo'ke'nan'guo
我可难受,wo'ke'nan'shou
我可胖,wo'ke'pang
我可热,wo'ke're
我可伤心,wo'ke'shang'xin
我可生气,wo'ke'sheng'qi
我可是知道,wo'ke'shi'zhi'dao
我可无聊,wo'ke'wu'liao
我可无奈,wo'ke'wu'nai
我可无语,wo'ke'wu'yu
我可闲,wo'ke'xian
我可想吃,wo'ke'xiang'chi
我可想你,wo'ke'xiang'ni
我可想去,wo'ke'xiang'qu
我可想知道,wo'ke'xiang'zhi'dao
我可郁闷,wo'ke'yu'men
我可早,wo'ke'zao
我快该,wo'kuai'gai
我来洛阳,wo'lai'luo'yang
我来洛阳了,wo'lai'luo'yang'le
我老笨,wo'lao'ben
我老瞌睡,wo'lao'ke'shui
我老想你,wo'lao'xiang'ni
我了困,wo'le'kun
我了难受,wo'le'nan'shou
我了无聊,wo'le'wu'liao
我了想你,wo'le'xiang'ni
卧龙谷,wo'long'gu
我洛阳,wo'luo'yang
我洛阳的,wo'luo'yang'de
我没吭声,wo'mei'keng'sheng
我没嫩,wo'mei'nen
我没啥说,wo'mei'sha'shuo
我们洛阳,wo'men'luo'yang
我婆家,wo'po'jia
我去洛阳,wo'qu'luo'yang
我去学了,wo'qu'xue'le
我去郑州,wo'qu'zheng'zhou
我日呀,wo'ri'ya
我上着班,wo'shang'zhe'ban
我是洛阳,wo'shi'luo'yang
我是洛阳的,wo'shi'luo'yang'de
我睡觉累,wo'shui'jiao'lei
我睡累,wo'shui'lei
我说了了,wo'shuo'le'le
我头可疼,wo'tou'ke'teng
我晚会,wo'wan'hui
我偃师,wo'yan'shi
我也可,wo'ye'ke
我也可烦,wo'ye'ke'fan
我也可困,wo'ye'ke'kun
我也可累,wo'ye'ke'lei
我也可难受,wo'ye'ke'nan'shou
我也可无聊,wo'ye'ke'wu'liao
我也可喜欢,wo'ye'ke'xi'huan
我也可想,wo'ye'ke'xiang
我也可想你,wo'ye'ke'xiang'ni
我也在洛阳,wo'ye'zai'luo'yang
我晕呀,wo'yun'ya
我咋会知道,wo'za'hui'zhi'dao
我咋你了,wo'za'ni'le
我在俺家,wo'zai'an'jia
我在大张,wo'zai'da'zhang
我在丹尼斯,wo'zai'dan'ni'si
我在关林,wo'zai'guan'lin
我在吉利,wo'zai'ji'li
我在涧西,wo'zai'jian'xi
我在老城,wo'zai'lao'cheng
我在栾川,wo'zai'luan'chuan
我在洛阳,wo'zai'luo'yang
我在洛阳啊,wo'zai'luo'yang'a
我在洛阳呢,wo'zai'luo'yang'ne
我在县,wo'zai'xian
我在县城,wo'zai'xian'cheng
我在新都会,wo'zai'xin'du'hui
我在新区,wo'zai'xin'qu
我在偃师,wo'zai'yan'shi
我找不来,wo'zhao'bu'lai
我这一段,wo'zhe'yi'duan
我走类,wo'zou'lei
五高,wu'gao
五股路,wu'gu'lu
武汉路,wu'han'lu
武汉南路,wu'han'nan'lu
吴家刀削面,wu'jia'dao'xiao'mian
五女冢,wu'nv'zhong
五三七,wu'san'qi
五三四,wu'san'si
五头,wu'tou
五头镇,wu'tou'zhen
午托班,wu'tuo'ban
西亳市场,xi'bo'shi'chang
吸根烟,xi'gen'yan
西工,xi'gong
西工的,xi'gong'de
西工区,xi'gong'qu
西工体育场,xi'gong'ti'yu'chang
西虢,xi'guo
嘻哈帮,xi'ha'bang
西湖春天,xi'hu'chun'tian
西花坛,xi'hua'tan
洗了了,xi'le'le
西山底,xi'shan'di
西泰山,xi'tai'shan
西下池,xi'xia'chi
洗浴城,xi'yu'cheng
西苑公园,xi'yuan'gong'yuan
西苑路,xi'yuan'lu
西苑桥,xi'yuan'qiao
下班秒,xia'ban'miao
下不成,xia'bu'cheng
下池,xia'chi
下的可大,xia'de'ke'da
下工,xia'gong
下沟,xia'gou
瞎好,xia'hao
下劲,xia'jin
下可大,xia'ke'da
瞎喷,xia'pen
下午去学,xia'wu'qu'xue
下午有事没,xia'wu'you'shi'mei
下园,xia'yuan
下真大,xia'zhen'da
