阿拉办事处,a'la'ban'shi'chu
南屏街东口南,nan'ping'jie'dong'kou'nan
南屏街东口南边,nan'ping'jie'dong'kou'nan'bian
南屏街西口,nan'ping'jie'xi'kou
南三环,nan'san'huan
南三环路,nan'san'huan'lu
南三环路口,nan'san'huan'lu'kou
南亚,nan'ya
南亚风情园,nan'ya'feng'qing'yuan
南苑,nan'yuan
南诏苑,nan'zhao'yuan
倪家营,ni'jia'ying
倪家营北,ni'jia'ying'bei
牛街庄,niu'jie'zhuang
牛街庄村,niu'jie'zhuang'cun
牛恋乡,niu'lian'xiang
农科院花卉所,nong'ke'yuan'hua'hui'suo
农贸市场,nong'mao'shi'chang
农学院,nong'xue'yuan
农药厂,nong'yao'chang
爬齿山,pa'chi'shan
排连村,pai'lian'cun
排连村口,pai'lian'cun'kou
潘家湾,pan'jia'wan
盘江西路,pan'jiang'xi'lu
盘江西路北段,pan'jiang'xi'lu'bei'duan
盘江西路口,pan'jiang'xi'lu'kou
盘龙小学,pan'long'xiao'xue
跑马山,pao'ma'shan
跑马山中段,pao'ma'shan'zhong'duan
皮肤病医院,pi'fu'bing'yi'yuan
平桥村,ping'qiao'cun
普吉,pu'ji
普吉街道办事处,pu'ji'jie'dao'ban'shi'chu
普吉农贸市场,pu'ji'nong'mao'shi'chang
普吉收费站,pu'ji'shou'fei'zhan
普吉小学,pu'ji'xiao'xue
普坪村,pu'ping'cun
普照村,pu'zhao'cun
普照小村,pu'zhao'xiao'cun
普自村,pu'zi'cun
七彩云南,qi'cai'yun'nan
汽车客运北站,qi'che'ke'yun'bei'zhan
七公里,qi'gong'li
气象路,qi'xiang'lu
气象路口,qi'xiang'lu'kou
千亩梨园路口,qian'mu'li'yuan'lu'kou
前卫茶叶市场,qian'wei'cha'ye'shi'chang
前卫西路,qian'wei'xi'lu
前卫西路南口,qian'wei'xi'lu'nan'kou
前卫西路中段,qian'wei'xi'lu'zhong'duan
前卫营,qian'wei'ying
前卫镇,qian'wei'zhen
千禧龙庭,qian'xi'long'ting
前新路口,qian'xin'lu'kou
前兴路,qian'xing'lu
桥钢,qiao'gang
轻机厂,qing'ji'chang
晴朗云安小区,qing'lang'yun'an'xiao'qu
青龙村,qing'long'cun
青龙山,qing'long'shan
青龙水库,qing'long'shui'ku
青年路,qing'nian'lu
青年路口,qing'nian'lu'kou
清水河村,qing'shui'he'cun
青云街,qing'yun'jie
筇竹寺,qiong'zhu'si
秋苑小区,qiu'yuan'xiao'qu
人民东路,ren'min'dong'lu
人民东路口,ren'min'dong'lu'kou
人民西路,ren'min'xi'lu
人民西路口,ren'min'xi'lu'kou
人民新村,ren'min'xin'cun
人民中路,ren'min'zhong'lu
人民中路口,ren'min'zhong'lu'kou
人行培训中心,ren'xing'pei'xun'zhong'xin
日新村,ri'xin'cun
日新村中段,ri'xin'cun'zhong'duan
日新工业区,ri'xin'gong'ye'qu
日新路,ri'xin'lu
日新路口,ri'xin'lu'kou
日新西路,ri'xin'xi'lu
日新西路口,ri'xin'xi'lu'kou
日新小区,ri'xin'xiao'qu
日新中路,ri'xin'zhong'lu
荣军康复医院,rong'jun'kang'fu'yi'yuan
如安街,ru'an'jie
如意公园,ru'yi'gong'yuan
如意西路口,ru'yi'xi'lu'kou
如意中路,ru'yi'zhong'lu
三岔口,san'cha'kou
三岔口村,san'cha'kou'cun
三公里,san'gong'li
三号路,san'hao'lu
三级桥,san'ji'qiao
三家村,san'jia'cun
三家巷,san'jia'xiang
三江口,san'jiang'kou
三铝路口,san'lv'lu'kou
三农场,san'nong'chang
三十一中,san'shi'yi'zhong
沙坝营,sha'ba'ying
沙锅村,sha'guo'cun
沙靠村,sha'kao'cun
沙靠村南口,sha'kao'cun'nan'kou
沙朗白族街,sha'lang'bai'zu'jie
沙朗乡,sha'lang'xiang
上坝村,shang'ba'cun
上坝村口,shang'ba'cun'kou
上冲村,shang'chong'cun
上可乐村口,shang'ke'le'cun'kou
上马新村,shang'ma'xin'cun
上苜蓿村上段,shang'mu'xu'cun'shang'duan
上苜蓿村下段,shang'mu'xu'cun'xia'duan
上四甲,shang'si'jia
上五甲,shang'wu'jia
上五甲村口,shang'wu'jia'cun'kou
上窑,shang'yao
上庄,shang'zhuang
省二监,sheng'er'jian
省高院,sheng'gao'yuan
省高院南口,sheng'gao'yuan'nan'kou
省公安厅,sheng'gong'an'ting
省精神病医院,sheng'jing'shen'bing'yi'yuan
省精神病院,sheng'jing'shen'bing'yuan
省旧车报废接收中心,sheng'jiu'che'bao'fei'jie'shou'zhong'xin
省农科院花卉所,sheng'nong'ke'yuan'hua'hui'suo
省汽修一厂,sheng'qi'xiu'yi'chang
省轻工学校,sheng'qing'gong'xue'xiao
省人才市场,sheng'ren'cai'shi'chang
省人民医院,sheng'ren'min'yi'yuan
省体育馆,sheng'ti'yu'guan
省图书馆,sheng'tu'shu'guan
省委党校,sheng'wei'dang'xiao
省现代妇产科医院,sheng'xian'dai'fu'chan'ke'yi'yuan
省医药卫生国际交流中心,sheng'yi'yao'wei'sheng'guo'ji'jiao'liu'zhong'xin
省政府,sheng'zheng'fu
石安公路,shi'an'gong'lu
世博大厦,shi'bo'da'sha
世博花园酒店,shi'bo'hua'yuan'jiu'dian
世博吉鑫园,shi'bo'ji'xin'yuan
市博物馆,shi'bo'wu'guan
世博园,shi'bo'yuan
世博园北门,shi'bo'yuan'bei'men
师大金源学校,shi'da'jin'yuan'xue'xiao
师大世博学院,shi'da'shi'bo'xue'yuan
时代风华小区,shi'dai'feng'hua'xiao'qu
市第三人民医院,shi'di'san'ren'min'yi'yuan
市第一人民医院,shi'di'yi'ren'min'yi'yuan
十二棵橡树庄园小区,shi'er'ke'xiang'shu'zhuang'yuan'xiao'qu
石关村,shi'guan'cun
石关村口,shi'guan'cun'kou
石虎关立交桥,shi'hu'guan'li'jiao'qiao
世纪城,shi'ji'cheng
世纪城车场,shi'ji'cheng'che'chang
世纪广场,shi'ji'guang'chang
石咀村,shi'ju'cun
实力郡城,shi'li'jun'cheng
十里铺,shi'li'pu
石龙坝,shi'long'ba
食品厂,shi'pin'chang
市人民医院,shi'ren'min'yi'yuan
十四冶生活区,shi'si'ye'sheng'huo'qu
市体育馆,shi'ti'yu'guan
市委党校,shi'wei'dang'xiao
实验中学,shi'yan'zhong'xue
石油宾馆,shi'you'bin'guan
石闸立交桥,shi'zha'li'jiao'qiao
石照壁,shi'zhao'bi
市政府,shi'zheng'fu
市中级法院,shi'zhong'ji'fa'yuan
市中级人民法院,shi'zhong'ji'ren'min'fa'yuan
十字路口,shi'zi'lu'kou
市总工会,shi'zong'gong'hui
书林街,shu'lin'jie
书林街南口,shu'lin'jie'nan'kou
双村,shuang'cun
双凤东路,shuang'feng'dong'lu
双凤东路口,shuang'feng'dong'lu'kou
双凤路,shuang'feng'lu
双龙桥,shuang'long'qiao
双龙商场,shuang'long'shang'chang
双龙乡,shuang'long'xiang
双龙乡政府,shuang'long'xiang'zheng'fu
双桥村,shuang'qiao'cun
双桥路口,shuang'qiao'lu'kou
水海子部队,shui'hai'zi'bu'dui
水洁箐新村,shui'jie'jing'xin'cun
水晶堡,shui'jing'bao
水库,shui'ku
水库坝埂,shui'ku'ba'geng
水利学校,shui'li'xue'xiao
水逸康桥小区,shui'yi'kang'qiao'xiao'qu
四甲,si'jia
司家营,si'jia'ying
四十三医院,si'shi'san'yi'yuan
苏家村,su'jia'cun
苏家村口,su'jia'cun'kou
苏家村口省委党校,su'jia'cun'kou'sheng'wei'dang'xiao
苏家塘,su'jia'tang
蒜村,suan'cun
孙家湾,sun'jia'wan
太村,tai'cun
太家地,tai'jia'di
太家河,tai'jia'he
太平村,tai'ping'cun
太平路口,tai'ping'lu'kou
太平寺,tai'ping'si
太平寺村,tai'ping'si'cun
太史村,tai'shi'cun
探春苑,tan'chun'yuan
昙华寺,tan'hua'si
昙华寺后门,tan'hua'si'hou'men
昙晓路下段,tan'xiao'lu'xia'duan
昙晓路中段,tan'xiao'lu'zhong'duan
碳窑村,tan'yao'cun
塘子巷,tang'zi'xiang
陶家湾,tao'jia'wan
陶李村,tao'li'cun
桃树村,tao'shu'cun
桃园大村,tao'yuan'da'cun
天和大酒店,tian'he'da'jiu'dian
田家地,tian'jia'di
天文台,tian'wen'tai
田园路,tian'yuan'lu
天泽园,tian'ze'yuan
铁路岔口,tie'lu'cha'kou
同德星河嘉园小区,tong'de'xing'he'jia'yuan'xiao'qu
土桥,tu'qiao
土桥村,tu'qiao'cun
土桥路口,tu'qiao'lu'kou
团结镇白族园,tuan'jie'zhen'bai'zu'yuan
团结镇和平村,tuan'jie'zhen'he'ping'cun
团结镇镇政府,tuan'jie'zhen'zhen'zheng'fu
团结镇政府,tuan'jie'zhen'zheng'fu
团山后所,tuan'shan'hou'suo
万达大道,wan'da'da'dao
万宏路,wan'hong'lu
万宏路口,wan'hong'lu'kou
万华路,wan'hua'lu
万景路,wan'jing'lu
望城坡,wang'cheng'po
望春路,wang'chun'lu
望春苑,wang'chun'yuan
王大桥,wang'da'qiao
王家桥,wang'jia'qiao
王家桥南口,wang'jia'qiao'nan'kou
王家营,wang'jia'ying
王旗营,wang'qi'ying
王筇路,wang'qiong'lu
王筇路东口,wang'qiong'lu'dong'kou
王筇路口,wang'qiong'lu'kou
王筇路西段,wang'qiong'lu'xi'duan
王筇路中段,wang'qiong'lu'zhong'duan
望朔村,wang'shuo'cun
威远街,wei'yuan'jie
文博路,wen'bo'lu
文林街,wen'lin'jie
文庙,wen'miao
温泉,wen'quan
蕰莎堡,wen'sha'bao
温馨家园,wen'xin'jia'yuan
文艺路,wen'yi'lu
文云路,wen'yun'lu
五公司院内,wu'gong'si'yuan'nei
五华广场,wu'hua'guang'chang
五华监狱,wu'hua'jian'yu
五华区委党校,wu'hua'qu'wei'dang'xiao
五家堆村,wu'jia'dui'cun
五甲河,wu'jia'he
吴家营,wu'jia'ying
武警黄金支队,wu'jing'huang'jin'zhi'dui
吴井路,wu'jing'lu
吴井路口,wu'jing'lu'kou
吴井桥,wu'jing'qiao
武警医院,wu'jing'yi'yuan
五腊村,wu'la'cun
五腊村东,wu'la'cun'dong
五腊村西,wu'la'cun'xi
五腊村中,wu'la'cun'zhong
五里多村,wu'li'duo'cun
乌龙村,wu'long'cun
乌龙村口,wu'long'cun'kou
五钠厂大桥,wu'na'chang'da'qiao
五三三医院,wu'san'san'yi'yuan
污水厂,wu'shui'chang
邬小村,wu'xiao'cun
五星湖岔口,wu'xing'hu'cha'kou
五一路,wu'yi'lu
吴雨路口,wu'yu'lu'kou
西坝,xi'ba
西坝路,xi'ba'lu
西坝路口,xi'ba'lu'kou
西白沙河,xi'bai'sha'he
西北部客运枢纽站,xi'bei'bu'ke'yun'shu'niu'zhan
溪波村,xi'bo'cun
西部客运站,xi'bu'ke'yun'zhan
西部石材城,xi'bu'shi'cai'cheng
西昌路,xi'chang'lu
西冲村,xi'chong'cun
西冲小学,xi'chong'xiao'xue
惜春苑,xi'chun'yuan
西段,xi'duan
西二中,xi'er'zhong
西贡码头,xi'gong'ma'tou
西华街,xi'hua'jie
西华路,xi'hua'lu
西华小区,xi'hua'xiao'qu
西华园,xi'hua'yuan
西廊村,xi'lang'cun
西南水洲,xi'nan'shui'zhou
西区,xi'qu
西山二中,xi'shan'er'zhong
西山客运站,xi'shan'ke'yun'zhan
西山汽车客运站,xi'shan'qi'che'ke'yun'zhan
西山区党校,xi'shan'qu'dang'xiao
西山区委党校,xi'shan'qu'wei'dang'xiao
西山区政府,xi'shan'qu'zheng'fu
西山一中,xi'shan'yi'zhong
西市区干菜批发市场,xi'shi'qu'gan'cai'pi'fa'shi'chang
西寺塔,xi'si'ta
西邑村,xi'yi'cun
洗衣粉厂,xi'yi'fen'chang
西苑客运站,xi'yuan'ke'yun'zhan
西苑立交桥,xi'yuan'li'jiao'qiao
西园路,xi'yuan'lu
西园路口,xi'yuan'lu'kou
西园南路,xi'yuan'nan'lu
西岳庙,xi'yue'miao
西站,xi'zhan
席子营,xi'zi'ying
下冲村,xia'chong'cun
下河埂,xia'he'geng
下可乐村口,xia'ke'le'cun'kou
下马村,xia'ma'cun
下马新村,xia'ma'xin'cun
下四甲,xia'si'jia
下窑,xia'yao
现代妇产科医院,xian'dai'fu'chan'ke'yi'yuan
向化村,xiang'hua'cun
橡胶六厂,xiang'jiao'liu'chang
小坝,xiao'ba
小坝立交桥,xiao'ba'li'jiao'qiao
小板桥,xiao'ban'qiao
小菜园,xiao'cai'yuan
小菜园立交桥,xiao'cai'yuan'li'jiao'qiao
小厂村,xiao'chang'cun
小村,xiao'cun
小村果园,xiao'cun'guo'yuan
晓东村北,xiao'dong'cun'bei
晓东村南,xiao'dong'cun'nan
晓东村中段,xiao'dong'cun'zhong'duan
小海口,xiao'hai'kou
小河埂,xiao'he'geng
小河路,xiao'he'lu
小花园,xiao'hua'yuan
小街,xiao'jie
小康路口,xiao'kang'lu'kou
小李家场,xiao'li'jia'chang
小洛羊东,xiao'luo'yang'dong
小洛羊西,xiao'luo'yang'xi
小绿水河,xiao'lv'shui'he
小麦溪,xiao'mai'xi
小梅子村,xiao'mei'zi'cun
晓明村,xiao'ming'cun
小墨雨,xiao'mo'yu
小普照村,xiao'pu'zhao'cun
小桥村,xiao'qiao'cun
小哨村,xiao'shao'cun
小石坝,xiao'shi'ba
小石坝收费站,xiao'shi'ba'shou'fei'zhan
小石坝下段,xiao'shi'ba'xia'duan
小石坝中段,xiao'shi'ba'zhong'duan
小王家营,xiao'wang'jia'ying
小王家营村,xiao'wang'jia'ying'cun
小王家营村口,xiao'wang'jia'ying'cun'kou
小西门,xiao'xi'men
小新村,xiao'xin'cun
小月角村,xiao'yue'jiao'cun
小庄村,xiao'zhuang'cun
新巴南部公司,xin'ba'nan'bu'gong'si
新宝象河桥,xin'bao'xiang'he'qiao
新大新百货,xin'da'xin'bai'huo
新二,xin'er
新镁铝加工厂,xin'mei'lv'jia'gong'chang
新南站,xin'nan'zhan
新农村,xin'nong'cun
新闻路,xin'wen'lu
新闻路口,xin'wen'lu'kou
新闻路西口,xin'wen'lu'xi'kou
新闻南路,xin'wen'nan'lu
信息产业基地,xin'xi'chan'ye'ji'di
信息产业基地展示厅,xin'xi'chan'ye'ji'di'zhan'shi'ting
新兴路,xin'xing'lu
新兴路口,xin'xing'lu'kou
新亚洲体育城,xin'ya'zhou'ti'yu'cheng
新邑村,xin'yi'cun
新迎北路,xin'ying'bei'lu
新迎路,xin'ying'lu
新迎路口,xin'ying'lu'kou
新迎区,xin'ying'qu
鑫园小区,xin'yuan'xiao'qu
兴呈路口,xing'cheng'lu'kou
幸福家园小区,xing'fu'jia'yuan'xiao'qu
兴隆村,xing'long'cun
兴体路,xing'ti'lu
星天地商业广场,xing'tian'di'shang'ye'guang'chang
兴苑路,xing'yuan'lu
兴苑路口,xing'yuan'lu'kou
秀苑路,xiu'yuan'lu
学府路,xue'fu'lu
学府路口,xue'fu'lu'kou
巡津街,xun'jin'jie
亚龙小区,ya'long'xiao'qu
延安医院,yan'an'yi'yuan
延安医院分院,yan'an'yi'yuan'fen'yuan
烟草科技园,yan'cao'ke'ji'yuan
烟草路,yan'cao'lu
烟草路口,yan'cao'lu'kou
严家村,yan'jia'cun
严家地,yan'jia'di
羊肠大村北,yang'chang'da'cun'bei
羊肠大村南,yang'chang'da'cun'nan
杨二甲村,yang'er'jia'cun
羊方凹,yang'fang'ao
羊方旺,yang'fang'wang
羊甫车场,yang'fu'che'chang
羊甫村,yang'fu'cun
阳光果香小区,yang'guang'guo'xiang'xiao'qu
阳光海岸别墅区,yang'guang'hai'an'bie'shu'qu
阳光花园小区,yang'guang'hua'yuan'xiao'qu
阳光中路口,yang'guang'zhong'lu'kou
杨家地,yang'jia'di
杨家营,yang'jia'ying
杨家中心学校,yang'jia'zhong'xin'xue'xiao
羊角村,yang'jiao'cun
杨林港,yang'lin'gang
杨林职教园区,yang'lin'zhi'jiao'yuan'qu
杨柳庄,yang'liu'zhuang
羊仙坡,yang'xian'po
羊仙坡北路,yang'xian'po'bei'lu
羊仙坡北路口,yang'xian'po'bei'lu'kou
耀龙康城,yao'long'kang'cheng
冶金工校,ye'jin'gong'xiao
冶炼厂,ye'lian'chang
野生动物园,ye'sheng'dong'wu'yuan
野生动物园路口,ye'sheng'dong'wu'yuan'lu'kou
野鸭湖旅游度假区,ye'ya'hu'lv'you'du'jia'qu
亿春苑,yi'chun'yuan
一二一数码城,yi'er'yi'shu'ma'cheng
颐华路,yi'hua'lu
颐华路口,yi'hua'lu'kou
怡康新村,yi'kang'xin'cun
矣六,yi'liu
一六九油库,yi'liu'jiu'you'ku
益宁路,yi'ning'lu
益宁路口,yi'ning'lu'kou
艺术剧院,yi'shu'ju'yuan
一窝羊,yi'wo'yang
银海森林,yin'hai'sen'lin
银海山水间小区,yin'hai'shan'shui'jian'xiao'qu
银河大道,yin'he'da'dao
银河路口,yin'he'lu'kou
银河星辰花园,yin'he'xing'chen'hua'yuan
银河证券,yin'he'zheng'quan
殷家村,yin'jia'cun
印染厂,yin'ran'chang
银苑小区,yin'yuan'xiao'qu
迎宾路,ying'bin'lu
迎春苑,ying'chun'yuan
迎海路,ying'hai'lu
永昌小区,yong'chang'xiao'qu
咏春苑,yong'chun'yuan
永和里南,yong'he'li'nan
永和里西,yong'he'li'xi
永乐路,yong'le'lu
永平路,yong'ping'lu
永平路口,yong'ping'lu'kou
永胜村,yong'sheng'cun
永胜村三组,yong'sheng'cun'san'zu
永胜村委会,yong'sheng'cun'wei'hui
永胜村一组,yong'sheng'cun'yi'zu
永胜路,yong'sheng'lu
油管桥,you'guan'qiao
有谊村,you'yi'cun
右营,you'ying
右营村,you'ying'cun
玉案山,yu'an'shan
鱼翅路口,yu'chi'lu'kou
玉春苑,yu'chun'yuan
渔村,yu'cun
渔村上村,yu'cun'shang'cun
渔堆村,yu'dui'cun
雨花大村,yu'hua'da'cun
雨花小村,yu'hua'xiao'cun
雨花校区,yu'hua'xiao'qu
余家村,yu'jia'cun
雨龙村,yu'long'cun
雨龙村口,yu'long'cun'kou
雨树上村,yu'shu'shang'cun
雨树下村,yu'shu'xia'cun
园博路,yuan'bo'lu
元春苑,yuan'chun'yuan
远郊班车站,yuan'jiao'ban'che'zhan
院内,yuan'nei
圆通北路,yuan'tong'bei'lu
圆通北路口,yuan'tong'bei'lu'kou
圆通东路,yuan'tong'dong'lu
圆通街,yuan'tong'jie
圆通街口,yuan'tong'jie'kou
圆通山,yuan'tong'shan
圆通寺,yuan'tong'si
圆通西路,yuan'tong'xi'lu
月牙塘公园,yue'ya'tang'gong'yuan
月牙塘小区,yue'ya'tang'xiao'qu
月牙塘小区南门,yue'ya'tang'xiao'qu'nan'men
云安会都,yun'an'hui'dou
云波村,yun'bo'cun
云波五社,yun'bo'wu'she
云波新村,yun'bo'xin'cun
云大滇池校区,yun'da'dian'chi'xiao'qu
云大西路,yun'da'xi'lu
云大西路口,yun'da'xi'lu'kou
云纺,yun'fang
云海山水间小区,yun'hai'shan'shui'jian'xiao'qu
云检培训中心,yun'jian'pei'xun'zhong'xin
云龙村,yun'long'cun
云龙村口,yun'long'cun'kou
云龙桥头,yun'long'qiao'tou
云旅客运站,yun'lv'ke'yun'zhan
云南财经大学,yun'nan'cai'jing'da'xue
云南茶叶市场,yun'nan'cha'ye'shi'chang
云南大学,yun'nan'da'xue
云南妇产科医院,yun'nan'fu'chan'ke'yi'yuan
云南妇女儿童医院,yun'nan'fu'nv'er'tong'yi'yuan
云南航天,yun'nan'hang'tian
云南化工机械厂,yun'nan'hua'gong'ji'xie'chang
云南九洲医院,yun'nan'jiu'zhou'yi'yuan
云南康乐茶文化城,yun'nan'kang'le'cha'wen'hua'cheng
云南昆明血液中心,yun'nan'kun'ming'xue'ye'zhong'xin
云南磷肥厂大桥,yun'nan'lin'fei'chang'da'qiao
云南旅游学校,yun'nan'lv'you'xue'xiao
云南民族博物馆,yun'nan'min'zu'bo'wu'guan
云南民族村,yun'nan'min'zu'cun
云南民族大学,yun'nan'min'zu'da'xue
云南农业大学,yun'nan'nong'ye'da'xue
云南汽车交易市场,yun'nan'qi'che'jiao'yi'shi'chang
云南仁爱医院,yun'nan'ren'ai'yi'yuan
云南日报社,yun'nan'ri'bao'she
云南省农科院,yun'nan'sheng'nong'ke'yuan
云南省中医院,yun'nan'sheng'zhong'yi'yuan
云南师范大学,yun'nan'shi'fan'da'xue
云南体育学院,yun'nan'ti'yu'xue'yuan
云南现代妇产科医院,yun'nan'xian'dai'fu'chan'ke'yi'yuan
云南冶炼厂,yun'nan'ye'lian'chang
云南邮电宾馆,yun'nan'you'dian'bin'guan
云南云南邮电宾馆,yun'nan'yun'nan'you'dian'bin'guan
云南中医学院,yun'nan'zhong'yi'xue'yuan
云南铸造厂,yun'nan'zhu'zao'chang
云山路,yun'shan'lu
云师大龙泉路校区,yun'shi'da'long'quan'lu'xiao'qu
云师大龙泉校区,yun'shi'da'long'quan'xiao'qu
云师大文理学院,yun'shi'da'wen'li'xue'yuan
云铜时代年华小区,yun'tong'shi'dai'nian'hua'xiao'qu
云锡小区,yun'xi'xiao'qu
云兴路,yun'xing'lu
云冶生活区,yun'ye'sheng'huo'qu
沾北村,zhan'bei'cun
站前广场,zhan'qian'guang'chang
站前路,zhan'qian'lu
张官营,zhang'guan'ying
张官营南口,zhang'guan'ying'nan'kou
张家村,zhang'jia'cun
张家庙村,zhang'jia'miao'cun
张西营,zhang'xi'ying
张溪营,zhang'xi'ying
招呼站,zhao'hu'zhan
赵家村,zhao'jia'cun
赵家堆,zhao'jia'dui
照西村,zhao'xi'cun
昭宗村委会,zhao'zong'cun'wei'hui
昭宗大村,zhao'zong'da'cun
昭宗路,zhao'zong'lu
昭宗路口,zhao'zong'lu'kou
昭宗彝族村,zhao'zong'yi'zu'cun
昭宗彝族村口,zhao'zong'yi'zu'cun'kou
振华制药厂,zhen'hua'zhi'yao'chang
正和小区,zheng'he'xiao'qu
正义路,zheng'yi'lu
正义路口,zheng'yi'lu'kou
织布营,zhi'bu'ying
植物园北门,zhi'wu'yuan'bei'men
中坝村,zhong'ba'cun
中坝村口,zhong'ba'cun'kou
中宝桥头,zhong'bao'qiao'tou
中林建材北门,zhong'lin'jian'cai'bei'men
中林建财东门,zhong'lin'jian'cai'dong'men
中苜蓿村,zhong'mu'xu'cun
中苜蓿村村口,zhong'mu'xu'cun'cun'kou
中滩街中段,zhong'tan'jie'zhong'duan
中卫,zhong'wei
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中心街,zhong'xin'jie
中心街桥头,zhong'xin'jie'qiao'tou
中谊村,zhong'yi'cun
中营东,zhong'ying'dong
中营西,zhong'ying'xi
中闸,zhong'zha
中庄六号路二号站,zhong'zhuang'liu'hao'lu'er'hao'zhan
中庄六号路三号站,zhong'zhuang'liu'hao'lu'san'hao'zhan
中庄六号路一号站,zhong'zhuang'liu'hao'lu'yi'hao'zhan
中庄十号路二号站,zhong'zhuang'shi'hao'lu'er'hao'zhan
中庄十号路口,zhong'zhuang'shi'hao'lu'kou
中庄十号路三号站,zhong'zhuang'shi'hao'lu'san'hao'zhan
中庄十号路一号站,zhong'zhuang'shi'hao'lu'yi'hao'zhan
周家村,zhou'jia'cun
朱家村,zhu'jia'cun
篆塘,zhuan'tang
砖瓦厂,zhuan'wa'chang
砖瓦厂前门,zhuan'wa'chang'qian'men
庄子,zhuang'zi
子君村,zi'jun'cun
子君村车场,zi'jun'cun'che'chang
自卫村,zi'wei'cun
自卫大村,zi'wei'da'cun
自卫小村,zi'wei'xiao'cun
宗龙箐,zong'long'jing
宗龙箐村口,zong'long'jing'cun'kou
棕树营,zong'shu'ying
