艾箱灸,ai'xiang'jiu
红光治疗,hong'guang'zhi'liao
虹膜根部离断修复术,hong'mo'gen'bu'li'duan'xiu'fu'shu
虹膜贯穿术,hong'mo'guan'chuan'shu
虹膜囊肿切除术,hong'mo'nang'zhong'qie'chu'shu
虹膜全切除术,hong'mo'quan'qie'chu'shu
虹膜周边切除术,hong'mo'zhou'bian'qie'chu'shu
红皮病清消术,hong'pi'bing'qing'xiao'shu
红外热像检查,hong'wai're'xiang'jian'cha
红外线乳腺检查,hong'wai'xian'ru'xian'jian'cha
红外线治疗,hong'wai'xian'zhi'liao
红细胞包涵体检查,hong'xi'bao'bao'han'ti'jian'cha
红细胞参数平均值测定,hong'xi'bao'can'shu'ping'jun'zhi'ce'ding
红细胞电泳测定,hong'xi'bao'dian'yong'ce'ding
红细胞孵育渗透脆性试验,hong'xi'bao'fu'yu'shen'tou'cui'xing'shi'yan
红细胞滚动试验,hong'xi'bao'gun'dong'shi'yan
红细胞花环试验,hong'xi'bao'hua'huan'shi'yan
红细胞九分图分析,hong'xi'bao'jiu'fen'tu'fen'xi
红细胞镰变试验,hong'xi'bao'lian'bian'shi'yan
红细胞流变特性检测,hong'xi'bao'liu'bian'te'xing'jian'ce
红细胞膜蛋白电泳测定,hong'xi'bao'mo'dan'bai'dian'yong'ce'ding
红细胞破坏部位测定,hong'xi'bao'po'huai'bu'wei'ce'ding
红细胞渗透脆性试验,hong'xi'bao'shen'tou'cui'xing'shi'yan
红细胞寿命测定,hong'xi'bao'shou'ming'ce'ding
红细胞系统血型抗体致新生儿溶血病检测,hong'xi'bao'xi'tong'xue'xing'kang'ti'zhi'xin'sheng'er'rong'xue'bing'jian'ce
红细胞游离原卟啉测定,hong'xi'bao'you'li'yuan'bu'lin'ce'ding
红细胞自身溶血过筛试验,hong'xi'bao'zi'shen'rong'xue'guo'shai'shi'yan
红细胞自身溶血及纠正试验,hong'xi'bao'zi'shen'rong'xue'ji'jiu'zheng'shi'yan
喉瘢痕狭窄扩张术,hou'ban'hen'xia'zhai'kuo'zhang'shu
后鼻孔成形术,hou'bi'kong'cheng'xing'shu
后鼻孔填塞,hou'bi'kong'tian'sai
喉部神经肌蒂移植术,hou'bu'shen'jing'ji'di'yi'zhi'shu
喉次全切除术,hou'ci'quan'qie'chu'shu
喉电图测试,hou'dian'tu'ce'shi
喉动态镜检查,hou'dong'tai'jing'jian'cha
喉返神经探查术,hou'fan'shen'jing'tan'cha'shu
喉功能重建术,hou'gong'neng'chong'jian'shu
喉及气管手术,hou'ji'qi'guan'shou'shu
喉良性肿瘤切除术,hou'liang'xing'zhong'liu'qie'chu'shu
喉裂开声带切除术,hou'lie'kai'sheng'dai'qie'chu'shu
喉裂开肿瘤切除术,hou'lie'kai'zhong'liu'qie'chu'shu
后路腰椎椎板及附件肿瘤切除术,hou'lu'yao'zhui'zhui'ban'ji'fu'jian'zhong'liu'qie'chu'shu
喉频谱仪检查,hou'pin'pu'yi'jian'cha
喉气管裂开瘢痕切除喉模置入术,hou'qi'guan'lie'kai'ban'hen'qie'chu'hou'mo'zhi'ru'shu
喉气管外伤缝合成形术,hou'qi'guan'wai'shang'feng'he'cheng'xing'shu
喉气管狭窄支架成形术,hou'qi'guan'xia'zhai'zhi'jia'cheng'xing'shu
后穹窿穿刺术,hou'qiong'long'chuan'ci'shu
后穹窿损伤缝合术,hou'qiong'long'sun'shang'feng'he'shu
喉全切除术,hou'quan'qie'chu'shu
喉全切除术后发音管安装术,hou'quan'qie'chu'shu'hou'fa'yin'guan'an'zhuang'shu
后入路环枢减压植骨融合固定术,hou'ru'lu'huan'shu'jian'ya'zhi'gu'rong'he'gu'ding'shu
后入路环枢椎植骨融合术,hou'ru'lu'huan'shu'zhui'zhi'gu'rong'he'shu
后入路枢环枕融合植骨固定术,hou'ru'lu'shu'huan'zhen'rong'he'zhi'gu'gu'ding'shu
喉上神经封闭术,hou'shang'shen'jing'feng'bi'shu
喉声图,hou'sheng'tu
喉狭窄经口扩张及喉模置入术,hou'xia'zhai'jing'kou'kuo'zhang'ji'hou'mo'zhi'ru'shu
后像治疗,hou'xiang'zhi'liao
后牙纵折固定术,hou'ya'zong'zhe'gu'ding'shu
壶腹部肿瘤局部切除术,hu'fu'bu'zhong'liu'ju'bu'qie'chu'shu
护架烤灯,hu'jia'kao'deng
虎口成形术,hu'kou'cheng'xing'shu
呼吸道合胞病毒抗体测定,hu'xi'dao'he'bao'bing'du'kang'ti'ce'ding
呼吸道合胞病毒抗原测定,hu'xi'dao'he'bao'bing'du'kang'yuan'ce'ding
呼吸机辅助呼吸,hu'xi'ji'fu'zhu'hu'xi
呼吸肌功能测定,hu'xi'ji'gong'neng'ce'ding
呼吸系统窥镜诊疗,hu'xi'xi'tong'kui'jing'zhen'liao
呼吸系统其他诊疗,hu'xi'xi'tong'qi'ta'zhen'liao
胡须再造术,hu'xu'zai'zao'shu
滑板椎弓根钉复位植骨内固定术,hua'ban'zhui'gong'gen'ding'fu'wei'zhi'gu'nei'gu'ding'shu
滑车重建术,hua'che'chong'jian'shu
踝关节融合手术,huai'guan'jie'rong'he'shou'shu
踝关节稳定手术,huai'guan'jie'wen'ding'shou'shu
环杓关节复位术,huan'biao'guan'jie'fu'wei'shu
环杓关节间接拨动术,huan'biao'guan'jie'jian'jie'bo'dong'shu
环杓关节直接拨动术,huan'biao'guan'jie'zhi'jie'bo'dong'shu
环甲间距缩短术,huan'jia'jian'ju'suo'duan'shu
环甲膜穿刺术,huan'jia'mo'chuan'ci'shu
环甲膜切开术,huan'jia'mo'qie'kai'shu
环枢椎侧块螺钉内固定术,huan'shu'zhui'ce'kuai'luo'ding'nei'gu'ding'shu
环枕畸形减压术,huan'zhen'ji'xing'jian'ya'shu
环指岛状皮瓣术,huan'zhi'dao'zhuang'pi'ban'shu
环状混合痔切除术,huan'zhuang'hun'he'zhi'qie'chu'shu
环状胰腺十二指肠侧侧吻合术,huan'zhuang'yi'xian'shi'er'zhi'chang'ce'ce'wen'he'shu
黄斑裂孔封闭术,huang'ban'lie'kong'feng'bi'shu
黄斑裂孔注气术,huang'ban'lie'kong'zhu'qi'shu
黄斑前膜术,huang'ban'qian'mo'shu
黄斑下膜取出术,huang'ban'xia'mo'qu'chu'shu
黄斑转位,huang'ban'zhuan'wei
黄金材料加工,huang'jin'cai'liao'jia'gong
回肠扩大膀胱术,hui'chang'kuo'da'pang'guang'shu
回肠膀胱术,hui'chang'pang'guang'shu
会厌良性肿瘤切除术,hui'yan'liang'xing'zhong'liu'qie'chu'shu
会厌脓肿切开引流术,hui'yan'nong'zhong'qie'kai'yin'liu'shu
会阴成形直肠前庭瘘修补术,hui'yin'cheng'xing'zhi'chang'qian'ting'lou'xiu'bu'shu
会阴肛门成形术,hui'yin'gang'men'cheng'xing'shu
会阴疝修补术,hui'yin'shan'xiu'bu'shu
会阴阴囊皮瓣尿道成型术,hui'yin'yin'nang'pi'ban'niao'dao'cheng'xing'shu
混合淋巴细胞培养,hun'he'lin'ba'xi'bao'pei'yang
混合痔嵌顿手法松解回纳术,hun'he'zhi'qian'dun'shou'fa'song'jie'hui'na'shu
混合痔外剥内扎术,hun'he'zhi'wai'bo'nei'zha'shu
活动矫治器复诊处置,huo'dong'jiao'zhi'qi'fu'zhen'chu'zhi
活动桥,huo'dong'qiao
活动性义眼眼座植入术,huo'dong'xing'yi'yan'yan'zuo'zhi'ru'shu
活化淋巴细胞测定,huo'hua'lin'ba'xi'bao'ce'ding
钬激光巩膜切除手术,huo'ji'guang'gong'mo'qie'chu'shou'shu
霍乱弧菌培养,huo'luan'hu'jun'pei'yang
活髓切断术,huo'sui'qie'duan'shu
活性测定,huo'xing'ce'ding
火针,huo'zhen
疾病健康教育,ji'bing'jian'kang'jiao'yu
基础麻醉,ji'chu'ma'zui
记存模型制备,ji'cun'mo'xing'zhi'bei
系带成形术,ji'dai'cheng'xing'shu
系带矫正术,ji'dai'jiao'zheng'shu
肌电图,ji'dian'tu
肌电图监测,ji'dian'tu'jian'ce
饥饿试验,ji'e'shi'yan
肌酐测定,ji'gan'ce'ding
激光重睑整形术,ji'guang'chong'jian'zheng'xing'shu
激光除皱术,ji'guang'chu'zhou'shu
激光口内治疗,ji'guang'kou'nei'zhi'liao
激光疗法,ji'guang'liao'fa
激光脱毛术,ji'guang'tuo'mao'shu
激光心肌打孔术,ji'guang'xin'ji'da'kong'shu
激光原位角膜磨镶术,ji'guang'yuan'wei'jiao'mo'mo'xiang'shu
激光针,ji'guang'zhen
激光治疗眼前节病,ji'guang'zhi'liao'yan'qian'jie'bing
激光治疗腋臭,ji'guang'zhi'liao'ye'chou
肌腱移植术,ji'jian'yi'zhi'shu
肌腱粘连松解术,ji'jian'zhan'lian'song'jie'shu
急救单独开舱治疗,ji'jiu'dan'du'kai'cang'zhi'liao
即刻义齿,ji'ke'yi'chi
肌肉注射,ji'rou'zhu'she
寄生虫镜检,ji'sheng'chong'jing'jian
寄生虫卵孵化试验,ji'sheng'chong'luan'fu'hua'shi'yan
寄生虫免疫学检查,ji'sheng'chong'mian'yi'xue'jian'cha
肌松弛治疗,ji'song'chi'zhi'liao
激素测定,ji'su'ce'ding
计算机嗓音疾病评估,ji'suan'ji'sang'yin'ji'bing'ping'gu
计算机言语疾病矫治,ji'suan'ji'yan'yu'ji'bing'jiao'zhi
脊髓动静脉畸形切除术,ji'sui'dong'jing'mai'ji'xing'qie'chu'shu
脊髓动脉造影术,ji'sui'dong'mai'zao'ying'shu
脊髓和神经根粘连松解术,ji'sui'he'shen'jing'gen'zhan'lian'song'jie'shu
脊髓空洞症内引流术,ji'sui'kong'dong'zheng'nei'yin'liu'shu
脊髓内病变切除术,ji'sui'nei'bing'bian'qie'chu'shu
脊髓前连合切断术,ji'sui'qian'lian'he'qie'duan'shu
脊髓丘脑束切断术,ji'sui'qiu'nao'shu'qie'duan'shu
脊髓栓系综合症手术,ji'sui'shuan'xi'zong'he'zheng'shou'shu
脊髓外露修补术,ji'sui'wai'lu'xiu'bu'shu
脊髓血管畸形栓塞术,ji'sui'xue'guan'ji'xing'shuan'se'shu
脊髓硬膜外病变切除术,ji'sui'ying'mo'wai'bing'bian'qie'chu'shu
脊髓蛛网膜下腔腹腔分流术,ji'sui'zhu'wang'mo'xia'qiang'fu'qiang'fen'liu'shu
脊髓蛛网膜下腔输尿管分流术,ji'sui'zhu'wang'mo'xia'qiang'shu'niao'guan'fen'liu'shu
急性坏死性龈炎局部清创,ji'xing'huai'si'xing'yin'yan'ju'bu'qing'chuang
急性膝关节前后十字韧带破裂修补术,ji'xing'xi'guan'jie'qian'hou'shi'zi'ren'dai'po'lie'xiu'bu'shu
肌性斜颈矫正术,ji'xing'xie'jing'jiao'zheng'shu
急性心肌梗塞灶显像,ji'xing'xin'ji'geng'se'zao'xian'xiang
急性腰扭伤推拿治疗,ji'xing'yao'niu'shang'tui'na'zhi'liao
鸡眼刮除术,ji'yan'gua'chu'shu
记忆广度检查,ji'yi'guang'du'jian'cha
记忆力评定,ji'yi'li'ping'ding
急诊观察床位费,ji'zhen'guan'cha'chuang'wei'fei
急诊监护费,ji'zhen'jian'hu'fei
急诊诊查费,ji'zhen'zhen'cha'fei
脊柱半椎体切除术,ji'zhu'ban'zhui'ti'qie'chu'shu
脊柱骨关节手术,ji'zhu'gu'guan'jie'shou'shu
脊柱内固定物取出术,ji'zhu'nei'gu'ding'wu'qu'chu'shu
脊柱椎间融合器植入植骨融合术,ji'zhu'zhui'jian'rong'he'qi'zhi'ru'zhi'gu'rong'he'shu
脊椎结核病灶清除术,ji'zhui'jie'he'bing'zao'qing'chu'shu
甲苯胺蓝纠正试验,jia'ben'an'lan'jiu'zheng'shi'yan
颊部恶性肿物局部扩大切除术,jia'bu'e'xing'zhong'wu'ju'bu'kuo'da'qie'chu'shu
颊部缺损修复术,jia'bu'que'sun'xiu'fu'shu
钾测定,jia'ce'ding
甲床修补术,jia'chuang'xiu'bu'shu
加磁性固位体,jia'ci'xing'gu'wei'ti
钾负荷试验,jia'fu'he'shi'yan
加焊,jia'han
加卡环,jia'ka'huan
加连接杆,jia'lian'jie'gan
伽玛刀治疗,jia'ma'dao'zhi'liao
加人工牙,jia'ren'gong'ya
家庭病床建床费,jia'ting'bing'chuang'jian'chuang'fei
家庭病床巡诊费,jia'ting'bing'chuang'xun'zhen'fei
家庭巡诊,jia'ting'xun'zhen
甲癣封包治疗,jia'xuan'feng'bao'zhi'liao
甲状旁腺癌根治术,jia'zhuang'pang'xian'ai'gen'zhi'shu
甲状旁腺大部切除术,jia'zhuang'pang'xian'da'bu'qie'chu'shu
甲状旁腺功能试验,jia'zhuang'pang'xian'gong'neng'shi'yan
甲状旁腺激素测定,jia'zhuang'pang'xian'ji'su'ce'ding
甲状旁腺细胞移植术,jia'zhuang'pang'xian'xi'bao'yi'zhi'shu
甲状旁腺腺瘤切除术,jia'zhuang'pang'xian'xian'liu'qie'chu'shu
甲状旁腺显像,jia'zhuang'pang'xian'xian'xiang
甲状旁腺移植术,jia'zhuang'pang'xian'yi'zhi'shu
甲状软骨成形术,jia'zhuang'ruan'gu'cheng'xing'shu
甲状舌管瘘切除术,jia'zhuang'she'guan'lou'qie'chu'shu
加装饰面,jia'zhuang'shi'mian
甲状腺癌根治术,jia'zhuang'xian'ai'gen'zhi'shu
甲状腺癌根治术联合胸骨劈开上纵膈清扫术,jia'zhuang'xian'ai'gen'zhi'shu'lian'he'xiong'gu'pi'kai'shang'zong'ge'qing'sao'shu
甲状腺癌扩大根治术,jia'zhuang'xian'ai'kuo'da'gen'zhi'shu
甲状腺部分切除术,jia'zhuang'xian'bu'fen'qie'chu'shu
甲状腺穿刺活检术,jia'zhuang'xian'chuan'ci'huo'jian'shu
甲状腺次全切除术,jia'zhuang'xian'ci'quan'qie'chu'shu
甲状腺激素抑制试验,jia'zhuang'xian'ji'su'yi'zhi'shi'yan
甲状腺激素抑制显像,jia'zhuang'xian'ji'su'yi'zhi'xian'xiang
甲状腺静态显像,jia'zhuang'xian'jing'tai'xian'xiang
甲状腺全切术,jia'zhuang'xian'quan'qie'shu
甲状腺突眼矫正术,jia'zhuang'xian'tu'yan'jiao'zheng'shu
甲状腺细胞移植术,jia'zhuang'xian'xi'bao'yi'zhi'shu
甲状腺血流显像,jia'zhuang'xian'xue'liu'xian'xiang
甲状腺有效半衰期测定,jia'zhuang'xian'you'xiao'ban'shuai'qi'ce'ding
睑凹陷畸形矫正术,jian'ao'xian'ji'xing'jiao'zheng'shu
睑板腺按摩,jian'ban'xian'an'mo
睑部泪腺摘除术,jian'bu'lei'xian'zhai'chu'shu
简单充填术,jian'dan'chong'tian'shu
碱负荷试验,jian'fu'he'shi'yan
肩关节离断术,jian'guan'jie'li'duan'shu
肩关节脱位切开复位术,jian'guan'jie'tuo'wei'qie'kai'fu'wei'shu
监护病房床位费,jian'hu'bing'fang'chuang'wei'fei
肩胛骨肿瘤肩胛骨全切除重建术,jian'jia'gu'zhong'liu'jian'jia'gu'quan'qie'chu'chong'jian'shu
肩胛胸部间离断术,jian'jia'xiong'bu'jian'li'duan'shu
间接鼻咽镜检查,jian'jie'bi'yan'jing'jian'cha
间接喉镜检查,jian'jie'hou'jing'jian'cha
间接抗人球蛋白试验,jian'jie'kang'ren'qiu'dan'bai'shi'yan
睑结膜伪膜去除冲洗,jian'jie'mo'wei'mo'qu'chu'chong'xi
健康咨询,jian'kang'zi'xun
建立健康档案,jian'li'jian'kang'dang'an
睑裂缝合术,jian'lie'feng'he'shu
艰难梭菌检查,jian'nan'suo'jun'jian'cha
睑内翻矫正术,jian'nei'fan'jiao'zheng'shu
腱鞘囊肿切除术,jian'qiao'nang'zhong'qie'chu'shu
睑球粘连分离术,jian'qiu'zhan'lian'fen'li'shu
肩锁关节脱位切开复位内固定术,jian'suo'guan'jie'tuo'wei'qie'kai'fu'wei'nei'gu'ding'shu
睑退缩矫正术,jian'tui'suo'jiao'zheng'shu
睑外翻矫正术,jian'wai'fan'jiao'zheng'shu
肩外展功能重建术,jian'wai'zhan'gong'neng'chong'jian'shu
睑下垂矫正联合眦整形术,jian'xia'chui'jiao'zheng'lian'he'zi'zheng'xing'shu
肩袖破裂修补术,jian'xiu'po'lie'xiu'bu'shu
煎药机煎药,jian'yao'ji'jian'yao
简易定位,jian'yi'ding'wei
简易凝血活酶生成试验,jian'yi'ning'xue'huo'mei'sheng'cheng'shi'yan
睑缘粘连术,jian'yuan'zhan'lian'shu
减重支持系统训练,jian'zhong'zhi'chi'xi'tong'xun'lian
肩周炎推拿治疗,jian'zhou'yan'tui'na'zhi'liao
降钙素测定,jiang'gai'su'ce'ding
焦痂开窗植皮术,jiao'jia'kai'chuang'zhi'pi'shu
角膜白斑染色术,jiao'mo'bai'ban'ran'se'shu
角膜拆线,jiao'mo'chai'xian
角膜地形图检查,jiao'mo'di'xing'tu'jian'cha
角膜缝环固定术,jiao'mo'feng'huan'gu'ding'shu
角膜刮片检查,jiao'mo'gua'pian'jian'cha
角膜厚度检查,jiao'mo'hou'du'jian'cha
角膜基质环植入术,jiao'mo'ji'zhi'huan'zhi'ru'shu
角膜溃疡灼烙术,jiao'mo'kui'yang'zhuo'lao'shu
角膜内皮镜检查,jiao'mo'nei'pi'jing'jian'cha
角膜曲率测量,jiao'mo'qu'lv'ce'liang
角膜深层异物取出术,jiao'mo'shen'ceng'yi'wu'qu'chu'shu
角膜手术,jiao'mo'shou'shu
角膜异物剔除术,jiao'mo'yi'wu'ti'chu'shu
角膜移植联合视网膜复位术,jiao'mo'yi'zhi'lian'he'shi'wang'mo'fu'wei'shu
角膜移植术,jiao'mo'yi'zhi'shu
角膜荧光素染色检查,jiao'mo'ying'guang'su'ran'se'jian'cha
角膜知觉检查,jiao'mo'zhi'jue'jian'cha
交通性鞘膜积液修补术,jiao'tong'xing'qiao'mo'ji'ye'xiu'bu'shu
矫正型大动脉转位伴发畸形矫治术,jiao'zheng'xing'da'dong'mai'zhuan'wei'ban'fa'ji'xing'jiao'zhi'shu
结肠癌根治术,jie'chang'ai'gen'zhi'shu
结肠癌扩大根治术,jie'chang'ai'kuo'da'gen'zhi'shu
结肠透析,jie'chang'tou'xi
截根术,jie'gen'shu
结核菌培养,jie'he'jun'pei'yang
结核菌涂片检查,jie'he'jun'tu'pian'jian'cha
结核菌药敏试验,jie'he'jun'yao'min'shi'yan
结膜淋巴管积液清除术,jie'mo'lin'ba'guan'ji'ye'qing'chu'shu
结膜囊成形术,jie'mo'nang'cheng'xing'shu
结膜囊取材检查,jie'mo'nang'qu'cai'jian'cha
结膜手术,jie'mo'shou'shu
结膜印痕细胞检查,jie'mo'yin'hen'xi'bao'jian'cha
结膜肿物切除术,jie'mo'zhong'wu'qie'chu'shu
介入肾动态显像,jie'ru'shen'dong'tai'xian'xiang
介入肾图,jie'ru'shen'tu
介入治疗的超声心动图监视,jie'ru'zhi'liao'de'chao'sheng'xin'dong'tu'jian'shi
截瘫肢体综合训练,jie'tan'zhi'ti'zong'he'xun'lian
洁治,jie'zhi
截肢标本病理检查与诊断,jie'zhi'biao'ben'bing'li'jian'cha'yu'zhen'duan
截指术,jie'zhi'shu
截肢术,jie'zhi'shu
睫状体剥离术,jie'zhuang'ti'bo'li'shu
睫状体断离复位术,jie'zhuang'ti'duan'li'fu'wei'shu
睫状体及脉络膜上腔放液术,jie'zhuang'ti'ji'mai'luo'mo'shang'qiang'fang'ye'shu
睫状体特殊治疗,jie'zhuang'ti'te'shu'zhi'liao
近侧趾间关节融合术,jin'ce'zhi'jian'guan'jie'rong'he'shu
近端胃大部切除术,jin'duan'wei'da'bu'qie'chu'shu
筋膜组织瓣形成术,jin'mo'zu'zhi'ban'xing'cheng'shu
近排腕骨切除术,jin'pai'wan'gu'qie'chu'shu
近视性放射状角膜切开术,jin'shi'xing'fang'she'zhuang'jiao'mo'qie'kai'shu
禁水加压素试验,jin'shui'jia'ya'su'shi'yan
禁水试验,jin'shui'shi'yan
进行性肌营养不良基因分析,jin'xing'xing'ji'ying'yang'bu'liang'ji'yin'fen'xi
精氨酸试验,jing'an'suan'shi'yan
经鼻鼻侧鼻腔鼻窦肿瘤切除术,jing'bi'bi'ce'bi'qiang'bi'dou'zhong'liu'qie'chu'shu
经鼻鼻腔鼻窦肿瘤切除术,jing'bi'bi'qiang'bi'dou'zhong'liu'qie'chu'shu
经鼻内镜鼻窦手术,jing'bi'nei'jing'bi'dou'shou'shu
经鼻内镜眶减压术,jing'bi'nei'jing'kuang'jian'ya'shu
经鼻内镜脑膜修补术,jing'bi'nei'jing'nao'mo'xiu'bu'shu
经鼻视神经减压术,jing'bi'shi'shen'jing'jian'ya'shu
颈部开放性损伤探查术,jing'bu'kai'fang'xing'sun'shang'tan'cha'shu
颈部囊状水瘤切除术,jing'bu'nang'zhuang'shui'liu'qie'chu'shu
颈部气管造口再造术,jing'bu'qi'guan'zao'kou'zai'zao'shu
颈部血管彩色多普勒超声,jing'bu'xue'guan'cai'se'duo'pu'le'chao'sheng
颈侧径路咽食管肿瘤切除术,jing'ce'jing'lu'yan'shi'guan'zhong'liu'qie'chu'shu
颈侧切开喉部肿瘤切除术,jing'ce'qie'kai'hou'bu'zhong'liu'qie'chu'shu
颈侧切开食道异物取出术,jing'ce'qie'kai'shi'dao'yi'wu'qu'chu'shu
颈侧切开下咽肿瘤切除术,jing'ce'qie'kai'xia'yan'zhong'liu'qie'chu'shu
经肠镜特殊治疗,jing'chang'jing'te'shu'zhi'liao
经胆道镜胆道结石取出术,jing'dan'dao'jing'dan'dao'jie'shi'qu'chu'shu
经胆道镜瘘管取石术,jing'dan'dao'jing'lou'guan'qu'shi'shu
经骶尾部直肠癌切除术,jing'di'wei'bu'zhi'chang'ai'qie'chu'shu
静电治疗,jing'dian'zhi'liao
颈动脉结扎术,jing'dong'mai'jie'za'shu
颈动脉外膜剥脱术,jing'dong'mai'wai'mo'bo'tuo'shu
颈动脉腋动脉血管移植术,jing'dong'mai'ye'dong'mai'xue'guan'yi'zhi'shu
颈段气管食管瘘修补术,jing'duan'qi'guan'shi'guan'lou'xiu'bu'shu
颈段食管切除术,jing'duan'shi'guan'qie'chu'shu
经耳面神经梳理术,jing'er'mian'shen'jing'shu'li'shu
经耳脑脊液耳漏修补术,jing'er'nao'ji'ye'er'lou'xiu'bu'shu
经耳内镜鼓膜修补术,jing'er'nei'jing'gu'mo'xiu'bu'shu
经耳内镜鼓室探查术,jing'er'nei'jing'gu'shi'tan'cha'shu
胫腓骨骨折不愈合切开植骨内固定术,jing'fei'gu'gu'zhe'bu'yu'he'qie'kai'zhi'gu'nei'gu'ding'shu
胫腓骨骨折畸形愈合截骨矫形术,jing'fei'gu'gu'zhe'ji'xing'yu'he'jie'gu'jiao'xing'shu
经腹腔镜肝囊肿切除术,jing'fu'qiang'jing'gan'nang'zhong'qie'chu'shu
经腹腔镜肝脓肿引流术,jing'fu'qiang'jing'gan'nong'zhong'yin'liu'shu
经腹腔镜门脉交通支结扎术,jing'fu'qiang'jing'men'mai'jiao'tong'zhi'jie'za'shu
经腹腔镜盆腔淋巴结活检术,jing'fu'qiang'jing'pen'qiang'lin'ba'jie'huo'jian'shu
经腹腔镜盆腔淋巴结清扫术,jing'fu'qiang'jing'pen'qiang'lin'ba'jie'qing'sao'shu
经腹腔镜盆腔粘连分离术,jing'fu'qiang'jing'pen'qiang'zhan'lian'fen'li'shu
经腹腔镜取环术,jing'fu'qiang'jing'qu'huan'shu
经腹腔镜取卵术,jing'fu'qiang'jing'qu'luan'shu
经腹腔镜输卵管高压洗注术,jing'fu'qiang'jing'shu'luan'guan'gao'ya'xi'zhu'shu
经腹腔镜隐睾探查术,jing'fu'qiang'jing'yin'gao'tan'cha'shu
经腹阴道联合子宫切除术,jing'fu'yin'dao'lian'he'zi'gong'qie'chu'shu
经腹子宫肌瘤剔除术,jing'fu'zi'gong'ji'liu'ti'chu'shu
经肛门直肠脱垂手术,jing'gang'men'zhi'chang'tuo'chui'shou'shu
经宫腔镜盆腔粘连分离术,jing'gong'qiang'jing'pen'qiang'zhan'lian'fen'li'shu
经宫腔镜取环术,jing'gong'qiang'jing'qu'huan'shu
经宫腔镜输卵管插管术,jing'gong'qiang'jing'shu'luan'guan'cha'guan'shu
经宫腔镜子宫肌瘤切除术,jing'gong'qiang'jing'zi'gong'ji'liu'qie'chu'shu
经宫腔镜子宫内膜剥离术,jing'gong'qiang'jing'zi'gong'nei'mo'bo'li'shu
经宫腔镜子宫纵膈切除术,jing'gong'qiang'jing'zi'gong'zong'ge'qie'chu'shu
经股动脉插管全脑动脉造影术,jing'gu'dong'mai'cha'guan'quan'nao'dong'mai'zao'ying'shu
经股动脉置管腹主动脉带簿网支架置入术,jing'gu'dong'mai'zhi'guan'fu'zhu'dong'mai'dai'bu'wang'zhi'jia'zhi'ru'shu
胫骨干骨折切开复位内固定术,jing'gu'gan'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
胫骨高位截骨术,jing'gu'gao'wei'jie'gu'shu
胫骨结节垫高术,jing'gu'jie'jie'dian'gao'shu
胫骨髁间骨折切开复位内固定术,jing'gu'ke'jian'gu'zhe'qie'kai'fu'wei'nei'gu'ding'shu
经颈部茎突过长切除术,jing'jing'bu'jing'tu'guo'chang'qie'chu'shu
经颈侧杓状软骨切除声带外移术,jing'jing'ce'biao'zhuang'ruan'gu'qie'chu'sheng'dai'wai'yi'shu
经颈侧进路鼻咽肿瘤切除术,jing'jing'ce'jin'lu'bi'yan'zhong'liu'qie'chu'shu
经颈进路会厌肿物切除术,jing'jing'jin'lu'hui'yan'zhong'wu'qie'chu'shu
颈静脉瘤成形术,jing'jing'mai'liu'cheng'xing'shu
颈静脉胸导管吻合术,jing'jing'mai'xiong'dao'guan'wen'he'shu
颈静脉移植术,jing'jing'mai'yi'zhi'shu
经口齿状突切除术,jing'kou'chi'zhuang'tu'qie'chu'shu
经口茎突过长切除术,jing'kou'jing'tu'guo'chang'qie'chu'shu
经口腔入路颅底斜坡肿瘤切除术,jing'kou'qiang'ru'lu'lu'di'xie'po'zhong'liu'qie'chu'shu
经口咽部环枢椎肿瘤切除术,jing'kou'yan'bu'huan'shu'zhui'zhong'liu'qie'chu'shu
颈淋巴结清扫术,jing'lin'ba'jie'qing'sao'shu
经颅眶肿瘤切除术,jing'lu'kuang'zhong'liu'qie'chu'shu
经颅脑脊液耳漏修补术,jing'lu'nao'ji'ye'er'lou'xiu'bu'shu
经颅内镜第三脑室底造瘘术,jing'lu'nei'jing'di'san'nao'shi'di'zao'lou'shu
经颅内镜活检术,jing'lu'nei'jing'huo'jian'shu
经颅内镜经鼻蝶垂体肿瘤切除术,jing'lu'nei'jing'jing'bi'die'chui'ti'zhong'liu'qie'chu'shu
经颅内镜脑内囊肿造口术,jing'lu'nei'jing'nao'nei'nang'zhong'zao'kou'shu
经颅内镜脑内异物摘除术,jing'lu'nei'jing'nao'nei'yi'wu'zhai'chu'shu
经颅内镜脑室脉络丛烧灼术,jing'lu'nei'jing'nao'shi'mai'luo'cong'shao'zhuo'shu
经颅内镜脑室肿瘤切除术,jing'lu'nei'jing'nao'shi'zhong'liu'qie'chu'shu
经颅视神经管减压术,jing'lu'shi'shen'jing'guan'jian'ya'shu
经络穴位测评疗法,jing'luo'xue'wei'ce'ping'liao'fa
经络氧疗法,jing'luo'yang'liao'fa
静脉采血,jing'mai'cai'xie
静脉穿刺置管术,jing'mai'chuan'ci'zhi'guan'shu
静脉胆道造影,jing'mai'dan'dao'zao'ying
静脉高营养治疗,jing'mai'gao'ying'yang'zhi'liao
静脉泌尿系造影,jing'mai'mi'niao'xi'zao'ying
静脉切开置管术,jing'mai'qie'kai'zhi'guan'shu
静脉输液,jing'mai'shu'ye
静脉注射,jing'mai'zhu'she
