阿赖耶识,a'lai'ye'shi
因轮抉择,yin'lun'jue'ze
因明,yin'ming
因明论著,yin'ming'lun'zhu
因明七论除暗庆严注,yin'ming'qi'lun'chu'an'qing'yan'zhu
因明七论或七部量理论,yin'ming'qi'lun'huo'qi'bu'liang'li'lun
因明入证理论,yin'ming'ru'zheng'li'lun
因明学者,yin'ming'xue'zhe
引能立应成,yin'neng'li'ying'cheng
因色,yin'se
因体性不成,yin'ti'xing'bu'cheng
因位相违果位可得应成,yin'wei'xiang'wei'guo'wei'ke'de'ying'cheng
因位相违所遍可得应成,yin'wei'xiang'wei'suo'bian'ke'de'ying'cheng
因位相违因位可得应成,yin'wei'xiang'wei'yin'wei'ke'de'ying'cheng
因相违,yin'xiang'wei
因相违果可得,yin'xiang'wei'guo'ke'de
因相违所遍可得,yin'xiang'wei'suo'bian'ke'de
因相违自性可得,yin'xiang'wei'zi'xing'ke'de
因相违自性可得应成,yin'xiang'wei'zi'xing'ke'de'ying'cheng
因一分有法不成,yin'yi'fen'you'fa'bu'cheng
因依量成遍依许成,yin'yi'liang'cheng'bian'yi'xu'cheng
音音调,yin'yin'tiao
阴影,yin'ying
因由力,yin'you'li
因犹豫不成,yin'you'yu'bu'cheng
因与周延皆成立之应成论式,yin'yu'zhou'yan'jie'cheng'li'zhi'ying'cheng'lun'shi
因缘,yin'yuan
因支,yin'zhi
应成,ying'cheng
应成对答,ying'cheng'dui'da
应成对答四解脱门,ying'cheng'dui'da'si'jie'tuo'men
应成三法,ying'cheng'san'fa
应无例外,ying'wu'li'wai
影子,ying'zi
有遍计,you'bian'ji
有法,you'fa
有法体性不成,you'fa'ti'xing'bu'cheng
有法一分因不成,you'fa'yi'fen'yin'bu'cheng
有法犹豫不成,you'fa'you'yu'bu'cheng
有分别颠倒识,you'fen'bie'dian'dao'shi
有功用实有,you'gong'yong'shi'you
有果可得应成,you'guo'ke'de'ying'cheng
有记声,you'ji'sheng
有见色可见色,you'jian'se'ke'jian'se
有境,you'jing
有境者,you'jing'zhe
有色根,you'se'gen
幼童入思择论,you'tong'ru'si'ze'lun
有为,you'wei
有为法,you'wei'fa
有依根,you'yi'gen
有余,you'yu
犹豫,you'yu
有余不定因,you'yu'bu'ding'yin
犹豫有余,you'yu'you'yu
有执受大种声,you'zhi'shou'da'zhong'sheng
有支习气,you'zhi'xi'qi
瑜伽现量,yu'jia'xian'liang
瑜伽现识,yu'jia'xian'shi
与矛盾相矛盾,yu'mao'dun'xiang'mao'dun
与违相违,yu'wei'xiang'wei
欲悟有法,yu'wu'you'fa
原立者,yuan'li'zhe
缘攀缘缓缘,yuan'pan'yuan'huan'yuan
缘起因,yuan'qi'yin
缘体心,yuan'ti'xin
缘体直缘自体,yuan'ti'zhi'yuan'zi'ti
原由不得因,yuan'you'bu'de'yin
原由对立果可得因,yuan'you'dui'li'guo'ke'de'yin
原由相违可得因,yuan'you'xiang'wei'ke'de'yin
再决识,zai'jue'shi
责难,ze'nan
增上果,zeng'shang'guo
增上缘,zeng'shang'yuan
增长因,zeng'zhang'yin
照了境,zhao'le'jing
招引能立应成,zhao'yin'neng'li'ying'cheng
招引他类应成,zhao'yin'ta'lei'ying'cheng
招引自类应成,zhao'yin'zi'lei'ying'cheng
招引自续,zhao'yin'zi'xu
遮遣,zhe'qian
遮遣趋入,zhe'qian'qu'ru
遮遣趋入心,zhe'qian'qu'ru'xin
遮同一异,zhe'tong'yi'yi
真比量,zhen'bi'liang
真论式,zhen'lun'shi
真如,zhen'ru
真实,zhen'shi
真实成就,zhen'shi'cheng'jiu
真实外境,zhen'shi'wai'jing
真所立,zhen'suo'li
真因,zhen'yin
真应成,zhen'ying'cheng
真正有余,zhen'zheng'you'yu
正不定因,zheng'bu'ding'yin
正常有境,zheng'chang'you'jing
证成道理实有,zheng'cheng'dao'li'shi'you
证成名言因,zheng'cheng'ming'yan'yin
证成义理因,zheng'cheng'yi'li'yin
正理宝藏注解,zheng'li'bao'zang'zhu'jie
正理滴论,zheng'li'di'lun
正理滴论广注,zheng'li'di'lun'guang'zhu
正理滴论前品摄义,zheng'li'di'lun'qian'pin'she'yi
正理滴论摄义,zheng'li'di'lun'she'yi
正理之商论注,zheng'li'zhi'shang'lun'zhu
正量道理,zheng'liang'dao'li
正论轨,zheng'lun'gui
正面对答,zheng'mian'dui'da
正确理由,zheng'que'li'you
正确内心,zheng'que'nei'xin
正所破因,zheng'suo'po'yin
正同品遍,zheng'tong'pin'bian
正同喻,zheng'tong'yu
证言量,zheng'yan'liang
正异喻,zheng'yi'yu
正喻,zheng'yu
证圆满,zheng'yuan'man
诤正理论,zheng'zheng'li'lun
诤正理论析义注,zheng'zheng'li'lun'xi'yi'zhu
知常智,zhi'chang'zhi
直接近取因,zhi'jie'jin'qu'yin
直接相违,zhi'jie'xiang'wei
质类有,zhi'lei'you
质流,zhi'liu
质同,zhi'tong
知无智,zhi'wu'zhi
直叙,zhi'xu
质异,zhi'yi
知有智,zhi'you'zhi
指谪谬误,zhi'zhe'miu'wu
周遍不定,zhou'bian'bu'ding
周遍断语,zhou'bian'duan'yu
周遍悟因心,zhou'bian'wu'yin'xin
周遍相违,zhou'bian'xiang'wei
周遍转,zhou'bian'zhuan
周延判断,zhou'yan'pan'duan
助伴因,zhu'ban'yin
转识,zhuan'shi
自定量,zi'ding'liang
自反体,zi'fan'ti
自反同,zi'fan'tong
自反异,zi'fan'yi
自悟自证,zi'wu'zi'zheng
自相,zi'xiang
自性不可得因,zi'xing'bu'ke'de'yin
自性对立可得因,zi'xing'dui'li'ke'de'yin
自性可得应成,zi'xing'ke'de'ying'cheng
自性相违果可得,zi'xing'xiang'wei'guo'ke'de
自性相违果位可得应成,zi'xing'xiang'wei'guo'wei'ke'de'ying'cheng
自性相违所遍可得,zi'xing'xiang'wei'suo'bian'ke'de
自性相违所遍可得应成,zi'xing'xiang'wei'suo'bian'ke'de'ying'cheng
自性相违因,zi'xing'xiang'wei'yin
自性相违因可得应成,zi'xing'xiang'wei'yin'ke'de'ying'cheng
自性相违自性可得,zi'xing'xiang'wei'zi'xing'ke'de
自性相违自性可得应成,zi'xing'xiang'wei'zi'xing'ke'de'ying'cheng
自性因,zi'xing'yin
自性远离事,zi'xing'yuan'li'shi
自续因,zi'xu'yin
自语抵触,zi'yu'di'chu
自语相违,zi'yu'xiang'wei
自在色,zi'zai'se
自在天毁灭偈,zi'zai'tian'hui'mie'ji
自证分现量,zi'zheng'fen'xian'liang
自证分现识,zi'zheng'fen'xian'shi
宗法,zong'fa
宗法不极成,zong'fa'bu'ji'cheng
宗法九句,zong'fa'jiu'ju
宗法悟因心,zong'fa'wu'yin'xin
宗教辩论,zong'jiao'bian'lun
宗依,zong'yi
宗因喻三支,zong'yin'yu'san'zhi
总因证成果因,zong'yin'zheng'cheng'guo'yin
最极隐蔽最不现前,zui'ji'yin'bi'zui'bu'xian'qian
