阿济格等人,a'ji'ge'deng'ren
世界发展的,shi'jie'fa'zhan'de
是满族的前身,shi'man'zu'de'qian'shen
是年秋,shi'nian'qiu
十年四月改元崇德,shi'nian'si'yue'gai'yuan'chong'de
是清朝,shi'qing'chao
使清廷,shi'qing'ting
十三皇子,shi'san'huang'zi
十三万大军,shi'san'wan'da'jun
事事掣肘,shi'shi'che'zhou
是史学界,shi'shi'xue'jie
史书上称为,shi'shu'shang'cheng'wei
试图通过,shi'tu'tong'guo
时为,shi'wei
是为顺治帝,shi'wei'shun'zhi'di
是文艺界,shi'wen'yi'jie
十五子,shi'wu'zi
实行奖励垦荒,shi'xing'jiang'li'ken'huang
史学家,shi'xue'jia
十一年,shi'yi'nian
十月二十五日,shi'yue'er'shi'wu'ri
使中国,shi'zhong'guo
是中国,shi'zhong'guo
首次考试儒生,shou'ci'kao'shi'ru'sheng
受到明朝,shou'dao'ming'chao
受到严重损害,shou'dao'yan'zhong'sun'hai
寿命最长,shou'ming'zui'chang
首先要征服蒙古和朝鲜,shou'xian'yao'zheng'fu'meng'gu'he'chao'xian
首先争取与,shou'xian'zheng'qu'yu
属兔,shu'tu
率军南侵,shuai'jun'nan'qin
率领的,shuai'ling'de
顺治帝,shun'zhi'di
顺治元年,shun'zhi'yuan'nian
说降,shuo'jiang
说明努尔哈赤,shuo'ming'nu'er'ha'chi
四大贝勒,si'da'bei'le
死后继位,si'hou'ji'wei
死后葬于,si'hou'zang'yu
似乎更浓,si'hu'geng'nong
四库全书,si'ku'quan'shu
四年正月初三,si'nian'zheng'yue'chu'san
四十六万,si'shi'liu'wan
四十四年,si'shi'si'nian
思想僵化,si'xiang'jiang'hua
私行拓猎,si'xing'tuo'lie
松山城陷,song'shan'cheng'xian
松山副将,song'shan'fu'jiang
送沈阳,song'shen'yang
宋祖,song'zu
苏完瓜尔佳,su'wan'gua'er'jia
岁结婚,sui'jie'hun
随着蒙古的臣服,sui'zhe'meng'gu'de'chen'fu
所取得的,suo'qu'de'de
所谓的,suo'wei'de
所行使的,suo'xing'shi'de
他对内大力推行,ta'dui'nei'da'li'tui'xing
他二十二岁结婚,ta'er'shi'er'sui'jie'hun
塔克世,ta'ke'shi
他们的力量,ta'men'de'li'liang
他命阿济格,ta'ming'a'ji'ge
他认为要战胜明朝,ta'ren'wei'yao'zhan'sheng'ming'chao
他十分重视,ta'shi'fen'zhong'shi
他虽继承了汗位,ta'sui'ji'cheng'le'han'wei
泰陵,tai'ling
太平天国运动,tai'ping'tian'guo'yun'dong
太上皇,tai'shang'huang
台湾被日本侵占,tai'wan'bei'ri'ben'qin'zhan
唐高祖,tang'gao'zu
唐明清,tang'ming'qing
唐宗,tang'zong
逃亡和暴动,tao'wang'he'bao'dong
提高汗权,ti'gao'han'quan
体恤民力,ti'xu'min'li
天聪二年,tian'cong'er'nian
天聪汗,tian'cong'han
天聪七,tian'cong'qi
天聪三年,tian'cong'san'nian
天聪十年,tian'cong'shi'nian
天聪十年四月,tian'cong'shi'nian'si'yue
天聪四年,tian'cong'si'nian
天聪五年,tian'cong'wu'nian
天聪元年,tian'cong'yuan'nian
天聪元年一月,tian'cong'yuan'nian'yi'yue
天工开物,tian'gong'kai'wu
天工开物的,tian'gong'kai'wu'de
天命三年,tian'ming'san'nian
天命十一年,tian'ming'shi'yi'nian
统兵南侵,tong'bing'nan'qin
通称,tong'cheng
同成吉思汗相比,tong'cheng'ji'si'han'xiang'bi
同代善,tong'dai'shan
佟佳氏,tong'jia'shi
统一了,tong'yi'le
统一了漠南蒙古,tong'yi'le'mo'nan'meng'gu
统一了台湾,tong'yi'le'tai'wan
统一了新疆,tong'yi'le'xin'jiang
统一中国,tong'yi'zhong'guo
同治帝,tong'zhi'di
统治阶级内部,tong'zhi'jie'ji'nei'bu
统治奴役,tong'zhi'nu'yi
统治以,tong'zhi'yi
统治者为,tong'zhi'zhe'wei
突围未成,tu'wei'wei'cheng
推翻明朝统治,tui'fan'ming'chao'tong'zhi
推进封建化的改革,tui'jin'feng'jian'hua'de'gai'ge
推行的,tui'xing'de
推行汉化运筹帷幄,tui'xing'han'hua'yun'chou'wei'wo
外国人的,wai'guo'ren'de
晚年在,wan'nian'zai
网罗了两百名,wang'luo'le'liang'bai'ming
往援锦州祖大寿,wang'yuan'jin'zhou'zu'da'shou
为巩固,wei'gong'gu
为缓和,wei'huan'he
为皇太极,wei'huang'tai'ji
为今后的衰落,wei'jin'hou'de'shuai'luo
为了从正面,wei'le'cong'zheng'mian
为了促进农业生产,wei'le'cu'jin'nong'ye'sheng'chan
为了巩固,wei'le'gong'gu
为了缓和社会矛盾,wei'le'huan'he'she'hui'mao'dun
为了加强中央集权,wei'le'jia'qiang'zhong'yang'ji'quan
为了笼络,wei'le'long'luo
为理藩院,wei'li'fan'yuan
为名公开,wei'ming'gong'kai
为人质,wei'ren'zhi
为什么更,wei'shen'me'geng
为挽救自身命运,wei'wan'jiu'zi'shen'ming'yun
为拯救民族危亡,wei'zheng'jiu'min'zu'wei'wang
为中国,wei'zhong'guo
为自秦以降,wei'zi'qin'yi'jiang
卫左都督,wei'zuo'du'du
文化繁荣,wen'hua'fan'rong
文化史上,wen'hua'shi'shang
文化遗产,wen'hua'yi'chan
吴三桂,wu'san'gui
吴三桂引,wu'san'gui'yin
吾善养吾,wu'shan'yang'wu
五十多处,wu'shi'duo'chu
五十年八月十三,wu'shi'nian'ba'yue'shi'san
无数的仁人志士,wu'shu'de'ren'ren'zhi'shi
乌苏里江以东,wu'su'li'jiang'yi'dong
戊戌变法,wu'xu'bian'fa
乌雅氏,wu'ya'shi
西北达巴尔喀什湖,xi'bei'da'ba'er'ka'shi'hu
西方人最关注的,xi'fang'ren'zui'guan'zhu'de
西方资本主义,xi'fang'zi'ben'zhu'yi
袭封为,xi'feng'wei
西跨葱岭,xi'kua'cong'ling
西南到广西云南西藏,xi'nan'dao'guang'xi'yun'nan'xi'zang
西起巴尔喀什湖和葱岭,xi'qi'ba'er'ka'shi'hu'he'cong'ling
喜塔拉氏,xi'ta'la'shi
夏承德,xia'cheng'de
咸丰,xian'feng
咸丰帝,xian'feng'di
咸丰皇帝,xian'feng'huang'di
咸丰六年,xian'feng'liu'nian
先进潮流,xian'jin'chao'liu
先世之谜,xian'shi'zhi'mi
限制了满洲贵族,xian'zhi'le'man'zhou'gui'zu
显著提高,xian'zhu'ti'gao
宪宗,xian'zong
想出版,xiang'chu'ban
襄皇帝,xiang'huang'di
相继兼并,xiang'ji'jian'bing
镶蓝旗人,xiang'lan'qi'ren
相形见绌,xiang'xing'jian'chu
孝恭仁皇后,xiao'gong'ren'huang'hou
消灭汉族主体意识,xiao'mie'han'zu'zhu'ti'yi'shi
写了一部,xie'le'yi'bu
辛亥革命,xin'hai'ge'ming
辛亥革命爆发,xin'hai'ge'ming'bao'fa
姓爱新觉罗,xing'ai'xin'jue'luo
杏儿,xing'er
幸好法国,xing'hao'fa'guo
形势十分严峻,xing'shi'shi'fen'yan'jun
姓氏之谜,xing'shi'zhi'mi
汹涌澎湃,xiong'yong'peng'pai
许奴仆告发,xu'nu'pu'gao'fa
徐元梦,xu'yuan'meng
宣布独立,xuan'bu'du'li
宣皇后,xuan'huang'hou
宣统,xuan'tong
宣统皇帝,xuan'tong'huang'di
宣统三年,xuan'tong'san'nian
玄烨,xuan'ye
削发易服政策,xue'fa'yi'fu'zheng'ce
削弱分权势力,xue'ruo'fen'quan'shi'li
鸦片战争,ya'pian'zhan'zheng
压制申诉等罪,ya'zhi'shen'su'deng'zui
研究的,yan'jiu'de
研究努尔哈赤,yan'jiu'nu'er'ha'chi
洋务运动,yang'wu'yun'dong
也备受关注,ye'bei'shou'guan'zhu
叶赫部,ye'he'bu
叶赫老女之谜,ye'he'lao'nv'zhi'mi
叶赫那拉,ye'he'na'la
叶赫那拉氏,ye'he'na'la'shi
也将,ye'jiang
也埋下了,ye'mai'xia'le
也是老百姓,ye'shi'lao'bai'xing
也有很多谜团,ye'you'hen'duo'mi'tuan
以备使令,yi'bei'shi'ling
一场浩劫,yi'chang'hao'jie
以次年为,yi'ci'nian'wei
已达到三亿左右,yi'da'dao'san'yi'zuo'you
移放于,yi'fang'yu
一个热点,yi'ge're'dian
一个新的高峰,yi'ge'xin'de'gao'feng
一个崭新的篇章,yi'ge'zhan'xin'de'pian'zhang
一孤城,yi'gu'cheng
一汗虚名,yi'han'xu'ming
一后四妃,yi'hou'si'fei
以及影视作品,yi'ji'ying'shi'zuo'pin
亦进行了,yi'jin'xing'le
一律不复兴筑,yi'lv'bu'fu'xing'zhu
一千余户,yi'qian'yu'hu
以取代,yi'qu'dai
一位负责人说,yi'wei'fu'ze'ren'shuo
以为内应,yi'wei'nei'ying
已未日,yi'wei'ri
一位西方学者说,yi'wei'xi'fang'xue'zhe'shuo
一系列,yi'xi'lie
一些改革活动,yi'xie'gai'ge'huo'dong
奕譞,yi'xuan
移葬,yi'zang
遗诏之谜,yi'zhao'zhi'mi
一直居住今中国东北,yi'zhi'ju'zhu'jin'zhong'guo'dong'bei
以重本务,yi'zhong'ben'wu
奕詝,yi'zhu
以祖父遗甲十三副,yi'zu'fu'yi'jia'shi'san'fu
因被认为,yin'bei'ren'wei
隐匿战利品,yin'ni'zhan'li'pin
因塔山,yin'ta'shan
胤禵,yin'ti
因为中国的,yin'wei'zhong'guo'de
胤祥,yin'xiang
胤禛,yin'zhen
英杰人物,ying'jie'ren'wu
用汉官管理,yong'han'guan'guan'li
颙琰,yong'yan
雍正帝,yong'zheng'di
雍正十三年,yong'zheng'shi'san'nian
雍正死后,yong'zheng'si'hou
有藏于,you'cang'yu
由此而爆发了,you'ci'er'bao'fa'le
幽弟之谜,you'di'zhi'mi
有关努尔哈赤,you'guan'nu'er'ha'chi
有很多成果,you'hen'duo'cheng'guo
又建立了都察院,you'jian'li'le'du'cha'yuan
又可以利用,you'ke'yi'li'yong
幼兰,you'lan
有利于奴仆,you'li'yu'nu'pu
又命多尔兖,you'ming'duo'er'yan
有气节的,you'qi'jie'de
由少数民族,you'shao'shu'min'zu
有所恢复,you'suo'hui'fu
由他奠基的大清帝国,you'ta'dian'ji'de'da'qing'di'guo
由于承平日久,you'yu'cheng'ping'ri'jiu
由于多次对外掠夺,you'yu'duo'ci'dui'wai'lue'duo
由于努尔哈赤,you'yu'nu'er'ha'chi
由于清朝,you'yu'qing'chao
玉牒,yu'die
御前露刃,yu'qian'lu'ren
与侵略者,yu'qin'lue'zhe
与三大贝勒,yu'san'da'bei'le
于是明朝,yu'shi'ming'chao
与同一时期,yu'tong'yi'shi'qi
于同月,yu'tong'yue
于同月即位,yu'tong'yue'ji'wei
与西藏,yu'xi'zang
浴血奋战,yu'xue'fen'zhan
欲压制北元残余势力,yu'ya'zhi'bei'yuan'can'yu'shi'li
元气大伤,yuan'qi'da'shang
原生性的影响,yuan'sheng'xing'de'ying'xiang
岳托,yue'tuo
允诺与明朝,yun'nuo'yu'ming'chao
载淳,zai'chun
在二三十年前,zai'er'san'shi'nian'qian
载沣,zai'feng
在国内,zai'guo'nei
在国外,zai'guo'wai
在今中国,zai'jin'zhong'guo
在沈阳称帝,zai'shen'yang'cheng'di
在世,zai'shi
在他的带领下,zai'ta'de'dai'ling'xia
在讨论选题时,zai'tao'lun'xuan'ti'shi
在位,zai'wei
在位共,zai'wei'gong
在位期间,zai'wei'qi'jian
在位时,zai'wei'shi
在位时间,zai'wei'shi'jian
在位十七年,zai'wei'shi'qi'nian
在文化上,zai'wen'hua'shang
在中国,zai'zhong'guo
在中国自,zai'zhong'guo'zi
葬于,zang'yu
造成了,zao'cheng'le
早期那种,zao'qi'na'zhong
怎么能,zen'me'neng
增强兵力,zeng'qiang'bing'li
占据中国,zhan'ju'zhong'guo
掌管和起草,zhang'guan'he'qi'cao
招降收买政策,zhao'xiang'shou'mai'zheng'ce
这本书稿,zhe'ben'shu'gao
这既可以,zhe'ji'ke'yi
这就是,zhe'jiu'shi
这是笼络,zhe'shi'long'luo
这套政权机构,zhe'tao'zheng'quan'ji'gou
这些成就,zhe'xie'cheng'jiu
这样的,zhe'yang'de
这一条例,zhe'yi'tiao'li
这一政策,zhe'yi'zheng'ce
珍贵书籍,zhen'gui'shu'ji
正大光明匾额,zheng'da'guang'ming'bian'e
征服东海女真,zheng'fu'dong'hai'nv'zhen
整个中国,zheng'ge'zhong'guo
正红旗,zheng'hong'qi
争取改变自己的,zheng'qu'gai'bian'zi'ji'de
政权下的,zheng'quan'xia'de
正室,zheng'shi
正式称帝,zheng'shi'cheng'di
正月初三,zheng'yue'chu'san
政治腐败,zheng'zhi'fu'bai
政治婚姻,zheng'zhi'hun'yin
支持和效忠,zhi'chi'he'xiao'zhong
之弟,zhi'di
治国之要,zhi'guo'zhi'yao
指挥使,zhi'hui'shi
之女,zhi'nv
至少留下,zhi'shao'liu'xia
至十八世纪后期,zhi'shi'ba'shi'ji'hou'qi
至十八世纪中叶,zhi'shi'ba'shi'ji'zhong'ye
知识分子和,zhi'shi'fen'zi'he
之孙,zhi'sun
至托里图,zhi'tuo'li'tu
秩序稳定,zhi'xu'wen'ding
只有西汉,zhi'you'xi'han
中俄,zhong'e
中国的主权,zhong'guo'de'zhu'quan
中国封建社会末期,zhong'guo'feng'jian'she'hui'mo'qi
中国古代,zhong'guo'gu'dai
中国历史,zhong'guo'li'shi
中国两千多年来,zhong'guo'liang'qian'duo'nian'lai
中国已,zhong'guo'yi
中国逐步,zhong'guo'zhu'bu
中华文明史,zhong'hua'wen'ming'shi
钟情于,zhong'qing'yu
中外出版,zhong'wai'chu'ban
种下了奴性,zhong'xia'le'nu'xing
中央集权,zhong'yang'ji'quan
重义轻生的,zhong'yi'qing'sheng'de
中原地区来往密切,zhong'yuan'di'qu'lai'wang'mi'qie
诸部的,zhu'bu'de
逐步建立,zhu'bu'jian'li
助明害我,zhu'ming'hai'wo
主要原因,zhu'yao'yuan'yin
褚英,zhu'ying
朱元璋,zhu'yuan'zhang
传记呢,zhuan'ji'ne
专勤南亩,zhuan'qin'nan'mu
专制体制,zhuan'zhi'ti'zhi
壮丁八人,zhuang'ding'ba'ren
准其离主,zhun'qi'li'zhu
字浩然,zi'hao'ran
自己成为,zi'ji'cheng'wei
自己的手中,zi'ji'de'shou'zhong
自入关后,zi'ru'guan'hou
自上而下,zi'shang'er'xia
自五年三月起,zi'wu'nian'san'yue'qi
自愿来投,zi'yuan'lai'tou
总管太监,zong'guan'tai'jian
走上富强独立的道路,zou'shang'fu'qiang'du'li'de'dao'lu
祖大寿在锦州投降,zu'da'shou'zai'jin'zhou'tou'xiang
祖父康熙,zu'fu'kang'xi
族名之谜,zu'ming'zhi'mi
卒于,zu'yu
卒于嘉庆,zu'yu'jia'qing
最不幸,zui'bu'xing
最大疆域面积为,zui'da'jiang'yu'mian'ji'wei
最得意,zui'de'yi
最高权力,zui'gao'quan'li
最后一位皇帝,zui'hou'yi'wei'huang'di
最失意,zui'shi'yi
最痛心,zui'tong'xin
最终定居于,zui'zhong'ding'ju'yu
遵化四城,zun'hua'si'cheng
遵化县,zun'hua'xian
遵化县西北,zun'hua'xian'xi'bei
尊为,zun'wei
作为一个新时代的开创者,zuo'wei'yi'ge'xin'shi'dai'de'kai'chuang'zhe
作为异族的统治,zuo'wei'yi'zu'de'tong'zhi
