阿尔卡地亚,a'er'ka'di'ya
世茂东都,shi'mao'dong'du
拾弄,shi'nong
食品城,shi'pin'cheng
时尚大道,shi'shang'da'dao
是谁个,shi'shui'ge
拾屯,shi'tun
是味,shi'wei
是徐州,shi'xu'zhou
是徐州的,shi'xu'zhou'de
事业小区,shi'ye'xiao'qu
师寨,shi'zhai
市中心的,shi'zhong'xin'de
市中心了,shi'zhong'xin'le
史庄,shi'zhuang
沭河,shu'he
沭河之光,shu'he'zhi'guang
甩帽,shuai'mao
甩子,shuai'zi
双查,shuang'cha
双沟,shuang'gou
双楼,shuang'lou
双塘,shuang'tang
水漫桥,shui'man'qiao
水泊梁山,shui'po'liang'shan
水上世界,shui'shang'shi'jie
睡醒吗,shui'xing'ma
顺河,shun'he
说汗,shuo'han
说谁的,shuo'shei'de
说玩的,shuo'wan'de
说我的吗,shuo'wo'de'ma
思必客,si'bi'ke
死边去,si'bian'qu
四道街,si'dao'jie
四户,si'hu
四监,si'jian
私闷闷,si'men'men
四院,si'yuan
四院了,si'yuan'le
送节礼,song'jie'li
送老生,song'lao'sheng
宋楼,song'lou
搜扣,sou'kou
搜口子,sou'kou'zi
苏果,su'guo
苏果超市,su'guo'chao'shi
速利达,su'li'da
宿迁了,su'qian'le
苏山,su'shan
苏山头,su'shan'tou
宿羊山,su'yang'shan
素质分,su'zhi'fen
蒜爆鱼,suan'bao'yu
睢城镇,sui'cheng'zhen
睢宁,sui'ning
睢宁的,sui'ning'de
睢宁了,sui'ning'le
睢宁人,sui'ning'ren
睢宁县,sui'ning'xian
睢中,sui'zhong
孙楼,sun'lou
他两人,ta'liang'ren
台儿庄,tai'er'zhuang
胎货,tai'huo
胎了,tai'le
太孬,tai'nao
太山,tai'shan
太野了,tai'ye'le
台庄,tai'zhuang
谈对象的,tan'dui'xiang'de
坦然的,tan'ran'de
滩上,tan'shang
檀香山,tan'xiang'shan
唐店,tang'dian
唐沟,tang'gou
淌汗,tang'han
唐楼,tang'lou
讨贱,tao'jian
套楼,tao'lou
陶然居,tao'ran'ju
掏死你,tao'si'ni
提香湾,ti'xiang'wan
田记,tian'ji
天桥东,tian'qiao'dong
天山东,tian'shan'dong
天山绿洲,tian'shan'lv'zhou
铁路医院,tie'lu'yi'yuan
听见那,ting'jian'na
听喇叭,ting'la'ba
同昌街,tong'chang'jie
铜牛,tong'niu
铜沛,tong'pei
铜沛路,tong'pei'lu
铜钱新区,tong'qian'xin'qu
同仁居,tong'ren'ju
铜山,tong'shan
铜山的,tong'shan'de
铜山路,tong'shan'lu
铜山区,tong'shan'qu
铜山县,tong'shan'xian
铜山新区,tong'shan'xin'qu
铜山中学,tong'shan'zhong'xue
透好,tou'hao
透俊,tou'jun
土楼比,tu'lou'bi
土山,tu'shan
土山寺,tu'shan'si
瓦窑,wa'yao
外爷爷,wai'ye'ye
玩包,wan'bao
弯不,wan'bu
玩带,wan'dai
万虹桥,wan'hong'qiao
万人日,wan'ren'ri
玩啥来,wan'sha'lai
万兴市场,wan'xing'shi'chang
万寨,wan'zhai
王场新村,wang'chang'xin'cun
王沟镇,wang'gou'zhen
王杰部队,wang'jie'bu'dui
王陵路,wang'ling'lu
王楼,wang'lou
王庄,wang'zhuang
位洞,wei'dong
魏集,wei'ji
魏庙,wei'miao
魏庙镇,wei'miao'zhen
魏冉,wei'ran
微山湖,wei'shan'hu
伟天,wei'tian
维维集团,wei'wei'ji'tuan
文昌校区,wen'chang'xiao'qu
文景苑,wen'jing'yuan
问你来,wen'ni'lai
文泰康城,wen'tai'kang'cheng
文亭街,wen'ting'jie
文学路,wen'xue'lu
我不憨,wo'bu'han
我不说了那,wo'bu'shuo'le'na
我才不去来,wo'cai'bu'qu'lai
我到地方,wo'dao'di'fang
我到徐州,wo'dao'xu'zhou
我到徐州了,wo'dao'xu'zhou'le
我的娘来,wo'de'niang'lai
我滴靠,wo'di'kao
我滴心,wo'di'xin
我都愁死,wo'dou'chou'si
我都愁死了,wo'dou'chou'si'le
我都冻死了,wo'dou'dong'si'le
我多好了,wo'duo'hao'le
我儿来,wo'er'lai
我搁,wo'ge
我个家,wo'ge'jia
我憨,wo'han
我呼死你,wo'hu'si'ni
我江苏,wo'jiang'su
我江苏的,wo'jiang'su'de
我就问问的,wo'jiu'wen'wen'de
我觉咯,wo'jue'ge
窝俊,wo'jun
我里娘,wo'li'niang
我没愿意,wo'mei'yuan'yi
我们娘,wo'men'niang
我嫩娘,wo'nen'niang
我娘来,wo'niang'lai
卧牛,wo'niu
我去徐州,wo'qu'xu'zhou
我人来,wo'ren'lai
我日吧,wo'ri'ba
我上班来,wo'shang'ban'lai
我上课来,wo'shang'ke'lai
我上天,wo'shang'tian
我是徐州,wo'shi'xu'zhou
我是徐州的,wo'shi'xu'zhou'de
我说玩的,wo'shuo'wan'de
我斯,wo'si
我同位,wo'tong'wei
我徐州,wo'xu'zhou
我徐州的,wo'xu'zhou'de
我又不憨,wo'you'bu'han
我在矿大,wo'zai'kuang'da
我在沛县,wo'zai'pei'xian
我在市中心,wo'zai'shi'zhong'xin
我在徐州,wo'zai'xu'zhou
我在徐州了,wo'zai'xu'zhou'le
我在徐州呢,wo'zai'xu'zhou'ne
我怎么能知道,wo'zen'me'neng'zhi'dao
我这马上,wo'zhe'ma'shang
我这去,wo'zhe'qu
我这一会,wo'zhe'yi'hui
物地,wu'di
五段,wu'duan
无名山,wu'ming'shan
舞校,wu'xiao
五星电器,wu'xing'dian'qi
吴庄,wu'zhuang
吴庄花园,wu'zhuang'hua'yuan
物资局,wu'zi'ju
西安北路,xi'an'bei'lu
喜的,xi'de
西阁街,xi'ge'jie
洗好吗,xi'hao'ma
细拉,xi'la
戏马台,xi'ma'tai
喜面,xi'mian
喜年来,xi'nian'lai
喜死,xi'si
喜死了,xi'si'le
喜死我了,xi'si'wo'le
西域印象,xi'yu'yin'xiang
西苑,xi'yuan
西苑的,xi'yuan'de
西苑了,xi'yuan'le
媳子,xi'zi
下才,xia'cai
下才烂,xia'cai'lan
瞎操,xia'cao
下淀,xia'dian
下淀路,xia'dian'lu
下洪,xia'hong
下湖,xia'hu
瞎胡扯,xia'hu'che
吓毁,xia'hui
香槟城,xiang'bin'cheng
香城路,xiang'cheng'lu
想干嘛的,xiang'gan'ma'de
香花畦,xiang'hua'qi
想啥来,xiang'sha'lai
响山,xiang'shan
响山路,xiang'shan'lu
小巴狗,xiao'ba'gou
小高考,xiao'gao'kao
小贡,xiao'gong
小孩蛋,xiao'hai'dan
小孩舅,xiao'hai'jiu
小孩来,xiao'hai'lai
小孩酥,xiao'hai'su
小孩姨,xiao'hai'yi
小憨子,xiao'han'zi
小湖,xiao'hu
小九项,xiao'jiu'xiang
小康人家,xiao'kang'ren'jia
小毛妮,xiao'mao'ni
小南湖,xiao'nan'hu
笑啥的,xiao'sha'de
笑什么的,xiao'shen'me'de
小四门,xiao'si'men
小田田,xiao'tian'tian
肖县,xiao'xian
小中考,xiao'zhong'kao
写完吗,xie'wan'ma
协鑫,xie'xin
撷秀,xie'xiu
新安镇,xin'an'zhen
新城区,xin'cheng'qu
信电,xin'dian
心度,xin'du
新工区,xin'gong'qu
新航标,xin'hang'biao
新锦江,xin'jin'jiang
新金鹰,xin'jin'ying
新客栈,xin'ke'zhan
新生里,xin'sheng'li
新沂,xin'yi
新沂的,xin'yi'de
新一家,xin'yi'jia
新沂了,xin'yi'le
新沂人,xin'yi'ren
新沂市,xin'yi'shi
辛汁味,xin'zhi'wei
行包,xing'bao
幸福家园,xing'fu'jia'yuan
星海天,xing'hai'tian
邢楼,xing'lou
杏山,xing'shan
熊妮子,xiong'ni'zi
徐村,xu'cun
须得,xu'de
徐高,xu'gao
徐工,xu'gong
徐工的,xu'gong'de
徐工集团,xu'gong'ji'tuan
徐工院,xu'gong'yuan
徐海,xu'hai
徐海路,xu'hai'lu
徐海学院,xu'hai'xue'yuan
徐后,xu'hou
徐矿,xu'kuang
徐楼,xu'lou
徐师,xu'shi
徐师大,xu'shi'da
徐医,xu'yi
徐医附院,xu'yi'fu'yuan
徐州,xu'zhou
徐州啊,xu'zhou'a
徐州吧,xu'zhou'ba
徐州百姓网,xu'zhou'bai'xing'wang
徐州本地,xu'zhou'ben'di
徐州不,xu'zhou'bu
徐州到,xu'zhou'dao
徐州的,xu'zhou'de
徐州电视台,xu'zhou'dian'shi'tai
徐州东,xu'zhou'dong
徐州东站,xu'zhou'dong'zhan
徐州饭店,xu'zhou'fan'dian
徐州工程,xu'zhou'gong'cheng
徐州工程学院,xu'zhou'gong'cheng'xue'yuan
徐州工业,xu'zhou'gong'ye
徐州号,xu'zhou'hao
徐州话,xu'zhou'hua
徐州火车站,xu'zhou'huo'che'zhan
徐州交管网,xu'zhou'jiao'guan'wang
徐州啦,xu'zhou'la
徐州来,xu'zhou'lai
徐州了,xu'zhou'le
徐州了吗,xu'zhou'le'ma
徐州乐园,xu'zhou'le'yuan
徐州吗,xu'zhou'ma
徐州没有,xu'zhou'mei'you
徐州那,xu'zhou'na
徐州哪的,xu'zhou'na'de
徐州哪里,xu'zhou'na'li
徐州哪里的,xu'zhou'na'li'de
徐州呢,xu'zhou'ne
徐州人,xu'zhou'ren
徐州人家,xu'zhou'ren'jia
徐州人民,xu'zhou'ren'min
徐州市,xu'zhou'shi
徐州师范,xu'zhou'shi'fan
徐州师范大学,xu'zhou'shi'fan'da'xue
徐州市区,xu'zhou'shi'qu
徐州天气,xu'zhou'tian'qi
徐州天气预报,xu'zhou'tian'qi'yu'bao
徐州玩,xu'zhou'wan
徐州下雨了,xu'zhou'xia'yu'le
徐州星美,xu'zhou'xing'mei
徐州呀,xu'zhou'ya
徐州医学院,xu'zhou'yi'xue'yuan
徐州一中,xu'zhou'yi'zhong
徐州英才网,xu'zhou'ying'cai'wang
徐州有,xu'zhou'you
徐州站,xu'zhou'zhan
徐州这边,xu'zhou'zhe'bian
徐庄,xu'zhuang
徐庄矿,xu'zhuang'kuang
徐庄镇,xu'zhuang'zhen
宣武,xuan'wu
宣武市场,xuan'wu'shi'chang
薛集,xue'ji
压饿,ya'e
亚诺,ya'nuo
延长段,yan'chang'duan
盐豆,yan'dou
盐豆子,yan'dou'zi
沿湖,yan'hu
盐化工,yan'hua'gong
闫集,yan'ji
闫家,yan'jia
盐粒子,yan'li'zi
堰头,yan'tou
燕子埠,yan'zi'bu
洋槐花,yang'huai'hua
杨木,yang'mu
羊肉馆,yang'rou'guan
杨山,yang'shan
杨山路,yang'shan'lu
杨庄,yang'zhuang
要德,yao'de
姚集,yao'ji
要两人,yao'liang'ren
姚桥,yao'qiao
姚太太,yao'tai'tai
窑湾,yao'wan
妖业蛋,yao'ye'dan
姚庄,yao'zhuang
也不孬,ye'bu'nao
也才好,ye'cai'hao
叶记,ye'ji
夜新闻,ye'xin'wen
也着,ye'zhe
也揍,ye'zou
一拜的,yi'bai'de
一般化,yi'ban'hua
医保处,yi'bao'chu
一比潦倒,yi'bi'liao'dao
驿城,yi'cheng
易初爱莲,yi'chu'ai'lian
姨弟,yi'di
一点不假,yi'dian'bu'jia
姨哥,yi'ge
一会子,yi'hui'zi
一检,yi'jian
姨姐,yi'jie
一拉就响,yi'la'jiu'xiang
一南,yi'nan
一年人,yi'nian'ren
意外人,yi'wai'ren
医药中专,yi'yao'zhong'zhuan
一转脸,yi'zhuan'lian
伊庄,yi'zhuang
银地,yin'di
因么,yin'me
殷庄,yin'zhuang
硬棒,ying'bang
英才网,ying'cai'wang
颖都,ying'dou
樱花小镇,ying'hua'xiao'zhen
哟嗨,yo'hai
永安广场,yong'an'guang'chang
咏乐汇,yong'le'hui
油烫鸭,you'tang'ya
有徐州,you'xu'zhou
游一,you'yi
育才驾校,yu'cai'jia'xiao
御景园,yu'jing'yuan
玉米人,yu'mi'ren
御魔,yu'mo
羽绒袄,yu'rong'ao
远发,yuan'fa
原来园,yuan'lai'yuan
鸳楼,yuan'lou
圆梦花园,yuan'meng'hua'yuan
圆盘道,yuan'pan'dao
袁桥,yuan'qiao
岳庄,yue'zhuang
运河镇,yun'he'zhen
运河中学,yun'he'zhong'xue
云龙,yun'long
云龙公园,yun'long'gong'yuan
云龙湖,yun'long'hu
云龙区,yun'long'qu
云龙山,yun'long'shan
云泉,yun'quan
云泉山庄,yun'quan'shan'zhuang
运师,yun'shi
咋吃的,za'chi'de
咋制,za'zhi
杂志的,za'zhi'de
杂志里,za'zhi'li
在包,zai'bao
栽稻,zai'dao
在店了,zai'dian'le
在丰县,zai'feng'xian
在家干嘛的,zai'jia'gan'ma'de
在贾汪,zai'jia'wang
在金地,zai'jin'di
在金山桥,zai'jin'shan'qiao
在金鹰,zai'jin'ying
在矿大,zai'kuang'da
在连云港,zai'lian'yun'gang
在绿地,zai'lv'di
在哪玩的,zai'na'wan'de
在沛县,zai'pei'xian
在邳县,zai'pi'xian
在邳州,zai'pi'zhou
在市中心,zai'shi'zhong'xin
在宿迁,zai'su'qian
在睢宁,zai'sui'ning
在西苑,zai'xi'yuan
在新沂,zai'xin'yi
在徐州,zai'xu'zhou
在徐州的,zai'xu'zhou'de
在徐州了,zai'xu'zhou'le
在徐州吗,zai'xu'zhou'ma
在徐州呢,zai'xu'zhou'ne
在云龙湖,zai'yun'long'hu
咱两人,zan'liang'ren
早点名,zao'dian'ming
造坏,zao'huai
早来会,zao'lai'hui
早起会,zao'qi'hui
早去会,zao'qu'hui
早睡会,zao'shui'hui
躁死了,zao'si'le
燥死我了,zao'si'wo'le
早为,zao'wei
早些来,zao'xie'lai
早着来,zao'zhe'lai
怎么不吃的,zen'me'bu'chi'de
怎么不好的,zen'me'bu'hao'de
怎么不能的,zen'me'bu'neng'de
怎么不说话的,zen'me'bu'shuo'hua'de
怎么不行的,zen'me'bu'xing'de
怎么吃的,zen'me'chi'de
怎么带,zen'me'dai
怎么累的,zen'me'lei'de
怎么没有的,zen'me'mei'you'de
怎么能的,zen'me'neng'de
怎么弄得,zen'me'nong'de
怎么想起来的,zen'me'xiang'qi'lai'de
怎么住的,zen'me'zhu'de
翟山,zhai'shan
占城,zhan'cheng
长得俊,zhang'de'jun
张集,zhang'ji
张集矿,zhang'ji'kuang
张集镇,zhang'ji'zhen
张楼,zhang'lou
张双楼,zhang'shuang'lou
张五楼,zhang'wu'lou
张小楼,zhang'xiao'lou
张寨,zhang'zhai
张庄,zhang'zhuang
赵墩,zhao'dun
赵楼,zhao'lou
招商场,zhao'shang'chang
赵庄,zhao'zhuang
这去,zhe'qu
珍宝坊,zhen'bao'fang
镇北一路,zhen'bei'yi'lu
真不孬,zhen'bu'nao
振大,zhen'da
真憨,zhen'han
真假带,zhen'jia'dai
真假的,zhen'jia'de
真假滴,zhen'jia'di
真俊,zhen'jun
真来劲,zhen'lai'jin
真孬,zhen'nao
真能蛋,zhen'neng'dan
真胎,zhen'tai
郑分,zheng'fen
正干,zheng'gan
郑集,zheng'ji
郑集镇,zheng'ji'zhen
值当的,zhi'dang'de
知道班,zhi'dao'ban
知道包,zhi'dao'bao
直个,zhi'ge
制啥,zhi'sha
制啥来,zhi'sha'lai
只想死,zhi'xiang'si
中党,zhong'dang
中国成,zhong'guo'cheng
中国矿大,zhong'guo'kuang'da
中国矿业,zhong'guo'kuang'ye
中国矿业大学,zhong'guo'kuang'ye'da'xue
中山饭店,zhong'shan'fan'dian
中山堂,zhong'shan'tang
中枢街,zhong'shu'jie
中枢小区,zhong'shu'xiao'qu
钟吾路,zhong'wu'lu
中午商场,zhong'wu'shang'chang
钟吾网,zhong'wu'wang
中午怎么吃,zhong'wu'zen'me'chi
钟吾中学,zhong'wu'zhong'xue
粥鼎记,zhou'ding'ji
珠光改单,zhu'guang'gai'dan
朱贺,zhu'he
朱集,zhu'ji
竹林寺,zhu'lin'si
朱楼,zhu'lou
筑路,zhu'lu
珠山,zhu'shan
珠山公园,zhu'shan'gong'yuan
朱王庄,zhu'wang'zhuang
茱萸寺,zhu'yu'si
朱寨,zhu'zhai
朱庄,zhu'zhuang
抓紧回家,zhua'jin'hui'jia
抓紧回来,zhua'jin'hui'lai
抓紧来,zhua'jin'lai
抓紧睡,zhua'jin'shui
抓紧睡吧,zhua'jin'shui'ba
抓紧睡觉,zhua'jin'shui'jiao
抓紧说,zhua'jin'shuo
转脸,zhuan'lian
转盘道,zhuan'pan'dao
装憨,zhuang'han
装库,zhuang'ku
装熊,zhuang'xiong
自吧,zi'ba
滋儿,zi'er
子房,zi'fang
子房美景,zi'fang'mei'jing
紫金东郡,zi'jin'dong'jun
自卸王,zi'xie'wang
紫庄,zi'zhuang
揍的,zou'de
揍孩子,zou'hai'zi
揍毁,zou'hui
揍毁你,zou'hui'ni
走家,zou'jia
邹庄,zou'zhuang
钻石钱柜,zuan'shi'qian'gui
最俊,zui'jun
做龙湖,zuo'long'hu
做龙山,zuo'long'shan
