爱而不能令,ai'er'bu'neng'ling
怯者不得独退,qie'zhe'bu'de'du'tui
亲而离之,qin'er'li'zhi
侵掠如火,qin'lue'ru'huo
轻地吾将使之属,qing'de'wu'jiang'shi'zhi'shu
轻地也背固前隘者,qing'de'ye'bei'gu'qian'ai'zhe
轻地则无止,qing'de'ze'wu'zhi
情者,qing'zhe
穷寇勿迫,qiong'kou'wu'po
穷寇也,qiong'kou'ye
丘陵堤防,qiu'ling'di'fang
丘牛大车,qiu'niu'da'che
求之于势,qiu'zhi'yu'shi
衢地合交,qu'di'he'jiao
衢地吾将谨其恃,qu'di'wu'jiang'jin'qi'shi
衢地也,qu'di'ye
衢地则合交,qu'di'ze'he'jiao
驱而来,qu'er'lai
驱而往,qu'er'wang
去国越境而师者,qu'guo'yue'jing'er'shi'zhe
屈力殚货,qu'li'dan'huo
趋其所不意,qu'qi'suo'bu'yi
屈人之兵而非战也,qu'ren'zhi'bing'er'fei'zhan'ye
屈伸之力,qu'shen'zhi'li
取用于国,qu'yong'yu'guo
去之,qu'zhi
曲制官道主用也,qu'zhi'guan'dao'zhu'yong'ye
趋诸侯者以利,qu'zhu'hou'zhe'yi'li
全国为上,quan'guo'wei'shang
然后能为胜,ran'hou'neng'wei'sheng
然后十万之师举矣,ran'hou'shi'wan'zhi'shi'ju'yi
人皆知我所以胜之形,ren'jie'zhi'wo'suo'yi'sheng'zhi'xing
人情之理,ren'qing'zhi'li
任势者,ren'shi'zhe
日费千金,ri'fei'qian'jin
日夜不处,ri'ye'bu'chu
日有短长,ri'you'duan'chang
日月是也,ri'yue'shi'ye
日者,ri'zhe
如登高而去其梯帅与之深,ru'deng'gao'er'qu'qi'ti'shuai'yu'zhi'shen
入深者,ru'shen'zhe
如循环之无端,ru'xun'huan'zhi'wu'duan
如以投卵者,ru'yi'tou'luan'zhe
入诸侯之地,ru'zhu'hou'zhi'di
如转木石,ru'zhuan'mu'shi
如转圆石于千仞之山者,ru'zhuan'yuan'shi'yu'qian'ren'zhi'shan'zhe
锐卒勿攻,rui'zu'wu'gong
若敌先居之,ruo'di'xian'ju'zhi
若交军于斥泽之中,ruo'jiao'jun'yu'chi'ze'zhi'zhong
若决积水于千仞之溪者,ruo'jue'ji'shui'yu'qian'ren'zhi'xi'zhe
若驱群羊,ruo'qu'qun'yang
弱生于强,ruo'sheng'yu'qiang
若使一人,ruo'shi'yi'ren
若则能避之,ruo'ze'neng'bi'zhi
塞其阙,sai'qi'que
三军既,san'jun'ji
三军可夺气,san'jun'ke'duo'qi
三军足食,san'jun'zu'shi
三曰地,san'yue'di
三曰火辎,san'yue'huo'zi
三曰数,san'yue'shu
杀士卒三分之一,sha'shi'zu'san'fen'zhi'yi
善攻者动于九天之上,shan'gong'zhe'dong'yu'jiu'tian'zhi'shang
善守者藏于九地之下,shan'shou'zhe'cang'yu'jiu'di'zhi'xia
善用兵者,shan'yong'bing'zhe
善之善者也,shan'zhi'shan'zhe'ye
赏罚孰明,shang'fa'shu'ming
上将之道也,shang'jiang'zhi'dao'ye
上下不相收,shang'xia'bu'xiang'shou
上下同欲者胜,shang'xia'tong'yu'zhe'sheng
上雨水流至,shang'yu'shui'liu'zhi
少则能逃之,shao'ze'neng'tao'zhi
深间不能窥,shen'jian'bu'neng'kui
深入则拘,shen'ru'ze'ju
深入则专,shen'ru'ze'zhuan
深则专,shen'ze'zhuan
声不过五,sheng'bu'guo'wu
胜负见矣,sheng'fu'jian'yi
胜久则钝兵挫锐,sheng'jiu'ze'dun'bing'cuo'rui
胜乃不殆知天知地,sheng'nai'bu'dai'zhi'tian'zhi'di
胜乃可全,sheng'nai'ke'quan
胜已败者也,sheng'yi'bai'zhe'ye
胜于易胜者也,sheng'yu'yi'sheng'zhe'ye
胜之半也知敌之可击,sheng'zhi'ban'ye'zhi'di'zhi'ke'ji
食敌一钟,shi'di'yi'zhong
事而同三军之政,shi'er'tong'san'jun'zhi'zheng
是故百战百胜,shi'gu'bai'zhan'bai'sheng
是故不争天下之交,shi'gu'bu'zheng'tian'xia'zhi'jiao
是故不知诸侯之谋者,shi'gu'bu'zhi'zhu'hou'zhi'mou'zhe
是故方,shi'gu'fang
是故卷甲而趋,shi'gu'juan'jia'er'qu
是故军无辎重则亡,shi'gu'jun'wu'zi'zhong'ze'wang
是故其兵不修而戒,shi'gu'qi'bing'bu'xiu'er'jie
是故屈,shi'gu'qu
是故散地吾将一其志,shi'gu'san'di'wu'jiang'yi'qi'zhi
是故散地则无战,shi'gu'san'di'ze'wu'zhan
是故胜兵,shi'gu'sheng'bing
是故始如处女,shi'gu'shi'ru'chu'nv
是故朝气锐,shi'gu'zhao'qi'rui
是故政举,shi'gu'zheng'ju
是故智者之虑,shi'gu'zhi'zhe'zhi'lv
势均难以,shi'jun'nan'yi
使民不得虑,shi'min'bu'de'lv
恃其险也远而挑战者,shi'qi'xian'ye'yuan'er'tiao'zhan'zhe
十去其六,shi'qu'qi'liu
十去其七公家之费,shi'qu'qi'qi'gong'jia'zhi'fei
使人备己者也,shi'ren'bei'ji'zhe'ye
士人尽力,shi'ren'jin'li
使人无识易其居,shi'ren'wu'shi'yi'qi'ju
势如扩弩,shi'ru'kuo'nu
视生处,shi'sheng'chu
视生处高,shi'sheng'chu'gao
是谓必取,shi'wei'bi'qu
是谓必胜,shi'wei'bi'sheng
是谓乱军引胜,shi'wei'luan'jun'yin'sheng
是谓縻军不知三军之,shi'wei'mi'jun'bu'zhi'san'jun'zhi
是谓巧能成事,shi'wei'qiao'neng'cheng'shi
是谓胜敌而益强,shi'wei'sheng'di'er'yi'qiang
施无法之赏,shi'wu'fa'zhi'shang
恃吾有所不可攻也,shi'wu'you'suo'bu'ke'gong'ye
恃吾有以,shi'wu'you'yi
势险,shi'xian
势也,shi'ye
势也强弱,shi'ye'qiang'ruo
势也鸷鸟之疾,shi'ye'zhi'niao'zhi'ji
是以十攻其一也,shi'yi'shi'gong'qi'yi'ye
十则围之,shi'ze'wei'zhi
势者,shi'zhe
时者,shi'zhe
使之无知易其事,shi'zhi'wu'zhi'yi'qi'shi
时制也地者,shi'zhi'ye'di'zhe
识众寡之用者胜,shi'zhong'gua'zhi'yong'zhe'sheng
失众也数赏者,shi'zhong'ye'shu'shang'zhe
视卒如婴儿,shi'zu'ru'ying'er
士卒孰练,shi'zu'shu'lian
士卒坐者涕沾襟,shi'zu'zuo'zhe'ti'zhan'jin
守而必固者,shou'er'bi'gu'zhe
守其所必攻也,shou'qi'suo'bi'gong'ye
手若使一人,shou'ruo'shi'yi'ren
守也,shou'ye
守则不足,shou'ze'bu'zu
孰能穷之哉,shu'neng'qiong'zhi'zai
数生称,shu'sheng'cheng
数也勇怯,shu'ye'yong'qie
率然者,shuai'ran'zhe
帅与之期,shuai'yu'zhi'qi
水草而背众树,shui'cao'er'bei'zhong'shu
水可以绝,shui'ke'yi'jue
水无常形,shui'wu'chang'xing
水之行避高而趋下,shui'zhi'xing'bi'gao'er'qu'xia
死地吾将示之以不活,si'di'wu'jiang'shi'zhi'yi'bu'huo
死地也,si'di'ye
死地则战,si'di'ze'zhan
死而更生,si'er'geng'sheng
死且不北,si'qie'bu'bei
死生之地,si'sheng'zhi'di
四时是也,si'shi'shi'ye
四时无常位,si'shi'wu'chang'wei
四五者,si'wu'zhe
死焉不得,si'yan'bu'de
四曰称,si'yue'cheng
四曰火库,si'yue'huo'ku
四曰将,si'yue'jiang
死者不可以复生,si'zhe'bu'ke'yi'fu'sheng
速而不可及也,su'er'bu'ke'ji'ye
虽画地而守之,sui'hua'di'er'shou'zhi
虽有智者不能善其后矣,sui'you'zhi'zhe'bu'neng'shan'qi'hou'yi
虽知地形,sui'zhi'di'xing
虽知五利,sui'zhi'wu'li
孙子曰,sun'zi'yue
所从归者迂,suo'cong'gui'zhe'yu
所以变人之耳目也,suo'yi'bian'ren'zhi'er'mu'ye
所以一民之耳目也,suo'yi'yi'min'zhi'er'mu'ye
天地孰得,tian'di'shu'de
天下众者,tian'xia'zhong'zhe
天之燥也,tian'zhi'zao'ye
挑战,tiao'zhan
通形者,tong'xing'zhe
投之亡地然后存,tou'zhi'wang'di'ran'hou'cun
投之无所往,tou'zhi'wu'suo'wang
徒来也散而条达者,tu'lai'ye'san'er'tiao'da'zhe
途有所不由,tu'you'suo'bu'you
退不避罪,tui'bu'bi'zui
退也轻车先出居其侧者,tui'ye'qing'che'xian'chu'ju'qi'ce'zhe
亡国不可以复存,wang'guo'bu'ke'yi'fu'cun
为不得已,wei'bu'de'yi
为不可测,wei'bu'ke'ce
围地,wei'di
围地吾将,wei'di'wu'jiang
围地也无所往者,wei'di'ye'wu'suo'wang'zhe
围地则谋,wei'di'ze'mou
未睹巧之久,wei'du'qiao'zhi'jiu
为泛地所由入者隘,wei'fan'di'suo'you'ru'zhe'ai
微乎微乎,wei'hu'wei'hu
唯亟去无留,wei'ji'qu'wu'liu
威加于敌,wei'jia'yu'di
为交地诸侯之地三属,wei'jiao'di'zhu'hou'zhi'di'san'shu
委军而争利则辎重捐,wei'jun'er'zheng'li'ze'zi'zhong'juan
唯民是保,wei'min'shi'bao
畏其众者,wei'qi'zhong'zhe
为轻地我得亦利,wei'qing'de'wo'de'yi'li
为衢地入人之地深,wei'qu'di'ru'ren'zhi'di'shen
为散地入人之地不深者,wei'san'di'ru'ren'zhi'di'bu'shen'zhe
围师遗阙,wei'shi'yi'que
为死地,wei'si'di
为围地疾,wei'wei'di'ji
惟无武进,wei'wu'wu'jin
微与之期,wei'yu'zhi'qi
危则动,wei'ze'dong
为争地我可以往,wei'zheng'di'wo'ke'yi'wang
谓之神,wei'zhi'shen
未之有也,wei'zhi'you'ye
为重地山林险阻沮泽,wei'zhong'di'shan'lin'xian'zu'ju'ze
未足恃也齐勇如一,wei'zu'shi'ye'qi'yong'ru'yi
闻雷霆不为聪耳,wen'lei'ting'bu'wei'cong'er
温字氵旁换车旁,wen'zi'san'pang'huan'che'pang
我出而不利,wo'chu'er'bu'li
我可以往,wo'ke'yi'wang
我无出也,wo'wu'chu'ye
我先居之,wo'xian'ju'zhi
卧者涕交颐,wo'zhe'ti'jiao'yi
我专为一,wo'zhuan'wei'yi
无败者,wu'bai'zhe
勿从也,wu'cong'ye
无待于内,wu'dai'yu'nei
无附于水而迎客,wu'fu'yu'shui'er'ying'ke
勿告以利,wu'gao'yi'li
勿告以言犯,wu'gao'yi'yan'fan
无攻下风,wu'gong'xia'feng
无击堂堂之陈,wu'ji'tang'tang'zhi'chen
勿近也,wu'jin'ye
无粮食则亡,wu'liang'shi'ze'wang
无穷如天地,wu'qiong'ru'tian'di
五色之变,wu'se'zhi'bian
五声之变,wu'sheng'zhi'bian
无恃其不来,wu'shi'qi'bu'lai
吾士无余财,wu'shi'wu'yu'cai
无所不备,wu'suo'bu'bei
无所往则固,wu'suo'wang'ze'gu
吾所与战之地不可知,wu'suo'yu'zhan'zhi'di'bu'ke'zhi
无通其使,wu'tong'qi'shi
无委积则亡,wu'wei'ji'ze'wang
五味之变,wu'wei'zhi'bian
无形则,wu'xing'ze
无邀正正之旗,wu'yao'zheng'zheng'zhi'qi
吾以此知胜负矣,wu'yi'ci'zhi'sheng'fu'yi
无迎水流,wu'ying'shui'liu
勿迎之于水内,wu'ying'zhi'yu'shui'nei
无勇功,wu'yong'gong
吾远之,wu'yuan'zhi
五曰火队,wu'yue'huo'dui
五曰胜,wu'yue'sheng
五则攻之,wu'ze'gong'zhi
无战可也,wu'zhan'ke'ye
无智名,wu'zhi'ming
昔之善战者,xi'zhi'shan'zhan'zhe
瑕的王旁换石旁,xia'de'wang'pang'huan'shi'pang
先居高阳,xian'ju'gao'yang
先人至,xian'ren'zhi
先胜而后求战,xian'sheng'er'hou'qiu'zhan
先为不可胜,xian'wei'bu'ke'sheng
险形者,xian'xing'zhe
先至而得,xian'zhi'er'de
陷之死地然后生,xian'zhi'si'di'ran'hou'sheng
先知迂直之计者胜,xian'zhi'yu'zhi'zhi'ji'zhe'sheng
相守数年,xiang'shou'shu'nian
小林荟者,xiao'lin'hui'zhe
校之以计,xiao'zhi'yi'ji
行火必有因,xing'huo'bi'you'yin
行军第九,xing'jun'di'jiu
形名是也三军之众,xing'ming'shi'ye'san'jun'zhi'zhong
行千里而不劳者,xing'qian'li'er'bu'lao'zhe
形也,xing'ye
形圆,xing'yuan
形者,xing'zhe
形之,xing'zhi
行之道者,xing'zhi'dao'zhe
形之而知死生之地,xing'zhi'er'zhi'si'sheng'zhi'di
修道而保法,xiu'dao'er'bao'fa
修橹,xiu'lu
虚实第六,xu'shi'di'liu
虚实是也,xu'shi'shi'ye
虚也夜呼者,xu'ye'ye'hu'zhe
徐与人言者,xu'yu'ren'yan'zhe
悬权而动,xuan'quan'er'dong
悬无政之令,xuan'wu'zheng'zhi'ling
讠翕,yan'xi
佯北勿从,yang'bei'wu'cong
养生而处,yang'sheng'er'chu
以饱待饥,yi'bao'dai'ji
役不再籍,yi'bu'zai'ji
一不知,yi'bu'zhi
以待敌之可胜,yi'dai'di'zhi'ke'sheng
一石,yi'dan
佚而劳之,yi'er'lao'zhi
以分和为变,yi'fen'he'wei'bian
夷关折符,yi'guan'zhe'fu
以患为利,yi'huan'wei'li
翳加艹头,yi'jia'cao'tou
以近待远,yi'jin'dai'yuan
以静待哗,yi'jing'dai'hua
以决战事,yi'jue'zhan'shi
以利动,yi'li'dong
以利动之,yi'li'dong'zhi
以奇胜,yi'qi'sheng
以弱击强,yi'ruo'ji'qiang
以少合众,yi'shao'he'zhong
一胜一负不知彼不知己,yi'sheng'yi'fu'bu'zhi'bi'bu'zhi'ji
以时发之,yi'shi'fa'zhi
以数守之,yi'shu'shou'zhi
以水佐攻者强,yi'shui'zuo'gong'zhe'qiang
以吾度之,yi'wu'du'zhi
亦奚益于胜哉,yi'xi'yi'yu'sheng'zai
疑也鸟起者,yi'ye'niao'qi'zhe
以佚,yi'yi
以一击十,yi'yi'ji'shi
以迂为直,yi'yu'wei'zhi
以战则利,yi'zhan'ze'li
以正合,yi'zheng'he
以争一日之胜,yi'zheng'yi'ri'zhi'sheng
矣治兵不知九变之术,yi'zhi'bing'bu'zhi'jiu'bian'zhi'shu
以治待乱,yi'zhi'dai'luan
役诸侯者以业,yi'zhu'hou'zhe'yi'ye
以诛其事,yi'zhu'qi'shi
以卒待之,yi'zu'dai'zhi
以佐其外,yi'zuo'qi'wai
因必素具,yin'bi'su'ju
引而去之,yin'er'qu'zhi
因利而制权也,yin'li'er'zhi'quan'ye
因粮于敌,yin'liang'yu'di
因形而措胜于众,yin'xing'er'cuo'sheng'yu'zhong
阴阳寒暑,yin'yang'han'shu
盈而勿从,ying'er'wu'cong
营军也辞卑而备,ying'jun'ye'ci'bei'er'bei
用兵之法,yong'bing'zhi'fa
用兵之灾也,yong'bing'zhi'zai'ye
用而示之不用,yong'er'shi'zhi'bu'yong
用间第十三,yong'jian'di'shi'san
用之必败,yong'zhi'bi'bai
用之必胜,yong'zhi'bi'sheng
右背高,you'bei'gao
右不能救,you'bu'neng'jiu
又不相去,you'bu'xiang'qu
由不虞之道,you'bu'yu'zhi'dao
有泛地,you'fan'di
有交地,you'jiao'di
有轻地,you'qing'de
有衢地,you'qu'di
有散地,you'san'di
又三月而后已,you'san'yue'er'hou'yi
有死地,you'si'di
诱也杖而立者,you'ye'zhang'er'li'zhe
有争地,you'zheng'di
有重地,you'zhong'di
虞待不虞者胜,yu'dai'bu'yu'zhe'sheng
遇敌怼而自战,yu'di'dui'er'zi'zhan
迂其途,yu'qi'tu
于人,yu'ren
欲人之进也其所居易者,yu'ren'zhi'jin'ye'qi'suo'ju'yi'zhe
欲涉者,yu'she'zhe
欲休息也,yu'xiu'xi'ye
欲战者,yu'zhan'zhe
与众相得也,yu'zhong'xiang'de'ye
远而示之近,yuan'er'shi'zhi'jin
远近险易广狭死生也将者,yuan'jin'xian'yi'guang'xia'si'sheng'ye'jiang'zhe
远输则百姓贫近师者贵卖,yuan'shu'ze'bai'xing'pin'jin'shi'zhe'gui'mai
远形者,yuan'xing'zhe
圆则行,yuan'ze'xing
曰北,yue'bei
曰崩将弱不严,yue'beng'jiang'ruo'bu'yan
曰驰吏强卒弱,yue'chi'li'qiang'zu'ruo
月而后成距堙,yue'er'hou'cheng'ju'yin
曰法,yue'fa
曰挂,yue'gua
曰可,yue'ke
曰乱将不能料敌,yue'luan'jiang'bu'neng'liao'di
越人之兵虽多,yue'ren'zhi'bing'sui'duo
曰通,yue'tong
曰陷,yue'xian
月有死生,yue'you'si'sheng
月在,yue'zai
曰支,yue'zhi
曰主孰有道,yue'zhu'shu'you'dao
曰走卒强吏弱,yue'zou'zu'qiang'li'ruo
运兵计谋,yun'bing'ji'mou
愠可以复说,yun'ke'yi'fu'shuo
杂于害而患可解也,za'yu'hai'er'huan'ke'jie'ye
杂于利而务可信也,za'yu'li'er'wu'ke'xin'ye
在顺详敌之意,zai'shun'xiang'di'zhi'yi
则不服,ze'bu'fu
则不可用,ze'bu'ke'yong
则不能尽知用兵之利也,ze'bu'neng'jin'zhi'yong'bing'zhi'li'ye
则蹶上将军,ze'jue'shang'jiang'jun
则军士惑矣不知三军之权而同三军之任,ze'jun'shi'huo'yi'bu'zhi'san'jun'zhi'quan'er'tong'san'jun'zhi'ren
则军士疑矣,ze'jun'shi'yi'yi
则可千里而会战不知战之地,ze'ke'qian'li'er'hui'zhan'bu'zhi'zhan'zhi'di
则民服令素不行以教其民,ze'min'fu'ling'su'bu'xing'yi'jiao'qi'min
则谋,ze'mou
则内外之费,ze'nei'wai'zhi'fei
则其城可拔,ze'qi'cheng'ke'ba
则其交不得合,ze'qi'jiao'bu'de'he
则其众不得聚威加于敌,ze'qi'zhong'bu'de'ju'wei'jia'yu'di
则擒三将军,ze'qin'san'jiang'jun
则三分之二至,ze'san'fen'zhi'er'zhi
则我众敌寡,ze'wo'zhong'di'gua
则我专而敌分,ze'wo'zhuan'er'di'fen
则无所不寡,ze'wu'suo'bu'gua
则吾所与战者寡矣,ze'wu'suo'yu'zhan'zhe'gua'yi
则吾之所与战者约矣,ze'wu'zhi'suo'yu'zhan'zhe'yue'yi
则勇者不得独进,ze'yong'zhe'bu'de'du'jin
则早应之于外火发而其兵静者,ze'zao'ying'zhi'yu'wai'huo'fa'er'qi'bing'jing'zhe
则诸侯乘其弊而起,ze'zhu'hou'cheng'qi'bi'er'qi
则诸侯之难至矣,ze'zhu'hou'zhi'nan'zhi'yi
则左不能救右,ze'zuo'bu'neng'jiu'you
战而不利,zhan'er'bu'li
战隆无登,zhan'long'wu'deng
战则存,zhan'ze'cun
战者,zhan'zhe
者也,zhe'ye
争地吾将趋其后,zheng'di'wu'jiang'qu'qi'hou
争地则无攻,zheng'di'ze'wu'gong
争为危,zheng'wei'wei
正以治,zheng'yi'zhi
正之变,zheng'zhi'bian
政之道也刚柔皆得,zheng'zhi'dao'ye'gang'rou'jie'de
之半也,zhi'ban'ye
知此而用战者必,zhi'ci'er'yong'zhan'zhe'bi
治乱,zhi'luan
之全卒为上,zhi'quan'zu'wei'shang
致人而不致于人,zhi'ren'er'bu'zhi'yu'ren
之日,zhi'ri
之若何曰先夺其所爱则听矣,zhi'ruo'he'yue'xian'duo'qi'suo'ai'ze'ting'yi
之蛇也,zhi'she'ye
知胜之道也,zhi'sheng'zhi'dao'ye
至死无所之,zhi'si'wu'suo'zhi
知吾卒之可以击,zhi'wu'zu'zhi'ke'yi'ji
智信仁勇严也法,zhi'xin'ren'yong'yan'ye'fa
之性,zhi'xing
之形者,zhi'xing'zhe
支形者,zhi'xing'zhe
之以害,zhi'yi'hai
之以计,zhi'yi'ji
之以文,zhi'yi'wen
之用,zhi'yong
知用兵矣将不通九变之利,zhi'yong'bing'yi'jiang'bu'tong'jiu'bian'zhi'li
至于毁折者,zhi'yu'hui'zhe'zhe
至于漂石者,zhi'yu'piao'shi'zhe
至于无声,zhi'yu'wu'sheng
至于无形,zhi'yu'wu'xing
至于无形神乎神乎,zhi'yu'wu'xing'shen'hu'shen'hu
之于险,zhi'yu'xian
之灾,zhi'zai
知战之日,zhi'zhan'zhi'ri
智者不能谋,zhi'zhe'bu'neng'mou
知之者胜,zhi'zhi'zhe'sheng
众不能知,zhong'bu'neng'zhi
重地吾将继其食,zhong'di'wu'jiang'ji'qi'shi
重地也入浅者,zhong'di'ye'ru'qian'zhe
重地则掠,zhong'di'ze'lue
终而复始,zhong'er'fu'shi
众寡不相恃,zhong'gua'bu'xiang'shi
昼风久,zhou'feng'jiu
昼气惰,zhou'qi'duo
昼战多旌旗,zhou'zhan'duo'jing'qi
主不可以怒而兴师,zhu'bu'ke'yi'nu'er'xing'shi
诸刿之勇也,zhu'gui'zhi'yong'ye
诸侯者以害,zhu'hou'zhe'yi'hai
诸侯自战其地者,zhu'hou'zi'zhan'qi'di'zhe
主人不克,zhu'ren'bu'ke
主曰必,zhu'yue'bi
主曰无战,zhu'yue'wu'zhan
谆谆,zhun'zhun
卒离而不集,zu'li'er'bu'ji
卒善而养之,zu'shan'er'yang'zhi
卒未亲而罚之,zu'wei'qin'er'fa'zhi
足以并力料敌取人而已,zu'yi'bing'li'liao'di'qu'ren'er'yi
卒已亲附而罚不行,zu'yi'qin'fu'er'fa'bu'xing
作战第二,zuo'zhan'di'er
