啊公平,a'gong'ping
还有点多,hai'you'dian'duo
还有哈,hai'you'ha
还有哈儿,hai'you'ha'er
还有哈哈,hai'you'ha'ha
还有好久,hai'you'hao'jiu
还有好久到,hai'you'hao'jiu'dao
还有好久回来,hai'you'hao'jiu'hui'lai
还有好久嘛,hai'you'hao'jiu'ma
还有黑多,hai'you'hei'duo
还有没得,hai'you'mei'de
还有撒子,hai'you'sa'zi
还有啥子,hai'you'sha'zi
还有也,hai'you'ye
还有一哈,hai'you'yi'ha
还有一阵,hai'you'yi'zhen
还有阵,hai'you'zhen
还在重庆,hai'zai'chong'qing
还在没得,hai'zai'mei'de
还在耍,hai'zai'shua
还在屋头,hai'zai'wu'tou
还早得,hai'zao'de
还早得很,hai'zao'de'hen
还早的嘛,hai'zao'de'ma
还早哦,hai'zao'o
还早撒,hai'zao'sa
还早也,hai'zao'ye
还早哟,hai'zao'yo
海装,hai'zhuang
喊别个,han'bie'ge
憨吃哈涨,han'chi'ha'zhang
喊得到,han'de'dao
汉丰湖,han'feng'hu
含谷镇,han'gu'zhen
瀚华,han'hua
喊老子,han'lao'zi
喊了的,han'le'de
喊哪个,han'na'ge
喊你不要,han'ni'bu'yao
喊你看,han'ni'kan
喊你妈妈,han'ni'ma'ma
喊你说,han'ni'shuo
喊起,han'qi
喊起去,han'qi'qu
喊起耍,han'qi'shua
喊啥子,han'sha'zi
喊他,han'ta
喊他来,han'ta'lai
喊他们,han'ta'men
捍卫路,han'wei'lu
喊我滚,han'wo'gun
喊我回去,han'wo'hui'qu
喊我看,han'wo'kan
喊我嘛,han'wo'ma
喊些,han'xie
汉渝路,han'yu'lu
航天职大,hang'tian'zhi'da
好暗了,hao'an'le
好安逸,hao'an'yi
好安逸啊,hao'an'yi'a
好安逸哟,hao'an'yi'yo
好不安逸,hao'bu'an'yi
好不得了,hao'bu'de'liao
好不好得,hao'bu'hao'de
好不好看嘛,hao'bu'hao'kan'ma
好不好耍,hao'bu'hao'shua
好不好耍嘛,hao'bu'hao'shua'ma
好不嘛,hao'bu'ma
好惨了,hao'can'le
好扯,hao'che
好扯哟,hao'che'yo
好吃不嘛,hao'chi'bu'ma
好吃惨了,hao'chi'can'le
好吃得,hao'chi'de
好吃狗,hao'chi'gou
好吃街,hao'chi'jie
好吃皮,hao'chi'pi
好吃撒,hao'chi'sa
好吃些,hao'chi'xie
好锤子,hao'chui'zi
好大回事,hao'da'hui'shi
好打挤,hao'da'ji
好打瞌睡,hao'da'ke'shui
好大嘛,hao'da'ma
好大哟,hao'da'yo
好的到,hao'de'dao
好得行,hao'de'xing
好点没的,hao'dian'mei'de
好点钱,hao'dian'qian
好点撒,hao'dian'sa
好堵车,hao'du'che
好多度,hao'duo'du
好多分,hao'duo'fen
好多分钟,hao'duo'fen'zhong
好多工资,hao'duo'gong'zi
好多号,hao'duo'hao
好多级,hao'duo'ji
好多级了,hao'duo'ji'le
好多斤,hao'duo'jin
好多老,hao'duo'lao
好多楼,hao'duo'lou
好多嘛,hao'duo'ma
好多名,hao'duo'ming
好多钱嘛,hao'duo'qian'ma
好多钱那,hao'duo'qian'na
好多钱哦,hao'duo'qian'o
好多钱钱,hao'duo'qian'qian
好多钱呀,hao'duo'qian'ya
好多钱也,hao'duo'qian'ye
好多钱一个月,hao'duo'qian'yi'ge'yue
好多钱哟,hao'duo'qian'yo
好多撒,hao'duo'sa
好多岁,hao'duo'sui
好多岁了,hao'duo'sui'le
好多哟,hao'duo'yo
好多钟,hao'duo'zhong
好多周,hao'duo'zhou
好多桌,hao'duo'zhuo
浩儿,hao'er
好儿童,hao'er'tong
耗儿药,hao'er'yao
耗儿鱼,hao'er'yu
好烦咯,hao'fan'ge
好烦嘛,hao'fan'ma
好烦哟,hao'fan'yo
好搞扯,hao'gao'che
好给人,hao'gei'ren
好耿直,hao'geng'zhi
好乖呀,hao'guai'ya
好乖哟,hao'guai'yo
好贵哟,hao'gui'yo
好好嘛,hao'hao'ma
好好生生,hao'hao'sheng'sheng
好好耍,hao'hao'shua
好好哟,hao'hao'yo
好黑人,hao'hei'ren
好狠了,hao'hen'le
好划不来,hao'hua'bu'lai
好划不着,hao'hua'bu'zhao
好鸡儿,hao'ji'er
好假打,hao'jia'da
好焦人,hao'jiao'ren
好久报名,hao'jiu'bao'ming
好久吃,hao'jiu'chi
好久吃饭,hao'jiu'chi'fan
好久出,hao'jiu'chu
好久出发,hao'jiu'chu'fa
好久出来,hao'jiu'chu'lai
好久出来耍,hao'jiu'chu'lai'shua
好久出门,hao'jiu'chu'men
好久出去,hao'jiu'chu'qu
好久打,hao'jiu'da
好久到,hao'jiu'dao
好久到的,hao'jiu'dao'de
好久发,hao'jiu'fa
好久发的,hao'jiu'fa'de
好久发货,hao'jiu'fa'huo
好久放,hao'jiu'fang
好久放假,hao'jiu'fang'jia
好久放学,hao'jiu'fang'xue
好久给,hao'jiu'gei
好久给你,hao'jiu'gei'ni
好久给我,hao'jiu'gei'wo
好久过来,hao'jiu'guo'lai
好久过去,hao'jiu'guo'qu
好久还,hao'jiu'hai
好久还是,hao'jiu'hai'shi
好久回家,hao'jiu'hui'jia
好久回来,hao'jiu'hui'lai
好久回来啊,hao'jiu'hui'lai'a
好久回来的,hao'jiu'hui'lai'de
好久回来嘛,hao'jiu'hui'lai'ma
好久回来呢,hao'jiu'hui'lai'ne
好久回来哦,hao'jiu'hui'lai'o
好久回来呀,hao'jiu'hui'lai'ya
好久回来也,hao'jiu'hui'lai'ye
好久回来哟,hao'jiu'hui'lai'yo
好久回去,hao'jiu'hui'qu
好久回去的,hao'jiu'hui'qu'de
好久回学校,hao'jiu'hui'xue'xiao
好久交,hao'jiu'jiao
好久结婚,hao'jiu'jie'hun
好久开,hao'jiu'kai
好久开始,hao'jiu'kai'shi
好久开学,hao'jiu'kai'xue
好久看,hao'jiu'kan
好久考,hao'jiu'kao
好久考试,hao'jiu'kao'shi
好久来,hao'jiu'lai
好久来啊,hao'jiu'lai'a
好久来的,hao'jiu'lai'de
好久来嘛,hao'jiu'lai'ma
好久来拿,hao'jiu'lai'na
好久了哟,hao'jiu'le'yo
好久嘛,hao'jiu'ma
好久买,hao'jiu'mai
好久买的,hao'jiu'mai'de
好久拿,hao'jiu'na
好久能,hao'jiu'neng
好久起来,hao'jiu'qi'lai
好久起来的,hao'jiu'qi'lai'de
好久去,hao'jiu'qu
好久去吃,hao'jiu'qu'chi
好久去的,hao'jiu'qu'de
好久去看,hao'jiu'qu'kan
好久去嘛,hao'jiu'qu'ma
好久去学校,hao'jiu'qu'xue'xiao
好久撒,hao'jiu'sa
好久上,hao'jiu'shang
好久上班,hao'jiu'shang'ban
好久上课,hao'jiu'shang'ke
好久上来,hao'jiu'shang'lai
好久生,hao'jiu'sheng
好久睡,hao'jiu'shui
好久睡得,hao'jiu'shui'de
好久睡觉,hao'jiu'shui'jiao
好久说的,hao'jiu'shuo'de
好久哇,hao'jiu'wa
好久完,hao'jiu'wan
好久我,hao'jiu'wo
好久我们,hao'jiu'wo'men
好久下,hao'jiu'xia
好久下班,hao'jiu'xia'ban
好久下课,hao'jiu'xia'ke
好久下来,hao'jiu'xia'lai
好久休息,hao'jiu'xiu'xi
好久要,hao'jiu'yao
好久也,hao'jiu'ye
好久一起,hao'jiu'yi'qi
好久哟,hao'jiu'yo
好久有,hao'jiu'you
好久有空,hao'jiu'you'kong
好久有时间,hao'jiu'you'shi'jian
好久在,hao'jiu'zai
好久走,hao'jiu'zou
好久走嘛,hao'jiu'zou'ma
好看不嘛,hao'kan'bu'ma
好看不那,hao'kan'bu'na
好看惨了,hao'kan'can'le
好看撒,hao'kan'sa
好快哟,hao'kuai'yo
好老火,hao'lao'huo
好了来,hao'le'lai
好了没的,hao'le'mei'de
好了所,hao'le'suo
好累我,hao'lei'wo
好累哟,hao'lei'yo
好冷哟,hao'leng'yo
好嘛,hao'ma
好慢哟,hao'man'yo
好忙哟,hao'mang'yo
好冒火,hao'mao'huo
好毛躁,hao'mao'zao
好霉,hao'mei
好没得,hao'mei'de
好没得嘛,hao'mei'de'ma
好那种,hao'na'zhong
好恼火,hao'nao'huo
好闹热,hao'nao're
好撇,hao'pie
好呛,hao'qiang
好球多,hao'qiu'duo
好球贵,hao'qiu'gui
好球冷,hao'qiu'leng
好球热,hao'qiu're
好球无聊,hao'qiu'wu'liao
好热我,hao're'wo
好热哟,hao're'yo
好日白,hao'ri'bai
好撒,hao'sa
好撒子,hao'sa'zi
好塞,hao'sai
好啥子,hao'sha'zi
好少皮,hao'shao'pi
好生点,hao'sheng'dian
好生日,hao'sheng'ri
好生耍,hao'sheng'shua
好生说,hao'sheng'shuo
好舒服哟,hao'shu'fu'yo
好耍,hao'shua
好耍啊,hao'shua'a
好耍不,hao'shua'bu
好耍不嘛,hao'shua'bu'ma
好耍的,hao'shua'de
好耍得很,hao'shua'de'hen
好耍点,hao'shua'dian
好耍了,hao'shua'le
好耍嘛,hao'shua'ma
好耍撒,hao'shua'sa
好耍些,hao'shua'xie
好耍呀,hao'shua'ya
好耍也,hao'shua'ye
好耍哟,hao'shua'yo
好讨打,hao'tao'da
好痛哟,hao'tong'yo
好娃儿,hao'wa'er
好完了,hao'wan'le
好无聊我,hao'wu'liao'wo
好无聊哟,hao'wu'liao'yo
好像没得,hao'xiang'mei'de
好想你哟,hao'xiang'ni'yo
好小哟,hao'xiao'yo
好些没得,hao'xie'mei'de
好又来,hao'you'lai
好远嘛,hao'yuan'ma
好远哟,hao'yuan'yo
好遭不住,hao'zao'bu'zhu
好造孽,hao'zao'nie
好早哟,hao'zao'yo
蒿枝坝,hao'zhi'ba
耗子屎,hao'zi'shi
河坝,he'ba
河堡,he'bao
何必嘛,he'bi'ma
何必也,he'bi'ye
河边边,he'bian'bian
和别个,he'bie'ge
喝不得,he'bu'de
喝不赢,he'bu'ying
和重庆,he'chong'qing
合川,he'chuan
合川的,he'chuan'de
合川了,he'chuan'le
合川区,he'chuan'qu
合川人,he'chuan'ren
合川市,he'chuan'shi
合川中学,he'chuan'zhong'xue
合二,he'er
合二中,he'er'zhong
河翻水翻,he'fan'shui'fan
和府,he'fu
何埂,he'geng
河沟,he'gou
和泓四季,he'hong'si'ji
荷家,he'jia
喝酒撒,he'jiu'sa
喝了的,he'le'de
喝嘛,he'ma
喝麻了,he'ma'le
和哪些,he'na'xie
和你吹,he'ni'chui
和你耍,he'ni'shua
和你一路,he'ni'yi'lu
和平药房,he'ping'yao'fang
和谦,he'qian
和他耍,he'ta'shua
和我一路,he'wo'yi'lu
荷香正气,he'xiang'zheng'qi
荷香正气液,he'xiang'zheng'qi'ye
何娅,he'ya
喝夜啤酒,he'ye'pi'jiu
禾园,he'yuan
何跃,he'yue
河运校,he'yun'xiao
嘿不,hei'bu
黑不错,hei'bu'cuo
黑不得了,hei'bu'de'liao
黑不好,hei'bu'hao
黑不舒服,hei'bu'shu'fu
黑不爽,hei'bu'shuang
黑不想,hei'bu'xiang
黑惨,hei'can
黑惨了,hei'can'le
黑长,hei'chang
黑扯,hei'che
黑丑,hei'chou
嘿大,hei'da
黑到,hei'dao
黑到了,hei'dao'le
黑懂,hei'dong
黑短,hei'duan
黑多,hei'duo
黑多次,hei'duo'ci
黑多东西,hei'duo'dong'xi
黑多个,hei'duo'ge
黑多年,hei'duo'nian
黑多钱,hei'duo'qian
黑多人,hei'duo'ren
黑多事,hei'duo'shi
黑多时候,hei'duo'shi'hou
黑多事情,hei'duo'shi'qing
黑多天,hei'duo'tian
黑烦,hei'fan
黑高,hei'gao
黑搞笑,hei'gao'xiao
黑高兴,hei'gao'xing
黑乖,hei'guai
黑贵,hei'gui
黑哈,hei'ha
黑好,hei'hao
黑好吃,hei'hao'chi
黑好的,hei'hao'de
黑好看,hei'hao'kan
黑好耍,hei'hao'shua
黑好听,hei'hao'ting
黑好笑,hei'hao'xiao
黑会,hei'hui
黑急,hei'ji
黑假,hei'jia
黑简单,hei'jian'dan
黑近,hei'jin
黑久,hei'jiu
黑久了,hei'jiu'le
黑开心,hei'kai'xin
黑可爱,hei'ke'ai
黑快,hei'kuai
黑老火,hei'lao'huo
黑麻烦,hei'ma'fan
黑忙,hei'mang
黑么,hei'me
黑妹儿,hei'mei'er
黑明显,hei'ming'xian
黑难看,hei'nan'kan
黑恼火,hei'nao'huo
黑便宜,hei'pian'yi
黑撇,hei'pie
黑奇怪,hei'qi'guai
黑清楚,hei'qing'chu
黑黢黢,hei'qu'qu
黑人不,hei'ren'bu
黑容易,hei'rong'yi
黑山谷,hei'shan'gu
黑山羊,hei'shan'yang
黑舒服,hei'shu'fu
黑帅,hei'shuai
黑爽,hei'shuang
黑死我,hei'si'wo
黑死我了,hei'si'wo'le
黑讨厌,hei'tao'yan
黑痛,hei'tong
黑娃,hei'wa
黑我一跳,hei'wo'yi'tiao
黑无聊,hei'wu'liao
黑无语,hei'wu'yu
黑溪,hei'xi
黑喜欢,hei'xi'huan
黑想,hei'xiang
黑小,hei'xiao
黑一跳,hei'yi'tiao
黑有钱,hei'you'qian
黑远,hei'yuan
黑重要,hei'zhong'yao
很不安逸,hen'bu'an'yi
很不得了,hen'bu'de'liao
很扯,hen'che
很耿直,hen'geng'zhi
很好其他,hen'hao'qi'ta
很好撒,hen'hao'sa
很好耍,hen'hao'shua
很老火,hen'lao'huo
很冒火,hen'mao'huo
很没得,hen'mei'de
很恼火,hen'nao'huo
很撇,hen'pie
很讨打,hen'tao'da
很哟,hen'yo
很造孽,hen'zao'nie
恒大华府,heng'da'hua'fu
恒大名都,heng'da'ming'du
洪安,hong'an
红槽房,hong'cao'fang
红池坝,hong'chi'ba
红鼎,hong'ding
红鼎国际,hong'ding'guo'ji
鸿恩,hong'en
鸿恩寺,hong'en'si
宏帆,hong'fan
红光大道,hong'guang'da'dao
红黄路,hong'huang'lu
红锦,hong'jin
红锦大道,hong'jin'da'dao
红炉,hong'lu
红旗河沟,hong'qi'he'gou
红苕,hong'shao
红苕粉,hong'shao'fen
宏声路,hong'sheng'lu
宏声桥,hong'sheng'qiao
红石路,hong'shi'lu
红土地,hong'tu'di
洪崖洞,hong'ya'dong
红岩,hong'yan
红岩村,hong'yan'cun
红岩洞,hong'yan'dong
红叶节,hong'ye'jie
厚坝,hou'ba
吼得,hou'de
吼得凶,hou'de'xiong
后老汉,hou'lao'han
喉咙管,hou'long'guan
后面个,hou'mian'ge
厚起脸皮,hou'qi'lian'pi
后三十年,hou'san'shi'nian
后头,hou'tou
后校门,hou'xiao'men
胡豆,hu'dou
胡儿,hu'er
虎峰山,hu'feng'shan
湖广会馆,hu'guang'hui'guan
糊辣壳,hu'la'ke
虎头岩,hu'tou'yan
虎溪,hu'xi
虎溪校区,hu'xi'xiao'qu
花半里,hua'ban'li
话包子,hua'bao'zi
划不着,hua'bu'zhao
话不着,hua'bu'zhe
化得着,hua'de'zhao
划得着,hua'de'zhe
划得作,hua'de'zuo
花灯广场,hua'deng'guang'chang
华福路,hua'fu'lu
花卉园,hua'hui'yuan
化家湾,hua'jia'wan
花椒鸡,hua'jiao'ji
化龙桥,hua'long'qiao
华龙网,hua'long'wang
华生园,hua'sheng'yuan
花台,hua'tai
华唐路,hua'tang'lu
华新村,hua'xin'cun
华新街,hua'xin'jie
华岩,hua'yan
华岩寺,hua'yan'si
华岩镇,hua'yan'zhen
化医,hua'yi
华蓥山,hua'ying'shan
华宇广场,hua'yu'guang'chang
华宇名都,hua'yu'ming'du
花园新村,hua'yuan'xin'cun
花园洋房,hua'yuan'yang'fang
怀不起,huai'bu'qi
坏儿童,huai'er'tong
怀起,huai'qi
怀起了,huai'qi'le
坏说,huai'shuo
坏说不得,huai'shuo'bu'de
坏娃儿,huai'wa'er
环城车,huan'cheng'che
还建房,huan'jian'fang
欢乐迪,huan'le'di
换没得,huan'mei'de
换撒子,huan'sa'zi
换三张,huan'san'zhang
寰宇天下,huan'yu'tian'xia
黄棒,huang'bang
皇池,huang'chi
慌到,huang'dao
慌得很,huang'de'hen
黄葛树,huang'ge'shu
荒沟,huang'gou
黄瓜山,huang'gua'shan
煌华,huang'hua
煌华新纪元,huang'hua'xin'ji'yuan
黄花园,huang'hua'yuan
黄花园大桥,huang'hua'yuan'da'qiao
皇家码头,huang'jia'ma'tou
黄角,huang'jiao
黄角兰,huang'jiao'lan
黄角平,huang'jiao'ping
黄角树,huang'jiao'shu
黄角湾,huang'jiao'wan
黄角丫,huang'jiao'ya
黄金堡,huang'jin'bao
黄桷坪,huang'jue'ping
黄桷树,huang'jue'shu
黄桷湾,huang'jue'wan
黄桷垭,huang'jue'ya
黄桷园,huang'jue'yuan
黄拉丁,huang'la'ding
黄龙路,huang'long'lu
黄泥磅,huang'ni'bang
黄泥滂,huang'ni'pang
黄奇帆,huang'qi'fan
慌撒子,huang'sa'zi
黄沙溪,huang'sha'xi
慌啥子,huang'sha'zi
黄山大道,huang'shan'da'dao
黄水,huang'shui
黄司机,huang'si'ji
黄溪,huang'xi
黄娅,huang'ya
晃眼一看,huang'yan'yi'kan
黄秧白,huang'yang'bai
黄杨路,huang'yang'lu
回北碚,hui'bei'bei
回璧山,hui'bi'shan
汇博,hui'bo
回长寿,hui'chang'shou
回重庆,hui'chong'qing
回重庆了,hui'chong'qing'le
回大足,hui'da'zu
回到重庆,hui'dao'chong'qing
回垫江,hui'dian'jiang
会都不会,hui'dou'bu'hui
回儿,hui'er
回丰都,hui'feng'du
回奉节,hui'feng'jie
回涪陵,hui'fu'ling
回合川,hui'he'chuan
回家老,hui'jia'lao
回家没得,hui'jia'mei'de
回家撒,hui'jia'sa
回江北,hui'jiang'bei
回江津,hui'jiang'jin
回开县,hui'kai'xian
会考吧,hui'kao'ba
回来不到,hui'lai'bu'dao
回来不到了,hui'lai'bu'dao'le
回来不嘛,hui'lai'bu'ma
回来得到,hui'lai'de'dao
回来老,hui'lai'lao
回来了来,hui'lai'le'lai
回来了撒,hui'lai'le'sa
回来了所,hui'lai'le'suo
回来了哟,hui'lai'le'yo
回来迈,hui'lai'mai
回来没得,hui'lai'mei'de
回来没得嘛,hui'lai'mei'de'ma
回来没有嘛,hui'lai'mei'you'ma
回来撒,hui'lai'sa
回来塞,hui'lai'sai
回来啥,hui'lai'sha
回来耍,hui'lai'shua
回来所,hui'lai'suo
回来哟,hui'lai'yo
回了的,hui'le'de
回了你的,hui'le'ni'de
回两路,hui'liang'lu
回梁平,hui'liang'ping
回龙坝,hui'long'ba
回龙路,hui'long'lu
回龙湾,hui'long'wan
回南川,hui'nan'chuan
回南平,hui'nan'ping
回綦江,hui'qi'jiang
回黔江,hui'qian'jiang
回切,hui'qie
回去不到,hui'qu'bu'dao
回去不嘛,hui'qu'bu'ma
回去了来,hui'qu'le'lai
回去了撒,hui'qu'le'sa
回去没得,hui'qu'mei'de
回去撒,hui'qu'sa
回去耍,hui'qu'shua
回去哟,hui'qu'yo
回事嘛,hui'shi'ma
回石柱,hui'shi'zhu
回铜梁,hui'tong'liang
回潼南,hui'tong'nan
回万州,hui'wan'zhou
回屋头,hui'wu'tou
回兴,hui'xing
回兴街道,hui'xing'jie'dao
回永川,hui'yong'chuan
慧园,hui'yuan
回云阳,hui'yun'yang
混不走,hun'bu'zou
昏得很,hun'de'hen
混的撇,hun'de'pie
荤豆花,hun'dou'hua
活不出来,huo'bu'chu'lai
火城,huo'cheng
火炬大道,huo'ju'da'dao
豁老子,huo'lao'zi
豁飘,huo'piao
活起的,huo'qi'de
伙食团,huo'shi'tuan
豁我,huo'wo
藿香正气液,huo'xiang'zheng'qi'ye
记不到,ji'bu'dao
记不到了,ji'bu'dao'le
记不记得到,ji'bu'ji'de'dao
几大百,ji'da'bai
几大千,ji'da'qian
记到,ji'dao
记到吃饭,ji'dao'chi'fan
记到带,ji'dao'dai
记到的,ji'dao'de
记到给我,ji'dao'gei'wo
记到哈,ji'dao'ha
记到了,ji'dao'le
记到嘛,ji'dao'ma
记到哦,ji'dao'o
记到起,ji'dao'qi
记到我的,ji'dao'wo'de
记到哟,ji'dao'yo
记得到,ji'de'dao
记得到不,ji'de'dao'bu
机电校,ji'dian'xiao
几点哟,ji'dian'yo
急冻室,ji'dong'shi
机读卡,ji'du'ka
鸡痱子,ji'fei'zi
鸡嘎嘎,ji'ga'ga
几个人嘛,ji'ge'ren'ma
鸡公,ji'gong
鸡公嘴,ji'gong'zui
鸡冠石,ji'guan'shi
机关事务局,ji'guan'shi'wu'ju
暨华,ji'hua
急救中心,ji'jiu'zhong'xin
机麻,ji'ma
急撒子,ji'sa'zi
机三院,ji'san'yuan
几天哟,ji'tian'yo
鸡娃儿,ji'wa'er
计信院,ji'xin'yuan
继续撒,ji'xu'sa
继续耍,ji'xu'shua
几爷子,ji'ye'zi
鸡杂,ji'za
基装,ji'zhuang
家坝,jia'ba
假吧意思,jia'ba'yi'si
嫁不脱,jia'bu'tuo
假打,jia'da
假打了,jia'da'le
假的很,jia'de'hen
加底,jia'di
甲高,jia'gao
嘉华大桥,jia'hua'da'qiao
家佳,jia'jia
佳佳妹,jia'jia'mei
加勒比海,jia'le'bi'hai
加了的,jia'le'de
家里撒,jia'li'sa
家里耍,jia'li'shua
嘉陵,jia'ling
嘉陵厂,jia'ling'chang
嘉陵江,jia'ling'jiang
夹毛居,jia'mao'ju
假女,jia'nv
加起,jia'qi
加起的,jia'qi'de
加起了,jia'qi'le
加起嘛,jia'qi'ma
加起撒,jia'qi'sa
假日大道,jia'ri'da'dao
家耍,jia'shua
家庭短号,jia'ting'duan'hao
家头的,jia'tou'de
加州花园,jia'zhou'hua'yuan
嘉州路,jia'zhou'lu
尖刀山,jian'dao'shan
尖椒鸡,jian'jiao'ji
尖椒兔,jian'jiao'tu
贱麻批,jian'ma'pi
建玛特,jian'ma'te
建面,jian'mian
捡趴活,jian'pa'huo
建设厂,jian'she'chang
建设村,jian'she'cun
健身梯,jian'shen'ti
建司,jian'si
建新,jian'xin
建新北路,jian'xin'bei'lu
建新东路,jian'xin'dong'lu
建新西路,jian'xin'xi'lu
建专,jian'zhuan
姜爆鸭子,jiang'bao'ya'zi
江北,jiang'bei
江北城,jiang'bei'cheng
江北的,jiang'bei'de
江北店,jiang'bei'dian
江北机场,jiang'bei'ji'chang
江北了,jiang'bei'le
江北区,jiang'bei'qu
江北中学,jiang'bei'zhong'xue
江北嘴,jiang'bei'zui
江边边,jiang'bian'bian
犟拐拐,jiang'guai'guai
江湖菜,jiang'hu'cai
将将就就,jiang'jiang'jiu'jiu
江津,jiang'jin
江津的,jiang'jin'de
江津了,jiang'jin'le
江津区,jiang'jin'qu
江津市,jiang'jin'shi
江津中学,jiang'jin'zhong'xue
将就吃,jiang'jiu'chi
将就过,jiang'jiu'guo
将就嘛,jiang'jiu'ma
将就你,jiang'jiu'ni
将就我,jiang'jiu'wo
江口,jiang'kou
江口镇,jiang'kou'zhen
江南体育馆,jiang'nan'ti'yu'guan
江南新区,jiang'nan'xin'qu
江上明珠,jiang'shang'ming'zhu
江湾城,jiang'wan'cheng
将息,jiang'xi
姜鸭面,jiang'ya'mian
江一中,jiang'yi'zhong
江与城,jiang'yu'cheng
脚耙手软,jiao'ba'shou'ruan
脚板,jiao'ban
脚板心,jiao'ban'xin
教不转,jiao'bu'zhuan
较场口,jiao'chang'kou
脚杆,jiao'gan
教管,jiao'guan
娇娇妹,jiao'jiao'mei
焦麻老,jiao'ma'lao
焦麻了,jiao'ma'le
缴钱,jiao'qian
焦人,jiao'ren
叫撒子,jiao'sa'zi
叫撒子名字,jiao'sa'zi'ming'zi
叫啥子,jiao'sha'zi
叫啥子名字,jiao'sha'zi'ming'zi
焦石,jiao'shi
搅屎棒,jiao'shi'bang
交通车,jiao'tong'che
交通街,jiao'tong'jie
教委,jiao'wei
交巡,jiao'xun
交巡警,jiao'xun'jing
教育委员会,jiao'yu'wei'yuan'hui
脚趾母,jiao'zhi'mu
街吧,jie'ba
街边边,jie'bian'bian
接到起,jie'dao'qi
接到睡,jie'dao'shui
姐儿,jie'er
接房,jie'fang
解放碑,jie'fang'bei
解放碑的,jie'fang'bei'de
解放碑了,jie'fang'bei'le
解放别,jie'fang'bie
姐哥,jie'ge
结果也,jie'guo'ye
借哈,jie'ha
结婚没得,jie'hun'mei'de
接价,jie'jia
街客,jie'ke
接了的,jie'le'de
姐妹伙,jie'mei'huo
接起,jie'qi
接撒,jie'sa
界石,jie'shi
界石镇,jie'shi'zhen
接娃儿,jie'wa'er
节哟,jie'yo
金碧天下,jin'bi'tian'xia
紧到,jin'dao
金岛花园,jin'dao'hua'yuan
紧到起,jin'dao'qi
紧到说,jin'dao'shuo
金刀峡,jin'dao'xia
进的到,jin'de'dao
金佛山,jin'fo'shan
金夫人,jin'fu'ren
金福山,jin'fu'shan
金港国际,jin'gang'guo'ji
金观音,jin'guan'yin
金果园,jin'guo'yuan
金开大道,jin'kai'da'dao
金科,jin'ke
进来不到,jin'lai'bu'dao
进来撒,jin'lai'sa
金龙路,jin'long'lu
进去不到,jin'qu'bu'dao
金沙港湾,jin'sha'gang'wan
金沙时代,jin'sha'shi'dai
金山路,jin'shan'lu
进盛,jin'sheng
今天不得行,jin'tian'bu'de'xing
今天重庆,jin'tian'chong'qing
今天过生,jin'tian'guo'sheng
今天好久,jin'tian'hao'jiu
今天啷个,jin'tian'lang'ge
今天没得,jin'tian'mei'de
金童路,jin'tong'lu
锦绣城,jin'xiu'cheng
进修校,jin'xiu'xiao
金银湾,jin'yin'wan
金渝大道,jin'yu'da'dao
金源路,jin'yuan'lu
金源时代,jin'yuan'shi'dai
金悦城,jin'yue'cheng
缙云钱,jin'yun'qian
缙云山,jin'yun'shan
金爪爪,jin'zhua'zhua
经发办,jing'fa'ban
经开园,jing'kai'yuan
景通,jing'tong
菁园,jing'yuan
颈子,jing'zi
九滨路,jiu'bin'lu
就不得行,jiu'bu'de'xing
就不好耍,jiu'bu'hao'shua
就不耍,jiu'bu'shua
久长街,jiu'chang'jie
九池,jiu'chi
就重庆,jiu'chong'qing
九村,jiu'cun
就得行,jiu'de'xing
就得行了,jiu'dei'xing'le
九点利,jiu'dian'li
九公里,jiu'gong'li
九宫庙,jiu'gong'miao
酒罐,jiu'guan
九锅,jiu'guo
九锅一堂,jiu'guo'yi'tang
就好老,jiu'hao'lao
就好了撒,jiu'hao'le'sa
就好撒,jiu'hao'sa
就好耍,jiu'hao'shua
就好耍了,jiu'hao'shua'le
九建,jiu'jian
九街,jiu'jie
纠结的很,jiu'jie'de'hen
九街区,jiu'jie'qu
就可以了撒,jiu'ke'yi'le'sa
九坑子,jiu'keng'zi
就来撒,jiu'lai'sa
就啷个,jiu'lang'ge
就楞个,jiu'leng'ge
旧历,jiu'li
九龙坡,jiu'long'po
九龙坡区,jiu'long'po'qu
九龙园,jiu'long'yuan
九龙园区,jiu'long'yuan'qu
九码头,jiu'ma'tou
就冒火,jiu'mao'huo
就没得了,jiu'mei'de'le
就没得事,jiu'mei'de'shi
就没耍,jiu'mei'shua
舅母子,jiu'mu'zi
就嫩个,jiu'nen'ge
就去撒,jiu'qu'sa
就撒子,jiu'sa'zi
就是不晓得,jiu'shi'bu'xiao'de
就是喊你,jiu'shi'han'ni
就是了撒,jiu'shi'le'sa
就是没得,jiu'shi'mei'de
就是撒,jiu'shi'sa
就是塞,jiu'shi'sai
就算老,jiu'suan'lao
就算了嘛,jiu'suan'le'ma
就算了撒,jiu'suan'le'sa
就行老,jiu'xing'lao
就行了撒,jiu'xing'le'sa
就要遭,jiu'yao'zao
就业局,jiu'ye'ju
就在重庆,jiu'zai'chong'qing
就在屋头,jiu'zai'wu'tou
就遭了,jiu'zao'le
就只得,jiu'zhi'de
巨成,ju'cheng
巨成龙湾,ju'cheng'long'wan
橘柑,ju'gan
聚奎,ju'kui
居民点,ju'min'dian
