阿而胜之,a'er'sheng'zhi
此吏之所以为功也,ci'li'zhi'suo'yi'wei'gong'ye
此邻敌之所以得意也,ci'lin'di'zhi'suo'yi'de'yi'ye
此邻国之所不亲也,ci'lin'guo'zhi'suo'bu'qin'ye
此六秉也,ci'liu'bing'ye
此六柄者,ci'liu'bing'zhe
此灭亡之所从生也,ci'mie'wang'zhi'suo'cong'sheng'ye
此明公道而灭奸伪之术也,ci'ming'gong'dao'er'mie'jian'wei'zhi'shu'ye
此明王之所以治民也,ci'ming'wang'zhi'suo'yi'zhi'min'ye
慈母操棰,ci'mu'cao'chui
慈母操箠,ci'mu'cao'chui
慈母之所爱也,ci'mu'zhi'suo'ai'ye
此乃知形者也,ci'nai'zhi'xing'zhe'ye
此其必亡也,ci'qi'bi'wang'ye
此其变名物也,ci'qi'bian'ming'wu'ye
此其不可谕者也,ci'qi'bu'ke'yu'zhe'ye
此其后,ci'qi'hou
此其可比于君子之德乎,ci'qi'ke'bi'yu'jun'zi'zhi'de'hu
此其可比于君子之德矣,ci'qi'ke'bi'yu'jun'zi'zhi'de'yi
此其可谕者也,ci'qi'ke'yu'zhe'ye
此其所以然者,ci'qi'suo'yi'ran'zhe
此其所以失身也,ci'qi'suo'yi'shi'shen'ye
祠器也,ci'qi'ye
此强不能之罪也,ci'qiang'bu'neng'zhi'zui'ye
辞让,ci'rang
此人能以正事争于君前者也,ci'ren'neng'yi'zheng'shi'zheng'yu'jun'qian'zhe'ye
此三本者,ci'san'ben'zhe
此三者,ci'san'zhe
此三者且可,ci'san'zhe'qie'ke
此三者圣王所以合于天地之行也,ci'san'zhe'sheng'wang'suo'yi'he'yu'tian'di'zhi'xing'ye
此三者之来也,ci'san'zhe'zhi'lai'ye
赐赏于四境之内,ci'shang'yu'si'jing'zhi'nei
赐赏恣于己者,ci'shang'zi'yu'ji'zhe
此圣君之所以自禁也,ci'sheng'jun'zhi'suo'yi'zi'jin'ye
此圣人之言也,ci'sheng'ren'zhi'yan'ye
此圣王之至事也,ci'sheng'wang'zhi'zhi'shi'ye
此生之忒,ci'sheng'zhi'tei
此失君之所慎也,ci'shi'jun'zhi'suo'shen'ye
此示民而易见,ci'shi'min'er'yi'jian
此使民之道也,ci'shi'min'zhi'dao'ye
飺食者不肥体也,ci'shi'zhe'bu'fei'ti'ye
此数之因也,ci'shu'zhi'yin'ye
此四患者明矣,ci'si'huan'zhe'ming'yi
此四时亦当一倍贷矣,ci'si'shi'yi'dang'yi'bei'dai'yi
此四士者,ci'si'shi'zhe
此四位者,ci'si'wei'zhe
此四务者,ci'si'wu'zhe
此四者,ci'si'zhe
此四者用,ci'si'zhe'yong
此四子者,ci'si'zi'zhe
此所患也,ci'suo'huan'ye
此所谓富而禄之也,ci'suo'wei'fu'er'lu'zhi'ye
此所谓贵而威之也,ci'suo'wei'gui'er'wei'zhi'ye
此所谓美而淫之也,ci'suo'wei'mei'er'yin'zhi'ye
此所谓三度,ci'suo'wei'san'du
此所谓擅也,ci'suo'wei'shan'ye
此所谓诬能篡利之臣者也,ci'suo'wei'wu'neng'cuan'li'zhi'chen'zhe'ye
此所谓远于百里也,ci'suo'wei'yuan'yu'bai'li'ye
此所谓远于千里也,ci'suo'wei'yuan'yu'qian'li'ye
此所谓远于万里也,ci'suo'wei'yuan'yu'wan'li'ye
此所以安之也,ci'suo'yi'an'zhi'ye
此所以危,ci'suo'yi'wei
此所以为之也,ci'suo'yi'wei'zhi'ye
此天下之极也,ci'tian'xia'zhi'ji'ye
此天下之所忧,ci'tian'xia'zhi'suo'you
此天下之所载也,ci'tian'xia'zhi'suo'zai'ye
此天之道,ci'tian'zhi'dao
此亡国弒君之所自生也,ci'wang'guo'shi'jun'zhi'suo'zi'sheng'ye
此王之道也,ci'wang'zhi'dao'ye
此谓,ci'wei
此谓败国之教也,ci'wei'bai'guo'zhi'jiao'ye
此谓备之常时,ci'wei'bei'zhi'chang'shi
此谓本事,ci'wei'ben'shi
此谓辰德,ci'wei'chen'de
此谓成国之法也,ci'wei'cheng'guo'zhi'fa'ye
此谓澹灭,ci'wei'dan'mie
此谓道矣,ci'wei'dao'yi
此谓道之荣,ci'wei'dao'zhi'rong
此谓国亡之郤,ci'wei'guo'wang'zhi'xi
此为国之大礼也,ci'wei'guo'zhi'da'li'ye
此谓和成,ci'wei'he'cheng
此谓厚其生,ci'wei'hou'qi'sheng
此谓近而亲之也,ci'wei'jin'er'qin'zhi'ye
此危君之征也,ci'wei'jun'zhi'zheng'ye
此谓宽其政,ci'wei'kuan'qi'zheng
此谓匡其急,ci'wei'kuang'qi'ji
此谓利无常,ci'wei'li'wu'chang
此谓迷中,ci'wei'mi'zhong
此谓人命万世无穷之利,ci'wei'ren'ming'wan'shi'wu'qiong'zhi'li
此谓日德,ci'wei'ri'de
此谓三常,ci'wei'san'chang
此谓杀,ci'wei'sha
此唯上有明法,ci'wei'shang'you'ming'fa
此为身也,ci'wei'shen'ye
此谓输之以财,ci'wei'shu'zhi'yi'cai
此谓四刑,ci'wei'si'xing
此谓素有备而豫具者也,ci'wei'su'you'bei'er'yu'ju'zhe'ye
此谓岁德,ci'wei'sui'de
此为天下也,ci'wei'tian'xia'ye
此危亡之时也,ci'wei'wang'zhi'shi'ye
此谓为大治,ci'wei'wei'da'zhi
此谓遗之以利,ci'wei'wei'zhi'yi'li
此谓五害,ci'wei'wu'hai
此谓无外内之患,ci'wei'wu'wai'nei'zhi'huan
此谓先之以德,ci'wei'xian'zhi'yi'de
此谓先之以政,ci'wei'xian'zhi'yi'zheng
此谓星德,ci'wei'xing'de
此谓行理,ci'wei'xing'li
此谓因天之固,ci'wei'yin'tian'zhi'gu
此谓月德,ci'wei'yue'de
此谓振其穷,ci'wei'zhen'qi'qiong
此谓正纪,ci'wei'zheng'ji
此谓众约,ci'wei'zhong'yue
此五水者,ci'wu'shui'zhe
此务粟之功也,ci'wu'su'zhi'gong'ye
此五者,ci'wu'zhe
此五者不禁于身,ci'wu'zhe'bu'jin'yu'shen
此物之理也,ci'wu'zhi'li'ye
此五子者,ci'wu'zi'zhe
此先圣之所以一民者也,ci'xian'sheng'zhi'suo'yi'yi'min'zhe'ye
此先王所以明德圉奸,ci'xian'wang'suo'yi'ming'de'yu'jian
此先王之所以一民心也,ci'xian'wang'zhi'suo'yi'yi'min'xin'ye
赐小国地,ci'xiao'guo'di
慈孝于父母,ci'xiao'yu'fu'mu
次星辰,ci'xing'chen
此形之时变也,ci'xing'zhi'shi'bian'ye
此言不得过实,ci'yan'bu'de'guo'shi
此言不夺能能,ci'yan'bu'duo'neng'neng
此言臣之所任力无也,ci'yan'chen'zhi'suo'ren'li'wu'ye
此言大人之义也,ci'yan'da'ren'zhi'yi'ye
此言君臣之分也,ci'yan'jun'chen'zhi'fen'ye
此言君之所出令无妄也,ci'yan'jun'zhi'suo'chu'ling'wu'wang'ye
此言擅美主盛自奋也,ci'yan'shan'mei'zhu'sheng'zi'fen'ye
此言上下之礼也,ci'yan'shang'xia'zhi'li'ye
此言圣君贤佐之制举也,ci'yan'sheng'jun'xian'zuo'zhi'zhi'ju'ye
此言圣人之动静开阖,ci'yan'sheng'ren'zhi'dong'jing'kai'he
此言无弃者,ci'yan'wu'qi'zhe
此言因也,ci'yan'yin'ye
此言之不可复者也,ci'yan'zhi'bu'ke'fu'zhe'ye
此言止忿速,ci'yan'zhi'fen'su
此言指意要功之谓也,ci'yan'zhi'yi'yao'gong'zhi'wei'ye
此言尊高满大,ci'yan'zun'gao'man'da
此也,ci'ye
辞也,ci'ye
此以长寿,ci'yi'chang'shou
此以法举错之功也,ci'yi'fa'ju'cuo'zhi'gong'ye
此一过也,ci'yi'guo'ye
此亦可谓昔者无道之君矣,ci'yi'ke'wei'xi'zhe'wu'dao'zhi'jun'yi
此亦可谓昔者有道之臣矣,ci'yi'ke'wei'xi'zhe'you'dao'zhi'chen'yi
此亦可谓昔者有道之君也,ci'yi'ke'wei'xi'zhe'you'dao'zhi'jun'ye
此亦谓昔者无道之臣,ci'yi'wei'xi'zhe'wu'dao'zhi'chen
此夷吾之所患也,ci'yi'wu'zhi'suo'huan'ye
此以知上贤无益也,ci'yi'zhi'shang'xian'wu'yi'ye
此因之术也,ci'yin'zhi'shu'ye
此营于物而失其情者也,ci'ying'yu'wu'er'shi'qi'qing'zhe'ye
此由不利农少粟之害也,ci'you'bu'li'nong'shao'su'zhi'hai'ye
慈幼孤,ci'you'gu
此犹夜有求而得火也,ci'you'ye'you'qiu'er'de'huo'ye
此有虞之策乘马也,ci'you'yu'zhi'ce'cheng'ma'ye
赐与,ci'yu
赐予,ci'yu
此与不可之罪,ci'yu'bu'ke'zhi'zui
慈于民,ci'yu'min
赐予以镇抚之,ci'yu'yi'zhen'fu'zhi
此宰之任,ci'zai'zhi'ren
此啧室之事也,ci'ze'shi'zhi'shi'ye
此则为生,ci'ze'wei'sheng
慈者,ci'zhe
飺者,ci'zhe
此正民之经也,ci'zheng'min'zhi'jing'ye
此正天下之本而霸王之主也,ci'zheng'tian'xia'zhi'ben'er'ba'wang'zhi'zhu'ye
此正天下之道也,ci'zheng'tian'xia'zhi'dao'ye
此政行也,ci'zheng'xing'ye
次之,ci'zhi
此至顺矣,ci'zhi'shun'yi
此之谓慈幼,ci'zhi'wei'ci'you
此之谓道矣,ci'zhi'wei'dao'yi
此之谓谷地数亡,ci'zhi'wei'gu'di'shu'wang
此之谓国无人,ci'zhi'wei'guo'wu'ren
此之谓合独,ci'zhi'wei'he'du
此之谓乎,ci'zhi'wei'hu
此之谓老老,ci'zhi'wei'lao'lao
此之谓乱国,ci'zhi'wei'luan'guo
此之谓内德,ci'zhi'wei'nei'de
此之谓三官,ci'zhi'wei'san'guan
此之谓通穷,ci'zhi'wei'tong'qiong
此之谓微孤,ci'zhi'wei'wei'gu
此之谓问病,ci'zhi'wei'wen'bing
此之谓恤孤,ci'zhi'wei'xu'gu
此之谓养疾,ci'zhi'wei'yang'ji
此之谓也,ci'zhi'wei'ye
此之谓易治,ci'zhi'wei'yi'zhi
此之谓治国,ci'zhi'wei'zhi'guo
此止诈拘奸,ci'zhi'zha'ju'jian
此至正也,ci'zhi'zheng'ye
此治之道也,ci'zhi'zhi'dao'ye
慈种而民富,ci'zhong'er'min'fu
此众乱也,ci'zhong'luan'ye
此主道也,ci'zhu'dao'ye
从此产矣,cong'ci'chan'yi
从而艾之,cong'er'ai'zhi
聪耳明目,cong'er'ming'mu
从而移之,cong'er'yi'zhi
从法之不立也,cong'fa'zhi'bu'li'ye
从乎杀,cong'hu'sha
从今以往二年,cong'jin'yi'wang'er'nian
从狙而好小察,cong'ju'er'hao'xiao'cha
从乐而不反者,cong'le'er'bu'fan'zhe
从列士以下有善者,cong'lie'shi'yi'xia'you'shan'zhe
从令者不辑,cong'ling'zhe'bu'ji
聪明当物,cong'ming'dang'wu
聪明以知,cong'ming'yi'zhi
聪明质仁,cong'ming'zhi'ren
从其理也,cong'qi'li'ye
从其宜,cong'qi'yi
从其欲,cong'qi'yu
从情之所好者也,cong'qing'zhi'suo'hao'zhe'ye
从事胜任矣,cong'shi'sheng'ren'yi
从事无事,cong'shi'wu'shi
从顺独逆,cong'shun'du'ni
从物而不移,cong'wu'er'bu'yi
从右方涉,cong'you'fang'she
从于杀,cong'yu'sha
从于身,cong'yu'shen
从于适,cong'yu'shi
从者必利也,cong'zhe'bi'li'ye
从者曰,cong'zhe'yue
从政不治不能,cong'zheng'bu'zhi'bu'neng
从正独辟,cong'zheng'du'pi
从政虽治而不能,cong'zheng'sui'zhi'er'bu'neng
从政治为次,cong'zheng'zhi'wei'ci
从诸侯欲通,cong'zhu'hou'yu'tong
从主之所欲也,cong'zhu'zhi'suo'yu'ye
从左方涉,cong'zuo'fang'she
篡何能歌,cuan'he'neng'ge
存国定民之道也,cun'guo'ding'min'zhi'dao'ye
存乎遍知天下,cun'hu'bian'zhi'tian'xia
存乎服习,cun'hu'fu'xi
存乎聚财,cun'hu'ju'cai
存乎论工,cun'hu'lun'gong
存乎明于机数,cun'hu'ming'yu'ji'shu
存乎选士,cun'hu'xuan'shi
存乎政教,cun'hu'zheng'jiao
存乎制器,cun'hu'zhi'qi
存鲁蔡陵陵蔡,cun'lu'cai'ling'ling'cai
存亡定危,cun'wang'ding'wei
存亡继绝,cun'wang'ji'jue
存亡治乱之所以出,cun'wang'zhi'luan'zhi'suo'yi'chu
存亡之数九,cun'wang'zhi'shu'jiu
错国于不倾之地,cuo'guo'yu'bu'qing'zhi'di
错国于不倾之地者,cuo'guo'yu'bu'qing'zhi'di'zhe
痤雎之矿石也,cuo'ju'zhi'kuang'shi'ye
错仪画制,cuo'yi'hua'zhi
错总之法,cuo'zong'zhi'fa
大霸天下,da'ba'tian'xia
大败齐师,da'bai'qi'shi
大败之,da'bai'zhi
大萯,da'bei
大本而小标,da'ben'er'xiao'biao
大常察乎地利,da'chang'cha'hu'di'li
大长以美,da'chang'yi'mei
大朝之日,da'chao'zhi'ri
大朝诸侯于阳谷,da'chao'zhu'hou'yu'yang'gu
大臣,da'chen
大臣不和同,da'chen'bu'he'tong
大臣不能侵其势,da'chen'bu'neng'qin'qi'shi
大臣不因左右而进,da'chen'bu'yin'zuo'you'er'jin
大臣得罪,da'chen'de'zui
大臣假于女之能,da'chen'jia'yu'nv'zhi'neng
大臣乱曰称述,da'chen'luan'yue'cheng'shu
大臣能以其私附百姓,da'chen'neng'yi'qi'si'fu'bai'xing
大臣私之,da'chen'si'zhi
大臣务相贵,da'chen'wu'xiang'gui
大臣之任也,da'chen'zhi'ren'ye
大城不可以不完,da'cheng'bu'ke'yi'bu'wan
大充,da'chong
大道可安而不可说,da'dao'ke'an'er'bu'ke'shuo
大度之书曰,da'du'zhi'shu'yue
大而不为者,da'er'bu'wei'zhe
大风,da'feng
大封辩于西方,da'feng'bian'yu'xi'fang
大风漂屋折树,da'feng'piao'wu'zhe'shu
大官尊位,da'guan'zun'wei
大国设备,da'guo'she'bei
大国小之,da'guo'xiao'zhi
大国之君所以尊者,da'guo'zhi'jun'suo'yi'zun'zhe
大寒,da'han
大邯郸,da'han'dan
大寒乃极,da'han'nai'ji
大寒乃至,da'han'nai'zhi
大寒起,da'han'qi
大寒终,da'han'zhong
大寒终三寒同事,da'han'zhong'san'han'tong'shi
大侯车二百乘,da'hou'che'er'bai'cheng
大侯既附,da'hou'ji'fu
大侯近者,da'hou'jin'zhe
大华,da'hua
大昏也,da'hun'ye
大稷,da'ji
大樛杞,da'jiu'qi
大秬,da'ju
大揆度仪,da'kui'duo'yi
大荔,da'li
大路,da'lu
大袂列,da'mei'lie
大蒙,da'meng
大苗细苗,da'miao'xi'miao
大明胜大周,da'ming'sheng'da'zhou
大命焉出,da'ming'yan'chu
大明之明非爱人不予也,da'ming'zhi'ming'fei'ai'ren'bu'yu'ye
大明之祖,da'ming'zhi'zu
大木不可独伐也,da'mu'bu'ke'du'fa'ye
大木不可独举也,da'mu'bu'ke'du'ju'ye
大木不可独鉉也,da'mu'bu'ke'du'xuan'ye
大木不可加之薄墙之上,da'mu'bu'ke'jia'zhi'bo'qiang'zhi'shang
大其宫室,da'qi'gong'shi
大其下,da'qi'xia
大器也,da'qi'ye
大取焉则大得福,da'qu'yan'ze'da'de'fu
大取者大利,da'qu'zhe'da'li
大仁也哉,da'ren'ye'zai
大山之隈,da'shan'zhi'wei
大摄,da'she
大胜,da'sheng
大胜者积众,da'sheng'zhe'ji'zhong
大圣之言也,da'sheng'zhi'yan'ye
大事不吉,da'shi'bu'ji
大事君者无二心,da'shi'jun'zhe'wu'er'xin
大失在身,da'shi'zai'shen
大收,da'shou
大数,da'shu
大暑,da'shu
大菽,da'shu
大暑至,da'shu'zhi
大水肠,da'shui'chang
大水漂州流邑,da'shui'piao'zhou'liu'yi
大王不恃众而自恃,da'wang'bu'shi'zhong'er'zi'shi
大王天下,da'wang'tian'xia
大苇无,da'wei'wu
大文三曾,da'wen'san'ceng
大武三曾,da'wu'san'ceng
大贤之德长,da'xian'zhi'de'chang
大小也,da'xiao'ye
大邪之所生也,da'xie'zhi'suo'sheng'ye
大心而敢,da'xin'er'gan
大兇,da'xiong
大言法行,da'yan'fa'xing
大扬惠言,da'yang'hui'yan
大以理天下而不益也,da'yi'li'tian'xia'er'bu'yi'ye
大亦正,da'yi'zheng
大有臣甚大,da'you'chen'shen'da
大雨,da'yu
大哉,da'zai
大者不类,da'zhe'bu'lei
大者宽,da'zhe'kuan
大者亲戚坟墓之所在也,da'zhe'qin'qi'fen'mu'zhi'suo'zai'ye
大者身死而国亡,da'zhe'shen'si'er'guo'wang
大者时也,da'zhe'shi'ye
大者为之堤,da'zhe'wei'zhi'di
大者以失其国,da'zhe'yi'shi'qi'guo
大者欲王天下,da'zhe'yu'wang'tian'xia
大征遍知天下,da'zheng'bian'zhi'tian'xia
大钟鸣,da'zhong'ming
大重细重,da'zhong'xi'zhong
大周胜大明,da'zhou'sheng'da'ming
大周之先,da'zhou'zhi'xian
大族,da'zu
大夫,dai'fu
大夫比官中之事,dai'fu'bi'guan'zhong'zhi'shi
大夫不谏,dai'fu'bu'jian
大夫畜狗马,dai'fu'chu'gou'ma
大夫请变,dai'fu'qing'bian
大夫请受变,dai'fu'qing'shou'bian
大夫任官辩事,dai'fu'ren'guan'bian'shi
大夫受令于君,dai'fu'shou'ling'yu'jun
大夫疏器甲兵,dai'fu'shu'qi'jia'bing
大夫通吉兇,dai'fu'tong'ji'xiong
大夫有善,dai'fu'you'shan
大夫曰宁戚,dai'fu'yue'ning'qi
大夫执法以牧其群臣,dai'fu'zhi'fa'yi'mu'qi'qun'chen
大夫佐各一人,dai'fu'zuo'ge'yi'ren
戴黄盖,dai'huang'gai
怠倦者不及,dai'juan'zhe'bu'ji
怠倦者不及也,dai'juan'zhe'bu'ji'ye
待令而起,dai'ling'er'qi
贷无种,dai'wu'zhong
代相序也,dai'xiang'xu'ye
待以忠爱,dai'yi'zhong'ai
殆于死,dai'yu'si
但力事属,dan'li'shi'shu
旦暮利之,dan'mu'li'zhi
旦暮欲啮我,dan'mu'yu'nie'wo
丹青在山,dan'qing'zai'shan
丹沙之穴不塞,dan'sha'zhi'xue'bu'sai
旦昔从事于此,dan'xi'cong'shi'yu'ci
淡也者,dan'ye'zhe
当被兵之数,dang'bei'bing'zhi'shu
当春三月,dang'chun'san'yue
当此时也,dang'ci'shi'ye
当此之时也,dang'ci'zhi'shi'ye
荡荡若流水,dang'dang'ruo'liu'shui
当冬三月,dang'dong'san'yue
当故不改曰法,dang'gu'bu'gai'yue'fa
当何时作之,dang'he'shi'zuo'zhi
当今为愚人,dang'jin'wei'yu'ren
当民之毁誉也,dang'min'zhi'hui'yu'ye
党偏,dang'pian
当秋三月,dang'qiu'san'yue
当缮治者,dang'shan'zhi'zhe
当生者生,dang'sheng'zhe'sheng
当死者死,dang'si'zhe'si
当夏三月,dang'xia'san'yue
党与成于乡,dang'yu'cheng'yu'xiang
当于法者赏之,dang'yu'fa'zhe'shang'zhi
蹈白刃,dao'bai'ren
道不可量,dao'bu'ke'liang
道德当身故不以物惑,dao'de'dang'shen'gu'bu'yi'wu'huo
道德定而民有轨矣,dao'de'ding'er'min'you'gui'yi
道德定于上,dao'de'ding'yu'shang
道德有常,dao'de'you'chang
道法行于国,dao'fa'xing'yu'guo
道行不顾,dao'heng'bu'gu
道行则君臣亲,dao'heng'ze'jun'chen'qin
道将自定,dao'jiang'zi'ding
道来者,dao'lai'zhe
道来者其人莫往,dao'lai'zhe'qi'ren'mo'wang
道路不必中准绳,dao'lu'bu'bi'zhong'zhun'sheng
道满天下,dao'man'tian'xia
道民之门,dao'min'zhi'men
道乃可得,dao'nai'ke'de
道乃可止,dao'nai'ke'zhi
道乃生,dao'nai'sheng
道乃无处,dao'nai'wu'chu
道其本至也,dao'qi'ben'zhi'ye
道生德,dao'sheng'de
道生天地,dao'sheng'tian'di
道术知能,dao'shu'zhi'neng
导水潦,dao'shui'liao
道同者不王也,dao'tong'zhe'bu'wang'ye
道涂无行禽,dao'tu'wu'xing'qin
道往者,dao'wang'zhe
道往者其人莫来,dao'wang'zhe'qi'ren'mo'lai
道血气,dao'xue'qi
道也,dao'ye
道也者,dao'ye'zhe
道义必有所明,dao'yi'bi'you'suo'ming
道以明之,dao'yi'ming'zhi
道一人出,dao'yi'ren'chu
道有损瘠者,dao'you'sun'ji'zhe
道曰,dao'yue
道在天地之间也,dao'zai'tian'di'zhi'jian'ye
盗贼弗诛,dao'zei'fu'zhu
道者,dao'zhe
道正者不安,dao'zheng'zhe'bu'an
道之不厚,dao'zhi'bu'hou
道之纯厚,dao'zhi'chun'hou
道之大如天,dao'zhi'da'ru'tian
道之舍,dao'zhi'she
道之室,dao'zhi'shi
道之所设,dao'zhi'suo'she
道之所言者一也,dao'zhi'suo'yan'zhe'yi'ye
道之用也,dao'zhi'yong'ye
道之远近有数矣,dao'zhi'yuan'jin'you'shu'yi
道之在天者日也,dao'zhi'zai'tian'zhe'ri'ye
德薄而位尊者谓之失,de'bo'er'wei'zun'zhe'wei'zhi'shi
德不加于弱小,de'bu'jia'yu'ruo'xiao
德不可测,de'bu'ke'ce
德不可数,de'bu'ke'shu
德不可数也,de'bu'ke'shu'ye
德不来,de'bu'lai
德不能怀远国,de'bu'neng'huai'yuan'guo
德不盛,de'bu'sheng
德成而智出,de'cheng'er'zhi'chu
德出贤人,de'chu'xian'ren
得此六者,de'ci'liu'zhe
得大常而察于地利,de'da'chang'er'cha'yu'di'li
得大封而辩于西方,de'da'feng'er'bian'yu'xi'fang
得道而导之,de'dao'er'dao'zhi
得盗贼者有赏,de'dao'zei'zhe'you'shang
得道之人,de'dao'zhi'ren
得地而不能实,de'di'er'bu'neng'shi
得地而国败,de'di'er'guo'bai
得地而国不败,de'di'er'guo'bu'bai
得地而国不败者,de'di'er'guo'bu'bai'zhe
得二,de'er
得而力务财多,de'er'li'wu'cai'duo
得而莫之能争,de'er'mo'zhi'neng'zheng
得而勿忘,de'er'wu'wang
得而勿忘者也,de'er'wu'wang'zhe'ye
得二者,de'er'zhe
德共者不取也,de'gong'zhe'bu'qu'ye
得管仲与召忽,de'guan'zhong'yu'zhao'hu
得后土而辩于北方,de'hou'tu'er'bian'yu'bei'fang
德利百姓,de'li'bai'xing
得六过一是,de'liu'guo'yi'shi
得民则威立,de'min'ze'wei'li
得其半者霸,de'qi'ban'zhe'ba
得其职姓,de'qi'zhi'xing
德侵则君危,de'qin'ze'jun'wei
得情可深,de'qing'ke'shen
得人弥众,de'ren'mi'zhong
得人者卑而不可胜,de'ren'zhe'bei'er'bu'ke'sheng
得人之心而为纪,de'ren'zhi'xin'er'wei'ji
得奢龙而辩于东方,de'she'long'er'bian'yu'dong'fang
德盛义尊,de'sheng'yi'zun
德生于理,de'sheng'yu'li
德生正,de'sheng'zheng
德始于春,de'shi'yu'chun
德虽厚不誉者多,de'sui'hou'bu'yu'zhe'duo
得所安然后静者也,de'suo'an'ran'hou'jing'zhe'ye
得所欲则乐,de'suo'yu'ze'le
得天下之众者王,de'tian'xia'zhi'zhong'zhe'wang
得天与失天,de'tian'yu'shi'tian
得天之道,de'tian'zhi'dao
得天之时而为经,de'tian'zhi'shi'er'wei'jing
得为君,de'wei'jun
得贤而使之,de'xian'er'shi'zhi
德行必有所是,de'xing'bi'you'suo'shi
德行成于身而远古,de'xing'cheng'yu'shen'er'yuan'gu
德行修者王道狭,de'xing'xiu'zhe'wang'dao'xia
德也,de'ye
得也者,de'ye'zhe
得一,de'yi
德以合人,de'yi'he'ren
得已乎,de'yi'hu
德义美,de'yi'mei
德义胜之,de'yi'sheng'zhi
德以养之,de'yi'yang'zhi
得一者,de'yi'zhe
德义者,de'yi'zhe
得一之理,de'yi'zhi'li
德有六兴,de'you'liu'xing
德者,de'zhe
德者怨之本也,de'zhe'yuan'zhi'ben'ye
德正而官治,de'zheng'er'guan'zhi
得之必生,de'zhi'bi'sheng
得之必治,de'zhi'bi'zhi
得之成而不悔,de'zhi'cheng'er'bu'hui
得之成而悔,de'zhi'cheng'er'hui
得之而勿舍,de'zhi'er'wu'she
得至公所,de'zhi'gong'suo
德之来,de'zhi'lai
得之衰时,de'zhi'shuai'shi
德之兴也,de'zhi'xing'ye
得众而不得其心,de'zhong'er'bu'de'qi'xin
得祝融而辩于南方,de'zhu'rong'er'bian'yu'nan'fang
登降揖让,deng'jiang'yi'rang
等列诸侯,deng'lie'zhu'hou
登受赏服,deng'shou'shang'fu
登熊耳山以望江汉,deng'xiong'er'shan'yi'wang'jiang'han
登以为上卿之佐,deng'yi'wei'shang'qing'zhi'zuo
地博而国贫者,di'bo'er'guo'pin'zhe
地不沉,di'bu'chen
地不辟,di'bu'pi
地不平均和调,di'bu'ping'jun'he'diao
地不生财,di'bu'sheng'cai
地不一利,di'bu'yi'li
地不易其则,di'bu'yi'qi'ze
地不易也,di'bu'yi'ye
地出乘黄,di'chu'cheng'huang
地出其形,di'chu'qi'xing
堤川,di'chuan
地大而不耕,di'da'er'bu'geng
地大而不为,di'da'er'bu'wei
地大国富,di'da'guo'fu
籴贷贵,di'dai'gui
籴贷贱,di'dai'jian
地道不宜,di'dao'bu'yi
地德为首,di'de'wei'shou
地冬霆,di'dong'ting
狄伐邢,di'fa'xing
堤防可衣者衣之,di'fang'ke'yi'zhe'yi'zhi
地方千里,di'fang'qian'li
地方三百六十里,di'fang'san'bai'liu'shi'li
地方甚大,di'fang'shen'da
地非民不动,di'fei'min'bu'dong
地高即控,di'gao'ji'kong
地高则沟之,di'gao'ze'gou'zhi
地公平而无私,di'gong'ping'er'wu'si
敌国彊而与国弱,di'guo'jiang'er'yu'guo'ruo
敌国之形也,di'guo'zhi'xing'ye
地化生,di'hua'sheng
地或载之,di'huo'zai'zhi
埊近而攻远,di'jin'er'gong'yuan
地竞环,di'jing'huan
帝喾封泰山,di'ku'feng'tai'shan
地里,di'li
地利不可竭,di'li'bu'ke'jie
地理以八制,di'li'yi'ba'zhi
地莫之载,di'mo'zhi'zai
地乃不泄,di'nai'bu'xie
敌乃为用,di'nai'wei'yong
地南至于岱阴,di'nan'zhi'yu'dai'yin
地辟而国贫者,di'pi'er'guo'pin'zhe
地辟举,di'pi'ju
地气发,di'qi'fa
地气上,di'qi'shang
狄人伐,di'ren'fa
狄人伐卫,di'ren'fa'wei
狄人伐邢,di'ren'fa'xing
狄人攻卫,di'ren'gong'wei
狄人攻邢,di'ren'gong'xing
敌人虽众,di'ren'sui'zhong
地润数毁,di'run'shu'hui
地生万财,di'sheng'wan'cai
地生养万物,di'sheng'yang'wan'wu
地生之财,di'sheng'zhi'cai
地四削,di'si'xue
弟听其兄,di'ting'qi'xiong
地图第二十七,di'tu'di'er'shi'qi
帝王者,di'wang'zhe
帝王者用之而天下治矣,di'wang'zhe'yong'zhi'er'tian'xia'zhi'yi
地未尝易,di'wei'chang'yi
狄为无道,di'wei'wu'dao
地无吏,di'wu'li
地下则平行,di'xia'ze'ping'xing
地险秽不平易,di'xian'hui'bu'ping'yi
地形胜之,di'xing'sheng'zhi
地阳时贷,di'yang'shi'dai
狄已拔邢,di'yi'ba'xing
地宜不任,di'yi'bu'ren
地以材使,di'yi'cai'shi
第一次铺床要问清楚,di'yi'ci'pu'chuang'yao'wen'qing'chu
地有不生草者,di'you'bu'sheng'cao'zhe
地有常形,di'you'chang'xing
堤有毁作,di'you'hui'zuo
地员第五十八,di'yuan'di'wu'shi'ba
地曰静,di'yue'jing
地曰信圣,di'yue'xin'sheng
地载而无弃也,di'zai'er'wu'qi'ye
地者,di'zhe
地者政之本也,di'zhe'zheng'zhi'ben'ye
地政,di'zheng
地之变气,di'zhi'bian'qi
地之不可食者,di'zhi'bu'ke'shi'zhe
