阿苯边唑,a'ben'bian'zuo
功能障碍,gong'neng'zhang'ai
弓形虫病,gong'xing'chong'bing
供血者,gong'xue'zhe
工业粉尘,gong'ye'fen'chen
共用注射器,gong'yong'zhu'she'qi
构成比,gou'cheng'bi
钩虫,gou'chong
钩端螺旋体,gou'duan'luo'xuan'ti
钩端螺旋体病,gou'duan'luo'xuan'ti'bing
佝偻病,gou'lou'bing
钩体,gou'ti
钩体病,gou'ti'bing
古典生物型,gu'dian'sheng'wu'xing
骨骼系统,gu'ge'xi'tong
骨关节病,gu'guan'jie'bing
骨髓炎,gu'sui'yan
骨质疏松,gu'zhi'shu'song
灌肠,guan'chang
关节,guan'jie
关节镜,guan'jie'jing
关节痛,guan'jie'tong
关节炎,guan'jie'yan
冠心病,guan'xin'bing
冠状病毒,guan'zhuang'bing'du
冠状动脉,guan'zhuang'dong'mai
冠状沟,guan'zhuang'gou
广谱,guang'pu
广谱抗菌素,guang'pu'kang'jun'su
规范治疗,gui'fan'zhi'liao
归口管理,gui'kou'guan'li
规律服药,gui'lv'fu'yao
国产疫苗,guo'chan'yi'miao
过度疲劳,guo'du'pi'lao
国际检疫,guo'ji'jian'yi
过敏反应,guo'min'fan'ying
过敏史,guo'min'shi
过敏试验,guo'min'shi'yan
过敏素,guo'min'su
过敏体质,guo'min'ti'zhi
过敏性疾病,guo'min'xing'ji'bing
过敏性休克,guo'min'xing'xiu'ke
过敏性紫癜,guo'min'xing'zi'dian
过期失效,guo'qi'shi'xiao
过氧化氢,guo'yang'hua'qing
含氟牙膏,han'fu'ya'gao
含氯消毒剂,han'lv'xiao'du'ji
含漱液,han'shu'ye
旱獭,han'ta
汉坦病毒,han'tan'bing'du
杭州天元,hang'zhou'tian'yuan
合并细菌感染,he'bing'xi'jun'gan'ran
合并症,he'bing'zheng
核苷酸,he'gan'suan
核苷酸序列,he'gan'suan'xu'lie
合格标本,he'ge'biao'ben
合格接种,he'ge'jie'zhong
褐家鼠,he'jia'shu
核实诊断,he'shi'zhen'duan
核酸,he'suan
核糖核酸,he'tang'he'suan
核心抗体,he'xin'kang'ti
核心抗原,he'xin'kang'yuan
合作医疗,he'zuo'yi'liao
黑腹绒鼠,hei'fu'rong'shu
黑热病,hei're'bing
黑线仓鼠,hei'xian'cang'shu
黑线姬鼠,hei'xian'ji'shu
横断面调查,heng'duan'mian'diao'cha
恒河猴,heng'he'hou
横纹肌,heng'wen'ji
红斑,hong'ban
红霉素,hong'mei'su
红十字会,hong'shi'zi'hui
红细胞,hong'xi'bao
红眼病,hong'yan'bing
喉炎,hou'yan
后遗症,hou'yi'zheng
后遗症期,hou'yi'zheng'qi
琥红平板试验,hu'hong'ping'ban'shi'yan
弧菌,hu'jun
呼吸道传染,hu'xi'dao'chuan'ran
呼吸道传染病,hu'xi'dao'chuan'ran'bing
呼吸道分泌物,hu'xi'dao'fen'mi'wu
呼吸机,hu'xi'ji
呼吸急促,hu'xi'ji'cu
呼吸肌麻痹,hu'xi'ji'ma'bi
呼吸窘迫,hu'xi'jiong'po
呼吸衰竭,hu'xi'shuai'jie
呼吸系统,hu'xi'xi'tong
化疗,hua'liao
化疗方案,hua'liao'fang'an
化脓性,hua'nong'xing
化脓性病症,hua'nong'xing'bing'zheng
花鼠,hua'shu
华卫骥,hua'wei'ji
华卫骥公司,hua'wei'ji'gong'si
华支睾吸虫,hua'zhi'gao'xi'chong
化妆品,hua'zhuang'pin
坏疽,huai'ju
患病率,huan'bing'lv
环丙沙星,huan'bing'sha'xing
缓冲生理盐水,huan'chong'sheng'li'yan'shui
环化酶,huan'hua'mei
环境污染,huan'jing'wu'ran
环境消毒,huan'jing'xiao'du
环境因素,huan'jing'yin'su
环氧乙烷,huan'yang'yi'wan
换药室,huan'yao'shi
患者,huan'zhe
磺胺,huang'an
磺胺药,huang'an'yao
磺胺增效剂,huang'an'zeng'xiao'ji
黄疸型,huang'dan'xing
黄疸型肝炎,huang'dan'xing'gan'yan
黄疸症状,huang'dan'zheng'zhuang
黄毛鼠,huang'mao'shu
黄热病,huang're'bing
黄鼠,huang'shu
黄鼠狼,huang'shu'lang
黄胸鼠,huang'xiong'shu
回肠,hui'chang
蛔虫,hui'chong
蛔虫卵,hui'chong'luan
恢复期,hui'fu'qi
恢复期血清,hui'fu'qi'xue'qing
会阴,hui'yin
混合感染,hun'he'gan'ran
混合疫苗,hun'he'yi'miao
混杂偏倚,hun'za'pian'yi
获得性免疫缺陷综合症,huo'de'xing'mian'yi'que'xian'zong'he'zheng
活动性肺结核,huo'dong'xing'fei'jie'he
活动性肝炎,huo'dong'xing'gan'yan
霍乱,huo'luan
霍乱防治,huo'luan'fang'zhi
霍乱弧菌,huo'luan'hu'jun
活疫苗,huo'yi'miao
疾病编码,ji'bing'bian'ma
疾病监测,ji'bing'jian'ce
疾病监测系统,ji'bing'jian'ce'xi'tong
疾病控制,ji'bing'kong'zhi
疾病预防控制工作,ji'bing'yu'fang'kong'zhi'gong'zuo
疾病预防控制机构,ji'bing'yu'fang'kong'zhi'ji'gou
疾病预防控制中心,ji'bing'yu'fang'kong'zhi'zhong'xin
基层接种点,ji'ceng'jie'zhong'dian
基础免疫,ji'chu'mian'yi
继发,ji'fa
继发感染,ji'fa'gan'ran
继发性,ji'fa'xing
继发性高血压,ji'fa'xing'gao'xue'ya
几何平均滴度,ji'he'ping'jun'di'du
几何平均数,ji'he'ping'jun'shu
计划免疫,ji'hua'mian'yi
计划免疫管理,ji'hua'mian'yi'guan'li
计划免疫监测,ji'hua'mian'yi'jian'ce
计划免疫科,ji'hua'mian'yi'ke
计划生育,ji'hua'sheng'yu
计划生育法,ji'hua'sheng'yu'fa
脊灰,ji'hui
机会感染,ji'hui'gan'ran
脊灰诊断,ji'hui'zhen'duan
肌腱反射,ji'jian'fan'she
季节性,ji'jie'xing
季节性流行,ji'jie'xing'liu'xing
季节性升高,ji'jie'xing'sheng'gao
急救中心,ji'jiu'zhong'xin
疾控,ji'kong
疾控中心,ji'kong'zhong'xin
疾控中心领导,ji'kong'zhong'xin'ling'dao
疾控中心主任,ji'kong'zhong'xin'zhu'ren
吉林亚泰,ji'lin'ya'tai
急慢性传染病,ji'man'xing'chuan'ran'bing
计免报表,ji'mian'bao'biao
肌内注射,ji'nei'zhu'she
肌肉,ji'rou
肌肉酸疼,ji'rou'suan'teng
肌肉酸痛,ji'rou'suan'tong
肌肉萎缩,ji'rou'wei'suo
肌肉注射,ji'rou'zhu'she
寄生虫,ji'sheng'chong
及时报告,ji'shi'bao'gao
及时接种,ji'shi'jie'zhong
及时率,ji'shi'lv
计算机断层扫描,ji'suan'ji'duan'ceng'sao'miao
脊髓灰质炎,ji'sui'hui'zhi'yan
脊髓灰质炎病毒,ji'sui'hui'zhi'yan'bing'du
脊髓灰质炎病例,ji'sui'hui'zhi'yan'bing'li
脊髓灰质炎活疫苗,ji'sui'hui'zhi'yan'huo'yi'miao
脊髓灰质炎监测,ji'sui'hui'zhi'yan'jian'ce
脊髓灰质炎减毒活疫苗,ji'sui'hui'zhi'yan'jian'du'huo'yi'miao
脊髓灰质炎疫苗,ji'sui'hui'zhi'yan'yi'miao
脊髓前角,ji'sui'qian'jiao
脊髓炎,ji'sui'yan
肌痛,ji'tong
鸡尾酒疗法,ji'wei'jiu'liao'fa
基线调查,ji'xian'diao'cha
急性,ji'xing
急性驰缓性麻痹,ji'xing'chi'huan'xing'ma'bi
急性驰缓性瘫痪,ji'xing'chi'huan'xing'tan'huan
急性出血性结膜炎,ji'xing'chu'xue'xing'jie'mo'yan
急性传染病,ji'xing'chuan'ran'bing
急性发热性疾病,ji'xing'fa're'xing'ji'bing
急性肝炎,ji'xing'gan'yan
急性呼吸道传染病,ji'xing'hu'xi'dao'chuan'ran'bing
急性期,ji'xing'qi
急性肾衰竭,ji'xing'shen'shuai'jie
急性肾小球肾炎,ji'xing'shen'xiao'qiu'shen'yan
急性肾炎,ji'xing'shen'yan
急性胃肠炎,ji'xing'wei'chang'yan
急性胃炎,ji'xing'wei'yan
基因变异,ji'yin'bian'yi
基因重组疫苗,ji'yin'chong'zu'yi'miao
基因复制,ji'yin'fu'zhi
基因工程,ji'yin'gong'cheng
基因型,ji'yin'xing
基因组,ji'yin'zu
急诊科,ji'zhen'ke
集中趋势,ji'zhong'qu'shi
集中收治,ji'zhong'shou'zhi
甲胺磷,jia'an'lin
甲苯达唑,jia'ben'da'zuo
甲苯咪唑,jia'ben'mi'zuo
加碘,jia'dian
加碘盐,jia'dian'yan
甲酚皂,jia'fen'zao
甲肝,jia'gan
甲肝病毒,jia'gan'bing'du
甲肝减毒活疫苗,jia'gan'jian'du'huo'yi'miao
甲肝灭活疫苗,jia'gan'mie'huo'yi'miao
甲肝疫苗,jia'gan'yi'miao
甲类传染病,jia'lei'chuan'ran'bing
荚膜,jia'mo
荚膜多糖,jia'mo'duo'tang
加强,jia'qiang
加强免疫,jia'qiang'mian'yi
甲胎蛋白,jia'tai'dan'bai
家庭电话,jia'ting'dian'hua
家庭聚集性,jia'ting'ju'ji'xing
家庭史,jia'ting'shi
家庭住址,jia'ting'zhu'zhi
加硒,jia'xi
甲硝唑,jia'xiao'zuo
甲型,jia'xing
甲型病毒性肝炎,jia'xing'bing'du'xing'gan'yan
甲型肝炎,jia'xing'gan'yan
甲型肝炎病毒,jia'xing'gan'yan'bing'du
甲型肝炎灭活疫苗,jia'xing'gan'yan'mie'huo'yi'miao
甲型肝炎疫苗,jia'xing'gan'yan'yi'miao
假阳性,jia'yang'xing
甲乙类传染病,jia'yi'lei'chuan'ran'bing
假阴性,jia'yin'xing
家蝇,jia'ying
家长签字,jia'zhang'qian'zi
家长通知书,jia'zhang'tong'zhi'shu
家长姓名,jia'zhang'xing'ming
甲状腺,jia'zhuang'xian
甲状腺炎,jia'zhuang'xian'yan
甲状腺肿,jia'zhuang'xian'zhong
甲状腺肿大,jia'zhuang'xian'zhong'da
监测,jian'ce
监测点,jian'ce'dian
监测方案,jian'ce'fang'an
监测网络,jian'ce'wang'luo
监测资料,jian'ce'zi'liao
检出率,jian'chu'lv
减毒,jian'du
减毒活疫苗,jian'du'huo'yi'miao
监督所,jian'du'suo
减毒疫苗,jian'du'yi'miao
减毒株,jian'du'zhu
监护人,jian'hu'ren
间接接触,jian'jie'jie'chu
间接接触传染,jian'jie'jie'chu'chuan'ran
间接免疫荧光检测,jian'jie'mian'yi'ying'guang'jian'ce
间接死因,jian'jie'si'yin
间接血凝试验,jian'jie'xue'ning'shi'yan
间接荧光抗体试验,jian'jie'ying'guang'kang'ti'shi'yan
建卡,jian'ka
建卡率,jian'ka'lv
建卡日期,jian'ka'ri'qi
健康促进,jian'kang'cu'jin
健康带菌者,jian'kang'dai'jun'zhe
健康档案,jian'kang'dang'an
健康教育,jian'kang'jiao'yu
健康证,jian'kang'zheng
间日疟,jian'ri'nue
尖锐湿疣,jian'rui'shi'you
间歇灭菌,jian'xie'mie'jun
碱性蛋白胨,jian'xing'dan'bai'dong
兼性厌氧菌,jian'xing'yan'yang'jun
检疫,jian'yi
检疫期,jian'yi'qi
建证率,jian'zheng'lv
降氟,jiang'fu
江苏延申,jiang'su'yan'shen
浆细胞,jiang'xi'bao
交叉传播,jiao'cha'chuan'bo
交叉感染,jiao'cha'gan'ran
交叉免疫,jiao'cha'mian'yi
交叉免疫力,jiao'cha'mian'yi'li
角弓反张,jiao'gong'fan'zhang
矫形手术,jiao'xing'shou'shu
结肠,jie'chang
结肠癌,jie'chang'ai
结肠炎,jie'chang'yan
接触传播,jie'chu'chuan'bo
接触传染,jie'chu'chuan'ran
接触感染,jie'chu'gan'ran
接触史,jie'chu'shi
接触者,jie'chu'zhe
街毒株,jie'du'zhu
结核,jie'he
结核病,jie'he'bing
结核病门诊,jie'he'bing'men'zhen
结核病人,jie'he'bing'ren
结核病项目,jie'he'bing'xiang'mu
结核分枝杆菌,jie'he'fen'zhi'gan'jun
结核杆菌,jie'he'gan'jun
结核菌,jie'he'jun
结核菌素,jie'he'jun'su
结核菌素试验,jie'he'jun'su'shi'yan
结核科,jie'he'ke
结核项目,jie'he'xiang'mu
结核型,jie'he'xing
结核性脑膜炎,jie'he'xing'nao'mo'yan
结痂,jie'jia
结节,jie'jie
结节型,jie'jie'xing
拮抗,jie'kang
结膜炎,jie'mo'yan
解热镇痛,jie're'zhen'tong
解热镇痛剂,jie're'zhen'tong'ji
解热镇痛药,jie're'zhen'tong'yao
结素,jie'su
结素试验,jie'su'shi'yan
接种,jie'zhong
接种部位,jie'zhong'bu'wei
接种查询,jie'zhong'cha'xun
接种场所,jie'zhong'chang'suo
接种程序,jie'zhong'cheng'xu
接种次数,jie'zhong'ci'shu
接种单位,jie'zhong'dan'wei
接种登记,jie'zhong'deng'ji
接种登记表,jie'zhong'deng'ji'biao
接种登记册,jie'zhong'deng'ji'ce
接种底册,jie'zhong'di'ce
接种点,jie'zhong'dian
接种对象,jie'zhong'dui'xiang
接种儿童,jie'zhong'er'tong
接种范围,jie'zhong'fan'wei
接种反应,jie'zhong'fan'ying
接种方法,jie'zhong'fang'fa
接种方式,jie'zhong'fang'shi
接种副反应,jie'zhong'fu'fan'ying
接种剂量,jie'zhong'ji'liang
接种记录,jie'zhong'ji'lu
接种及时率,jie'zhong'ji'shi'lv
接种技术,jie'zhong'ji'shu
接种间隔,jie'zhong'jian'ge
接种禁忌,jie'zhong'jin'ji
接种禁忌症,jie'zhong'jin'ji'zheng
接种经费,jie'zhong'jing'fei
接种卡,jie'zhong'ka
接种率,jie'zhong'lv
接种率抽样调查,jie'zhong'lv'chou'yang'diao'cha
接种率调查,jie'zhong'lv'diao'cha
接种率调查系统,jie'zhong'lv'diao'cha'xi'tong
接种率评价,jie'zhong'lv'ping'jia
接种门诊,jie'zhong'men'zhen
接种摸底,jie'zhong'mo'di
接种年龄,jie'zhong'nian'ling
接种年龄组,jie'zhong'nian'ling'zu
接种人次,jie'zhong'ren'ci
接种人数,jie'zhong'ren'shu
接种人员,jie'zhong'ren'yuan
接种日,jie'zhong'ri
接种日期,jie'zhong'ri'qi
接种史,jie'zhong'shi
接种事故,jie'zhong'shi'gu
接种时间,jie'zhong'shi'jian
接种通知,jie'zhong'tong'zhi
接种通知书,jie'zhong'tong'zhi'shu
接种信息,jie'zhong'xin'xi
接种信息管理,jie'zhong'xin'xi'guan'li
接种信息管理系统,jie'zhong'xin'xi'guan'li'xi'tong
接种信息录入,jie'zhong'xin'xi'lu'ru
接种许可,jie'zhong'xu'ke
接种许可证,jie'zhong'xu'ke'zheng
接种疫苗,jie'zhong'yi'miao
接种医生,jie'zhong'yi'sheng
接种者,jie'zhong'zhe
接种针次,jie'zhong'zhen'ci
接种针次间隔,jie'zhong'zhen'ci'jian'ge
接种证,jie'zhong'zheng
接种证查验,jie'zhong'zheng'cha'yan
接种证打印,jie'zhong'zheng'da'yin
接种证发放,jie'zhong'zheng'fa'fang
接种周期,jie'zhong'zhou'qi
接种资格,jie'zhong'zi'ge
接种资格证,jie'zhong'zi'ge'zheng
金标准,jin'biao'zhun
金刚烷胺,jin'gang'wan'an
金刚乙胺,jin'gang'yi'an
金黄色葡萄球菌,jin'huang'se'pu'tao'qiu'jun
禁忌症,jin'ji'zheng
进口疫苗,jin'kou'yi'miao
金霉素,jin'mei'su
金葡菌,jin'pu'jun
浸润注射,jin'run'zhu'she
禁食,jin'shi
金卫信,jin'wei'xin
金卫信公司,jin'wei'xin'gong'si
净化水,jing'hua'shui
镜检,jing'jian
痉咳,jing'ke
痉挛毒素,jing'luan'du'su
静脉穿刺,jing'mai'chuan'ci
静脉滴入,jing'mai'di'ru
静脉滴注,jing'mai'di'zhu
静脉输液,jing'mai'shu'ye
静脉吸毒,jing'mai'xi'du
静脉血,jing'mai'xue
静脉注射,jing'mai'zhu'she
静脉注射毒品,jing'mai'zhu'she'du'pin
精神病,jing'shen'bing
精神创伤,jing'shen'chuang'shang
精神分裂症,jing'shen'fen'lie'zheng
精神疾病,jing'shen'ji'bing
精神萎靡,jing'shen'wei'mi
精神因素,jing'shen'yin'su
精液,jing'ye
精制抗血清,jing'zhi'kang'xue'qing
精制狂犬病疫苗,jing'zhi'kuang'quan'bing'yi'miao
精制狂犬疫苗,jing'zhi'kuang'quan'yi'miao
精制破白破疫苗,jing'zhi'po'bai'po'yi'miao
精制疫苗,jing'zhi'yi'miao
精制乙脑疫苗,jing'zhi'yi'nao'yi'miao
就地隔离,jiu'di'ge'li
就地治疗,jiu'di'zhi'liao
就近隔离,jiu'jin'ge'li
酒精消毒,jiu'jing'xiao'du
局部反应,ju'bu'fan'ying
局部感染,ju'bu'gan'ran
局部流行,ju'bu'liu'xing
局部免疫,ju'bu'mian'yi
居家隔离,ju'jia'ge'li
剧烈头痛,ju'lie'tou'tong
居民健康档案,ju'min'jian'kang'dang'an
巨噬细胞,ju'shi'xi'bao
巨噬细胞系统,ju'shi'xi'bao'xi'tong
巨细胞,ju'xi'bao
巨细胞肺炎,ju'xi'bao'fei'yan
菌落,jun'luo
菌落总数,jun'luo'zong'shu
菌群失调,jun'qun'shi'tiao
菌体抗原,jun'ti'kang'yuan
军团病,jun'tuan'bing
军团菌,jun'tuan'jun
军团菌病,jun'tuan'jun'bing
军团菌感染,jun'tuan'jun'gan'ran
菌血症,jun'xue'zheng
菌株变异,jun'zhu'bian'yi
卡痕,ka'hen
卡痕率,ka'hen'lv
卡介苗,ka'jie'miao
卡介素,ka'jie'su
卡那霉素,ka'na'mei'su
卡氏肺囊虫肺炎,ka'shi'fei'nang'chong'fei'yan
卡他期,ka'ta'qi
卡它期,ka'ta'qi
卡它症状,ka'ta'zheng'zhuang
咯血,ka'xie
卡证管理,ka'zheng'guan'li
卡证相符,ka'zheng'xiang'fu
凯尔尼格征,kai'er'ni'ge'zheng
抗病毒,kang'bing'du
抗病毒药物,kang'bing'du'yao'wu
抗毒素,kang'du'su
康复治疗,kang'fu'zhi'liao
抗感染,kang'gan'ran
抗结核治疗,kang'jie'he'zhi'liao
抗菌,kang'jun
抗菌素,kang'jun'su
抗菌药物,kang'jun'yao'wu
抗菌治疗,kang'jun'zhi'liao
抗狂犬病免疫球蛋白,kang'kuang'quan'bing'mian'yi'qiu'dan'bai
抗狂犬病血清,kang'kuang'quan'bing'xue'qing
抗疟药,kang'nue'yao
抗生素,kang'sheng'su
抗酸染色,kang'suan'ran'se
抗体,kang'ti
抗体滴度,kang'ti'di'du
抗体水平,kang'ti'shui'ping
抗体效价,kang'ti'xiao'jia
抗体阳性,kang'ti'yang'xing
抗体阳转率,kang'ti'yang'zhuan'lv
抗休克,kang'xiu'ke
抗血清,kang'xue'qing
抗原,kang'yuan
抗原交叉,kang'yuan'jiao'cha
抗原决定簇,kang'yuan'jue'ding'cu
抗原抗体,kang'yuan'kang'ti
抗原抗体复合物,kang'yuan'kang'ti'fu'he'wu
抗原性,kang'yuan'xing
客户端,ke'hu'duan
克拉霉素,ke'la'mei'su
克林霉素,ke'lin'mei'su
柯萨奇病毒,ke'sa'qi'bing'du
克山病,ke'shan'bing
柯氏斑,ke'shi'ban
克氏症,ke'shi'zheng
咳嗽,ke'sou
克汀病,ke'ting'bing
可疑病人,ke'yi'bing'ren
空肠,kong'chang
空肠变曲菌病,kong'chang'bian'qu'jun'bing
空肠弯曲菌,kong'chang'wan'qu'jun
空洞型,kong'dong'xing
空洞型肺结核,kong'dong'xing'fei'jie'he
空腹,kong'fu
空气飞沫传播,kong'qi'fei'mo'chuan'bo
恐水症,kong'shui'zheng
控制病情,kong'zhi'bing'qing
控制传染源,kong'zhi'chuan'ran'yuan
控制措施,kong'zhi'cuo'shi
控制疫情,kong'zhi'yi'qing
口唇发绀,kou'chun'fa'gan
口服,kou'fu
口服补液,kou'fu'bu'ye
口服抗菌药物,kou'fu'kang'jun'yao'wu
口服糖丸,kou'fu'tang'wan
口服小儿麻痹糖丸,kou'fu'xiao'er'ma'bi'tang'wan
口服药,kou'fu'yao
口服疫苗,kou'fu'yi'miao
口腔疾病,kou'qiang'ji'bing
口腔炎,kou'qiang'yan
枯草杆菌,ku'cao'gan'jun
库蚊,ku'wen
苦笑面容,ku'xiao'mian'rong
狂苗,kuang'miao
狂犬,kuang'quan
狂犬病,kuang'quan'bing
狂犬病纯化疫苗,kuang'quan'bing'chun'hua'yi'miao
狂犬病毒,kuang'quan'bing'du
狂犬病门诊,kuang'quan'bing'men'zhen
狂犬病免疫球蛋白,kuang'quan'bing'mian'yi'qiu'dan'bai
狂犬病疫苗,kuang'quan'bing'yi'miao
狂犬疫苗,kuang'quan'yi'miao
狂躁,kuang'zao
狂躁不安,kuang'zao'bu'an
喹诺酮类,kui'nuo'tong'lei
溃疡,kui'yang
昆虫媒介,kun'chong'mei'jie
昆明生研所,kun'ming'sheng'yan'suo
扩大免疫规划,kuo'da'mian'yi'gui'hua
扩散宿主,kuo'san'su'zhu
扩张血管,kuo'zhang'xue'guan
拉沙热,la'sha're
莱姆病,lai'mu'bing
来苏儿,lai'su'er
兰州生物制品研究所,lan'zhou'sheng'wu'zhi'pin'yan'jiu'suo
兰州生研所,lan'zhou'sheng'yan'suo
劳动保护,lao'dong'bao'hu
劳动卫生,lao'dong'wei'sheng
老年痴呆,lao'nian'chi'dai
老疫区,lao'yi'qu
类毒素,lei'du'su
类风湿关节炎,lei'feng'shi'guan'jie'yan
类风湿因子,lei'feng'shi'yin'zi
累计接种率,lei'ji'jie'zhong'lv
累计实种人数,lei'ji'shi'zhong'ren'shu
累积死亡率,lei'ji'si'wang'lv
累计应种人数,lei'ji'ying'zhong'ren'shu
雷米封,lei'mi'feng
冷藏包,leng'cang'bao
冷藏保存,leng'cang'bao'cun
冷藏背包,leng'cang'bei'bao
冷藏车,leng'cang'che
冷藏运输,leng'cang'yun'shu
冷冻保存,leng'dong'bao'cun
冷冻食品,leng'dong'shi'pin
冷链,leng'lian
冷链管理,leng'lian'guan'li
冷链记录,leng'lian'ji'lu
冷链设备,leng'lian'she'bei
冷链系统,leng'lian'xi'tong
冷链运转,leng'lian'yun'zhuan
利巴伟林,li'ba'wei'lin
利福平,li'fu'ping
理化除氟,li'hua'chu'fu
理化检验室,li'hua'jian'yan'shi
罹患率,li'huan'lv
痢疾,li'ji
痢疾杆菌,li'ji'gan'jun
里急后重,li'ji'hou'zhong
立克次氏体,li'ke'ci'shi'ti
立克次体,li'ke'ci'ti
理疗,li'liao
离散程度,li'san'cheng'du
利什曼原虫,li'shen'man'yuan'chong
利什曼病,li'shi'man'bing
粒细胞,li'xi'bao
丽蝇,li'ying
离子膜,li'zi'mo
镰刀真菌,lian'dao'zhen'jun
联合化疗,lian'he'hua'liao
联合免疫,lian'he'mian'yi
联合疫苗,lian'he'yi'miao
链激酶,lian'ji'mei
链霉素,lian'mei'su
链球菌,lian'qiu'jun
联系电话,lian'xi'dian'hua
两对半,liang'dui'ban
良性肿瘤,liang'xing'zhong'liu
辽成成大,liao'cheng'cheng'da
辽成依生,liao'cheng'yi'sheng
辽宁成大,liao'ning'cheng'da
辽宁依生,liao'ning'yi'sheng
裂解疫苗,lie'jie'yi'miao
烈性传染病,lie'xing'chuan'ran'bing
裂殖增殖,lie'zhi'zeng'zhi
裂殖子,lie'zhi'zi
淋巴结,lin'ba'jie
淋巴结肿大,lin'ba'jie'zhong'da
淋巴瘤,lin'ba'liu
淋巴肉芽肿,lin'ba'rou'ya'zhong
淋巴细胞,lin'ba'xi'bao
淋巴系统,lin'ba'xi'tong
淋巴腺,lin'ba'xian
淋巴循环,lin'ba'xun'huan
淋巴因子,lin'ba'yin'zi
淋病,lin'bing
临床表现,lin'chuang'biao'xian
临床分型,lin'chuang'fen'xing
临床经过,lin'chuang'jing'guo
临床经验,lin'chuang'jing'yan
临床类型,lin'chuang'lei'xing
临床诊断,lin'chuang'zhen'duan
临床诊断病例,lin'chuang'zhen'duan'bing'li
临床症状,lin'chuang'zheng'zhuang
林格,lin'ge
林格液,lin'ge'ye
林可毒素,lin'ke'du'su
淋球菌,lin'qiu'jun
零病例报告,ling'bing'li'bao'gao
灵长类动物,ling'zhang'lei'dong'wu
流调队,liu'diao'dui
流调队员,liu'diao'dui'yuan
流调人员,liu'diao'ren'yuan
流动儿童,liu'dong'er'tong
流感,liu'gan
流感病毒,liu'gan'bing'du
流感裂解疫苗,liu'gan'lie'jie'yi'miao
流感样症状,liu'gan'yang'zheng'zhuang
流感疫苗,liu'gan'yi'miao
硫柳汞,liu'liu'gong
硫柳汞防腐剂,liu'liu'gong'fang'fu'ji
流膜炎双球菌,liu'mo'yan'shuang'qiu'jun
流脑,liu'nao
流脑多糖体疫苗,liu'nao'duo'tang'ti'yi'miao
流脑多糖疫苗,liu'nao'duo'tang'yi'miao
流脑监测,liu'nao'jian'ce
流脑疫苗,liu'nao'yi'miao
流涕,liu'ti
流调,liu'tiao
流行,liu'xing
流行病,liu'xing'bing
流行病学,liu'xing'bing'xue
流行病学调查,liu'xing'bing'xue'diao'cha
流行病学分析,liu'xing'bing'xue'fen'xi
流行病学史,liu'xing'bing'xue'shi
流行病学医师,liu'xing'bing'xue'yi'shi
流行病学意义,liu'xing'bing'xue'yi'yi
流行病学资料,liu'xing'bing'xue'zi'liao
流行范围,liu'xing'fan'wei
流行高峰,liu'xing'gao'feng
流行过程,liu'xing'guo'cheng
流行季节,liu'xing'ji'jie
流行强度,liu'xing'qiang'du
流行区,liu'xing'qu
流行特点,liu'xing'te'dian
流行特征,liu'xing'te'zheng
流行性,liu'xing'xing
流行性出血热,liu'xing'xing'chu'xue're
流行性出血热病毒,liu'xing'xing'chu'xue're'bing'du
流行性出血热疫苗,liu'xing'xing'chu'xue're'yi'miao
流行性感冒,liu'xing'xing'gan'mao
流行性和地方性斑疹伤寒,liu'xing'xing'he'di'fang'xing'ban'zhen'shang'han
流行性肋腺炎,liu'xing'xing'lei'xian'yan
流行性脑脊髓膜炎,liu'xing'xing'nao'ji'sui'mo'yan
流行性脑膜炎,liu'xing'xing'nao'mo'yan
流性性脑膜炎双球菌,liu'xing'xing'nao'mo'yan'shuang'qiu'jun
流行性腮腺炎,liu'xing'xing'sai'xian'yan
流行性乙型脑炎,liu'xing'xing'yi'xing'nao'yan
流行周期,liu'xing'zhou'qi
流行株,liu'xing'zhu
漏报,lou'bao
漏报调查,lou'bao'diao'cha
漏报率,lou'bao'lv
漏登儿童,lou'deng'er'tong
漏卡儿童,lou'ka'er'tong
漏种,lou'zhong
漏种儿童,lou'zhong'er'tong
颅内高压,lu'nei'gao'ya
轮状病毒,lun'zhuang'bing'du
罗红霉素,luo'hong'mei'su
螺旋杆菌,luo'xuan'gan'jun
螺旋体,luo'xuan'ti
氯仿,lv'fang
氯化钾,lv'hua'jia
氯化钠,lv'hua'na
氯化纳溶液,lv'hua'na'rong'ye
氯化钠注射液,lv'hua'na'zhu'she'ye
氯喹,lv'kui
氯霉素,lv'mei'su
绿脓杆菌,lv'nong'gan'jun
氯气,lv'qi
旅行者腹泻,lv'xing'zhe'fu'xie
绿蝇,lv'ying
麻痹,ma'bi
麻痹糖丸,ma'bi'tang'wan
麻风,ma'feng
麻风病,ma'feng'bing
麻风病人,ma'feng'bing'ren
麻风分枝杆菌,ma'feng'fen'zhi'gan'jun
麻风杆菌,ma'feng'gan'jun
麻风菌,ma'feng'jun
麻风腮,ma'feng'sai
马来丝虫,ma'lai'si'chong
吗啉双呱,ma'lin'shuang'gua
麻苗,ma'miao
麻腮风,ma'sai'feng
麻腮风疫苗,ma'sai'feng'yi'miao
麻腮疫苗,ma'sai'yi'miao
马血清,ma'xue'qing
麻蝇,ma'ying
麻疹,ma'zhen
麻疹病毒,ma'zhen'bing'du
麻疹监测,ma'zhen'jian'ce
麻疹减毒活疫苗,ma'zhen'jian'du'huo'yi'miao
