阿海,a'hai
蓄能泵最大扬程,xu'neng'beng'zui'da'yang'cheng
蓄能泵最小输入功率,xu'neng'beng'zui'xiao'shu'ru'gong'lv
旋转方向,xuan'zhuan'fang'xiang
氩弧焊,ya'hu'han
压力,ya'li
压力比能,ya'li'bi'neng
压力钢管,ya'li'gang'guan
压力脉动,ya'li'mai'dong
压力脉动试验,ya'li'mai'dong'shi'yan
压力水头,ya'li'shui'tou
压平,ya'ping
压强,ya'qiang
压胎,ya'tai
闫海滨,yan'hai'bin
阎海滨,yan'hai'bin
研究所,yan'jiu'suo
验收试验,yan'shou'shi'yan
岩滩扩机,yan'tan'kuo'ji
样冲,yang'chong
样冲打上标记,yang'chong'da'shang'biao'ji
样冲眼,yang'chong'yan
仰焊,yang'han
仰焊缝,yang'han'feng
羊曲,yang'qu
氧燃料气割,yang'ran'liao'qi'ge
羊头铺,yang'tou'pu
摇臂钻床,yao'bi'zuan'chuang
咬边,yao'bian
药芯焊丝,yao'xin'han'si
药芯焊丝弧焊,yao'xin'han'si'hu'han
叶轮,ye'lun
叶轮公称直径,ye'lun'gong'cheng'zhi'jing
叶轮后盖,ye'lun'hou'gai
叶轮前盖,ye'lun'qian'gai
叶轮上冠,ye'lun'shang'guan
叶轮上冠密封,ye'lun'shang'guan'mi'feng
叶轮上冠腔,ye'lun'shang'guan'qiang
叶轮输出功率,ye'lun'shu'chu'gong'lv
叶轮输入功率,ye'lun'shu'ru'gong'lv
叶轮体,ye'lun'ti
叶轮下环,ye'lun'xia'huan
叶轮下环密封,ye'lun'xia'huan'mi'feng
叶轮下环腔,ye'lun'xia'huan'qiang
叶轮叶片,ye'lun'ye'pian
叶片,ye'pian
叶片安放角,ye'pian'an'fang'jiao
叶片背面,ye'pian'bei'mian
叶片出水边,ye'pian'chu'shui'bian
叶片接力器装配,ye'pian'jie'li'qi'zhuang'pei
叶片进水边,ye'pian'jin'shui'bian
叶片开口,ye'pian'kai'kou
叶片力特性,ye'pian'li'te'xing
叶片连杆,ye'pian'lian'gan
叶片密封,ye'pian'mi'feng
叶片倾角,ye'pian'qing'jiao
叶片枢轴,ye'pian'shu'zhou
叶片正面,ye'pian'zheng'mian
叶片转臂,ye'pian'zhuan'bi
叶片转角,ye'pian'zhuan'jiao
翼板,yi'ban
一般术语,yi'ban'shu'yu
依次分段,yi'ci'fen'duan
伊朗,yi'lang
以上工序完成后,yi'shang'gong'xu'wan'cheng'hou
溢油,yi'you
引水室,yin'shui'shi
油槽,you'cao
油槽壁,you'cao'bi
油钢管,you'gang'guan
油管路,you'guan'lu
油腔,you'qiang
油箱,you'xiang
油压机,you'ya'ji
油压千斤顶,you'ya'qian'jin'ding
余高,yu'gao
余量线,yu'liang'xian
预先放好,yu'xian'fang'hao
圆盘,yuan'pan
圆筒阀,yuan'tong'fa
圆筒筋,yuan'tong'jin
原型,yuan'xing
运行工况,yun'xing'gong'kuang
运行特性曲线,yun'xing'te'xing'qu'xian
运转特性曲线,yun'zhuan'te'xing'qu'xian
斩态过程,zhan'tai'guo'cheng
张淮,zhang'huai
张伟华,zhang'wei'hua
张艳军,zhang'yan'jun
赵永胜,zhao'yong'sheng
找正,zhao'zheng
柘溪,zhe'xi
折向器,zhe'xiang'qi
折向器接力器,zhe'xiang'qi'jie'li'qi
折向器轴,zhe'xiang'qi'zhou
真空破坏阀,zhen'kong'po'huai'fa
针形阀,zhen'xing'fa
正常蓄水位,zheng'chang'xu'shui'wei
正面,zheng'mian
质保部,zhi'bao'bu
支臂,zhi'bi
支持盖,zhi'chi'gai
制动喷嘴,zhi'dong'pen'zui
支墩,zhi'dun
质量保证部,zhi'liang'bao'zheng'bu
直流电极接负,zhi'liu'dian'ji'jie'fu
直流电极接正,zhi'liu'dian'ji'jie'zheng
止漏环,zhi'lou'huan
直坡口焊缝,zhi'po'kou'han'feng
止推轴承,zhi'tui'zhou'cheng
制造工艺部,zhi'zao'gong'yi'bu
中环板,zhong'huan'ban
中间轴,zhong'jian'zhou
中心体,zhong'xin'ti
中心筒,zhong'xin'tong
中心柱,zhong'xin'zhu
中性焊剂,zhong'xing'han'ji
轴承体,zhou'cheng'ti
轴承支架,zhou'cheng'zhi'jia
轴领,zhou'ling
轴流定桨式水轮机,zhou'liu'ding'jiang'shi'shui'lun'ji
轴流式水轮机,zhou'liu'shi'shui'lun'ji
轴流式蓄能泵,zhou'liu'shi'xu'neng'beng
轴流式转轮公称直径,zhou'liu'shi'zhuan'lun'gong'cheng'zhi'jing
轴流调桨式水轮机,zhou'liu'tiao'jiang'shi'shui'lun'ji
轴流转桨式水轮机,zhou'liu'zhuan'jiang'shi'shui'lun'ji
轴密封,zhou'mi'feng
轴伸贯流式水轮机,zhou'shen'guan'liu'shi'shui'lun'ji
轴瓦,zhou'wa
轴向支撑,zhou'xiang'zhi'cheng
肘形尾水管,zhou'xing'wei'shui'guan
肘形尾水管长度,zhou'xing'wei'shui'guan'chang'du
肘形尾水管深度,zhou'xing'wei'shui'guan'shen'du
主阀,zhu'fa
主阀与阀门,zhu'fa'yu'fa'men
主立筋,zhu'li'jin
驻留,zhu'liu
主轴,zhu'zhou
主轴密封,zhu'zhou'mi'feng
主轴密封装置,zhu'zhou'mi'feng'zhuang'zhi
转臂,zhuan'bi
转动部分,zhuan'dong'bu'fen
转动部件,zhuan'dong'bu'jian
转轮,zhuan'lun
转轮公称直径,zhuan'lun'gong'cheng'zhi'jing
转轮减压板,zhuan'lun'jian'ya'ban
转轮抗磨环,zhuan'lun'kang'mo'huan
转轮密封装置,zhuan'lun'mi'feng'zhuang'zhi
转轮上冠,zhuan'lun'shang'guan
转轮上冠密封,zhuan'lun'shang'guan'mi'feng
转轮上冠腔,zhuan'lun'shang'guan'qiang
转轮室,zhuan'lun'shi
转轮室上环,zhuan'lun'shi'shang'huan
转轮室下环,zhuan'lun'shi'xia'huan
转轮输出功率,zhuan'lun'shu'chu'gong'lv
转轮输入功率,zhuan'lun'shu'ru'gong'lv
转轮体,zhuan'lun'ti
转轮下环,zhuan'lun'xia'huan
转轮下环密封,zhuan'lun'xia'huan'mi'feng
转轮下环腔,zhuan'lun'xia'huan'qiang
转轮叶片,zhuan'lun'ye'pian
转轮叶片接力器,zhuan'lun'ye'pian'jie'li'qi
转轮运输车,zhuan'lun'yun'shu'che
转轮运输门,zhuan'lun'yun'shu'men
转轮直径,zhuan'lun'zhi'jing
转轮止漏环,zhuan'lun'zhi'lou'huan
转速,zhuan'su
转下序,zhuan'xia'xu
转叶机构,zhuan'ye'ji'gou
转油压机压平,zhuan'you'ya'ji'ya'ping
转子,zhuan'zi
转子支架,zhuan'zi'zhi'jia
装焊,zhuang'han
装配,zhuang'pei
装配试验,zhuang'pei'shi'yan
装配位置线,zhuang'pei'wei'zhi'xian
装置气蚀系数,zhuang'zhi'qi'shi'xi'shu
锥板,zhui'ban
锥形尾水管,zhui'xing'wei'shui'guan
自动焊,zi'dong'han
自检装配尺寸,zi'jian'zhuang'pei'chi'cun
自下而上,zi'xia'er'shang
自由公差标准,zi'you'gong'cha'biao'zhun
纵缝,zong'feng
综合特性曲线,zong'he'te'xing'qu'xian
总水头,zong'shui'tou
组合电极,zu'he'dian'ji
钻床,zuan'chuang
钻孔,zuan'kong
最大静水压,zui'da'jing'shui'ya
最大水头,zui'da'shui'tou
最低尾水位,zui'di'wei'shui'wei
最高静水头,zui'gao'jing'shui'tou
最高尾水位,zui'gao'wei'shui'wei
最小水头,zui'xiao'shui'tou
最优比转速,zui'you'bi'zhuan'su
最优工况,zui'you'gong'kuang
最优工况功率,zui'you'gong'kuang'gong'lv
最优效率,zui'you'xiao'lv
坐标线,zuo'biao'xian
左焊法,zuo'han'fa
座环,zuo'huan
座环环板,zuo'huan'huan'ban
座环扩散段,zuo'huan'kuo'san'duan
