安东将军,an'dong'jiang'jun
历史上叫做南北朝,li'shi'shang'jiao'zuo'nan'bei'chao
李守贞,li'shou'zhen
李嗣源,li'si'yuan
力图扩大实力,li'tu'kuo'da'shi'li
历五帝,li'wu'di
里无麦禾,li'wu'mai'he
力行节俭,li'xing'jie'jian
李雄,li'xiong
李用,li'yong
李用养子,li'yong'yang'zi
李煜即位,li'yu'ji'wei
李柷,li'zhu
立足点,li'zu'dian
联合石勒,lian'he'shi'le
连衡抗命,lian'heng'kang'ming
连降大雨,lian'jiang'da'yu
连年交战,lian'nian'jiao'zhan
连年用兵,lian'nian'yong'bing
连年战争,lian'nian'zhan'zheng
梁朝,liang'chao
两川,liang'chuan
两次向南进军的,liang'ci'xiang'nan'jin'jun'de
梁代,liang'dai
两汉时期,liang'han'shi'qi
两晋,liang'jin
两晋以后,liang'jin'yi'hou
梁军,liang'jun
梁末帝,liang'mo'di
梁太祖,liang'tai'zu
梁武帝,liang'wu'di
梁元帝,liang'yuan'di
辽帝,liao'di
辽占领的,liao'zhan'ling'de
岭南东道节度使,ling'nan'dong'dao'jie'du'shi
岭南广大地区,ling'nan'guang'da'de'qu
刘豹,liu'bao
刘承钧,liu'cheng'jun
刘承佑,liu'cheng'you
刘承祐,liu'cheng'you
刘崇,liu'chong
刘聪,liu'cong
刘聪遣使,liu'cong'qian'shi
六帝,liu'di
刘汉宏,liu'han'hong
刘仁恭,liu'ren'gong
刘瑞相持,liu'rui'xiang'chi
刘劭,liu'shao
刘守光,liu'shou'guang
刘宋,liu'song
刘宋文帝,liu'song'wen'di
刘暾,liu'tun
六万多人,liu'wan'duo'ren
流徙他处,liu'xi'ta'chu
刘岩,liu'yan
刘曜,liu'yao
六艺备闲,liu'yi'bei'xian
刘义隆,liu'yi'long
刘隐,liu'yin
刘裕,liu'yu
流域的,liu'yu'de
刘裕卒,liu'yu'zu
刘渊,liu'yuan
六镇起兵,liu'zhen'qi'bing
六镇起义,liu'zhen'qi'yi
刘知远,liu'zhi'yuan
龙德,long'de
龙德三年,long'de'san'nian
隆尧县,long'yao'xian
卢龙,lu'long
卢龙镇,lu'long'zhen
卢水胡,lu'shui'hu
略通,lue'tong
罗绍威,luo'shao'wei
吕光复,lv'guang'fu
马牧帅,ma'mu'shuai
马殷,ma'yin
卖官风气盛行,mai'guan'feng'qi'sheng'xing
贸然北伐,mao'ran'bei'fa
贸然前往,mao'ran'qian'wang
没有固定,mei'you'gu'ding
门阀士族,men'fa'shi'zu
门阀士族社会地位,men'fa'shi'zu'she'hui'di'wei
孟昶,meng'chang
孟方立,meng'fang'li
孟知祥,meng'zhi'xiang
弥兵渐衰,mi'bing'jian'shuai
弥大悦,mi'da'yue
弥为公右,mi'wei'gong'you
免徵田税,mian'zheng'tian'shui
庙号高祖,miao'hao'gao'zu
庙号太祖,miao'hao'tai'zu
灭楚,mie'chu
灭后汉,mie'hou'han
灭亡的,mie'wang'de
灭亡之后,mie'wang'zhi'hou
闽国,min'guo
闽为南唐所灭,min'wei'nan'tang'suo'mie
民物殆尽,min'wu'dai'jin
闽政权,min'zheng'quan
民族大融合,min'zu'da'rong'he
明公常恐不得王公之便,ming'gong'chang'kong'bu'de'wang'gong'zhi'bian
明公独无并州之思乎,ming'gong'du'wu'bing'zhou'zhi'si'hu
名门大族,ming'men'da'zu
名萧衍,ming'xiao'yan
明宗,ming'zong
明宗养子李从珂,ming'zong'yang'zi'li'cong'ke
漠北地区,mo'bei'di'qu
莫不奇妙,mo'bu'qi'miao
末帝即位,mo'di'ji'wei
万俟丑奴,mo'qi'chou'nu
莫瀛易三州,mo'ying'yi'san'zhou
莫有处将军之右者,mo'you'chu'jiang'jun'zhi'you'zhe
谋叛罪名,mou'pan'zui'ming
募民,mu'min
慕容部,mu'rong'bu
目无君王,mu'wu'jun'wang
那时中原,na'shi'zhong'yuan
纳土入朝,na'tu'ru'chao
奈何复还相臣奉乎,nai'he'fu'huan'xiang'chen'feng'hu
南北朝,nan'bei'chao
南北朝历史,nan'bei'chao'li'shi
南北朝时期,nan'bei'chao'shi'qi
南北对峙,nan'bei'dui'zhi
南北方,nan'bei'fang
南北分裂,nan'bei'fen'lie
南北双方,nan'bei'shuang'fang
南北政权对立的时期,nan'bei'zheng'quan'dui'li'de'shi'qi
南朝,nan'chao
南朝的,nan'chao'de
南朝的历史,nan'chao'de'li'shi
南朝诸帝,nan'chao'zhu'di
南陈,nan'chen
南方的,nan'fang'de
南方的大国,nan'fang'de'da'guo
南方各朝,nan'fang'ge'chao
南方九国,nan'fang'jiu'guo
南方内地的土豪,nan'fang'nei'di'de'tu'hao
南方虽,nan'fang'sui
南汉,nan'han
南军,nan'jun
南兰陵中都里,nan'lan'ling'zhong'du'li
南凉,nan'liang
南平,nan'ping
南平王,nan'ping'wang
南齐,nan'qi
南迁,nan'qian
南唐,nan'tang
南唐发兵灭楚,nan'tang'fa'bing'mie'chu
南唐亡,nan'tang'wang
南向争夺中原,nan'xiang'zheng'duo'zhong'yuan
南匈奴,nan'xiong'nu
南匈奴单于,nan'xiong'nu'chan'yu
南燕,nan'yan
南阳一带的,nan'yang'yi'dai'de
南逾淮河,nan'yu'huai'he
南诏政权,nan'zhao'zheng'quan
内部混乱,nei'bu'hun'luan
内部相对稳定,nei'bu'xiang'dui'wen'ding
内乱中的,nei'luan'zhong'de
内侄,nei'zhi
逆旅,ni'lv
年被,nian'bei
年称,nian'cheng
年结束,nian'jie'shu
年开始,nian'kai'shi
年起,nian'qi
年外,nian'wai
年一帝,nian'yi'di
年正月,nian'zheng'yue
农业活动,nong'ye'huo'dong
农业生产凋敝,nong'ye'sheng'chan'diao'bi
奴役压迫,nu'yi'ya'po
沤麻,ou'ma
派兵攻灭,pai'bing'gong'mie
派兵南下,pai'bing'nan'xia
派人视察民田,pai'ren'shi'cha'min'tian
叛逆被杀,pan'ni'bei'sha
彭城县,peng'cheng'xian
蓬关,peng'guan
贫寒出身,pin'han'chu'shen
嫔御,pin'yu
平城,ping'cheng
平定关陇,ping'ding'guan'long
平东将军,ping'dong'jiang'jun
平凉,ping'liang
平乱后,ping'luan'hou
颇不恭顺,po'bu'gong'shun
匍勒,pu'le
起兵夺取,qi'bing'duo'qu
起兵反汉,qi'bing'fan'han
起兵反晋,qi'bing'fan'jin
起兵攻入,qi'bing'gong'ru
其部众,qi'bu'zhong
其次子,qi'ci'zi
契丹,qi'dan
契丹八部,qi'dan'ba'bu
契丹军,qi'dan'jun
契丹灭后晋,qi'dan'mie'hou'jin
契丹骑兵,qi'dan'qi'bing
契丹侵扰,qi'dan'qin'rao
契丹主,qi'dan'zhu
棋登逸品,qi'deng'yi'pin
齐高帝,qi'gao'di
齐国,qi'guo
其汉化趋势加快,qi'han'hua'qu'shi'jia'kuai
乞活,qi'huo
其军众,qi'jun'zhong
其控制范围,qi'kong'zhi'fan'wei
其来源,qi'lai'yuan
起了关键性的作用,qi'le'guan'jian'xing'de'zuo'yong
妻略妃主,qi'lue'fei'zhu
骑射弓马,qi'she'gong'ma
起始之年,qi'shi'zhi'nian
其他民族,qi'ta'min'zu
其统治者,qi'tong'zhi'zhe
齐万年,qi'wan'nian
岐王,qi'wang
其余的时间,qi'yu'de'shi'jian
钱俶,qian'chu
乾德三年,qian'de'san'nian
迁都,qian'du
迁都汴州,qian'du'bian'zhou
迁都洛阳,qian'du'luo'yang
迁都于,qian'du'yu
前后蜀,qian'hou'shu
前后衔接,qian'hou'xian'jie
前后相承,qian'hou'xiang'cheng
乾化二年,qian'hua'er'nian
乾化三年,qian'hua'san'nian
前来抗击,qian'lai'kang'ji
千里没有人烟,qian'li'mei'you'ren'yan
千里内,qian'li'nei
前凉,qian'liang
遣刘暾,qian'liu'tun
前秦,qian'qin
钱氏统治,qian'shi'tong'zhi
前蜀,qian'shu
前蜀与后蜀,qian'shu'yu'hou'shu
前燕,qian'yan
乾佑,qian'you
乾佑三年冬,qian'you'san'nian'dong
乾佑十年,qian'you'shi'nian
前赵,qian'zhao
强大的吴,qiang'da'de'wu
强藩,qiang'fan
羌渠部後裔,qiang'qu'bu'hou'yi
羌渊源于,qiang'yuan'yuan'yu
羌族,qiang'zu
敲剥百姓,qiao'bo'bai'xing
愀然长啸,qiao'ran'chang'xiao
切割成东,qie'ge'cheng'dong
秦成阶凤四州,qin'cheng'jie'feng'si'zhou
秦凤成阶四州,qin'feng'cheng'jie'si'zhou
秦汉时期,qin'han'shi'qi
亲率军往援,qin'lv'jun'wang'yuan
秦天王,qin'tian'wang
秦彦,qin'yan
秦赵燕,qin'zhao'yan
亲征南唐,qin'zheng'nan'tang
秦宗权,qin'zong'quan
青年时期,qing'nian'shi'qi
清泰三年,qing'tai'san'nian
轻徭薄敛,qing'yao'bo'lian
求得赐予,qiu'de'ci'yu
囚执天子,qiu'zhi'tian'zi
区别于,qu'bie'yu
取代东魏,qu'dai'dong'wei
取代后周,qu'dai'hou'zhou
去年诛王弥之后,qu'nian'zhu'wang'mi'zhi'hou
权臣高欢,quan'chen'gao'huan
劝弥与其,quan'mi'yu'qi
劝民农桑,quan'min'nong'sang
全忠,quan'zhong
却已不能,que'yi'bu'neng
却引起了,que'yin'qi'le
群起反抗,qun'qi'fan'kang
燃烛侧光,ran'zhu'ce'guang
人口孤弱,ren'kou'gu'ruo
人民不能耕作,ren'min'bu'neng'geng'zuo
认契丹主,ren'qi'dan'zhu
人烟稀少,ren'yan'xi'shao
任用非人,ren'yong'fei'ren
仍都开封,reng'dou'kai'feng
仍都于成都,reng'dou'yu'cheng'du
仍用天福年号,reng'yong'tian'fu'nian'hao
日益骄侈,ri'yi'jiao'chi
日益增多,ri'yi'zeng'duo
融合于各个民族之中,rong'he'yu'ge'ge'min'zu'zhi'zhong
融合于汉族之中,rong'he'yu'han'zu'zhi'zhong
如蔡州,ru'cai'zhou
入关中,ru'guan'zhong
儒家教育,ru'jia'jiao'yu
如日之光,ru'ri'zhi'guang
入主中原,ru'zhu'zhong'yuan
闰十一月,run'shi'yi'yue
弱冠穷六经,ruo'guan'qiong'liu'jing
三秦,san'qin
三十八岁,san'shi'ba'sui
三十年间,san'shi'nian'jian
三十五州,san'shi'wu'zhou
三十余,san'shi'yu
三万馀,san'wan'yu
三万余户,san'wan'yu'hu
三长制,san'zhang'zhi
桑维翰,sang'wei'han
桑梓本邦,sang'zi'ben'bang
扫平,sao'ping
杀董璋,sha'dong'zhang
杀害王侯,sha'hai'wang'hou
杀晋,sha'jin
杀僧辩,sha'seng'bian
杀司马腾,sha'si'ma'teng
沙陀部酋长,sha'tuo'bu'qiu'zhang
沙陀人,sha'tuo'ren
沙陀族人,sha'tuo'zu'ren
杀王弥,sha'wang'mi
杀杨邠,sha'yang'bin
山东广大地区,shan'dong'guang'da'de'qu
山东河北,shan'dong'he'bei
山东淄博东北,shan'dong'zi'bo'dong'bei
善骑射,shan'qi'she
擅杀大将,shan'sha'da'jiang
山泽,shan'ze
上党,shang'dang
上党武乡,shang'dang'wu'xiang
尚书令,shang'shu'ling
商议对策,shang'yi'dui'ce
少帝,shao'di
少时习周孔,shao'shi'xi'zhou'kong
社会经济的发展,she'hui'jing'ji'de'fa'zhan
奢纵无度,she'zong'wu'du
深入中原内地,shen'ru'zhong'yuan'nei'di
什翼犍,shen'yi'jian
升汴州,sheng'bian'zhou
盛乐,sheng'le
生年不详,sheng'nian'bu'xiang
盛时疆域,sheng'shi'jiang'yu
盛唐,sheng'tang
盛唐时,sheng'tang'shi
升为,sheng'wei
声言,sheng'yan
升元七年,sheng'yuan'qi'nian
生卒,sheng'zu
十八骑,shi'ba'qi
失败后,shi'bai'hou
史称,shi'cheng
史称北汉,shi'cheng'bei'han
史称北齐,shi'cheng'bei'qi
史称北魏,shi'cheng'bei'wei
史称北周,shi'cheng'bei'zhou
史称出帝,shi'cheng'chu'di
史称后汉,shi'cheng'hou'han
史称后晋,shi'cheng'hou'jin
史称后梁,shi'cheng'hou'liang
史称后蜀,shi'cheng'hou'shu
史称后唐,shi'cheng'hou'tang
史称后周,shi'cheng'hou'zhou
史称南汉,shi'cheng'nan'han
史称南唐,shi'cheng'nan'tang
史称前蜀,shi'cheng'qian'shu
世代交结中原朝廷,shi'dai'jiao'jie'zhong'yuan'chao'ting
时的,shi'de
是对,shi'dui
十二州,shi'er'zhou
适逢弥将,shi'feng'mi'jiang
十个政权,shi'ge'zheng'quan
十国,shi'guo
石国,shi'guo
十国中,shi'guo'zhong
是汉族人,shi'han'zu'ren
史弘肇,shi'hong'zhao
是后晋,shi'hou'jin
石虎,shi'hu
实即,shi'ji
实际创建者,shi'ji'chuang'jian'zhe
实际经验教训,shi'ji'jing'yan'jiao'xun
世纪前期,shi'ji'qian'qi
实际上他,shi'ji'shang'ta
实际统治者,shi'ji'tong'zhi'zhe
世纪下半期开始,shi'ji'xia'ban'qi'kai'shi
时间最久,shi'jian'zui'jiu
示将军不应留也,shi'jiang'jun'bu'ying'liu'ye
石敬瑭,shi'jing'tang
石敬瑭死,shi'jing'tang'si
石勒,shi'le
石勒兵力,shi'le'bing'li
石勒从其计,shi'le'cong'qi'ji
石勒父祖,shi'le'fu'zu
石勒攻取,shi'le'gong'qu
石勒活捉,shi'le'huo'zhuo
石勒经过,shi'le'jing'guo
石勒就,shi'le'jiu
石勒军,shi'le'jun
石勒军构筑垒壁,shi'le'jun'gou'zhu'lei'bi
石勒看出,shi'le'kan'chu
石勒请,shi'le'qing
石勒仍,shi'le'reng
石勒率部,shi'le'shuai'bu
石勒说,shi'le'shuo
石勒遂从,shi'le'sui'cong
石勒听后,shi'le'ting'hou
石勒未许,shi'le'wei'xu
石勒原有,shi'le'yuan'you
石勒在,shi'le'zai
石勒载记,shi'le'zai'ji
石勒增援,shi'le'zeng'yuan
势力强盛,shi'li'qiang'sheng
势力日强,shi'li'ri'qiang
势力转强,shi'li'zhuan'qiang
十六国,shi'liu'guo
十六国后期,shi'liu'guo'hou'qi
十六国时期,shi'liu'guo'shi'qi
时溥,shi'pu
食其仓米,shi'qi'cang'mi
是其中,shi'qi'zhong
失去了,shi'qu'le
视人命如草芥,shi'ren'ming'ru'cao'jie
石氏,shi'shi
事实上还有,shi'shi'shang'hai'you
十四帝,shi'si'di
是宋朝,shi'song'chao
是为西魏,shi'wei'xi'wei
是为庄宗,shi'wei'zhuang'zong
谥文帝,shi'wen'di
谥武皇帝,shi'wu'huang'di
使晞为公左,shi'xi'wei'gong'zuo
实行残暴统治,shi'xing'can'bao'tong'zhi
史学家,shi'xue'jia
是勇将之计也,shi'yong'jiang'zhi'ji'ye
十馀万人,shi'yu'wan'ren
侍中,shi'zhong
石重贵,shi'zhong'gui
是中国历史上,shi'zhong'guo'li'shi'shang
始终建在建康,shi'zhong'jian'zai'jian'kang
世宗,shi'zong
世宗皇帝,shi'zong'huang'di
氏族部落联盟,shi'zu'bu'luo'lian'meng
寿春,shou'chun
受封为,shou'feng'wei
收复了,shou'fu'le
守境割据,shou'jing'ge'ju
收掠,shou'lue
受禅称帝,shou'shan'cheng'di
受唐封为,shou'tang'feng'wei
首尾凡,shou'wei'fan
数百里间,shu'bai'li'jian
数百骑,shu'bai'qi
蜀地富庶,shu'di'fu'shu
叔皇帝,shu'huang'di
枢密副使,shu'mi'fu'shi
书史黄老,shu'shi'huang'lao
蜀土,shu'tu
蜀王,shu'wang
属于匈奴,shu'yu'xiong'nu
率兵攻掠,shuai'bing'gong'lue
率部南下在中原,shuai'bu'nan'xia'zai'zhong'yuan
率军攻占,shuai'jun'gong'zhan
率领部众,shuai'ling'bu'zhong
率领牧人,shuai'ling'mu'ren
衰落与,shuai'luo'yu
水可载舟,shui'ke'zai'zhou
顺义七年,shun'yi'qi'nian
四个朝代,si'ge'chao'dai
四个政权,si'ge'zheng'quan
司马家,si'ma'jia
司马确,si'ma'que
司马睿,si'ma'rui
司马腾,si'ma'teng
司马炎,si'ma'yan
四塞山河,si'sai'shan'he
死尸遍地,si'shi'bian'di
四十九年,si'shi'jiu'nian
嗣位,si'wei
四燕,si'yan
肆意烧杀,si'yi'shao'sha
死于疫病,si'yu'yi'bing
死者大半,si'zhe'da'ban
宋兵,song'bing
宋后废帝,song'hou'fei'di
宋建隆二年,song'jian'long'er'nian
宋开宝四年,song'kai'bao'si'nian
宋灭亡,song'mie'wang
宋明帝,song'ming'di
宋齐梁陈,song'qi'liang'chen
宋前废帝,song'qian'fei'di
宋少帝,song'shao'di
宋太平兴国三年,song'tai'ping'xing'guo'san'nian
宋太祖,song'tai'zu
宋孝武帝,song'xiao'wu'di
宋与,song'yu
岁贡,sui'gong
虽然高贵,sui'ran'gao'gui
虽然先后有,sui'ran'xian'hou'you
隋唐以后,sui'tang'yi'hou
虽万机多务,sui'wan'ji'duo'wu
绥舆里人,sui'yu'li'ren
随着江南开发,sui'zhe'jiang'nan'kai'fa
随之入塞的,sui'zhi'ru'sai'de
所代替,suo'dai'ti
所过之处,suo'guo'zhi'chu
所建的政权,suo'jian'de'zheng'quan
所灭隋唐以后,suo'mie'sui'tang'yi'hou
所属诸州,suo'shu'zhu'zhou
他便,ta'bian
他和汲桑,ta'he'ji'sang
塔什干一带,ta'shi'gan'yi'dai
太湖流域,tai'hu'liu'yu
泰筠剑州,tai'jun'jian'zhou
太平兴国四年,tai'ping'xing'guo'si'nian
太延五年,tai'yan'wu'nian
太原留守,tai'yuan'liu'shou
泰子,tai'zi
太祖,tai'zu
唐哀帝,tang'ai'di
唐朝末年,tang'chao'mo'nian
唐朝宋州,tang'chao'song'zhou
唐代繁荣,tang'dai'fan'rong
唐末以后,tang'mo'yi'hou
唐末以来,tang'mo'yi'lai
唐僖宗,tang'xi'zong
唐昭宗,tang'zhao'zong
唐昭宗任,tang'zhao'zong'ren
唐中和四年,tang'zhong'he'si'nian
唐中叶,tang'zhong'ye
唐中叶后,tang'zhong'ye'hou
唐庄宗,tang'zhuang'zong
讨平,tao'ping
逃往,tao'wang
天成元年,tian'cheng'yuan'nian
天复二年,tian'fu'er'nian
天复三年,tian'fu'san'nian
天福十二年,tian'fu'shi'er'nian
天福元年,tian'fu'yuan'nian
天会元年,tian'hui'yuan'nian
天降霖雨方数百里中,tian'jiang'lin'yu'fang'shu'bai'li'zhong
天山南路,tian'shan'nan'lu
天下不足定,tian'xia'bu'zu'ding
天雄军,tian'xiong'jun
天佑四年,tian'you'si'nian
天祚三年,tian'zuo'san'nian
听从,ting'cong
汀漳建泉州,ting'zhang'jian'quan'zhou
统兵南下,tong'bing'nan'xia
同光二年,tong'guang'er'nian
同光三年,tong'guang'san'nian
同会青州,tong'hui'qing'zhou
铜雀台,tong'que'tai
同时假装,tong'shi'jia'zhuang
统一北方,tong'yi'bei'fang
统一了,tong'yi'le
统治北方,tong'zhi'bei'fang
统治出现了危机,tong'zhi'chu'xian'le'wei'ji
统治的王朝,tong'zhi'de'wang'chao
统治后期,tong'zhi'hou'qi
统治年代,tong'zhi'nian'dai
统治者,tong'zhi'zhe
投奔,tou'ben
土地和人民,tu'di'he'ren'min
秃发部,tu'fa'bu
吐蕃,tu'fan
土瘠民贫,tu'ji'min'pin
图谋败露,tu'mou'bai'lu
土著寒人,tu'zhu'han'ren
退兵后,tui'bing'hou
推行了一系列,tui'xing'liao'yi'xi'lie
吞并浙东,tun'bing'zhe'dong
屯田,tun'tian
屯于葛陂,tun'yu'ge'bei
拓跋部,tuo'ba'bu
拓拔部,tuo'ba'bu
拓跋圭,tuo'ba'gui
拓跋珪,tuo'ba'gui
拓跋宏,tuo'ba'hong
拓跋诘芬,tuo'ba'jie'fen
拓跋力微,tuo'ba'li'wei
拓跋氏,tuo'ba'shi
拓跋焘,tuo'ba'tao
拓跋魏,tuo'ba'wei
拓跋鲜卑,tuo'ba'xian'bei
托克托,tuo'ke'tuo
瓦砾堆,wa'li'dui
玩好珍异之物,wan'hao'zhen'yi'zhi'wu
万户,wan'hu
完全左右政局,wan'quan'zuo'you'zheng'ju
王潮,wang'chao
王公迟回未发者,wang'gong'chi'hui'wei'fa'zhe
亡国时,wang'guo'shi
王建,wang'jian
王敬武,wang'jing'wu
王康,wang'kang
王弥部,wang'mi'bu
王弥军,wang'mi'jun
王弥军与晋镇守,wang'mi'jun'yu'jin'zhen'shou
王弥谋士,wang'mi'mou'shi
王弥请求,wang'mi'qing'qiu
王弥人杰,wang'mi'ren'jie
王弥遂,wang'mi'sui
王弥位重言卑,wang'mi'wei'chong'yan'bei
亡命,wang'ming
王镕,wang'rong
王如,wang'ru
王僧辩,wang'seng'bian
王审知,wang'shen'zhi
往往被视为,wang'wang'bei'shi'wei
往往受,wang'wang'shou
王衍,wang'yan
王章,wang'zhang
魏博,wei'bo
为代价,wei'dai'jia
为当,wei'dang
为帝,wei'di
为都,wei'dou
为防,wei'fang
为父,wei'fu
为皇帝所倚重,wei'huang'di'suo'yi'zhong
未遑奇兵掎击也,wei'huang'qi'bing'ji'ji'ye
未集,wei'ji
为节度使,wei'jie'du'shi
为据点,wei'ju'dian
谓勒深心推奉,wei'le'shen'xin'tui'feng
为期五年,wei'qi'wu'nian
为前锋,wei'qian'feng
为首都,wei'shou'dou
为宋所灭,wei'song'suo'mie
卫尉,wei'wei
魏孝武帝,wei'xiao'wu'di
威震江南,wei'zhen'jiang'nan
为中心的,wei'zhong'xin'de
魏州,wei'zhou
魏州骄兵,wei'zhou'jiao'bing
文帝,wen'di
文帝刘义隆,wen'di'liu'yi'long
文皇帝,wen'huang'di
问计于,wen'ji'yu
文王,wen'wang
文宣帝,wen'xuan'di
文宣帝高洋,wen'xuan'di'gao'yang
文学创作,wen'xue'chuang'zuo
文仲,wen'zhong
五百里内,wu'bai'li'nei
武成帝高湛,wu'cheng'di'gao'zhan
武成元年,wu'cheng'yuan'nian
武川西,wu'chuan'xi
五代,wu'dai
五代十国,wu'dai'shi'guo
五代时期,wu'dai'shi'qi
五代之一,wu'dai'zhi'yi
武帝,wu'di
武都,wu'du
无复疑也,wu'fu'yi'ye
五个朝代,wu'ge'chao'dai
无辜群众,wu'gu'qun'zhong
吴和南唐,wu'he'nan'tang
五胡,wu'hu
五胡十六国,wu'hu'shi'liu'guo
武皇帝,wu'huang'di
吴军,wu'jun
五凉,wu'liang
五十四年,wu'shi'si'nian
吴王,wu'wang
戊午日,wu'wu'ri
吴与南唐,wu'yu'nan'tang
吴越,wu'yue
吴越地区,wu'yue'di'qu
吴越亡,wu'yue'wang
吴越王,wu'yue'wang
西北中亚,xi'bei'zhong'ya
西川,xi'chuan
西川节度使,xi'chuan'jie'du'shi
西都,xi'du
奚和契丹,xi'he'qi'dan
西及,xi'ji
西接平阳,xi'jie'ping'yang
西晋,xi'jin
西晋羯族,xi'jin'jie'zu
西晋末,xi'jin'mo
西晋末年,xi'jin'mo'nian
西晋时,xi'jin'shi
西晋太康十年,xi'jin'tai'kang'shi'nian
西晋王朝,xi'jin'wang'chao
西晋永嘉四年,xi'jin'yong'jia'si'nian
徙居武川,xi'ju'wu'chuan
西拉木伦河,xi'la'mu'lun'he
西凉,xi'liang
西梁,xi'liang
西两块,xi'liang'kuai
西迁,xi'qian
西迁于,xi'qian'yu
西羌汉晋,xi'qiang'han'jin
西秦,xi'qin
系囚,xi'qiu
西戎,xi'rong
西蜀,xi'shu
西魏,xi'wei
西魏禅周,xi'wei'chan'zhou
西魏恭帝,xi'wei'gong'di
西魏权臣,xi'wei'quan'chen
西魏王朝,xi'wei'wang'chao
西魏先后,xi'wei'xian'hou
系因,xi'yin
徙运金陵,xi'yun'jin'ling
西藏一带,xi'zang'yi'dai
西至河西,xi'zhi'he'xi
西州回鹘,xi'zhou'hui'hu
夏绥等地,xia'sui'deng'di
鲜卑,xian'bei
鲜卑各部族,xian'bei'ge'bu'zu
鲜卑化汉人,xian'bei'hua'han'ren
鲜卑拓跋氏,xian'bei'tuo'ba'shi
鲜卑源于,xian'bei'yuan'yu
鲜卑族,xian'bei'zu
显德二年,xian'de'er'nian
显德元年,xian'de'yuan'nian
先后出现了,xian'hou'chu'xian'le
先后据,xian'hou'ju
献江北,xian'jiang'bei
先秦时期,xian'qin'shi'qi
先秦时期的西戎,xian'qin'shi'qi'de'xi'rong
陷入混乱状态,xian'ru'hun'luan'zhuang'tai
陷于分裂状态的,xian'yu'fen'lie'zhuang'tai'de
鲜于修礼,xian'yu'xiu'li
相对安定,xiang'dui'an'ding
襄国,xiang'guo
相互兼并,xiang'hu'jian'bing
相继出现了,xiang'ji'chu'xian'le
相继即位,xiang'ji'ji'wei
相继建立了,xiang'ji'jian'li'le
相继来攻,xiang'ji'lai'gong
降将,xiang'jiang
相马,xiang'ma
向契丹称臣,xiang'qi'dan'cheng'chen
相州,xiang'zhou
相州民,xiang'zhou'min
萧察,xiao'cha
萧道成,xiao'dao'cheng
萧道成灭宋,xiao'dao'cheng'mie'song
萧方智,xiao'fang'zhi
萧何,xiao'he
小康之世,xiao'kang'zhi'shi
萧梁,xiao'liang
消灭西晋,xiao'mie'xi'jin
消灭异己,xiao'mie'yi'ji
孝闵帝,xiao'min'di
孝明帝,xiao'ming'di
小名寄奴,xiao'ming'ji'nu
小帅,xiao'shuai
萧顺之,xiao'shun'zhi
孝文帝,xiao'wen'di
孝文帝实行,xiao'wen'di'shi'xing
孝武帝,xiao'wu'di
萧衍,xiao'yan
孝昭帝高演,xiao'zhao'di'gao'yan
小字黑獭,xiao'zi'hei'ta
写信给,xie'xin'gei
协助下,xie'zhu'xia
新蔡,xin'cai
新蔡庄王,xin'cai'zhuang'wang
信奉祆教,xin'feng'xian'jiao
新兴,xin'xing
兴兵反抗,xing'bing'fan'kang
性谨厚,xing'jin'hou
行密子,xing'mi'zi
邢洺,xing'ming
形势危急,xing'shi'wei'ji
邢台隆尧,xing'tai'long'yao
邢州尧山,xing'zhou'yao'shan
兄弟间,xiong'di'jian
兄弟据,xiong'di'ju
兄弟在,xiong'di'zai
雄踞,xiong'ju
匈奴北部都尉,xiong'nu'bei'bu'du'wei
匈奴分裂,xiong'nu'fen'lie
匈奴汉国,xiong'nu'han'guo
匈奴势力,xiong'nu'shi'li
匈奴首领,xiong'nu'shou'ling
匈奴左贤王,xiong'nu'zuo'xian'wang
休兵息民,xiu'bing'xi'min
修筑长城,xiu'zhu'chang'cheng
许蔡,xu'cai
许多割据势力,xu'duo'ge'ju'shi'li
徐邈,xu'miao
徐邈既去,xu'miao'ji'qu
徐泗,xu'si
徐泗濠三州,xu'si'hao'san'zhou
徐知诰,xu'zhi'gao
宣歙,xuan'she
宣武节度使,xuan'wu'jie'du'shi
旋又,xuan'you
学术研究,xue'shu'yan'jiu
训练兵甲,xun'lian'bing'jia
燕国,yan'guo
兖州刺史,yan'zhou'ci'shi
杨坚,yang'jian
杨茂搜,yang'mao'sou
杨溥,yang'pu
扬威将军,yang'wei'jiang'jun
扬威将军纪瞻,yang'wei'jiang'jun'ji'zhan
杨行密,yang'xing'mi
姚苌,yao'chang
要他攻打,yao'ta'gong'da
也不免,ye'bu'mian
邺城,ye'cheng
也成为,ye'cheng'wei
夜登其城,ye'deng'qi'cheng
邺都留守,ye'dou'liu'shou
耶律阿保机,ye'lv'a'bao'ji
耶律德光,ye'lv'de'guang
也迁徙到,ye'qian'xi'dao
也认识到,ye'ren'shi'dao
邺有三台,ye'you'san'tai
也占据,ye'zhan'ju
以安抚其心,yi'an'fu'qi'xin
一百多年,yi'bai'duo'nian
宜北徙据之,yi'bei'xi'ju'zhi
以避水,yi'bi'shui
已不复见于记载,yi'bu'fu'jian'yu'ji'zai
异常繁重,yi'chang'fan'zhong
一称,yi'cheng
一大对手,yi'da'dui'shou
一度想,yi'du'xiang
一段时期,yi'duan'shi'qi
一方势力,yi'fang'shi'li
以防御,yi'fang'yu
一个多月内,yi'ge'duo'yue'nei
一个极为落后,yi'ge'ji'wei'luo'hou
