矮子步,ai'zi'bu
手玉子演奏技巧,shou'yu'zi'yan'zou'ji'qiao
书记搬家,shu'ji'ban'jia
书记盖房,shu'ji'gai'fang
书记嫁女,shu'ji'jia'nv
舒兰县地方戏队,shu'lan'xian'di'fang'xi'dui
书帽,shu'mao
书囊计,shu'nang'ji
叔嫂情,shu'sao'qing
鼠眼睛,shu'yan'jing
耍滑腔,shua'hua'qiang
摔斗,shuai'dou
摔盆,shuai'pen
甩腔,shuai'qiang
摔三弦,shuai'san'xian
甩腕,shuai'wan
摔鱼缸,shuai'yu'gang
甩子,shuai'zi
摔子劝夫,shuai'zi'quan'fu
拴娃娃,shuan'wa'wa
双拜年,shuang'bai'nian
双背凳,shuang'bei'deng
双比武,shuang'bi'wu
双插花,shuang'cha'hua
双拆庙,shuang'chai'miao
双城市志,shuang'cheng'shi'zhi
双城县民间艺术团,shuang'cheng'xian'min'jian'yi'shu'tuan
双城县文艺汇演,shuang'cheng'xian'wen'yi'hui'yan
双戴花,shuang'dai'hua
双调,shuang'diao
双顶灯,shuang'ding'deng
双顶扭,shuang'ding'niu
双拐,shuang'guai
双官诰,shuang'guan'gao
双过顶,shuang'guo'ding
双回头,shuang'hui'tou
双交换,shuang'jiao'huan
双进城,shuang'jin'cheng
双看戏,shuang'kan'xi
双叩门,shuang'kou'men
双挎耳,shuang'kua'er
双立志,shuang'li'zhi
双卖画,shuang'mai'hua
双怕妻,shuang'pa'qi
双抛板,shuang'pao'ban
双配合,shuang'pei'he
双赔鸡,shuang'pei'ji
双人登高板,shuang'ren'deng'gao'ban
双人高低板,shuang'ren'gao'di'ban
双人交叉板,shuang'ren'jiao'cha'ban
双人交换板,shuang'ren'jiao'huan'ban
双人前后板,shuang'ren'qian'hou'ban
双人望远板,shuang'ren'wang'yuan'ban
双人戏,shuang'ren'xi
双人转身板,shuang'ren'zhuan'shen'ban
双十比,shuang'shi'bi
双手交递板,shuang'shou'jiao'di'ban
双送礼,shuang'song'li
双锁山,shuang'suo'shan
双秃闹房,shuang'tu'nao'fang
双玩艺儿,shuang'wan'yi'er
双下山,shuang'xia'shan
双贤图,shuang'xian'tu
水浒曲子,shui'hu'qu'zi
水牢记,shui'lao'ji
水漫蓝桥,shui'man'lan'qiao
水淹金山,shui'yan'jin'shan
顺摆柳,shun'bai'liu
顺拉扇,shun'la'shan
顺抛玉子,shun'pao'yu'zi
说口,shuo'kou
四大劝,si'da'quan
四季花鸟虫子名,si'ji'hua'niao'chong'zi'ming
四梁八柱,si'liang'ba'zhu
四梁四柱的唱,si'liang'si'zhu'de'chang
四楼四游,si'lou'si'you
四路,si'lu
四品官,si'pin'guan
四品卿,si'pin'qing
四平市民间艺术团,si'ping'shi'min'jian'yi'shu'tuan
丝绒记,si'rong'ji
思五更,si'wu'geng
四喜,si'xi
宋长贵,song'chang'gui
宋朝忠臣,song'chao'zhong'chen
宋恩珍,song'en'zhen
送二目,song'er'mu
送饭,song'fan
宋富,song'fu
送孩子,song'hai'zi
送鸡还鸡,song'ji'hai'ji
宋江发配,song'jiang'fa'pei
送金秋,song'jin'qiu
送郎参军,song'lang'can'jun
宋连贵,song'lian'gui
松辽艺话,song'liao'yi'hua
送女归校,song'nv'gui'xiao
送情郎,song'qing'lang
宋铁君,song'tie'jun
宋万山,song'wan'shan
送鞋,song'xie
送子劝夫,song'zi'quan'fu
苏代赔妹,su'dai'pei'mei
素秦背剑,su'qin'bei'jian
诉情肠,su'qing'chang
苏廷元搬家,su'ting'yuan'ban'jia
苏文芳,su'wen'fang
苏武牧羊,su'wu'mu'yang
苏彦云,su'yan'yun
诉冤枉,su'yuan'wang
算白扔,suan'bai'reng
酸甜泪,suan'tian'lei
碎步,sui'bu
随成雁,sui'cheng'yan
隋国钧,sui'guo'jun
隋书今,sui'shu'jin
岁月礼赞,sui'yue'li'zan
碎嘴子,sui'zui'zi
孙宝琛,sun'bao'chen
孙膑思家,sun'bin'si'jia
孙朝成,sun'chao'cheng
孙二娘开店,sun'er'niang'kai'dian
孙凤仪,sun'feng'yi
孙继昂,sun'ji'ang
孙纪皋卖水,sun'ji'gao'mai'shui
孙荣欣,sun'rong'xin
孙士学,sun'shi'xue
孙天彪,sun'tian'biao
孙天喜,sun'tian'xi
孙铁石,sun'tie'shi
孙维中,sun'wei'zhong
孙武子演兵,sun'wu'zi'yan'bing
锁板,suo'ban
梭罗彦查关,suo'luo'yan'cha'guan
他不晓,ta'bu'xiao
她不晓,ta'bu'xiao
他几次在,ta'ji'ci'zai
她几次在,ta'ji'ci'zai
她天生丽质,ta'tian'sheng'li'zhi
太公钓鱼,tai'gong'diao'yu
太公卖面,tai'gong'mai'mian
太平鼓,tai'ping'gu
台缘,tai'yuan
太子藏舟,tai'zi'cang'zhou
贪财丧命,tan'cai'sang'ming
谭吉龙,tan'ji'long
探妹,tan'mei
探情郎,tan'qing'lang
叹青楼,tan'qing'lou
探清水河,tan'qing'shui'he
探书房,tan'shu'fang
谭香哭瓜,tan'xiang'ku'gua
谭香哭瓜调,tan'xiang'ku'gua'tiao
谭香女哭瓜,tan'xiang'nv'ku'gua
叹烟花,tan'yan'hua
探窑,tan'yao
唐朝忠臣,tang'chao'zhong'chen
唐二主探病,tang'er'zhu'tan'bing
淌哈喇子,tang'ha'la'zi
唐鉴君,tang'jian'jun
唐金蕊,tang'jin'rui
唐亚厚,tang'ya'hou
唐营送枕,tang'ying'song'zhen
洮安县民间艺术团,tao'an'xian'min'jian'yi'shu'tuan
掏板,tao'ban
掏灯花,tao'deng'hua
逃荒歌,tao'huang'ge
掏灰耙,tao'hui'ba
讨荆州,tao'jing'zhou
逃了跑,tao'le'pao
桃园结义,tao'yuan'jie'yi
套子口,tao'zi'kou
特木热,te'mu're
特殊订婚礼,te'shu'ding'hun'li
腾堃,teng'kun
疼死个人,teng'si'ge'ren
提袄领,ti'ao'ling
体格强,ti'ge'qiang
提肩,ti'jian
踢绢,ti'juan
天地拜,tian'di'bai
田福香,tian'fu'xiang
天阁楼,tian'ge'lou
天公报,tian'gong'bao
天河配,tian'he'pei
天门阵,tian'men'zhen
天平,tian'ping
天平会,tian'ping'hui
天齐庙,tian'qi'miao
天台山封神,tian'tai'shan'feng'shen
天缘配,tian'yuan'pei
田子复,tian'zi'fu
跳步,tiao'bu
跳出跳入,tiao'chu'tiao'ru
挑对象,tiao'dui'xiang
调精忠,tiao'jing'zhong
挑女婿,tiao'nv'xu
跳猪圈,tiao'zhu'juan
铁佛寺,tie'fo'si
铁弓缘,tie'gong'yuan
铁冠图,tie'guan'tu
铁岭市民间艺术团,tie'ling'shi'min'jian'yi'shu'tuan
铁岭县剧团,tie'ling'xian'ju'tuan
贴写,tie'xie
听其详,ting'qi'xiang
听琴,ting'qin
听衷肠,ting'zhong'chang
听周全,ting'zhou'quan
痛心肝,tong'xin'gan
头码,tou'ma
头脑匣子,tou'nao'xia'zi
头雁高飞,tou'yan'gao'fei
土埃尘,tu'ai'chen
徒儿叫,tu'er'jiao
吐狂言,tu'kuang'yan
土山被困,tu'shan'bei'kun
团圆记,tuan'yuan'ji
推扭抽,tui'niu'chou
推腕,tui'wan
托绢,tuo'juan
托腔,tuo'qiang
托手心,tuo'shou'xin
托腕,tuo'wan
外掰鸡,wai'bai'ji
外翻花,wai'fan'hua
外挎虎,wai'kua'hu
外抛扇,wai'pao'shan
外片花,wai'pian'hua
外绕花,wai'rao'hua
外上甩花,wai'shang'shuai'hua
外下甩花,wai'xia'shuai'hua
万两银,wan'liang'yin
玩艺儿,wan'yi'er
王宾奎,wang'bin'kui
王彻,wang'che
王彻曲艺选,wang'che'qu'yi'xuan
王崇堂,wang'chong'tang
王登云休妻,wang'deng'yun'xiu'qi
王定保借当,wang'ding'bao'jie'dang
王二姐思夫,wang'er'jie'si'fu
望儿楼,wang'er'lou
王二嫂出工,wang'er'sao'chu'gong
王二嫂的难处,wang'er'sao'de'nan'chu
王二嫂拥军,wang'er'sao'yong'jun
王冠友,wang'guan'you
王浩洁,wang'hao'jie
王华买父,wang'hua'mai'fu
王吉凤,wang'ji'feng
王姣鸾百年长恨,wang'jiao'luan'bai'nian'chang'hen
王克豪,wang'ke'hao
王肯,wang'ken
王奎元逃学,wang'kui'yuan'tao'xue
王奎珍,wang'kui'zhen
王笠,wang'li
王立民改编,wang'li'min'gai'bian
王美蓉观花,wang'mei'rong'guan'hua
王明富,wang'ming'fu
王婆骂鸡,wang'po'ma'ji
往上蹿,wang'shang'cuan
王尚仁,wang'shang'ren
王尚生,wang'shang'sheng
王少安赶船,wang'shao'an'gan'chuan
王天保讨饭,wang'tian'bao'tao'fan
王铁昆,wang'tie'kun
王五丫,wang'wu'ya
王希安,wang'xi'an
王祥卧鱼,wang'xiang'wo'yu
王笑梅,wang'xiao'mei
王友惠,wang'you'hui
王员外休妻,wang'yuan'wai'xiu'qi
王悦恒,wang'yue'heng
王允治,wang'yun'zhi
王忠环,wang'zhong'huan
王忠瑜,wang'zhong'yu
王作龙,wang'zuo'long
魏家茶馆,wei'jia'cha'guan
伪君子,wei'jun'zi
为了难,wei'le'nan
为民物业,wei'min'wu'ye
为一段,wei'yi'duan
威震石门寨,wei'zhen'shi'men'zhai
问安宁,wen'an'ning
文嗨嗨,wen'hai'hai
文君夜奔,wen'jun'ye'ben
文明口,wen'ming'kou
文明落套,wen'ming'luo'tao
文武兵,wen'wu'bing
文武场,wen'wu'chang
文武臣,wen'wu'chen
温占林,wen'zhan'lin
问斩刑,wen'zhan'xing
我不容,wo'bu'rong
我何不,wo'he'bu
五百冬,wu'bai'dong
五层殿,wu'ceng'dian
武大郎上坟,wu'da'lang'shang'fen
无底洞,wu'di'dong
武殿阁,wu'dian'ge
无爹娘,wu'die'niang
五分钱,wu'fen'qian
五峰山,wu'feng'shan
五更十三咳,wu'geng'shi'san'ke
舞功,wu'gong
蜈蚣岭,wu'gong'ling
吴光第,wu'guang'di
武嗨嗨,wu'hai'hai
吴华彪,wu'hua'biao
吴华芹,wu'hua'qin
五花扇,wu'hua'shan
五花腕,wu'hua'wan
吴华喜,wu'hua'xi
吴华星,wu'hua'xing
五花玉子,wu'hua'yu'zi
无计奈,wu'ji'nai
吴家花园,wu'jia'hua'yuan
武家坡,wu'jia'po
乌江中,wu'jiang'zhong
乌金记,wu'jin'ji
五雷阵,wu'lei'zhen
吴丽芹,wu'li'qin
吴立侠,wu'li'xia
五两银,wu'liang'yin
五龙堂,wu'long'tang
乌龙院,wu'long'yuan
无名少姓人,wu'ming'shao'xing'ren
五品官,wu'pin'guan
无人走,wu'ren'zou
吴三桂借兵,wu'san'gui'jie'bing
武松打店,wu'song'da'dian
武松打虎,wu'song'da'hu
武松发配,wu'song'fa'pei
武松反狱,wu'song'fan'yu
武松杀嫂,wu'song'sha'sao
舞台会,wu'tai'hui
吴秀田,wu'xiu'tian
五阎佛,wu'yan'fo
无义男,wu'yi'nan
伍子胥过江,wu'zi'xu'guo'jiang
吴尊爵,wu'zun'jue
喜儿翻身,xi'er'fan'shen
喜丰收,xi'feng'shou
西丰县曲艺队,xi'feng'xian'qu'yi'dui
西口韵,xi'kou'yun
西楼会,xi'lou'hui
喜满庄稼院,xi'man'zhuang'jia'yuan
奚青汶,xi'qing'wen
洗屈情,xi'qu'qing
戏曲选集,xi'qu'xuan'ji
喜荣归,xi'rong'gui
喜嫂闹堂,xi'sao'nao'tang
喜上门来,xi'shang'men'lai
稀屎洞,xi'shi'dong
喜相逢,xi'xiang'feng
喜心中,xi'xin'zhong
喜中喜,xi'zhong'xi
夏春阁,xia'chun'ge
夏冬祥,xia'dong'xiang
下锅粮,xia'guo'liang
下河南,xia'he'nan
下口,xia'kou
下盘棋,xia'pan'qi
下抛绢,xia'pao'juan
下掏花,xia'tao'hua
下天宫,xia'tian'gong
下扬州,xia'yang'zhou
夏元朴,xia'yuan'pu
夏元荣,xia'yuan'rong
夏元双,xia'yuan'shuang
夏元文,xia'yuan'wen
夏元伍,xia'yuan'wu
夏元芝,xia'yuan'zhi
下装,xia'zhuang
瞎子观灯,xia'zi'guan'deng
现代精品,xian'dai'jing'pin
像刀剜,xiang'dao'wan
香港归来,xiang'gang'gui'lai
响哗楞,xiang'hua'leng
湘江红鲤,xiang'jiang'hong'li
响连声,xiang'lian'sheng
响铃公主,xiang'ling'gong'zhu
香罗带,xiang'luo'dai
香罗帕,xiang'luo'pa
相亲路上,xiang'qin'lu'shang
想情郎,xiang'qing'lang
相元臻,xiang'yuan'zhen
湘子出家,xiang'zi'chu'jia
小白龙造饭,xiao'bai'long'zao'fan
小拜年,xiao'bai'nian
小悲调,xiao'bei'tiao
小重楼,xiao'chong'lou
小锄地,xiao'chu'di
小大嫂截车,xiao'da'sao'jie'che
小吊孝,xiao'diao'xiao
小冻冰,xiao'dong'bing
小二姐做梦,xiao'er'jie'zuo'meng
小翻车,xiao'fan'che
小放牛,xiao'fang'niu
小分家,xiao'fen'jia
小封宫,xiao'feng'gong
小赶船,xiao'gan'chuan
小拱地,xiao'gong'di
小姑不贤,xiao'gu'bu'xian
小姑恶,xiao'gu'e
小姑贤,xiao'gu'xian
小寡妇改嫁,xiao'gua'fu'gai'jia
小寡妇上坟,xiao'gua'fu'shang'fen
小过门,xiao'guo'men
小节板,xiao'jie'ban
小借年,xiao'jie'nian
小靳庄热潮,xiao'jin'zhuang're'chao
小看牌,xiao'kan'pai
小看戏,xiao'kan'xi
小口莲花落,xiao'kou'lian'hua'lao
小挎鼓,xiao'kua'gu
小老板,xiao'lao'ban
小老妈开嗙,xiao'lao'ma'kai'beng
小俩口顶嘴,xiao'lia'kou'ding'zui
小两口串门,xiao'liang'kou'chuan'men
小两口顶嘴,xiao'liang'kou'ding'zui
小两口分家,xiao'liang'kou'fen'jia
小两口逛庙,xiao'liang'kou'guang'miao
小两口推碾子,xiao'liang'kou'tui'nian'zi
小锣,xiao'luo
小帽,xiao'mao
小尿炕,xiao'niao'kang
小奴我,xiao'nu'wo
小曲,xiao'qu
小三分家,xiao'san'fen'jia
小上坟,xiao'shang'fen
小上庙,xiao'shang'miao
小上寿,xiao'shang'shou
小烧香,xiao'shao'xiang
小神庙避雨,xiao'shen'miao'bi'yu
小沈阳,xiao'shen'yang
小四景,xiao'si'jing
小四套,xiao'si'tao
小送饭,xiao'song'fan
小天台,xiao'tian'tai
小王打鸟,xiao'wang'da'niao
小五花,xiao'wu'hua
小媳妇拣棉花,xiao'xi'fu'jian'mian'hua
小西唐,xiao'xi'tang
小下楼,xiao'xia'lou
小燕展翅,xiao'yan'zhan'chi
肖玉厚,xiao'yu'hou
小玉环,xiao'yu'huan
筱月兰雪恨,xiao'yue'lan'xue'hen
小住家,xiao'zhu'jia
孝子上坟,xiao'zi'shang'fen
小做饭,xiao'zuo'fan
写书,xie'shu
谢廷芳,xie'ting'fang
写完毕,xie'wan'bi
谢阎君,xie'yan'jun
挟玉子,xie'yu'zi
心暗想,xin'an'xiang
信不着赔礼,xin'bu'zhao'pei'li
新城新貌新发展,xin'cheng'xin'mao'xin'fa'zhan
心胆寒,xin'dan'han
心胆惊,xin'dan'jing
心发颤,xin'fa'chan
心好恼,xin'hao'nao
新婚礼,xin'hun'li
新家风,xin'jia'feng
新口,xin'kou
心里明,xin'li'ming
心落地,xin'luo'di
新民县地方戏剧团,xin'min'xian'di'fang'xi'ju'tuan
新农家乐,xin'nong'jia'le
新说口集,xin'shuo'kou'ji
心中暗暗,xin'zhong'an'an
辛庄茶社,xin'zhuang'cha'she
新作选萃,xin'zuo'xuan'cui
行此路,xing'ci'lu
邢继芳,xing'ji'fang
醒来吧呀醒来吧,xing'lai'ba'ya'xing'lai'ba
行腔,xing'qiang
兄妹情深,xiong'mei'qing'shen
胸前扭,xiong'qian'niu
胸前掏花,xiong'qian'tao'hua
绣八出戏,xiu'ba'chu'xi
绣八仙,xiu'ba'xian
绣灯笼,xiu'deng'long
绣地球,xiu'di'qiu
绣兜兜,xiu'dou'dou
绣耳包,xiu'er'bao
休发狂,xiu'fa'kuang
绣锅台,xiu'guo'tai
绣荷包,xiu'he'bao
绣花灯,xiu'hua'deng
绣花鞋,xiu'hua'xie
休回家,xiu'hui'jia
绣麒麟,xiu'qi'lin
绣取灯,xiu'qu'deng
秀特勒,xiu'te'le
绣特勒,xiu'te'le
羞又愧,xiu'you'kui
绣云肩,xiu'yun'jian
绣沾布,xiu'zhan'bu
许春惠,xu'chun'hui
徐凤泉,xu'feng'quan
徐怀杰,xu'huai'jie
徐凯权,xu'kai'quan
许士林拜塔,xu'shi'lin'bai'ta
徐时讯,xu'shi'xun
徐双山,xu'shuang'shan
徐台全,xu'tai'quan
徐维志,xu'wei'zhi
许仙借伞,xu'xian'jie'san
徐小楼,xu'xiao'lou
旋风案,xuan'feng'an
薛成荣,xue'cheng'rong
薛丁山打雁,xue'ding'shan'da'yan
薛洪洋,xue'hong'yang
薛礼打虎,xue'li'da'hu
薛礼诉功,xue'li'su'gong
薛礼征东,xue'li'zheng'dong
雪莲花开,xue'lian'hua'kai
学舌,xue'she
薛维,xue'wei
雪玉冰霜,xue'yu'bing'shuang
熏得慌,xun'de'huang
寻了短见,xun'le'duan'jian
巡线工,xun'xian'gong
浔阳楼,xun'yang'lou
牙床下,ya'chuang'xia
压码,ya'ma
哑女出嫁,ya'nv'chu'jia
压腕,ya'wan
压霞学艺,ya'xia'xue'yi
演唱形式,yan'chang'xing'shi
演出评比,yan'chu'ping'bi
雁词,yan'ci
烟花行,yan'hua'xing
眼难睁,yan'nan'zheng
眼气红,yan'qi'hong
眼前来到,yan'qian'lai'dao
眼前来在,yan'qian'lai'zai
砚青,yan'qing
燕青打擂,yan'qing'da'lei
燕青卖线,yan'qing'mai'xian
砚青诗选,yan'qing'shi'xuan
砚青小品选,yan'qing'xiao'pin'xuan
艳秋与铁牛,yan'qiu'yu'tie'niu
燕去凤飞,yan'qu'feng'fei
阎书萍,yan'shu'ping
阎王审鼠,yan'wang'shen'shu
阎永富,yan'yong'fu
闫裕民,yan'yu'min
仰巴跤,yang'ba'jiao
杨八姐拉马,yang'ba'jie'la'ma
杨八姐游春,yang'ba'jie'you'chun
杨八郎探母,yang'ba'lang'tan'mu
杨柏婷,yang'bai'ting
杨北星,yang'bei'xing
杨春园,yang'chun'yuan
杨大嫂找马,yang'da'sao'zhao'ma
杨二郎救母,yang'er'lang'jiu'mu
杨二舍化缘,yang'er'she'hua'yuan
养风波,yang'feng'bo
秧歌柳子,yang'ge'liu'zi
秧歌戏,yang'ge'xi
秧歌选,yang'ge'xuan
杨广变牛,yang'guang'bian'niu
杨家归西,yang'jia'gui'xi
杨金豹,yang'jin'bao
杨柳逢春,yang'liu'feng'chun
扬眉吐气,yang'mei'tu'qi
杨闹红要表,yang'nao'hong'yao'biao
扬排风,yang'pai'feng
杨排风,yang'pai'feng
杨排风招亲,yang'pai'feng'zhao'qin
杨七郎打擂,yang'qi'lang'da'lei
杨树瑞,yang'shu'rui
羊调,yang'tiao
杨铁钢,yang'tie'gang
杨万孝,yang'wan'xiao
杨维宇,yang'wei'yu
杨总办调兵,yang'zong'ban'diao'bing
杨宗保问路,yang'zong'bao'wen'lu
杨作学,yang'zuo'xue
腰包,yao'bao
姚大娘捉特务,yao'da'niang'zhuo'te'wu
咬脐郎打围,yao'qi'lang'da'wei
咬脐郎接母,yao'qi'lang'jie'mu
要听真,yao'ting'zhen
要听知,yao'ting'zhi
咬尾巴,yao'wei'ba
要贤良,yao'xian'liang
腰中系,yao'zhong'xi
叶绿花红,ye'lv'hua'hong
夜审周子琴,ye'shen'zhou'zi'qin
夜宿花亭,ye'su'hua'ting
夜宿张家庄,ye'su'zhang'jia'zhuang
夜走青石岭,ye'zou'qing'shi'ling
一辈古,yi'bei'gu
一本病例,yi'ben'bing'li
一代新人学雷锋,yi'dai'xin'ren'xue'lei'feng
一顶一,yi'ding'yi
一朵香花重又开,yi'duo'xiang'hua'chong'you'kai
一份报,yi'fen'bao
一副架,yi'fu'jia
衣服连,yi'fu'lian
艺诀,yi'jue
一筐海棠果,yi'kuang'hai'tang'guo
一老农,yi'lao'nong
一命坑,yi'ming'keng
一命亡,yi'ming'wang
一旁扔,yi'pang'reng
一盆君子兰,yi'pen'jun'zi'lan
一匹枣红马,yi'pi'zao'hong'ma
一品卿,yi'pin'qing
艺人翻身,yi'ren'fan'shen
一十八冬,yi'shi'ba'dong
译释貂蝉,yi'shi'diao'chan
一十六冬,yi'shi'liu'dong
以书作证,yi'shu'zuo'zheng
伊通县地方戏剧团,yi'tong'xian'di'fang'xi'ju'tuan
一丸药,yi'wan'yao
一位相公,yi'wei'xiang'gong
伊文琦,yi'wen'qi
艺谚,yi'yan
一样般,yi'yang'ban
一员将,yi'yuan'jiang
一栽楞,yi'zai'leng
忆真妃,yi'zhen'fei
一枕黄粱梦,yi'zhen'huang'liang'meng
忆征程,yi'zheng'cheng
一枝花捎书,yi'zhi'hua'shao'shu
一只鸡,yi'zhi'ji
尹殿友,yin'dian'you
阴功报,yin'gong'bao
阴魂阵,yin'hun'zhen
银酒壶,yin'jiu'hu
饮酒浆,yin'jiu'jiang
殷坤,yin'kun
饮刘伶,yin'liu'ling
尹守荣,yin'shou'rong
因特殊情况,yin'te'shu'qing'kuang
银秀英五更,yin'xiu'ying'wu'geng
银牙咬,yin'ya'yao
姻缘美梦,yin'yuan'mei'meng
姻缘巧配,yin'yuan'qiao'pei
鹦哥对诗,ying'ge'dui'shi
英雄悲,ying'xiong'bei
英雄会,ying'xiong'hui
用脚踢,yong'jiao'ti
用目看,yong'mu'kan
用目瞧,yong'mu'qiao
悠唱腔,you'chang'qiang
有仇冤,you'chou'yuan
有短长,you'duan'chang
有多悬,you'duo'xuan
有高堂,you'gao'tang
有家乡,you'jia'xiang
有较深造诣,you'jiao'shen'zao'yi
游旧院,you'jiu'yuan
有门庭,you'men'ting
有你名,you'ni'ming
有人言,you'ren'yan
有人云,you'ren'yun
尤三姐,you'san'jie
尤伟东,you'wei'dong
游武庙,you'wu'miao
游西湖,you'xi'hu
有银铜,you'yin'tong
有余零,you'yu'ling
油炸煤球,you'zha'mei'qiu
俞伯牙摔琴,yu'bo'ya'shuai'qin
玉华和春发,yu'hua'he'chun'fa
淤泥河救驾,yu'ni'he'jiu'jia
渔樵耕读,yu'qiao'geng'du
于瑞风,yu'rui'feng
于守和,yu'shou'he
榆树县民间艺术团,yu'shu'xian'min'jian'yi'shu'tuan
余太君辞朝,yu'tai'jun'ci'chao
玉堂春,yu'tang'chun
于挺仕,yu'ting'shi
于文玉,yu'wen'yu
与我报,yu'wo'bao
玉霞学艺,yu'xia'xue'yi
于宪涛,yu'xian'tao
于兴亚,yu'xing'ya
鱼鸭缘,yu'ya'yuan
雨夜挖壕,yu'ye'wa'hao
于振兰,yu'zhen'lan
俞志富,yu'zhi'fu
于智玲,yu'zhi'ling
院当心,yuan'dang'xin
袁淑珍,yuan'shu'zhen
鸳鸯嫁老雕,yuan'yang'jia'lao'diao
鸳鸯抗婚,yuan'yang'kang'hun
月昏黄,yue'hun'huang
岳母刺字,yue'mu'ci'zi
月上柳梢头,yue'shang'liu'shao'tou
月牙五更,yue'ya'wu'geng
月夜拣粮,yue'ye'jian'liang
运败,yun'bai
云里翻,yun'li'fan
云秀英劝夫,yun'xiu'ying'quan'fu
砸鸾驾,za'luan'jia
砸瓦盆,za'wa'pen
再表明,zai'biao'ming
再表那,zai'biao'na
在朝居官,zai'chao'ju'guan
在此中,zai'ci'zhong
再绝阵,zai'jue'zhen
在面旁,zai'mian'pang
栽栽楞楞,zai'zai'leng'leng
咱不表,zan'bu'biao
暂不表,zan'bu'biao
赞新站,zan'xin'zhan
脏口,zang'kou
遭荒旱,zao'huang'han
早回还,zao'hui'huan
早回转,zao'hui'zhuan
早清闲,zao'qing'xian
早团圆,zao'tuan'yuan
灶王诉功,zao'wang'su'gong
遭灾殃,zao'zai'yang
贼兵退,zei'bing'tui
贼夫人,zei'fu'ren
怎挡寒,zen'dang'han
扎花帐,zha'hua'zhang
铡美冤,zha'mei'yuan
铡叶阁老,zha'ye'ge'lao
摘豆角,zhai'dou'jiao
摘黄瓜,zhai'huang'gua
翟树德,zhai'shu'de
摘桃,zhai'tao
站埃尘,zhan'ai'chen
战北律,zhan'bei'lv
战长沙,zhan'chang'sha
展翅扭,zhan'chi'niu
斩窦娥,zhan'dou'e
斩夫剑,zhan'fu'jian
斩韩信,zhan'han'xin
站花墙,zhan'hua'qiang
战裙,zhan'qun
战寿州,zhan'shou'zhou
站相,zhan'xiang
张宝斌,zhang'bao'bin
张宝冬,zhang'bao'dong
长得强,zhang'de'qiang
张津友,zhang'jin'you
张郎休妻,zhang'lang'xiu'qi
张良辞朝,zhang'liang'ci'chao
丈母娘问罪,zhang'mu'niang'wen'zui
掌乾坤,zhang'qian'kun
张生游寺,zhang'sheng'you'si
张世威,zhang'shi'wei
张淑珈,zhang'shu'jia
张四姐临凡,zhang'si'jie'lin'fan
张宪彬,zhang'xian'bin
张彦赶船,zhang'yan'gan'chuan
张延河,zhang'yan'he
张玉春女士,zhang'yu'chun'nv'shi
赵翠卿,zhao'cui'qing
赵德范,zhao'de'fan
赵芳岭,zhao'fang'ling
赵镜鑫,zhao'jing'xin
赵境鑫,zhao'jing'xin
昭君出塞,zhao'jun'chu'sai
赵匡胤打枣,zhao'kuang'yin'da'zao
赵隆声,zhao'long'sheng
赵明勋,zhao'ming'xun
赵木续,zhao'mu'xu
赵守亚,zhao'shou'ya
赵素琪,zhao'su'qi
找小邹,zhao'xiao'zou
肇源报社编辑,zhao'yuan'bao'she'bian'ji
赵月正,zhao'yue'zheng
赵云程,zhao'yun'cheng
赵忠臣,zhao'zhong'chen
折西厢,zhe'xi'xiang
这种风气不该兴,zhe'zhong'feng'qi'bu'gai'xing
震朝纲,zhen'chao'gang
阵殿栋,zhen'dian'dong
阵继春,zhen'ji'chun
真假新娘,zhen'jia'xin'niang
贞节立牌坊,zhen'jie'li'pai'fang
阵淑新,zhen'shu'xin
珍珠衫,zhen'zhu'shan
整八年,zheng'ba'nian
整八载,zheng'ba'zai
正悲痛,zheng'bei'tong
正德访贤,zheng'de'fang'xian
睁二目,zheng'er'mu
整二年,zheng'er'nian
整二载,zheng'er'zai
郑广凯,zheng'guang'kai
郑广芹,zheng'guang'qin
郑桂芸,zheng'gui'yun
郑环,zheng'huan
整九年,zheng'jiu'nian
整九载,zheng'jiu'zai
整口,zheng'kou
整六载,zheng'liu'zai
蒸馒头,zheng'man'tou
郑孟楠,zheng'meng'nan
正抛扇,zheng'pao'shan
整七年,zheng'qi'nian
整七载,zheng'qi'zai
整十冬,zheng'shi'dong
整十载,zheng'shi'zai
整四年,zheng'si'nian
整四载,zheng'si'zai
正推磨,zheng'tui'mo
郑薇薇,zheng'wei'wei
郑文辉,zheng'wen'hui
郑文举,zheng'wen'ju
郑雯馨,zheng'wen'xin
整五载,zheng'wu'zai
郑绣宇,zheng'xiu'yu
郑彦芬,zheng'yan'fen
郑彦峰,zheng'yan'feng
郑彦洪,zheng'yan'hong
郑彦军,zheng'yan'jun
郑彦梅,zheng'yan'mei
郑彦清,zheng'yan'qing
郑彦清改编,zheng'yan'qing'gai'bian
郑彦清曲艺集,zheng'yan'qing'qu'yi'ji
郑彦清曲艺选,zheng'yan'qing'qu'yi'xuan
郑彦清戏剧论集,zheng'yan'qing'xi'ju'lun'ji
郑彦涛,zheng'yan'tao
郑艺娜,zheng'yi'na
整一载,zheng'yi'zai
郑原也,zheng'yuan'ye
止步观,zhi'bu'guan
止步看,zhi'bu'kan
指顶扇,zhi'ding'shan
只管用,zhi'guan'yong
直叫娘,zhi'jiao'niang
志同道合,zhi'tong'dao'he
止住步,zhi'zhu'bu
指转扇,zhi'zhuan'shan
中板,zhong'ban
