阿弓玛的传说,a'gong'ma'de'chuan'shuo
太湖的传说,tai'hu'de'chuan'shuo
太平天国起义的传说,tai'ping'tian'guo'qi'yi'de'chuan'shuo
泰山的传说,tai'shan'de'chuan'shuo
台湾的传说,tai'wan'de'chuan'shuo
太王碑的传说,tai'wang'bei'de'chuan'shuo
太阳的传说,tai'yang'de'chuan'shuo
太阳和月亮的传说,tai'yang'he'yue'liang'de'chuan'shuo
太阳和月亮的故事,tai'yang'he'yue'liang'de'gu'shi
太阳神的谷子,tai'yang'shen'de'gu'zi
太阳与月亮,tai'yang'yu'yue'liang
太阳月亮和星星的由来,tai'yang'yue'liang'he'xing'xing'de'you'lai
太原王的故事,tai'yuan'wang'de'gu'shi
坍东都,tan'dong'du
谭福旺的传说,tan'fu'wang'de'chuan'shuo
唐伯虎的传说,tang'bo'hu'de'chuan'shuo
汤池的来历,tang'chi'de'lai'li
唐东吉博的传说,tang'dong'ji'bo'de'chuan'shuo
汤岗子,tang'gang'zi
唐末黄巢起义的传说,tang'mo'huang'chao'qi'yi'de'chuan'shuo
汤显祖的传说,tang'xian'zu'de'chuan'shuo
桃花女,tao'hua'nv
逃军粮,tao'jun'liang
桃源洞,tao'yuan'dong
陶渊明授学,tao'yuan'ming'shou'xue
藤桥救妹,teng'qiao'jiu'mei
题扇桥和躲婆弄,ti'shan'qiao'he'duo'po'nong
天安门前的华表,tian'an'men'qian'de'hua'biao
天地的传说,tian'di'de'chuan'shuo
天封塔,tian'feng'ta
天津的传说,tian'jin'de'chuan'shuo
天目山洗眼池,tian'mu'shan'xi'yan'chi
天上怎么会有月蚀,tian'shang'zen'me'hui'you'yue'shi
田思群的传说,tian'si'qun'de'chuan'shuo
天体的传说,tian'ti'de'chuan'shuo
天鸦与石鼓,tian'ya'yu'shi'gu
天益堂的故事,tian'yi'tang'de'gu'shi
铁背鱼,tie'bei'yu
通沟河,tong'gou'he
铜鼓的传说,tong'gu'de'chuan'shuo
铜鼓的来历,tong'gu'de'lai'li
铜鼓的由来,tong'gu'de'you'lai
铜锣和石鼓,tong'luo'he'shi'gu
土家人的祖先,tu'jia'ren'de'zu'xian
土家神马,tu'jia'shen'ma
吐良的传说,tu'liang'de'chuan'shuo
妥玛丽斯,tuo'ma'li'si
挖地歌的由来,wa'di'ge'de'you'lai
娃娃鱼,wa'wa'yu
佤族长刀的传说,wa'zu'chang'dao'de'chuan'shuo
佤族泼水节的传说,wa'zu'po'shui'jie'de'chuan'shuo
佤族为什么没有文字,wa'zu'wei'shen'me'mei'you'wen'zi
歪头山的故事,wai'tou'shan'de'gu'shi
万家,wan'jia
万山图和四海图,wan'shan'tu'he'si'hai'tu
弯弯的卑南溪,wan'wan'de'bei'nan'xi
王宝钏的传说,wang'bao'chuan'de'chuan'shuo
望北楼,wang'bei'lou
王勃的传说,wang'bo'de'chuan'shuo
望儿山,wang'er'shan
望老岭,wang'lao'ling
望娘滩,wang'niang'tan
望山碑,wang'shan'bei
王羲之的传说,wang'xi'zhi'de'chuan'shuo
王昭君的传说,wang'zhao'jun'de'chuan'shuo
王子焚身寺,wang'zi'fen'shen'si
望子岩与再生洞,wang'zi'yan'yu'zai'sheng'dong
围腰花的来历,wei'yao'hua'de'lai'li
文笔峰,wen'bi'feng
卧龙潭,wo'long'tan
卧牛石和柳溪泉,wo'niu'shi'he'liu'xi'quan
吴朝堂的传说,wu'chao'tang'de'chuan'shuo
吴承恩的传说,wu'cheng'en'de'chuan'shuo
五大连池的传说,wu'da'lian'chi'de'chuan'shuo
吴道子的传说,wu'dao'zi'de'chuan'shuo
五佛顶,wu'fo'ding
五加皮酒的传说,wu'jia'pi'jiu'de'chuan'shuo
吴敬梓的传说,wu'jing'zi'de'chuan'shuo
乌兰巴托尔的故事,wu'lan'ba'tuo'er'de'gu'shi
舞神笊篱姑姑的传说,wu'shen'zhao'li'gu'gu'de'chuan'shuo
乌石滩的传说,wu'shi'tan'de'chuan'shuo
吴文彩的传说,wu'wen'cai'de'chuan'shuo
武夷山名的来历,wu'yi'shan'ming'de'lai'li
无义塔,wu'yi'ta
务银和务方,wu'yin'he'wu'fang
五屿洞,wu'yu'dong
武则天的传说,wu'ze'tian'de'chuan'shuo
五指山的传说,wu'zhi'shan'de'chuan'shuo
五指山与七指岭,wu'zhi'shan'yu'qi'zhi'ling
吸风洞,xi'feng'dong
西郎拜小姑小姑望东郎,xi'lang'bai'xiao'gu'xiao'gu'wang'dong'lang
细柳城,xi'liu'cheng
犀牛望月,xi'niu'wang'yue
西沙群岛和南沙群岛的传说,xi'sha'qun'dao'he'nan'sha'qun'dao'de'chuan'shuo
西施的传说,xi'shi'de'chuan'shuo
西天卧牛石,xi'tian'wo'niu'shi
细玉沟的传说,xi'yu'gou'de'chuan'shuo
仙凡对奕,xian'fan'dui'yi
仙奶泉,xian'nai'quan
仙女峰,xian'nv'feng
仙人台,xian'ren'tai
仙亭山,xian'ting'shan
先祖的脚印,xian'zu'de'jiao'yin
象鼻对紫洲,xiang'bi'dui'zi'zhou
湘妃竹,xiang'fei'zhu
象脚鼓的传说,xiang'jiao'gu'de'chuan'shuo
象角鼓的传说,xiang'jiao'gu'de'chuan'shuo
响水,xiang'shui
向王天子,xiang'wang'tian'zi
谢脁的传说,xie'tiao'de'chuan'shuo
斜贴茶壶的来历,xie'tie'cha'hu'de'lai'li
新米节的传说,xin'mi'jie'de'chuan'shuo
兴安岭的传说,xing'an'ling'de'chuan'shuo
姓余的由来,xing'yu'de'you'lai
兄弟星座,xiong'di'xing'zuo
秀姑和彭佳,xiu'gu'he'peng'jia
绣脸的传说,xiu'lian'de'chuan'shuo
秀水河,xiu'shui'he
徐文长的传说,xu'wen'chang'de'chuan'shuo
旋耐庵的传说,xuan'nai'an'de'chuan'shuo
轩辕黄帝织丝绸,xuan'yuan'huang'di'zhi'si'chou
学岩,xue'yan
雁荡山的传说,yan'dang'shan'de'chuan'shuo
岩嘎变石的传说,yan'ga'bian'shi'de'chuan'shuo
盐老奶的传说,yan'lao'nai'de'chuan'shuo
严陵山,yan'ling'shan
燕子和鹅卵石,yan'zi'he'e'luan'shi
阳宝山的传说,yang'bao'shan'de'chuan'shuo
杨柳河,yang'liu'he
杨升庵的传说,yang'sheng'an'de'chuan'shuo
阳朔的来历,yang'shuo'de'lai'li
杨太白君,yang'tai'bai'jun
养息牧门河的传说,yang'xi'mu'men'he'de'chuan'shuo
杨玉环与蛐蟮,yang'yu'huan'yu'qu'shan
腰箩为何挎在左边,yao'luo'wei'he'kua'zai'zuo'bian
药神庙,yao'shen'miao
尧舜禅让的传说,yao'shun'shan'rang'de'chuan'shuo
叶天士的传说,ye'tian'shi'de'chuan'shuo
夜月桥,ye'yue'qiao
一朵红玫瑰,yi'duo'hong'mei'gui
衣饭节的传说,yi'fan'jie'de'chuan'shuo
一个农民和四十八个秀才打官司,yi'ge'nong'min'he'si'shi'ba'ge'xiu'cai'da'guan'si
义和团运动的传说,yi'he'tuan'yun'dong'de'chuan'shuo
一颗萝卜大的谷子,yi'ke'luo'bo'da'de'gu'zi
一娘生的兄弟,yi'niang'sheng'de'xiong'di
一娘养九子,yi'niang'yang'jiu'zi
一望水,yi'wang'shui
隐山兴衰记,yin'shan'xing'shuai'ji
迎客僧,ying'ke'seng
鹦鹉山,ying'wu'shan
鹦鹉石,ying'wu'shi
英雄玛麦,ying'xiong'ma'mai
英雄沙晋的传说,ying'xiong'sha'jin'de'chuan'shuo
英雄支格阿龙的传说,ying'xiong'zhi'ge'a'long'de'chuan'shuo
勇敢的阿浑德,yong'gan'de'a'hun'de
用泥土造人和造万物的传说,yong'ni'tu'zao'ren'he'zao'wan'wu'de'chuan'shuo
余栋臣起义的传说,yu'dong'chen'qi'yi'de'chuan'shuo
玉佛寺,yu'fo'si
渔夫礁,yu'fu'jiao
虞姬的传说,yu'ji'de'chuan'shuo
遇林亭,yu'lin'ting
鱼死了为什么不瞑目,yu'si'le'wei'shen'me'bu'ming'mu
渔网的村寨,yu'wang'de'cun'zhai
鱼为什么没有腿,yu'wei'shen'me'mei'you'tui
玉柱峰,yu'zhu'feng
鸳鸯峰,yuan'yang'feng
月琴的来历,yue'qin'de'lai'li
月牙山和水月洞,yue'ya'shan'he'shui'yue'dong
云海的传说,yun'hai'de'chuan'shuo
云雀的传说,yun'que'de'chuan'shuo
云台山的传说,yun'tai'shan'de'chuan'shuo
赞哈的始祖,zan'ha'de'shi'zu
藏族歌舞的传说,zang'zu'ge'wu'de'chuan'shuo
凿大佛,zao'da'fo
枣子桥,zao'zi'qiao
扎努扎别,zha'nu'zha'bie
张公退水,zhang'gong'tui'shui
张小泉剪刀,zhang'xiao'quan'jian'dao
张玉娘的传说,zhang'yu'niang'de'chuan'shuo
张仲景的传说,zhang'zhong'jing'de'chuan'shuo
张子芳鸟,zhang'zi'fang'niao
招宝山,zhao'bao'shan
找歌的传说,zhao'ge'de'chuan'shuo
昭陵的由来,zhao'ling'de'you'lai
昭陵石马,zhao'ling'shi'ma
遮天树王,zhe'tian'shu'wang
镇江的传说,zhen'jiang'de'chuan'shuo
珍珠,zhen'zhu
郑板桥的传说,zheng'ban'qiao'de'chuan'shuo
郑和的传说,zheng'he'de'chuan'shuo
正月年的传说,zheng'yue'nian'de'chuan'shuo
制龙王,zhi'long'wang
指路碑,zhi'lu'bei
祝布路,zhu'bu'lu
竹的故事,zhu'de'gu'shi
诸葛亮的传说,zhu'ge'liang'de'chuan'shuo
竹拐杖上的嫩芽,zhu'guai'zhang'shang'de'nen'ya
朱砂红,zhu'sha'hong
朱熹和丽娘,zhu'xi'he'li'niang
祝英台和梁山伯与鸳鸯鸟,zhu'ying'tai'he'liang'shan'bo'yu'yuan'yang'niao
翥云峰,zhu'yun'feng
朱震享的传说,zhu'zhen'xiang'de'chuan'shuo
铸钟厂和钟楼的钟,zhu'zhong'chang'he'zhong'lou'de'zhong
追赶马鹿,zhui'gan'ma'lu
追龙头,zhui'long'tou
捉雷公引起的故事,zhuo'lei'gong'yin'qi'de'gu'shi
浊水溪,zhuo'shui'xi
子更易俗的传说,zi'geng'yi'su'de'chuan'shuo
姊妹萧的来历,zi'mei'xiao'de'lai'li
走寨后生为什么肩披白巾,zou'zhai'hou'sheng'wei'shen'me'jian'pi'bai'jin
作洛搓罗,zuo'luo'cuo'luo
