爱国治民,ai'guo'zhi'min
杀人之众,sha'ren'zhi'zhong
善抱者不脱,shan'bao'zhe'bu'tuo
善闭无关楗而不可开,shan'bi'wu'guan'jian'er'bu'ke'kai
善贷且成,shan'dai'qie'cheng
善复为妖,shan'fu'wei'yao
善建者不拔,shan'jian'zhe'bu'ba
善结无绳约而不可解,shan'jie'wu'sheng'yue'er'bu'ke'jie
善人之宝,shan'ren'zhi'bao
善人之资,shan'ren'zhi'zi
善数不用筹策,shan'shu'bu'yong'chou'ce
善行无辙迹,shan'xing'wu'zhe'ji
善言无瑕谪,shan'yan'wu'xia'zhe
善有果而已,shan'you'guo'er'yi
善者,shan'zhe
埏埴以为器,shan'zhi'yi'wei'qi
擅自作了添加,shan'zi'zuo'le'tian'jia
上德不德,shang'de'bu'de
上德若谷,shang'de'ruo'gu
上德无为而无以为,shang'de'wu'wei'er'wu'yi'wei
上将军居右,shang'jiang'jun'ju'you
上礼为之而莫之应,shang'li'wei'zhi'er'mo'zhi'ying
上仁为之而无以为,shang'ren'wei'zhi'er'wu'yi'wei
上善若水,shang'shan'ruo'shui
上士闻道,shang'shi'wen'dao
上下几千年文明,shang'xia'ji'qian'nian'wen'ming
上义为之而有以为,shang'yi'wei'zhi'er'you'yi'wei
少数汉字,shao'shu'han'zi
少思寡欲,shao'si'gua'yu
少则多,shao'ze'duo
舍后且先,she'hou'qie'xian
舍俭且广,she'jian'qie'guang
歙歙焉,she'she'yan
甚爱必大费,shen'ai'bi'da'fei
深不可识,shen'bu'ke'shi
神得一以灵,shen'de'yi'yi'ling
深邃博大,shen'sui'bo'da
神无以灵,shen'wu'yi'ling
身与货孰多,shen'yu'huo'shu'duo
慎终如始,shen'zhong'ru'shi
生,sheng
胜而不美,sheng'er'bu'mei
生而不有,sheng'er'bu'you
生而弗有,sheng'er'fu'you
圣经,sheng'jing
圣人不仁,sheng'ren'bu'ren
圣人常无心,sheng'ren'chang'wu'xin
圣人皆,sheng'ren'jie
圣人亦不伤人,sheng'ren'yi'bu'shang'ren
圣人用之,sheng'ren'yong'zhi
圣人在天下,sheng'ren'zai'tian'xia
胜人者有力,sheng'ren'zhe'you'li
绳绳兮不可名,sheng'sheng'xi'bu'ke'ming
生于毫末,sheng'yu'hao'mo
生之徒,sheng'zhi'tu
逝,shi
使,shi
势成之,shi'cheng'zhi
失德而后仁,shi'de'er'hou'ren
使夫智者不敢为也,shi'fu'zhi'zhe'bu'gan'wei'ye
是故不欲如玉,shi'gu'bu'yu'ru'yu
是乐杀人,shi'le'sha'ren
使民不为盗,shi'min'bu'wei'dao
使民不争,shi'min'bu'zheng
使民心不乱,shi'min'xin'bu'luan
实其腹,shi'qi'fu
失仁而后义,shi'ren'er'hou'yi
事善能,shi'shan'neng
是谓,shi'wei
是谓不道,shi'wei'bu'dao
是谓宠辱若惊,shi'wei'chong'ru'ruo'jing
是谓道纪,shi'wei'dao'ji
是为盗夸,shi'wei'dao'kua
是谓惚恍,shi'wei'hu'huang
是谓深根,shi'wei'shen'gen
是谓天地根,shi'wei'tian'di'gen
是谓微明,shi'wei'wei'ming
是谓无状之状,shi'wei'wu'zhuang'zhi'zhuang
是为袭常,shi'wei'xi'chang
是谓袭明,shi'wei'xi'ming
是谓玄德,shi'wei'xuan'de
是谓玄牝,shi'wei'xuan'pin
是谓要妙,shi'wei'yao'miao
是谓早服,shi'wei'zao'fu
使我介然有知,shi'wo'jie'ran'you'zhi
事无事,shi'wu'shi
失亦,shi'yi
是以不去,shi'yi'bu'qu
是以大丈夫处其厚,shi'yi'da'zhang'fu'chu'qi'hou
失义而后礼,shi'yi'er'hou'li
是以侯王自称孤,shi'yi'hou'wang'zi'cheng'gu
是以侯王自称孤寡,shi'yi'hou'wang'zi'cheng'gu'gua
是以君子终日行不离辎重,shi'yi'jun'zi'zhong'ri'xing'bu'li'zi'zhong
是以圣人,shi'yi'sheng'ren
是以圣人抱一为天下式,shi'yi'sheng'ren'bao'yi'wei'tian'xia'shi
是以圣人不行而知,shi'yi'sheng'ren'bu'xing'er'zhi
是以圣人常善救人,shi'yi'sheng'ren'chang'shan'jiu'ren
是以圣人处无为之事,shi'yi'sheng'ren'chu'wu'wei'zhi'shi
是以圣人方而不割,shi'yi'sheng'ren'fang'er'bu'ge
是以圣人后其身而身先,shi'yi'sheng'ren'hou'qi'shen'er'shen'xian
是以圣人去甚,shi'yi'sheng'ren'qu'shen
是以圣人为腹不为目,shi'yi'sheng'ren'wei'fu'bu'wei'mu
是以圣人无为,shi'yi'sheng'ren'wu'wei
是以圣人犹难之,shi'yi'sheng'ren'you'nan'zhi
是以圣人欲上民,shi'yi'sheng'ren'yu'shang'min
是以圣人之治,shi'yi'sheng'ren'zhi'zhi
是以圣人终不为大,shi'yi'sheng'ren'zhong'bu'wei'da
是以天下乐推而不厌,shi'yi'tian'xia'le'tui'er'bu'yan
是以万物莫不尊道而贵德,shi'yi'wan'wu'mo'bu'zun'dao'er'gui'de
是以无德,shi'yi'wu'de
是以有德,shi'yi'you'de
十有三,shi'you'san
始于足,shi'yu'zu
始于足下,shi'yu'zu'xia
逝曰远,shi'yue'yuan
失者,shi'zhe
视之不见,shi'zhi'bu'jian
视之不足见,shi'zhi'bu'zu'jian
失之若惊,shi'zhi'ruo'jing
师之所处,shi'zhi'suo'chu
始制有名,shi'zhi'you'ming
释铸成三位一体的华夏文明基本肌骨,shi'zhu'cheng'san'wei'yi'ti'de'hua'xia'wen'ming'ji'ben'ji'gu
守静笃,shou'jing'du
守其雌,shou'qi'ci
守其黑,shou'qi'hei
守其辱,shou'qi'ru
守柔曰强,shou'rou'yue'qiang
孰能安以动之徐生,shu'neng'an'yi'dong'zhi'xu'sheng
孰能浊以静之徐清,shu'neng'zhuo'yi'jing'zhi'xu'qing
孰为此者,shu'wei'ci'zhe
孰知其极,shu'zhi'qi'ji
水善利万物而不争,shui'shan'li'wan'wu'er'bu'zheng
斯不善已,si'bu'shan'yi
似不肖,si'bu'xiao
死地,si'di
斯恶已,si'e'yi
死而不亡者寿,si'er'bu'wang'zhe'shou
似或存,si'huo'cun
似万物之宗,si'wan'wu'zhi'zong
兕无所投其角,si'wu'suo'tou'qi'jiao
思想与精神,si'xiang'yu'jing'shen
死矣,si'yi
死之徒,si'zhi'tu
俗人察察,su'ren'cha'cha
俗人昭昭,su'ren'zhao'zhao
随,sui
虽小,sui'xiao
虽有拱璧以先驷马,sui'you'gong'bi'yi'xian'si'ma
虽有荣观,sui'you'rong'guan
随着中华民族的,sui'zhe'zhong'hua'min'zu'de
虽智大迷,sui'zhi'da'mi
损之又损,sun'zhi'you'sun
所附校定文,suo'fu'xiao'ding'wen
所推崇,suo'tui'chong
太上,tai'shang
天长地久,tian'chang'di'jiu
天大,tian'da
恬淡为上,tian'dan'wei'shang
天得一以清,tian'de'yi'yi'qing
天地,tian'di
天地不仁,tian'di'bu'ren
天地尚不能久,tian'di'shang'bu'neng'jiu
天地所以能长且久者,tian'di'suo'yi'neng'chang'qie'jiu'zhe
天地相合,tian'di'xiang'he
天地之间,tian'di'zhi'jian
天法道,tian'fa'dao
天将救之,tian'jiang'jiu'zhi
天门开阖,tian'men'kai'he
天乃道,tian'nai'dao
田甚芜,tian'shen'wu
天下大事,tian'xia'da'shi
天下多忌讳,tian'xia'duo'ji'hui
天下将,tian'xia'jiang
天下将自正,tian'xia'jiang'zi'zheng
天下皆谓我道大,tian'xia'jie'wei'wo'dao'da
天下皆知美之为美,tian'xia'jie'zhi'mei'zhi'wei'mei
天下莫能臣,tian'xia'mo'neng'chen
天下莫能与之争,tian'xia'mo'neng'yu'zhi'zheng
天下难事,tian'xia'nan'shi
天下神器,tian'xia'shen'qi
天下万物生于有,tian'xia'wan'wu'sheng'yu'you
天下往,tian'xia'wang
天下无道,tian'xia'wu'dao
天下希及之,tian'xia'xi'ji'zhi
天下有道,tian'xia'you'dao
天下有始,tian'xia'you'shi
天下之交也,tian'xia'zhi'jiao'ye
天下之牝,tian'xia'zhi'pin
天下之至柔,tian'xia'zhi'zhi'rou
天之道也,tian'zhi'dao'ye
听之不,ting'zhi'bu
听之不闻,ting'zhi'bu'wen
同出而异名,tong'chu'er'yi'ming
同其尘,tong'qi'chen
同谓之玄,tong'wei'zhi'xuan
同于道,tong'yu'dao
同于道者,tong'yu'dao'zhe
同于德,tong'yu'de
同于德者,tong'yu'de'zhe
同于失,tong'yu'shi
同于失者,tong'yu'shi'zhe
图难于其易,tu'nan'yu'qi'yi
洼则盈,wa'ze'ying
外其身而身存,wai'qi'shen'er'shen'cun
万物并作,wan'wu'bing'zuo
万物而不为主,wan'wu'er'bu'wei'zhu
万物负阴而抱阳,wan'wu'fu'yin'er'bao'yang
万物归焉而不为主,wan'wu'gui'yan'er'bu'wei'zhu
万物将自宾,wan'wu'jiang'zi'bin
万物将自化,wan'wu'jiang'zi'hua
万物恃之以生而不辞,wan'wu'shi'zhi'yi'sheng'er'bu'ci
万物无以生,wan'wu'wu'yi'sheng
万物作而弗始,wan'wu'zuo'er'fu'shi
王弼,wang'bi
往而不害,wang'er'bu'hai
枉则直,wang'ze'zhi
妄作凶,wang'zuo'xiong
畏,wei
为大于其细,wei'da'yu'qi'xi
为道日损,wei'dao'ri'sun
惟道是从,wei'dao'shi'cong
为而不恃,wei'er'bu'shi
为而弗恃,wei'er'fu'shi
唯孤,wei'gu
为和,wei'he
惟恍惟惚,wei'huang'wei'hu
微妙玄通,wei'miao'xuan'tong
唯施是畏,wei'shi'shi'wei
为数不多之处,wei'shu'bu'duo'zhi'chu
谓天无以清,wei'tian'wu'yi'qing
为天下谷,wei'tian'xia'gu
为天下浑其心,wei'tian'xia'hun'qi'xin
为天下式,wei'tian'xia'shi
为天下溪,wei'tian'xia'xi
为我们,wei'wo'men
为我们的,wei'wo'men'de
为我们闲时阅读过程中,wei'wo'men'xian'shi'yue'du'guo'cheng'zhong
为无为,wei'wu'wei
味无味,wei'wu'wei
为吾有身,wei'wu'you'shen
为学日益,wei'xue'ri'yi
为者败之,wei'zhe'bai'zhi
畏之,wei'zhi
谓之不道,wei'zhi'bu'dao
未知牝牡之合而作,wei'zhi'pin'mu'zhi'he'er'zuo
唯之与阿,wei'zhi'yu'a
为之于未有,wei'zhi'yu'wei'you
为之于未有治,wei'zhi'yu'wei'you'zhi
我独泊兮,wo'du'bo'xi
我独昏昏,wo'du'hun'hun
我独闷闷,wo'du'men'men
我独异于人,wo'du'yi'yu'ren
我好静,wo'hao'jing
我们参照了,wo'men'can'zhao'le
我们参照了帛书本及江南文化书院黄山,wo'men'can'zhao'le'bo'shu'ben'ji'jiang'nan'wen'hua'shu'yuan'huang'shan
我们这里,wo'men'zhe'li
我们这里主要参照了旅美学者陈鼓应教授所著,wo'men'zhe'li'zhu'yao'can'zhao'le'lv'mei'xue'zhe'chen'gu'ying'jiao'shou'suo'zhu
我无事,wo'wu'shi
我无为,wo'wu'wei
我无欲,wo'wu'yu
我亦教之,wo'yi'jiao'zhi
我有三宝,wo'you'san'bao
我愚人之心也哉,wo'yu'ren'zhi'xin'ye'zai
我自然,wo'zi'ran
吾,wu
物,wu
吾不,wu'bu
无不克,wu'bu'ke
吾不知其名,wu'bu'zhi'qi'ming
无对应的,wu'dui'ying'de
吾何以知其然哉,wu'he'yi'zhi'qi'ran'zai
吾何以知天下然哉,wu'he'yi'zhi'tian'xia'ran'zai
吾何以知众甫之状哉,wu'he'yi'zhi'zhong'fu'zhi'zhuang'zai
物或恶之,wu'huo'e'zhi
吾见其不得已,wu'jian'qi'bu'de'yi
吾将以为教父,wu'jiang'yi'wei'jiao'fu
吾将镇之以无名之朴,wu'jiang'zhen'zhi'yi'wu'ming'zhi'pu
无名天地之始,wu'ming'tian'di'zhi'shi
无容质疑,wu'rong'zhi'yi
五色令人目盲,wu'se'ling'ren'mu'mang
吾善之,wu'shan'zhi
吾是以知无为之有,wu'shi'yi'zhi'wu'wei'zhi'you
吾是以知无为之有益,wu'shi'yi'zhi'wu'wei'zhi'you'yi
无死地,wu'si'di
吾所以有大患者,wu'suo'yi'you'da'huan'zhe
无为而无不为,wu'wei'er'wu'bu'wei
五味令人口爽,wu'wei'ling'ren'kou'shuang
无为之益,wu'wei'zhi'yi
无物之象,wu'wu'zhi'xiang
吾信之,wu'xin'zhi
物形之,wu'xing'zhi
吾以观复,wu'yi'guan'fu
吾亦善之,wu'yi'shan'zhi
无遗身殃,wu'yi'shen'yang
吾亦信之,wu'yi'xin'zhi
五音令人耳聋,wu'yin'ling'ren'er'long
吾有,wu'you
无忧,wu'you
无有入无间,wu'you'ru'wu'jian
无欲,wu'yu
侮之,wu'zhi
无执,wu'zhi
无之以为用,wu'zhi'yi'wei'yong
物壮则,wu'zhuang'ze
物壮则老,wu'zhuang'ze'lao
西方学者,xi'fang'xue'zhe
兮若无止,xi'ruo'wu'zhi
希言自然,xi'yan'zi'ran
昔之得一者,xi'zhi'de'yi'zhe
下,xia
下德不失德,xia'de'bu'shi'de
下德无为而有以为,xia'de'wu'wei'er'you'yi'wei
下三百种之多,xia'san'bai'zhong'zhi'duo
下士闻道,xia'shi'wen'dao
闲时阅读过程中,xian'shi'yue'du'guo'cheng'zhong
先天地生,xian'tian'de'sheng
想必绝无过誉之嫌,xiang'bi'jue'wu'guo'yu'zhi'xian
象帝之先,xiang'di'zhi'xian
相去几何,xiang'qu'ji'he
相去若何,xiang'qu'ruo'he
小邦不过欲入事人,xiao'bang'bu'guo'yu'ru'shi'ren
小邦以下大邦,xiao'bang'yi'xia'da'bang
校定文,xiao'ding'wen
校诂学者,xiao'gu'xue'zhe
信不足焉,xin'bu'zu'yan
心发狂,xin'fa'kuang
心善渊,xin'shan'yuan
心使气曰强,xin'shi'qi'yue'qiang
信者,xin'zhe
行不言之教,xing'bu'yan'zhi'jiao
凶事尚右,xiong'shi'shang'you
修之于邦,xiu'zhi'yu'bang
修之于家,xiu'zhi'yu'jia
修之于身,xiu'zhi'yu'shen
修之于天下,xiu'zhi'yu'tian'xia
修之于乡,xiu'zhi'yu'xiang
虚而不屈,xu'er'bu'qu
虚其心,xu'qi'xin
玄德,xuan'de
玄德深矣,xuan'de'shen'yi
玄牝之门,xuan'pin'zhi'men
玄同,xuan'tong
玄之又玄,xuan'zhi'you'xuan
燕处超然,yan'chu'chao'ran
言善信,yan'shan'xin
俨兮其若客,yan'xi'qi'ruo'ke
言以丧礼处之,yan'yi'sang'li'chu'zhi
厌饮食,yan'yin'shi
言者不知,yan'zhe'bu'zhi
洋洋洒洒,yang'yang'sa'sa
洋洋洒洒深邃博大地,yang'yang'sa'sa'shen'sui'bo'da'di
养之覆之,yang'zhi'fu'zhi
窈兮冥兮,yao'xi'ming'xi
也被越来越多的,ye'bei'yue'lai'yue'duo'de
也被越来越多的西方学者所推崇,ye'bei'yue'lai'yue'duo'de'xi'fang'xue'zhe'suo'tui'chong
也夫,ye'fu
益,yi
矣,yi
以百姓为刍狗,yi'bai'xing'wei'chu'gou
以百姓心为心,yi'bai'xing'xin'wei'xin
以邦观邦,yi'bang'guan'bang
以悲哀泣之,yi'bei'ai'qi'zhi
亦不,yi'bu
亦不下,yi'bu'xia
以此,yi'ci
以慈卫之,yi'ci'wei'zhi
以道莅天下,yi'dao'li'tian'xia
夷道若,yi'dao'ruo
以道佐人主者,yi'dao'zuo'ren'zhu'zhe
已而用之,yi'er'yong'zhi
一个朴素,yi'ge'pu'su
亦或直呼为,yi'huo'zhi'hu'wei
以及诸多的注,yi'ji'zhu'duo'de'zhu
以家观家,yi'jia'guan'jia
以贱为本邪,yi'jian'wei'ben'xie
以降甘露,yi'jiang'gan'lu
以静为下,yi'jing'wei'xia
一九八四年版,yi'jiu'ba'si'nian'ban
一九九二年万象更新之际于德克萨斯,yi'jiu'jiu'er'nian'wan'xiang'geng'xin'zhi'ji'yu'de'ke'sa'si
一九九零年版,yi'jiu'jiu'ling'nian'ban
以其,yi'qi
以其不争,yi'qi'bu'zheng
以其不自生,yi'qi'bu'zi'sheng
以其善下之,yi'qi'shan'xia'zhi
以其生之厚,yi'qi'sheng'zhi'hou
以奇用兵,yi'qi'yong'bing
以其智多,yi'qi'zhi'duo
以其终不,yi'qi'zhong'bu
以取,yi'qu
一生二,yi'sheng'er
益生曰祥,yi'sheng'yue'xiang
亦十有三,yi'shi'you'san
以守则固,yi'shou'ze'gu
一书中,yi'shu'zhong
以天下观天下,yi'tian'xia'guan'tian'xia
以万物为刍狗,yi'wan'wu'wei'chu'gou
依王弼本为蓝本,yi'wang'bi'ben'wei'lan'ben
以为天地母,yi'wei'tian'di'mu
以为天下母,yi'wei'tian'xia'mu
以无事取天下,yi'wu'shi'qu'tian'xia
以乡观乡,yi'xiang'guan'xiang
一言以蔽之者,yi'yan'yi'bi'zhi'zhe
衣养,yi'yang
以御今之有,yi'yu'jin'zhi'you
一曰慈,yi'yue'ci
以阅众甫,yi'yue'zhong'fu
以正治国,yi'zheng'zhi'guo
以知其子,yi'zhi'qi'zi
以至于无为,yi'zhi'yu'wu'wei
引车买浆之流,yin'che'mai'jiang'zhi'liu
引车买浆之流有云,yin'che'mai'jiang'zhi'liu'you'yun
音声相和,yin'sheng'xiang'he
影响所及,ying'xiang'suo'ji
迎之不见其首,ying'zhi'bu'jian'qi'shou
用兵则贵右,yong'bing'ze'gui'you
用其光,yong'qi'guang
用之,yong'zhi
用之不足既,yong'zhi'bu'zu'ji
有,you
有不信焉,you'bu'xin'yan
有车之用,you'che'zhi'yong
犹川谷之于江海,you'chuan'gu'zhi'yu'jiang'hai
有大伪,you'da'wei
有国之母,you'guo'zhi'mu
有名万物之母,you'ming'wan'wu'zhi'mu
有器之用,you'qi'zhi'yong
有仁义,you'ren'yi
有生于无,you'sheng'yu'wu
有室之用,you'shi'zhi'yong
有物混成,you'wu'hun'cheng
有无相生,you'wu'xiang'sheng
悠兮其贵言,you'xi'qi'gui'yan
犹兮若畏四邻,you'xi'ruo'wei'si'lin
有孝慈,you'xiao'ci
有云,you'yun
有忠臣,you'zhong'chen
有罪以免邪,you'zui'yi'mian'xie
鱼不可脱于渊,yu'bu'ke'tuo'yu'yuan
与善仁,yu'shan'ren
馀食赘形,yu'shi'zhui'xing
与物反矣,yu'wu'fan'yi
豫兮若冬涉川,yu'xi'ruo'dong'she'chuan
欲先民,yu'xian'min
欲以观其徼,yu'yi'guan'qi'jiao
欲以观其妙,yu'yi'guan'qi'miao
域中有四大,yu'zhong'you'si'da
宇宙观,yu'zhou'guan
远,yuan
原是依,yuan'shi'yi
渊兮,yuan'xi
远曰反,yuan'yue'fan
曰,yue
曰明,yue'ming
曰远,yue'yuan
哉,zai
载营魄抱一,zai'ying'po'bao'yi
早服谓之重积德,zao'fu'wei'zhi'zhong'ji'de
凿户牖以为室,zao'hu'you'yi'wei'shi
躁则失君,zao'ze'shi'jun
则不可得志于天下矣,ze'bu'ke'de'zhi'yu'tian'xia'yi
则莫知其极,ze'mo'zhi'qi'ji
则取大邦,ze'qu'da'bang
则取小邦,ze'qu'xiao'bang
则攘臂而扔之,ze'rang'bi'er'reng'zhi
则为官长,ze'wei'guan'zhang
则无败事,ze'wu'bai'shi
则无不治,ze'wu'bu'zhi
战胜以丧礼处之,zhan'sheng'yi'sang'li'chu'zhi
湛兮,zhan'xi
镇之以无名之朴,zhen'zhi'yi'wu'ming'zhi'pu
正,zheng
正复为奇,zheng'fu'wei'qi
政善治,zheng'shan'zhi
之,zhi
治,zhi
之不见其后,zhi'bu'jian'qi'hou
知常,zhi'chang
知常容,zhi'chang'rong
知常曰,zhi'chang'yue
知常曰明,zhi'chang'yue'ming
知此两者亦稽式,zhi'ci'liang'zhe'yi'ji'shi
治大国,zhi'da'guo
执大象,zhi'da'xiang
直而不肆,zhi'er'bu'si
执古之道,zhi'gu'zhi'dao
知和曰,zhi'he'yue
知和曰常,zhi'he'yue'chang
智慧出,zhi'hui'chu
知其白,zhi'qi'bai
知其雄,zhi'qi'xiong
治人事天,zhi'ren'shi'tian
知人者智,zhi'ren'zhe'zhi
置三公,zhi'san'gong
知谁之子,zhi'shui'zhi'zi
知天下,zhi'tian'xia
致虚极,zhi'xu'ji
执也,zhi'ye
之于未乱,zhi'yu'wei'luan
知者不言,zhi'zhe'bu'yan
执者失之,zhi'zhe'shi'zhi
质真若渝,zhi'zhen'ruo'yu
知止不殆,zhi'zhi'bu'dai
知止可以不殆,zhi'zhi'ke'yi'bu'dai
之至也,zhi'zhi'ye
知足者富,zhi'zu'zhe'fu
中华民族,zhong'hua'min'zu
中华民族的,zhong'hua'min'zu'de
中华民族上下几千,zhong'hua'min'zu'shang'xia'ji'qian
重积德则无不克,zhong'ji'de'ze'wu'bu'ke
众妙之门,zhong'miao'zhi'men
众人皆有以,zhong'ren'jie'you'yi
众人皆有馀,zhong'ren'jie'you'yu
众人熙熙,zhong'ren'xi'xi
终日号而不嗄,zhong'ri'hao'er'bu'a
终身不救,zhong'shen'bu'jiu
终身不勤,zhong'shen'bu'qin
中士闻道,zhong'shi'wen'dao
忠信之薄,zhong'xin'zhi'bao
周行而不殆,zhou'xing'er'bu'dai
骤雨不终日,zhou'yu'bu'zhong'ri
铸成三位一体的,zhu'cheng'san'wei'yi'ti'de
主要参照了,zhu'yao'can'zhao'le
注译及评介,zhu'yi'ji'ping'jie
专气致柔,zhuan'qi'zhi'rou
自伐者无功,zi'fa'zhe'wu'gong
自见者不明,zi'jian'zhe'bu'ming
自今及古,zi'jin'ji'gu
自矜者不长,zi'jin'zhe'bu'chang
滋起,zi'qi
自然,zi'ran
自然豁达,zi'ran'huo'da
自胜者强,zi'sheng'zhe'qiang
自是者不彰,zi'shi'zhe'bu'zhang
子孙以祭祀不辍,zi'sun'yi'ji'si'bu'chuo
自为大,zi'wei'da
自遗其咎,zi'yi'qi'jiu
自正,zi'zheng
自知者明,zi'zhi'zhe'ming
走向世界,zou'xiang'shi'jie
足闻,zu'wen
作于细,zuo'yu'xi
