啊好啊,a'hao'a
你又知道了,ni'you'zhi'dao'le
你在常州,ni'zai'chang'zhou
你在湖塘,ni'zai'hu'tang
你在金坛,ni'zai'jin'tan
你在溧阳,ni'zai'li'yang
你真老,ni'zhen'lao
你总归,ni'zong'gui
你做嗲,ni'zuo'dia
年头上,nian'tou'shang
娘比,niang'bi
娘个,niang'ge
娘隔壁,niang'ge'bi
娘和,niang'he
娘老子,niang'lao'zi
牛杯杯,niu'bei'bei
牛逼老,niu'bi'lao
牛老,niu'lao
牛皮筋,niu'pi'jin
牛塘,niu'tang
牛塘镇,niu'tang'zhen
牛杂汤,niu'za'tang
弄到好,nong'dao'hao
诺丁,nuo'ding
女老,nv'lao
女老家,nv'lao'jia
哦心,o'xin
哦哟喂,o'yo'wei
偶个,ou'ge
偶古,ou'gu
偶家,ou'jia
欧派罗,ou'pai'luo
欧尚,ou'shang
怕憋死,pa'bie'si
怕动,pa'dong
怕烦,pa'fan
啪啪车,pa'pa'che
潘家,pan'jia
盘龙苑,pan'long'yuan
胖比,pang'bi
旁边点,pang'bian'dian
胖婆子,pang'po'zi
跑菜,pao'cai
泡饭,pao'fan
烹大师,peng'da'shi
鹏欣丽都,peng'xin'li'du
屁个,pi'ge
骗骗人,pian'pian'ren
姘头,pin'tou
平陵,ping'ling
平陵广场,ping'ling'guang'chang
平桥,ping'qiao
浦河,pu'he
璞丽湾,pu'li'wan
浦前,pu'qian
七搭八搭,qi'da'ba'da
戚大街,qi'da'jie
起胡,qi'hu
戚机厂,qi'ji'chang
七加七,qi'jia'qi
起劲的,qi'jin'de
起来么啦,qi'lai'me'la
戚墅堰,qi'shu'yan
戚墅堰区,qi'shu'yan'qu
七欣天,qi'xin'tian
汽修厂,qi'xiu'chang
前黄,qian'huang
前黄镇,qian'huang'zhen
钱家,qian'jia
钱家村,qian'jia'cun
千江水,qian'jiang'shui
钱俊,qian'jun
前马,qian'ma
前桥,qian'qiao
强埠,qiang'bu
切不消,qie'bu'xiao
切酒,qie'jiu
勤德,qin'de
勤德家园,qin'de'jia'yuan
勤业,qin'ye
勤业路,qin'ye'lu
勤业桥,qin'ye'qiao
清安,qing'an
清安桥,qing'an'qiao
请迟,qing'chi
青枫,qing'feng
青枫公园,qing'feng'gong'yuan
青果巷,qing'guo'xiang
清凉寺,qing'liang'si
清凉新村,qing'liang'xin'cun
青龙苑,qing'long'yuan
青山桥,qing'shan'qiao
青山湾,qing'shan'wan
青摄影,qing'she'ying
清潭,qing'tan
清潭路,qing'tan'lu
清潭新村,qing'tan'xin'cun
清香源,qing'xiang'yuan
青洋路,qing'yang'lu
去不啦,qu'bu'la
去常州,qu'chang'zhou
去丹阳,qu'dan'yang
去的哇,qu'de'wa
去干嘛的,qu'gan'ma'de
去挂水,qu'gua'shui
去湖塘,qu'hu'tang
去金坛,qu'jin'tan
去看撒,qu'kan'sa
去恐龙园,qu'kong'long'yuan
去了哇,qu'le'wa
去了为,qu'le'wei
去溧阳,qu'li'yang
去路桥,qu'lu'qiao
去南大街,qu'nan'da'jie
瞿秋白,qu'qiu'bai
去撒,qu'sa
去色,qu'se
去无锡,qu'wu'xi
去嬉戏谷,qu'xi'xi'gu
去浴室,qu'yu'shi
全常州,quan'chang'zhou
全大元,quan'da'yuan
全聚香,quan'ju'xiang
全州拌饭,quan'zhou'ban'fan
雀舌,que'she
热不啦,re'bu'la
热到则,re'dao'ze
热脚,re'jiao
日脚,ri'jiao
荣亨逸都,rong'heng'yi'dou
肉馒头,rou'man'tou
肉圆,rou'yuan
瑞和泰,rui'he'tai
润奥,run'ao
润德半岛,run'de'ban'dao
润源,run'yuan
撒憋气,sa'bie'qi
赛过宁,sai'guo'ning
赛过人,sai'guo'ren
三堡街,san'bao'jie
三村,san'cun
三打一,san'da'yi
三打字,san'da'zi
三河口,san'he'kou
三井,san'jing
骚狗,sao'gou
骚卵,sao'luan
色影,se'ying
森萨塔,sen'sa'ta
纱卡,sha'ka
善卷洞,shan'juan'dong
删删掉,shan'shan'diao
山水网,shan'shui'wang
山羊绒,shan'yang'rong
上班的啊,shang'ban'de'a
上班的吧,shang'ban'de'ba
上班的哇,shang'ban'de'wa
上班的呀,shang'ban'de'ya
上班老,shang'ban'lao
上班了哇,shang'ban'le'wa
上班咧,shang'ban'lie
上的哇,shang'de'wa
尚东区,shang'dong'qu
上高架,shang'gao'jia
上个成,shang'ge'cheng
上河城,shang'he'cheng
上黄,shang'huang
伤活,shang'huo
上书房,shang'shu'fang
烧菜的,shao'cai'de
烧饭的,shao'fan'de
烧公鸡,shao'gong'ji
少体校,shao'ti'xiao
烧晚饭,shao'wan'fan
少玩玩,shao'wan'wan
烧早饭,shao'zao'fan
社会写真,she'hui'xie'zhen
社头,she'tou
社渚,she'zhu
神采,shen'cai
神采飞扬,shen'cai'fei'yang
神兜兜,shen'dou'dou
什尼,shen'ni
身上来,shen'shang'lai
省常中,sheng'chang'zhong
省的烦,sheng'de'fan
盛世华城,sheng'shi'hua'cheng
盛世名门,sheng'shi'ming'men
省武高,sheng'wu'gao
省中,sheng'zhong
十比,shi'bi
是不啦,shi'bu'la
是常州,shi'chang'zhou
是的哇,shi'de'wa
是的外,shi'de'wai
是的为,shi'de'wei
是个哇,shi'ge'wa
是好看的,shi'hao'kan'de
世茂香槟湖,shi'mao'xiang'bin'hu
世贸中心,shi'mao'zhong'xin
十么,shi'me
十你,shi'ni
事情多的,shi'qing'duo'de
是有点的,shi'you'dian'de
十则,shi'ze
十着,shi'zhe
石庄,shi'zhuang
收骨头,shou'gu'tou
舒服的嘛,shu'fu'de'ma
舒服的么,shu'fu'de'me
舒服的呢,shu'fu'de'ne
舒服的哇,shu'fu'de'wa
舒服的呀,shu'fu'de'ya
舒服老,shu'fu'lao
爽不啦,shuang'bu'la
爽的吧,shuang'de'ba
爽的嘛,shuang'de'ma
爽的么,shuang'de'me
爽的呢,shuang'de'ne
爽的哇,shuang'de'wa
爽的呀,shuang'de'ya
双桂坊,shuang'gui'fang
爽老,shuang'lao
水北,shui'bei
水当当,shui'dang'dang
谁高兴,shui'gao'xing
睡伙,shui'huo
睡觉了哇,shui'jiao'le'wa
睡了为,shui'le'wei
水芹,shui'qin
谁说哒,shui'shuo'da
水天堂,shui'tian'tang
顺园,shun'yuan
说的哇,shuo'de'wa
说嗲,shuo'dia
说叫,shuo'jiao
说了为,shuo'le'wei
说色,shuo'se
说书,shuo'shu
说书的,shuo'shu'de
说说的哇,shuo'shuo'de'wa
说说的呀,shuo'shuo'de'ya
说说看呢,shuo'shuo'kan'ne
说说呢,shuo'shuo'ne
说说撒,shuo'shuo'sa
说说玩玩,shuo'shuo'wan'wan
死不要好,si'bu'yao'hao
四翻,si'fan
四副头,si'fu'tou
四季新城,si'ji'xin'cheng
死腔,si'qiang
死腔样子,si'qiang'yang'zi
死死远点,si'si'yuan'dian
四药,si'yao
宋剑湖,song'jian'hu
苏北的,su'bei'de
苏果超市,su'guo'chao'shi
速派奇,su'pai'qi
算了为,suan'le'wei
随便哇,sui'bian'wa
随你哇,sui'ni'wa
随堂反馈,sui'tang'fan'kui
随堂练,sui'tang'lian
所以哇,suo'yi'wa
他古,ta'gu
他来句,ta'lai'ju
泰百,tai'bai
泰村,tai'cun
泰富,tai'fu
泰富百货,tai'fu'bai'huo
太隔,tai'ge
太湖东路,tai'hu'dong'lu
太湖路,tai'hu'lu
太湖明珠苑,tai'hu'ming'zhu'yuan
太湖湾,tai'hu'wan
台钱,tai'qian
泰盈,tai'ying
泰盈八千里,tai'ying'ba'qian'li
摊吧,tan'ba
摊饼,tan'bing
谈家头,tan'jia'tou
谭墅,tan'shu
叹叹气,tan'tan'qi
唐家村,tang'jia'cun
唐家错,tang'jia'cuo
汤庄,tang'zhuang
淘常州,tao'chang'zhou
腾龙苑,teng'long'yuan
甜白酒,tian'bai'jiu
天合,tian'he
天合光能,tian'he'guang'neng
天隽峰,tian'juan'feng
天禄,tian'lu
天目,tian'mu
天目湖,tian'mu'hu
天目路,tian'mu'lu
天宁,tian'ning
天宁区,tian'ning'qu
天宁寺,tian'ning'si
天润园,tian'run'yuan
天语雅阁,tian'yu'ya'ge
田园肥牛,tian'yuan'fei'niu
听松楼,ting'song'lou
听听呢,ting'ting'ne
同安桥,tong'an'qiao
痛到则,tong'dao'ze
统华,tong'hua
同济桥,tong'ji'qiao
通江路,tong'jiang'lu
通江南路,tong'jiang'nan'lu
通江中路,tong'jiang'zhong'lu
透老,tou'lao
图文楼,tu'wen'lou
团儿,tuan'er
推庄,tui'zhuang
托利多,tuo'li'duo
拖线板,tuo'xian'ban
哇好,wa'hao
瓦屋山,wa'wu'shan
哇要,wa'yao
外面冷的,wai'mian'leng'de
外面热的,wai'mian're'de
外婆家的,wai'po'jia'de
玩不啦,wan'bu'la
晚点你,wan'dian'ni
晚点说吧,wan'dian'shuo'ba
晚点我,wan'dian'wo
晚点再说吧,wan'dian'zai'shuo'ba
晚饭吃,wan'fan'chi
晚饭吃没,wan'fan'chi'mei
万豪花都,wan'hao'hua'du
玩了哇,wan'le'wa
玩玩的,wan'wan'de
玩玩撒,wan'wan'sa
王伟成,wang'wei'cheng
王宇洲,wang'yu'zhou
魏村,wei'cun
为嗲,wei'dia
卫视呢,wei'shi'ne
伟泰,wei'tai
威图,wei'tu
文笔山庄,wen'bi'shan'zhuang
文笔塔,wen'bi'ta
文化宫,wen'hua'gong
文化宫了,wen'hua'gong'le
问问的,wen'wen'de
问问你的,wen'wen'ni'de
问问撒,wen'wen'sa
问问哇,wen'wen'wa
问下的,wen'xia'de
文渊居,wen'yuan'ju
我阿婆,wo'a'po
我阿姨家,wo'a'yi'jia
我暗点,wo'an'dian
我不要么,wo'bu'yao'me
我不要上班,wo'bu'yao'shang'ban
我不知道哇,wo'bu'zhi'dao'wa
我才不高兴,wo'cai'bu'gao'xing
我才不去的,wo'cai'bu'qu'de
我才不要的,wo'cai'bu'yao'de
我常州,wo'chang'zhou
我常州的,wo'chang'zhou'de
我乘车,wo'cheng'che
我吃吃,wo'chi'chi
我吃晚饭,wo'chi'wan'fan
我到常州,wo'dao'chang'zhou
我到常州了,wo'dao'chang'zhou'le
我都不高兴,wo'dou'bu'gao'xing
我古,wo'gu
我挂水,wo'gua'shui
我还好的,wo'hai'hao'de
我湖塘,wo'hu'tang
我火死了,wo'huo'si'le
我江苏,wo'jiang'su
我就问问的,wo'jiu'wen'wen'de
我看看呢,wo'kan'kan'ne
我空的,wo'kong'de
我困高,wo'kun'gao
我来问下,wo'lai'wen'xia
我老子,wo'lao'zi
我了哇,wo'le'wa
我妈在的,wo'ma'zai'de
我没高兴,wo'mei'gao'xing
我没肯,wo'mei'ken
我娘老子,wo'niang'lao'zi
我女女,wo'nv'nv
我去常州,wo'qu'chang'zhou
我是常州,wo'shi'chang'zhou
我说说的,wo'shuo'shuo'de
我问问的,wo'wen'wen'de
我乡下人,wo'xiang'xia'ren
我小姊妹,wo'xiao'zi'mei
我休息的,wo'xiu'xi'de
我要发火了,wo'yao'fa'huo'le
我要紧,wo'yao'jin
我也不知道哇,wo'ye'bu'zhi'dao'wa
我也累的,wo'ye'lei'de
我也怕的,wo'ye'pa'de
我也去的,wo'ye'qu'de
我也是哇,wo'ye'shi'wa
我也无聊的,wo'ye'wu'liao'de
我也喜欢的,wo'ye'xi'huan'de
我也想的,wo'ye'xiang'de
我也想去的,wo'ye'xiang'qu'de
我也要的,wo'ye'yao'de
我也在的,wo'ye'zai'de
我有事的,wo'you'shi'de
我在常州,wo'zai'chang'zhou
我在吃饭的,wo'zai'chi'fan'de
我在湖塘,wo'zai'hu'tang
我在江苏,wo'zai'jiang'su
我在金坛,wo'zai'jin'tan
我在看的,wo'zai'kan'de
我在溧阳,wo'zai'li'yang
我在忙的,wo'zai'mang'de
我在南大街,wo'zai'nan'da'jie
我在上班的,wo'zai'shang'ban'de
我在外面的,wo'zai'wai'mian'de
我真老,wo'zhen'lao
我知道的啊,wo'zhi'dao'de'a
我知道的哇,wo'zhi'dao'de'wa
我知道的为,wo'zhi'dao'de'wei
我姊妹,wo'zi'mei
我总归,wo'zong'gui
物地,wu'di
吴栋,wu'dong
午饭吃没,wu'fan'chi'mei
武高,wu'gao
武进,wu'jin
武进大道,wu'jin'da'dao
武进电大,wu'jin'dian'da
武进高新区,wu'jin'gao'xin'qu
武进区,wu'jin'qu
武进校区,wu'jin'xiao'qu
武进医院,wu'jin'yi'yuan
无聊到则,wu'liao'dao'ze
无聊的吧,wu'liao'de'ba
武南路,wu'nan'lu
巫山路,wu'shan'lu
梧桐苑,wu'tong'yuan
五星电器,wu'xing'dian'qi
五星公园,wu'xing'gong'yuan
五星桥,wu'xing'qiao
吴叶,wu'ye
武宜路,wu'yi'lu
吾悦,wu'yue
吾悦广场,wu'yue'guang'chang
吾悦国际,wu'yue'guo'ji
洗把澡,xi'ba'zao
西部牛扒,xi'bu'niu'pa
西部牛排,xi'bu'niu'pai
细狗,xi'gou
西横街,xi'heng'jie
喜酒的,xi'jiu'de
锡剧,xi'ju
西上园,xi'shang'yuan
西太湖,xi'tai'hu
席条,xi'tiao
洗洗干净,xi'xi'gan'jing
嬉戏谷,xi'xi'gu
西夏墅,xi'xia'shu
西新桥,xi'xin'qiao
西瀛里,xi'ying'li
下班了哇,xia'ban'le'wa
下半天,xia'ban'tian
夏城,xia'cheng
夏城路,xia'cheng'lu
虾糕,xia'gao
夏黑,xia'hei
瞎来,xia'lai
瞎来来,xia'lai'lai
瞎说八道,xia'shuo'ba'dao
瞎说说,xia'shuo'shuo
瞎说说的,xia'shuo'shuo'de
夏溪,xia'xi
瞎写写,xia'xie'xie
现金卡,xian'jin'ka
咸泡饭,xian'pao'fan
仙人山,xian'ren'shan
仙渔舫,xian'yu'fang
县直街,xian'zhi'jie
香槟湖,xiang'bin'hu
想的哇,xiang'de'wa
香江华庭,xiang'jiang'hua'ting
想你的哇,xiang'ni'de'wa
想你的呀,xiang'ni'de'ya
想你了哇,xiang'ni'le'wa
想你了为,xiang'ni'le'wei
香树湾,xiang'shu'wan
香缇湾,xiang'ti'wan
香庭,xiang'ting
想我不啦,xiang'wo'bu'la
乡下的,xiang'xia'de
香溢澜桥,xiang'yi'lan'qiao
香溢紫郡,xiang'yi'zi'jun
香悦半岛,xiang'yue'ban'dao
小次鬼,xiao'ci'gui
孝道园,xiao'dao'yuan
笑嗲,xiao'dia
孝都,xiao'dou
小高考,xiao'gao'kao
小河,xiao'he
小河沿,xiao'he'yan
小湖,xiao'hu
小混沌,xiao'hun'dun
小馄饨,xiao'hun'tun
小金海,xiao'jin'hai
小来来,xiao'lai'lai
小老,xiao'lao
小留,xiao'liu
小路考,xiao'lu'kao
小女老,xiao'nv'lao
小苏烟,xiao'su'yan
笑笑了,xiao'xiao'le
小新桥,xiao'xin'qiao
小营前,xiao'ying'qian
小则,xiao'ze
小姊哥,xiao'zi'ge
小姊妹,xiao'zi'mei
歇比,xie'bi
歇国,xie'guo
歇年,xie'nian
写写的,xie'xie'de
歇在,xie'zai
歇在家,xie'zai'jia
歇在家里,xie'zai'jia'li
新北,xin'bei
新北的,xin'bei'de
新北区,xin'bei'qu
新北区的,xin'bei'qu'de
新城公馆,xin'cheng'gong'guan
新城南都,xin'cheng'nan'du
新城域,xin'cheng'yu
新飞月,xin'fei'yue
心肝头,xin'gan'tou
馨河郦舍,xin'he'li'she
新华厨,xin'hua'chu
辛苦老,xin'ku'lao
新桥,xin'qiao
新桥镇,xin'qiao'zhen
新区公园,xin'qu'gong'yuan
新市路,xin'shi'lu
新市民,xin'shi'min
信特超市,xin'te'chao'shi
新魏,xin'wei
新闸,xin'zha
行的哇,xing'de'wa
行发,xing'fa
星港,xing'gang
星港路,xing'gang'lu
星河国际,xing'he'guo'ji
星苑,xing'yuan
星园路,xing'yuan'lu
胸口去,xiong'kou'qu
袖管,xiu'guan
秀江南,xiu'jiang'nan
休息的啊,xiu'xi'de'a
休息的吧,xiu'xi'de'ba
休息在家,xiu'xi'zai'jia
圩墩,xu'dun
许晶,xu'jing
薛埠,xue'bu
薛埠镇,xue'bu'zhen
学府东苑,xue'fu'dong'yuan
薛家,xue'jia
薛家镇,xue'jia'zhen
雪堰,xue'yan
雪堰桥,xue'yan'qiao
雪堰镇,xue'yan'zhen
亚邦,ya'bang
亚芬,ya'fen
鸦片鱼,ya'pian'yu
亚细亚,ya'xi'ya
鸭血粉丝汤,ya'xue'fen'si'tang
淹城,yan'cheng
沿江高速,yan'jiang'gao'su
延陵路,yan'ling'lu
延陵西路,yan'ling'xi'lu
燕山,yan'shan
燕山公园,yan'shan'gong'yuan
延政路,yan'zheng'lu
样个,yang'ge
阳光城市,yang'guang'cheng'shi
阳光龙庭,yang'guang'long'ting
阳湖大桥,yang'hu'da'qiao
阳湖名城,yang'hu'ming'cheng
养养好,yang'yang'hao
要不啦,yao'bu'la
要嗲,yao'dia
要挂水,yao'gua'shui
遥观,yao'guan
遥观镇,yao'guan'zhen
耀莱,yao'lai
要么你,yao'me'ni
要死咧,yao'si'lie
尧塘,yao'tang
也大的,ye'da'de
也多的,ye'duo'de
夜饭,ye'fan
也烦的,ye'fan'de
也给啊,ye'gei'a
夜公园,ye'gong'yuan
也贵的,ye'gui'de
也还好的,ye'hai'hao'de
也好吃的,ye'hao'chi'de
也好的,ye'hao'de
也好的哇,ye'hao'de'wa
也好的呀,ye'hao'de'ya
也好看的,ye'hao'kan'de
也好老,ye'hao'lao
也好玩的,ye'hao'wan'de
野河,ye'he
冶金厂,ye'jin'chang
也可怜的,ye'ke'lian'de
也快的,ye'kuai'de
也累的,ye'lei'de
也冷的,ye'leng'de
也忙的,ye'mang'de
夜排挡,ye'pai'dang
也去的,ye'qu'de
也热的,ye're'de
夜头,ye'tou
也无聊的,ye'wu'liao'de
也辛苦的,ye'xin'ku'de
也在的,ye'zai'de
夜则,ye'ze
夜着,ye'zhe
乙单元,yi'dan'yuan
已发货,yi'fa'huo
逸高,yi'gao
一个老早,yi'ge'lao'zao
亿晶,yi'jing
一句话么,yi'ju'hua'me
怡康花园,yi'kang'hua'yuan
一块头,yi'kuai'tou
姨婆婆,yi'po'po
一太湖,yi'tai'hu
一天到夜,yi'tian'dao'ye
一头劲,yi'tou'jin
一醒过来,yi'xing'guo'lai
宜兴人,yi'xing'ren
一样和,yi'yang'he
一院,yi'yuan
一职高,yi'zhi'gao
殷村,yin'cun
银河湾,yin'he'wan
银丝面,yin'si'mian
银丝面馆,yin'si'mian'guan
硬饭,ying'fan
迎桂,ying'gui
英派斯,ying'pai'si
永安花苑,yong'an'hua'yuan
用户家,yong'hu'jia
永宁雅苑,yong'ning'ya'yuan
用用的,yong'yong'de
用用了,yong'yong'le
有不啦,you'bu'la
有的哇,you'de'wa
有的为,you'de'wei
有点的,you'dian'de
有点多的,you'dian'duo'de
有点累的,you'dian'lei'de
有点冷的,you'dian'leng'de
邮电路,you'dian'lu
有点忙的,you'dian'mang'de
有点远的,you'dian'yuan'de
有爹,you'die
优歌,you'ge
优歌美地,you'ge'mei'di
有混,you'hun
有劲的,you'jin'de
有空不啦,you'kong'bu'la
有空发,you'kong'fa
优扣帮,you'kou'bang
有人哇,you'ren'wa
有人在的,you'ren'zai'de
有事情的,you'shi'qing'de
有晚饭,you'wan'fan
游戏茶苑,you'xi'cha'yuan
又一城,you'yi'cheng
御城,yu'cheng
玉龙路,yu'long'lu
玉龙湾,yu'long'wan
渔蒙家,yu'meng'jia
御荣府,yu'rong'fu
御水,yu'shui
御水华庭,yu'shui'hua'ting
御水温泉,yu'shui'wen'quan
渝味,yu'wei
渝味川菜,yu'wei'chuan'cai
御源林城,yu'yuan'lin'cheng
院街,yuan'jie
原山,yuan'shan
院士楼,yuan'shi'lou
源音坊,yuan'yin'fang
月星家居,yue'xing'jia'ju
运河路,yun'he'lu
运河五号,yun'he'wu'hao
云山诗意,yun'shan'shi'yi
晕死的,yun'si'de
云庭,yun'ting
恽总,yun'zong
在常州,zai'chang'zhou
在常州呢,zai'chang'zhou'ne
在吃的,zai'chi'de
在吃饭的,zai'chi'fan'de
在吃晚饭,zai'chi'wan'fan
在的啊,zai'de'a
在的哇,zai'de'wa
在的呀,zai'de'ya
在等的,zai'deng'de
在店里的,zai'dian'li'de
在挂水,zai'gua'shui
在湖塘,zai'hu'tang
在家的啊,zai'jia'de'a
在家的吧,zai'jia'de'ba
在家哇,zai'jia'wa
在金坛,zai'jin'tan
在就嗲,zai'jiu'dia
在开会的,zai'kai'hui'de
在看的,zai'kan'de
在看电视的,zai'kan'dian'shi'de
在恐龙园,zai'kong'long'yuan
在莱蒙,zai'lai'meng
在乐购,zai'le'gou
在溧阳,zai'li'yang
在路桥,zai'lu'qiao
在忙的,zai'mang'de
在忙的吧,zai'mang'de'ba
在南大街,zai'nan'da'jie
在上班的,zai'shang'ban'de
在上课的,zai'shang'ke'de
在睡觉的,zai'shui'jiao'de
再说了哇,zai'shuo'le'wa
再说了为,zai'shuo'le'wei
再说撒,zai'shuo'sa
在问的,zai'wen'de
在文化宫,zai'wen'hua'gong
在我家的,zai'wo'jia'de
在武进,zai'wu'jin
在洗澡的,zai'xi'zao'de
在新北,zai'xin'bei
在新北区,zai'xin'bei'qu
在做嗲,zai'zuo'dia
赞刚,zan'gang
早餐车,zao'can'che
早的嘛,zao'de'ma
早的么,zao'de'me
早点说吧,zao'dian'shuo'ba
早点我,zao'dian'wo
早点再说吧,zao'dian'zai'shuo'ba
早锻炼,zao'duan'lian
早饭吃没,zao'fan'chi'mei
藻江,zao'jiang
早来的,zao'lai'de
早了哇,zao'le'wa
啧啧咧,ze'ze'lie
寨桥,zhai'qiao
站不动,zhan'bu'dong
战斗鸡排,zhan'dou'ji'pai
朝阳桥,zhao'yang'qiao
找找呢,zhao'zhao'ne
真的哇,zhen'de'wa
真的为,zhen'de'wei
针纺城,zhen'fang'cheng
真老,zhen'lao
真老啊,zhen'lao'a
真老是,zhen'lao'shi
真老哇,zhen'lao'wa
珍珠塔,zhen'zhu'ta
正昌,zheng'chang
正衡,zheng'heng
郑陆,zheng'lu
郑陆镇,zheng'lu'zhen
政平,zheng'ping
正月半,zheng'yue'ban
知道不啦,zhi'dao'bu'la
知道的哇,zhi'dao'de'wa
知道的为,zhi'dao'de'wei
知道了哇,zhi'dao'le'wa
知道了为,zhi'dao'le'wei
指前,zhi'qian
直溪,zhi'xi
中华恐龙园,zhong'hua'kong'long'yuan
中间班,zhong'jian'ban
钟楼区,zhong'lou'qu
中桑,zhong'sang
中塘桥,zhong'tang'qiao
中天钢铁,zhong'tian'gang'tie
中吴大道,zhong'wu'da'dao
中吴网,zhong'wu'wang
中央花园,zhong'yang'hua'yuan
中意宝第,zhong'yi'bao'di
周城,zhou'cheng
周家巷,zhou'jia'xiang
猪比,zhu'bi
猪狗,zhu'gou
住回家,zhu'hui'jia
住回去,zhu'hui'qu
猪噜噜,zhu'lu'lu
竺山湖,zhu'shan'hu
抓牌,zhua'pai
专转本,zhuan'zhuan'ben
转转的,zhuan'zhuan'de
装潢公司,zhuang'huang'gong'si
装节,zhuang'jie
状元楼,zhuang'yuan'lou
姊哥,zi'ge
紫金城,zi'jin'cheng
紫荆公园,zi'jing'gong'yuan
姊妹的,zi'mei'de
自默,zi'mo
紫阳花园,zi'yang'hua'yuan
紫缘,zi'yuan
子子头,zi'zi'tou
总不要,zong'bu'yao
总归,zong'gui
总归会,zong'gui'hui
总归要,zong'gui'yao
总会要,zong'hui'yao
宗桑,zong'sang
走了哇,zou'le'wa
邹区,zou'qu
邹区镇,zou'qu'zhen
尊皇,zun'huang
做嗲,zuo'dia
做点啦,zuo'dian'la
作怪的,zuo'guai'de
左邻右里,zuo'lin'you'li
作孽的,zuo'nie'de
做生活,zuo'sheng'huo
作死拉大,zuo'si'la'da
做做的,zuo'zuo'de
做做个,zuo'zuo'ge
