艾封人之子也,ai'feng'ren'zhi'zi'ye
夫相收之与相弃亦远矣,fu'xiang'shou'zhi'yu'xiang'qi'yi'yuan'yi
夫小惑易方,fu'xiao'huo'yi'fang
夫孝悌仁义,fu'xiao'ti'ren'yi
父邪,fu'xie
夫形全精复,fu'xing'quan'jing'fu
夫形色名声,fu'xing'se'ming'sheng
夫虚静恬淡寂漠无为者,fu'xu'jing'tian'dan'ji'mo'wu'wei'zhe
夫寻常之沟,fu'xun'chang'zhi'gou
夫徇耳目内通而外于心知,fu'xun'er'mu'nei'tong'er'wai'yu'xin'zhi
夫言非吹也,fu'yan'fei'chui'ye
夫尧畜畜然仁,fu'yao'chu'chu'ran'ren
夫尧既已黥汝以仁义,fu'yao'ji'yi'qing'ru'yi'ren'yi
夫尧知贤人之利天下也,fu'yao'zhi'xian'ren'zhi'li'tian'xia'ye
福亦不来,fu'yi'bu'lai
夫以出乎众为心者,fu'yi'chu'hu'zhong'wei'xin'zhe
夫夷节已不能,fu'yi'jie'yi'bu'neng
夫夷节之为人也,fu'yi'jie'zhi'wei'ren'ye
夫以利合者,fu'yi'li'he'zhe
夫以鸟养养鸟者,fu'yi'niao'yang'yang'niao'zhe
夫以阳为充孔扬,fu'yi'yang'wei'chong'kong'yang
夫已有所简矣,fu'yi'you'suo'jian'yi
服膺而不舍,fu'ying'er'bu'she
浮游不知所求,fu'you'bu'zhi'suo'qiu
夫有干越之剑者,fu'you'gan'yue'zhi'jian'zhe
腹犹果然,fu'you'guo'ran
浮游乎万物之祖,fu'you'hu'wan'wu'zhi'zu
富有天下,fu'you'tian'xia
夫有土者,fu'you'tu'zhe
复于不惑,fu'yu'bu'huo
夫欲恶避就,fu'yu'e'bi'jiu
鲋鱼忿然作色曰,fu'yu'fen'ran'zuo'se'yue
夫与国君同食,fu'yu'guo'jun'tong'shi
鲋鱼来,fu'yu'lai
夫欲免为形者,fu'yu'mian'wei'xing'zhe
伏于岩穴,fu'yu'yan'xue
斧钺之威弗能禁,fu'yue'zhi'wei'fu'neng'jin
覆载天地,fu'zai'tian'di
覆载万物者也,fu'zai'wan'wu'zhe'ye
夫造化者必以为不祥之人,fu'zao'hua'zhe'bi'yi'wei'bu'xiang'zhi'ren
夫造物者将以予为此拘拘也,fu'zao'wu'zhe'jiang'yi'yu'wei'ci'ju'ju'ye
夫造物者又将以予为此拘拘也,fu'zao'wu'zhe'you'jiang'yi'yu'wei'ci'ju'ju'ye
父则不祥,fu'ze'bu'xiang
富则多事,fu'ze'duo'shi
夫楂梨橘柚果,fu'zha'li'ju'you'guo
夫昭昭生于冥冥,fu'zhao'zhao'sheng'yu'ming'ming
夫折大木,fu'zhe'da'mu
夫至德之世,fu'zhi'de'zhi'shi
浮之江湖,fu'zhi'jiang'hu
夫至乐者,fu'zhi'le'zhe
夫支离者其形者,fu'zhi'li'zhe'qi'xing'zhe
夫埴木之性,fu'zhi'mu'zhi'xing
弗知乃知乎,fu'zhi'nai'zhi'hu
弗知内矣,fu'zhi'nei'yi
夫至仁尚矣,fu'zhi'ren'shang'yi
夫至人有世,fu'zhi'ren'you'shi
夫至人者,fu'zhi'ren'zhe
夫知亦有之,fu'zhi'yi'you'zhi
夫知有所待而后当,fu'zhi'you'suo'dai'er'hou'dang
夫知遇而不知所不遇,fu'zhi'yu'er'bu'zhi'suo'bu'yu
夫知者不言,fu'zhi'zhe'bu'yan
罘之知多,fu'zhi'zhi'duo
覆坠而不反,fu'zhui'er'bu'fan
附赘县疣出乎形哉,fu'zhui'xuan'you'chu'hu'xing'zai
夫子,fu'zi
夫子奔逸绝尘,fu'zi'ben'yi'jue'chen
夫子辩亦辩也,fu'zi'bian'yi'bian'ye
夫子不言而信,fu'zi'bu'yan'er'xin
夫子步亦步,fu'zi'bu'yi'bu
夫子步亦步也,fu'zi'bu'yi'bu'ye
夫子不欲乎,fu'zi'bu'yu'hu
夫子驰亦驰,fu'zi'chi'yi'chi
夫子驰亦驰也,fu'zi'chi'yi'chi'ye
夫子出于山,fu'zi'chu'yu'shan
夫子德配天地,fu'zi'de'pei'tian'di
夫子弗受,fu'zi'fu'shou
夫子固拙于用大矣,fu'zi'gu'zhuo'yu'yong'da'yi
夫子何不谭我于王,fu'zi'he'bu'tan'wo'yu'wang
夫子何故见之变容失色,fu'zi'he'gu'jian'zhi'bian'rong'shi'se
夫子何为顷间甚不庭乎,fu'zi'he'wei'qing'jian'shen'bu'ting'hu
夫子阖行邪,fu'zi'he'xing'xie
夫子胡不入乎,fu'zi'hu'bu'ru'hu
夫子见老聃,fu'zi'jian'lao'dan
夫子立而天下治,fu'zi'li'er'tian'xia'zhi
夫子乱人之性也,fu'zi'luan'ren'zhi'xing'ye
夫子其行可矣,fu'zi'qi'xing'ke'yi
夫子趋亦趋,fu'zi'qu'yi'qu
夫子趋亦趋也,fu'zi'qu'yi'qu'ye
夫子若欲使天下无失其牧乎,fu'zi'ruo'yu'shi'tian'xia'wu'shi'qi'mu'hu
夫子时也,fu'zi'shi'ye
夫子顺也,fu'zi'shun'ye
夫子所御杖,fu'zi'suo'yu'zhang
夫子贪生失理而为此乎,fu'zi'tan'sheng'shi'li'er'wei'ci'hu
夫子问于老聃曰,fu'zi'wen'yu'lao'dan'yue
夫子无所发予之狂言而死矣夫,fu'zi'wu'suo'fa'yu'zhi'kuang'yan'er'si'yi'fu
夫子无意于横目之民乎,fu'zi'wu'yi'yu'heng'mu'zhi'min'hu
夫子奚不时来入观乎,fu'zi'xi'bu'shi'lai'ru'guan'hu
夫自细视大者不尽,fu'zi'xi'shi'da'zhe'bu'jin
父子相亲,fu'zi'xiang'qin
夫子行不闲,fu'zi'xing'bu'xian
夫子休,fu'zi'xiu
夫子言道,fu'zi'yan'dao
夫子言亦言也,fu'zi'yan'yi'yan'ye
夫子亦放德而行,fu'zi'yi'fang'de'er'xing
夫子亦听矣,fu'zi'yi'ting'yi
夫子以为孟浪之言,fu'zi'yi'wei'meng'lang'zhi'yan
夫子有乎,fu'zi'you'hu
夫子有忧色,fu'zi'you'you'se
夫子欲藏书,fu'zi'yu'cang'shu
夫子曰,fu'zi'yue
夫子再逐于鲁,fu'zi'zai'zhu'yu'lu
夫子之问也,fu'zi'zhi'wen'ye
父子之宜,fu'zi'zhi'yi
夫醉者之坠车,fu'zui'zhe'zhi'zhui'che
夫尊卑先后,fu'zun'bei'xian'hou
夫尊古而卑今,fu'zun'gu'er'bei'jin
赅而存焉,gai'er'cun'yan
盖将甚敬而不急,gai'jiang'shen'jing'er'bu'ji
盖师是而无非,gai'shi'shi'er'wu'fei
盖有道之士也,gai'you'dao'zhi'shi'ye
肝胆楚越也,gan'dan'chu'yue'ye
感而后应,gan'er'hou'ying
甘井先竭,gan'jing'xian'jie
甘其食,gan'qi'shi
敢问,gan'wen
敢问何故,gan'wen'he'gu
敢问何谓也,gan'wen'he'wei'ye
敢问畸人,gan'wen'ji'ren
敢问临尸而歌,gan'wen'lin'shi'er'ge
敢问明王之治,gan'wen'ming'wang'zhi'zhi
敢问其方,gan'wen'qi'fang
敢问其故何也,gan'wen'qi'gu'he'ye
敢问天籁,gan'wen'tian'lai
敢问无受天损易,gan'wen'wu'shou'tian'sun'yi
敢问心斋,gan'wen'xin'zhai
敢问至道,gan'wen'zhi'dao
敢问至道之精,gan'wen'zhi'dao'zhi'jing
干余骨之沫为斯弥,gan'yu'gu'zhi'mo'wei'si'mi
感周之颡,gan'zhou'zhi'sang
膏火,gao'huo
高论怨诽,gao'lun'yuan'fei
高门县薄,gao'men'xian'bao
皋壤与,gao'rang'yu
告我,gao'wo
告之海曰,gao'zhi'hai'yue
各得其序,ge'de'qi'xu
各复其根,ge'fu'qi'gen
各复其根而不知,ge'fu'qi'gen'er'bu'zhi
割牲而盟以为信,ge'sheng'er'meng'yi'wei'xin
割也,ge'ye
各有仪则谓之性,ge'you'yi'ze'wei'zhi'xing
给数以敏,gei'shu'yi'min
绠短者不可以汲深,geng'duan'zhe'bu'ke'yi'ji'shen
哽而不止则,geng'er'bu'zhi'ze
耕而卤莽之,geng'er'lu'mang'zhi
耕而食,geng'er'shi
庚桑子闻之,geng'sang'zi'wen'zhi
庚桑子曰,geng'sang'zi'yue
庚桑子之始来,geng'sang'zi'zhi'shi'lai
更生则几矣,geng'sheng'ze'ji'yi
功成者堕,gong'cheng'zhe'duo
公反,gong'fan
公抚管仲之手曰,gong'fu'guan'zhong'zhi'shou'yue
功盖天下而似不自己,gong'gai'tian'xia'er'si'bu'zi'ji
共给之之谓安,gong'gei'zhi'zhi'wei'an
公固以为不然,gong'gu'yi'wei'bu'ran
共祭先祖,gong'ji'xian'zu
公即召而问以国事,gong'ji'zhao'er'wen'yi'guo'shi
恭俭推让,gong'jian'tui'rang
工匠之罪也,gong'jiang'zhi'zui'ye
功利机巧必忘夫人之心,gong'li'ji'qiao'bi'wang'fu'ren'zhi'xin
公密而不应,gong'mi'er'bu'ying
共其德也,gong'qi'de'ye
公器也,gong'qi'ye
功求成,gong'qiu'cheng
工人,gong'ren
躬身求之,gong'shen'qiu'zhi
公使人视之,gong'shi'ren'shi'zhi
公谁欲与,gong'shui'yu'yu
公孙龙口,gong'sun'long'kou
公孙龙问于魏牟曰,gong'sun'long'wen'yu'wei'mou'yue
工为商,gong'wei'shang
公文轩见右师而惊曰,gong'wen'xuan'jian'you'shi'er'jing'yue
公曰,gong'yue
公阅休奚为者邪,gong'yue'xiu'xi'wei'zhe'xie
公则自伤,gong'ze'zi'shang
公之所读者,gong'zhi'suo'du'zhe
公执席,gong'zhi'xi
公子牟隐机大息,gong'zi'mou'yin'ji'da'xi
公族也,gong'zu'ye
狗不以善吠为良,gou'bu'yi'shan'fei'wei'liang
苟得于道,gou'de'yu'dao
觏而多责,gou'er'duo'ze
钩饵罔罟罾笱之知多,gou'er'wang'gu'zeng'gou'zhi'zhi'duo
苟简,gou'jian
苟可得已,gou'ke'de'yi
诟索之而不得也,gou'suo'zhi'er'bu'de'ye
苟为不知其然也,gou'wei'bu'zhi'qi'ran'ye
苟有其实,gou'you'qi'shi
固不待师,gu'bu'dai'shi
固不待物,gu'bu'dai'wu
故不敢当其赏,gu'bu'gan'dang'qi'shang
故不敢伏其诛,gu'bu'gan'fu'qi'zhu
固不及质,gu'bu'ji'zhi
故不免也,gu'bu'mian'ye
故不为轩冕肆志,gu'bu'wei'xuan'mian'si'zhi
固不知子矣,gu'bu'zhi'zi'yi
故不终其天年而中道夭,gu'bu'zhong'qi'tian'nian'er'zhong'dao'yao
故不足以滑和,gu'bu'zu'yi'hua'he
故尝试论之,gu'chang'shi'lun'zhi
故出而不反,gu'chu'er'bu'fan
故纯朴不残,gu'chun'pu'bu'can
故辞,gu'ci
故辞而不受也,gu'ci'er'bu'shou'ye
故此皆多骈旁枝之道,gu'ci'jie'duo'pian'pang'zhi'zhi'dao
故此数子者,gu'ci'shu'zi'zhe
故怠,gu'dai
故德备,gu'de'bei
故得而不喜,gu'de'er'bu'xi
故德有所长而形有所忘,gu'de'you'suo'chang'er'xing'you'suo'wang
故德总乎道之所一,gu'de'zong'hu'dao'zhi'suo'yi
故帝王圣人休焉,gu'di'wang'sheng'ren'xiu'yan
固颠冥乎富贵之地,gu'dian'ming'hu'fu'gui'zhi'di
故动以百姓,gu'dong'yi'bai'xing
故伐树于宋,gu'fa'shu'yu'song
故法言曰,gu'fa'yan'yue
故伐之,gu'fa'zhi
故饭牛而牛肥,gu'fan'niu'er'niu'fei
故忿设无由,gu'fen'she'wu'you
故分也者,gu'fen'ye'zhe
故风化,gu'feng'hua
鼓腹而游,gu'fu'er'you
故服其殃,gu'fu'qi'yang
故夫三皇五帝之礼义法度,gu'fu'san'huang'wu'di'zhi'li'yi'fa'du
故俯仰而不得罪于人,gu'fu'yang'er'bu'de'zui'yu'ren
故夫知效一官,gu'fu'zhi'xiao'yi'guan
故夫子胥争之,gu'fu'zi'xu'zheng'zhi
鼓歌以,gu'ge'yi
故割之,gu'ge'zhi
鼓宫宫动,gu'gong'gong'dong
故古今不二,gu'gu'jin'bu'er
故古之人贵夫无为也,gu'gu'zhi'ren'gui'fu'wu'wei'ye
故古之王天下者,gu'gu'zhi'wang'tian'xia'zhe
故观之名,gu'guan'zhi'ming
故观之名则不见,gu'guan'zhi'ming'ze'bu'jian
故贵以身于为天下,gu'gui'yi'shen'yu'wei'tian'xia
故国治,gu'guo'zhi
故海不辞东流,gu'hai'bu'ci'dong'liu
故海内服,gu'hai'nei'fu
故合者不为骈,gu'he'zhe'bu'wei'pian
故或不言而饮人以和,gu'huo'bu'yan'er'yin'ren'yi'he
鼓荚播精,gu'jia'bo'jing
顾见孔子,gu'jian'kong'zi
鼓角角动,gu'jiao'jiao'dong
骨节与人同而犯害与人异,gu'jie'yu'ren'tong'er'fan'hai'yu'ren'yi
故解之以牛之白颡者,gu'jie'zhi'yi'niu'zhi'bai'sang'zhe
古今不代,gu'jin'bu'dai
古今非水陆与,gu'jin'fei'shui'lu'yu
故金石有声,gu'jin'shi'you'sheng
故静也,gu'jing'ye
故敬之而不喜,gu'jing'zhi'er'bu'xi
固扃,gu'jiong
故九窍者胎生,gu'jiu'qiao'zhe'tai'sheng
故九万里则风斯在下矣,gu'jiu'wan'li'ze'feng'si'zai'xia'yi
故举天下以赏其善者不足,gu'ju'tian'xia'yi'shang'qi'shan'zhe'bu'zu
故绝圣弃知,gu'jue'sheng'qi'zhi
故君子不得已而临莅天下,gu'jun'zi'bu'de'yi'er'lin'li'tian'xia
故君子苟能无解其五藏,gu'jun'zi'gou'neng'wu'jie'qi'wu'cang
故劳之,gu'lao'zhi
故乐通物,gu'le'tong'wu
故离此患也,gu'li'ci'huan'ye
故礼义法度者,gu'li'yi'fa'du'zhe
故两无为相合,gu'liang'wu'wei'xiang'he
故龙逢诛,gu'long'feng'zhu
故卤莽其性者,gu'lu'mang'qi'xing'zhe
故马之知而能至盗者,gu'ma'zhi'zhi'er'neng'zhi'dao'zhe
故满若堵耳而不知避,gu'man'ruo'du'er'er'bu'zhi'bi
故命之曰有巢氏之民,gu'ming'zhi'yue'you'chao'shi'zhi'min
故命之曰知生之民,gu'ming'zhi'yue'zhi'sheng'zhi'min
故莫若释之而不推,gu'mo'ruo'shi'zhi'er'bu'tui
故莫之能伤也,gu'mo'zhi'neng'shang'ye
故目之于明也殆,gu'mu'zhi'yu'ming'ye'dai
故乃肯见于寡人,gu'nai'ken'jian'yu'gua'ren
故内省而不穷于道,gu'nei'xing'er'bu'qiong'yu'dao
故能若是之寿,gu'neng'ruo'shi'zhi'shou
故能胜物而不伤,gu'neng'sheng'wu'er'bu'shang
故能物物,gu'neng'wu'wu
故鸟兽不厌高,gu'niao'shou'bu'yan'gao
故譬三皇五帝之礼义法度,gu'pi'san'huang'wu'di'zhi'li'yi'fa'du
故其德广,gu'qi'de'guang
故其德全而神不亏,gu'qi'de'quan'er'shen'bu'kui
故其好之也一,gu'qi'hao'zhi'ye'yi
故其君因其修以挤之,gu'qi'jun'yin'qi'xiu'yi'ji'zhi
故其灵台一而不桎,gu'qi'ling'tai'yi'er'bu'zhi
故其杀者,gu'qi'sha'zhe
故弃予而死,gu'qi'yu'er'si
故其与万物接也,gu'qi'yu'wan'wu'jie'ye
鼓琴曰,gu'qin'yue
鼓琴足以自娱,gu'qin'zu'yi'zi'yu
故群于人,gu'qun'yu'ren
故人喜,gu'ren'xi
古人有之,gu'ren'you'zhi
固人之所不免也,gu'ren'zhi'suo'bu'mian'ye
古人之糟粕已夫,gu'ren'zhi'zao'po'yi'fu
骨肉不葬,gu'rou'bu'zang
故若混逐丛生,gu'ruo'hun'zhu'cong'sheng
固若是芒乎,gu'ruo'shi'mang'hu
故若颜阖者,gu'ruo'yan'he'zhe
故三徙成都,gu'san'xi'cheng'du
故善吾生者,gu'shan'wu'sheng'zhe
故上悖日月之明,gu'shang'bei'ri'yue'zhi'ming
故深之又深而能物焉,gu'shen'zhi'you'shen'er'neng'wu'yan
故生而不说,gu'sheng'er'bu'shuo
故圣人观于天而不助,gu'sheng'ren'guan'yu'tian'er'bu'zhu
故圣人将游于物之所不得循而皆存,gu'sheng'ren'jiang'you'yu'wu'zhi'suo'bu'de'xun'er'jie'cun
故圣人其穷也,gu'sheng'ren'qi'qiong'ye
故圣人取象焉,gu'sheng'ren'qu'xiang'yan
故圣人行不言之教,gu'sheng'ren'xing'bu'yan'zhi'jiao
故圣人有所游,gu'sheng'ren'you'suo'you
故圣人之用兵也,gu'sheng'ren'zhi'yong'bing'ye
故视而可见者,gu'shi'er'ke'jian'zhe
故是非不得于身,gu'shi'fei'bu'de'yu'shen
故势为天子,gu'shi'wei'tian'zi
谷食之所生,gu'shi'zhi'suo'sheng
故书曰,gu'shu'yue
故水之守土也审,gu'shui'zhi'shou'tu'ye'shen
故四子之贤而身不免乎戮,gu'si'zi'zhi'xian'er'shen'bu'mian'hu'lu
故素也者,gu'su'ye'zhe
故岁成,gu'sui'cheng
故逃也,gu'tao'ye
故田成子有乎盗贼之名,gu'tian'cheng'zi'you'hu'dao'zei'zhi'ming
故天下大器也,gu'tian'xia'da'qi'ye
故天下归,gu'tian'xia'gui
故天下皆知求其所不知而莫知求其所已知者,gu'tian'xia'jie'zhi'qiu'qi'suo'bu'zhi'er'mo'zhi'qiu'qi'suo'yi'zhi'zhe
故天下每每大乱,gu'tian'xia'mei'mei'da'luan
故天下诱然皆生,gu'tian'xia'you'ran'jie'sheng
故天下之大不足以赏罚,gu'tian'xia'zhi'da'bu'zu'yi'shang'fa
故通于天地者,gu'tong'yu'tian'di'zhe
故推正不妄邪,gu'tui'zheng'bu'wang'xie
故外天地,gu'wai'tian'di
故万物备,gu'wan'wu'bei
故万物成,gu'wan'wu'cheng
故万物一也,gu'wan'wu'yi'ye
故往贷粟于监河侯,gu'wang'dai'su'yu'jian'he'hou
故往见之,gu'wang'jian'zhi
顾谓从者曰,gu'wei'cong'zhe'yue
故未免乎累,gu'wei'mian'hu'lei
故为是举莛与楹,gu'wei'shi'ju'ting'yu'ying
故围之,gu'wei'zhi
故未终其天年而中道之夭于斧斤,gu'wei'zhong'qi'tian'nian'er'zhong'dao'zhi'yao'yu'fu'jin
故我修身千二百岁矣,gu'wo'xiu'shen'qian'er'bai'sui'yi
故无攻战之乱,gu'wu'gong'zhan'zhi'luan
故无名,gu'wu'ming
故无所甚亲,gu'wu'suo'shen'qin
故无天灾,gu'wu'tian'zai
故无忧而已矣,gu'wu'you'er'yi'yi
故伍员流于江,gu'wu'yuan'liu'yu'jiang
故西施病心而颦其里,gu'xi'shi'bing'xin'er'pin'qi'li
故昔者尧问于舜曰,gu'xi'zhe'yao'wen'yu'shun'yue
故先圣不一其能,gu'xian'sheng'bu'yi'qi'neng
故贤者伏处大山,gu'xian'zhe'fu'chu'da'shan
故小而不寡,gu'xiao'er'bu'gua
故孝己忧而曾参悲,gu'xiao'ji'you'er'zeng'shen'bei
故心不忧乐,gu'xin'bu'you'le
故行不知所往,gu'xing'bu'zhi'suo'wang
故性长非所断,gu'xing'chang'fei'suo'duan
故形非道不生,gu'xing'fei'dao'bu'sheng
故许由娱于颖阳,gu'xu'you'yu'yu'ying'yang
故养志者忘形,gu'yang'zhi'zhe'wang'xing
故遥而不闷,gu'yao'er'bu'men
故尧非有人,gu'yao'fei'you'ren
故也,gu'ye
故异便,gu'yi'bian
故以坚白之昧终,gu'yi'jian'bai'zhi'mei'zhong
故以剑见王,gu'yi'jian'jian'wang
故意仁义其非人情乎,gu'yi'ren'yi'qi'fei'ren'qing'hu
故以是非相赍也,gu'yi'shi'fei'xiang'ji'ye
故一形有失其形者,gu'yi'xing'you'shi'qi'xing'zhe
故以众小不胜为大胜也,gu'yi'zhong'xiao'bu'sheng'wei'da'sheng'ye
固有不言之教,gu'you'bu'yan'zhi'jiao
古犹今也,gu'you'jin'ye
故有人者累,gu'you'ren'zhe'lei
故有儒墨之是非,gu'you'ru'mo'zhi'shi'fei
固有所不得已,gu'you'suo'bu'de'yi
故有亡国戮民无已,gu'you'wang'guo'lu'min'wu'yi
固有无其实而得其名者乎,gu'you'wu'qi'shi'er'de'qi'ming'zhe'hu
故有焱氏为之颂曰,gu'you'yan'shi'wei'zhi'song'yue
故余将去女,gu'yu'jiang'qu'nv
故寓诸无竟,gu'yu'zhu'wu'jing
故曰,gu'yue
故曰败,gu'yue'bai
故曰不同,gu'yue'bu'tong
故曰待公阅休,gu'yue'dai'gong'yue'xiu
固哉,gu'zai
故载之末年,gu'zai'zhi'mo'nian
故昭氏之不鼓琴也,gu'zhao'shi'zhi'bu'gu'qin'ye
故昭氏之鼓琴也,gu'zhao'shi'zhi'gu'qin'ye
故朝夕赋敛而毫毛不挫,gu'zhao'xi'fu'lian'er'hao'mao'bu'cuo
古者民不知衣服,gu'zhe'min'bu'zhi'yi'fu
古者禽兽多而人少,gu'zhe'qin'shou'duo'er'ren'shao
古者谓是采真之游,gu'zhe'wei'shi'cai'zhen'zhi'you
古者谓是帝之县解,gu'zhe'wei'shi'di'zhi'xian'jie
古者谓之遁天之刑,gu'zhe'wei'zhi'dun'tian'zhi'xing
瞽者无以与乎青黄黼黻之观,gu'zhe'wu'yi'yu'hu'qing'huang'fu'fu'zhi'guan
瞽者无以与乎文章之观,gu'zhe'wu'yi'yu'hu'wen'zhang'zhi'guan
鼓之,gu'zhi
古之畜天下者,gu'zhi'chu'tian'xia'zhe
古之存身者,gu'zhi'cun'shen'zhe
古之道也,gu'zhi'dao'ye
古之得道者,gu'zhi'de'dao'zhe
故至德之世,gu'zhi'de'zhi'shi
故执德之谓纪,gu'zhi'de'zhi'wei'ji
古之君人者,gu'zhi'jun'ren'zhe
古之君子,gu'zhi'jun'zi
古之人,gu'zhi'ren
古之人乎,gu'zhi'ren'hu
古之人外化而内不化,gu'zhi'ren'wai'hua'er'nei'bu'hua
古之人与其不可传也死矣,gu'zhi'ren'yu'qi'bu'ke'chuan'ye'si'yi
古之所大也,gu'zhi'suo'da'ye
古之所谓得志者,gu'zhi'suo'wei'de'zhi'zhe
古之所谓隐士者,gu'zhi'suo'wei'yin'shi'zhe
故知天乐者,gu'zhi'tian'le'zhe
故止也,gu'zhi'ye
古之有也,gu'zhi'you'ye
古之语大道者,gu'zhi'yu'da'dao'zhe
古之真人,gu'zhi'zhen'ren
古之治道者,gu'zhi'zhi'dao'zhe
故知止其所不知,gu'zhi'zhi'qi'suo'bu'zhi
古之至人,gu'zhi'zhi'ren
故跖之徒问于跖曰,gu'zhi'zhi'tu'wen'yu'zhi'yue
故逐于大盗,gu'zhu'yu'da'dao
故自无适有,gu'zi'wu'shi'you
故足以动人,gu'zu'yi'dong'ren
故足之于地也践,gu'zu'zhi'yu'di'ye'jian
寡不道以欢成,gua'bu'dao'yi'huan'cheng
瓜瓜,gua'gua
寡君之欲,gua'jun'zhi'yu
寡人不攫也,gua'ren'bu'jue'ye
寡人丑乎,gua'ren'chou'hu
寡人读书,gua'ren'du'shu
寡人恤焉若有亡也,gua'ren'xu'yan'ruo'you'wang'ye
寡人愿闻之,gua'ren'yuan'wen'zhi
寡人召而观之,gua'ren'zhao'er'guan'zhi
观古今之异,guan'gu'jin'zhi'yi
官施而不失其宜,guan'shi'er'bu'shi'qi'yi
官事果乎众宜,guan'shi'guo'hu'zhong'yi
观室者周于寝庙,guan'shi'zhe'zhou'yu'qin'miao
观天性形躯,guan'tian'xing'xing'qu
关尹曰,guan'yin'yue
观于大海,guan'yu'da'hai
观于大山,guan'yu'da'shan
观于天地之谓也,guan'yu'tian'di'zhi'wei'ye
观于浊水而迷于清渊,guan'yu'zhuo'shui'er'mi'yu'qing'yuan
观者如市,guan'zhe'ru'shi
冠枝木之冠,guan'zhi'mu'zhi'guan
官知止而神欲行,guan'zhi'zhi'er'shen'yu'xing
管仲有病,guan'zhong'you'bing
管仲御,guan'zhong'yu
管仲曰,guan'zhong'yue
广成子蹶然而起,guang'cheng'zi'jue'ran'er'qi
广成子南首而卧,guang'cheng'zi'nan'shou'er'wo
广成子曰,guang'cheng'zi'yue
广成子之谓天矣,guang'cheng'zi'zhi'wei'tian'yi
广广乎其无不容也,guang'guang'hu'qi'wu'bu'rong'ye
广乎其似世也,guang'hu'qi'si'shi'ye
广莫之野,guang'mo'zhi'ye
光曜不得问而孰视其状貌,guang'yao'bu'de'wen'er'shu'shi'qi'zhuang'mao
光曜问乎无有曰,guang'yao'wen'hu'wu'you'yue
光曜曰,guang'yao'yue
光矣而不耀,guang'yi'er'bu'yao
归到鲁东门外,gui'dao'lu'dong'men'wai
鬼得而诛之,gui'de'er'zhu'zhi
鬼恶能伤公,gui'e'neng'shang'gong
贵富显严名利六者,gui'fu'xian'yan'ming'li'liu'zhe
规规然自失也,gui'gui'ran'zi'shi'ye
诡幻怪之名闻,gui'huan'guai'zhi'ming'wen
贵贱不在己,gui'jian'bu'zai'ji
贵贱履位,gui'jian'lv'wei
贵贱无义,gui'jian'wu'yi
贵贱有时,gui'jian'you'shi
贵贱有义乎,gui'jian'you'yi'hu
贵贱之分,gui'jian'zhi'fen
桂可食,gui'ke'shi
贵人富商之家求禅傍者斩之,gui'ren'fu'shang'zhi'jia'qiu'chan'bang'zhe'zhan'zhi
鬼神不扰,gui'shen'bu'rao
鬼神将来舍,gui'shen'jiang'lai'she
归休乎君,gui'xiu'hu'jun
归亦捧心而颦其里,gui'yi'peng'xin'er'pin'qi'li
贵在于我而不失于变,gui'zai'yu'wo'er'bu'shi'yu'bian
归则下之,gui'ze'xia'zhi
龟至,gui'zhi
鬼之一也,gui'zhi'yi'ye
跪坐以进之,gui'zuo'yi'jin'zhi
果败而反,guo'bai'er'fan
果不乐邪,guo'bu'le'xie
果不足以得彼之情,guo'bu'zu'yi'de'bi'zhi'qing
国财并焉,guo'cai'bing'yan
过度益也,guo'du'yi'ye
过而弗悔,guo'er'fu'hui
裹饭而往食之,guo'fan'er'wang'shi'zhi
过扶摇之枝而适遭鸿蒙,guo'fu'yao'zhi'zhi'er'shi'zao'hong'meng
过汉阴,guo'han'yin
过惠子之墓,guo'hui'zi'zhi'mu
国爵并焉,guo'jue'bing'yan
郭内之田十亩,guo'nei'zhi'tian'shi'mu
果且无彼是乎哉,guo'qie'wu'bi'shi'hu'zai
果且无成与亏乎哉,guo'qie'wu'cheng'yu'kui'hu'zai
果且有彼是乎哉,guo'qie'you'bi'shi'hu'zai
果且有成与亏乎哉,guo'qie'you'cheng'yu'kui'hu'zai
果孰是邪,guo'shu'shi'xie
国衰,guo'shuai
国为虚厉,guo'wei'xu'li
国无宰,guo'wu'zai
过也,guo'ye
果以恶骇天下,guo'yi'e'hai'tian'xia
裹以四时,guo'yi'si'shi
果有乐无有哉,guo'you'le'wu'you'zai
果有名实,guo'you'ming'shi
过有宋之野,guo'you'song'zhi'ye
果有言邪,guo'you'yan'xie
过之,guo'zhi
过之而不守,guo'zhi'er'bu'shou
国之利器不可以示人,guo'zhi'li'qi'bu'ke'yi'shi'ren
还归,hai'gui
害民之始也,hai'min'zhi'shi'ye
海水震荡,hai'shui'zhen'dang
海运则将徙于南冥,hai'yun'ze'jiang'xi'yu'nan'ming
含哺而熙,han'bu'er'xi
汗流至踵,han'liu'zhi'zhong
寒暑,han'shu
寒暑弗能害,han'shu'fu'neng'hai
寒暑之和不成,han'shu'zhi'he'bu'cheng
韩魏为夹,han'wei'wei'jia
韩魏相与争侵地,han'wei'xiang'yu'zheng'qin'di
韩之轻于天下亦远矣,han'zhi'qing'yu'tian'xia'yi'yuan'yi
桁杨者相推也,hang'yang'zhe'xiang'tui'ye
行于万物者,hang'yu'wan'wu'zhe
号号,hao'hao
好和而恶奸,hao'he'er'e'jian
好面誉人者,hao'mian'yu'ren'zhe
蒿目而忧世之患,hao'mu'er'you'shi'zhi'huan
