阿爸父,a'ba'fu
从肉身生的就是肉身,cong'rou'shen'sheng'de'jiu'shi'rou'shen
从肉生,cong'rou'sheng
从上面召我,cong'shang'mian'zhao'wo
从神生,cong'shen'sheng
从圣灵怀孕,cong'sheng'ling'huai'yun
从圣灵生,cong'sheng'ling'sheng
从水和圣灵生,cong'shui'he'sheng'ling'sheng
从死里复活,cong'si'li'fu'huo
从死里复活升到高天,cong'si'li'fu'huo'sheng'dao'gao'tian
从死里复活升天,cong'si'li'fu'huo'sheng'tian
从死里首先复生的,cong'si'li'shou'xian'fu'sheng'de
从死亡走向永生,cong'si'wang'zou'xiang'yong'sheng
从天而降,cong'tian'er'jiang
从天父生,cong'tian'fu'sheng
从天降临,cong'tian'jiang'lin
从亚当生,cong'ya'dang'sheng
从影子看到实体,cong'ying'zi'kan'dao'shi'ti
从约伯的善里出来,cong'yue'bo'de'shan'li'chu'lai
从真道生,cong'zhen'dao'sheng
从罪恶里出来,cong'zui'e'li'chu'lai
从罪里得释放,cong'zui'li'de'shi'fang
促成的,cu'cheng'de
促成条件,cu'cheng'tiao'jian
促成一个律,cu'cheng'yi'ge'lv
存敬畏基督的心,cun'jing'wei'ji'du'de'xin
存留,cun'liu
存吗哪的罐,cun'ma'na'de'guan
存心,cun'xin
存心谦卑,cun'xin'qian'bei
存心顺服,cun'xin'shun'fu
存心温柔,cun'xin'wen'rou
存虚妄的心行事,cun'xu'wang'de'xin'xing'shi
存在心里,cun'zai'xin'li
存着不信的恶心,cun'zhe'bu'xin'de'e'xin
错谬,cuo'miu
错谬的,cuo'miu'de
大巴比伦,da'ba'bi'lun
大巴比伦城,da'ba'bi'lun'cheng
大巴比伦淫妇,da'ba'bi'lun'yin'fu
达成条件,da'cheng'tiao'jian
大得长进,da'de'zhang'jin
大功告成,da'gong'gao'cheng
搭救,da'jiu
大马色,da'ma'se
打那美好的仗,da'na'mei'hao'de'zhang
大难之中,da'nan'zhi'zhong
大能,da'neng
大能成就,da'neng'cheng'jiu
大能大力,da'neng'da'li
大逆不道,da'ni'bu'dao
大肉块,da'rou'kuai
大肉体,da'rou'ti
大卫,da'wei
大卫王,da'wei'wang
大淫妇,da'yin'fu
大有胆量,da'you'dan'liang
大哉,da'zai
大争战,da'zheng'zhan
大罪人,da'zui'ren
带出来,dai'chu'lai
代祷,dai'dao
代求,dai'qiu
歹人,dai'ren
代上,dai'shang
戴上救恩的头盔,dai'shang'jiu'en'de'tou'kui
带锁链的使者,dai'suo'lian'de'shi'zhe
代下,dai'xia
歹意,dai'yi
带罪之身,dai'zui'zhi'shen
但不,dan'bu
但不都,dan'bu'dou
但不都有益处,dan'bu'dou'you'yi'chu
但不都造就人,dan'bu'dou'zao'jiu'ren
胆大妄为,dan'da'wang'wei
担当,dan'dang
担当多人的罪,dan'dang'duo'ren'de'zui
担当了,dan'dang'le
担当了多人的罪,dan'dang'le'duo'ren'de'zui
单顾,dan'gu
单顾自己,dan'gu'zi'ji
单顾自己的事,dan'gu'zi'ji'de'shi
但我断不以别的夸口,dan'wo'duan'bu'yi'bie'de'kua'kou
耽延,dan'yan
耽延日久,dan'yan'ri'jiu
但要凡事察验,dan'yao'fan'shi'cha'yan
但以理,dan'yi'li
但以理书,dan'yi'li'shu
但愿,dan'yuan
当得,dang'de
当得的报应,dang'de'de'bao'ying
当惯了,dang'guan'le
当尽,dang'jin
当尽的本分,dang'jin'de'ben'fen
当看,dang'kan
当来的以利亚,dang'lai'de'yi'li'ya
当面一套背后一套,dang'mian'yi'tao'bei'hou'yi'tao
当纳,dang'na
当怕那杀了以后,dang'pa'na'sha'le'yi'hou
当受,dang'shou
当死,dang'si
当死的,dang'si'de
当下,dang'xia
当像,dang'xiang
当像智慧人,dang'xiang'zhi'hui'ren
当醒过来,dang'xing'guo'lai
当用,dang'yong
当用各样的智慧,dang'yong'ge'yang'de'zhi'hui
当主日,dang'zhu'ri
当作平常,dang'zuo'ping'chang
道成,dao'cheng
道成的肉身,dao'cheng'de'rou'shen
道成肉身,dao'cheng'rou'shen
祷告,dao'gao
刀剑,dao'jian
倒嚼,dao'jiao
倒嚼不分蹄,dao'jiao'bu'fen'ti
倒嚼却不分蹄,dao'jiao'que'bu'fen'ti
道就是神,dao'jiu'shi'shen
倒空,dao'kong
倒空认清,dao'kong'ren'qing
道理的模范,dao'li'de'mo'fan
道路,dao'lu
道路真理生命,dao'lu'zhen'li'sheng'ming
道上,dao'shang
倒塌的工程,dao'ta'de'gong'cheng
道同志合,dao'tong'zhi'he
倒喜爱不义,dao'xi'ai'bu'yi
倒喜爱不义的人,dao'xi'ai'bu'yi'de'ren
倒镶衬,dao'xiang'chen
道在肉身中显现,dao'zai'rou'shen'zhong'xian'xian
道在耶稣的肉身中显现,dao'zai'ye'su'de'rou'shen'zhong'xian'xian
得安慰,de'an'wei
的安慰,de'an'wei
的奥秘,de'ao'mi
得帮助,de'bang'zhu
的帮助,de'bang'zhu
的刺,de'ci
的错谬,de'cuo'miu
的道,de'dao
得的,de'de
得的基业,de'de'ji'ye
的殿,de'dian
的恶,de'e
的轭,de'e
的恩,de'en
的恩赐,de'en'ci
的恩典,de'en'dian
得福,de'fu
的父,de'fu
的福,de'fu
的复活,de'fu'huo
的福音,de'fu'yin
的工,de'gong
的工夫,de'gong'fu
的光,de'guang
的规条,de'gui'tiao
得国,de'guo
的国,de'guo
的过犯,de'guo'fan
得国回来,de'guo'hui'lai
得国降临,de'guo'jiang'lin
得果子,de'guo'zi
的果子,de'guo'zi
的话,de'hua
的基督,de'ji'du
的教导,de'jiao'dao
的教会,de'jiao'hui
的教训,de'jiao'xun
的诫命,de'jie'ming
得救,de'jiu
得救的,de'jiu'de
得救的福音,de'jiu'de'fu'yin
得救的根源,de'jiu'de'gen'yuan
得救的工夫,de'jiu'de'gong'fu
得救的盼望,de'jiu'de'pan'wang
得救的智慧,de'jiu'de'zhi'hui
的救恩,de'jiu'en
的救主,de'jiu'zhu
的拦阻,de'lan'zu
得了教育,de'le'jiao'yu
得力,de'li
得力量,de'li'liang
的力量,de'li'liang
得利益,de'li'yi
的灵,de'ling
的律,de'lv
的律法,de'lv'fa
的马利亚,de'ma'li'ya
的门,de'men
得蒙,de'meng
得蒙保守,de'meng'bao'shou
得蒙救赎,de'meng'jiu'shu
的名,de'ming
得便宜,de'pian'yi
得平安,de'ping'an
的情欲,de'qing'yu
的人,de'ren
得荣耀,de'rong'yao
的荣耀,de'rong'yao
的善,de'shan
得赦,de'she
的神,de'shen
得生,de'sheng
得胜,de'sheng
得胜的,de'sheng'de
得胜的权势,de'sheng'de'quan'shi
得胜的生命,de'sheng'de'sheng'ming
得胜了,de'sheng'le
的圣灵,de'sheng'ling
得生命,de'sheng'ming
的生命,de'sheng'ming
的世代,de'shi'dai
得释放,de'shi'fang
得守,de'shou
得赎,de'shu
的死,de'si
得祂荣耀,de'ta'rong'yao
得为业,de'wei'ye
得为业之地,de'wei'ye'zhi'di
的洗,de'xi
得享,de'xiang
的鞋,de'xie
得些果子,de'xie'guo'zi
的血,de'xue
的样式,de'yang'shi
的样子,de'yang'zi
的耶稣,de'ye'su
的耶稣基督,de'ye'su'ji'du
的义,de'yi
得益处,de'yi'chu
的异端,de'yi'duan
得以见主,de'yi'jian'zhu
得以赦免,de'yi'she'mian
得以坦然进入至圣所,de'yi'tan'ran'jin'ru'zhi'sheng'suo
得以同为后嗣,de'yi'tong'wei'hou'si
得以完全,de'yi'wan'quan
得以在义上活,de'yi'zai'yi'shang'huo
得以自由,de'yi'zi'you
的约,de'yue
得着,de'zhao
得着儿子的名分,de'zhao'er'zi'de'ming'fen
得着口才,de'zhao'kou'cai
得着能力,de'zhao'neng'li
得着荣耀,de'zhao'rong'yao
得知,de'zhi
得知真道,de'zhi'zhen'dao
得住,de'zhu
的主,de'zhu
得自由,de'zi'you
的罪,de'zui
等到那拦阻的被除去,deng'dao'na'lan'zu'de'bei'chu'qu
等候,deng'hou
等候硫磺火湖,deng'hou'liu'huang'huo'hu
等候神儿子降临,deng'hou'shen'er'zi'jiang'lin
等候死,deng'hou'si
等候祂儿子从天降临,deng'hou'ta'er'zi'cong'tian'jiang'lin
等类,deng'lei
登山宝训,deng'shan'bao'xun
灯台,deng'tai
等于卖给罪了,deng'yu'mai'gei'zui'le
等于住在肉体里,deng'yu'zhu'zai'rou'ti'li
抵挡,di'dang
抵挡仇敌,di'dang'chou'di
抵挡到流血的地步,di'dang'dao'liu'xue'de'di'bu
抵挡救恩,di'dang'jiu'en
抵挡真道,di'dang'zhen'dao
抵挡真理,di'dang'zhen'li
抵挡主,di'dang'zhu
地底下,di'di'xia
第二次搭救义人,di'er'ci'da'jiu'yi'ren
第二次再来,di'er'ci'zai'lai
地方话,di'fang'hua
地极,di'ji
敌基督,di'ji'du
籴粮,di'liang
地上的事,di'shang'de'shi
地上的肢体,di'shang'de'zhi'ti
弟兄们,di'xiong'men
弟兄姊妹,di'xiong'zi'mei
第一次,di'yi'ci
第一次没洗净,di'yi'ci'mei'xi'jing
第一次召罪人,di'yi'ci'zhao'zui'ren
第一次拯救罪人,di'yi'ci'zheng'jiu'zui'ren
第一要为万人恳求,di'yi'yao'wei'wan'ren'ken'qiu
地窨子,di'yin'zi
地狱里,di'yu'li
敌正道,di'zheng'dao
敌正道的事,di'zheng'dao'de'shi
惦记,dian'ji
玷辱,dian'ru
典章,dian'zhang
掉队,diao'dui
掉队了,diao'dui'le
跌倒,die'dao
跌人,die'ren
跌人的磐石,die'ren'de'pan'shi
跌人的石头,die'ren'de'shi'tou
跌在绊脚石上,die'zai'ban'jiao'shi'shang
钉十字架,ding'shi'zi'jia
钉死,ding'si
钉死祂,ding'si'ta
定死罪,ding'si'zui
定他们的罪就在此,ding'ta'men'de'zui'jiu'zai'ci
定向,ding'xiang
定意,ding'yi
钉在十字架上,ding'zai'shi'zi'jia'shang
定自己的罪,ding'zi'ji'de'zui
定罪,ding'zui
定罪的钩,ding'zui'de'gou
定罪的路,ding'zui'de'lu
定罪的权势,ding'zui'de'quan'shi
定罪的执事,ding'zui'de'zhi'shi
丢弃良心,diu'qi'liang'xin
丢在火里,diu'zai'huo'li
东方闪电,dong'fang'shan'dian
动了善工,dong'le'shan'gong
动了淫念,dong'le'yin'nian
动淫念,dong'yin'nian
都被定罪,dou'bei'ding'zui
都必,dou'bi
都不可让人论断你们,dou'bu'ke'rang'ren'lun'duan'ni'men
都不要发怨言,dou'bu'yao'fa'yuan'yan
都成了圣洁,dou'cheng'le'sheng'jie
都成为一了,dou'cheng'wei'yi'le
斗底下,dou'di'xia
都服在,dou'fu'zai
豆腐渣,dou'fu'zha
豆腐渣工程,dou'fu'zha'gong'cheng
都归给,dou'gui'gei
都可以破,dou'ke'yi'po
都灭在地狱里的,dou'mie'zai'di'yu'li'de
都圈在罪里,dou'quan'zai'zui'li
都是白昼之子,dou'shi'bai'zhou'zhi'zi
都是被咒诅的,dou'shi'bei'zhou'zu'de
都是出于神,dou'shi'chu'yu'shen
都是披戴基督了,dou'shi'pi'dai'ji'du'le
都是神的儿子,dou'shi'shen'de'er'zi
都是神在你们心里运行,dou'shi'shen'zai'ni'men'xin'li'yun'xing
都是徒然的吗,dou'shi'tu'ran'de'ma
都死了,dou'si'le
都要成全,dou'yao'cheng'quan
都要从心里作,dou'yao'cong'xin'li'zuo
都要奉主耶稣的名,dou'yao'feng'zhu'ye'su'de'ming
都要坚守,dou'yao'jian'shou
都因神的道和人的祈求,dou'yin'shen'de'dao'he'ren'de'qi'qiu
都作信徒的榜样,dou'zuo'xin'tu'de'bang'yang
毒钩,du'gou
毒钩的路,du'gou'de'lu
毒恨,du'hen
读经,du'jing
堵人口,du'ren'kou
堵塞,du'se
毒蛇,du'she
毒蛇的种类,du'she'de'zhong'lei
独树一帜,du'shu'yi'zhi
毒死,du'si
笃信不疑,du'xin'bu'yi
毒药丸,du'yao'wan
毒液,du'ye
独一,du'yi
独一的神,du'yi'de'shen
堵住,du'zhu
断不能,duan'bu'neng
断不能进天国,duan'bu'neng'jin'tian'guo
断乎,duan'hu
断乎不是,duan'hu'bu'shi
断绝,duan'jue
段章,duan'zhang
断章取义,duan'zhang'qu'yi
端正,duan'zheng
对唱,dui'chang
对称,dui'chen
对垒,dui'lei
多次赦,duo'ci'she
多次献,duo'ci'xian
多而又多,duo'er'you'duo
多国之父,duo'guo'zhi'fu
多马,duo'ma
多受责打,duo'shou'ze'da
多作主工,duo'zuo'zhu'gong
俄备得,e'bei'de
恶道,e'dao
恶毒,e'du
恶极,e'ji
俄梅戛,e'mei'jia
恶魔,e'mo
恶仆,e'pu
恶人,e'ren
恶事,e'shi
恶信,e'xin
恶心,e'xin
恶行,e'xing
恶言,e'yan
恶言恶语,e'yan'e'yu
恶言攻击,e'yan'gong'ji
恶欲,e'yu
恶语,e'yu
恶者,e'zhe
恩慈,en'ci
恩赐,en'ci
恩典,en'dian
恩典里,en'dian'li
恩典下,en'dian'xia
恩典彰显神的慈爱,en'dian'zhang'xian'shen'de'ci'ai
恩典之下,en'dian'zhi'xia
恩典之中,en'dian'zhi'zhong
恩典中,en'dian'zhong
恩典中的赏赐,en'dian'zhong'de'shang'ci
恩感,en'gan
恩膏,en'gao
恩上加恩,en'shang'jia'en
恩召,en'zhao
而变化,er'bian'hua
而死,er'si
而行,er'xing
儿子的名分,er'zi'de'ming'fen
儿子与奴仆分开,er'zi'yu'nu'pu'fen'kai
而作的,er'zuo'de
发动,fa'dong
法度,fa'du
法官,fa'guan
法柜,fa'gui
法勒斯,fa'le'si
法利赛人,fa'li'sai'ren
发芽的杖,fa'ya'de'zhang
发怨言,fa'yuan'yan
凡被造的,fan'bei'zao'de
反驳,fan'bo
凡不常照,fan'bu'chang'zhao
反道,fan'dao
翻道,fan'dao
反倒叫我死,fan'dao'jiao'wo'si
反倒虚己,fan'dao'xu'ji
反得,fan'de
反得永生,fan'de'yong'sheng
凡犯罪,fan'fan'zui
凡犯罪的就是违背律法,fan'fan'zui'de'jiu'shi'wei'bei'lv'fa
燔祭,fan'ji
犯奸淫,fan'jian'yin
反教,fan'jiao
犯了,fan'le
犯律法,fan'lv'fa
犯律法就是犯罪,fan'lv'fa'jiu'shi'fan'zui
反去讲虚浮的话,fan'qu'jiang'xu'fu'de'hua
凡神所造的物,fan'shen'suo'zao'de'wu
凡神所造的物都是好的,fan'shen'suo'zao'de'wu'dou'shi'hao'de
凡事,fan'shi
凡事包容,fan'shi'bao'rong
凡事不可结党,fan'shi'bu'ke'jie'dang
凡事不怕敌人的惊吓,fan'shi'bu'pa'di'ren'de'jing'xia
凡事察验,fan'shi'cha'yan
凡事祷告,fan'shi'dao'gao
凡事都可行,fan'shi'dou'ke'xing
凡事都能作,fan'shi'dou'neng'zuo
凡事富足,fan'shi'fu'zu
凡事盼望,fan'shi'pan'wang
凡事忍耐,fan'shi'ren'nai
凡事相信,fan'shi'xiang'xin
凡事谢恩,fan'shi'xie'en
凡事长进,fan'shi'zhang'jin
凡事忠心,fan'shi'zhong'xin
凡属,fan'shu
凡属基督耶稣的人,fan'shu'ji'du'ye'su'de'ren
凡所领受的教训,fan'suo'ling'shou'de'jiao'xun
凡所行的,fan'suo'xing'de
凡所行的都不要发怨言,fan'suo'xing'de'dou'bu'yao'fa'yuan'yan
返问古道,fan'wen'gu'dao
凡有血气的,fan'you'xue'qi'de
犯罪的,fan'zui'de
犯罪的人,fan'zui'de'ren
犯罪的是属魔鬼,fan'zui'de'shi'shu'mo'gui
犯罪了怎么办,fan'zui'le'zen'me'ban
妨碍,fang'ai
防备,fang'bei
防备犬类,fang'bei'quan'lei
防备妄自行割的,fang'bei'wang'zi'xing'ge'de
防备作恶的,fang'bei'zuo'e'de
放胆,fang'dan
放胆讲论,fang'dan'jiang'lun
放胆无惧,fang'dan'wu'ju
放荡,fang'dang
房角,fang'jiao
房角石,fang'jiao'shi
放开胆量,fang'kai'dan'liang
放肆,fang'si
放纵,fang'zong
放纵情欲,fang'zong'qing'yu
放纵肉体的私欲,fang'zong'rou'ti'de'si'yu
废掉,fei'diao
废掉律法,fei'diao'lv'fa
废掉他,fei'diao'ta
废掉冤仇,fei'diao'yuan'chou
非拉铁非,fei'la'tie'fei
腓力,fei'li
腓立比书,fei'li'bi'shu
腓利门,fei'li'men
腓利门书,fei'li'men'shu
废弃神与我所立的约,fei'qi'shen'yu'wo'suo'li'de'yue
废去,fei'qu
非守不可,fei'shou'bu'ke
非死不可,fei'si'bu'ke
非同,fei'tong
非因律法,fei'yin'lv'fa
非因律法就不知何为罪,fei'yin'lv'fa'jiu'bu'zhi'he'wei'zui
分瓣,fen'ban
分辨,fen'bian
分辨善恶,fen'bian'shan'e
分别善恶,fen'bie'shan'e
分别善恶的律,fen'bie'shan'e'de'lv
分别善恶树,fen'bie'shan'e'shu
分别善恶树的果子,fen'bie'shan'e'shu'de'guo'zi
分别善恶树就是律法,fen'bie'shan'e'shu'jiu'shi'lv'fa
分别是非,fen'bie'shi'fei
分别为圣,fen'bie'wei'sheng
分赐,fen'ci
分赐给各人,fen'ci'gei'ge'ren
分开,fen'kai
分门,fen'men
分门结党,fen'men'jie'dang
忿怒,fen'nu
分蹄,fen'ti
分蹄不倒嚼,fen'ti'bu'dao'jiao
分蹄倒嚼,fen'ti'dao'jiao
分蹄却不倒嚼,fen'ti'que'bu'dao'jiao
粪土,fen'tu
分心,fen'xin
分争,fen'zheng
纷争,fen'zheng
丰丰富富,feng'feng'fu'fu
丰丰足足,feng'feng'zu'zu
丰富的恩典,feng'fu'de'en'dian
丰富的怜悯,feng'fu'de'lian'min
奉父子圣灵的名,feng'fu'zi'sheng'ling'de'ming
奉割礼的人,feng'ge'li'de'ren
奉派,feng'pai
丰盛,feng'sheng
奉献,feng'xian
奉召,feng'zhao
奉主耶稣的名,feng'zhu'ye'su'de'ming
父啊,fu'a
服从,fu'cong
服从那,fu'cong'na
俯伏,fu'fu
复活,fu'huo
复活的大能,fu'huo'de'da'neng
复活的生命,fu'huo'de'sheng'ming
复活了,fu'huo'le
复活在我生命也在我,fu'huo'zai'wo'sheng'ming'ye'zai'wo
复临安息日会异端,fu'lin'an'xi'ri'hui'yi'duan
复临安息日异端,fu'lin'an'xi'ri'yi'duan
服气,fu'qi
妇人,fu'ren
父神,fu'shen
复生,fu'sheng
服侍,fu'shi
复苏,fu'su
复兴,fu'xing
服役的灵,fu'yi'de'ling
福音,fu'yin
福音的奥秘,fu'yin'de'ao'mi
福音的内容,fu'yin'de'nei'rong
福音的盼望,fu'yin'de'pan'wang
福音的起头,fu'yin'de'qi'tou
福音的真理,fu'yin'de'zhen'li
福音的执事,fu'yin'de'zhi'shi
福音兴旺,fu'yin'xing'wang
福音真理,fu'yin'zhen'li
福音真理的道,fu'yin'zhen'li'de'dao
服在,fu'zai
扶助,fu'zhu
扶助软弱的人,fu'zhu'ruan'ruo'de'ren
夫子,fu'zi
斧子,fu'zi
改换一新,gai'huan'yi'xin
改良改善,gai'liang'gai'shan
该效法,gai'xiao'fa
该隐,gai'yin
该隐的恶,gai'yin'de'e
该隐的坏,gai'yin'de'huai
该隐杀亲弟弟,gai'yin'sha'qin'di'di
该隐杀亲属,gai'yin'sha'qin'shu
该隐是杀人,gai'yin'shi'sha'ren
赶不上,gan'bu'shang
赶不上趟,gan'bu'shang'tang
感恩节,gan'en'jie
干犯,gan'fan
干犯律法,gan'fan'lv'fa
干犯摩西的律法,gan'fan'mo'xi'de'lv'fa
赶鬼,gan'gui
感谢神,gan'xie'shen
感谢天父,gan'xie'tian'fu
感谢着领受的,gan'xie'zhe'ling'shou'de
感谢主,gan'xie'zhu
甘心乐意,gan'xin'le'yi
甘心施舍,gan'xin'shi'she
刚强壮胆,gang'qiang'zhuang'dan
刚硬,gang'ying
刚硬不悔改的心,gang'ying'bu'hui'gai'de'xin
高举,gao'ju
高举基督,gao'ju'ji'du
高利,gao'li
膏立至圣者,gao'li'zhi'sheng'zhe
高声欢呼,gao'sheng'huan'hu
高抬自己,gao'tai'zi'ji
高谈阔论,gao'tan'kuo'lun
高天,gao'tian
羔羊,gao'yang
羔羊的血,gao'yang'de'xue
各按各职,ge'an'ge'zhi
各按其职,ge'an'qi'zhi
各从其类,ge'cong'qi'lei
隔断的墙,ge'duan'de'qiang
各房,ge'fang
各房靠祂联络得合式,ge'fang'kao'ta'lian'luo'de'he'shi
歌斐木,ge'fei'mu
各教会,ge'jiao'hui
各尽其职,ge'jin'qi'zhi
隔绝,ge'jue
隔开,ge'kai
割礼,ge'li
革利免,ge'li'mian
歌罗西书,ge'luo'xi'shu
各人,ge'ren
各人不要单顾自己的事,ge'ren'bu'yao'dan'gu'zi'ji'de'shi
各人的重担要互相担当,ge'ren'de'zhong'dan'yao'hu'xiang'dan'dang
各人看别人比自己强,ge'ren'kan'bie'ren'bi'zi'ji'qiang
歌颂神,ge'song'shen
各体,ge'ti
各体的功用彼此相助,ge'ti'de'gong'yong'bi'ci'xiang'zhu
各样的恶事,ge'yang'de'e'shi
各样的恶事要禁戒不作,ge'yang'de'e'shi'yao'jin'jie'bu'zuo
各样的异端,ge'yang'de'yi'duan
各样的智慧,ge'yang'de'zhi'hui
各样见识,ge'yang'jian'shi
各样洗礼,ge'yang'xi'li
各自为派,ge'zi'wei'pai
给我们守,gei'wo'men'shou
给瞎子领略的,gei'xia'zi'ling'lue'de
跟不上趟了,gen'bu'shang'tang'le
根除罪,gen'chu'zui
跟从,gen'cong
跟从耶稣走,gen'cong'ye'su'zou
跟从主,gen'cong'zhu
跟从主的,gen'cong'zhu'de
亘古,gen'gu
根基,gen'ji
根基上,gen'ji'shang
根基稳固,gen'ji'wen'gu
根基扎在,gen'ji'zha'zai
跟奴仆毫无分别,gen'nu'pu'hao'wu'fen'bie
跟奴仆没有分别,gen'nu'pu'mei'you'fen'bie
跟奴仆一样,gen'nu'pu'yi'yang
根深蒂固,gen'shen'di'gu
根源,gen'yuan
更不在该隐的恶里,geng'bu'zai'gai'yin'de'e'li
更不在该隐的坏里,geng'bu'zai'gai'yin'de'huai'li
更改,geng'gai
更加勉励,geng'jia'mian'li
更坚固,geng'jian'gu
更美,geng'mei
更美的复活,geng'mei'de'fu'huo
更美的祭物,geng'mei'de'ji'wu
更美的奖赏,geng'mei'de'jiang'shang
更美的荣耀,geng'mei'de'rong'yao
更美的约,geng'mei'de'yue
更美的指望,geng'mei'de'zhi'wang
更美之约,geng'mei'zhi'yue
更美之约的应许,geng'mei'zhi'yue'de'ying'xu
更是坚固律法,geng'shi'jian'gu'lv'fa
更是叫,geng'shi'jiao
更是叫福音兴旺,geng'shi'jiao'fu'yin'xing'wang
更是顺服的,geng'shi'shun'fu'de
更是信徒的救主,geng'shi'xin'tu'de'jiu'zhu
更完全的地步,geng'wan'quan'de'di'bu
更为宝贵,geng'wei'bao'gui
攻不可破,gong'bu'ke'po
工程完结,gong'cheng'wan'jie
工程完结了,gong'cheng'wan'jie'le
工夫,gong'fu
工夫的果子,gong'fu'de'guo'zi
供给,gong'ji
攻击我们,gong'ji'wo'men
公牛,gong'niu
公山羊,gong'shan'yang
公义,gong'yi
公义当作护心镜遮胸,gong'yi'dang'zuo'hu'xin'jing'zhe'xiong
公义的冠冕,gong'yi'de'guan'mian
构成条件,gou'cheng'tiao'jian
构成一个律,gou'cheng'yi'ge'lv
构建条件,gou'jian'tiao'jian
够损的,gou'sun'de
狗套,gou'tao
勾引,gou'yin
勾引人入教,gou'yin'ren'ru'jiao
鼓包了,gu'bao'le
古道,gu'dao
雇工,gu'gong
骨节,gu'jie
顾念,gu'nian
顾念别人的事,gu'nian'bie'ren'de'shi
顾念不见的,gu'nian'bu'jian'de
顾念的是工价,gu'nian'de'shi'gong'jia
顾念工价,gu'nian'gong'jia
顾念所不见,gu'nian'suo'bu'jian
顾念所不见的,gu'nian'suo'bu'jian'de
顾念永远的,gu'nian'yong'yuan'de
固守,gu'shou
固守真道的奥秘,gu'shou'zhen'dao'de'ao'mi
骨髓,gu'sui
故意犯罪,gu'yi'fan'zui
故意谦虚,gu'yi'qian'xu
骨中的骨肉中的肉,gu'zhong'de'gu'rou'zhong'de'rou
卦金,gua'jin
挂虑,gua'lv
挂念你们,gua'nian'ni'men
挂在木头上,gua'zai'mu'tou'shang
贯乎,guan'hu
贯乎众人之中,guan'hu'zhong'ren'zhi'zhong
管教,guan'jiao
冠冕,guan'mian
管辖这幽暗世界的,guan'xia'zhe'you'an'shi'jie'de
光暗分开,guang'an'fen'kai
光明的子女,guang'ming'de'zi'nv
光明洁白的细麻衣,guang'ming'jie'bai'de'xi'ma'yi
光明所结的果子,guang'ming'suo'jie'de'guo'zi
光明之子,guang'ming'zhi'zi
光体,guang'ti
光照以后,guang'zhao'yi'hou
归到,gui'dao
归给,gui'gei
归给那信的人,gui'gei'na'xin'de'ren
归回,gui'hui
诡计多端,gui'ji'duo'duan
鬼魔,gui'mo
鬼魔的道理,gui'mo'de'dao'li
归荣耀,gui'rong'yao
归入,gui'ru
归属,gui'shu
规条,gui'tiao
归为一体,gui'wei'yi'ti
归向,gui'xiang
归向神,gui'xiang'shen
归耶和华为圣,gui'ye'he'hua'wei'sheng
归义,gui'yi
归于,gui'yu
归在,gui'zai
诡诈,gui'zha
归正,gui'zheng
归正自己的行为,gui'zheng'zi'ji'de'xing'wei
归罪,gui'zui
过犯,guo'fan
过犯得以赦免,guo'fan'de'yi'she'mian
过红海,guo'hong'hai
过红海走干地,guo'hong'hai'zou'gan'di
过去完成式,guo'qu'wan'cheng'shi
果效,guo'xiao
过约但河,guo'yue'dan'he
过重,guo'zhong
哈利路亚,ha'li'lu'ya
还靠,hai'kao
还靠肉身成全吗,hai'kao'rou'shen'cheng'quan'ma
还能站立得住,hai'neng'zhan'li'de'zhu
孩童,hai'tong
还喜欢别人去行,hai'xi'huan'bie'ren'qu'xing
还要归回那,hai'yao'gui'hui'na
还要救你脱离肉体,hai'yao'jiu'ni'tuo'li'rou'ti
还在罪里,hai'zai'zui'li
含怒,han'nu
行过,hang'guo
好除掉罪,hao'chu'diao'zui
好得无比,hao'de'wu'bi
好管家,hao'guan'jia
好好管理自己的家,hao'hao'guan'li'zi'ji'de'jia
好牧人,hao'mu'ren
好事做多了,hao'shi'zuo'duo'le
好树,hao'shu
号咷,hao'tao
号咷大哭,hao'tao'da'ku
号筒,hao'tong
号筒吹响,hao'tong'chui'xiang
毫无,hao'wu
毫无玷污,hao'wu'dian'wu
毫无分别,hao'wu'fen'bie
毫无功效,hao'wu'gong'xiao
毫无瑕疵,hao'wu'xia'ci
好像明光照耀,hao'xiang'ming'guang'zhao'yao
好像夜间的贼一样,hao'xiang'ye'jian'de'zei'yi'yang
好意,hao'yi
好执事,hao'zhi'shi
和别人一样,he'bie'ren'yi'yang
合并,he'bing
合并同类项,he'bing'tong'lei'xiang
合城,he'cheng
合城的人,he'cheng'de'ren
何等,he'deng
何等丰盛的荣耀,he'deng'feng'sheng'de'rong'yao
何等浩大,he'deng'hao'da
何等人,he'deng'ren
合二为一,he'er'wei'yi
合乎,he'hu
合乎人的理,he'hu'ren'de'li
合乎中道,he'hu'zhong'dao
和平的君,he'ping'de'jun
合人的理,he'ren'de'li
合式,he'shi
合一,he'yi
和一切受人敬拜的,he'yi'qie'shou'ren'jing'bai'de
和一切虚假的奇事,he'yi'qie'xu'jia'de'qi'shi
和主永远同在,he'zhu'yong'yuan'tong'zai
黑暗的权势,hei'an'de'quan'shi
黑暗权势,hei'an'quan'shi
黑暗中人的光,hei'an'zhong'ren'de'guang
很多律碰不得,hen'duo'lv'peng'bu'de
很多律碰不得的,hen'duo'lv'peng'bu'de'de
恨恶,hen'e
恨恶自己,hen'e'zi'ji
恨恶自己的生命,hen'e'zi'ji'de'sheng'ming
恒久,heng'jiu
