嗳腐,ai'fu
阳盛格阴,yang'sheng'ge'yin
阳事,yang'shi
阳痿,yang'wei
阳痫,yang'xian
养心,yang'xin
阳虚,yang'xu
阳虚水泛,yang'xu'shui'fan
疡医,yang'yi
养阴,yang'yin
阳证,yang'zheng
阳证治阴,yang'zheng'zhi'yin
阳中求阴,yang'zhong'qiu'yin
医案,yi'an
异病同治,yi'bing'tong'zhi
医话,yi'hua
益火之源,yi'huo'zhi'yuan
一剂,yi'ji
以降为顺,yi'jiang'wei'shun
遗精,yi'jing
医经,yi'jing
疫咳,yi'ke
医淋,yi'lin
遗尿,yi'niao
噫气,yi'qi
益气,yi'qi
噫气不出,yi'qi'bu'chu
益气生津,yi'qi'sheng'jin
益胃,yi'wei
以消阴翳,yi'xiao'yin'yi
一阳,yi'yang
一阴,yi'yin
益阴,yi'yin
以制阳光,yi'zhi'yang'guang
阴闭,yin'bi
阴病治阳,yin'bing'zhi'yang
因病致郁,yin'bing'zhi'yu
因寒生湿,yin'han'sheng'shi
因寒生燥,yin'han'sheng'zao
阴户,yin'hu
阴黄,yin'huang
阴结,yin'jie
阴筋,yin'jin
阴疽,yin'ju
阴厥,yin'jue
阴绝,yin'jue
阴亏火旺,yin'kui'huo'wang
阴脉之海,yin'mai'zhi'hai
阴门,yin'men
阴平阳秘,yin'ping'yang'mi
阴器,yin'qi
阴气与阳气,yin'qi'yu'yang'qi
因热生火,yin're'sheng'huo
因热生湿,yin're'sheng'shi
因热生燥,yin're'sheng'zao
阴盛格阳,yin'sheng'ge'yang
阴水,yin'shui
阴缩,yin'suo
阴挺,yin'ting
阴脱,yin'tuo
阴痿,yin'wei
阴虚,yin'xu
阴虚发热,yin'xu'fa're
阴虚肝旺,yin'xu'gan'wang
阴虚火旺,yin'xu'huo'wang
阴虚阳亢,yin'xu'yang'kang
阴阳,yin'yang
阴痒,yin'yang
阴阳并竭,yin'yang'bing'jie
阴阳乖戾,yin'yang'guai'li
阴阳互根,yin'yang'hu'gen
阴阳俱虚,yin'yang'ju'xu
阴阳离决,yin'yang'li'jue
阴阳消长,yin'yang'xiao'zhang
阴阳转化,yin'yang'zhuan'hua
阴阳自和,yin'yang'zi'he
阴液,yin'ye
阴液亏损,yin'ye'kui'sun
因郁致病,yin'yu'zhi'bing
阴证,yin'zheng
阴证水肿,yin'zheng'shui'zhong
阴证治阳,yin'zheng'zhi'yang
阴中求阳,yin'zhong'qiu'yang
阴浊,yin'zhuo
瘿病,ying'bing
营分证,ying'fen'zheng
瘿瘤,ying'liu
营气,ying'qi
涌吐,yong'tu
由表入里,you'biao'ru'li
由里出表,you'li'chu'biao
育阴,yu'yin
郁证,yu'zheng
元府,yuan'fu
元气,yuan'qi
原气,yuan'qi
元神之府,yuan'shen'zhi'fu
月经后期,yue'jing'hou'qi
月经先期,yue'jing'xian'qi
月事,yue'shi
脏腑,zang'fu
脏腑学说,zang'fu'xue'shuo
脏燥证,zang'zao'zheng
燥火,zao'huo
燥剂,zao'ji
燥结,zao'jie
燥热,zao're
燥湿,zao'shi
燥矢,zao'shi
燥湿化痰,zao'shi'hua'tan
燥邪,zao'xie
增液,zeng'ye
痄腮,zha'sai
谵语,zhan'yu
爪为筋之余,zhao'wei'jin'zhi'yu
镇肝,zhen'gan
振寒,zhen'han
真寒假热,zhen'han'jia're
真气,zhen'qi
真热假寒,zhen're'jia'han
真实假虚,zhen'shi'jia'xu
镇心,zhen'xin
真心痛,zhen'xin'tong
真虚假实,zhen'xu'jia'shi
真牙,zhen'ya
怔忡,zheng'chong
症瘕,zheng'jia
正气,zheng'qi
正气内存,zheng'qi'nei'cun
正气虚,zheng'qi'xu
正胜邪退,zheng'sheng'xie'tui
正邪,zheng'xie
症与证,zheng'yu'zheng
正治,zheng'zhi
治病求本,zhi'bing'qiu'ben
治风,zhi'feng
治风化痰,zhi'feng'hua'tan
制剂,zhi'ji
支节烦痛,zhi'jie'fan'tong
肢厥,zhi'jue
至虚有盛候,zhi'xu'you'sheng'hou
至阴,zhi'yin
治则,zhi'ze
中风,zhong'feng
中风痰厥,zhong'feng'tan'jue
中腑,zhong'fu
中侯,zhong'hou
中焦寒热互结,zhong'jiao'han're'hu'jie
中焦虚寒,zhong'jiao'xu'han
中经络,zhong'jing'luo
肿满,zhong'man
中气不足,zhong'qi'bu'zu
中气下陷,zhong'qi'xia'xian
重身,zhong'shen
中暑,zhong'shu
肿疡,zhong'yang
中脏,zhong'zang
周痹,zhou'bi
州都之官,zhou'du'zhi'guan
逐寒开窍,zhu'han'kai'qiao
主津与传导,zhu'jin'yu'chuan'dao
诸湿肿满皆属于脾,zhu'shi'zhong'man'jie'shu'yu'pi
逐水,zhu'shui
逐血,zhu'xue
助阳,zhu'yang
逐瘀,zhu'yu
抓痕,zhua'hen
转胞,zhuan'bao
转筋,zhuan'jin
壮热,zhuang're
壮水制阳,zhuang'shui'zhi'yang
壮水之主,zhuang'shui'zhi'zhu
壮阳,zhuang'yang
浊气,zhuo'qi
子处,zi'chu
子烦,zi'fan
子宫虚寒,zi'gong'xu'han
自汗,zi'han
自利清水,zi'li'qing'shui
自利益甚,zi'li'yi'shen
子淋,zi'lin
子门,zi'men
子鸣,zi'ming
滋脾,zi'pi
子气,zi'qi
滋肾,zi'shen
滋水制火,zi'shui'zhi'huo
子痰,zi'tan
子悬,zi'xuan
子瘖,zi'yin
滋阴,zi'yin
滋阴涵阳,zi'yin'han'yang
子痈,zi'yong
子脏,zi'zang
子肿,zi'zhong
宗筋,zong'jin
宗脉,zong'mai
宗脉所聚,zong'mai'suo'ju
宗气,zong'qi
足内抛,zu'nei'pao
足外抛,zu'wai'pao
