阿不都热希提,a'bu'dou're'xi'ti
阔纳巴扎村,kuo'na'ba'zha'cun
阔纳协海尔,kuo'na'xie'hai'er
阔实,kuo'shi
阔希,kuo'xi
拉布润,la'bu'run
喇嘛庙,la'ma'miao
拉帕村,la'pa'cun
拉配泉,la'pei'quan
拉依当,la'yi'dang
栏干,lan'gan
兰干村,lan'gan'cun
兰干乡,lan'gan'xiang
蓝海洗浴,lan'hai'xi'yu
兰家湾,lan'jia'wan
蓝天加油站,lan'tian'jia'you'zhan
蓝天幼儿园,lan'tian'you'er'yuan
郎酒专卖店,lang'jiu'zhuan'mai'dian
老城,lao'cheng
老城村,lao'cheng'cun
老船长,lao'chuan'zhang
老海子,lao'hai'zi
老虎口,lao'hu'kou
老开屏,lao'kai'ping
老年活动中心,lao'nian'huo'dong'zhong'xin
老牌坊,lao'pai'fang
乐购超市,le'gou'chao'shi
梨城小区,li'cheng'xiao'qu
梨花小区,li'hua'xiao'qu
梨华中学,li'hua'zhong'xue
李家庄,li'jia'zhuang
利郎男装,li'lang'nan'zhuang
利民分校,li'min'fen'xiao
李宁,li'ning
梨乡宾馆,li'xiang'bin'guan
梨园餐厅,li'yuan'can'ting
梨园村,li'yuan'cun
梨园广场,li'yuan'guang'chang
梨园小区,li'yuan'xiao'qu
莲花湖宾馆,lian'hua'hu'bin'guan
莲花坪,lian'hua'ping
良繁连,liang'fan'lian
两个泉,liang'ge'quan
良种场,liang'zhong'chang
林业连,lin'ye'lian
林业派出所,lin'ye'pai'chu'suo
菱角山,ling'jiao'shan
玲珑轮胎,ling'long'lun'tai
凌云山,ling'yun'shan
六大队,liu'da'dui
六号坝,liu'hao'ba
六连,liu'lian
柳林村,liu'lin'cun
流沙沟,liu'sha'gou
六十户村,liu'shi'hu'cun
柳树湾,liu'shu'wan
龙口,long'kou
龙山公园,long'shan'gong'yuan
龙腾宾馆,long'teng'bin'guan
龙头沟,long'tou'gou
龙头山,long'tou'shan
龙尾,long'wei
龙祥小区,long'xiang'xiao'qu
龙兴苑,long'xing'yuan
龙珠山,long'zhu'shan
楼兰宾馆,lou'lan'bin'guan
楼兰红枣,lou'lan'hong'zao
楼兰驾校,lou'lan'jia'xiao
楼兰旅行社,lou'lan'lv'xing'she
鹿场,lu'chang
鹿角沟,lu'jiao'gou
鹿园,lu'yuan
乱梁,luan'liang
乱山,luan'shan
乱山子,luan'shan'zi
轮丰商厦,lun'feng'shang'sha
轮南,lun'nan
轮南派出所,lun'nan'pai'chu'suo
轮南镇,lun'nan'zhen
轮台客运站,lun'tai'ke'yun'zhan
轮台县,lun'tai'xian
轮台县人民医院,lun'tai'xian'ren'min'yi'yuan
轮台县委,lun'tai'xian'wei
轮台县卫生局,lun'tai'xian'wei'sheng'ju
轮西,lun'xi
罗布泊,luo'bu'po
罗布人村寨,luo'bu'ren'cun'zhai
罗布庄,luo'bu'zhuang
罗哈,luo'ha
洛合曼,luo'he'man
洛浦,luo'pu
骆驼峰,luo'tuo'feng
骆驼沟,luo'tuo'gou
骆驼山,luo'tuo'shan
落霞湾,luo'xia'wan
落雁湖,luo'yan'hu
落雁山,luo'yan'shan
绿宾,lv'bin
绿源茶业,lv'yuan'cha'ye
绿州花园,lv'zhou'hua'yuan
绿洲市场,lv'zhou'shi'chang
马鞍山,ma'an'shan
马记牛肉面,ma'ji'niu'rou'mian
马家花园,ma'jia'hua'yuan
马家庄,ma'jia'zhuang
马久,ma'jiu
马克华菲,ma'ke'hua'fei
马兰村,ma'lan'cun
马莲滩村,ma'lian'tan'cun
马洛,ma'luo
马木提,ma'mu'ti
马帕,ma'pa
马氏牛肉面,ma'shi'niu'rou'mian
马蹄山,ma'ti'shan
麻扎,ma'zha
麻扎村,ma'zha'cun
麦得隆,mai'de'long
买合提,mai'he'ti
买买提吐地,mai'mai'ti'tu'di
麦趣尔,mai'qu'er
买斯,mai'si
麦斯特,mai'si'te
买斯特,mai'si'te
麦台村,mai'tai'cun
满家福超市,man'jia'fu'chao'shi
满朋轩,man'peng'xuan
芒加,mang'jia
毛纺厂,mao'fang'chang
毛家饭店,mao'jia'fan'dian
矛头山,mao'tou'shan
毛吐,mao'tu
梅达,mei'da
玫瑰宾馆,mei'gui'bin'guan
玫瑰餐厅,mei'gui'can'ting
美加华,mei'jia'hua
美琪美容美发,mei'qi'mei'rong'mei'fa
蒙古到,meng'gu'dao
梦洁家纺,meng'jie'jia'fang
梦之岛花园,meng'zhi'dao'hua'yuan
米拉斯,mi'la'si
米兰,mi'lan
米兰宾馆,mi'lan'bin'guan
米兰医院,mi'lan'yi'yuan
米兰中学,mi'lan'zhong'xue
蜜雪儿,mi'xue'er
棉花加工厂,mian'hua'jia'gong'chang
棉麻站,mian'ma'zhan
民家超市,min'jia'chao'shi
民康药房,min'kang'yao'fang
民乐大药房,min'yue'da'yao'fang
明布拉克,ming'bu'la'ke
明德小学,ming'de'xiao'xue
名典咖啡,ming'dian'ka'fei
明华饭店,ming'hua'fan'dian
名乐体育,ming'le'ti'yu
名品鞋城,ming'pin'xie'cheng
茗腾茶叶,ming'teng'cha'ye
名烟名酒,ming'yan'ming'jiu
明月山,ming'yue'shan
明珠湖,ming'zhu'hu
明珠酒楼,ming'zhu'jiu'lou
明珠旅馆,ming'zhu'lv'guan
莫勒切河,mo'le'qie'he
牧村,mu'cun
木呼尔,mu'hu'er
木拉特,mu'la'te
木拉提,mu'la'ti
木鲁,mu'lu
木纳,mu'na
木纳尔,mu'na'er
牧业队,mu'ye'dui
木扎帕,mu'zha'pa
木孜鲁克,mu'zi'lu'ke
木孜塔格,mu'zi'ta'ge
那音,na'yin
乃门莫墩,nai'men'mo'dun
乃门莫敦,nai'men'mo'dun
乃门莫敦乡,nai'men'mo'dun'xiang
南大沟,nan'da'gou
南干渠,nan'gan'qu
南海子村,nan'hai'zi'cun
南尖子,nan'jian'zi
南郊加油站,nan'jiao'jia'you'zhan
南渠,nan'qu
南沙梁,nan'sha'liang
南山,nan'shan
南山泉,nan'shan'quan
南铁宾馆,nan'tie'bin'guan
南铁大厦,nan'tie'da'sha
南苑村,nan'yuan'cun
牛行江湖,niu'xing'jiang'hu
农二师,nong'er'shi
农二师三十三团,nong'er'shi'san'shi'san'tuan
农二师焉耆医院,nong'er'shi'yan'qi'yi'yuan
农二师幼儿园,nong'er'shi'you'er'yuan
农行,nong'hang
农行人民路支行,nong'hang'ren'min'lu'zhi'hang
农会,nong'hui
农会村,nong'hui'cun
农机加油站,nong'ji'jia'you'zhan
农科站,nong'ke'zhan
侬侬婚纱,nong'nong'hun'sha
农试站,nong'shi'zhan
努尔巴格村,nu'er'ba'ge'cun
诺尔玛,nuo'er'ma
诺基亚专卖店,nuo'ji'ya'zhuan'mai'dian
欧旦,ou'dan
派特罗尔,pai'te'luo'er
旁山湖,pang'shan'hu
胖仔鱼庄,pang'zai'yu'zhuang
配种站,pei'zhong'zhan
片石山,pian'shi'shan
漂亮女人,piao'liang'nv'ren
平安驾校,ping'an'jia'xiao
苹果品牌,ping'guo'pin'pai
苹果园,ping'guo'yuan
平湖,ping'hu
平台子,ping'tai'zi
普惠牧场,pu'hui'mu'chang
普惠农场,pu'hui'nong'chang
普惠乡,pu'hui'xiang
普康大药房,pu'kang'da'yao'fang
普台,pu'tai
葡萄庄园,pu'tao'zhuang'yuan
普提,pu'ti
汽车连,qi'che'lian
汽车修理,qi'che'xiu'li
七大队,qi'da'dui
七个星,qi'ge'xing
七个星村,qi'ge'xing'cun
七个星镇,qi'ge'xing'zhen
七连,qi'lian
麒麟宾馆,qi'lin'bin'guan
祁曼塔格,qi'man'ta'ge
祁漫塔格,qi'man'ta'ge
祁漫塔格山,qi'man'ta'ge'shan
其那尔,qi'na'er
七匹狼,qi'pi'lang
其坦,qi'tan
齐特,qi'te
其维克,qi'wei'ke
气象花园,qi'xiang'hua'yuan
七星花园,qi'xing'hua'yuan
恰尔巴格村,qia'er'ba'ge'cun
恰江,qia'jiang
恰喀,qia'ka
恰拉水库,qia'la'shui'ku
恰普,qia'pu
千佛洞,qian'fo'dong
千间房,qian'jian'fang
前进机器厂,qian'jin'ji'qi'chang
千里行足道,qian'li'xing'zu'dao
羌给,qiang'gei
乔丹,qiao'dan
乔丹专卖,qiao'dan'zhuan'mai
且吉,qie'ji
且末机场,qie'mo'ji'chang
且末县,qie'mo'xian
且末县人民医院,qie'mo'xian'ren'min'yi'yuan
且末县中学,qie'mo'xian'zhong'xue
切其,qie'qi
亲亲幼儿园,qin'qin'you'er'yuan
青春山,qing'chun'shan
庆丰山,qing'feng'shan
青格,qing'ge
青果田园,qing'guo'tian'yuan
青龙山,qing'long'shan
青年旅社,qing'nian'lv'she
青年农场,qing'nian'nong'chang
青年水库,qing'nian'shui'ku
清泉,qing'quan
青山头,qing'shan'tou
青石岭,qing'shi'ling
青石山,qing'shi'shan
清水河,qing'shui'he
清水河农场,qing'shui'he'nong'chang
清水泉,qing'shui'quan
青松宾馆,qing'song'bin'guan
青禹然,qing'yu'ran
琼冬,qiong'dong
琼库勒,qiong'ku'le
琼库勒村,qiong'ku'le'cun
琼库勒乡,qiong'ku'le'xiang
琼斯给,qiong'si'gei
秋林女店,qiu'lin'nv'dian
秋泉,qiu'quan
秋水伊人,qiu'shui'yi'ren
曲惠,qu'hui
曲惠乡,qu'hui'xiang
渠南村,qu'nan'cun
渠首,qu'shou
全聚德,quan'ju'de
泉山,quan'shan
泉水湖,quan'shui'hu
雀尔山,que'er'shan
群巴克,qun'ba'ke
群巴克镇,qun'ba'ke'zhen
群峰,qun'feng
群沙包,qun'sha'bao
绕云山,rao'yun'shan
热合买提,re'he'mai'ti
仁和春天,ren'he'chun'tian
人民公园,ren'min'gong'yuan
人民广场,ren'min'guang'chang
人民商场,ren'min'shang'chang
人民医院,ren'min'yi'yuan
日濠水都,ri'hao'shui'du
如意宾馆,ru'yi'bin'guan
如意招待所,ru'yi'zhao'dai'suo
瑞丰村,rui'feng'cun
瑞丰商场,rui'feng'shang'chang
若羌县,ruo'qiang'xian
若羌县人民医院,ruo'qiang'xian'ren'min'yi'yuan
若羌县政府,ruo'qiang'xian'zheng'fu
萨北,sa'bei
萨尔曼,sa'er'man
萨拉,sa'la
萨拉村,sa'la'cun
萨依巴格,sa'yi'ba'ge
萨依巴格村,sa'yi'ba'ge'cun
萨依巴格市场,sa'yi'ba'ge'shi'chang
萨依买里,sa'yi'mai'li
萨依买里村,sa'yi'mai'li'cun
塞恒,sai'heng
赛开,sai'kai
赛马山,sai'ma'shan
赛日,sai'ri
塞外肥羊,sai'wai'fei'yang
三坝,san'ba
三百弓,san'bai'gong
三宝大酒店,san'bao'da'jiu'dian
三叉口,san'cha'kou
三岔口,san'cha'kou
三大队,san'da'dui
三道沟,san'dao'gou
三道山,san'dao'shan
三跌水,san'die'shui
三个湖,san'ge'hu
三个井,san'ge'jing
三号井,san'hao'jing
三号停车场,san'hao'ting'che'chang
三禾服饰,san'he'fu'shi
三和烧烤,san'he'shao'kao
三河滩,san'he'tan
三户,san'hu
散坚,san'jian
三角地,san'jiao'di
三角架,san'jiao'jia
三角山,san'jiao'shan
三角滩,san'jiao'tan
三连,san'lian
三清拉面,san'qing'la'mian
三十四团,san'shi'si'tuan
三支渠,san'zhi'qu
桑树,sang'shu
桑塔木,sang'ta'mu
色日克,se'ri'ke
色色婚纱摄影,se'se'hun'sha'she'ying
沙坝,sha'ba
沙河滩,sha'he'tan
沙河湾,sha'he'wan
沙界沟,sha'jie'gou
沙井子,sha'jing'zi
沙梁湾,sha'liang'wan
沙梁湾村,sha'liang'wan'cun
沙梁子,sha'liang'zi
沙漠运输公司,sha'mo'yun'shu'gong'si
沙南村,sha'nan'cun
沙渠,sha'qu
沙石山,sha'shi'shan
沙子泉,sha'zi'quan
山东饺子馆,shan'dong'jiao'zi'guan
山国饮艺,shan'guo'yin'yi
山口子,shan'kou'zi
上岔河村,shang'cha'he'cun
上岛西餐,shang'dao'xi'can
上户镇,shang'hu'zhen
上十号,shang'shi'hao
上太平,shang'tai'ping
勺子地,shao'zi'di
神农中医院,shen'nong'zhong'yi'yuan
渗水沟,shen'shui'gou
神州大酒店,shen'zhou'da'jiu'dian
圣果名苑,sheng'guo'ming'yuan
胜利村,sheng'li'cun
胜利桥,sheng'li'qiao
十大队,shi'da'dui
时代华庭,shi'dai'hua'ting
市第二幼儿园,shi'di'er'you'er'yuan
市第三中学,shi'di'san'zhong'xue
市第十一中学,shi'di'shi'yi'zhong'xue
市第一人民医院,shi'di'yi'ren'min'yi'yuan
十二道班,shi'er'dao'ban
十二棵树,shi'er'ke'shu
十二连,shi'er'lian
市法院,shi'fa'yuan
市公安局,shi'gong'an'ju
市公路总段,shi'gong'lu'zong'duan
市工商局,shi'gong'shang'ju
市国土局,shi'guo'tu'ju
十号渠村,shi'hao'qu'cun
石化广场,shi'hua'guang'chang
石花山,shi'hua'shan
石灰窑,shi'hui'yao
世纪宾馆,shi'ji'bin'guan
世纪金花,shi'ji'jin'hua
市开发区管委会,shi'kai'fa'qu'guan'wei'hui
十连,shi'lian
石林山,shi'lin'shan
石棉矿,shi'mian'kuang
十七连,shi'qi'lian
十三连,shi'san'lian
时尚假日酒店,shi'shang'jia'ri'jiu'dian
时尚牛仔,shi'shang'niu'zai
石头泉,shi'tou'quan
市外桃源,shi'wai'tao'yuan
市委党校,shi'wei'dang'xiao
实验中学,shi'yan'zhong'xue
十一连,shi'yi'lian
十一区,shi'yi'qu
市一中,shi'yi'zhong
首府花苑,shou'fu'hua'yuan
曙光学校,shu'guang'xue'xiao
双岔沟,shuang'cha'gou
双峰岭,shuang'feng'ling
双疙瘩,shuang'ge'da
双泉,shuang'quan
双星体育,shuang'xing'ti'yu
水管连,shui'guan'lian
水管所,shui'guan'suo
水管站,shui'guan'zhan
水井坊,shui'jing'fang
水利连,shui'li'lian
水磨房,shui'mo'fang
水木清华,shui'mu'qing'hua
水泥厂,shui'ni'chang
顺风肥牛,shun'feng'fei'niu
四大队,si'da'dui
四道班,si'dao'ban
四道沟,si'dao'gou
四号渠,si'hao'qu
四号渠村,si'hao'qu'cun
四季泉,si'ji'quan
四建医院,si'jian'yi'yuan
四连,si'lian
四十里城子,si'shi'li'cheng'zi
饲养场,si'yang'chang
松花山,song'hua'shan
苏盖特,su'gai'te
苏哈特乡,su'ha'te'xiang
苏家湾,su'jia'wan
苏拉合马,su'la'he'ma
苏来生,su'lai'sheng
苏木那,su'mu'na
苏氏牛肉面,su'shi'niu'rou'mian
塔尔拉克乡,ta'er'la'ke'xiang
塔哈其乡,ta'ha'qi'xiang
塔克拉玛干沙漠,ta'ke'la'ma'gan'sha'mo
塔拉克,ta'la'ke
塔勒克,ta'le'ke
塔里木河,ta'li'mu'he
塔里木盆地,ta'li'mu'pen'di
塔里木石油宾馆,ta'li'mu'shi'you'bin'guan
塔里木乡,ta'li'mu'xiang
塔买,ta'mai
塔什店镇,ta'shen'dian'zhen
塔什萨依,ta'shen'sa'yi
塔塔勒,ta'ta'le
塔提让乡,ta'ti'rang'xiang
塔温觉肯,ta'wen'jue'ken
塔温觉肯乡,ta'wen'jue'ken'xiang
塔指公园,ta'zhi'gong'yuan
塔指乐园,ta'zhi'le'yuan
泰康人寿,tai'kang'ren'shou
泰隆大厦,tai'long'da'sha
太平渠村,tai'ping'qu'cun
台赛,tai'sai
台特玛湖,tai'te'ma'hu
台文,tai'wen
台绣,tai'xiu
探路者户外用品,tan'lu'zhe'hu'wai'yong'pin
糖厂,tang'chang
唐明新村,tang'ming'xin'cun
唐人咖啡,tang'ren'ka'fei
唐王城,tang'wang'cheng
特步,te'bu
特日木,te'ri'mu
腾飞加油站,teng'fei'jia'you'zhan
腾龙加油站,teng'long'jia'you'zhan
体会咖啡,ti'hui'ka'fei
提木,ti'mu
梯子梁,ti'zi'liang
天成宾馆,tian'cheng'bin'guan
天地酒业,tian'di'jiu'ye
天鹅宾馆,tian'e'bin'guan
天鹅湖,tian'e'hu
天福肥牛,tian'fu'fei'niu
天福茗茶,tian'fu'ming'cha
天府人家,tian'fu'ren'jia
天鸿酒店,tian'hong'jiu'dian
天力纸业,tian'li'zhi'ye
天平山,tian'ping'shan
天桥墩,tian'qiao'dun
天然居宾馆,tian'ran'ju'bin'guan
天山公寓,tian'shan'gong'yu
天山绿苑,tian'shan'lv'yuan
天山山脉,tian'shan'shan'mai
天山医院,tian'shan'yi'yuan
甜水泉,tian'shui'quan
天天乐大药房,tian'tian'le'da'yao'fang
天鑫宾馆,tian'xin'bin'guan
天扬服饰,tian'yang'fu'shi
天柱岩,tian'zhu'yan
条石山,tiao'shi'shan
铁板河,tie'ban'he
铁干里克乡,tie'gan'li'ke'xiang
铁克其,tie'ke'qi
铁克其乡,tie'ke'qi'xiang
铁路加油站,tie'lu'jia'you'zhan
铁门关,tie'men'guan
铁桥,tie'qiao
铁热克巴扎乡,tie're'ke'ba'zha'xiang
铁提尔,tie'ti'er
停车场,ting'che'chang
同福旅馆,tong'fu'lv'guan
同济药房,tong'ji'yao'fang
铜矿,tong'kuang
通力大厦,tong'li'da'sha
通信团,tong'xin'tuan
头道沟,tou'dao'gou
头号渠,tou'hao'qu
头号渠村,tou'hao'qu'cun
土墩子,tu'dun'zi
吐尔,tu'er
吐尔塔木,tu'er'ta'mu
吐格曼,tu'ge'man
吐格曼贝希,tu'ge'man'bei'xi
吐拉牧场,tu'la'mu'chang
吐鲁番,tu'lu'fan
土牙,tu'ya
土窑洞,tu'yao'dong
兔子湖,tu'zi'hu
吐孜鲁克,tu'zi'lu'ke
团结宾馆,tuan'jie'bin'guan
团结村,tuan'jie'cun
团结沟,tuan'jie'gou
团结加油站,tuan'jie'jia'you'zhan
团结渠,tuan'jie'qu
团结水库,tuan'jie'shui'ku
团结体育场,tuan'jie'ti'yu'chang
团结乡,tuan'jie'xiang
团结小区,tuan'jie'xiao'qu
团结砖厂,tuan'jie'zhuan'chang
托布力其乡,tuo'bu'li'qi'xiang
驼峰山,tuo'feng'shan
托格拉克,tuo'ge'la'ke
托格拉克勒克乡,tuo'ge'la'ke'le'ke'xiang
托合提铁木尔,tuo'he'ti'tie'mu'er
托乎拉克,tuo'hu'la'ke
托喀依,tuo'ka'yi
托勒盖,tuo'le'gai
托马,tuo'ma
瓦石峡乡,wa'shi'xia'xiang
外语培训中心,wai'yu'pei'xun'zhong'xin
万达宾馆,wan'da'bin'guan
万福隆超市,wan'fu'long'chao'shi
弯沟,wan'gou
万豪宾馆,wan'hao'bin'guan
万家福超市,wan'jia'fu'chao'shi
万康大药房,wan'kang'da'yao'fang
万乐福超市,wan'le'fu'chao'shi
万通汽修,wan'tong'qi'xiu
万祥药房,wan'xiang'yao'fang
王家庄,wang'jia'zhuang
王家庄牧场,wang'jia'zhuang'mu'chang
望京山,wang'jing'shan
旺子学校,wang'zi'xue'xiao
卫东,wei'dong
卫教小区,wei'jiao'xiao'qu
为民大药房,wei'min'da'yao'fang
卫生队,wei'sheng'dui
维吾尔医医院,wei'wu'er'yi'yi'yuan
卫星牧场,wei'xing'mu'chang
伟志,wei'zhi
文化广场,wen'hua'guang'chang
文化中心,wen'hua'zhong'xin
温州特色小吃,wen'zhou'te'se'xiao'chi
温州鞋城,wen'zhou'xie'cheng
沃拉克,wo'la'ke
沃特全球运动,wo'te'quan'qiu'yun'dong
五岔口,wu'cha'kou
五大队,wu'da'dui
五道沟,wu'dao'gou
五队,wu'dui
吾甫尔,wu'fu'er
五号坝,wu'hao'ba
五号渠乡,wu'hao'qu'xiang
乌拉克,wu'la'ke
乌拉斯台,wu'la'si'tai
乌拉斯台村,wu'la'si'tai'cun
乌拉斯台农场,wu'la'si'tai'nong'chang
乌兰达坂,wu'lan'da'ban
乌兰额日格,wu'lan'e'ri'ge
乌兰恩格,wu'lan'en'ge
乌兰哈特,wu'lan'ha'te
乌兰陶勒盖,wu'lan'tao'le'gai
乌兰乌拉,wu'lan'wu'la
乌兰乌苏,wu'lan'wu'su
乌兰再格森乡,wu'lan'zai'ge'sen'xiang
五连,wu'lian
乌鲁克,wu'lu'ke
乌什塔拉回族乡,wu'shi'ta'la'hui'zu'xiang
乌斯特,wu'si'te
乌斯吐,wu'si'tu
乌苏图,wu'su'tu
吾塔木乡,wu'ta'mu'xiang
乌堂村,wu'tang'cun
梧桐梁,wu'tong'liang
梧桐林,wu'tong'lin
五星花园,wu'xing'hua'yuan
五星加油站,wu'xing'jia'you'zhan
五星旅馆,wu'xing'lv'guan
乌尊布拉克,wu'zun'bu'la'ke
西北眼镜行,xi'bei'yan'jing'xing
西部风情园,xi'bu'feng'qing'yuan
西城派出所,xi'cheng'pai'chu'suo
西村,xi'cun
西大沟,xi'da'gou
西大渠村,xi'da'qu'cun
西大山,xi'da'shan
西尔克,xi'er'ke
西公园,xi'gong'yuan
西环路加油站,xi'huan'lu'jia'you'zhan
西嘉红,xi'jia'hong
席家庄,xi'jia'zhuang
西牧,xi'mu
西南河口,xi'nan'he'kou
西尼尔村,xi'ni'er'cun
希尼尔水库,xi'ni'er'shui'ku
西尼尔镇,xi'ni'er'zhen
希庞,xi'pang
西渠,xi'qu
西山口,xi'shan'kou
喜士多便利店,xi'shi'duo'bian'li'dian
西水泉,xi'shui'quan
希望广场,xi'wang'guang'chang
夕阳红老年公寓,xi'yang'hong'lao'nian'gong'yu
喜洋洋老汤火锅,xi'yang'yang'lao'tang'huo'guo
西一站,xi'yi'zhan
西域宾馆,xi'yu'bin'guan
西域加油站,xi'yu'jia'you'zhan
西庄子,xi'zhuang'zi
下岔河村,xia'cha'he'cun
夏尔安,xia'er'an
夏格泽,xia'ge'ze
下库尔,xia'ku'er
夏库尔,xia'ku'er
下三号,xia'san'hao
下三号村,xia'san'hao'cun
峡山口,xia'shan'kou
下太平,xia'tai'ping
虾子湖,xia'zi'hu
县财政局,xian'cai'zheng'ju
县电大,xian'dian'da
县电信局,xian'dian'xin'ju
县法院,xian'fa'yuan
县公安局,xian'gong'an'ju
县工商局,xian'gong'shang'ju
县国土局,xian'guo'tu'ju
县检察院,xian'jian'cha'yuan
县建设局,xian'jian'she'ju
县交警大队,xian'jiao'jing'da'dui
县交通局,xian'jiao'tong'ju
县经贸局,xian'jing'mao'ju
县粮食局,xian'liang'shi'ju
县良种场,xian'liang'zhong'chang
县林业局,xian'lin'ye'ju
县农业局,xian'nong'ye'ju
县气象局,xian'qi'xiang'ju
县审计局,xian'shen'ji'ju
县水电局,xian'shui'dian'ju
县水利局,xian'shui'li'ju
县水泥厂,xian'shui'ni'chang
咸水泉,xian'shui'quan
县委党校,xian'wei'dang'xiao
县卫生局,xian'wei'sheng'ju
线务段,xian'wu'duan
县信访局,xian'xin'fang'ju
县畜牧局,xian'xu'mu'ju
县园艺场,xian'yuan'yi'chang
县质监局,xian'zhi'jian'ju
香港老爷车,xiang'gang'lao'ye'che
香江大酒店,xiang'jiang'da'jiu'dian
橡胶制品厂,xiang'jiao'zhi'pin'chang
湘味轩,xiang'wei'xuan
向阳村,xiang'yang'cun
向阳泉,xiang'yang'quan
向阳山,xiang'yang'shan
湘之味,xiang'zhi'wei
小白鸽幼儿园,xiao'bai'ge'you'er'yuan
小长梁,xiao'chang'liang
小独山,xiao'du'shan
硝尔布拉克,xiao'er'bu'la'ke
硝尔库勒,xiao'er'ku'le
小房,xiao'fang
小黑山,xiao'hei'shan
小横山,xiao'heng'shan
小红山,xiao'hong'shan
肖家湾,xiao'jia'wan
小尖山,xiao'jian'shan
硝井子村,xiao'jing'zi'cun
小康城,xiao'kang'cheng
小魔鱼,xiao'mo'yu
小南洼,xiao'nan'wa
小青山,xiao'qing'shan
小山包,xiao'shan'bao
小山堡,xiao'shan'bao
小山口,xiao'shan'kou
小山梁,xiao'shan'liang
小神童幼儿园,xiao'shen'tong'you'er'yuan
小石山,xiao'shi'shan
小树林,xiao'shu'lin
小苏海,xiao'su'hai
肖塔,xiao'ta
肖唐,xiao'tang
小洼地,xiao'wa'di
小湾梁,xiao'wan'liang
肖翁,xiao'weng
晓霞山,xiao'xia'shan
校园餐厅,xiao'yuan'can'ting
小园山,xiao'yuan'shan
协和医院,xie'he'yi'yuan
泄洪闸,xie'hong'zha
斜阳坡,xie'yang'po
新城花园,xin'cheng'hua'yuan
新城街道办,xin'cheng'jie'dao'ban
新城印刷厂,xin'cheng'yin'shua'chang
新村,xin'cun
鑫服饰,xin'fu'shi
新干渠,xin'gan'qu
辛格尔,xin'ge'er
信合大酒店,xin'he'da'jiu'dian
新户,xin'hu
新户村,xin'hu'cun
新华宾馆,xin'hua'bin'guan
新华大厦,xin'hua'da'sha
新华学校,xin'hua'xue'xiao
新建村,xin'jian'cun
新疆七星集团,xin'jiang'qi'xing'ji'tuan
新疆天枢,xin'jiang'tian'shu
新捷克,xin'jie'ke
新井子,xin'jing'zi
新居户村,xin'ju'hu'cun
新开屏,xin'kai'ping
新丽华酒店,xin'li'hua'jiu'dian
新派川菜,xin'pai'chuan'cai
新秋,xin'qiu
新渠村,xin'qu'cun
新上海花园,xin'shang'hai'hua'yuan
新世纪学校,xin'shi'ji'xue'xiao
新世纪幼儿园,xin'shi'ji'you'er'yuan
新塔热乡,xin'ta're'xiang
鑫望角,xin'wang'jiao
鑫鑫宾馆,xin'xin'bin'guan
欣欣招待所,xin'xin'zhao'dai'suo
星辰学校,xing'chen'xue'xiao
兴达加油站,xing'da'jia'you'zhan
兴地,xing'di
幸福牧场,xing'fu'mu'chang
行感觉,xing'gan'jue
杏花苑,xing'hua'yuan
兴隆加油站,xing'long'jia'you'zhan
兴平派出所,xing'ping'pai'chu'suo
兴平乡,xing'ping'xiang
兄弟商厦,xiong'di'shang'sha
修理连,xiu'li'lian
修堂,xiu'tang
修造连,xiu'zao'lian
许库尔,xu'ku'er
畜牧连,xu'mu'lian
雪莲山,xue'lian'shan
雪山脚,xue'shan'jiao
雪竹,xue'zhu
雅芳,ya'fang
亚马台,ya'ma'tai
亚马特,ya'ma'te
亚玛特,ya'ma'te
雅门,ya'men
雅玩阁,ya'wan'ge
鸭子泉,ya'zi'quan
岩碧山,yan'bi'shan
雁翅山,yan'chi'shan
焉耆回族自治县,yan'qi'hui'zu'zi'zhi'xian
焉耆县法院,yan'qi'xian'fa'yuan
焉耆县人民医院,yan'qi'xian'ren'min'yi'yuan
焉耆医院,yan'qi'yi'yuan
焉耆站,yan'qi'zhan
盐水泉,yan'shui'quan
央布拉克,yang'bu'la'ke
洋布拉克,yang'bu'la'ke
羊布拉克,yang'bu'la'ke
羊肠沟,yang'chang'gou
阳春湖,yang'chun'hu
杨村,yang'cun
扬帆写字楼,yang'fan'xie'zi'lou
阳光花园,yang'guang'hua'yuan
阳光酒店,yang'guang'jiu'dian
阳光丽人,yang'guang'li'ren
阳光小区,yang'guang'xiao'qu
阳光鞋业,yang'guang'xie'ye
阳光医院,yang'guang'yi'yuan
阳光幼儿园,yang'guang'you'er'yuan
养鹿场,yang'lu'chang
阳平里,yang'ping'li
扬水站,yang'shui'zhan
阳霞镇,yang'xia'zhen
扬州沐浴,yang'zhou'mu'yu
养猪场,yang'zhu'chang
窑场,yao'chang
姚大夫美容院,yao'dai'fu'mei'rong'yuan
药业大厦,yao'ye'da'sha
野马泉,ye'ma'quan
野马滩,ye'ma'tan
野生大鱼坊,ye'sheng'da'yu'fang
野鸭湖,ye'ya'hu
野云沟乡,ye'yun'gou'xiang
野云沟乡卫生院,ye'yun'gou'xiang'wei'sheng'yuan
以纯,yi'chun
一道梁,yi'dao'liang
移动通信大厦,yi'dong'tong'xin'da'sha
一号停车场,yi'hao'ting'che'chang
伊合拉斯超市,yi'he'la'si'chao'shi
亿家超市,yi'jia'chao'shi
益康药店,yi'kang'yao'dian
依克赛,yi'ke'sai
伊力江,yi'li'jiang
依明,yi'ming
