阿洪病,a'hong'bing
大透骨消,da'tou'gu'xiao
大头瘟,da'tou'wen
大头瘟病,da'tou'wen'bing
大团囊虫草,da'tuan'nang'chong'cao
大腿美容术,da'tui'mei'rong'shu
大瓦韦,da'wa'wei
大瓦韦膜叶星蕨,da'wa'wei'mo'ye'xing'jue
大网膜瓣,da'wang'mo'ban
大网膜及肠系膜囊肿,da'wang'mo'ji'chang'xi'mo'nang'zhong
大网膜输尿管成形术,da'wang'mo'shu'niao'guan'cheng'xing'shu
大网膜移植术,da'wang'mo'yi'zhi'shu
大网膜移植物,da'wang'mo'yi'zhi'wu
大尾摇,da'wei'yao
大乌金草,da'wu'jin'cao
大乌泡,da'wu'pao
大五爪金龙,da'wu'zhao'jin'long
大细辛,da'xi'xin
大陷胸汤,da'xian'xiong'tang
大小孢子菌,da'xiao'bao'zi'jun
大小错觉,da'xiao'cuo'jue
大小恒常性,da'xiao'heng'chang'xing
大小蓟,da'xiao'ji
大小知觉,da'xiao'zhi'jue
大型配子结合,da'xing'pei'zi'jie'he
大雪上一枝蒿,da'xue'shang'yi'zhi'hao
大血藤,da'xue'teng
大血藤红藤,da'xue'teng'hong'teng
大阳关,da'yang'guan
大叶桉果,da'ye'an'guo
大叶桉叶,da'ye'an'ye
大叶白花灯笼,da'ye'bai'hua'deng'long
大叶白头翁,da'ye'bai'tou'weng
大叶白纸扇,da'ye'bai'zhi'shan
大叶刺篱木叶,da'ye'ci'li'mu'ye
大叶地耳根,da'ye'di'er'gen
大叶凤仙花,da'ye'feng'xian'hua
大叶骨牌草,da'ye'gu'pai'cao
大叶骨碎补,da'ye'gu'sui'bu
大夜关门,da'ye'guan'men
大夜关门根,da'ye'guan'men'gen
大叶贯众,da'ye'guan'zhong
大叶花椒,da'ye'hua'jiao
大叶花椒茎叶,da'ye'hua'jiao'jing'ye
大叶黄杨,da'ye'huang'yang
大叶黄杨根,da'ye'huang'yang'gen
大叶黄杨叶,da'ye'huang'yang'ye
大叶鸡菊花,da'ye'ji'ju'hua
大叶矶松,da'ye'ji'song
大叶接骨藤,da'ye'jie'gu'teng
大叶金花草,da'ye'jin'hua'cao
大叶金花茶叶,da'ye'jin'hua'cha'ye
大叶金锦香,da'ye'jin'jin'xiang
大叶蒟,da'ye'ju
大叶藜,da'ye'li
大叶马尾连,da'ye'ma'wei'lian
大叶拿身草,da'ye'na'shen'cao
大叶楠根,da'ye'nan'gen
大叶南苏,da'ye'nan'su
大叶排草,da'ye'pai'cao
大叶青木香,da'ye'qing'mu'xiang
大叶苣荬菜,da'ye'qu'mai'cai
大叶蛇总管,da'ye'she'zong'guan
大叶树萝卜,da'ye'shu'luo'bo
大叶酸藤子,da'ye'suan'teng'zi
大叶藤,da'ye'teng
大叶香荠菜,da'ye'xiang'ji'cai
大叶性肺炎,da'ye'xing'fei'yan
大叶熊巴掌,da'ye'xiong'ba'zhang
大叶樱叶,da'ye'ying'ye
大叶云实,da'ye'yun'shi
大叶藻,da'ye'zao
大叶樟,da'ye'zhang
大叶子,da'ye'zi
大叶紫苏,da'ye'zi'su
大叶紫薇,da'ye'zi'wei
大叶紫珠,da'ye'zi'zhu
大一箭球,da'yi'jian'qiu
大医精诚,da'yi'jing'cheng
大一面锣,da'yi'mian'luo
大翼软骨,da'yi'ruan'gu
大迎,da'ying
大迎穴,da'ying'xue
大榆蘑,da'yu'mo
大鱼鳅串,da'yu'qiu'chuan
大羽铁角蕨,da'yu'tie'jiao'jue
大羽藓,da'yu'xian
达原饮,da'yuan'yin
大芸,da'yun
大枣阿胶加酒服,da'zao'e'jiao'jia'jiu'fu
大枣合之治虚痞,da'zao'he'zhi'zhi'xu'pi
大枣生姜为丸服,da'zao'sheng'jiang'wei'wan'fu
大粘药,da'zhan'yao
大张皮移植术,da'zhang'pi'yi'zhi'shu
打折扣原则,da'zhe'kou'yuan'ze
大种半边莲,da'zhong'ban'bian'lian
大种鹅儿肠,da'zhong'e'er'chang
大众沟通,da'zhong'gou'tong
大钟穴,da'zhong'xue
大杼,da'zhu
大柱穴,da'zhu'xue
大椎,da'zhui
大椎穴,da'zhui'xue
大紫草,da'zi'cao
代偿,dai'chang
代偿失调,dai'chang'shi'tiao
代偿性肥大,dai'chang'xing'fei'da
带窗的丰唐手术,dai'chuang'de'feng'tang'shou'shu
带刺马鞭,dai'ci'ma'bian
代代花,dai'dai'hua
玳玳花,dai'dai'hua
带蒂皮瓣,dai'di'pi'ban
带蒂组织移植术,dai'di'zu'zhi'yi'zhi'shu
带蒂组织移植物,dai'di'zu'zhi'yi'zhi'wu
呆钝,dai'dun
怠惰嗜卧,dai'duo'shi'wo
戴尔试验,dai'er'shi'yan
带发皮片,dai'fa'pi'pian
带发皮片簇植术,dai'fa'pi'pian'cu'zhi'shu
带发皮片移植术,dai'fa'pi'pian'yi'zhi'shu
带感觉神经皮瓣,dai'gan'jue'shen'jing'pi'ban
黛蛤散,dai'ge'san
带环就位器,dai'huan'jiu'wei'qi
带环去除钳,dai'huan'qu'chu'qian
带孔牙,dai'kong'ya
带脉,dai'mai
带脉穴,dai'mai'xue
玳瑁,dai'mao
玳瑁粉,dai'mao'fen
玳瑁肉,dai'mao'rou
带石针,dai'shi'zhen
代替律,dai'ti'lv
戴维森分流术,dai'wei'sen'fen'liu'shu
带下病,dai'xia'bing
带下医,dai'xia'yi
代谢当量,dai'xie'dang'liang
代谢反应,dai'xie'fan'ying
代型,dai'xing
戴星草,dai'xing'cao
袋形缝术,dai'xing'feng'shu
带叶报春花,dai'ye'bao'chun'hua
带鱼,dai'yu
代赭石,dai'zhe'shi
袋状瓣,dai'zhuang'ban
带状弓,dai'zhuang'gong
带状疱疹,dai'zhuang'pao'zhen
袋状皮瓣,dai'zhuang'pi'ban
带状桥粒,dai'zhuang'qiao'li
带状银屑病,dai'zhuang'yin'xie'bing
胆癌,dan'ai
蛋白胨性荨麻疹,dan'bai'dong'xing'xun'ma'zhen
淡白舌,dan'bai'she
蛋白质印迹法,dan'bai'zhi'yin'ji'fa
单倍孤雌生殖,dan'bei'gu'ci'sheng'zhi
单倍核,dan'bei'he
单倍体,dan'bei'ti
单倍体数,dan'bei'ti'shu
单倍体相同的供者,dan'bei'ti'xiang'tong'de'gong'zhe
单倍体组,dan'bei'ti'zu
单倍型,dan'bei'xing
单倍性,dan'bei'xing
单臂卡环,dan'bi'ka'huan
单鞭,dan'bian
蛋不老,dan'bu'lao
淡菜,dan'cai
单侧唇裂,dan'ce'chun'lie
单侧腭裂,dan'ce'e'lie
单侧肥大畸形,dan'ce'fei'da'ji'xing
单侧膈肌麻痹,dan'ce'ge'ji'ma'bi
单侧膈肌瘫痪,dan'ce'ge'ji'tan'huan
单侧膈膨升,dan'ce'ge'peng'sheng
单侧检验,dan'ce'jian'yan
单侧平衡,dan'ce'ping'heng
单侧痣,dan'ce'zhi
单层培养,dan'ceng'pei'yang
单纯癌,dan'chun'ai
单纯糠疹,dan'chun'kang'zhen
单纯疱疹,dan'chun'pao'zhen
单纯性回状红斑,dan'chun'xing'hui'zhuang'hong'ban
单纯性甲状腺肿,dan'chun'xing'jia'zhuang'xian'zhong
单纯型精神分裂症,dan'chun'xing'jing'shen'fen'lie'zheng
单纯性雀斑痣,dan'chun'xing'que'ban'zhi
单纯性肾囊肿,dan'chun'xing'shen'nang'zhong
胆疸,dan'dan
胆瘅,dan'dan
胆道闭锁,dan'dao'bi'suo
胆道测压,dan'dao'ce'ya
胆道出血,dan'dao'chu'xie
胆道梗阻,dan'dao'geng'zu
胆道减压术,dan'dao'jian'ya'shu
胆道排石汤,dan'dao'pai'shi'tang
胆道驱蛔汤,dan'dao'qu'hui'tang
胆道闪烁显像,dan'dao'shan'shuo'xian'xiang
弹刀子菜,dan'dao'zi'cai
单调作业,dan'diao'zuo'ye
淡豆豉,dan'dou'chi
淡豆鼓,dan'dou'gu
丹毒,dan'du
丹毒病,dan'du'bing
单端固定桥,dan'duan'gu'ding'qiao
丹莪妇康煎膏,dan'e'fu'kang'jian'gao
单耳听觉,dan'er'ting'jue
但发惭愧凄怜忧恤之意,dan'fa'can'kui'qi'lian'you'xu'zhi'yi
胆矾,dan'fan
单肺移植,dan'fei'yi'zhi
单分体,dan'fen'ti
氮分子激光疗法,dan'fen'zi'ji'guang'liao'fa
丹佛体制,dan'fo'ti'zhi
淡附片,dan'fu'pian
胆腑郁热证,dan'fu'yu're'zheng
单睾症,dan'gao'zheng
单根木,dan'gen'mu
胆固醇结石,dan'gu'chun'jie'shi
胆固醇贮积病,dan'gu'chun'zhu'ji'bing
胆管癌,dan'guan'ai
胆管测压造影,dan'guan'ce'ya'zao'ying
胆管空肠吻合术,dan'guan'kong'chang'wen'he'shu
胆管腺瘤,dan'guan'xian'liu
胆管炎,dan'guan'yan
胆管造影,dan'guan'zao'ying
单核巨噬细胞系统,dan'he'ju'shi'xi'bao'xi'tong
单颌全口义齿,dan'he'quan'kou'yi'chi
单核吞噬细胞系统,dan'he'tun'shi'xi'bao'xi'tong
单核细胞,dan'he'xi'bao
单核因子,dan'he'yin'zi
淡红舌,dan'hong'she
淡花当药,dan'hua'dang'yao
单花芥,dan'hua'jie
单花金丝桃,dan'hua'jin'si'tao
单花山竹子,dan'hua'shan'zhu'zi
单花鸢尾,dan'hua'yuan'wei
单花鸢尾子,dan'hua'yuan'wei'zi
丹黄四逆散,dan'huang'si'ni'san
胆火上逆证,dan'huo'shang'ni'zheng
单极电凝,dan'ji'dian'ning
单极电灼术,dan'ji'dian'zhuo'shu
单极分裂,dan'ji'fen'lie
单基因病,dan'ji'yin'bing
单基因杂种,dan'ji'yin'za'zhong
单价抗体,dan'jia'kang'ti
单价特异性抗血清,dan'jia'te'yi'xing'kang'xue'qing
单价体,dan'jia'ti
单睑,dan'jian
胆绞痛,dan'jiao'tong
胆经郁热证,dan'jing'yu're'zheng
但竞逐荣势,dan'jing'zhu'rong'shi
单克隆抗体,dan'ke'long'kang'ti
单链,dan'lian
单链构型多态性,dan'lian'gou'xing'duo'tai'xing
弹裂碎米荠,dan'lie'sui'mi'ji
胆瘘,dan'lou
单卵双生,dan'luan'shuang'sheng
但满而不痛,dan'man'er'bu'tong
单面洞,dan'mian'dong
单面针,dan'mian'zhen
胆木,dan'mu
胆南星,dan'nan'xing
胆囊,dan'nang
胆囊癌,dan'nang'ai
胆囊肠瘘,dan'nang'chang'lou
胆囊超声显像,dan'nang'chao'sheng'xian'xiang
胆囊穿孔,dan'nang'chuan'kong
胆囊钙化,dan'nang'gai'hua
胆囊积脓,dan'nang'ji'nong
胆囊积水,dan'nang'ji'shui
胆囊积血,dan'nang'ji'xue
胆囊空肠吻合术,dan'nang'kong'chang'wen'he'shu
胆囊切除术,dan'nang'qie'chu'shu
胆囊切除术后综合征,dan'nang'qie'chu'shu'hou'zong'he'zheng
胆囊十二指肠吻合术,dan'nang'shi'er'zhi'chang'wen'he'shu
胆囊收缩素,dan'nang'shou'suo'su
胆囊炎,dan'nang'yan
胆囊造口术,dan'nang'zao'kou'shu
胆囊造影术,dan'nang'zao'ying'shu
单能性,dan'neng'xing
丹皮,dan'pi
丹皮酚,dan'pi'fen
丹皮苓泽加桂附,dan'pi'ling'ze'jia'gui'fu
丹皮炭,dan'pi'tan
氮平衡,dan'ping'heng
丹七片,dan'qi'pian
胆气虚证胆热脾寒,dan'qi'xu'zheng'dan're'pi'han
单腔支气管导管,dan'qiang'zhi'qi'guan'dao'guan
单亲二体,dan'qin'er'ti
单亲生殖,dan'qin'sheng'zhi
胆热,dan're
胆热证,dan're'zheng
单乳头肾,dan'ru'tou'shen
单色视觉,dan'se'shi'jue
丹砂,dan'sha
丹痧病,dan'sha'bing
丹参,dan'shen
单肾草,dan'shen'cao
丹参饮,dan'shen'yin
胆石,dan'shi
胆石片,dan'shi'pian
胆石性肠梗阻,dan'shi'xing'chang'geng'zu
胆石症,dan'shi'zheng
丹石栀甘竹叶寻,dan'shi'zhi'gan'zhu'ye'xun
胆舒胶囊,dan'shu'jiao'nang
单体型,dan'ti'xing
单体性,dan'ti'xing
单条草,dan'tiao'cao
单头紫菀,dan'tou'zi'wan
单头紫菀根,dan'tou'zi'wan'gen
单尾检验,dan'wei'jian'yan
单味觉,dan'wei'jue
单细胞变异体,dan'xi'bao'bian'yi'ti
单细胞培养,dan'xi'bao'pei'yang
丹溪心法,dan'xi'xin'fa
单向辐射扩散试验,dan'xiang'fu'she'kuo'san'shi'yan
单向扩散试验,dan'xiang'kuo'san'shi'yan
丹香清脂颗粒,dan'xiang'qing'zhi'ke'li
单向型口咽通气管,dan'xiang'xing'kou'yan'tong'qi'guan
单心室性房室连接,dan'xin'shi'xing'fang'shi'lian'jie
胆星,dan'xing
胆星胆南星,dan'xing'dan'nan'xing
单型培养,dan'xing'pei'yang
单形性腺瘤,dan'xing'xing'xian'liu
单眼深度线索,dan'yan'shen'du'xian'suo
单眼运动视差,dan'yan'yun'dong'shi'cha
单一刺激法,dan'yi'ci'ji'fa
胆胰管汇合异常,dan'yi'guan'hui'he'yi'chang
单一性骨囊肿,dan'yi'xing'gu'nang'zhong
单因素方差分析,dan'yin'su'fang'cha'fen'xi
胆俞,dan'yu
胆郁痰扰证,dan'yu'tan'rao'zheng
胆俞穴,dan'yu'xue
胆胀,dan'zhang
胆胀病,dan'zhang'bing
胆汁,dan'zhi
丹栀加入热能排,dan'zhi'jia'ru're'neng'pai
胆汁浓缩综合征,dan'zhi'nong'suo'zong'he'zheng
丹栀逍遥散,dan'zhi'xiao'yao'san
丹枝逍遥丸,dan'zhi'xiao'yao'wan
胆汁性腹膜炎,dan'zhi'xing'fu'mo'yan
胆汁性肝硬化,dan'zhi'xing'gan'ying'hua
胆汁性瘙痒,dan'zhi'xing'sao'yang
胆汁淤积,dan'zhi'yu'ji
胆汁质,dan'zhi'zhi
淡竹根,dan'zhu'gen
淡竹壳,dan'zhu'ke
淡竹茹,dan'zhu'ru
淡竹笋,dan'zhu'sun
淡竹叶,dan'zhu'ye
单着丝粒染色体,dan'zhuo'si'li'ran'se'ti
胆总管端端吻合术,dan'zong'guan'duan'duan'wen'he'shu
胆总管梗阻,dan'zong'guan'geng'zu
胆总管结石,dan'zong'guan'jie'shi
胆总管结石病,dan'zong'guan'jie'shi'bing
胆总管空肠鲁氏,dan'zong'guan'kong'chang'lu'shi
胆总管扩张,dan'zong'guan'kuo'zhang
胆总管囊肿,dan'zong'guan'nang'zhong
胆总管囊肿切除术,dan'zong'guan'nang'zhong'qie'chu'shu
胆总管切开术,dan'zong'guan'qie'kai'shu
胆总管探查,dan'zong'guan'tan'cha
胆总管狭窄,dan'zong'guan'xia'zhai
胆总管造口术,dan'zong'guan'zao'kou'shu
但作救苦之心,dan'zuo'jiu'ku'zhi'xin
当复寸口,dang'fu'cun'kou
当归,dang'gui
当归补血汤,dang'gui'bu'xue'tang
当归川楝水煎服,dang'gui'chuan'lian'shui'jian'fu
当归地黄丸,dang'gui'di'huang'wan
当归鸡血藤汤,dang'gui'ji'xue'teng'tang
当归建中汤,dang'gui'jian'zhong'tang
当归六黄二地黄,dang'gui'liu'huang'er'di'huang
当归六黄汤,dang'gui'liu'huang'tang
当归龙荟丸,dang'gui'long'hui'wan
当归拈痛汤,dang'gui'nian'tong'tang
当归散,dang'gui'san
当归芍药散,dang'gui'shao'yao'san
当归身,dang'gui'shen
当归生姜羊肉汤,dang'gui'sheng'jiang'yang'rou'tang
当归四逆加吴茱萸生姜汤,dang'gui'si'ni'jia'wu'zhu'yu'sheng'jiang'tang
当归四逆汤,dang'gui'si'ni'tang
当归炭,dang'gui'tan
当归藤,dang'gui'teng
当归尾,dang'gui'wei
当归饮子,dang'gui'yin'zi
当洛斯综合征,dang'luo'si'zong'he'zheng
当门子,dang'men'zi
荡皮参,dang'pi'can
当凭脉变,dang'ping'mai'bian
党参,dang'shen
党参炒,dang'shen'chao
当药,dang'yao
倒凹区,dao'ao'qu
稻草,dao'cao
稻槎菜,dao'cha'cai
倒插花,dao'cha'hua
倒赤伞,dao'chi'san
导赤散,dao'chi'san
导赤生地与木通,dao'chi'sheng'di'yu'mu'tong
导出分数,dao'chu'fen'shu
倒触伞,dao'chu'san
道德两难,dao'de'liang'nan
道德判断,dao'de'pan'duan
道德需要,dao'de'xu'yao
倒吊笔叶,dao'diao'bi'ye
倒吊蜡烛,dao'diao'la'zhu
刀豆,dao'dou
刀豆根,dao'dou'gen
刀豆壳,dao'dou'ke
倒翻转移,dao'fan'zhuan'yi
倒根蓼,dao'gen'liao
倒根野苏,dao'gen'ye'su
倒钩刺,dao'gou'ci
倒钩卡环,dao'gou'ka'huan
倒钩形切口,dao'gou'xing'qie'kou
稻谷芒,dao'gu'mang
倒挂草,dao'gua'cao
倒挂牛,dao'gua'niu
导管癌,dao'guan'ai
导管内乳头状瘤,dao'guan'nei'ru'tou'zhuang'liu
导管乳头状瘤,dao'guan'ru'tou'zhuang'liu
倒罐子根,dao'guan'zi'gen
盗汗,dao'han
盗汗病,dao'han'bing
刀灰树,dao'hui'shu
倒睫卷毛病,dao'jie'juan'mao'bing
倒扣草,dao'kou'cao
刀口药,dao'kou'yao
到老嫩,dao'lao'nen
倒卵叶五加,dao'luan'ye'wu'jia
导尿术,dao'niao'shu
稻农皮炎,dao'nong'pi'yan
导平面,dao'ping'mian
导气汤,dao'qi'tang
刀伤木,dao'shang'mu
倒摄干扰,dao'she'gan'rao
倒摄抑制,dao'she'yi'zhi
倒生根,dao'sheng'gen
倒生莲,dao'sheng'lian
导水管扩张术,dao'shui'guan'kuo'zhang'shu
导水管狭窄,dao'shui'guan'xia'zhai
倒水莲,dao'shui'lian
导水丸,dao'shui'wan
道说是非,dao'shuo'shi'fei
导痰汤,dao'tan'tang
倒位环,dao'wei'huan
倒心叶桃叶珊瑚,dao'xin'ye'tao'ye'shan'hu
盗血现象,dao'xue'xian'xiang
稻芽,dao'ya
道引,dao'yin
到院死亡,dao'yuan'si'wang
倒扎龙,dao'zha'long
道之根源,dao'zhi'gen'yuan
倒置显微镜,dao'zhi'xian'wei'jing
倒置阻生,dao'zhi'zu'sheng
岛状筋膜瓣,dao'zhuang'jin'mo'ban
岛状皮瓣,dao'zhuang'pi'ban
倒锥钻,dao'zhui'zuan
的抗原,de'kang'yuan
德朗热综合征,de'lang're'zong'he'zheng
得气,de'qi
德乔治序列征,de'qiao'zhi'xu'lie'zheng
德瓦尔鼓泡式氧合器,de'wa'er'gu'pao'shi'yang'he'qi
德育心理学,de'yu'xin'li'xue
等臂染色体,deng'bi'ran'se'ti
灯草,deng'cao
等长收缩,deng'chang'shou'suo
等电点聚焦电泳,deng'dian'dian'ju'jiao'dian'yong
登豆疮病,deng'dou'chuang'bing
灯蛾,deng'e
等幅中频电疗法,deng'fu'zhong'pin'dian'liao'fa
等感受性曲线,deng'gan'shou'xing'qu'xian
等高曲线,deng'gao'qu'xian
等级法,deng'ji'fa
等价区,deng'jia'qu
等距变量,deng'ju'bian'liang
等距法,deng'ju'fa
等距量表,deng'ju'liang'biao
邓肯多重范围检验,deng'ken'duo'chong'fan'wei'jian'yan
等宽鳞毛蕨,deng'kuan'lin'mao'jue
等离子体刀,deng'li'zi'ti'dao
灯笼草,deng'long'cao
灯笼果,deng'long'guo
灯笼花,deng'long'hua
等能光谱,deng'neng'guang'pu
等势原理,deng'shi'yuan'li
灯刷染色体,deng'shua'ran'se'ti
等速肌力测定,deng'su'ji'li'ce'ding
等速运动,deng'su'yun'dong
灯台菜,deng'tai'cai
灯台树,deng'tai'shu
灯台树果,deng'tai'shu'guo
灯台细辛,deng'tai'xi'xin
灯台叶,deng'tai'ye
等位基因,deng'wei'ji'yin
等位基因连锁分析,deng'wei'ji'yin'lian'suo'fen'xi
等位片段,deng'wei'pian'duan
等位染色单体断裂,deng'wei'ran'se'dan'ti'duan'lie
等位染色单体缺失,deng'wei'ran'se'dan'ti'que'shi
等响曲线,deng'xiang'qu'xian
灯芯草,deng'xin'cao
灯心草,deng'xin'cao
灯心草根,deng'xin'cao'gen
灯银脑通胶囊,deng'yin'nao'tong'jiao'nang
灯盏细辛,deng'zhan'xi'xin
灯盏细辛胶囊,deng'zhan'xi'xin'jiao'nang
等张收缩,deng'zhang'shou'suo
等值复本,deng'zhi'fu'ben
地奥心血康胶囊,di'ao'xin'xue'kang'jiao'nang
地八角,di'ba'jiao
地白草,di'bai'cao
地柏树,di'bai'shu
地柏枝,di'bai'zhi
地板效应,di'ban'xiao'ying
地必虫,di'bi'chong
地鳖虫,di'bie'chong
地不容,di'bu'rong
地蚕,di'can
地仓,di'cang
地仓穴,di'cang'xue
低常儿童,di'chang'er'tong
滴虫性包皮阴茎头炎,di'chong'xing'bao'pi'yin'jing'tou'yan
滴虫性尿道膀胱炎,di'chong'xing'niao'dao'pang'guang'yan
滴虫性前列腺炎,di'chong'xing'qian'lie'xian'yan
地打果树皮,di'da'guo'shu'pi
地胆,di'dan
地胆草,di'dan'cao
抵挡汤,di'dang'tang
地耳草,di'er'cao
地耳草田基黄,di'er'cao'tian'ji'huang
第二信号系统,di'er'xin'hao'xi'tong
第二需要,di'er'xu'yao
地枫皮,di'feng'pi
地枫皮钻地风,di'feng'pi'zuan'di'feng
地蜂子,di'feng'zi
地氟醚,di'fu'mi
地肤苗,di'fu'miao
地肤子,di'fu'zi
地柑,di'gan
地膏药,di'gao'yao
地牯牛,di'gu'niu
地骨皮,di'gu'pi
地骨皮汤,di'gu'pi'tang
地瓜根,di'gua'gen
地瓜果,di'gua'guo
地瓜藤,di'gua'teng
骶管阻滞,di'guan'zu'zhi
地贵草,di'gui'cao
地核桃,di'he'tao
地红子根,di'hong'zi'gen
骶后纵切肛门成形术,di'hou'zong'qie'gang'men'cheng'xing'shu
地黄,di'huang
地黄瓜,di'huang'gua
地黄饮子,di'huang'yin'zi
骶会阴肛门成形术,di'hui'yin'gang'men'cheng'xing'shu
地机,di'ji
低剂量耐受,di'ji'liang'nai'shou
地机穴,di'ji'xue
递减系列,di'jian'xi'lie
地浆,di'jiang
地椒,di'jiao
地锦,di'jin
地筋,di'jin
地锦草,di'jin'cao
地锦槭,di'jin'qi
地锦苋,di'jin'xian
地骷髅,di'ku'lou
地理病理学,di'li'bing'li'xue
地栗粉,di'li'fen
骶联体,di'lian'ti
低磷酸血症骨病,di'lin'suan'xue'zheng'gu'bing
低磷酸酯酶症,di'lin'suan'zhi'mei'zheng
地灵根,di'ling'gen
地龙,di'long
地龙炭,di'long'tan
涤纶编织人造血管,di'lun'bian'zhi'ren'zao'xue'guan
涤纶缝线,di'lun'feng'xian
涤纶毛滤器,di'lun'mao'lv'qi
地霉病,di'mei'bing
地莓子,di'mei'zi
低密度脂蛋白受体,di'mi'du'zhi'dan'bai'shou'ti
地绵绵,di'mian'mian
低免疫性,di'mian'yi'xing
低敏感性,di'min'gan'xing
地磨薯,di'mo'shu
地膜香,di'mo'xiang
蒂内尔征,di'nei'er'zheng
地菍,di'nie
地菍根,di'nie'gen
地菍果,di'nie'guo
地盘松球,di'pan'song'qiu
地皮消,di'pi'xiao
低频电疗法,di'pin'dian'liao'fa
低频电疗美容术,di'pin'dian'liao'mei'rong'shu
低频脉冲电疗法,di'pin'mai'chong'dian'liao'fa
骶前神经切断术,di'qian'shen'jing'qie'duan'shu
低强度激光,di'qiang'du'ji'guang
地茄子,di'qie'zi
第三磨牙,di'san'mo'ya
第三脑室前部造瘘术,di'san'nao'shi'qian'bu'zao'lou'shu
地涩涩,di'se'se
地沙,di'sha
地芍贝茹茯草襄,di'shao'bei'ru'fu'cao'xiang
地梢瓜,di'shao'gua
低肾素型高血压,di'shen'su'xing'gao'xue'ya
滴水珠,di'shui'zhu
地笋,di'sun
涤痰汤,di'tan'tang
涤痰汤用竹茹星,di'tan'tang'yong'zhu'ru'xing
地棠花,di'tang'hua
棣棠花,di'tang'hua
地桃花,di'tao'hua
迪特尔危象,di'te'er'wei'xiang
地图舌,di'tu'she
地图苔,di'tu'tai
地图样舌,di'tu'yang'she
迪瓦恩结肠造口术,di'wa'en'jie'chang'zao'kou'shu
低位髌骨,di'wei'bin'gu
骶尾部畸胎瘤,di'wei'bu'ji'tai'liu
骶尾囊肿,di'wei'nang'zhong
地位人格,di'wei'ren'ge
低位微笑,di'wei'wei'xiao
低位牙,di'wei'ya
低温冷藏组织贮存,di'wen'leng'cang'zu'zhi'zhu'cun
低温下氧耗定律,di'wen'xia'yang'hao'ding'lv
低温心脏停搏液,di'wen'xin'zang'ting'bo'ye
地乌,di'wu
地五会,di'wu'hui
地五会穴,di'wu'hui'xue
地下明珠,di'xia'ming'zhu
地仙桃,di'xian'tao
地星,di'xing
滴血根,di'xue'gen
地血香,di'xue'xiang
地血香果,di'xue'xiang'guo
低压电损伤,di'ya'dian'sun'shang
地杨梅,di'yang'mei
地羊鹊,di'yang'que
低氧性酸中毒,di'yang'xing'suan'zhong'du
地衣红,di'yi'hong
第一急救者,di'yi'ji'jiu'zhe
第一信号系统,di'yi'xin'hao'xi'tong
第一需要,di'yi'xu'yao
第一掌骨拇指化术,di'yi'zhang'gu'mu'zhi'hua'shu
低应答个体,di'ying'da'ge'ti
地涌金莲,di'yong'jin'lian
地榆,di'yu
地榆散,di'yu'san
地榆升白片,di'yu'sheng'bai'pian
地榆炭,di'yu'tan
递增系列,di'zeng'xi'lie
地毡草,di'zhan'cao
地朝阳,di'zhao'yang
鸐雉,di'zhi
滴状扁平苔藓,di'zhuang'bian'ping'tai'xian
滴状副银屑病,di'zhuang'fu'yin'xie'bing
滴状银屑病,di'zhuang'yin'xie'bing
滴状硬斑病,di'zhuang'ying'ban'bing
电按摩法,dian'an'mo'fa
电按摩器,dian'an'mo'qi
点凹甲,dian'ao'jia
滇白药子,dian'bai'yao'zi
滇白芷,dian'bai'zhi
滇白芷果,dian'bai'zhi'guo
电报式言语,dian'bao'shi'yan'yu
癫病,dian'bing
滇藏方枝柏,dian'cang'fang'zhi'bai
电场凝胶电泳,dian'chang'ning'jiao'dian'yong
滇常山,dian'chang'shan
滇常山花,dian'chang'shan'hua
滇池海棠,dian'chi'hai'tang
电穿孔,dian'chuan'kong
电刺激,dian'ci'ji
电刺激术,dian'ci'ji'shu
点刺舌,dian'ci'she
滇丹参,dian'dan'shen
滇地黄连,dian'di'huang'lian
癫顶,dian'ding
巅顶头痛,dian'ding'tou'tong
滇丁香,dian'ding'xiang
巅顶作痛,dian'ding'zuo'tong
电动取皮机,dian'dong'qu'pi'ji
点二列相关,dian'er'lie'xiang'guan
淀粉核,dian'fen'he
淀粉样变性,dian'fen'yang'bian'xing
淀粉样小体,dian'fen'yang'xiao'ti
电干燥法,dian'gan'zao'fa
滇藁本,dian'gao'ben
滇高良姜,dian'gao'liang'jiang
滇海水仙花,dian'hai'shui'xian'hua
电化学疗法,dian'hua'xue'liao'fa
颠换,dian'huan
滇鸡骨常山,dian'ji'gu'chang'shan
电接触烧伤,dian'jie'chu'shao'shang
电解损伤,dian'jie'sun'shang
电解脱毛,dian'jie'tuo'mao
电解质平衡液,dian'jie'zhi'ping'heng'ye
电解质紊乱,dian'jie'zhi'wen'luan
电解质转移,dian'jie'zhi'zhuan'yi
电痉挛休克,dian'jing'luan'xiu'ke
癫狂病,dian'kuang'bing
靛蓝,dian'lan
电缆式神经移植术,dian'lan'shi'shen'jing'yi'zhi'shu
电烙术,dian'lao'shu
电离子透入疗法,dian'li'zi'tou'ru'liao'fa
电疗法,dian'liao'fa
滇列当,dian'lie'dang
滇绿豆,dian'lv'dou
电麻醉,dian'ma'zui
电脉冲刺激,dian'mai'chong'ci'ji
电免疫扩散,dian'mian'yi'kuo'san
滇南冠唇花,dian'nan'guan'chun'hua
滇南寄生,dian'nan'ji'sheng
滇南美登木,dian'nan'mei'deng'mu
