阿贝比长原理,a'bei'bi'chang'yuan'li
分带子午线,fen'dai'zi'wu'xian
分幅,fen'fu
分工法测图,fen'gong'fa'ce'tu
分类器,fen'lei'qi
分区量值地图,fen'qu'liang'zhi'di'tu
分区密度地图,fen'qu'mi'du'di'tu
分区统计图表法,fen'qu'tong'ji'tu'biao'fa
分区统计图法,fen'qu'tong'ji'tu'fa
分色,fen'se
分色参考图,fen'se'can'kao'tu
分析地图,fen'xi'di'tu
分宗,fen'zong
缝隙纠正仪,feng'xi'jiu'zheng'yi
风讯信号杆,feng'xun'xin'hao'gan
浮标,fu'biao
附参数条件平差,fu'can'shu'tiao'jian'ping'cha
复测法,fu'ce'fa
浮雕影像地图,fu'diao'ying'xiang'di'tu
符号化,fu'hao'hua
负荷潮,fu'he'chao
附合导线,fu'he'dao'xian
附合水准路线,fu'he'shui'zhun'lu'xian
附加位,fu'jia'wei
复垦测量,fu'ken'ce'liang
负片,fu'pian
辐射校正,fu'she'jiao'zheng
辐射三角测量,fu'she'san'jiao'ce'liang
辐射线格网,fu'she'xian'ge'wang
辐射遥感器,fu'she'yao'gan'qi
副台,fu'tai
附条件参数平差,fu'tiao'jian'can'shu'ping'cha
附条件的间接平差,fu'tiao'jian'de'jian'jie'ping'cha
复照仪,fu'zhao'yi
辅助等高线,fu'zhu'deng'gao'xian
浮子验潮仪,fu'zi'yan'chao'yi
概率判决函数,gai'lv'pan'jue'han'shu
概然误差,gai'ran'wu'cha
干出高度,gan'chu'gao'du
干出礁,gan'chu'jiao
干出滩,gan'chu'tan
干出线,gan'chu'xian
感光,gan'guang
感光材料,gan'guang'cai'liao
感光测定,gan'guang'ce'ding
感光度,gan'guang'du
感光特性曲线,gan'guang'te'xing'qu'xian
干涉雷达,gan'she'lei'da
感受效果,gan'shou'xiao'guo
港界,gang'jie
港口,gang'kou
港口工程测量,gang'kou'gong'cheng'ce'liang
港湾测量,gang'wan'ce'liang
港湾锚地图集,gang'wan'mao'di'tu'ji
港湾图,gang'wan'tu
高比,gao'bi
高差仪,gao'cha'yi
高潮适淹礁,gao'chao'shi'yan'jiao
高程,gao'cheng
高程导线,gao'cheng'dao'xian
高程点,gao'cheng'dian
高程基准,gao'cheng'ji'zhun
高程控制测量,gao'cheng'kong'zhi'ce'liang
高程控制点,gao'cheng'kong'zhi'dian
高程控制网,gao'cheng'kong'zhi'wang
高程系统,gao'cheng'xi'tong
高程异常,gao'cheng'yi'chang
高程中误差,gao'cheng'zhong'wu'cha
高度角,gao'du'jiao
高密度数字磁带,gao'mi'du'shu'zi'ci'dai
高斯,gao'si
高斯目镜,gao'si'mu'jing
高斯平面子午线收敛角,gao'si'ping'mian'zi'wu'xian'shou'lian'jiao
高斯平面坐标,gao'si'ping'mian'zuo'biao
高斯平面坐标系,gao'si'ping'mian'zuo'biao'xi
高斯投影,gao'si'tou'ying
高斯投影方向改正,gao'si'tou'ying'fang'xiang'gai'zheng
高斯投影距离改正,gao'si'tou'ying'ju'li'gai'zheng
高斯一克吕格投影,gao'si'yi'ke'lv'ge'tou'ying
高斯约化法,gao'si'yue'hua'fa
高斯中纬度公式,gao'si'zhong'wei'du'gong'shi
格网单元,ge'wang'dan'yuan
根据,gen'ju
根据两个,gen'ju'liang'ge
跟踪数字化,gen'zong'shu'zi'hua
工厂现状图测量,gong'chang'xian'zhuang'tu'ce'liang
工程测量,gong'cheng'ce'liang
工程测量学,gong'cheng'ce'liang'xue
工程经纬仪,gong'cheng'jing'wei'yi
工程控制网,gong'cheng'kong'zhi'wang
工程摄影测量,gong'cheng'she'ying'ce'liang
工程水准仪,gong'cheng'shui'zhun'yi
公路工程测量,gong'lu'gong'cheng'ce'liang
功率谱,gong'lv'pu
共面方程,gong'mian'fang'cheng
共线方程,gong'xian'fang'cheng
工业测量系统,gong'ye'ce'liang'xi'tong
工业摄影测量,gong'ye'she'ying'ce'liang
公用事业工程测量,gong'yong'shi'ye'gong'cheng'ce'liang
共宗,gong'zong
构架航线,gou'jia'hang'xian
构面,gou'mian
构像方程,gou'xiang'fang'cheng
古地图,gu'di'tu
固定平极,gu'ding'ping'ji
固定台,gu'ding'tai
固定误差,gu'ding'wu'cha
固定相移,gu'ding'xiang'yi
骨架航线,gu'jia'hang'xian
估算测角中误差,gu'suan'ce'jiao'zhong'wu'cha
固体潮,gu'ti'chao
固体激光器,gu'ti'ji'guang'qi
观测方程,guan'ce'fang'cheng
管道测量,guan'dao'ce'liang
管道综合图,guan'dao'zong'he'tu
惯导组合定位系统,guan'dao'zu'he'ding'wei'xi'tong
灌溉泵站测量,guan'gai'beng'zhan'ce'liang
灌区平面布置图,guan'qu'ping'mian'bu'zhi'tu
贯通测量,guan'tong'ce'liang
管线,guan'xian
惯性测量系统,guan'xing'ce'liang'xi'tong
惯性坐标系,guan'xing'zuo'biao'xi
惯用名,guan'yong'ming
光笔,guang'bi
广播星历,guang'bo'xing'li
光电测距导线,guang'dian'ce'ju'dao'xian
光电测距仪,guang'dian'ce'ju'yi
光电等高仪,guang'dian'deng'gao'yi
光电遥感器,guang'dian'yao'gan'qi
光电中星仪,guang'dian'zhong'xing'yi
光碟,guang'die
光谱感光度,guang'pu'gan'guang'du
光谱灵敏度,guang'pu'ling'min'du
光圈,guang'quan
光圈号数,guang'quan'hao'shu
光栅,guang'shan
光束法空中三角测量,guang'shu'fa'kong'zhong'san'jiao'ce'liang
光性,guang'xing
光学,guang'xue
光学传递函数,guang'xue'chuan'di'han'shu
光学对中器,guang'xue'dui'zhong'qi
光学机械纠正,guang'xue'ji'xie'jiu'zheng
光学机械投影,guang'xue'ji'xie'tou'ying
光学经纬仪,guang'xue'jing'wei'yi
光学纠正,guang'xue'jiu'zheng
光学水准仪,guang'xue'shui'zhun'yi
光学条件,guang'xue'tiao'jian
光学投影,guang'xue'tou'ying
光学图解纠正,guang'xue'tu'jie'jiu'zheng
光学图像处理,guang'xue'tu'xiang'chu'li
光学相关,guang'xue'xiang'guan
光学镶嵌,guang'xue'xiang'qian
光学遥感器,guang'xue'yao'gan'qi
光学准直,guang'xue'zhun'zhi
轨道坐标系,gui'dao'zuo'biao'xi
规划地图,gui'hua'di'tu
规划红线,gui'hua'hong'xian
归化纬度,gui'hua'wei'du
规矩线,gui'ju'xian
龟纹,gui'wen
归心改正,gui'xin'gai'zheng
归心元素,gui'xin'yuan'su
国际测绘联合会,guo'ji'ce'hui'lian'he'hui
国际测量师联合会,guo'ji'ce'liang'shi'lian'he'hui
国际大地测量协会,guo'ji'da'di'ce'liang'xie'hui
国际大地测量学协会,guo'ji'da'di'ce'liang'xue'xie'hui
国际大地测量学与地球物理学,guo'ji'da'di'ce'liang'xue'yu'di'qiu'wu'li'xue
国际地球参考架,guo'ji'di'qiu'can'kao'jia
国际地球自转服务局,guo'ji'di'qiu'zi'zhuan'fu'wu'ju
国际地图学协会,guo'ji'di'tu'xue'xie'hui
国际海道测量组织,guo'ji'hai'dao'ce'liang'zu'zhi
国际海图,guo'ji'hai'tu
国际矿山测量学会,guo'ji'kuang'shan'ce'liang'xue'hui
国际摄影测量与遥感学会,guo'ji'she'ying'ce'liang'yu'yao'gan'xue'hui
国际天球参考架,guo'ji'tian'qiu'can'kao'jia
国际协议原点,guo'ji'xie'yi'yuan'dian
国际原子时,guo'ji'yuan'zi'shi
国际制图协会,guo'ji'zhi'tu'xie'hui
国家地图集,guo'jia'di'tu'ji
国家高程基准,guo'jia'gao'cheng'ji'zhun
国家基准网,guo'jia'ji'zhun'wang
国家控制网,guo'jia'kong'zhi'wang
国家水准网,guo'jia'shui'zhun'wang
国土基础信息系统,guo'tu'ji'chu'xin'xi'xi'tong
海岸,hai'an
海岸地形测量,hai'an'di'xing'ce'liang
海岸图,hai'an'tu
海岸线,hai'an'xian
海岸性质,hai'an'xing'zhi
海潮模型,hai'chao'mo'xing
海道测量,hai'dao'ce'liang
海道测量学,hai'dao'ce'liang'xue
海底地貌,hai'di'di'mao
海底地貌图,hai'di'di'mao'tu
海底地势图,hai'di'di'shi'tu
海底地形测量,hai'di'di'xing'ce'liang
海底地形图,hai'di'di'xing'tu
海底地质构造图,hai'di'di'zhi'gou'zao'tu
海底电缆,hai'di'dian'lan
海底管道,hai'di'guan'dao
海底控制网,hai'di'kong'zhi'wang
海底倾斜改正,hai'di'qing'xie'gai'zheng
海底声标,hai'di'sheng'biao
海底施工测量,hai'di'shi'gong'ce'liang
海底隧道测量,hai'di'sui'dao'ce'liang
海底图像系统,hai'di'tu'xiang'xi'tong
海福德椭球,hai'fu'de'tuo'qiu
海福特,hai'fu'te
海军导航卫星系统,hai'jun'dao'hang'wei'xing'xi'tong
海军勤务测量,hai'jun'qin'wu'ce'liang
海控点,hai'kong'dian
海流计,hai'liu'ji
海面地形,hai'mian'di'xing
海区界线,hai'qu'jie'xian
海区资料调查,hai'qu'zi'liao'diao'cha
海区总图,hai'qu'zong'tu
海图,hai'tu
海图比例尺,hai'tu'bi'li'chi
海图编号,hai'tu'bian'hao
海图编制,hai'tu'bian'zhi
海图标题,hai'tu'biao'ti
海图大改正,hai'tu'da'gai'zheng
海图分幅,hai'tu'fen'fu
海图改正,hai'tu'gai'zheng
海图投影,hai'tu'tou'ying
海图图廓,hai'tu'tu'kuo
海图图式,hai'tu'tu'shi
海图小改正,hai'tu'xiao'gai'zheng
海图制图,hai'tu'zhi'tu
海图注记,hai'tu'zhu'ji
海洋测绘,hai'yang'ce'hui
海洋测绘数据库,hai'yang'ce'hui'shu'ju'ku
海洋测量,hai'yang'ce'liang
海洋测量定位,hai'yang'ce'liang'ding'wei
海洋磁力测量,hai'yang'ci'li'ce'liang
海洋磁力图,hai'yang'ci'li'tu
海洋磁力异常,hai'yang'ci'li'yi'chang
海洋大地测量,hai'yang'da'di'ce'liang
海洋大地测量学,hai'yang'da'di'ce'liang'xue
海洋负荷,hai'yang'fu'he
海洋工程测量,hai'yang'gong'cheng'ce'liang
海洋划界测量,hai'yang'hua'jie'ce'liang
海洋环境图,hai'yang'huan'jing'tu
海洋气象图,hai'yang'qi'xiang'tu
海洋生物图,hai'yang'sheng'wu'tu
海洋水文图,hai'yang'shui'wen'tu
海洋水准测量,hai'yang'shui'zhun'ce'liang
海洋卫星,hai'yang'wei'xing
海洋质子采样器,hai'yang'zhi'zi'cai'yang'qi
海洋质子磁力仪,hai'yang'zhi'zi'ci'li'yi
海洋重力测量,hai'yang'zhong'li'ce'liang
海洋重力仪,hai'yang'zhong'li'yi
海洋重力异常,hai'yang'zhong'li'yi'chang
海洋重力异常图,hai'yang'zhong'li'yi'chang'tu
海洋专题测量,hai'yang'zhuan'ti'ce'liang
海洋资源图,hai'yang'zi'yuan'tu
航标,hang'biao
航标表,hang'biao'biao
航测,hang'ce
航测成图,hang'ce'cheng'tu
航测地籍,hang'ce'di'ji
航带,hang'dai
航带法空中三角测量,hang'dai'fa'kong'zhong'san'jiao'ce'liang
航带摄影机,hang'dai'she'ying'ji
航道,hang'dao
巷道坡度线标定,hang'dao'po'du'xian'biao'ding
巷道碎部测量,hang'dao'sui'bu'ce'liang
航道图,hang'dao'tu
巷道验收测量,hang'dao'yan'shou'ce'liang
巷道验收丈量,hang'dao'yan'shou'zhang'liang
巷道中线标定,hang'dao'zhong'xian'biao'ding
航高,hang'gao
航海天文历,hang'hai'tian'wen'li
航海通告,hang'hai'tong'gao
航海图,hang'hai'tu
航迹,hang'ji
航空航天摄影,hang'kong'hang'tian'she'ying
航空摄谱仪,hang'kong'she'pu'yi
航空摄影,hang'kong'she'ying
航空摄影测量,hang'kong'she'ying'ce'liang
航空摄影机,hang'kong'she'ying'ji
航空图,hang'kong'tu
航空像片,hang'kong'xiang'pian
航空遥感,hang'kong'yao'gan
航空重力测量,hang'kong'zhong'li'ce'liang
航路指南,hang'lu'zhi'nan
航摄计划,hang'she'ji'hua
航摄领航,hang'she'ling'hang
航摄漏洞,hang'she'lou'dong
航摄软片,hang'she'ruan'pian
航摄像片,hang'she'xiang'pian
航摄质量,hang'she'zhi'liang
航速,hang'su
航天飞机,hang'tian'fei'ji
航天摄影,hang'tian'she'ying
航天摄影测量,hang'tian'she'ying'ce'liang
航天遥感,hang'tian'yao'gan
航艇洞库测量,hang'ting'dong'ku'ce'liang
航向,hang'xiang
航向重叠,hang'xiang'chong'die
航向倾角,hang'xiang'qing'jiao
航行通告,hang'xing'tong'gao
航行图,hang'xing'tu
航行障碍物,hang'xing'zhang'ai'wu
航行障碍物探测,hang'xing'zhang'ai'wu'tan'ce
合成地图,he'cheng'di'tu
合成孔径雷达,he'cheng'kong'jing'lei'da
河道整治测量,he'dao'zheng'zhi'ce'liang
核点,he'dian
合点控制,he'dian'kong'zhi
和国际参考极,he'guo'ji'can'kao'ji
核面,he'mian
盒式分类法,he'shi'fen'lei'fa
河外致密射电源,he'wai'zhi'mi'she'dian'yuan
合线,he'xian
核线,he'xian
核线相关,he'xian'xiang'guan
和重力扁率,he'zhong'li'bian'lv
黑白片,hei'bai'pian
黑白摄影,hei'bai'she'ying
横断面测量,heng'duan'mian'ce'liang
横断面图,heng'duan'mian'tu
横基尺视差法,heng'ji'chi'shi'cha'fa
衡量测量值,heng'liang'ce'liang'zhi
恒时钟,heng'shi'zhong
恒星摄影机,heng'xing'she'ying'ji
恒星时,heng'xing'shi
恒星中天测时法,heng'xing'zhong'tian'ce'shi'fa
横轴投影,heng'zhou'tou'ying
红外测距仪,hong'wai'ce'ju'yi
红外辐射计,hong'wai'fu'she'ji
红外片,hong'wai'pian
红外扫描仪,hong'wai'sao'miao'yi
红外摄影,hong'wai'she'ying
红外图像,hong'wai'tu'xiang
红外遥感,hong'wai'yao'gan
后方交会,hou'fang'jiao'hui
互补色地图,hu'bu'se'di'tu
互补色镜,hu'bu'se'jing
互补色立体观察,hu'bu'se'li'ti'guan'cha
湖泊测量,hu'po'ce'liang
华达科捷,hua'da'ke'jie
华劲,hua'jin
华星宇,hua'xing'yu
换带,huan'dai
缓和曲线测设,huan'he'qu'xian'ce'she
环境地图,huan'jing'di'tu
环境探测卫星,huan'jing'tan'ce'wei'xing
换能器,huan'neng'qi
换能器吃水改正,huan'neng'qi'chi'shui'gai'zheng
换能器动态吃水,huan'neng'qi'dong'tai'chi'shui
换能器基线,huan'neng'qi'ji'xian
换能器基线改正,huan'neng'qi'ji'xian'gai'zheng
换能器静态吃水,huan'neng'qi'jing'tai'chi'shui
环形控制网,huan'xing'kong'zhi'wang
黄海平均海,huang'hai'ping'jun'hai
回光灯,hui'guang'deng
灰色调,hui'se'diao
回声测深,hui'sheng'ce'shen
回声测深仪,hui'sheng'ce'shen'yi
汇水面积测量,hui'shui'mian'ji'ce'liang
回头曲线测设,hui'tou'qu'xian'ce'she
绘图机,hui'tu'ji
绘图文件,hui'tu'wen'jian
灰楔,hui'xie
回照器,hui'zhao'qi
混房,hun'fang
混合潮港,hun'he'chao'gang
混合生成新色光,hun'he'sheng'cheng'xin'se'guang
或岸台,huo'an'tai
或估值,huo'gu'zhi
或平坦地面,huo'ping'tan'di'mian
或然误差,huo'ran'wu'cha
或色料三原色,huo'se'liao'san'yuan'se
活树篱笆,huo'shu'li'ba
或新颜色,huo'xin'yan'shai
或右片上,huo'you'pian'shang
或左片上,huo'zuo'pian'shang
基本比例尺,ji'ben'bi'li'chi
基本图形元素,ji'ben'tu'xing'yuan'su
基本重力点,ji'ben'zhong'li'dian
畸变差,ji'bian'cha
积差阵,ji'cha'zhen
机场测量,ji'chang'ce'liang
机场跑道测量,ji'chang'pao'dao'ce'liang
集成,ji'cheng
吉尔平面,ji'er'ping'mian
机耕路,ji'geng'lu
激光测高仪,ji'guang'ce'gao'yi
激光测距仪,ji'guang'ce'ju'yi
激光测深仪,ji'guang'ce'shen'yi
激光测月,ji'guang'ce'yue
激光导向仪给向,ji'guang'dao'xiang'yi'gei'xiang
激光地形仪,ji'guang'di'xing'yi
激光二极管,ji'guang'er'ji'guan
激光绘图机,ji'guang'hui'tu'ji
激光经纬仪,ji'guang'jing'wei'yi
激光目镜,ji'guang'mu'jing
激光铅垂仪,ji'guang'qian'chui'yi
激光扫平仪,ji'guang'sao'ping'yi
激光水准仪,ji'guang'shui'zhun'yi
激光投点,ji'guang'tou'dian
激光照排机,ji'guang'zhao'pai'ji
激光指向仪给向,ji'guang'zhi'xiang'yi'gei'xiang
激光准直,ji'guang'zhun'zhi
激光准直法,ji'guang'zhun'zhi'fa
激光准直仪,ji'guang'zhun'zhi'yi
几何大地测量学,ji'he'da'di'ce'liang'xue
几何定向,ji'he'ding'xiang
几何反转原理,ji'he'fan'zhuan'yuan'li
几何校正,ji'he'jiao'zheng
几何模型,ji'he'mo'xing
几何条件,ji'he'tiao'jian
机井,ji'jing
计曲线,ji'qu'xian
技术和地理信息系统,ji'shu'he'di'li'xin'xi'xi'tong
技术境界标定,ji'shu'jing'jie'biao'ding
计算机兼容磁带,ji'suan'ji'jian'rong'ci'dai
计算机视觉,ji'suan'ji'shi'jue
计算机制图综合,ji'suan'ji'zhi'tu'zong'he
基线,ji'xian
基线测量,ji'xian'ce'liang
基线网,ji'xian'wang
极限误差,ji'xian'wu'cha
机械投影,ji'xie'tou'ying
即协因数矩阵,ji'xie'yin'shu'ju'zhen
极移,ji'yi
基一高比,ji'yi'gao'bi
既有线站场测量,ji'you'xian'zhan'chang'ce'liang
机载激光测深,ji'zai'ji'guang'ce'shen
机载遥感器,ji'zai'yao'gan'qi
机助测图,ji'zhu'ce'tu
机助地图制图,ji'zhu'di'tu'zhi'tu
机助分类,ji'zhu'fen'lei
基准台,ji'zhun'tai
基准纬度,ji'zhun'wei'du
极坐标定位,ji'zuo'biao'ding'wei
极坐标定位方法,ji'zuo'biao'ding'wei'fang'fa
极坐标定位系统,ji'zuo'biao'ding'wei'xi'tong
极坐标缩放仪,ji'zuo'biao'suo'fang'yi
假彩色合成,jia'cai'se'he'cheng
假彩色片,jia'cai'se'pian
假彩色摄影,jia'cai'se'she'ying
假彩色图像,jia'cai'se'tu'xiang
加常数,jia'chang'shu
假定坐标系,jia'ding'zuo'biao'xi
加密点,jia'mi'dian
加密探测,jia'mi'tan'ce
监测台,jian'ce'tai
监测网,jian'ce'wang
检查台,jian'cha'tai
监督分类,jian'du'fen'lei
剪辑,jian'ji
间接法纠正,jian'jie'fa'jiu'zheng
间接平差,jian'jie'ping'cha
坚盘指标差,jian'pan'zhi'biao'cha
间曲线,jian'qu'xian
减色印刷,jian'se'yin'shua
检疫锚地,jian'yi'mao'di
渐长区间,jian'zhang'qu'jian
渐长纬度,jian'zhang'wei'du
建筑工程测量,jian'zhu'gong'cheng'ce'liang
建筑红线测量,jian'zhu'hong'xian'ce'liang
建筑摄影测量,jian'zhu'she'ying'ce'liang
建筑物沉降观测,jian'zhu'wu'chen'jiang'guan'ce
建筑轴线测量,jian'zhu'zhou'xian'ce'liang
江河测量,jiang'he'ce'liang
江河图,jiang'he'tu
将全球定位系统,jiang'quan'qiu'ding'wei'xi'tong
交叉点放样,jiao'cha'dian'fang'yang
交叉耦合效应,jiao'cha'ou'he'xiao'ying
交叉网线,jiao'cha'wang'xian
校核基点,jiao'he'ji'dian
焦面快门,jiao'mian'kuai'men
礁石,jiao'shi
交线条件,jiao'xian'tiao'jian
交向摄影,jiao'xiang'she'ying
教学地图,jiao'xue'di'tu
胶印,jiao'yin
校正针,jiao'zheng'zhen
接边,jie'bian
接触晒印,jie'chu'shai'yin
接触网屏,jie'chu'wang'ping
接触印刷,jie'chu'yin'shua
街道线,jie'dao'xian
结点平差,jie'dian'ping'cha
截断误差,jie'duan'wu'cha
截面差改正,jie'mian'cha'gai'zheng
接收二极管,jie'shou'er'ji'guan
接收机,jie'shou'ji
接收中心,jie'shou'zhong'xin
解析测图,jie'xi'ce'tu
解析测图仪,jie'xi'ce'tu'yi
解析定向,jie'xi'ding'xiang
解析纠正,jie'xi'jiu'zheng
解析空中三角测量,jie'xi'kong'zhong'san'jiao'ce'liang
解析摄影测量,jie'xi'she'ying'ce'liang
解析图根点,jie'xi'tu'gen'dian
解译,jie'yi
界址标示表,jie'zhi'biao'shi'biao
界址点,jie'zhi'dian
界址线,jie'zhi'xian
近程定位系统,jin'cheng'ding'wei'xi'tong
近地点高度,jin'di'dian'gao'du
津格尔星对测时法,jin'ge'er'xing'dui'ce'shi'fa
近海测量,jin'hai'ce'liang
禁航区,jin'hang'qu
近井点,jin'jing'dian
近景摄影测量,jin'jing'she'ying'ce'liang
禁区界线,jin'qu'jie'xian
金属弹簧重力仪,jin'shu'tan'huang'zhong'li'yi
近似地形面,jin'si'di'xing'mian
近似平差,jin'si'ping'cha
精博,jing'bo
井底车场平面图,jing'di'che'chang'ping'mian'tu
静电复印,jing'dian'fu'yin
精度估计,jing'du'gu'ji
经度起算点,jing'du'qi'suan'dian
精度因子,jing'du'yin'zi
景观地图,jing'guan'di'tu
经济地图,jing'ji'di'tu
净空区测量,jing'kong'qu'ce'liang
井口位置点,jing'kou'wei'zhi'dian
精码,jing'ma
精密测距,jing'mi'ce'ju
精密垂准,jing'mi'chui'zhun
精密导线测量,jing'mi'dao'xian'ce'liang
精密定向,jing'mi'ding'xiang
精密工程测量,jing'mi'gong'cheng'ce'liang
精密工程控制网,jing'mi'gong'cheng'kong'zhi'wang
精密机械安装测量,jing'mi'ji'xie'an'zhuang'ce'liang
精密经纬仪,jing'mi'jing'wei'yi
精密立体测图仪,jing'mi'li'ti'ce'tu'yi
精密水准测量,jing'mi'shui'zhun'ce'liang
精密水准仪,jing'mi'shui'zhun'yi
精密星历,jing'mi'xing'li
精密准直,jing'mi'zhun'zhi
精确测定离岸约,jing'que'ce'ding'li'an'yue
井上下对照图,jing'shang'xia'dui'zhao'tu
景深,jing'shen
静态定位,jing'tai'ding'wei
静态遥感器,jing'tai'yao'gan'qi
井探工程测量,jing'tan'gong'cheng'ce'liang
井田区域地形图,jing'tian'qu'yu'di'xing'tu
井筒十字中线标定,jing'tong'shi'zi'zhong'xian'biao'ding
井筒延伸测量,jing'tong'yan'shen'ce'liang
井筒中心标定,jing'tong'zhong'xin'biao'ding
经纬网,jing'wei'wang
经纬仪,jing'wei'yi
经纬仪测绘法,jing'wei'yi'ce'hui'fa
经纬仪导线,jing'wei'yi'dao'xian
景物反差,jing'wu'fan'cha
井下测量,jing'xia'ce'liang
井下高程测量,jing'xia'gao'cheng'ce'liang
井下交叉闭合导线,jing'xia'jiao'cha'bi'he'dao'xian
井下勘探测量,jing'xia'kan'tan'ce'liang
井下空硐测量,jing'xia'kong'dong'ce'liang
井下水平控制测量,jing'xia'shui'ping'kong'zhi'ce'liang
径向畸变,jing'xiang'ji'bian
纠正,jiu'zheng
纠正图底,jiu'zheng'tu'di
纠正仪,jiu'zheng'yi
纠正元素,jiu'zheng'yuan'su
距岸约,ju'an'yue
距离测量,ju'li'ce'liang
距离方位定位,ju'li'fang'wei'ding'wei
距离判决函数,ju'li'pan'jue'han'shu
矩形分幅,ju'xing'fen'fu
绝对垂线偏差,jue'dui'chui'xian'pian'cha
绝对定向,jue'dui'ding'xiang
绝对定向元素,jue'dui'ding'xiang'yuan'su
绝对航高,jue'dui'hang'gao
绝对误差,jue'dui'wu'cha
绝对阈,jue'dui'yu
绝对重力测量,jue'dui'zhong'li'ce'liang
绝对重力仪,jue'dui'zhong'li'yi
竣工测量,jun'gong'ce'liang
军事工程变形观测,jun'shi'gong'cheng'bian'xing'guan'ce
军事工程测量,jun'shi'gong'cheng'ce'liang
军事基地测量,jun'shi'ji'di'ce'liang
军用大比例尺测图,jun'yong'da'bi'li'chi'ce'tu
军用道路测量,jun'yong'dao'lu'ce'liang
军用地图,jun'yong'di'tu
军用海图,jun'yong'hai'tu
军用坑道测量,jun'yong'keng'dao'ce'liang
军用桥梁测量,jun'yong'qiao'liang'ce'liang
开采沉陷观测,kai'cai'chen'xian'guan'ce
开采沉陷图,kai'cai'chen'xian'tu
开采沉陷预计,kai'cai'chen'xian'yu'ji
开窗检索,kai'chuang'jian'suo
开思,kai'si
勘测,kan'ce
勘测设计阶段测量,kan'ce'she'ji'jie'duan'ce'liang
勘探基线,kan'tan'ji'xian
勘探网测量,kan'tan'wang'ce'liang
勘探网测设,kan'tan'wang'ce'she
勘探线测量,kan'tan'xian'ce'liang
勘探线剖面图,kan'tan'xian'pou'mian'tu
抗差估计,kang'cha'gu'ji
康索尔海图,kang'suo'er'hai'tu
考古摄影测量,kao'gu'she'ying'ce'liang
刻绘,ke'hui
克拉索夫斯基,ke'la'suo'fu'si'ji
克拉索夫斯基椭球,ke'la'suo'fu'si'ji'tuo'qiu
克莱罗定理,ke'lai'luo'ding'li
科力达,ke'li'da
克吕格投影,ke'lv'ge'tou'ying
科普原理,ke'pu'yuan'li
刻图仪,ke'tu'yi
垦复测量,ken'fu'ce'liang
坑道平面图,keng'dao'ping'mian'tu
坑探工程测量,keng'tan'gong'cheng'ce'liang
空基系统,kong'ji'xi'tong
空间大地测量学,kong'jian'da'di'ce'liang'xue
空间改正,kong'jian'gai'zheng
空间后方交会,kong'jian'hou'fang'jiao'hui
空间前方交会,kong'jian'qian'fang'jiao'hui
空间实验室,kong'jian'shi'yan'shi
空间数据基础设施,kong'jian'shu'ju'ji'chu'she'shi
空间数据库管理系统,kong'jian'shu'ju'ku'guan'li'xi'tong
空间数据转换,kong'jian'shu'ju'zhuan'huan
空间信息可视化,kong'jian'xin'xi'ke'shi'hua
空间异常,kong'jian'yi'chang
控制测量,kong'zhi'ce'liang
控制点,kong'zhi'dian
空中导线测量,kong'zhong'dao'xian'ce'liang
空中三角测量,kong'zhong'san'jiao'ce'liang
空中水准测量,kong'zhong'shui'zhun'ce'liang
库容测量,ku'rong'ce'liang
跨河水准测量,kua'he'shui'zhun'ce'liang
块状图,kuai'zhuang'tu
宽底符号,kuan'di'fu'hao
框标,kuang'biao
矿层底板等高线图,kuang'ceng'di'ban'deng'gao'xian'tu
矿层顶板等高线图,kuang'ceng'ding'ban'deng'gao'xian'tu
矿层要素测定,kuang'ceng'yao'su'ce'ding
矿产图,kuang'chan'tu
矿产性质几何制图,kuang'chan'xing'zhi'ji'he'zhi'tu
矿场标定,kuang'chang'biao'ding
矿场平面图,kuang'chang'ping'mian'tu
矿床几何,kuang'chuang'ji'he
框幅摄影机,kuang'fu'she'ying'ji
矿井测量,kuang'jing'ce'liang
矿井提升设备安装测量,kuang'jing'ti'sheng'she'bei'an'zhuang'ce'liang
矿区控制测量,kuang'qu'kong'zhi'ce'liang
矿区控制网精度估算,kuang'qu'kong'zhi'wang'jing'du'gu'suan
矿区控制网设计,kuang'qu'kong'zhi'wang'she'ji
矿山测量,kuang'shan'ce'liang
矿山测量交换图,kuang'shan'ce'liang'jiao'huan'tu
矿山测量图,kuang'shan'ce'liang'tu
矿山测量学,kuang'shan'ce'liang'xue
矿山地面测量,kuang'shan'di'mian'ce'liang
矿山经纬仪,kuang'shan'jing'wei'yi
矿体几何,kuang'ti'ji'he
矿体几何制图,kuang'ti'ji'he'zhi'tu
扩散转印,kuo'san'zhuan'yin
拉普拉斯点,la'pu'la'si'dian
拉普拉斯方位角,la'pu'la'si'fang'wei'jiao
莱曼法,lai'man'fa
莱赛,lai'sai
兰勃特投影,lan'bo'te'tou'ying
蓝底图,lan'di'tu
浪花,lang'hua
勒夫数,le'fu'shu
类别视觉感受,lei'bie'shi'jue'gan'shou
雷达测高仪,lei'da'ce'gao'yi
雷达覆盖区,lei'da'fu'gai'qu
雷达应答器,lei'da'ying'da'qi
雷达指向标,lei'da'zhi'xiang'biao
雷迪,lei'di
类型地图,lei'xing'di'tu
类星体,lei'xing'ti
立标,li'biao
力高,li'gao
立井导入高程测量,li'jing'dao'ru'gao'cheng'ce'liang
立井定向测量,li'jing'ding'xiang'ce'liang
