艾昂尼尔锡青铜,ai'ang'ni'er'xi'qing'tong
倒拱底,dao'gong'di
道管过水能力,dao'guan'guo'shui'neng'li
刀痕,dao'hen
导环,dao'huan
导火线,dao'huo'xian
刀架导轨,dao'jia'dao'gui
导间间距,dao'jian'jian'ju
倒角,dao'jiao
倒角机,dao'jiao'ji
刀具的排屑槽,dao'ju'de'pai'xie'cao
刀具断屑台磨床,dao'ju'duan'xie'tai'mo'chuang
刀具盘,dao'ju'pan
导抗,dao'kang
倒棱,dao'leng
倒棱机,dao'leng'ji
倒棱机床,dao'leng'ji'chuang
倒棱清理机床,dao'leng'qing'li'ji'chuang
倒冷却速率曲线,dao'leng'que'su'lv'qu'xian
倒立卷筒,dao'li'juan'tong
倒立式拔管用卷筒,dao'li'shi'ba'guan'yong'juan'tong
刀瘤,dao'liu
道路面层,dao'lu'mian'ceng
道路通行容量,dao'lu'tong'xing'rong'liang
倒逆退水,dao'ni'tui'shui
刀片,dao'pian
刀片侧间隙,dao'pian'ce'jian'xi
刀片重合度,dao'pian'chong'he'du
刀片架,dao'pian'jia
刀片倾斜度,dao'pian'qing'xie'du
刀片式刮路机,dao'pian'shi'gua'lu'ji
倒穹结构,dao'qiong'jie'gou
导热杆,dao're'gan
刀刃,dao'ren
导入,dao'ru
倒数,dao'shu
倒速率曲线,dao'su'lv'qu'xian
导线护套,dao'xian'hu'tao
导线间电压,dao'xian'jian'dian'ya
倒相级,dao'xiang'ji
倒相器供电电炉,dao'xiang'qi'gong'dian'dian'lu
倒易晶格,dao'yi'jing'ge
倒圆,dao'yuan
倒置,dao'zhi
倒置坩埚,dao'zhi'gan'guo
捣制炉顶,dao'zhi'lu'ding
倒置语言,dao'zhi'yu'yan
导至纵向弯曲的,dao'zhi'zong'xiang'wan'qu'de
倒转层位,dao'zhuan'ceng'wei
的,de
灯,deng
等磁力的,deng'ci'li'de
等磁力线,deng'ci'li'xian
等磁力线分选机,deng'ci'li'xian'fen'xuan'ji
等磁偏线,deng'ci'pian'xian
等待时间,deng'dai'shi'jian
等电位点,deng'dian'wei'dian
等电位温度,deng'dian'wei'wen'du
等方位线,deng'fang'wei'xian
等腐蚀曲线,deng'fu'shi'qu'xian
等含碳量曲线,deng'han'tan'liang'qu'xian
等剂量面,deng'ji'liang'mian
等距常线,deng'ju'chang'xian
等力线,deng'li'xian
等面的,deng'mian'de
等能的,deng'neng'de
等浓度扩散,deng'nong'du'kuo'san
灯泡,deng'pao
灯泡型贯流式水轮机,deng'pao'xing'guan'liu'shi'shui'lun'ji
等氢离子指示溶液,deng'qing'li'zi'zhi'shi'rong'ye
等容线,deng'rong'xian
等色的,deng'se'de
等色花纹,deng'se'hua'wen
等熵的,deng'shang'de
等熵过程,deng'shang'guo'cheng
等熵膨胀,deng'shang'peng'zhang
等熵线,deng'shang'xian
等熵压缩,deng'shang'ya'suo
等时的,deng'shi'de
等时加热,deng'shi'jia're
等时退火,deng'shi'tui'huo
等时线,deng'shi'xian
等弹性,deng'tan'xing
等弹性学,deng'tan'xing'xue
等体积线,deng'ti'ji'xian
等位吸收波长,deng'wei'xi'shou'bo'chang
等温形变热处理,deng'wen'xing'bian're'chu'li
等斜平面,deng'xie'ping'mian
等斜线,deng'xie'xian
等压过程,deng'ya'guo'cheng
等压截面,deng'ya'jie'mian
等压溶解,deng'ya'rong'jie
等压线,deng'ya'xian
等压线通道,deng'ya'xian'tong'dao
等应变图,deng'ying'bian'tu
等硬度曲线,deng'ying'du'qu'xian
等应力,deng'ying'li
灯罩,deng'zhao
等致密压制坯块,deng'zhi'mi'ya'zhi'pi'kuai
底耙,di'ba
底板流钢砖系统,di'ban'liu'gang'zhuan'xi'tong
底板组装,di'ban'zu'zhuang
地磅,di'bang
底部点火,di'bu'dian'huo
底部断面,di'bu'duan'mian
底部飞边,di'bu'fei'bian
底部滑板,di'bu'hua'ban
底部加热,di'bu'jia're
底部流槽,di'bu'liu'cao
底部炉衬,di'bu'lu'chen
底部内衬,di'bu'nei'chen
底部片边,di'bu'pian'bian
底部区域,di'bu'qu'yu
底部卸料车,di'bu'xie'liao'che
底侧,di'ce
底层,di'ceng
底层废钢,di'ceng'fei'gang
底层炉膛,di'ceng'lu'tang
底衬,di'chen
底沉积,di'chen'ji
底吹,di'chui
底吹转炉,di'chui'zhuan'lu
堤道,di'dao
底电极,di'dian'ji
滴定管,di'ding'guan
滴定管浮标,di'ding'guan'fu'biao
滴定管夹,di'ding'guan'jia
底反射,di'fan'she
底反射波信号,di'fan'she'bo'xin'hao
底盖,di'gai
底桁,di'heng
底火室,di'huo'shi
低级,di'ji
低级煤,di'ji'mei
底架轧材,di'jia'zha'cai
底浇口,di'jiao'kou
笛卡儿量,di'ka'er'liang
笛卡儿坐标图,di'ka'er'zuo'biao'tu
笛卡儿坐标系统,di'ka'er'zuo'biao'xi'tong
笛卡尔座标系统,di'ka'er'zuo'biao'xi'tong
底宽,di'kuan
地蜡,di'la
底料,di'liao
底料层,di'liao'ceng
底流方向仪,di'liu'fang'xiang'yi
底螺栓,di'luo'shuan
底面反射,di'mian'fan'she
底模,di'mo
底盘,di'pan
底盘刮刀,di'pan'gua'dao
底盘配件,di'pan'pei'jian
底盘型钢,di'pan'xing'gang
低频感应炉,di'pin'gan'ying'lu
低品位,di'pin'wei
底区,di'qu
底热器,di're'qi
底塞,di'sai
底室,di'shi
底视图,di'shi'tu
低速轧制,di'su'zha'zhi
低碳钢丝,di'tan'gang'si
低温吹炼,di'wen'chui'lian
低温脆性,di'wen'cui'xing
低温热加工,di'wen're'jia'gong
低温塑性加工,di'wen'su'xing'jia'gong
低温压制,di'wen'ya'zhi
地下电缆,di'xia'dian'lan
地下电缆隧道,di'xia'dian'lan'sui'dao
地下混凝土,di'xia'hun'ning'tu
地下建筑,di'xia'jian'zhu
地下室,di'xia'shi
地下油库,di'xia'you'ku
底线,di'xian
底箱,di'xiang
抵消电压,di'xiao'dian'ya
低效率,di'xiao'lv
底卸车,di'xie'che
底卸法,di'xie'fa
底卸料罐,di'xie'liao'guan
底卸门车,di'xie'men'che
底卸式,di'xie'shi
底卸式环冷机,di'xie'shi'huan'leng'ji
底卸式箕斗,di'xie'shi'ji'dou
底卸式自动倾卸汽车,di'xie'shi'zi'dong'qing'xie'qi'che
底压式造型机,di'ya'shi'zao'xing'ji
地窑,di'yao
第一电子透镜,di'yi'dian'zi'tou'jing
低音照明,di'yin'zhao'ming
递增函数,di'zeng'han'shu
递增挤压,di'zeng'ji'ya
递增加载,di'zeng'jia'zai
递增加载试验,di'zeng'jia'zai'shi'yan
底质土,di'zhi'tu
底铸,di'zhu
底注,di'zhu
底注盛钢桶,di'zhu'sheng'gang'tong
底注式浇包,di'zhu'shi'jiao'bao
底注式浇口,di'zhu'shi'jiao'kou
底注式铸钢桶,di'zhu'shi'zhu'gang'tong
底注铸型,di'zhu'zhu'xing
碘,dian
靛白,dian'bai
颠簸驾驶,dian'bo'jia'shi
垫层,dian'ceng
电池,dian'chi
电池的阴极,dian'chi'de'yin'ji
电池盒,dian'chi'he
电触点烧毁,dian'chu'dian'shao'hui
电磁泵,dian'ci'beng
电磁测碳仪,dian'ci'ce'tan'yi
电磁单位制,dian'ci'dan'wei'zhi
电磁感应强度,dian'ci'gan'ying'qiang'du
电磁搅拌,dian'ci'jiao'ban
电磁搅拌真空脱气法,dian'ci'jiao'ban'zhen'kong'tuo'qi'fa
电磁搅拌装置,dian'ci'jiao'ban'zhuang'zhi
电磁铁线圈,dian'ci'tie'xian'quan
颠倒,dian'dao
碘的,dian'de
碘滴定的,dian'di'ding'de
电动缆车,dian'dong'lan'che
电镀金,dian'du'jin
典范系综,dian'fan'xi'zong
电感,dian'gan
电感磁导率,dian'gan'ci'dao'lv
电感电纳,dian'gan'dian'na
电感电桥,dian'gan'dian'qiao
电感计,dian'gan'ji
电感耦合电路,dian'gan'ou'he'dian'lu
电感耦合放大器,dian'gan'ou'he'fang'da'qi
电感耦俣,dian'gan'ou'yu
电感平衡,dian'gan'ping'heng
电感式应变仪,dian'gan'shi'ying'bian'yi
电感式转速计,dian'gan'shi'zhuan'su'ji
电感线圈,dian'gan'xian'quan
电感性膜片,dian'gan'xing'mo'pian
电感性阻抗,dian'gan'xing'zu'kang
电感应加热焊管机,dian'gan'ying'jia're'han'guan'ji
碘盒,dian'he
电荷电势差,dian'he'dian'shi'cha
电荷分布,dian'he'fen'bu
电荷密度,dian'he'mi'du
电荷势,dian'he'shi
电荷数,dian'he'shu
电荷图象,dian'he'tu'xiang
电荷中和用电子枪,dian'he'zhong'he'yong'dian'zi'qiang
靛红,dian'hong
电弧气刨法,dian'hu'qi'bao'fa
碘化,dian'hua
电话耳机,dian'hua'er'ji
碘化钙,dian'hua'gai
碘化铬,dian'hua'ge
碘化镉,dian'hua'ge
电话号码,dian'hua'hao'ma
碘化区,dian'hua'qu
碘化铯,dian'hua'se
碘化物,dian'hua'wu
碘化物法,dian'hua'wu'fa
碘化物法锭坯,dian'hua'wu'fa'ding'pi
碘化物法锆,dian'hua'wu'fa'gao
碘化物法铪结块,dian'hua'wu'fa'ha'jie'kuai
碘化物法铪晶棒,dian'hua'wu'fa'ha'jing'bang
碘化物法合铪,dian'hua'wu'fa'he'ha
碘化物法金属,dian'hua'wu'fa'jin'shu
碘化物法精炼,dian'hua'wu'fa'jing'lian
碘化物法精炼过程,dian'hua'wu'fa'jing'lian'guo'cheng
碘化物法钛,dian'hua'wu'fa'tai
碘化物晶棒,dian'hua'wu'jing'bang
碘化物晶体,dian'hua'wu'jing'ti
碘化物热离反应器,dian'hua'wu're'li'fan'ying'qi
碘化物热离解设备,dian'hua'wu're'li'jie'she'bei
碘化物引爆剂,dian'hua'wu'yin'bao'ji
点火,dian'huo
点火不足,dian'huo'bu'zu
点火车,dian'huo'che
点火电极,dian'huo'dian'ji
点火电路,dian'huo'dian'lu
点火点试验,dian'huo'dian'shi'yan
点火电压,dian'huo'dian'ya
点火段,dian'huo'duan
点火端,dian'huo'duan
点火法,dian'huo'fa
点火管,dian'huo'guan
点火混合剂,dian'huo'hun'he'ji
点火控制,dian'huo'kong'zhi
点火块,dian'huo'kuai
点火炉,dian'huo'lu
点火炉设计,dian'huo'lu'she'ji
点火煤气供应,dian'huo'mei'qi'gong'ying
点火喷嘴,dian'huo'pen'zui
点火器,dian'huo'qi
点火气体,dian'huo'qi'ti
点火强度,dian'huo'qiang'du
点火燃料消耗,dian'huo'ran'liao'xiao'hao
点火烧嘴,dian'huo'shao'zui
点火损失,dian'huo'sun'shi
点火条件,dian'huo'tiao'jian
点火温度,dian'huo'wen'du
点火温度控制,dian'huo'wen'du'kong'zhi
点火系故障,dian'huo'xi'gu'zhang
点火线圈,dian'huo'xian'quan
点火压力,dian'huo'ya'li
点火用煤,dian'huo'yong'mei
点火罩,dian'huo'zhao
点火罩面积,dian'huo'zhao'mian'ji
点火罩温度,dian'huo'zhao'wen'du
点火罩系统,dian'huo'zhao'xi'tong
电极洞效应,dian'ji'dong'xiao'ying
电极间的,dian'ji'jian'de
电极间隙,dian'ji'jian'xi
电极浸没式电炉,dian'ji'jin'mo'shi'dian'lu
电机空心轴引线绝缘,dian'ji'kong'xin'zhou'yin'xian'jue'yuan
电间密度,dian'jian'mi'du
电解保护气氛,dian'jie'bao'hu'qi'fen
电解槽侧壁,dian'jie'cao'ce'bi
电解槽侧衬,dian'jie'cao'ce'chen
电解槽的几何形状,dian'jie'cao'de'ji'he'xing'zhuang
电解槽的阶梯式排列,dian'jie'cao'de'jie'ti'shi'pai'lie
电解槽电解液,dian'jie'cao'dian'jie'ye
电解槽反应,dian'jie'cao'fan'ying
电解槽废气洗涤系统,dian'jie'cao'fei'qi'xi'di'xi'tong
电解槽沸腾,dian'jie'cao'fei'teng
电解槽供料,dian'jie'cao'gong'liao
电解槽供液,dian'jie'cao'gong'ye
电解槽构造,dian'jie'cao'gou'zao
电解槽汇流排,dian'jie'cao'hui'liu'pai
电解槽加料,dian'jie'cao'jia'liao
电解槽结构,dian'jie'cao'jie'gou
电解槽进料,dian'jie'cao'jin'liao
电解槽模型,dian'jie'cao'mo'xing
电解槽母线,dian'jie'cao'mu'xian
电解槽内衬,dian'jie'cao'nei'chen
电解槽泥浆,dian'jie'cao'ni'jiang
电解槽泥渣,dian'jie'cao'ni'zha
电解槽气氛,dian'jie'cao'qi'fen
电解槽气体,dian'jie'cao'qi'ti
电解槽容器,dian'jie'cao'rong'qi
电解槽寿命,dian'jie'cao'shou'ming
电解槽维护,dian'jie'cao'wei'hu
电解槽系列,dian'jie'cao'xi'lie
电解槽作业,dian'jie'cao'zuo'ye
电解厂房,dian'jie'chang'fang
电解车间,dian'jie'che'jian
电解隔膜,dian'jie'ge'mo
电解蚀刻,dian'jie'shi'ke
电解质,dian'jie'zhi
电解质导体,dian'jie'zhi'dao'ti
电解质沸腾,dian'jie'zhi'fei'teng
电解质主体,dian'jie'zhi'zhu'ti
碘晶体,dian'jing'ti
靛蓝,dian'lan
电缆包皮合金,dian'lan'bao'pi'he'jin
电缆包皮压力机,dian'lan'bao'pi'ya'li'ji
电缆编号,dian'lan'bian'hao
电缆表,dian'lan'biao
电缆标志,dian'lan'biao'zhi
电缆标志编号,dian'lan'biao'zhi'bian'hao
电缆槽,dian'lan'cao
电缆刀,dian'lan'dao
电缆导管,dian'lan'dao'guan
电缆导轮,dian'lan'dao'lun
电缆的输入套管,dian'lan'de'shu'ru'tao'guan
电缆电路,dian'lan'dian'lu
电缆端,dian'lan'duan
电缆敷设,dian'lan'fu'she
电缆杆,dian'lan'gan
电缆供电,dian'lan'gong'dian
电缆沟,dian'lan'gou
电缆故障,dian'lan'gu'zhang
电缆故障点指示器,dian'lan'gu'zhang'dian'zhi'shi'qi
电缆挂钩,dian'lan'gua'gou
电缆管道,dian'lan'guan'dao
电缆管道的管孔,dian'lan'guan'dao'de'guan'kong
电缆夹,dian'lan'jia
电缆架,dian'lan'jia
电缆架布置图,dian'lan'jia'bu'zhi'tu
电缆夹套,dian'lan'jia'tao
电缆绞合机,dian'lan'jiao'he'ji
电缆接套,dian'lan'jie'tao
电缆接头,dian'lan'jie'tou
电缆接线头,dian'lan'jie'xian'tou
电缆卷筒,dian'lan'juan'tong
电缆绝缘胶,dian'lan'jue'yuan'jiao
电缆铠装,dian'lan'kai'zhuang
电缆铠装剂压机,dian'lan'kai'zhuang'ji'ya'ji
电缆铠装用带钢,dian'lan'kai'zhuang'yong'dai'gang
电缆连接卡头,dian'lan'lian'jie'ka'tou
电缆连接器,dian'lan'lian'jie'qi
电缆盘,dian'lan'pan
电缆入口,dian'lan'ru'kou
电缆室,dian'lan'shi
电缆隧道,dian'lan'sui'dao
电缆头,dian'lan'tou
电缆托架,dian'lan'tuo'jia
电缆线路,dian'lan'xian'lu
电缆箱,dian'lan'xiang
电缆芯,dian'lan'xin
电缆悬挂装置,dian'lan'xuan'gua'zhuang'zhi
电缆支承设备,dian'lan'zhi'cheng'she'bei
电缆终端,dian'lan'zhong'duan
电缆终端套管,dian'lan'zhong'duan'tao'guan
电缆走线架,dian'lan'zou'xian'jia
电离,dian'li
电离测量,dian'li'ce'liang
电离层,dian'li'ceng
电离层吸收,dian'li'ceng'xi'shou
电离常数,dian'li'chang'shu
电离电流,dian'li'dian'liu
电离电势,dian'li'dian'shi
电离度,dian'li'du
电离法,dian'li'fa
电离反应,dian'li'fan'ying
电离分光仪,dian'li'fen'guang'yi
电离辐射,dian'li'fu'she
电离剂,dian'li'ji
电离计数管,dian'li'ji'shu'guan
电离计数器,dian'li'ji'shu'qi
电离离解,dian'li'li'jie
电离粒子,dian'li'li'zi
电离能,dian'li'neng
电离能级,dian'li'neng'ji
电离气体介质,dian'li'qi'ti'jie'zhi
电离倾向,dian'li'qing'xiang
电离射线,dian'li'she'xian
电离室,dian'li'shi
电离速率,dian'li'su'lv
电离损失,dian'li'sun'shi
电离系数,dian'li'xi'shu
电离性能,dian'li'xing'neng
电离压力计,dian'li'ya'li'ji
电离压力计探测器,dian'li'ya'li'ji'tan'ce'qi
电离元素,dian'li'yuan'su
电离原子,dian'li'yuan'zi
电离真空规,dian'li'zhen'kong'gui
电离真空计,dian'li'zhen'kong'ji
电离组分,dian'li'zu'fen
碘料斗,dian'liao'dou
电流表用转换开关,dian'liu'biao'yong'zhuan'huan'kai'guan
电流谐振,dian'liu'xie'zhen
电路,dian'lu
电路测试器,dian'lu'ce'shi'qi
电路方程式,dian'lu'fang'cheng'shi
电路分配,dian'lu'fen'pei
电路排布,dian'lu'pai'bu
电路图,dian'lu'tu
电路图形,dian'lu'tu'xing
电路系统,dian'lu'xi'tong
电路元件,dian'lu'yuan'jian
电路终端架,dian'lu'zhong'duan'jia
碘气氛,dian'qi'fen
电桥的臂,dian'qiao'de'bi
电桥回路,dian'qiao'hui'lu
电桥平衡,dian'qiao'ping'heng
电桥图,dian'qiao'tu
点燃,dian'ran
点燃性能,dian'ran'xing'neng
点燃药粉,dian'ran'yao'fen
电容,dian'rong
电容标准,dian'rong'biao'zhun
电容成分,dian'rong'cheng'fen
电容充电按钮,dian'rong'chong'dian'an'niu
电容传感器,dian'rong'chuan'gan'qi
电容电抗,dian'rong'dian'kang
电容电桥,dian'rong'dian'qiao
电容反馈,dian'rong'fan'kui
电容范围,dian'rong'fan'wei
电容分量,dian'rong'fen'liang
电容恒定度,dian'rong'heng'ding'du
电容计,dian'rong'ji
电容量,dian'rong'liang
电容漏泄电流,dian'rong'lou'xie'dian'liu
电容率,dian'rong'lv
电容耦合,dian'rong'ou'he
电容耦合的,dian'rong'ou'he'de
电容器,dian'rong'qi
电容器点焊机,dian'rong'qi'dian'han'ji
电容起动电动机,dian'rong'qi'dong'dian'dong'ji
电容器放电成形,dian'rong'qi'fang'dian'cheng'xing
电容式测微计,dian'rong'shi'ce'wei'ji
电容式起动感应电动机,dian'rong'shi'qi'dong'gan'ying'dian'dong'ji
电容式应变仪,dian'rong'shi'ying'bian'yi
电容时滞,dian'rong'shi'zhi
电容调谐,dian'rong'tiao'xie
电容箱,dian'rong'xiang
电容性电流,dian'rong'xing'dian'liu
电容性电纳,dian'rong'xing'dian'na
电容性反应,dian'rong'xing'fan'ying
电容性分量,dian'rong'xing'fen'liang
电容性探测器,dian'rong'xing'tan'ce'qi
电容性天线,dian'rong'xing'tian'xian
电容应变传感器,dian'rong'ying'bian'chuan'gan'qi
电容滞后,dian'rong'zhi'hou
电渗,dian'shen
电石,dian'shi
电石加水操作法,dian'shi'jia'shui'cao'zuo'fa
电石加水乙炔制取法,dian'shi'jia'shui'yi'que'zhi'qu'fa
电石入水式,dian'shi'ru'shui'shi
电石入水式乙炔发生器,dian'shi'ru'shui'shi'yi'que'fa'sheng'qi
电石桶,dian'shi'tong
电石投入式,dian'shi'tou'ru'shi
电石贮罐,dian'shi'zhu'guan
电刷,dian'shua
电刷材料,dian'shua'cai'liao
电刷电流,dian'shua'dian'liu
电刷夹,dian'shua'jia
电刷摩擦损失,dian'shua'mo'ca'sun'shi
电刷损失,dian'shua'sun'shi
电刷引线,dian'shua'yin'xian
电刷用紫铜带,dian'shua'yong'zi'tong'dai
碘酸,dian'suan
碘酸盐,dian'suan'yan
电铜,dian'tong
点线,dian'xian
典型例证,dian'xing'li'zheng
典型乳胶曲线,dian'xing'ru'jiao'qu'xian
电压表用转换开关,dian'ya'biao'yong'zhuan'huan'kai'guan
碘引爆剂,dian'yin'bao'ji
碘银矿,dian'yin'kuang
电影声谱仪,dian'ying'sheng'pu'yi
电泳,dian'yong
电泳溶液,dian'yong'rong'ye
点阵间距,dian'zhen'jian'ju
碘蒸气,dian'zheng'qi
碘蒸气压,dian'zheng'qi'ya
碘值,dian'zhi
巅值电压,dian'zhi'dian'ya
碘柱栓,dian'zhu'shuan
电子轰击电流,dian'zi'hong'ji'dian'liu
电子枪阴极,dian'zi'qiang'yin'ji
电子射线管,dian'zi'she'xian'guan
电子束,dian'zi'shu
电子束轰击引入管,dian'zi'shu'hong'ji'yin'ru'guan
电子注,dian'zi'zhu
电阻定碳仪,dian'zu'ding'tan'yi
电阻对焊,dian'zu'dui'han
电阻式测辐射热计,dian'zu'shi'ce'fu'she're'ji
电阻箱电桥,dian'zu'xiang'dian'qiao
调查,diao'cha
调查研究工作,diao'cha'yan'jiu'gong'zuo
吊车起重能力,diao'che'qi'zhong'neng'li
吊灯,diao'deng
吊灯灯罩,diao'deng'deng'zhao
吊顶式结构,diao'ding'shi'jie'gou
吊斗,diao'dou
吊斗装运机,diao'dou'zhuang'yun'ji
调度主任,diao'du'zhu'ren
吊杆挖土机,diao'gan'wa'tu'ji
吊杆与戽斗输送法,diao'gan'yu'hu'dou'shu'song'fa
吊挂拱,diao'gua'gong
雕镂压延机,diao'lou'ya'yan'ji
吊桥索,diao'qiao'suo
吊扇,diao'shan
调用程序块,diao'yong'cheng'xu'kuai
调用序列,diao'yong'xu'lie
掉闸时间,diao'zha'shi'jian
调质剂,diao'zhi'ji
叠,die
叠层轧光机,die'ceng'ya'guang'ji
迭代过程,die'dai'guo'cheng
蝶阀,die'fa
蝶式孔型设计,die'shi'kong'xing'she'ji
叠箱铸型,die'xiang'zhu'xing
蝶形阀,die'xing'fa
蝶形活套,die'xing'huo'tao
蝶形孔型轧制法,die'xing'kong'xing'zha'zhi'fa
蝶形螺母,die'xing'luo'mu
蝶形螺栓,die'xing'luo'shuan
蝶形组织,die'xing'zu'zhi
锭,ding
顶板,ding'ban
顶板锚定件,ding'ban'mao'ding'jian
锭表面,ding'biao'mian
锭长,ding'chang
锭车,ding'che
锭秤,ding'cheng
丁醇,ding'chun
锭底,ding'di
顶锻螺栓,ding'duan'luo'shuan
锭浮渣,ding'fu'zha
顶杆,ding'gan
锭钢,ding'gang
丁基,ding'ji
丁基卡必醇,ding'ji'ka'bi'chun
丁基醚,ding'ji'mi
丁基亚膦酸二丁酯,ding'ji'ya'lin'suan'er'ding'zhi
顶尖操作,ding'jian'cao'zuo
顶尖研具,ding'jian'yan'ju
顶尖研磨机,ding'jian'yan'mo'ji
锭角偏析,ding'jiao'pian'xi
定径式无漩涡水口,ding'jing'shi'wu'xuan'wo'shui'kou
定距索结扣,ding'ju'suo'jie'kou
锭壳,ding'ke
锭块,ding'kuai
锭料管,ding'liao'guan
锭料夹头,ding'liao'jia'tou
锭料冷却室,ding'liao'leng'que'shi
锭料形状,ding'liao'xing'zhuang
锭料移动,ding'liao'yi'dong
锭料转接装置,ding'liao'zhuan'jie'zhuang'zhi
锭料装炉,ding'liao'zhuang'lu
锭料装炉机,ding'liao'zhuang'lu'ji
锭料装炉装置,ding'liao'zhuang'lu'zhuang'zhi
锭模,ding'mu
锭模底板准备车间,ding'mu'di'ban'zhun'bei'che'jian
锭模小车,ding'mu'xiao'che
丁钠橡胶,ding'na'xiang'jiao
锭凝固,ding'ning'gu
顶棚板面供暖,ding'peng'ban'mian'gong'nuan
顶棚电线头,ding'peng'dian'xian'tou
顶棚照明,ding'peng'zhao'ming
锭坯,ding'pi
丁醛,ding'quan
丁酸,ding'suan
定碳,ding'tan
定碳比,ding'tan'bi
定碳仪,ding'tan'yi
锭铜,ding'tong
丁酮,ding'tong
锭头,ding'tou
钉头切断机,ding'tou'qie'duan'ji
丁烷,ding'wan
丁烷丁烯混合气,ding'wan'ding'xi'hun'he'qi
定位框,ding'wei'kuang
定位圈,ding'wei'quan
定心棒,ding'xin'bang
定心二极管,ding'xin'er'ji'guan
定心辊,ding'xin'gun
定心环,ding'xin'huan
定心机,ding'xin'ji
定心螺丝,ding'xin'luo'si
定心圈,ding'xin'quan
定心台,ding'xin'tai
定心弹簧,ding'xin'tan'huang
定心弯曲成形,ding'xin'wan'qu'cheng'xing
定心压力机,ding'xin'ya'li'ji
定心造型机,ding'xin'zao'xing'ji
定心针,ding'xin'zhen
锭形,ding'xing
丁氧基,ding'yang'ji
定中心,ding'zhong'xin
定中心点,ding'zhong'xin'dian
丁砖与顺砖交叉砌合,ding'zhuan'yu'shun'zhuan'jiao'cha'qi'he
定子,ding'zi
动齿条,dong'chi'tiao
动荷重,dong'he'zhong
冻结,dong'jie
动量中心系统,dong'liang'zhong'xin'xi'tong
动态速降,dong'tai'su'jiang
动土,dong'tu
洞穴,dong'xue
动叶片,dong'ye'pian
斗链,dou'lian
斗轮,dou'lun
斗轮机,dou'lun'ji
斗轮式取料机,dou'lun'shi'qu'liao'ji
斗式提升机,dou'shi'ti'sheng'ji
斗式提升机链条,dou'shi'ti'sheng'ji'lian'tiao
斗式挖泥船,dou'shi'wa'ni'chuan
斗式挖泥机,dou'shi'wa'ni'ji
斗式卸料机,dou'shi'xie'liao'ji
斗式运输机,dou'shi'yun'shu'ji
镀层表面铬酸盐钝化处理,du'ceng'biao'mian'ge'suan'yan'dun'hua'chu'li
堵出钢口,du'chu'gang'kou
堵缝,du'feng
堵缝麻絮,du'feng'ma'xu
镀钢,du'gang
镀铬,du'ge
镀铬的,du'ge'de
镀铬的叶片,du'ge'de'ye'pian
镀铬钢,du'ge'gang
镀镉钢,du'ge'gang
镀铬工段,du'ge'gong'duan
镀铬结晶器,du'ge'jie'jing'qi
镀铬铝,du'ge'lv
镀铬模,du'ge'mo
镀铬设备,du'ge'she'bei
镀铬硬化的,du'ge'ying'hua'de
镀黑铬,du'hei'ge
镀黑镍,du'hei'nie
镀黑色镀层,du'hei'se'du'ceng
镀黄铜,du'huang'tong
镀黄铜用电解液,du'huang'tong'yong'dian'jie'ye
镀黄铜用黄铜阳极,du'huang'tong'yong'huang'tong'yang'ji
独居石的氯化,du'ju'shi'de'lv'hua
堵口杆,du'kou'gan
独立操作,du'li'cao'zuo
独立的倒流休风,du'li'de'dao'liu'xiu'feng
独立电弧炉,du'li'dian'hu'lu
独立钢管公司,du'li'gang'guan'gong'si
独立周期,du'li'zhou'qi
镀青铜,du'qing'tong
镀青铜钢,du'qing'tong'gang
堵塞,du'se
堵塞的风口,du'se'de'feng'kou
堵塞风口,du'se'feng'kou
堵塞管缝,du'se'guan'feng
读数,du'shu
读数检核台,du'shu'jian'he'tai
堵死,du'si
镀锡薄板,du'xi'bao'ban
堵眼,du'yan
堵渣口,du'zha'kou
短棒状石墨,duan'bang'zhuang'shi'mo
断背曲线,duan'bei'qu'xian
端部周边焊,duan'bu'zhou'bian'han
断层接缝,duan'ceng'jie'feng
短粗的,duan'cu'de
断点指令,duan'dian'zhi'ling
短锭,duan'ding
锻工车间,duan'gong'che'jian
锻工冲子,duan'gong'chong'zi
锻工工具,duan'gong'gong'ju
锻工用穿孔錾,duan'gong'yong'chuan'kong'zan
锻工用錾子,duan'gong'yong'zan'zi
锻工用凿子,duan'gong'yong'zao'zi
锻工錾,duan'gong'zan
锻工凿,duan'gong'zao
锻焊接头,duan'han'jie'tou
断合接点,duan'he'jie'dian
锻件,duan'jian
断键,duan'jian
锻件表面凸起部,duan'jian'biao'mian'tu'qi'bu
断开槽,duan'kai'cao
断开容量,duan'kai'rong'liang
断开时间,duan'kai'shi'jian
断裂,duan'lie
断裂点,duan'lie'dian
断裂力矩,duan'lie'li'ju
断裂强度,duan'lie'qiang'du
断裂强度密度比,duan'lie'qiang'du'mi'du'bi
断裂时的延伸率,duan'lie'shi'de'yan'shen'lv
断裂试验,duan'lie'shi'yan
断裂系数,duan'lie'xi'shu
断裂线,duan'lie'xian
断裂应变,duan'lie'ying'bian
断裂载荷,duan'lie'zai'he
断路,duan'lu
断路开关,duan'lu'kai'guan
断路开关箱,duan'lu'kai'guan'xiang
锻炉煤,duan'lu'mei
断路器,duan'lu'qi
断路器凸轮轴,duan'lu'qi'tu'lun'zhou
断路器箱,duan'lu'qi'xiang
断路子,duan'lu'zi
锻模枕,duan'mu'zhen
煅烧,duan'shao
