阿赖耶识,a'lai'ye'shi
一刹那心缘起,yi'cha'na'xin'yuan'qi
义成,yi'cheng
一大种,yi'da'zhong
意根,yi'gen
亦即是真如,yi'ji'shi'zhen'ru
一间,yi'jian
一来沙门果,yi'lai'sha'men'guo
一来向,yi'lai'xiang
意乐,yi'le
异类,yi'lei
异类而熟,yi'lei'er'shu
一类坚住相续而转,yi'lei'jian'zhu'xiang'xu'er'zhuan
一切法,yi'qie'fa
一切法等依,yi'qie'fa'deng'yi
一切法无性,yi'qie'fa'wu'xing
一切法相略有三种,yi'qie'fa'xiang'lue'you'san'zhong
一切如地狱,yi'qie'ru'di'yu
一切唯心造,yi'qie'wei'xin'zao
一切性,yi'qie'xing
一切有情皆依食住,yi'qie'you'qing'jie'yi'shi'zhu
一切种识,yi'qie'zhong'shi
一切种相,yi'qie'zhong'xiang
一切诸行皆是无常,yi'qie'zhu'xing'jie'shi'wu'chang
亦然,yi'ran
依如,yi'ru
依如涅槃,yi'ru'nie'pan
依如生死,yi'ru'sheng'si
异时,yi'shi
意识,yi'shi
意识常现起,yi'shi'chang'xian'qi
异时而熟,yi'shi'er'shu
异熟,yi'shu
异熟果,yi'shu'guo
异熟识,yi'shu'shi
异熟习气,yi'shu'xi'qi
异熟性,yi'shu'xing
异熟一切种,yi'shu'yi'qie'zhong
异熟因,yi'shu'yin
异熟种子,yi'shu'zhong'zi
依他,yi'ta
依他起,yi'ta'qi
依他起自性,yi'ta'qi'zi'xing
依他自性,yi'ta'zi'xing
一显一隐,yi'xian'yi'yin
疑心所,yi'xin'suo
义寻思,yi'xun'si
意言,yi'yan
意言境,yi'yan'jing
义用,yi'yong
以有所得故,yi'you'suo'de'gu
以展转力故,yi'zhan'zhuan'li'gu
依止根本识,yi'zhi'gen'ben'shi
译注,yi'zhu
因变,yin'bian
隐藏,yin'cang
因法,yin'fa
隐晦,yin'hui
因能变,yin'neng'bian
饮食,yin'shi
隐显,yin'xian
因缘,yin'yuan
因缘依,yin'yuan'yi
殷重精勤营务,yin'zhong'jing'qin'ying'wu
应观法界性,ying'guan'fa'jie'xing
影像相分,ying'xiang'xiang'fen
永灭,yong'mie
由彼彼遍计,you'bi'bi'bian'ji
有处,you'chu
由此彼皆无,you'ci'bi'jie'wu
由此有诸趣,you'ci'you'zhu'qu
有覆,you'fu
有覆无记,you'fu'wu'ji
有覆无记摄,you'fu'wu'ji'she
有及非有,you'ji'fei'you
由假说我法,you'jia'shuo'wo'fa
有漏,you'lou
有漏法,you'lou'fa
有漏有为法,you'lou'you'wei'fa
有情数摄,you'qing'shu'she
由斯,you'si
由斯证得,you'si'zheng'de
有体有分,you'ti'you'fen
犹未能伏灭,you'wei'neng'fu'mie
由一切种识,you'yi'qie'zhong'shi
有支,you'zhi
有种种相转,you'zhong'zhong'xiang'zhuan
由诸业习气,you'zhu'ye'xi'qi
于二取随眠,yu'er'qu'sui'mian
瑜伽大论,yu'jia'da'lun
瑜伽师地论,yu'jia'shi'di'lun
瑜伽行派,yu'jia'xing'pai
预流果,yu'liu'guo
于名唯见名,yu'ming'wei'jian'ming
于事唯见事,yu'shi'wei'jian'shi
欲心所,yu'xin'suo
遇缘,yu'yuan
遇缘具足,yu'yuan'ju'zu
圆测,yuan'ce
圆成,yuan'cheng
圆成实,yuan'cheng'shi
圆成实于彼,yuan'cheng'shi'yu'bi
圆成实自性,yuan'cheng'shi'zi'xing
远离二边,yuan'li'er'bian
缘滤,yuan'lv
圆满成就,yuan'man'cheng'jiu
月称,yue'cheng
月官,yue'guan
约它的,yue'ta'de
蕴处界,yun'chu'jie
杂集论,za'ji'lun
杂染根本,za'ran'gen'ben
再认识,zai'ren'shi
增上果,zeng'shang'guo
增上力,zeng'shang'li
增上力故,zeng'shang'li'gu
增上慢,zeng'shang'man
增上慢者,zeng'shang'man'zhe
增上缘,zeng'shang'yuan
增上缘依,zeng'shang'yuan'yi
障涅槃,zhang'nie'pan
障生圣道,zhang'sheng'sheng'dao
真极,zhen'ji
真如,zhen'ru
真如无上,zhen'ru'wu'shang
真如无为,zhen'ru'wu'wei
真胜义性,zhen'sheng'yi'xing
真实性,zhen'shi'xing
真实性事,zhen'shi'xing'shi
真实义,zhen'shi'yi
真实义品,zhen'shi'yi'pin
证成,zheng'cheng
证成道理,zheng'cheng'dao'li
正刚,zheng'gang
正刚法师,zheng'gang'fa'shi
正果,zheng'guo
正果法师,zheng'guo'fa'shi
正行真如,zheng'hang'zhen'ru
证知,zheng'zhi
证自证分,zheng'zi'zheng'fen
质碍,zhi'ai
执持,zhi'chi
智都无所得,zhi'dou'wu'suo'de
执受,zhi'shou
中忍,zhong'ren
重释,zhong'shi
众缘生,zhong'yuan'sheng
种子变,zhong'zi'bian
种子六义,zhong'zi'liu'yi
种子依,zhong'zi'yi
诸法实性,zhu'fa'shi'xing
诸教中,zhu'jiao'zhong
诸趣,zhu'qu
诸饶益事,zhu'rao'yi'shi
助生,zhu'sheng
诸识,zhu'shi
诸行,zhu'xing
诸行生灭,zhu'xing'sheng'mie
诸有情类,zhu'you'qing'lei
转变,zhuan'bian
转变生起,zhuan'bian'sheng'qi
转依,zhuan'yi
自果,zi'guo
自类果法,zi'lei'guo'fa
自内证,zi'nei'zheng
自内证故,zi'nei'zheng'gu
自然性,zi'ran'xing
自识,zi'shi
自相,zi'xiang
自心,zi'xin
自心变,zi'xin'bian
自性分别,zi'xing'fen'bie
自性假立寻思,zi'xing'jia'li'xun'si
自性涅槃,zi'xing'nie'pan
自性无所有,zi'xing'wu'suo'you
自赞毁他,zi'zan'hui'ta
自证分,zi'zheng'fen
自种,zi'zhong
总相,zong'xiang
总有四种,zong'you'si'zhong
总执分别,zong'zhi'fen'bie
醉傲,zui'ao
最胜空性胜解,zui'sheng'kong'xing'sheng'jie
作意,zuo'yi
作意受想思,zuo'yi'shou'xiang'si
作用不应成,zuo'yong'bu'ying'cheng
作用道理,zuo'yong'dao'li
