阿德勒心理学,a'de'le'xin'li'xue
非条件反射,fei'tiao'jian'fan'she
肺外氧合,fei'wai'yang'he
肺萎陷,fei'wei'xian
费希尔,fei'xi'er
非细菌性膀胱炎,fei'xi'jun'xing'pang'guang'yan
费希纳定律,fei'xi'na'ding'lv
肺腺瘤病,fei'xian'liu'bing
非协调的异种移植,fei'xie'tiao'de'yi'zhong'yi'zhi
肺楔形切除术,fei'xie'xing'qie'chu'shu
飞行错觉,fei'xing'cuo'jue
非胸腺依赖区,fei'xiong'xian'yi'lai'qu
非胸腺依赖性抗原,fei'xiong'xian'yi'lai'xing'kang'yuan
肺血流,fei'xue'liu
非言语沟通,fei'yan'yu'gou'tong
非言语心理治疗,fei'yan'yu'xin'li'zhi'liao
非言语学习,fei'yan'yu'xue'xi
肺叶切除术,fei'ye'qie'chu'shu
非医疗美容,fei'yi'liao'mei'rong
肺移植,fei'yi'zhi
非整倍体,fei'zheng'bei'ti
非正式群体,fei'zheng'shi'qun'ti
非正中关系,fei'zheng'zhong'guan'xi
非正中颌骨关系,fei'zheng'zhong'he'gu'guan'xi
非组织特异性抗原,fei'zu'zhi'te'yi'xing'kang'yuan
分半信度,fen'ban'xin'du
分臂卡环,fen'bi'ka'huan
分辨,fen'bian
粪便嵌塞,fen'bian'qian'sai
分布,fen'bu
分层抽样,fen'ceng'chou'yang
分叉拇指,fen'cha'mu'zhi
分叉舌,fen'cha'she
分叉型肾盂,fen'cha'xing'shen'yu
分叉型输尿管,fen'cha'xing'shu'niao'guan
粉刺,fen'ci
粉刺状乳腺炎,fen'ci'zhuang'ru'xian'yan
分段策略,fen'duan'ce'lue
分段法,fen'duan'fa
分段截骨术,fen'duan'jie'gu'shu
分段印模,fen'duan'yin'mo
分隔术,fen'ge'shu
酚红排泄倒置,fen'hong'pai'xie'dao'zhi
分化,fen'hua
分化抗原,fen'hua'kang'yuan
分化群抗原,fen'hua'qun'kang'yuan
分级处理,fen'ji'chu'li
分级运动试验,fen'ji'yun'dong'shi'yan
分节,fen'jie
粪抗体,fen'kang'ti
分类,fen'lei
分类知觉,fen'lei'zhi'jue
分离,fen'li
分离层,fen'li'ceng
分离剂,fen'li'ji
分离焦虑,fen'li'jiao'lv
分离麻醉,fen'li'ma'zui
分离运动,fen'li'yun'dong
分离综合征,fen'li'zong'he'zheng
分裂,fen'lie
分裂不分离,fen'lie'bu'fen'li
分裂耐受,fen'lie'nai'shou
分裂手,fen'lie'shou
分裂象,fen'lie'xiang
分裂型人格障碍,fen'lie'xing'ren'ge'zhang'ai
分裂样人格障碍,fen'lie'yang'ren'ge'zhang'ai
分流分数,fen'liu'fen'shu
粪瘘,fen'lou
分米波疗法,fen'mi'bo'liao'fa
分泌成分,fen'mi'cheng'fen
分泌片,fen'mi'pian
分泌物,fen'mi'wu
分泌型,fen'mi'xing
粪尿,fen'niao
分配性注意,fen'pei'xing'zhu'yi
分配学习,fen'pei'xue'xi
分期切除,fen'qi'qie'chu
分期修复,fen'qi'xiu'fu
分散学习,fen'san'xue'xi
奋森龈炎,fen'sen'yin'yan
粪石,fen'shi
分数,fen'shu
粉碎染色体,fen'sui'ran'se'ti
芬太尼,fen'tai'ni
芬特肉芽样瘤,fen'te'rou'ya'yang'liu
分析,fen'xi
分析器学说,fen'xi'qi'xue'shuo
分析性心理治疗,fen'xi'xing'xin'li'zhi'liao
分心,fen'xin
分压,fen'ya
分牙器,fen'ya'qi
分牙术,fen'ya'shu
分叶肝,fen'ye'gan
分叶皮瓣,fen'ye'pi'ban
分枝杆菌病,fen'zhi'gan'jun'bing
分枝杆菌性溃疡,fen'zhi'gan'jun'xing'kui'yang
分支式程序,fen'zhi'shi'cheng'xu
分子,fen'zi
分子病理学,fen'zi'bing'li'xue
分子创伤学,fen'zi'chuang'shang'xue
分子免疫学,fen'zi'mian'yi'xue
分子细胞遗传学,fen'zi'xi'bao'yi'chuan'xue
分子吸收理论,fen'zi'xi'shou'li'lun
分子遗传学,fen'zi'yi'chuan'xue
分子杂交,fen'zi'za'jiao
蜂螯伤,feng'ao'shang
封闭抗体,feng'bi'kang'ti
封闭试验,feng'bi'shi'yan
封闭因子,feng'bi'yin'zi
缝合,feng'he
缝合吻合,feng'he'wen'he
缝皮钉,feng'pi'ding
风湿病,feng'shi'bing
风湿性环状红斑,feng'shi'xing'huan'zhuang'hong'ban
枫糖尿症,feng'tang'niao'zheng
丰唐手术,feng'tang'shou'shu
冯特错觉,feng'te'cuo'jue
风团,feng'tuan
蜂窝,feng'wo
蜂窝织炎,feng'wo'zhi'yan
蜂窝织炎性阑尾炎,feng'wo'zhi'yan'xing'lan'wei'yan
缝线包压法,feng'xian'bao'ya'fa
风险胎儿,feng'xian'tai'er
缝扎,feng'zha
缝扎法重睑成形术,feng'zha'fa'zhong'jian'cheng'xing'shu
缝针,feng'zhen
否定例证,fou'ding'li'zheng
否定妄想,fou'ding'wang'xiang
否认,fou'ren
腹壁成形术,fu'bi'cheng'xing'shu
腹壁多脂症,fu'bi'duo'zhi'zheng
腹壁感染,fu'bi'gan'ran
腹壁坏死性筋膜炎,fu'bi'huai'si'xing'jin'mo'yan
腹壁皮肤松垂,fu'bi'pi'fu'song'chui
腹壁皮肤脂肪切除术,fu'bi'pi'fu'zhi'fang'qie'chu'shu
腹壁围裙状松垂,fu'bi'wei'qun'zhuang'song'chui
腹壁硬纤维瘤,fu'bi'ying'xian'wei'liu
腹壁肿瘤,fu'bi'zhong'liu
腹部多脏器移植,fu'bu'duo'zang'qi'yi'zhi
付酬制度,fu'chou'zhi'du
服从权威,fu'cong'quan'wei
腹卒中,fu'cu'zhong
腹带,fu'dai
福代斯病,fu'dai'si'bing
负氮平衡,fu'dan'ping'heng
复等位基因,fu'deng'wei'ji'yin
浮动拇指,fu'dong'mu'zhi
副耳,fu'er
复发性阿弗他口炎,fu'fa'xing'a'fu'ta'kou'yan
复发性阿弗他溃疡,fu'fa'xing'a'fu'ta'kui'yang
复发性出血,fu'fa'xing'chu'xie
复发性单纯疱疹,fu'fa'xing'dan'chun'pao'zhen
复发性胆总管结石病,fu'fa'xing'dan'zong'guan'jie'shi'bing
复发性二期梅毒,fu'fa'xing'er'qi'mei'du
复发性风湿病,fu'fa'xing'feng'shi'bing
复发性溃疡,fu'fa'xing'kui'yang
复发性阑尾炎,fu'fa'xing'lan'wei'yan
覆盖,fu'gai
覆盖义齿,fu'gai'yi'chi
附睾睾丸炎,fu'gao'gao'wan'yan
附睾结核,fu'gao'jie'he
附睾类腺瘤,fu'gao'lei'xian'liu
附睾梅毒,fu'gao'mei'du
附睾囊腺瘤,fu'gao'nang'xian'liu
附睾切除术,fu'gao'qie'chu'shu
附睾肉瘤,fu'gao'rou'liu
附睾腺瘤,fu'gao'xian'liu
附睾炎,fu'gao'yan
附睾造影,fu'gao'zao'ying
附睾肿瘤,fu'gao'zhong'liu
弗格森疝修补术,fu'ge'sen'shan'xiu'bu'shu
福格特,fu'ge'te
腹股沟部瘢痕挛缩,fu'gu'gou'bu'ban'hen'luan'suo
腹股沟肉芽肿,fu'gu'gou'rou'ya'zhong
腹股沟疝,fu'gu'gou'shan
符号,fu'hao
符号刺激,fu'hao'ci'ji
符号互动理论,fu'hao'hu'dong'li'lun
符号检验,fu'hao'jian'yan
符号学习,fu'hao'xue'xi
符号学习理论,fu'hao'xue'xi'li'lun
负荷,fu'he
辐合,fu'he
复合半抗原,fu'he'ban'kang'yuan
复合固定桥,fu'he'gu'ding'qiao
辐合角,fu'he'jiao
复合抗原,fu'he'kang'yuan
复合皮瓣,fu'he'pi'ban
复合伤,fu'he'shang
复合树脂,fu'he'shu'zhi
辐合思维,fu'he'si'wei
复合物法,fu'he'wu'fa
复合牙色,fu'he'ya'se
复合音,fu'he'yin
负荷应激,fu'he'ying'ji
负荷运动,fu'he'yun'dong
复合杂合子,fu'he'za'he'zi
复合组织移植,fu'he'zu'zhi'yi'zhi
复合组织移植术,fu'he'zu'zhi'yi'zhi'shu
腹厚,fu'hou
负后象,fu'hou'xiang
腹肌发育缺陷综合征,fu'ji'fa'yu'que'xian'zong'he'zheng
附加体,fu'jia'ti
副交感神经系统,fu'jiao'gan'shen'jing'xi'tong
麸胶敏感性肠病,fu'jiao'min'gan'xing'chang'bing
肤觉,fu'jue
福克曼挛缩,fu'ke'man'luan'suo
福克斯,fu'ke'si
弗兰克尔矫治器,fu'lan'ke'er'jiao'zhi'qi
腹裂,fu'lie
复面洞,fu'mian'dong
腹膜后间隙炎,fu'mo'hou'jian'xi'yan
腹膜后淋巴结切除术,fu'mo'hou'lin'ba'jie'qie'chu'shu
腹膜后淋巴囊肿,fu'mo'hou'lin'ba'nang'zhong
腹膜后脓肿,fu'mo'hou'nong'zhong
腹膜后腔,fu'mo'hou'qiang
腹膜后疝,fu'mo'hou'shan
腹膜后纤维化,fu'mo'hou'xian'wei'hua
腹膜后注气造影,fu'mo'hou'zhu'qi'zao'ying
腹膜假粘液瘤,fu'mo'jia'nian'ye'liu
腹膜内膀胱破裂,fu'mo'nei'pang'guang'po'lie
腹膜外膀胱破裂,fu'mo'wai'pang'guang'po'lie
腹膜炎,fu'mo'yan
腹膜粘连,fu'mo'zhan'lian
复拇畸形,fu'mu'ji'xing
腹内侧下丘脑,fu'nei'ce'xia'qiu'nao
腹内疝,fu'nei'shan
富尼埃坏疽,fu'ni'ai'huai'ju
妇女多毛症,fu'nv'duo'mao'zheng
妇女心理学,fu'nv'xin'li'xue
氟哌啶醇,fu'pai'ding'chun
氟哌利多,fu'pai'li'duo
副脾,fu'pi
腹前后径,fu'qian'hou'jing
腹腔穿刺,fu'qiang'chuan'ci
腹腔分流术,fu'qiang'fen'liu'shu
腹腔灌洗,fu'qiang'guan'xi
腹腔积血,fu'qiang'ji'xue
腹腔镜检查,fu'qiang'jing'jian'cha
腹腔脓肿,fu'qiang'nong'zhong
父亲年龄效应,fu'qin'nian'ling'xiao'ying
副球孢子菌病,fu'qiu'bao'zi'jun'bing
副乳房,fu'ru'fang
肤色,fu'se
腹疝,fu'shan
辐射热疗法,fu'she're'liao'fa
辐射遗传学,fu'she'yi'chuan'xue
副神经节瘤,fu'shen'jing'jie'liu
副神经吻合术,fu'shen'jing'wen'he'shu
浮石粉,fu'shi'fen
腹式呼吸运动,fu'shi'hu'xi'yun'dong
腐蚀性食管狭窄,fu'shi'xing'shi'guan'xia'zhai
弗氏佐剂,fu'shi'zuo'ji
复述,fu'shu
腹水,fu'shui
复苏,fu'su
复苏后综合征,fu'su'hou'zong'he'zheng
复苏学,fu'su'xue
腹外疝,fu'wai'shan
氟烷,fu'wan
腹围,fu'wei
复位术,fu'wei'shu
肤纹学,fu'wen'xue
父系遗传,fu'xi'yi'chuan
辅线,fu'xian
副现象论,fu'xian'xiang'lun
负相关,fu'xiang'guan
复性,fu'xing
匐行性回状红斑,fu'xing'xing'hui'zhuang'hong'ban
匐行性溃疡,fu'xing'xing'kui'yang
匐行性血管瘤,fu'xing'xing'xue'guan'liu
匐行疹,fu'xing'zhen
匐行置换,fu'xing'zhi'huan
氟牙症,fu'ya'zheng
副缢痕,fu'yi'hen
副银屑病,fu'yin'xie'bing
负优生学,fu'you'sheng'xue
负诱因,fu'you'yin
抚育细胞,fu'yu'xi'bao
复杂并趾,fu'za'bing'zhi
复杂并指,fu'za'bing'zhi
复杂细胞,fu'za'xi'bao
复杂性派生理论,fu'za'xing'pai'sheng'li'lun
复杂易位,fu'za'yi'wei
复制,fu'zhi
腹直肌分离,fu'zhi'ji'fen'li
腹直肌鞘血肿,fu'zhi'ji'qiao'xue'zhong
副中肾管综合征,fu'zhong'shen'guan'zong'he'zheng
负重运动,fu'zhong'yun'dong
腹主,fu'zhu
辅助病毒,fu'zhu'bing'du
腹主动脉瘤,fu'zhu'dong'mai'liu
辅助色板,fu'zhu'se'ban
辅助通气,fu'zhu'tong'qi
辅助细胞,fu'zhu'xi'bao
辅助心脏移植,fu'zhu'xin'zang'yi'zhi
辅助性,fu'zhu'xing
辅助性肝移植,fu'zhu'xing'gan'yi'zhi
辅助循环,fu'zhu'xun'huan
附着龈,fu'zhuo'yin
附着增加,fu'zhuo'zeng'jia
改变,gai'bian
钙化,gai'hua
概化理论,gai'hua'li'lun
钙化性软骨营养不良,gai'hua'xing'ruan'gu'ying'yang'bu'liang
盖嵴式桥体,gai'ji'shi'qiao'ti
概括,gai'kuo
概括说,gai'kuo'shuo
改良菱形皮瓣,gai'liang'ling'xing'pi'ban
改良式箭头卡环,gai'liang'shi'jian'tou'ka'huan
改良威德曼翻瓣术,gai'liang'wei'de'man'fan'ban'shu
概念,gai'nian
概念储存,gai'nian'chu'cun
概念发展,gai'nian'fa'zhan
概念结构,gai'nian'jie'gou
概念确认,gai'nian'que'ren
概念体系,gai'nian'ti'xi
概念习得,gai'nian'xi'de
概念形成,gai'nian'xing'cheng
概念学习,gai'nian'xue'xi
钙乳胆汁,gai'ru'dan'zhi
盖髓,gai'sui
干槽症,gan'cao'zheng
肝肠联合移植,gan'chang'lian'he'yi'zhi
杆单元,gan'dan'yuan
肝豆状核变性,gan'dou'zhuang'he'bian'xing
杆关节,gan'guan'jie
感官特殊能量说,gan'guan'te'shu'neng'liang'shuo
坩埚形成座,gan'guo'xing'cheng'zuo
干骺续连症,gan'hou'xu'lian'zheng
感觉,gan'jue
感觉剥夺,gan'jue'bo'duo
感觉道,gan'jue'dao
感觉登记,gan'jue'deng'ji
感觉器官相互作用,gan'jue'qi'guan'xiang'hu'zuo'yong
感觉适应,gan'jue'shi'ying
感觉属性,gan'jue'shu'xing
感觉消失,gan'jue'xiao'shi
感觉阈限,gan'jue'yu'xian
感觉运动,gan'jue'yun'dong
感觉运动阶段,gan'jue'yun'dong'jie'duan
感觉主义,gan'jue'zhu'yi
干酪样肺炎,gan'lao'yang'fei'yan
干酪样坏死,gan'lao'yang'huai'si
甘露糖苷贮积症,gan'lu'tang'gan'zhu'ji'zheng
肝门肠吻合术,gan'men'chang'wen'he'shu
肝内胆管结石,gan'nei'dan'guan'jie'shi
肝内胆管结石病,gan'nei'dan'guan'jie'shi'bing
肝内胆汁淤积,gan'nei'dan'zhi'yu'ji
感染,gan'ran
感染伤口,gan'ran'shang'kou
感染性心内膜炎,gan'ran'xing'xin'nei'mo'yan
感染性休克,gan'ran'xing'xiu'ke
干扰电疗法,gan'rao'dian'liao'fa
干扰理论,gan'rao'li'lun
干扰素,gan'rao'su
肝肾联合移植,gan'shen'lian'he'yi'zhi
感受野,gan'shou'ye
肝素测定系统,gan'su'ce'ding'xi'tong
肝素辅因子,gan'su'fu'yin'zi
肝素化,gan'su'hua
肝素化逆转,gan'su'hua'ni'zhuan
肝素涂覆管道,gan'su'tu'fu'guan'dao
干髓术,gan'sui'shu
肝细胞移植,gan'xi'bao'yi'zhi
肝心联合移植,gan'xin'lian'he'yi'zhi
干性坏疽,gan'xing'huai'ju
肝性昏迷,gan'xing'hun'mi
杆形卡环,gan'xing'ka'huan
干性糠疹,gan'xing'kang'zhen
干性皮肤,gan'xing'pi'fu
肝胰联合移植,gan'yi'lian'he'yi'zhi
肝移植,gan'yi'zhi
感应电疗法,gan'ying'dian'liao'fa
肝硬化,gan'ying'hua
干燥性湿疹,gan'zao'xing'shi'zhen
干燥综合征,gan'zao'zong'he'zheng
感知觉训练,gan'zhi'jue'xun'lian
肛管癌,gang'guan'ai
肛裂,gang'lie
肛门闭锁会阴瘘,gang'men'bi'suo'hui'yin'lou
肛门闭锁尿道瘘,gang'men'bi'suo'niao'dao'lou
肛门闭锁前庭瘘,gang'men'bi'suo'qian'ting'lou
肛门闭锁阴道瘘,gang'men'bi'suo'yin'dao'lou
肛门环箍术,gang'men'huan'gu'shu
肛门镜,gang'men'jing
肛门镜检查,gang'men'jing'jian'cha
肛门溃疡,gang'men'kui'yang
肛门括约肌成形术,gang'men'kuo'yue'ji'cheng'xing'shu
肛门期,gang'men'qi
肛门前移,gang'men'qian'yi
肛门瘙痒,gang'men'sao'yang
肛门失禁,gang'men'shi'jin
肛门狭窄,gang'men'xia'zhai
肛门血管扩张,gang'men'xue'guan'kuo'zhang
肛门直肠瘘,gang'men'zhi'chang'lou
肛门直肠脓肿,gang'men'zhi'chang'nong'zhong
钢琴说,gang'qin'shuo
肛乳头炎,gang'ru'tou'yan
钢水烧伤,gang'shui'shao'shang
钢丝夹板,gang'si'jia'ban
肛周念珠菌病,gang'zhou'nian'zhu'jun'bing
肛周脓肿,gang'zhou'nong'zhong
高苯丙氨酸血症,gao'ben'bing'an'suan'xue'zheng
高丙种球蛋白血症,gao'bing'zhong'qiu'dan'bai'xue'zheng
高代谢,gao'dai'xie
高度爆炸伤,gao'du'bao'zha'shang
高分辨显带,gao'fen'bian'xian'dai
高钙尿症,gao'gai'niao'zheng
高弓足,gao'gong'zu
高剂量耐受,gao'ji'liang'nai'shou
高级神经活动规律,gao'ji'shen'jing'huo'dong'gui'lv
高级心理过程,gao'ji'xin'li'guo'cheng
告警信号,gao'jing'xin'hao
高酪氨酸血症,gao'lao'an'suan'xue'zheng
高免疫性,gao'mian'yi'xing
高凝性,gao'ning'xing
高频电疗法,gao'pin'dian'liao'fa
高频电疗美容术,gao'pin'dian'liao'mei'rong'shu
高频电美容仪,gao'pin'dian'mei'rong'yi
高频通气,gao'pin'tong'qi
高嵌体,gao'qian'ti
高球蛋白血症紫癜,gao'qiu'dan'bai'xue'zheng'zi'dian
锆肉芽肿,gao'rou'ya'zhong
高肾素型高血压,gao'shen'su'xing'gao'xue'ya
高渗盐溶液,gao'shen'yan'rong'ye
高速子弹伤,gao'su'zi'dan'shang
睾酮,gao'tong
高铜汞合金,gao'tong'gong'he'jin
睾丸癌,gao'wan'ai
睾丸表皮样囊肿,gao'wan'biao'pi'yang'nang'zhong
睾丸挫伤,gao'wan'cuo'shang
睾丸发育不全,gao'wan'fa'yu'bu'quan
睾丸非生殖细胞瘤,gao'wan'fei'sheng'zhi'xi'bao'liu
睾丸附件,gao'wan'fu'jian
睾丸附件扭转,gao'wan'fu'jian'niu'zhuan
睾丸畸胎癌,gao'wan'ji'tai'ai
睾丸畸胎瘤,gao'wan'ji'tai'liu
睾丸畸形,gao'wan'ji'xing
睾丸间质细胞瘤,gao'wan'jian'zhi'xi'bao'liu
睾丸结核,gao'wan'jie'he
睾丸精母细胞瘤,gao'wan'jing'mu'xi'bao'liu
睾丸精原细胞瘤,gao'wan'jing'yuan'xi'bao'liu
睾丸梅毒,gao'wan'mei'du
睾丸母细胞瘤,gao'wan'mu'xi'bao'liu
睾丸女性化,gao'wan'nv'xing'hua
睾丸女性化综合征,gao'wan'nv'xing'hua'zong'he'zheng
睾丸旁横纹肌肉瘤,gao'wan'pang'heng'wen'ji'rou'liu
睾丸胚胎癌,gao'wan'pei'tai'ai
睾丸鞘膜积液,gao'wan'qiao'mo'ji'ye
睾丸鞘膜纤维瘤,gao'wan'qiao'mo'xian'wei'liu
睾丸切除术,gao'wan'qie'chu'shu
睾丸缺如综合征,gao'wan'que'ru'zong'he'zheng
睾丸融合,gao'wan'rong'he
睾丸绒毛膜癌,gao'wan'rong'mao'mo'ai
睾丸生殖细胞瘤,gao'wan'sheng'zhi'xi'bao'liu
睾丸树胶样瘤,gao'wan'shu'jiao'yang'liu
睾丸素,gao'wan'su
睾丸损伤,gao'wan'sun'shang
睾丸脱位,gao'wan'tuo'wei
睾丸网乳头状腺癌,gao'wan'wang'ru'tou'zhuang'xian'ai
睾丸萎缩,gao'wan'wei'suo
睾丸下降不全,gao'wan'xia'jiang'bu'quan
睾丸腺癌,gao'wan'xian'ai
睾丸炎,gao'wan'yan
睾丸异位,gao'wan'yi'wei
睾丸移植,gao'wan'yi'zhi
睾丸真菌病,gao'wan'zhen'jun'bing
睾丸支持细胞瘤,gao'wan'zhi'chi'xi'bao'liu
睾丸肿瘤,gao'wan'zhong'liu
睾丸轴,gao'wan'zhou
高危,gao'wei
高位髌骨,gao'wei'bin'gu
高位肩胛,gao'wei'jian'jia
高危人群,gao'wei'ren'qun
高位微笑,gao'wei'wei'xiao
高位牙,gao'wei'ya
高温,gao'wen
高血糖素瘤,gao'xue'tang'su'liu
高血压脑出血,gao'xue'ya'nao'chu'xue
高血压缺血性溃疡,gao'xue'ya'que'xue'xing'kui'yang
高血压危象,gao'xue'ya'wei'xiang
高压电损伤,gao'ya'dian'sun'shang
高压氧疗法,gao'ya'yang'liao'fa
高应答个体,gao'ying'da'ge'ti
高原期,gao'yuan'qi
高原现象,gao'yuan'xian'xiang
高张盐溶液,gao'zhang'yan'rong'ye
高震按摩机,gao'zhen'an'mo'ji
高阻抗管道,gao'zu'kang'guan'dao
个案研究,ge'an'yan'jiu
个别测验,ge'bie'ce'yan
个别教学,ge'bie'jiao'xue
个别托盘,ge'bie'tuo'pan
个别心理治疗,ge'bie'xin'li'zhi'liao
隔代遗传,ge'dai'yi'chuan
哥德式弓描记器,ge'de'shi'gong'miao'ji'qi
膈恶性肿瘤,ge'e'xing'zhong'liu
戈尔,ge'er
格拉斯哥昏迷评分,ge'la'si'ge'hun'mi'ping'fen
革兰氏阴性菌毛囊炎,ge'lan'shi'yin'xing'jun'mao'nang'yan
戈勒姆病,ge'le'mu'bing
格雷西刮治器,ge'lei'xi'gua'zhi'qi
隔离,ge'li
隔离灌注,ge'li'guan'zhu
隔离抗原,ge'li'kang'yuan
隔离群,ge'li'qun
膈良性肿瘤,ge'liang'xing'zhong'liu
割裂基因,ge'lie'ji'yin
割裂脑,ge'lie'nao
哥伦比亚学派,ge'lun'bi'ya'xue'pai
革螨皮炎,ge'man'pi'yan
膈膨升折叠术,ge'peng'sheng'zhe'die'shu
铬皮炎,ge'pi'yan
膈破裂,ge'po'lie
隔区,ge'qu
个人动机,ge'ren'dong'ji
个人空间,ge'ren'kong'jian
个人倾向性,ge'ren'qing'xiang'xing
格塞尔发展测验,ge'sai'er'fa'zhan'ce'yan
膈疝,ge'shan
膈疝修补,ge'shan'xiu'bu
膈上憩室,ge'shang'qi'shi
膈神经电刺激呼吸,ge'shen'jing'dian'ci'ji'hu'xi
膈神经麻痹,ge'shen'jing'ma'bi
膈神经切除术,ge'shen'jing'qie'chu'shu
膈式呼吸运动,ge'shi'hu'xi'yun'dong
格式塔,ge'shi'ta
格式塔场理论,ge'shi'ta'chang'li'lun
格式塔心理学,ge'shi'ta'xin'li'xue
格式塔治疗,ge'shi'ta'zhi'liao
格式塔组织原则,ge'shi'ta'zu'zhi'yuan'ze
隔束,ge'shu
格思里试验,ge'si'li'shi'yan
铬酸烧伤,ge'suan'shao'shang
哥特式弓描记器,ge'te'shi'gong'miao'ji'qi
个体差异,ge'ti'cha'yi
个体发生,ge'ti'fa'sheng
个体发育,ge'ti'fa'yu
个体心理学,ge'ti'xin'li'xue
个体心理治疗,ge'ti'xin'li'zhi'liao
个体需要,ge'ti'xu'yao
膈下脓肿,ge'xia'nong'zhong
膈下异常肺静脉连接,ge'xia'yi'chang'fei'jing'mai'lian'jie
个性,ge'xing
个性排牙法,ge'xing'pai'ya'fa
个性心理特征,ge'xing'xin'li'te'zheng
个性心理学,ge'xing'xin'li'xue
个性牙排列,ge'xing'ya'pai'lie
隔缘肉柱,ge'yuan'rou'zhu
膈折叠术,ge'zhe'die'shu
格子细胞,ge'zi'xi'bao
格子形切口,ge'zi'xing'qie'kou
给位,gei'wei
根侧牙周囊肿,gen'ce'ya'zhou'nang'zhong
根固位体,gen'gu'wei'ti
根管,gen'guan
根管闭塞,gen'guan'bi'se
根管长度测量仪,gen'guan'chang'du'ce'liang'yi
根管充填银尖,gen'guan'chong'tian'yin'jian
根管锉,gen'guan'cuo
根管封闭,gen'guan'feng'bi
根管口,gen'guan'kou
根管内封药,gen'guan'nei'feng'yao
根管内预备,gen'guan'nei'yu'bei
根管内种植体,gen'guan'nei'zhong'zhi'ti
根管治疗术,gen'guan'zhi'liao'shu
根管钻,gen'guan'zuan
根间截骨术,gen'jian'jie'gu'shu
根尖孔,gen'jian'kong
跟腱挛缩,gen'jian'luan'suo
根尖囊肿,gen'jian'nang'zhong
根尖片,gen'jian'pian
根尖切除术,gen'jian'qie'chu'shu
根尖下截骨术,gen'jian'xia'jie'gu'shu
根间纤维,gen'jian'xian'wei
根尖纤维,gen'jian'xian'wei
根尖诱导形成术,gen'jian'you'dao'xing'cheng'shu
根尖周囊肿,gen'jian'zhou'nang'zhong
根尖周脓肿,gen'jian'zhou'nong'zhong
根尖周肉芽肿,gen'jian'zhou'rou'ya'zhong
根尖周吸收,gen'jian'zhou'xi'shou
根尖周炎,gen'jian'zhou'yan
跟距骨桥,gen'ju'gu'qiao
根毛霉,gen'mao'mei
根霉,gen'mei
根面平整术,gen'mian'ping'zheng'shu
根内固位体,gen'nei'gu'wei'ti
跟随运动,gen'sui'yun'dong
根向复位瓣术,gen'xiang'fu'wei'ban'shu
根治性颈清扫术,gen'zhi'xing'jing'qing'sao'shu
根治性淋巴结清扫术,gen'zhi'xing'lin'ba'jie'qing'sao'shu
根治性膀胱切除术,gen'zhi'xing'pang'guang'qie'chu'shu
根治性前列腺切除术,gen'zhi'xing'qian'lie'xian'qie'chu'shu
根治性全肺切除术,gen'zhi'xing'quan'fei'qie'chu'shu
根治性肾切除术,gen'zhi'xing'shen'qie'chu'shu
更年期精神病,geng'nian'qi'jing'shen'bing
更年期抑郁症,geng'nian'qi'yi'yu'zheng
更年期综合征,geng'nian'qi'zong'he'zheng
梗死,geng'si
梗死形成,geng'si'xing'cheng
梗阻性阑尾炎,geng'zu'xing'lan'wei'yan
梗阻性脑积水,geng'zu'xing'nao'ji'shui
工程人体测量学,gong'cheng'ren'ti'ce'liang'xue
工程心理学,gong'cheng'xin'li'xue
汞毒性口炎,gong'du'xing'kou'yan
弓杆,gong'gan
公共卫生口腔医学,gong'gong'wei'sheng'kou'qiang'yi'xue
肱骨小头骨折,gong'gu'xiao'tou'gu'zhe
汞合金匙,gong'he'jin'chi
汞合金充填器,gong'he'jin'chong'tian'qi
汞合金搅拌机,gong'he'jin'jiao'ban'ji
汞合金输送器,gong'he'jin'shu'song'qi
汞合金悬突磨除器,gong'he'jin'xuan'tu'mo'chu'qi
汞合金压缩器,gong'he'jin'ya'suo'qi
攻击,gong'ji
攻击性人格,gong'ji'xing'ren'ge
攻击行为,gong'ji'xing'wei
工具性攻击,gong'ju'xing'gong'ji
工具性条件作用,gong'ju'xing'tiao'jian'zuo'yong
工具性学习,gong'ju'xing'xue'xi
共鸣电火花疗法,gong'ming'dian'huo'hua'liao'fa
共鸣说,gong'ming'shuo
功能,gong'neng
功能重建,gong'neng'chong'jian
功能锻练,gong'neng'duan'lian
功能固着,gong'neng'gu'zhuo
功能恢复,gong'neng'hui'fu
功能距离,gong'neng'ju'li
功能位,gong'neng'wei
功能紊乱综合征,gong'neng'wen'luan'zong'he'zheng
功能性磁共振成象,gong'neng'xing'ci'gong'zhen'cheng'xiang
功能性电刺激,gong'neng'xing'dian'ci'ji
功能性矫治器,gong'neng'xing'jiao'zhi'qi
功能性解决,gong'neng'xing'jie'jue
功能性颈清扫术,gong'neng'xing'jing'qing'sao'shu
功能性神经外科,gong'neng'xing'shen'jing'wai'ke
功能性异染色质,gong'neng'xing'yi'ran'se'zhi
功能训练,gong'neng'xun'lian
功能印模,gong'neng'yin'mo
功能障碍,gong'neng'zhang'ai
汞皮炎,gong'pi'yan
公平理论,gong'ping'li'lun
供区,gong'qu
供述动机,gong'shu'dong'ji
供述心理学,gong'shu'xin'li'xue
供述障碍,gong'shu'zhang'ai
弓丝成型器,gong'si'cheng'xing'qi
公诉心理学,gong'su'xin'li'xue
供体,gong'ti
弓体,gong'ti
共同抗原,gong'tong'kang'yuan
共同要素说,gong'tong'yao'su'shuo
共同中介说,gong'tong'zhong'jie'shuo
