阿春家,a'chun'jia
大周六,da'zhou'liu
大周六的,da'zhou'liu'de
大周末的,da'zhou'mo'de
大周日,da'zhou'ri
大周五,da'zhou'wu
大周五的,da'zhou'wu'de
大周一,da'zhou'yi
大周一的,da'zhou'yi'de
大肘子,da'zhou'zi
大主卧,da'zhu'wo
大庄科,da'zhuang'ke
打字电话,da'zi'dian'hua
代持,dai'chi
带电梯,dai'dian'ti
袋儿,dai'er
带饭了,dai'fan'le
带闺女,dai'gui'nv
待核实,dai'he'shi
带花园,dai'hua'yuan
待会呗,dai'hui'bei
待会儿吧,dai'hui'er'ba
待会儿的,dai'hui'er'de
待会给你发,dai'hui'gei'ni'fa
待会吗,dai'hui'ma
待会呢,dai'hui'ne
待会呀,dai'hui'ya
带库,dai'ku
呆了会儿,dai'le'hui'er
代乐乐,dai'le'le
代码里,dai'ma'li
代码中,dai'ma'zhong
戴姆勒,dai'mu'le
带伞了么,dai'san'le'me
带上点,dai'shang'dian
带我闺女,dai'wo'gui'nv
带项目,dai'xiang'mu
带阳台,dai'yang'tai
黛英,dai'ying
呆在北京,dai'zai'bei'jing
待咱们,dai'zan'men
带着点,dai'zhe'dian
带着点儿,dai'zhe'dian'er
带着点伞,dai'zhe'dian'san
待支付,dai'zhi'fu
但北京,dan'bei'jing
蛋逼,dan'bi
丹陛华,dan'bi'hua
蛋逼了,dan'bi'le
蛋逼呢,dan'bi'ne
蛋炒饼,dan'chao'bing
蛋蛋上,dan'dan'shang
蛋蛋网,dan'dan'wang
单点登录,dan'dian'deng'lu
蛋糕卡,dan'gao'ka
单给你,dan'gei'ni
弹弓子,dan'gong'zi
单花钱,dan'hua'qian
蛋会逼,dan'hui'bi
单加钱,dan'jia'qian
单肩背,dan'jian'bei
单间差,dan'jian'cha
单考单招,dan'kao'dan'zhao
丹棱街,dan'leng'jie
单聊吧,dan'liao'ba
单拿出来,dan'na'chu'lai
单配,dan'pei
单请你,dan'qing'ni
单请我,dan'qing'wo
单收费,dan'shou'fei
单说,dan'shuo
单算,dan'suan
单谈,dan'tan
弹丸滋地,dan'wan'zi'di
单位见,dan'wei'jian
单位这边,dan'wei'zhe'bian
耽误功夫,dan'wu'gong'fu
耽误您,dan'wu'nin
单线本,dan'xian'ben
单向街,dan'xiang'jie
单写,dan'xie
单页夹,dan'ye'jia
丹园,dan'yuan
单子号,dan'zi'hao
当代,dang'dai
当代商城,dang'dai'shang'cheng
当地时间,dang'di'shi'jian
当姐们,dang'jie'men
当人一面,dang'ren'yi'mian
当事儿,dang'shi'er
当早点,dang'zao'dian
当着人,dang'zhe'ren
盗版盘,dao'ban'pan
到北大,dao'bei'da
到北极,dao'bei'ji
到北京,dao'bei'jing
到北京啊,dao'bei'jing'a
到北京的,dao'bei'jing'de
到北京后,dao'bei'jing'hou
到北京几天,dao'bei'jing'ji'tian
到北京啦,dao'bei'jing'la
到北京来,dao'bei'jing'lai
到北京了,dao'bei'jing'le
到北京了吧,dao'bei'jing'le'ba
到北京了吗,dao'bei'jing'le'ma
到北京了么,dao'bei'jing'le'me
到北京呢,dao'bei'jing'ne
到北京西,dao'bei'jing'xi
到北京站,dao'bei'jing'zhan
到北苑,dao'bei'yuan
叨逼,dao'bi
叨逼叨,dao'bi'dao
到不远,dao'bu'yuan
到长城,dao'chang'cheng
到昌平,dao'chang'ping
到崇文门,dao'chong'wen'men
到达北京,dao'da'bei'jing
到达口,dao'da'kou
到大望路,dao'da'wang'lu
到达现场,dao'da'xian'chang
到大兴,dao'da'xing
到单位了么,dao'dan'wei'le'me
到单位了那,dao'dan'wei'le'na
到的北京,dao'de'bei'jing
到德胜门,dao'de'sheng'men
到地儿,dao'di'er
到地铁,dao'di'tie
到地铁口,dao'di'tie'kou
到地铁了,dao'di'tie'le
到底怎么着,dao'di'zen'me'zhe
到点儿,dao'dian'er
到东单,dao'dong'dan
到动物园,dao'dong'wu'yuan
到东直门,dao'dong'zhi'men
道尔泰,dao'er'tai
到房山,dao'fang'shan
到丰台,dao'feng'tai
到复兴门,dao'fu'xing'men
倒公交,dao'gong'jiao
到公司了么,dao'gong'si'le'me
到工体,dao'gong'ti
到公主坟,dao'gong'zhu'fen
到古城,dao'gu'cheng
到国贸,dao'guo'mao
到国贸了,dao'guo'mao'le
到海淀,dao'hai'dian
到呼家楼,dao'hu'jia'lou
到怀柔,dao'huai'rou
到黄村,dao'huang'cun
到回龙观,dao'hui'long'guan
到积水潭,dao'ji'shui'tan
到家得,dao'jia'de
到家告诉你,dao'jia'gao'su'ni
到家告诉我吧,dao'jia'gao'su'wo'ba
到家给你发,dao'jia'gei'ni'fa
到家就睡,dao'jia'jiu'shui
到家就睡了,dao'jia'jiu'shui'le
到家美食会,dao'jia'mei'shi'hui
道家园,dao'jia'yuan
到建国门,dao'jian'guo'men
到劲松,dao'jin'song
到京,dao'jing
到京了,dao'jing'le
到库房,dao'ku'fang
叨唠,dao'lao
叨唠叨唠,dao'lao'dao'lao
到了北京,dao'le'bei'jing
到立水桥,dao'li'shui'qiao
到梨园,dao'li'yuan
到良乡,dao'liang'xiang
到刘家窑,dao'liu'jia'yao
到六里桥,dao'liu'li'qiao
到龙泽,dao'long'ze
到密云,dao'mi'yun
到哪儿啦,dao'na'er'la
到哪了你,dao'na'le'ni
到哪站,dao'na'zhan
到哪站了,dao'na'zhan'le
到您家,dao'nin'jia
到您那,dao'nin'na
到平谷,dao'ping'gu
到苹果园,dao'ping'guo'yuan
到前门,dao'qian'men
到清河,dao'qing'he
到清华,dao'qing'hua
到三元桥,dao'san'yuan'qiao
倒骚,dao'sao
到傻逼,dao'sha'bi
到沙河,dao'sha'he
到上地,dao'shang'di
倒是不远,dao'shi'bu'yuan
到双井,dao'shuang'jing
到双桥,dao'shuang'qiao
到顺义,dao'shun'yi
到四惠,dao'si'hui
到四惠了,dao'si'hui'le
到宋家庄,dao'song'jia'zhuang
到天安门,dao'tian'an'men
到天通苑,dao'tian'tong'yuan
到通州,dao'tong'zhou
到头儿,dao'tou'er
到土桥,dao'tu'qiao
到团结湖,dao'tuan'jie'hu
到王府井,dao'wang'fu'jing
到我司,dao'wo'si
到五道口,dao'wu'dao'kou
到五棵松,dao'wu'ke'song
到西单,dao'xi'dan
到西单了,dao'xi'dan'le
到西二旗,dao'xi'er'qi
到西直门,dao'xi'zhi'men
到西直门了,dao'xi'zhi'men'le
稻香春,dao'xiang'chun
稻香村,dao'xiang'cun
稻香村的,dao'xiang'cun'de
稻香湖,dao'xiang'hu
到香山,dao'xiang'shan
稻香园,dao'xiang'yuan
倒休,dao'xiu
倒休了,dao'xiu'le
到燕郊,dao'yan'jiao
到延庆,dao'yan'qing
倒一趟,dao'yi'tang
到亦庄,dao'yi'zhuang
到雍和宫,dao'yong'he'gong
到早了,dao'zao'le
到知春路,dao'zhi'chun'lu
到中关村,dao'zhong'guan'cun
到涿州,dao'zhuo'zhou
倒座庙,dao'zuo'miao
德奥达,de'ao'da
德宝饭店,de'bao'fan'dian
的北京,de'bei'jing
得逼,de'bi
德川家,de'chuan'jia
的地儿,de'di'er
得疯了,de'feng'le
的活儿,de'huo'er
得几点了,de'ji'dian'le
的姐们,de'jie'men
得嘞,de'lei
德露苑,de'lu'yuan
德茂,de'mao
德茂庄,de'mao'zhuang
德内大街,de'nei'da'jie
德清源,de'qing'yuan
德仁务,de'ren'wu
德胜国际,de'sheng'guo'ji
德胜门,de'sheng'men
德胜门了,de'sheng'men'le
德胜门外,de'sheng'men'wai
德胜门西,de'sheng'men'xi
的事儿了,de'shi'er'le
德外,de'wai
德外大街,de'wai'da'jie
德外关厢,de'wai'guan'xiang
德外桥,de'wai'qiao
德威治,de'wei'zhi
得下周,de'xia'zhou
德贤路,de'xian'lu
德行吧,de'xing'ba
德行样,de'xing'yang
德云社,de'yun'she
德州扒鸡,de'zhou'pa'ji
等保,deng'bao
登长城,deng'chang'cheng
等车呢,deng'che'ne
等春节,deng'chun'jie
等地铁呢,deng'di'tie'ne
等电梯呢,deng'dian'ti'ne
等公交呢,deng'gong'jiao'ne
等回北京,deng'hui'bei'jing
等会儿昂,deng'hui'er'ang
等会儿你,deng'hui'er'ni
等会儿我,deng'hui'er'wo
等会我吧,deng'hui'wo'ba
等级品,deng'ji'pin
等节后,deng'jie'hou
登陆页,deng'lu'ye
等你回北京,deng'ni'hui'bei'jing
等你来北京,deng'ni'lai'bei'jing
等你信,deng'ni'xin
等你信儿,deng'ni'xin'er
等你丫,deng'ni'ya
等您回来,deng'nin'hui'lai
等您消息,deng'nin'xiao'xi
灯市口,deng'shi'kou
灯市西口,deng'shi'xi'kou
等我到家的,deng'wo'dao'jia'de
等我给你找找,deng'wo'gei'ni'zhao'zhao
等我信,deng'wo'xin
等我信儿,deng'wo'xin'er
等信儿,deng'xin'er
等丫,deng'ya
邓庄,deng'zhuang
地安门,di'an'men
地百,di'bai
递出,di'chu
递出来,di'chu'lai
递出去,di'chu'qu
底大边,di'da'bian
嘀嘀打车,di'di'da'che
底掉,di'diao
帝都,di'du
帝都的,di'du'de
帝都了,di'du'le
帝都人,di'du'ren
帝都人民,di'du'ren'min
第二拨,di'er'bo
底儿掉,di'er'diao
第二会议室,di'er'hui'yi'shi
第二机场,di'er'ji'chang
第二教育网,di'er'jiao'yu'wang
地儿了,di'er'le
第二外国语,di'er'wai'guo'yu
第二外国语学院,di'er'wai'guo'yu'xue'yuan
底方,di'fang
地方教育附加,di'fang'jiao'yu'fu'jia
地方站,di'fang'zhan
地概,di'gai
递葛,di'ge
递回,di'hui
递回去,di'hui'qu
低价出租,di'jia'chu'zu
地接费,di'jie'fei
抵京,di'jing
帝凯乐,di'kai'le
地库,di'ku
地理所,di'li'suo
第六医院,di'liu'yi'yuan
地面站,di'mian'zhan
抵票,di'piao
第三会议室,di'san'hui'yi'shi
第三区,di'san'qu
第三调解室,di'san'tiao'jie'shi
第三置业,di'san'zhi'ye
底商,di'shang
地上物,di'shang'wu
地盛,di'sheng
地税所,di'shui'suo
地坛,di'tan
地坛公园,di'tan'gong'yuan
地坛庙会,di'tan'miao'hui
地坛书市,di'tan'shu'shi
地坛西门,di'tan'xi'men
地坛医院,di'tan'yi'yuan
地忒,di'tei
地调局,di'tiao'ju
地铁吧,di'tie'ba
地铁呗,di'tie'bei
地铁边,di'tie'bian
地铁边上,di'tie'bian'shang
地铁出来,di'tie'chu'lai
地铁的话,di'tie'de'hua
地铁方便,di'tie'fang'bian
地铁附近,di'tie'fu'jin
地铁还是,di'tie'hai'shi
地铁回家,di'tie'hui'jia
地铁回去,di'tie'hui'qu
地铁见,di'tie'jian
地铁近,di'tie'jin
地铁口了,di'tie'kou'le
地铁快,di'tie'kuai
地铁啦,di'tie'la
地铁了,di'tie'le
地铁了吧,di'tie'le'ba
地铁了吗,di'tie'le'ma
地铁了么,di'tie'le'me
地铁里,di'tie'li
地铁里了,di'tie'li'le
地铁里面,di'tie'li'mian
地铁里呢,di'tie'li'ne
地铁六号线,di'tie'liu'hao'xian
地铁吗,di'tie'ma
地铁么,di'tie'me
地铁没信号,di'tie'mei'xin'hao
地铁门口,di'tie'men'kou
地铁那,di'tie'na
地铁呢,di'tie'ne
地铁旁,di'tie'pang
地铁去,di'tie'qu
地铁人,di'tie'ren
地铁人多,di'tie'ren'duo
地铁上呢,di'tie'shang'ne
地铁十号线,di'tie'shi'hao'xian
地铁四号线,di'tie'si'hao'xian
地铁司机,di'tie'si'ji
地铁通,di'tie'tong
地铁图,di'tie'tu
地铁五号线,di'tie'wu'hao'xian
地铁线路,di'tie'xian'lu
地铁线路图,di'tie'xian'lu'tu
地铁信号,di'tie'xin'hao
地铁信号不好,di'tie'xin'hao'bu'hao
地铁呀,di'tie'ya
地铁沿线,di'tie'yan'xian
地铁站吧,di'tie'zhan'ba
地铁站呢,di'tie'zhan'ne
地铁这,di'tie'zhe
地铁走,di'tie'zou
地铁族,di'tie'zu
第五大道,di'wu'da'dao
第五俱乐部,di'wu'ju'le'bu
地下二,di'xia'er
地下二层,di'xia'er'ceng
地下空间,di'xia'kong'jian
地下三层,di'xia'san'ceng
地下一,di'xia'yi
地下一层,di'xia'yi'ceng
迪信通,di'xin'tong
地兴居,di'xing'ju
抵押贷,di'ya'dai
迪亚天天,di'ya'tian'tian
第一拨,di'yi'bo
第一财经日报,di'yi'cai'jing'ri'bao
第一个红绿灯,di'yi'ge'hong'lv'deng
第一会议室,di'yi'hui'yi'shi
第一件事儿,di'yi'jian'shi'er
第一商城,di'yi'shang'cheng
第一视频,di'yi'shi'pin
第一太平,di'yi'tai'ping
第一帧,di'yi'zhen
低于市场价,di'yu'shi'chang'jia
帝园,di'yuan
地址变更,di'zhi'bian'geng
地址不详,di'zhi'bu'xiang
地质大学,di'zhi'da'xue
地质礼堂,di'zhi'li'tang
邸总,di'zong
靛厂,dian'chang
靛厂路,dian'chang'lu
靛厂新村,dian'chang'xin'cun
电磁兼容,dian'ci'jian'rong
典当刚,dian'dang'gang
典当行,dian'dang'hang
垫底儿,dian'di'er
颠儿,dian'er
典范英语,dian'fan'ying'yu
电工本,dian'gong'ben
电工所,dian'gong'suo
电锅炉,dian'guo'lu
垫话,dian'hua
电话表,dian'hua'biao
电话错误,dian'hua'cuo'wu
电话局,dian'hua'ju
电话您,dian'hua'nin
电话无法接通,dian'hua'wu'fa'jie'tong
电话无人接听,dian'hua'wu'ren'jie'ting
点击数,dian'ji'shu
电开,dian'kai
电科院,dian'ke'yuan
电力医院,dian'li'yi'yuan
点名儿,dian'ming'er
电脑里呢,dian'nao'li'ne
电你,dian'ni
店票,dian'piao
点题班,dian'ti'ban
电我吧,dian'wo'ba
点痦子,dian'wu'zi
电信通,dian'xin'tong
电信研究院,dian'xin'yan'jiu'yuan
电影博物馆,dian'ying'bo'wu'guan
电影局,dian'ying'ju
电影学院,dian'ying'xue'yuan
电影资料馆,dian'ying'zi'liao'guan
店值,dian'zhi
电纸书,dian'zhi'shu
电子城小区,dian'zi'cheng'xiao'qu
电子工业出版社,dian'zi'gong'ye'chu'ban'she
电子码,dian'zi'ma
电子所,dian'zi'suo
电子院,dian'zi'yuan
掉点儿,diao'dian'er
掉点了,diao'dian'le
雕光,diao'guang
雕刻时光,diao'ke'shi'guang
雕塑公园,diao'su'gong'yuan
雕塑园,diao'su'yuan
调研费,diao'yan'fei
调研结果,diao'yan'jie'guo
雕爷,diao'ye
雕爷牛腩,diao'ye'niu'nan
掉雨点了,diao'yu'dian'le
钓鱼台,diao'yu'tai
掉闸,diao'zha
掉渣饼,diao'zha'bing
定安里,ding'an'li
订餐吧,ding'can'ba
订餐了,ding'can'le
顶层设计,ding'ceng'she'ji
顶到头,ding'dao'tou
订的餐,ding'de'can
订的饭,ding'de'fan
定点医院,ding'dian'yi'yuan
丁丁洋,ding'ding'yang
定都阁,ding'du'ge
订饭,ding'fan
订饭吧,ding'fan'ba
订饭了,ding'fan'le
订饭了吗,ding'fan'le'ma
订饭吗,ding'fan'ma
定福黄庄,ding'fu'huang'zhuang
定福家园,ding'fu'jia'yuan
定阜街,ding'fu'jie
定福庄,ding'fu'zhuang
丁各庄,ding'ge'zhuang
定海园,ding'hai'yuan
鼎好,ding'hao
鼎好大厦,ding'hao'da'sha
定慧北里,ding'hui'bei'li
定慧北桥,ding'hui'bei'qiao
定慧东里,ding'hui'dong'li
定慧福里,ding'hui'fu'li
定慧桥,ding'hui'qiao
定慧桥北,ding'hui'qiao'bei
定慧桥南,ding'hui'qiao'nan
定慧寺,ding'hui'si
定慧寺东,ding'hui'si'dong
定慧西里,ding'hui'xi'li
丁家滩,ding'jia'tan
订票点,ding'piao'dian
丁然,ding'ran
订上,ding'shang
订书器,ding'shu'qi
定泗路,ding'si'lu
鼎泰丰,ding'tai'feng
定辛庄,ding'xin'zhuang
盯一下,ding'yi'xia
盯着点,ding'zhe'dian
盯着点儿,ding'zhe'dian'er
定制化,ding'zhi'hua
东安街,dong'an'jie
东坝,dong'ba
东坝家园,dong'ba'jia'yuan
东八间,dong'ba'jian
东八间房,dong'ba'jian'fang
东八里,dong'ba'li
东八里庄,dong'ba'li'zhuang
东坝乡,dong'ba'xiang
东北口,dong'bei'kou
东北楼,dong'bei'lou
东北乱炖,dong'bei'luan'dun
东北门,dong'bei'men
东北旺,dong'bei'wang
东北向,dong'bei'xiang
东边,dong'bian
东边儿,dong'bian'er
东便门,dong'bian'men
东滨河路,dong'bin'he'lu
东菜园,dong'cai'yuan
东侧路,dong'ce'lu
东长安,dong'chang'an
东长安街,dong'chang'an'jie
动车段,dong'che'duan
东城,dong'cheng
东城的,dong'cheng'de
东城区,dong'cheng'qu
东城一模,dong'cheng'yi'mo
东村家园,dong'cun'jia'yuan
东大桥,dong'da'qiao
东大桥了,dong'da'qiao'le
东大桥路,dong'da'qiao'lu
东戴个,dong'dai'ge
东戴河,dong'dai'he
东单,dong'dan
东单吧,dong'dan'ba
东单公园,dong'dan'gong'yuan
东单了,dong'dan'le
东单呢,dong'dan'ne
东单站,dong'dan'zhan
东都影城,dong'du'ying'cheng
东二旗,dong'er'qi
东二区,dong'er'qu
东方德才,dong'fang'de'cai
东方风行,dong'fang'feng'xing
东方广场,dong'fang'guang'chang
东方汉斯,dong'fang'han'si
东方基业,dong'fang'ji'ye
东方饺子王,dong'fang'jiao'zi'wang
东方君悦,dong'fang'jun'yue
东方梅地亚,dong'fang'mei'di'ya
东方玫瑰,dong'fang'mei'gui
东方名剪,dong'fang'ming'jian
东方瑞景,dong'fang'rui'jing
东方时尚,dong'fang'shi'shang
东方时尚驾校,dong'fang'shi'shang'jia'xiao
东方太阳城,dong'fang'tai'yang'cheng
东方通,dong'fang'tong
东方夏威夷,dong'fang'xia'wei'yi
东方新天地,dong'fang'xin'tian'di
东方银座,dong'fang'yin'zuo
东方雨虹,dong'fang'yu'hong
东方园林,dong'fang'yuan'lin
东风北桥,dong'feng'bei'qiao
东风桥,dong'feng'qiao
东风桥东,dong'feng'qiao'dong
东风乡,dong'feng'xiang
东风小学,dong'feng'xiao'xue
东高村,dong'gao'cun
东高地,dong'gao'di
董各庄,dong'ge'zhuang
东宫门,dong'gong'men
冬瓜丸子,dong'gua'wan'zi
冬瓜丸子汤,dong'gua'wan'zi'tang
东关,dong'guan
东关大桥,dong'guan'da'qiao
东关了,dong'guan'le
东关南里,dong'guan'nan'li
东管头,dong'guan'tou
东河沿,dong'he'yan
东恒时代,dong'heng'shi'dai
东红星,dong'hong'xing
东湖港,dong'hu'gang
东湖湾,dong'hu'wan
东华门,dong'hua'men
动画片儿,dong'hua'pian'er
东花市,dong'hua'shi
东花市大街,dong'hua'shi'da'jie
动换,dong'huan
东环广场,dong'huan'guang'chang
动换了,dong'huan'le
东环影城,dong'huan'ying'cheng
东交民巷,dong'jiao'min'xiang
东郊市场,dong'jiao'shi'chang
东街,dong'jie
东经路,dong'jing'lu
东口,dong'kou
东来顺,dong'lai'shun
东里,dong'li
东潞苑,dong'lu'yuan
东罗园,dong'luo'yuan
东贸,dong'mao
东贸国际,dong'mao'guo'ji
东门见,dong'men'jian
东棉花,dong'mian'hua
东木樨园,dong'mu'xi'yuan
东南街,dong'nan'jie
东南口,dong'nan'kou
东南门,dong'nan'men
东南四环,dong'nan'si'huan
东南向,dong'nan'xiang
董女士,dong'nv'shi
东配楼,dong'pei'lou
东平里,dong'ping'li
东区国际,dong'qu'guo'ji
东券,dong'quan
董然,dong'ran
东冉村,dong'ran'cun
东三环,dong'san'huan
东三环北路,dong'san'huan'bei'lu
东三环南路,dong'san'huan'nan'lu
东三环中路,dong'san'huan'zhong'lu
东三旗,dong'san'qi
东三区,dong'san'qu
冬三月,dong'san'yue
东沙各庄,dong'sha'ge'zhuang
东山墅,dong'shan'shu
东邵渠,dong'shao'qu
懂什么叫,dong'shen'me'jiao
东升大厦,dong'sheng'da'sha
东升园,dong'sheng'yuan
冬施,dong'shi
东十里堡,dong'shi'li'pu
东石门,dong'shi'men
董事总经理,dong'shi'zong'jing'li
东水井,dong'shui'jing
东四,dong'si
东四北大街,dong'si'bei'da'jie
东四环,dong'si'huan
东四环中路,dong'si'huan'zhong'lu
东四了,dong'si'le
东四六条,dong'si'liu'tiao
东四区,dong'si'qu
东四十,dong'si'shi
东四十条,dong'si'shi'tiao
东四十条桥,dong'si'shi'tiao'qiao
东四站,dong'si'zhan
动态库,dong'tai'ku
东田造型,dong'tian'zao'xing
东铁匠营,dong'tie'jiang'ying
东铁营,dong'tie'ying
东图,dong'tu
东土城,dong'tu'cheng
东土城路,dong'tu'cheng'lu
东王庄,dong'wang'zhuang
董巍,dong'wei
东苇路,dong'wei'lu
东五环,dong'wu'huan
东五环外,dong'wu'huan'wai
东五区,dong'wu'qu
动物所,dong'wu'suo
动物医院,dong'wu'yi'yuan
动物园吧,dong'wu'yuan'ba
动物园呢,dong'wu'yuan'ne
东西城,dong'xi'cheng
东西们,dong'xi'men
东小井,dong'xiao'jing
东小口,dong'xiao'kou
东小口镇,dong'xiao'kou'zhen
东小营,dong'xiao'ying
东辛店,dong'xin'dian
东辛房,dong'xin'fang
东馨园,dong'xin'yuan
东兴隆街,dong'xing'long'jie
东兴楼,dong'xing'lou
东兴证券,dong'xing'zheng'quan
东亚三环,dong'ya'san'huan
东亚上北,dong'ya'shang'bei
东燕郊,dong'yan'jiao
东窑,dong'yao
东一区,dong'yi'qu
东营房,dong'ying'fang
东源大厦,dong'yuan'da'sha
东岳庙,dong'yue'miao
东泽园,dong'ze'yuan
东直,dong'zhi
东直门,dong'zhi'men
东直门吧,dong'zhi'men'ba
东直门的,dong'zhi'men'de
东直门了,dong'zhi'men'le
东直门呢,dong'zhi'men'ne
东直门内,dong'zhi'men'nei
东直门外,dong'zhi'men'wai
东直门外大街,dong'zhi'men'wai'da'jie
东直门医院,dong'zhi'men'yi'yuan
东直门中学,dong'zhi'men'zhong'xue
东中街,dong'zhong'jie
豆瓣胡同,dou'ban'hu'tong
都北京,dou'bei'jing
都不爱理我,dou'bu'ai'li'wo
都不爱理我了,dou'bu'ai'li'wo'le
都不成了,dou'bu'cheng'le
都不叫事,dou'bu'jiao'shi
都不叫事儿,dou'bu'jiao'shi'er
都不在北京,dou'bu'zai'bei'jing
都成啊,dou'cheng'a
都成吧,dou'cheng'ba
都到单位了,dou'dao'dan'wei'le
窦店,dou'dian
豆豆厨,dou'dou'chu
逗逗闷子,dou'dou'men'zi
逗逗贫,dou'dou'pin
豆腐丝,dou'fu'si
豆腐宴,dou'fu'yan
豆各庄,dou'ge'zhuang
豆各庄乡,dou'ge'zhuang'xiang
都给您,dou'gei'nin
都跟家,dou'gen'jia
都跟你是的,dou'gen'ni'shi'de
都够早的,dou'gou'zao'de
逗姑娘,dou'gu'niang
都还成,dou'hai'cheng
豆花庄,dou'hua'zhuang
逗坏了,dou'huai'le
都慌了,dou'huang'le
都会国际,dou'hui'guo'ji
都会华庭,dou'hui'hua'ting
豆角饭,dou'jiao'fan
豆角焖面,dou'jiao'men'mian
都惊了,dou'jing'le
逗咳嗽,dou'ke'sou
都来北京,dou'lai'bei'jing
都嘛呢,dou'ma'ne
逗么,dou'me
都没地儿,dou'mei'di'er
都没定呢,dou'mei'ding'ne
都没谱,dou'mei'pu
都没事儿,dou'mei'shi'er
都没辙,dou'mei'zhe
逗闷子,dou'men'zi
都那么回事,dou'na'me'hui'shi
逗妞,dou'niu
逗贫,dou'pin
抖骚,dou'sao
豆石,dou'shi
都是北京,dou'shi'bei'jing
都是北京的,dou'shi'bei'jing'de
都谁到了,dou'shui'dao'le
都谁去呀,dou'shui'qu'ya
都谁在么,dou'shui'zai'me
都算上,dou'suan'shang
都算下来,dou'suan'xia'lai
都踏实,dou'ta'shi
都特贵,dou'te'gui
都特好,dou'te'hao
都特好看,dou'te'hao'kan
都特忙,dou'te'mang
都特么是,dou'te'me'shi
都特喜欢,dou'te'xi'huan
都新鲜,dou'xin'xian
都有事儿,dou'you'shi'er
都在北京,dou'zai'bei'jing
都这德行,dou'zhe'de'xing
都这点,dou'zhe'dian
都这点儿,dou'zhe'dian'er
都这点了,dou'zhe'dian'le
都这掉了,dou'zhe'diao'le
逗着呢,dou'zhe'ne
都这岁数,dou'zhe'sui'shu
都这岁数了,dou'zhe'sui'shu'le
逗着玩儿,dou'zhe'wan'er
都这样儿,dou'zhe'yang'er
豆汁,dou'zhi
豆汁儿,dou'zhi'er
堵车吧,du'che'ba
堵车了吧,du'che'le'ba
堵车吗,du'che'ma
堵车么,du'che'me
堵车那,du'che'na
堵车呢,du'che'ne
堵车呀,du'che'ya
杜处,du'chu
杜红,du'hong
堵火,du'huo
独家房源,du'jia'fang'yuan
杜家坎,du'jia'kan
杜建国,du'jian'guo
杜兰庄,du'lan'zhuang
独乐河,du'le'he
独立住房,du'li'zhu'fang
堵漏灵,du'lou'ling
堵么,du'me
肚脐眼儿,du'qi'yan'er
杜然,du'ran
都市网景,du'shi'wang'jing
都市馨园,du'shi'xin'yuan
都市之声,du'shi'zhi'sheng
堵死我了,du'si'wo'le
杜文辉,du'wen'hui
度小月,du'xiao'yue
都一处,du'yi'chu
堵着吧,du'zhe'ba
堵着呢,du'zhe'ne
断片儿,duan'pian'er
段祺瑞,duan'qi'rui
断桥铝,duan'qiao'lv
段然,duan'ran
对北京,dui'bei'jing
堆儿,dui'er
对机会,dui'ji'hui
碓臼峪,dui'jiu'yu
队刊,dui'kan
对面儿,dui'mian'er
对外合作,dui'wai'he'zuo
对外经济,dui'wai'jing'ji
对外经济贸易,dui'wai'jing'ji'mao'yi
对外经贸,dui'wai'jing'mao
对外经贸大学,dui'wai'jing'mao'da'xue
对眼儿,dui'yan'er
对应不上,dui'ying'bu'shang
蹲班,dun'ban
墩布,dun'bu
墩布池,dun'bu'chi
炖带鱼,dun'dai'yu
墩地,dun'di
炖吊子,dun'diao'zi
蹲会儿,dun'hui'er
炖鸡翅,dun'ji'chi
炖牛腩,dun'niu'nan
炖肘子,dun'zhou'zi
多棒啊,duo'bang'a
多宝格,duo'bao'ge
多不合适,duo'bu'he'shi
多操蛋,duo'cao'dan
多穿点儿,duo'chuan'dian'er
多待会儿,duo'dai'hui'er
多等会儿,duo'deng'hui'er
多点儿,duo'dian'er
多逗啊,duo'dou'a
多烦啊,duo'fan'a
多烦呀,duo'fan'ya
多菲角,duo'fei'jiao
多贵呢,duo'gui'ne
多喝点儿水,duo'he'dian'er'shui
剁椒鸡蛋,duo'jiao'ji'dan
多老远,duo'lao'yuan
多乐之日,duo'le'zhi'ri
多没劲啊,duo'mei'jin'a
多没劲呀,duo'mei'jin'ya
多模式,duo'mo'shi
多牛逼啊,duo'niu'bi'a
多少来的,duo'shao'lai'de
多少钱来的,duo'shao'qian'lai'de
多少银子,duo'shao'yin'zi
多事儿,duo'shi'er
多孙子,duo'sun'zi
多踏实,duo'ta'shi
多太郎,duo'tai'lang
多特么,duo'te'me
多维度,duo'wei'du
多危险呀,duo'wei'xian'ya
多向您,duo'xiang'nin
多谢哈,duo'xie'ha
多谢啦,duo'xie'la
多谢了啊,duo'xie'le'a
多谢喽,duo'xie'lou
多谢您,duo'xie'nin
多谢您了,duo'xie'nin'le
多谢亲,duo'xie'qin
多新鲜,duo'xin'xian
多新鲜啊,duo'xin'xian'a
多语言,duo'yu'yan
多语种,duo'yu'zhong
多仗义,duo'zhang'yi
多值,duo'zhi
鹅房,e'fang
俄风行,e'feng'xing
饿过劲儿,e'guo'jin'er
鹅和鸭,e'he'ya
峨眉酒家,e'mei'jiu'jia
嗯成,en'cheng
嗯成吧,en'cheng'ba
嗯嗯成,en'en'cheng
嗯嗯放心吧,en'en'fang'xin'ba
嗯嗯行吧,en'en'xing'ba
嗯痕,en'hen
恩济里,en'ji'li
恩济庄,en'ji'zhuang
嗯没事儿,en'mei'shi'er
